	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.X585.1226.SM.46MW7	GTEX.NPJ8.2026.SM.3TW91	TCGA.CV.6955.01A.11R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.B9.4116.01A.02R.1351.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.ZQG8.2126.SM.4YCF1	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.1117F.3026.SM.5GZYU	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13CF2.2426.SM.5LZYL	GTEX.13113.0126.SM.5LZVX	GTEX.132AR.1126.SM.5P9GA	GTEX.V1D1.0926.SM.4JBHQ
UCKL1	718.08	1023.0	1745.2	1447.15	1819.35	1427.22	1561.89	2061.24	1407.55	1277.29	1447.15	1844.76	2335.28	332.14	616.37	638.15	376.41	1199.98	187.71	273.37	246.28	718.08	723.08	612.11	723.08	728.11	473.41	571.05	470.14	1313.23	1407.55	848.22	1437.15
UPF3B	185.11	435.55	684.02	223.41	473.41	435.55	420.68	493.56	256.78	279.14	187.71	323.03	314.17	136.19	297.17	12.27	113.56	500.46	51.71	116.78	172.65	144.01	260.38	106.63	262.2	307.69	256.78	147.06	320.8	177.53	312.0	291.04	473.41
VPS8	169.07	500.46	358.54	373.81	493.56	466.88	409.15	629.35	414.87	343.89	353.59	684.02	450.94	202.66	255.0	91.41	234.57	591.22	80.57	56.28	262.2	241.19	220.32	297.17	220.32	305.55	265.87	281.09	242.88	414.87	669.92	497.0	624.99
WASH4P	275.28	669.92	616.37	423.61	547.75	466.88	373.81	555.41	376.41	400.71	246.28	791.35	1242.34	104.42	165.57	142.01	143.01	830.75	35.25	59.55	30.12	139.07	141.02	75.64	170.25	329.84	84.63	76.71	70.01	141.02	808.0	665.29	878.17
WDR52	21.32	125.24	220.32	80.57	217.27	142.01	169.07	307.69	91.41	139.07	115.16	325.29	599.49	28.86	24.63	0.45	47.17	291.04	5.02	7.51	4.9	69.52	12.74	13.62	28.65	38.4	8.78	15.11	8.99	18.97	253.23	273.37	351.14
WDR73	256.78	490.14	414.87	518.15	620.67	529.06	620.67	629.35	503.95	426.57	389.72	848.22	909.17	236.21	241.19	89.51	417.77	1037.29	44.25	105.15	158.79	256.78	156.59	301.33	279.14	291.04	234.57	197.09	128.79	224.97	1059.11	679.29	1081.39
ZNF182	20.86	100.13	97.36	50.98	103.69	69.52	75.64	173.85	45.85	42.41	45.21	164.42	137.14	22.92	37.59	15.68	78.89	190.34	12.55	23.42	14.89	45.21	16.03	14.35	31.9	73.03	16.88	22.59	17.0	31.9	167.9	164.42	253.23
ZNF558	103.69	457.25	215.77	318.57	242.88	297.17	368.65	438.59	289.02	271.48	363.56	674.59	1175.27	104.42	133.36	36.01	189.02	595.34	25.54	34.02	92.7	122.64	108.14	142.01	182.55	215.77	62.56	125.24	86.43	78.89	480.04	753.83	540.19
ZNF596	65.26	72.01	81.71	93.35	60.82	84.04	68.07	161.02	88.26	55.1	91.41	105.15	176.29	30.34	47.84	43.63	73.03	283.05	4.1	7.17	10.47	45.21	26.47	17.51	37.05	112.77	28.24	24.11	18.16	27.84	361.04	153.34	381.68
ZNF84	152.28	182.55	384.34	204.07	265.87	228.13	303.44	320.8	172.65	159.9	164.42	536.45	532.74	70.01	145.02	89.51	220.32	698.41	38.95	63.89	71.5	115.97	46.18	42.41	180.02	255.0	82.87	111.99	53.19	108.9	450.94	460.44	733.19
