	TCGA.LL.A740.01A.21R.A32P.07	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.AN.A0FZ.01A.11R.A034.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.11P81.1926.SM.5BC53	GTEX.ZAJG.0626.SM.5HL8X	GTEX.U3ZN.1926.SM.4DXSG	GTEX.11EMC.2026.SM.5A5JV	GTEX.13NZ8.0126.SM.5IJCT	TCGA.B0.5698.01A.11R.1672.07	TCGA.CJ.5684.01A.11R.1541.07	TCGA.B8.A54H.01A.11R.A33J.07	TCGA.CJ.4641.01A.02R.1325.07	TCGA.CW.5584.01A.01R.1541.07	TCGA.CJ.5680.01A.11R.1541.07	TCGA.B2.5635.01A.01R.1541.07	TCGA.AK.3450.01A.02R.1277.07	TCGA.CJ.4902.01A.01R.1426.07	TCGA.DV.5566.01A.01R.1541.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.BQ.5892.01A.11R.1592.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.14753.1626.SM.5NQ9L
PPP4R1L	82.87	29.27	78.89	133.36	76.17	167.9	208.38	295.11	205.5	88.26	285.03	68.07	241.19	223.41	116.78	92.05	68.07	158.79	129.69	85.22	92.05	172.65	59.55	206.94	94.01	95.34	61.25	60.82	78.89	15.68	12.55	15.56
PRPF39	303.44	285.03	287.01	368.65	397.93	529.06	728.11	813.63	476.71	336.79	651.58	490.14	567.1	616.37	547.75	229.72	164.42	379.04	244.57	120.94	139.07	253.23	159.9	470.14	134.3	121.79	116.78	102.25	145.02	27.64	81.71	30.34
QRICH1	878.17	1268.46	934.76	808.0	813.63	1175.27	1286.18	1340.84	1127.35	954.43	1111.82	1001.93	1519.15	1487.87	1073.91	454.09	493.56	651.58	753.83	511.0	486.75	878.17	417.77	775.05	466.88	476.71	441.64	432.53	466.88	358.54	473.41	194.36
RASA3	536.45	251.48	1037.29	223.41	318.57	291.04	406.31	336.79	486.75	150.17	616.37	642.59	444.72	208.38	348.71	205.5	363.56	392.44	303.44	336.79	198.47	392.44	236.21	409.15	289.02	236.21	312.0	167.9	151.22	42.71	22.26	57.89
RBM26	327.56	540.19	327.56	656.11	529.06	651.58	890.44	860.08	587.13	559.28	934.76	511.0	753.83	665.29	406.31	325.29	320.8	450.94	500.46	297.17	409.15	457.25	363.56	397.93	291.04	334.46	299.25	239.52	287.01	31.9	143.01	42.41
REV1	314.17	392.44	361.04	301.33	316.37	693.58	896.64	954.43	698.41	476.71	693.58	587.13	620.67	780.44	620.67	351.14	260.38	389.72	441.64	246.28	299.25	400.71	320.8	583.07	283.05	236.21	178.77	193.01	239.52	65.72	161.02	100.13
RIPK3	62.56	21.47	59.13	68.55	836.53	217.27	329.84	163.28	214.27	55.1	226.54	72.01	1561.89	182.55	68.07	105.15	56.68	96.68	166.73	56.28	40.64	135.24	50.27	231.32	47.5	145.02	59.55	55.1	35.0	38.12	14.14	7.11
RP11-1212A22.4	567.1	417.77	836.53	679.29	1745.2	2104.58	3081.75	2855.44	1870.53	1331.57	2209.26	3901.01	3280.18	2319.15	3146.52	486.75	988.12	1159.07	2178.83	291.04	759.08	1832.01	981.29	2400.97	1417.35	718.08	231.32	497.0	480.04	116.78	323.03	162.14
RP11-724O16.1	2.63	1.17	0.0	12.0	2.94	0.93	15.45	18.84	7.94	7.28	27.44	0.0	18.03	21.16	10.55	0.69	0.0	2.58	3.03	0.0	0.0	3.99	4.9	3.92	0.33	0.36	1.07	0.35	0.0	0.43	0.0	0.85
S100PBP	277.2	332.14	253.23	239.52	356.05	307.69	551.56	473.41	368.65	336.79	429.54	346.29	563.18	470.14	432.53	229.72	158.79	341.51	329.84	182.55	190.34	307.69	224.97	417.77	223.41	223.41	201.25	129.69	150.17	30.78	49.56	65.26
SETD5	624.99	2739.08	660.68	1331.57	1340.84	1066.48	1487.87	1583.71	1250.98	1044.52	1143.1	1331.57	1151.06	1331.57	1427.22	381.68	351.14	547.75	559.28	400.71	295.11	669.92	291.04	854.13	285.03	215.77	244.57	271.48	334.46	135.24	138.1	86.43
SHC4	19.11	6.26	9.56	3.0	18.56	60.82	25.35	109.66	22.26	136.19	46.84	9.06	25.54	80.57	38.12	6.01	4.98	7.4	9.85	9.13	5.02	8.0	1.64	25.72	7.46	11.13	2.89	1.07	15.0	1.01	0.0	0.16
SLC20A1	1331.57	1151.06	532.74	967.76	633.73	684.02	473.41	543.96	460.44	629.35	373.81	351.14	414.87	563.18	669.92	409.15	273.37	450.94	551.56	204.07	299.25	291.04	229.72	647.07	264.03	305.55	249.73	183.82	262.2	228.13	305.55	327.56
SLC25A14	285.03	221.86	275.28	450.94	262.2	275.28	339.14	353.59	269.6	309.83	264.03	279.14	348.71	381.68	271.48	241.19	194.36	223.41	251.48	170.25	136.19	339.14	262.2	392.44	185.11	112.77	177.53	173.85	131.51	57.49	119.26	25.72
SLC7A6	289.02	301.33	191.67	500.46	206.94	178.77	312.0	231.32	320.8	116.78	281.09	417.77	275.28	199.85	429.54	127.89	103.69	144.01	212.78	116.78	62.12	198.47	51.35	241.19	55.49	102.25	77.79	49.91	60.82	6.31	48.87	5.82
SLMO1	30.56	34.02	24.46	27.44	45.85	59.55	88.88	68.55	63.89	36.01	74.06	87.03	137.14	92.7	111.21	27.44	22.59	59.97	26.28	29.7	42.71	32.82	17.0	92.7	26.28	48.52	14.24	23.93	26.1	4.17	2.43	3.47
SPDL1	148.09	392.44	122.64	244.57	152.28	169.07	249.73	183.82	131.51	114.36	176.29	70.01	129.69	178.77	187.71	98.73	96.01	181.28	201.25	102.25	97.36	178.77	84.63	187.71	113.56	99.43	115.97	74.58	94.01	13.62	116.78	5.73
SPDYE1	3.29	3.03	0.78	4.94	1.99	9.27	9.06	16.51	5.06	4.21	11.91	1.45	5.87	7.4	7.75	2.53	3.29	8.85	4.82	2.76	1.71	5.92	5.96	10.88	2.1	3.66	1.85	1.83	2.1	0.88	1.5	0.09
SPDYE2	11.82	10.79	12.93	26.86	12.83	25.17	36.79	66.18	26.67	32.13	18.7	9.13	70.51	27.44	36.01	31.0	9.06	32.59	35.25	13.03	28.86	41.52	18.03	48.18	19.39	10.96	11.38	9.78	17.0	2.73	9.63	1.89
TBC1D26	2.84	0.0	0.45	0.0	0.0	3.11	3.56	0.45	3.14	2.66	1.23	0.23	1.58	6.46	2.86	0.0	0.0	2.34	1.77	1.07	0.0	0.39	0.0	5.15	0.72	0.39	0.0	0.0	0.0	0.0	0.0	0.0
TEP1	366.09	466.88	205.5	473.41	551.56	669.92	555.41	521.76	612.11	567.1	551.56	665.29	603.67	1008.9	529.06	221.86	248.0	460.44	423.61	214.27	191.67	387.02	169.07	514.56	232.94	223.41	163.28	198.47	363.56	94.01	71.5	40.36
TFE3	591.22	351.14	620.67	579.04	599.49	713.11	896.64	884.29	988.12	607.87	961.07	878.17	866.07	791.35	854.13	866.07	674.59	825.0	825.0	785.88	748.61	854.13	688.78	1066.48	848.22	660.68	543.96	688.78	651.58	303.44	305.55	473.41
THOC1	417.77	486.75	289.02	447.82	346.29	728.11	819.3	836.53	624.99	500.46	688.78	728.11	723.08	981.29	825.0	348.71	277.2	497.0	441.64	190.34	249.73	373.81	275.28	728.11	237.86	244.57	181.28	205.5	241.19	84.63	157.68	100.13
THOC2	785.88	813.63	775.05	2255.7	941.27	915.51	1159.07	1119.56	813.63	842.36	1104.13	872.1	842.36	1008.9	1088.92	490.14	486.75	629.35	633.73	447.82	624.99	591.22	426.57	813.63	423.61	392.44	403.5	457.25	483.38	76.71	239.52	98.73
THUMPD2	140.04	198.47	162.14	140.04	183.82	351.14	293.07	400.71	271.48	197.09	248.0	320.8	289.02	320.8	273.37	114.36	134.3	237.86	155.5	115.97	131.51	157.68	206.94	237.86	105.89	90.77	79.45	90.14	161.02	22.75	74.58	24.99
TIA1	808.0	1037.29	713.11	921.88	1350.18	1583.71	2004.85	2178.83	1487.87	1242.34	1819.35	1427.22	2004.85	1685.71	1417.35	463.65	429.54	1151.06	1268.46	295.11	665.29	1001.93	521.76	1417.35	336.79	291.04	283.05	262.2	406.31	108.14	155.5	149.12
TMX3	395.18	185.11	241.19	599.49	312.0	583.07	808.0	703.28	591.22	497.0	947.83	511.0	703.28	607.87	521.76	409.15	406.31	587.13	616.37	429.54	379.04	567.1	373.81	599.49	351.14	341.51	420.68	265.87	295.11	44.25	89.51	70.51
TNRC6A	242.88	314.17	320.8	305.55	791.35	454.09	698.41	733.19	432.53	346.29	713.11	371.22	708.18	543.96	395.18	260.38	206.94	356.05	476.71	237.86	265.87	373.81	262.2	638.15	220.32	172.65	136.19	171.45	237.86	123.5	181.28	127.0
TRA2A	1447.15	1467.37	1167.14	1135.2	3955.48	2119.22	2468.49	2468.49	1870.53	1685.71	2664.15	1832.01	2224.63	2417.67	1651.0	1127.35	961.07	1295.13	1397.83	525.39	723.08	1208.34	1167.14	1709.26	651.58	791.35	775.05	713.11	698.41	289.02	460.44	507.46
TRAPPC2	181.28	191.67	234.57	262.2	220.32	299.25	285.03	329.84	283.05	285.03	253.23	264.03	305.55	329.84	309.83	128.79	208.38	271.48	232.94	148.09	208.38	211.31	248.0	305.55	163.28	169.07	198.47	169.07	185.11	63.89	78.89	82.29
TRMT13	119.26	262.2	88.26	114.36	214.27	299.25	400.71	361.04	281.09	220.32	483.38	234.57	314.17	339.14	236.21	128.79	108.14	204.07	157.68	63.45	123.5	154.42	103.69	175.07	94.01	54.33	84.63	84.63	81.71	11.55	55.1	21.01
TTC13	158.79	153.34	157.68	312.0	153.34	249.73	297.17	249.73	206.94	181.28	325.29	172.65	420.68	332.14	218.79	132.44	123.5	221.86	260.38	138.1	73.03	180.02	167.9	307.69	88.26	109.66	74.58	90.14	75.64	45.21	50.63	20.56
TTC14	356.05	438.59	329.84	400.71	679.29	547.75	759.08	703.28	525.39	473.41	612.11	603.67	1096.5	1059.11	660.68	224.97	183.82	463.65	511.0	112.77	229.72	409.15	239.52	514.56	202.66	138.1	133.36	117.6	151.22	55.49	88.88	133.36
TTC17	688.78	287.01	559.28	1225.22	848.22	1359.57	1628.26	1427.22	1427.22	1268.46	1561.89	1651.0	1832.01	1697.45	1340.84	830.75	743.43	819.3	1151.06	769.69	988.12	1044.52	884.29	1250.98	738.29	674.59	536.45	633.73	693.58	371.22	406.31	368.65
TTF1	273.37	237.86	279.14	162.14	271.48	303.44	371.22	400.71	323.03	316.37	432.53	285.03	412.0	356.05	314.17	135.24	217.27	277.2	267.73	154.42	125.24	264.03	206.94	287.01	189.02	173.85	153.34	176.29	212.78	68.55	103.69	77.25
U2SURP	718.08	1605.83	511.0	1015.93	884.29	988.12	1605.83	1651.0	1216.75	1030.12	1407.55	1359.57	1277.29	1378.57	1467.37	624.99	642.59	842.36	954.43	638.15	660.68	753.83	595.34	780.44	432.53	607.87	444.72	325.29	438.59	61.25	182.55	113.56
UHRF2	376.41	358.54	244.57	336.79	463.65	633.73	738.29	769.69	660.68	447.82	660.68	599.49	698.41	703.28	503.95	309.83	177.53	412.0	332.14	181.28	187.71	334.46	220.32	551.56	161.02	186.4	215.77	182.55	239.52	82.87	107.38	67.59
USP4	813.63	1225.22	583.07	947.83	656.11	1030.12	1167.14	1096.5	1030.12	1023.0	1304.15	1119.56	1268.46	1508.65	1159.07	514.56	486.75	473.41	759.08	470.14	567.1	921.88	457.25	813.63	444.72	358.54	514.56	497.0	423.61	318.57	246.28	159.9
USP49	30.56	37.32	33.78	23.25	28.86	56.68	81.14	73.54	50.63	37.32	62.12	67.12	89.51	84.63	49.56	14.45	19.25	26.67	38.95	14.14	18.7	30.34	18.03	39.79	15.91	12.45	15.11	12.0	15.0	1.91	2.39	2.48
VCPKMT	100.13	80.01	100.13	108.9	88.26	163.28	191.67	195.72	150.17	121.79	132.44	111.21	142.01	180.02	204.07	65.72	73.54	135.24	98.73	32.59	45.85	78.34	46.84	85.22	70.51	55.49	52.82	75.64	66.65	37.32	59.97	36.27
VPS8	291.04	830.75	271.48	511.0	379.04	379.04	441.64	473.41	412.0	403.5	486.75	329.84	543.96	656.11	493.56	197.09	223.41	351.14	341.51	295.11	242.88	351.14	265.87	426.57	201.25	173.85	234.57	246.28	295.11	102.25	56.28	67.59
WDR5B	92.05	214.27	94.01	115.97	116.78	122.64	141.02	146.03	115.16	111.21	202.66	115.97	156.59	102.97	111.21	71.5	82.87	127.0	108.9	75.64	111.21	101.54	106.63	100.13	76.71	82.87	77.25	57.49	73.54	33.78	48.52	24.99
WNT5A	318.57	295.11	232.94	299.25	115.16	226.54	136.19	220.32	130.6	265.87	102.97	88.26	173.85	295.11	63.45	10.96	17.77	15.8	23.25	33.54	33.3	33.78	16.03	158.79	14.89	29.7	12.64	8.51	21.78	26.47	12.18	13.83
ZBTB26	78.34	101.54	50.27	48.52	85.82	114.36	163.28	166.73	103.69	92.7	180.02	115.97	191.67	134.3	88.88	62.12	61.68	102.97	100.13	55.89	55.1	95.34	67.59	102.25	57.89	35.0	53.57	49.91	59.97	8.85	10.63	2.94
ZBTB37	21.78	57.89	18.03	75.11	77.25	56.28	95.34	107.38	81.71	56.28	114.36	31.0	131.51	81.71	62.12	25.35	23.42	39.22	49.21	28.24	45.85	50.27	49.91	50.63	24.28	17.77	19.25	19.39	26.86	13.72	12.36	13.42
ZC3H11A	1001.93	1051.79	988.12	1794.29	1594.73	1685.71	2303.12	2209.26	1721.16	1628.26	2434.5	1498.22	2351.53	1447.15	1709.26	961.07	909.17	1286.18	1313.23	896.64	981.29	1175.27	1498.22	1331.57	836.53	718.08	723.08	708.18	802.41	334.46	289.02	320.8
ZDHHC17	148.09	186.4	94.01	194.36	743.43	420.68	775.05	825.0	543.96	293.07	620.67	318.57	647.07	500.46	583.07	271.48	258.57	361.04	293.07	204.07	232.94	339.14	237.86	406.31	167.9	145.02	251.48	144.01	166.73	34.02	45.85	37.32
ZFP62	373.81	314.17	567.1	514.56	543.96	571.05	638.15	620.67	417.77	507.46	616.37	660.68	607.87	665.29	412.0	403.5	384.34	575.03	497.0	226.54	316.37	460.44	251.48	503.95	249.73	414.87	241.19	248.0	397.93	70.01	88.88	51.35
ZNF141	52.45	122.64	88.26	58.3	142.01	167.9	283.05	255.0	166.73	115.16	244.57	279.14	314.17	218.79	212.78	81.71	91.41	127.0	170.25	68.07	82.87	166.73	78.34	183.82	54.72	65.26	66.65	59.55	90.77	8.65	21.94	27.64
ZNF182	45.21	35.5	57.49	83.45	124.37	105.89	165.57	148.09	88.88	99.43	181.28	83.45	145.02	141.02	109.66	63.45	69.52	105.89	103.69	73.54	73.54	117.6	63.89	158.79	55.49	49.21	49.56	53.19	55.1	8.71	23.42	11.13
ZNF197	57.89	114.36	204.07	45.53	170.25	265.87	353.59	332.14	258.57	253.23	325.29	208.38	271.48	246.28	256.78	108.14	116.78	146.03	148.09	115.97	102.25	173.85	94.01	169.07	86.43	96.01	81.71	80.01	110.43	30.56	48.18	69.03
ZNF202	141.02	94.67	141.02	241.19	69.03	269.6	239.52	255.0	228.13	186.4	169.07	271.48	159.9	248.0	249.73	125.24	66.18	158.79	119.26	73.03	90.77	123.5	88.88	156.59	79.45	75.11	57.08	69.52	88.26	23.59	23.93	7.0
ZNF211	114.36	182.55	150.17	120.1	112.77	218.79	395.18	316.37	211.31	190.34	368.65	214.27	363.56	389.72	264.03	144.01	162.14	223.41	208.38	70.51	68.07	170.25	121.79	303.44	89.51	76.17	122.64	107.38	52.08	28.04	11.91	23.42
ZNF23	152.28	242.88	100.83	169.07	142.01	241.19	255.0	275.28	199.85	173.85	273.37	162.14	173.85	759.08	202.66	98.73	96.68	178.77	171.45	67.59	88.88	144.01	110.43	187.71	70.01	98.04	93.35	87.03	74.58	34.51	41.22	47.5
ZNF234	77.79	53.19	72.52	95.34	47.84	140.04	183.82	161.02	133.36	104.42	228.13	92.7	182.55	111.21	127.89	63.89	68.55	115.97	87.65	72.01	50.27	96.68	55.49	142.01	48.87	31.9	55.89	54.72	67.59	15.91	20.56	6.89
ZNF239	60.82	176.29	21.63	34.75	420.68	113.56	120.1	119.26	100.83	109.66	122.64	169.07	102.25	258.57	177.53	41.81	35.25	81.71	76.17	43.63	28.45	47.17	58.71	78.89	41.81	33.06	40.93	32.36	22.59	4.82	23.08	0.0
ZNF33A	285.03	287.01	215.77	460.44	281.09	473.41	764.36	579.04	486.75	547.75	571.05	403.5	463.65	503.95	435.55	356.05	293.07	341.51	503.95	283.05	358.54	426.57	323.03	432.53	197.09	221.86	228.13	234.57	256.78	94.67	127.0	256.78
ZNF345	48.87	69.52	37.05	35.0	14.67	111.21	191.67	158.79	133.36	74.06	166.73	98.73	191.67	115.16	85.82	48.87	59.55	74.06	67.59	55.49	40.07	87.03	47.5	111.21	53.57	36.53	46.18	71.5	52.08	15.11	11.55	7.28
ZNF37A	66.65	113.56	89.51	102.97	96.68	172.65	283.05	251.48	148.09	163.28	246.28	246.28	246.28	318.57	285.03	127.89	122.64	178.77	224.97	143.01	111.99	163.28	118.43	226.54	99.43	91.41	95.34	88.88	125.24	20.41	34.26	15.22
ZNF384	603.67	400.71	718.08	660.68	902.89	860.08	1023.0	1111.82	896.64	896.64	947.83	902.89	1143.1	1242.34	842.36	638.15	884.29	1127.35	947.83	813.63	884.29	988.12	748.61	1233.75	728.11	733.19	830.75	693.58	780.44	239.52	204.07	57.49
ZNF419	74.58	72.01	120.94	112.77	72.01	161.02	223.41	223.41	144.01	143.01	175.07	237.86	183.82	226.54	112.77	64.34	149.12	208.38	151.22	66.65	87.03	159.9	96.01	237.86	99.43	62.12	83.45	105.15	61.68	20.56	44.57	26.67
ZNF502	15.68	22.59	58.71	66.65	64.8	114.36	134.3	163.28	127.0	109.66	205.5	130.6	255.0	217.27	89.51	15.0	42.71	40.93	53.19	23.76	10.79	72.01	10.31	34.75	23.25	30.78	26.86	16.88	17.9	4.06	2.32	1.64
ZNF519	7.63	31.0	19.68	7.22	24.46	72.52	128.79	145.02	120.94	71.0	158.79	132.44	111.21	140.04	106.63	18.56	31.67	39.5	45.53	28.65	33.78	46.5	32.59	72.52	45.21	23.25	37.32	16.15	24.46	2.84	16.15	5.96
ZNF529	61.68	162.14	102.25	88.88	42.11	166.73	244.57	229.72	153.34	127.0	204.07	157.68	228.13	172.65	147.06	137.14	81.71	148.09	146.03	89.51	106.63	122.64	105.15	153.34	96.01	68.55	75.64	74.06	84.63	25.72	24.99	19.39
ZNF554	61.68	25.35	61.25	30.56	60.39	106.63	143.01	133.36	86.43	84.04	126.12	109.66	131.51	125.24	88.88	37.85	41.81	81.71	55.1	43.94	52.82	64.34	45.53	88.26	57.08	42.11	38.95	47.5	53.19	27.05	31.67	31.0
ZNF589	96.01	43.94	135.24	61.68	76.17	229.72	271.48	246.28	162.14	152.28	255.0	107.38	215.77	281.09	142.01	33.54	66.18	107.38	137.14	46.5	65.72	156.59	55.49	144.01	51.71	47.17	67.12	51.35	47.17	14.45	17.25	13.42
ZNF594	29.27	62.56	27.25	52.08	21.32	117.6	201.25	158.79	107.38	104.42	172.65	98.04	214.27	102.97	81.14	38.4	50.98	62.12	88.26	40.64	34.26	74.58	37.85	89.51	49.21	28.86	36.27	34.26	66.65	1.13	3.66	1.19
ZNF606	67.59	363.56	84.63	15.22	104.42	281.09	264.03	256.78	275.28	204.07	191.67	189.02	289.02	285.03	104.42	84.04	106.63	172.65	139.07	82.87	108.14	133.36	99.43	157.68	92.05	68.07	80.01	94.01	120.1	29.27	22.26	7.46
ZNF638	1457.23	1572.76	1498.22	1427.22	2451.44	2271.4	2609.3	2855.44	2400.97	2271.4	2645.74	2451.44	2664.15	2758.13	3060.45	1457.23	1437.15	1628.26	1950.0	1111.82	1583.71	1572.76	1572.76	1977.24	1250.98	1529.73	1044.52	1268.46	1378.57	417.77	954.43	780.44
ZNF665	27.84	17.64	45.21	55.1	54.72	113.56	164.42	186.4	133.36	87.65	327.56	86.43	384.34	119.26	46.84	24.63	41.52	91.41	76.17	31.22	35.5	76.17	13.93	119.26	25.72	52.08	45.85	23.93	22.1	3.2	7.0	3.23
ZNF700	201.25	153.34	142.01	215.77	185.11	262.2	277.2	281.09	226.54	180.02	220.32	281.09	221.86	368.65	137.14	99.43	127.89	234.57	236.21	111.21	101.54	199.85	141.02	241.19	111.99	90.77	107.38	75.11	96.01	37.32	64.34	77.25
ZNF776	144.01	100.13	153.34	125.24	158.79	299.25	381.68	323.03	239.52	291.04	409.15	183.82	529.06	371.22	197.09	155.5	194.36	237.86	208.38	149.12	125.24	212.78	121.79	193.01	146.03	73.03	171.45	150.17	128.79	35.0	34.02	40.64
ZNF799	87.65	75.11	84.04	116.78	142.01	115.97	166.73	151.22	121.79	126.12	176.29	120.1	194.36	142.01	137.14	52.08	88.26	121.79	101.54	74.58	57.49	90.77	62.56	108.14	83.45	67.59	69.52	55.89	63.89	17.51	41.52	31.67
ZNF823	271.48	92.05	159.9	226.54	128.79	178.77	297.17	255.0	206.94	183.82	346.29	87.03	226.54	260.38	118.43	81.71	103.69	106.63	85.82	79.45	65.26	108.14	68.55	93.35	78.89	65.72	70.51	73.03	73.03	36.01	53.57	23.59
ZNF846	164.42	228.13	305.55	164.42	190.34	267.73	325.29	316.37	202.66	206.94	363.56	198.47	277.2	239.52	212.78	107.38	96.68	220.32	115.16	61.68	60.82	183.82	165.57	214.27	76.71	159.9	96.68	52.82	57.08	53.57	48.87	62.12
ZNF862	183.82	75.64	153.34	177.53	106.63	309.83	395.18	423.61	277.2	189.02	371.22	320.8	514.56	490.14	316.37	162.14	111.21	173.85	186.4	148.09	181.28	255.0	69.03	267.73	111.99	98.73	95.34	67.12	85.22	30.34	16.39	18.7
ZRANB2	651.58	748.61	486.75	525.39	954.43	1295.13	1844.76	1963.57	1216.75	860.08	1617.0	1467.37	1487.87	1617.0	1059.11	447.82	466.88	813.63	854.13	409.15	493.56	825.0	579.04	791.35	353.59	303.44	497.0	258.57	361.04	123.5	295.11	182.55
ZSWIM6	62.12	88.88	54.33	74.58	81.14	167.9	221.86	166.73	95.34	152.28	140.04	122.64	134.3	170.25	85.82	135.24	111.21	108.14	126.12	93.35	85.82	206.94	85.82	208.38	88.26	102.97	108.9	82.29	87.03	19.11	24.81	39.22
