	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.B6.A0WT.01A.11R.A109.07	TCGA.A7.A0CH.01A.21R.A00Z.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.A7.A26H.01A.11R.A169.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW8.0126.SM.5IJE5	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.OHPM.2626.SM.33HC5	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.WFG8.0426.SM.3GILD	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
PSME3	1963.57	2209.26	2303.12	1685.71	1844.76	1651.0	2701.35	2335.28	1977.24	2591.27	1015.93	1295.13	981.29	1572.76	1447.15	988.12	1268.46	1175.27	866.07	1794.29	974.5	1225.22	1437.15	1407.55	1662.49	1104.13	1143.1	1508.65	848.22	1044.52	995.0	1127.35	1388.16	967.76	1639.59	1477.58	902.89	1909.85	1143.1	1388.16	981.29	1487.87	1208.34	1551.09	1313.23	1378.57	1135.2	1685.71	1216.75	1268.46	1529.73	1487.87	1051.79	860.08	981.29	981.29	1313.23	1175.27
PTER	332.14	651.58	395.18	438.59	463.65	454.09	397.93	334.46	414.87	460.44	171.45	260.38	114.36	218.79	312.0	226.54	267.73	193.01	221.86	285.03	189.02	273.37	264.03	417.77	147.06	162.14	301.33	211.31	139.07	165.57	120.94	153.34	293.07	199.85	208.38	346.29	138.1	334.46	176.29	220.32	170.25	420.68	201.25	231.32	314.17	220.32	215.77	275.28	190.34	267.73	220.32	165.57	212.78	171.45	251.48	161.02	191.67	253.23
RAD18	236.21	244.57	265.87	211.31	228.13	166.73	214.27	275.28	248.0	234.57	54.72	70.51	58.3	64.8	120.1	90.77	75.64	74.58	34.75	147.06	65.72	107.38	94.67	146.03	89.51	65.26	106.63	87.03	89.51	102.25	70.51	92.7	74.06	69.52	83.45	121.79	70.01	48.52	71.0	96.01	100.13	156.59	76.17	84.63	63.45	142.01	180.02	121.79	79.45	138.1	149.12	116.78	97.36	69.03	90.14	75.11	102.25	53.19
RBBP4	3928.15	4736.79	5479.15	4575.41	4607.24	3928.15	5219.6	5872.48	4358.66	4869.99	1417.35	2835.7	1477.58	2485.67	2367.9	1844.76	2609.3	2319.15	1697.45	2835.7	1487.87	2163.77	2796.65	2417.67	2163.77	2061.24	2468.49	2351.53	1437.15	1605.83	1447.15	1651.0	2664.15	2018.8	2417.67	2935.74	1457.23	2915.45	1551.09	2335.28	1819.35	2816.11	1909.85	2537.92	2400.97	2417.67	2335.28	2935.74	1369.04	2573.36	3060.45	2351.53	1936.53	1662.49	1674.06	1721.16	2255.7	1572.76
SDHC	5791.62	5006.93	4639.29	7382.04	5831.91	4736.79	7081.29	6426.31	5633.22	6887.62	2018.8	2956.17	2209.26	3280.18	3146.52	2032.85	3039.3	2682.69	2032.85	6079.61	2303.12	2682.69	3395.89	3103.19	4358.66	2777.33	2777.33	3794.3	1819.35	1991.0	2468.49	2209.26	2935.74	2645.74	3491.39	2701.35	1950.0	3716.2	2148.82	3103.19	2351.53	4010.71	3820.7	3768.09	2835.7	3124.78	2224.63	3395.89	3303.0	3639.7	3372.43	3614.55	2417.67	2609.3	2627.46	2032.85	2502.97	2701.35
SEC23IP	759.08	1037.29	532.74	884.29	1151.06	928.3	703.28	921.88	1023.0	723.08	303.44	483.38	346.29	466.88	514.56	334.46	397.93	460.44	441.64	470.14	301.33	414.87	435.55	480.04	521.76	332.14	457.25	525.39	309.83	297.17	258.57	447.82	518.15	366.09	543.96	688.78	323.03	723.08	358.54	480.04	341.51	493.56	447.82	511.0	414.87	497.0	463.65	669.92	409.15	429.54	738.29	486.75	438.59	339.14	329.84	327.56	441.64	346.29
SMU1	1286.18	1397.83	1467.37	1551.09	1583.71	1369.04	1477.58	1457.23	1378.57	1467.37	616.37	974.5	733.19	1073.91	1044.52	693.58	915.51	854.13	688.78	1259.69	603.67	1037.29	1073.91	1066.48	1143.1	791.35	1104.13	1051.79	633.73	674.59	603.67	759.08	1044.52	748.61	1119.56	1167.14	679.29	1498.22	733.19	1088.92	743.43	1242.34	915.51	1030.12	1001.93	1081.39	842.36	1359.57	796.86	1015.93	1268.46	1104.13	954.43	708.18	656.11	698.41	866.07	708.18
SPRTN	275.28	307.69	236.21	255.0	285.03	171.45	221.86	215.77	251.48	239.52	82.29	129.69	58.3	102.25	106.63	91.41	59.97	86.43	63.0	111.99	79.45	100.13	133.36	115.16	106.63	97.36	130.6	138.1	91.41	98.04	68.55	128.79	121.79	81.71	164.42	131.51	71.5	151.22	102.25	127.89	108.14	142.01	113.56	138.1	118.43	134.3	78.89	156.59	96.68	118.43	119.26	115.97	60.39	85.22	71.0	100.83	80.01	105.15
TG	16.03	6.41	18.43	29.91	16.51	12.09	7.22	21.94	15.0	28.24	1282030.25	2068278.89	1085552.95	2247670.86	2126426.15	1085552.95	1751305.3	2375828.71	2111737.85	1204496.53	1622738.51	1739208.14	1634025.56	1838374.44	1997825.68	1535204.12	1984025.69	1997825.68	1984025.69	1355129.16	2986448.72	1567462.05	2025714.3	2425749.94	1929772.37	992012.34	1327240.99	887875.81	1622738.51	1727194.55	1589343.01	1100706.72	2636147.11	2263304.65	1775752.63	2111737.85	1691649.38	1668359.93	3178687.03	3886391.01	951601.81	2263304.65	1535204.12	2672946.37	1567462.05	1864037.21	1634025.56	1482909.4
TIMM17A	2287.2	2351.53	1662.49	1721.16	1857.6	1250.98	1651.0	2104.58	1991.0	1870.53	656.11	1023.0	941.27	1159.07	1088.92	769.69	961.07	1023.0	748.61	915.51	738.29	915.51	1572.76	860.08	1628.26	878.17	860.08	1191.69	674.59	656.11	629.35	759.08	1037.29	872.1	1225.22	1199.98	769.69	1457.23	902.89	1096.5	764.36	1151.06	1322.37	1561.89	995.0	1073.91	909.17	1540.37	1322.37	1037.29	1447.15	1437.15	836.53	947.83	775.05	759.08	1104.13	1015.93
TIPRL	1498.22	1561.89	981.29	1378.57	1259.69	836.53	1277.29	1437.15	1030.12	1037.29	237.86	514.56	305.55	450.94	420.68	361.04	412.0	392.44	237.86	543.96	314.17	336.79	559.28	351.14	450.94	363.56	447.82	493.56	329.84	343.89	301.33	353.59	486.75	371.22	497.0	559.28	279.14	466.88	400.71	389.72	420.68	444.72	457.25	466.88	447.82	395.18	376.41	493.56	384.34	406.31	511.0	457.25	368.65	260.38	395.18	287.01	426.57	403.5
TMEM209	384.34	389.72	511.0	447.82	264.03	400.71	457.25	441.64	441.64	473.41	220.32	295.11	148.09	251.48	264.03	150.17	258.57	237.86	136.19	363.56	191.67	275.28	343.89	285.03	223.41	237.86	279.14	314.17	154.42	237.86	147.06	166.73	305.55	211.31	301.33	414.87	169.07	525.39	195.72	309.83	246.28	289.02	229.72	275.28	291.04	329.84	218.79	341.51	258.57	246.28	420.68	287.01	269.6	130.6	154.42	242.88	217.27	244.57
TMEM69	723.08	753.83	599.49	764.36	896.64	733.19	1216.75	974.5	981.29	981.29	438.59	679.29	457.25	612.11	521.76	540.19	571.05	518.15	371.22	808.0	493.56	463.65	684.02	547.75	583.07	521.76	476.71	571.05	607.87	583.07	447.82	473.41	616.37	555.41	607.87	785.88	500.46	836.53	583.07	490.14	738.29	819.3	647.07	633.73	384.34	547.75	486.75	559.28	521.76	603.67	616.37	567.1	503.95	536.45	633.73	521.76	457.25	555.41
TMEM87A	3491.39	2133.97	2224.63	2645.74	2915.45	2451.44	3146.52	2032.85	2004.85	2193.99	872.1	1529.73	825.0	1781.89	1819.35	1143.1	1594.73	1369.04	1151.06	2384.37	1001.93	1467.37	1697.45	1639.59	1250.98	1225.22	1467.37	1651.0	878.17	1008.9	1066.48	1119.56	1369.04	1583.71	1529.73	2609.3	967.76	2664.15	1143.1	1781.89	1427.22	1745.2	1540.37	1487.87	1594.73	2178.83	1191.69	2609.3	1662.49	2032.85	2400.97	1685.71	1369.04	890.44	1216.75	1183.45	1286.18	1096.5
TOMM70A	1175.27	1340.84	1135.2	866.07	791.35	860.08	1023.0	1001.93	1313.23	1447.15	490.14	669.92	438.59	665.29	629.35	480.04	603.67	559.28	540.19	748.61	476.71	642.59	688.78	575.03	579.04	507.46	571.05	656.11	463.65	490.14	432.53	373.81	651.58	543.96	651.58	819.3	563.18	1023.0	514.56	583.07	555.41	674.59	571.05	656.11	579.04	624.99	476.71	743.43	571.05	647.07	928.3	656.11	493.56	460.44	435.55	521.76	575.03	555.41
TRMT10C	733.19	514.56	595.34	503.95	603.67	476.71	642.59	915.51	780.44	647.07	277.2	334.46	269.6	420.68	353.59	218.79	182.55	205.5	221.86	507.46	228.13	301.33	373.81	303.44	373.81	217.27	368.65	392.44	234.57	246.28	312.0	193.01	353.59	241.19	532.74	376.41	249.73	473.41	312.0	363.56	379.04	392.44	417.77	384.34	351.14	368.65	220.32	529.06	361.04	339.14	567.1	447.82	277.2	258.57	241.19	327.56	217.27	287.01
TRMT5	171.45	253.23	358.54	215.77	202.66	232.94	361.04	447.82	327.56	260.38	114.36	202.66	120.1	194.36	130.6	135.24	113.56	114.36	138.1	170.25	106.63	121.79	149.12	120.1	134.3	116.78	226.54	135.24	142.01	152.28	157.68	130.6	150.17	120.1	146.03	231.32	135.24	283.05	115.97	138.1	117.6	211.31	112.77	144.01	164.42	180.02	138.1	185.11	98.04	190.34	155.5	186.4	120.94	118.43	120.1	132.44	125.24	187.71
TSN	1175.27	1447.15	1340.84	1304.15	1498.22	1268.46	1286.18	1397.83	1051.79	1437.15	612.11	1008.9	457.25	836.53	878.17	483.38	830.75	785.88	397.93	928.3	688.78	698.41	791.35	713.11	647.07	866.07	813.63	780.44	579.04	728.11	571.05	633.73	988.12	848.22	1051.79	1304.15	532.74	1295.13	813.63	733.19	764.36	961.07	728.11	890.44	819.3	703.28	607.87	988.12	703.28	743.43	995.0	791.35	713.11	612.11	497.0	791.35	848.22	808.0
TTC30A	193.01	215.77	234.57	228.13	312.0	273.37	366.09	178.77	214.27	220.32	88.88	158.79	58.3	120.94	149.12	43.02	99.43	75.11	89.51	301.33	81.14	151.22	120.1	121.79	121.79	98.73	143.01	115.16	94.01	118.43	66.65	72.01	175.07	140.04	125.24	251.48	74.06	332.14	96.68	113.56	105.89	149.12	130.6	108.9	113.56	115.16	73.03	94.67	101.54	133.36	139.07	159.9	121.79	80.01	45.53	124.37	119.26	139.07
TXNDC9	1015.93	928.3	981.29	1015.93	1508.65	629.35	941.27	909.17	796.86	854.13	260.38	490.14	389.72	511.0	521.76	279.14	384.34	366.09	224.97	571.05	420.68	420.68	595.34	348.71	543.96	358.54	480.04	514.56	267.73	320.8	281.09	275.28	454.09	381.68	555.41	603.67	327.56	819.3	429.54	409.15	392.44	595.34	563.18	651.58	417.77	420.68	320.8	579.04	457.25	457.25	660.68	507.46	366.09	395.18	409.15	348.71	334.46	429.54
UBE2K	1950.0	1651.0	1896.65	1794.29	2061.24	1208.34	1819.35	2255.7	1950.0	2119.22	698.41	1216.75	967.76	1001.93	1023.0	819.3	954.43	1096.5	1059.11	1183.45	896.64	638.15	1295.13	896.64	1059.11	909.17	941.27	902.89	836.53	629.35	872.1	884.29	974.5	878.17	947.83	1096.5	1001.93	1119.56	825.0	830.75	753.83	1127.35	1340.84	1359.57	848.22	909.17	848.22	1111.82	1233.75	1159.07	1096.5	1143.1	836.53	1119.56	1167.14	748.61	981.29	941.27
USP10	1008.9	1639.59	1304.15	813.63	842.36	1457.23	1417.35	974.5	1697.45	1819.35	651.58	866.07	543.96	860.08	860.08	603.67	703.28	713.11	808.0	1023.0	616.37	607.87	780.44	915.51	842.36	684.02	769.69	796.86	547.75	647.07	624.99	500.46	954.43	718.08	848.22	1167.14	633.73	1037.29	629.35	860.08	703.28	819.3	848.22	921.88	718.08	866.07	642.59	974.5	759.08	728.11	1023.0	842.36	708.18	583.07	603.67	656.11	703.28	718.08
USP14	1407.55	1477.58	1733.13	2061.24	2816.11	1617.0	7032.37	1540.37	1437.15	1457.23	381.68	599.49	429.54	723.08	674.59	420.68	500.46	500.46	651.58	825.0	438.59	490.14	769.69	555.41	738.29	470.14	616.37	688.78	363.56	420.68	447.82	435.55	536.45	503.95	679.29	753.83	371.22	842.36	480.04	599.49	486.75	660.68	679.29	813.63	583.07	624.99	599.49	866.07	679.29	651.58	825.0	723.08	518.15	500.46	429.54	412.0	511.0	503.95
VPS4B	974.5	1104.13	1369.04	1268.46	1397.83	1242.34	1119.56	1369.04	981.29	1167.14	555.41	780.44	389.72	713.11	624.99	444.72	603.67	647.07	371.22	941.27	521.76	698.41	775.05	743.43	595.34	607.87	651.58	780.44	525.39	532.74	473.41	603.67	723.08	624.99	647.07	941.27	447.82	1008.9	638.15	665.29	674.59	738.29	607.87	591.22	728.11	738.29	518.15	860.08	518.15	759.08	988.12	693.58	684.02	500.46	392.44	563.18	607.87	629.35
VWA9	890.44	872.1	995.0	860.08	890.44	921.88	1015.93	1030.12	915.51	854.13	728.11	748.61	559.28	780.44	802.41	529.06	684.02	647.07	674.59	961.07	656.11	748.61	708.18	688.78	708.18	775.05	764.36	759.08	684.02	708.18	629.35	591.22	759.08	616.37	819.3	872.1	612.11	995.0	693.58	866.07	791.35	813.63	728.11	688.78	713.11	775.05	629.35	796.86	819.3	775.05	947.83	819.3	723.08	532.74	624.99	698.41	633.73	693.58
XRCC5	4095.0	4575.41	5366.37	4704.07	4704.07	3665.02	4038.61	5633.22	4419.52	4388.98	2178.83	3146.52	2148.82	3257.52	3124.78	2287.2	3419.52	2956.17	2287.2	3742.05	2193.99	2645.74	2855.44	2664.15	3491.39	2739.08	2976.74	3212.66	2178.83	2417.67	2240.11	2417.67	2915.45	3146.52	3491.39	4268.94	2319.15	4869.99	2591.27	2997.45	2777.33	3039.3	2537.92	2956.17	3212.66	3018.3	2485.67	4123.49	2796.65	2935.74	4298.64	2976.74	2682.69	2609.3	2104.58	2537.92	3018.3	2627.46
YIPF5	1378.57	1359.57	1135.2	884.29	1216.75	961.07	842.36	1008.9	1127.35	1322.37	356.05	688.78	450.94	713.11	665.29	426.57	490.14	633.73	371.22	854.13	406.31	493.56	718.08	703.28	665.29	583.07	624.99	599.49	409.15	406.31	414.87	435.55	728.11	518.15	796.86	743.43	409.15	974.5	473.41	703.28	511.0	708.18	642.59	718.08	713.11	624.99	414.87	902.89	669.92	713.11	764.36	708.18	444.72	426.57	521.76	473.41	571.05	490.14
YTHDF3	934.76	733.19	842.36	743.43	775.05	698.41	612.11	753.83	642.59	1199.98	297.17	536.45	265.87	476.71	466.88	332.14	314.17	441.64	426.57	830.75	312.0	457.25	563.18	438.59	384.34	332.14	454.09	493.56	265.87	363.56	265.87	343.89	507.46	323.03	500.46	713.11	248.0	688.78	314.17	460.44	363.56	579.04	466.88	470.14	414.87	497.0	463.65	713.11	406.31	457.25	728.11	514.56	473.41	305.55	289.02	363.56	395.18	368.65
