	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.ZF.AA53.01A.11R.A39I.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	TCGA.DK.A3WW.01A.22R.A23N.07	GTEX.ZF2S.2026.SM.5E461	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CR.7392.01A.11R.2016.07	TCGA.BA.5556.01A.01R.1514.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.MT.A67D.01A.31R.A30B.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.P3.A6T5.01A.11R.A34R.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CR.7380.01A.11R.2016.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.CQ.A4CD.01A.21R.A24Z.07	TCGA.CN.5356.01A.01R.1436.07	TCGA.HD.A4C1.01A.11R.A24H.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CR.7364.01A.11R.2016.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.DD.A39Y.01A.11R.A213.07
HNRNPUL1	2335.28	1081.39	1191.69	1936.53	1819.35	1583.71	2434.5	1561.89	3257.52	2351.53	2178.83	1697.45	2367.9	1605.83	2319.15	1417.35	2163.77	3303.0	2816.11	1628.26	2351.53	2400.97	2163.77	2664.15	2400.97	2178.83	2555.58	2104.58	2520.38	2061.24	1551.09	1286.18	1870.53	1950.0	3124.78	3235.01	3589.58	2434.5	1909.85	2573.36	1551.09	2163.77	1769.57	2485.67	2004.85	3303.0	2271.4	1757.34	2816.11	1769.57	2956.17	2178.83	3039.3	1733.13	2335.28	2997.45	2434.5	2645.74	1540.37	3039.3	2351.53	5517.27	2047.0	1781.89	3515.68	1963.57	2796.65	2148.82	2163.77	2367.9	2434.5	1519.15	2609.3	1781.89	2400.97	2271.4	3103.19	1977.24	988.12
IREB2	277.2	100.83	110.43	90.77	142.01	114.36	178.77	194.36	532.74	258.57	221.86	77.79	232.94	85.82	264.03	271.48	173.85	368.65	384.34	148.09	221.86	273.37	271.48	361.04	164.42	289.02	206.94	212.78	305.55	358.54	172.65	255.0	303.44	244.57	131.51	454.09	403.5	334.46	220.32	329.84	191.67	277.2	106.63	144.01	269.6	551.56	348.71	246.28	409.15	149.12	525.39	486.75	392.44	136.19	166.73	435.55	470.14	412.0	249.73	287.01	366.09	279.14	287.01	143.01	866.07	249.73	400.71	329.84	151.22	218.79	429.54	221.86	232.94	327.56	341.51	171.45	457.25	194.36	74.06
KDM5C	563.18	361.04	432.53	343.89	293.07	260.38	633.73	470.14	1073.91	813.63	769.69	915.51	633.73	224.97	473.41	334.46	1159.07	1832.01	1340.84	432.53	759.08	1119.56	1030.12	902.89	620.67	1322.37	660.68	444.72	1191.69	802.41	412.0	981.29	1119.56	796.86	703.28	854.13	1008.9	854.13	890.44	1277.29	693.58	728.11	595.34	368.65	748.61	1561.89	813.63	1104.13	1417.35	507.46	633.73	764.36	1088.92	511.0	493.56	981.29	1250.98	1427.22	540.19	791.35	1216.75	703.28	1073.91	591.22	743.43	660.68	708.18	753.83	718.08	1135.2	1167.14	854.13	540.19	1697.45	1628.26	514.56	1397.83	947.83	224.97
KIAA0754	1.0	3.11	3.17	1.36	0.65	0.33	5.02	0.66	220.32	13.42	5.32	1.17	3.14	0.84	3.06	7.88	1.62	52.45	12.45	1.46	9.41	6.06	14.14	16.63	2.66	32.36	7.06	3.11	14.03	10.0	4.43	4.98	3.03	5.96	17.25	21.16	12.18	26.86	3.82	28.24	5.96	8.38	2.2	2.32	9.06	38.67	10.24	4.74	14.24	1.16	38.95	32.13	11.91	0.42	3.23	45.85	13.52	57.89	7.69	18.43	10.39	17.25	5.02	2.86	61.68	11.91	18.03	12.74	2.63	7.17	5.36	1.89	6.01	5.45	32.82	3.96	43.32	0.56	1.39
KMT2A	40.64	55.49	45.21	70.01	35.5	76.71	105.15	87.03	579.04	122.64	71.5	96.68	129.69	67.59	139.07	96.68	86.43	325.29	303.44	35.76	94.67	135.24	138.1	217.27	55.49	138.1	53.19	64.8	170.25	181.28	102.97	50.27	90.77	143.01	144.01	258.57	279.14	226.54	77.25	218.79	56.28	80.57	40.07	47.84	175.07	253.23	167.9	109.66	202.66	35.5	154.42	249.73	166.73	74.58	52.08	283.05	123.5	256.78	145.02	134.3	202.66	208.38	99.43	41.52	269.6	116.78	166.73	136.19	68.07	147.06	177.53	109.66	141.02	126.12	226.54	55.1	279.14	47.84	60.82
KMT2E	128.79	103.69	81.14	126.12	104.42	159.9	277.2	156.59	1111.82	249.73	264.03	128.79	97.36	96.01	134.3	251.48	246.28	521.76	397.93	118.43	275.28	217.27	318.57	351.14	260.38	348.71	236.21	214.27	303.44	318.57	180.02	287.01	316.37	181.28	293.07	567.1	660.68	463.65	251.48	341.51	253.23	234.57	178.77	161.02	277.2	603.67	368.65	220.32	387.02	156.59	384.34	392.44	361.04	251.48	191.67	493.56	318.57	693.58	169.07	567.1	406.31	363.56	373.81	171.45	441.64	231.32	414.87	381.68	195.72	267.73	403.5	281.09	262.2	273.37	612.11	228.13	551.56	201.25	87.03
KRT17	307450.64	2520.38	184082.4	258533.99	175363.84	450134.56	472513.8	282912.21	4736.79	4953441.24	365622.68	226632.25	462789.59	408505.64	402881.61	453265.5	408505.64	165904.25	290865.98	263966.36	971597.0	542775.98	485798.0	363097.14	589853.66	462789.59	284880.02	453265.5	389157.95	466008.55	716197.51	701458.36	593956.43	437825.58	428815.23	334117.42	365622.68	524287.0	524287.0	348306.01	440870.9	400098.69	251464.33	542775.98	402881.61	294926.33	565825.41	645473.24	447025.24	513497.31	226632.25	226632.25	373305.21	373305.21	336441.4	214407.12	237899.7	397335.0	546551.29	632189.57	242898.5	485798.0	450134.56	350728.68	87681.42	466008.55	443937.41	425853.18	585779.24	912837.43	417089.23	331809.5	546551.29	475800.4	258533.99	338781.54	271387.49	506427.83	17.9
LRRK1	195.72	122.64	106.63	111.21	100.83	49.56	150.17	159.9	253.23	117.6	175.07	97.36	163.28	26.86	147.06	16.75	104.42	241.19	260.38	143.01	147.06	164.42	171.45	202.66	201.25	117.6	129.69	194.36	171.45	139.07	75.11	185.11	178.77	214.27	116.78	258.57	204.07	209.84	161.02	154.42	100.83	159.9	109.66	78.89	125.24	226.54	155.5	193.01	215.77	107.38	371.22	260.38	262.2	116.78	166.73	579.04	237.86	287.01	92.05	190.34	343.89	204.07	201.25	100.13	314.17	123.5	148.09	166.73	109.66	145.02	191.67	139.07	212.78	156.59	253.23	33.06	353.59	159.9	4.74
LTN1	63.0	25.54	49.91	52.45	42.71	44.89	100.13	115.97	490.14	84.04	107.38	59.55	155.5	53.57	181.28	118.43	89.51	226.54	182.55	81.14	143.01	146.03	120.94	172.65	85.82	187.71	120.1	43.63	171.45	182.55	127.89	142.01	143.01	143.01	96.68	256.78	212.78	163.28	132.44	134.3	140.04	105.89	59.97	63.0	204.07	212.78	150.17	150.17	153.34	89.51	228.13	256.78	136.19	97.36	110.43	237.86	209.84	226.54	111.21	110.43	217.27	180.02	130.6	96.68	220.32	167.9	156.59	197.09	84.63	124.37	180.02	111.99	133.36	163.28	214.27	72.01	205.5	105.15	19.68
MAPK8	161.02	189.02	343.89	147.06	236.21	325.29	457.25	279.14	1427.22	1151.06	563.18	175.07	409.15	297.17	447.82	204.07	353.59	679.29	412.0	267.73	269.6	368.65	353.59	444.72	305.55	511.0	323.03	241.19	764.36	318.57	343.89	237.86	387.02	334.46	289.02	764.36	607.87	409.15	244.57	480.04	473.41	612.11	279.14	409.15	450.94	547.75	450.94	267.73	348.71	281.09	376.41	872.1	463.65	318.57	403.5	543.96	444.72	656.11	395.18	305.55	381.68	543.96	567.1	366.09	713.11	381.68	595.34	500.46	356.05	358.54	384.34	429.54	392.44	325.29	503.95	226.54	540.19	249.73	163.28
MED13L	129.69	85.22	98.73	132.44	98.04	171.45	248.0	173.85	825.0	231.32	325.29	100.13	239.52	155.5	249.73	163.28	205.5	603.67	417.77	126.12	260.38	341.51	356.05	540.19	191.67	429.54	232.94	139.07	312.0	346.29	287.01	246.28	343.89	368.65	234.57	551.56	511.0	414.87	269.6	483.38	285.03	181.28	131.51	241.19	395.18	559.28	395.18	293.07	318.57	195.72	466.88	486.75	358.54	187.71	154.42	412.0	426.57	591.22	381.68	403.5	429.54	540.19	312.0	180.02	551.56	277.2	299.25	353.59	134.3	356.05	460.44	229.72	236.21	454.09	518.15	262.2	486.75	167.9	51.71
MED14	291.04	138.1	215.77	246.28	249.73	180.02	397.93	244.57	536.45	567.1	525.39	403.5	371.22	182.55	334.46	153.34	642.59	934.76	387.02	232.94	400.71	466.88	674.59	366.09	309.83	599.49	316.37	218.79	688.78	285.03	206.94	389.72	387.02	423.61	242.88	441.64	532.74	450.94	373.81	348.71	356.05	323.03	151.22	201.25	305.55	450.94	417.77	414.87	470.14	258.57	351.14	529.06	490.14	211.31	301.33	624.99	444.72	486.75	316.37	454.09	483.38	400.71	669.92	305.55	575.03	447.82	376.41	493.56	305.55	441.64	536.45	356.05	339.14	1127.35	571.05	277.2	429.54	318.57	72.52
MFAP3	148.09	70.51	156.59	148.09	127.0	115.97	260.38	171.45	450.94	299.25	173.85	181.28	262.2	220.32	262.2	202.66	258.57	567.1	423.61	182.55	339.14	239.52	295.11	463.65	183.82	361.04	154.42	150.17	400.71	293.07	242.88	236.21	371.22	223.41	199.85	457.25	559.28	480.04	267.73	414.87	183.82	220.32	158.79	172.65	307.69	547.75	295.11	291.04	429.54	171.45	563.18	529.06	336.79	279.14	218.79	514.56	389.72	583.07	320.8	327.56	381.68	277.2	183.82	182.55	463.65	392.44	220.32	341.51	212.78	301.33	358.54	201.25	289.02	277.2	483.38	204.07	429.54	212.78	85.22
MKL2	45.53	29.27	22.43	15.22	24.46	30.56	127.89	81.14	830.75	71.5	108.9	34.51	90.14	48.87	90.14	73.54	77.79	414.87	253.23	63.89	141.02	120.1	165.57	208.38	84.63	161.02	84.04	93.35	212.78	180.02	140.04	80.57	106.63	135.24	107.38	438.59	236.21	314.17	100.83	275.28	85.82	147.06	43.94	78.34	181.28	295.11	163.28	112.77	208.38	50.63	389.72	366.09	228.13	60.82	78.34	358.54	217.27	271.48	229.72	140.04	255.0	173.85	133.36	78.89	447.82	128.79	120.94	148.09	88.88	125.24	125.24	83.45	111.99	165.57	281.09	122.64	423.61	71.5	11.3
MTX3	16.51	2.61	18.56	6.73	6.62	14.35	50.27	24.28	281.09	19.97	33.3	18.56	38.67	16.03	32.82	49.21	33.54	110.43	84.04	22.43	53.57	46.18	56.28	71.5	32.59	55.89	29.91	32.36	63.45	67.12	44.57	21.63	71.5	74.58	50.98	67.59	62.56	106.63	21.94	66.18	70.01	34.75	15.11	27.64	55.49	85.82	46.5	38.67	91.41	24.63	107.38	108.9	45.85	30.56	45.85	139.07	96.01	83.45	75.11	66.65	84.63	71.0	50.63	32.36	92.05	57.89	80.01	75.11	31.45	30.34	59.55	23.25	51.35	39.5	94.67	45.85	119.26	25.35	6.84
MYO9A	63.89	28.45	36.27	28.04	35.25	36.27	111.99	44.25	429.54	68.07	52.08	25.91	57.89	34.75	62.56	54.72	68.07	176.29	215.77	39.5	121.79	108.14	191.67	156.59	90.77	119.26	52.08	94.01	165.57	1794.29	81.71	76.17	81.14	116.78	60.82	138.1	134.3	239.52	78.34	153.34	79.45	115.16	32.59	53.95	81.14	152.28	127.89	115.16	138.1	50.27	244.57	201.25	108.14	48.18	49.21	279.14	147.06	195.72	87.65	163.28	197.09	102.25	251.48	59.55	397.93	103.69	162.14	131.51	76.17	106.63	125.24	52.82	94.01	130.6	189.02	103.69	206.94	70.51	8.85
NR2C2	60.39	55.49	48.52	53.57	79.45	57.89	185.11	71.5	412.0	98.04	69.52	62.12	127.0	50.27	131.51	78.34	59.97	212.78	248.0	47.84	96.01	93.35	108.14	194.36	42.71	253.23	76.17	67.59	104.42	167.9	71.0	102.25	118.43	112.77	75.64	189.02	239.52	224.97	69.52	169.07	57.49	90.14	53.19	51.71	101.54	275.28	129.69	87.03	153.34	36.53	180.02	246.28	186.4	41.22	67.59	202.66	162.14	260.38	90.77	102.97	189.02	146.03	105.15	74.58	189.02	82.29	171.45	137.14	64.34	102.97	120.94	96.01	85.82	133.36	183.82	80.57	221.86	74.58	60.39
NUP153	229.72	140.04	187.71	182.55	150.17	190.34	432.53	256.78	579.04	463.65	420.68	206.94	318.57	271.48	318.57	373.81	314.17	603.67	483.38	221.86	361.04	476.71	426.57	503.95	307.69	447.82	356.05	325.29	571.05	353.59	281.09	273.37	329.84	366.09	152.28	656.11	669.92	490.14	329.84	503.95	361.04	633.73	223.41	426.57	603.67	563.18	403.5	373.81	656.11	197.09	536.45	633.73	493.56	287.01	183.82	1594.73	529.06	603.67	473.41	521.76	583.07	555.41	514.56	312.0	708.18	417.77	373.81	447.82	204.07	373.81	486.75	277.2	429.54	414.87	480.04	341.51	540.19	277.2	125.24
OSBPL8	143.01	112.77	146.03	176.29	205.5	153.34	318.57	185.11	753.83	269.6	158.79	113.56	197.09	175.07	237.86	334.46	262.2	651.58	406.31	152.28	325.29	293.07	414.87	567.1	147.06	616.37	163.28	133.36	423.61	312.0	329.84	260.38	297.17	265.87	248.0	323.03	583.07	490.14	190.34	429.54	275.28	231.32	94.67	137.14	248.0	612.11	323.03	291.04	376.41	172.65	500.46	624.99	381.68	183.82	224.97	669.92	447.82	629.35	299.25	271.48	392.44	373.81	224.97	134.3	587.13	281.09	358.54	432.53	156.59	299.25	307.69	135.24	291.04	334.46	466.88	187.71	500.46	237.86	48.18
PBRM1	147.06	78.34	107.38	152.28	148.09	64.8	241.19	167.9	1044.52	314.17	211.31	90.14	199.85	102.97	197.09	151.22	127.0	435.55	454.09	96.01	285.03	204.07	334.46	457.25	94.01	224.97	136.19	154.42	253.23	285.03	124.37	186.4	232.94	273.37	147.06	301.33	490.14	323.03	162.14	381.68	146.03	253.23	81.71	105.89	166.73	603.67	273.37	289.02	432.53	92.7	371.22	529.06	293.07	90.14	77.79	486.75	450.94	511.0	183.82	172.65	441.64	387.02	169.07	92.7	450.94	176.29	206.94	348.71	102.25	234.57	309.83	158.79	260.38	275.28	327.56	164.42	551.56	198.47	101.54
PHF16	71.5	26.28	40.07	52.08	36.27	68.55	72.52	58.3	384.34	98.04	85.82	45.21	65.26	32.59	63.0	43.02	82.87	159.9	85.22	40.36	69.03	78.34	86.43	61.68	55.89	84.63	36.53	33.06	73.54	63.0	46.84	57.08	56.68	62.12	39.22	71.0	102.25	95.34	45.21	102.97	68.07	84.04	15.11	24.63	65.26	69.52	74.06	56.28	55.49	26.86	76.17	87.03	73.54	52.08	43.02	157.68	73.03	62.12	55.1	108.14	93.35	100.13	80.01	42.41	115.16	50.98	76.71	62.12	49.56	64.34	78.34	45.21	67.12	133.36	81.71	56.68	88.26	53.95	65.72
PIK3C2A	46.18	58.71	57.49	60.82	84.04	58.3	104.42	105.15	559.28	100.83	128.79	74.58	131.51	64.34	149.12	269.6	195.72	384.34	309.83	71.5	177.53	229.72	177.53	191.67	75.11	267.73	162.14	105.89	316.37	287.01	187.71	167.9	186.4	154.42	117.6	237.86	299.25	271.48	128.79	327.56	121.79	224.97	46.18	111.21	167.9	400.71	241.19	177.53	281.09	50.63	323.03	363.56	223.41	98.04	125.24	301.33	327.56	450.94	224.97	209.84	275.28	209.84	218.79	104.42	470.14	150.17	206.94	265.87	63.89	158.79	251.48	111.21	161.02	267.73	314.17	108.14	343.89	118.43	65.72
POLR3A	124.37	70.01	92.05	110.43	88.26	140.04	117.6	110.43	244.57	113.56	126.12	82.29	161.02	90.77	156.59	75.11	125.24	236.21	208.38	129.69	169.07	139.07	186.4	273.37	131.51	152.28	125.24	105.89	236.21	163.28	124.37	115.97	108.9	162.14	90.14	194.36	161.02	175.07	133.36	145.02	164.42	212.78	75.11	149.12	171.45	191.67	170.25	152.28	195.72	136.19	234.57	295.11	186.4	166.73	170.25	248.0	180.02	169.07	148.09	236.21	169.07	148.09	158.79	129.69	205.5	181.28	128.79	140.04	231.32	151.22	209.84	126.12	164.42	170.25	173.85	92.05	181.28	129.69	84.04
PUM1	353.59	295.11	255.0	346.29	262.2	450.94	555.41	503.95	1498.22	819.3	612.11	339.14	540.19	444.72	603.67	473.41	490.14	1199.98	1111.82	389.72	836.53	612.11	764.36	825.0	476.71	728.11	450.94	583.07	728.11	884.29	723.08	713.11	848.22	802.41	518.15	902.89	1104.13	878.17	514.56	733.19	624.99	693.58	684.02	532.74	1066.48	1008.9	921.88	624.99	842.36	387.02	915.51	1159.07	775.05	400.71	532.74	1135.2	825.0	1104.13	718.08	819.3	1015.93	981.29	769.69	540.19	1407.55	791.35	830.75	718.08	412.0	909.17	974.5	620.67	718.08	909.17	1159.07	555.41	967.76	525.39	320.8
RAB5B	343.89	503.95	316.37	363.56	551.56	397.93	1447.15	470.14	2976.74	4769.75	633.73	361.04	988.12	348.71	808.0	947.83	748.61	1794.29	1508.65	638.15	1540.37	1427.22	1457.23	1806.78	1295.13	1662.49	591.22	988.12	1233.75	1781.89	1508.65	1709.26	1081.39	1268.46	769.69	2090.03	2351.53	2090.03	1001.93	1417.35	1437.15	1151.06	583.07	507.46	1135.2	1991.0	1529.73	1427.22	1286.18	543.96	1268.46	1617.0	1407.55	902.89	497.0	1639.59	1407.55	1832.01	1628.26	1498.22	2032.85	1359.57	1313.23	860.08	2224.63	1259.69	1519.15	1572.76	748.61	1883.54	2090.03	733.19	1407.55	1250.98	1832.01	780.44	2090.03	1208.34	236.21
RANBP2	249.73	151.22	147.06	120.94	162.14	169.07	301.33	205.5	759.08	214.27	215.77	193.01	267.73	190.34	293.07	214.27	191.67	454.09	435.55	185.11	343.89	323.03	381.68	332.14	232.94	397.93	277.2	169.07	363.56	412.0	397.93	291.04	395.18	332.14	226.54	376.41	511.0	358.54	244.57	426.57	289.02	318.57	228.13	150.17	395.18	629.35	423.61	320.8	595.34	212.78	551.56	616.37	387.02	206.94	217.27	669.92	518.15	551.56	318.57	332.14	536.45	368.65	426.57	157.68	503.95	348.71	363.56	356.05	172.65	341.51	473.41	249.73	412.0	275.28	463.65	236.21	633.73	277.2	75.64
RAPGEF2	44.89	49.91	36.53	63.0	52.82	67.12	183.82	76.71	764.36	138.1	115.97	69.52	61.25	47.5	59.55	75.64	84.04	318.57	323.03	70.01	199.85	187.71	187.71	414.87	85.22	343.89	124.37	90.14	205.5	251.48	101.54	209.84	170.25	325.29	234.57	327.56	373.81	307.69	137.14	237.86	100.83	104.42	87.65	88.26	173.85	358.54	215.77	173.85	346.29	103.69	217.27	371.22	329.84	101.54	120.94	432.53	265.87	674.59	117.6	218.79	307.69	412.0	167.9	132.44	371.22	220.32	293.07	253.23	132.44	211.31	262.2	153.34	218.79	232.94	435.55	63.0	379.04	87.65	32.13
RBM12	384.34	180.02	269.6	251.48	183.82	231.32	525.39	400.71	1104.13	476.71	327.56	426.57	432.53	348.71	397.93	497.0	521.76	961.07	896.64	323.03	450.94	441.64	607.87	848.22	392.44	642.59	423.61	318.57	808.0	567.1	441.64	373.81	679.29	507.46	289.02	688.78	902.89	693.58	483.38	651.58	525.39	665.29	301.33	450.94	688.78	1225.22	679.29	486.75	830.75	332.14	878.17	954.43	780.44	409.15	423.61	1023.0	1030.12	961.07	733.19	738.29	974.5	819.3	551.56	395.18	1059.11	563.18	698.41	603.67	332.14	532.74	679.29	511.0	555.41	629.35	669.92	511.0	728.11	351.14	119.26
RBM27	96.01	37.32	104.42	107.38	75.64	117.6	224.97	180.02	323.03	170.25	191.67	107.38	162.14	154.42	177.53	129.69	165.57	275.28	301.33	100.13	171.45	147.06	189.02	242.88	131.51	248.0	108.9	107.38	231.32	175.07	128.79	110.43	244.57	163.28	102.25	297.17	444.72	239.52	167.9	208.38	107.38	144.01	83.45	138.1	251.48	312.0	220.32	133.36	218.79	127.0	389.72	314.17	242.88	145.02	139.07	273.37	253.23	275.28	198.47	244.57	244.57	229.72	141.02	156.59	239.52	205.5	228.13	229.72	161.02	162.14	177.53	169.07	187.71	167.9	260.38	151.22	273.37	133.36	90.14
REL	28.04	7.69	21.32	11.38	20.26	20.41	84.04	73.54	217.27	105.15	80.01	14.78	62.56	14.35	72.01	65.72	34.02	221.86	145.02	27.05	82.87	65.26	99.43	142.01	59.13	176.29	58.3	37.05	104.42	78.34	54.33	108.14	67.59	81.14	30.78	249.73	209.84	97.36	33.54	175.07	130.6	44.25	57.49	52.08	139.07	166.73	97.36	56.28	116.78	16.63	220.32	190.34	132.44	37.05	40.64	209.84	74.06	260.38	52.08	129.69	248.0	100.83	141.02	40.64	271.48	69.03	305.55	120.1	32.36	100.13	132.44	69.52	76.17	85.22	224.97	44.25	176.29	30.12	3.35
REST	74.06	94.01	71.0	107.38	106.63	114.36	169.07	119.26	587.13	271.48	141.02	98.04	150.17	74.58	154.42	145.02	127.0	256.78	249.73	99.43	167.9	136.19	173.85	244.57	106.63	197.09	90.77	96.68	116.78	138.1	156.59	89.51	181.28	205.5	129.69	189.02	334.46	167.9	137.14	251.48	128.79	102.25	115.97	106.63	164.42	285.03	195.72	146.03	220.32	100.13	314.17	329.84	221.86	130.6	118.43	316.37	226.54	287.01	136.19	208.38	267.73	214.27	130.6	123.5	334.46	127.0	204.07	197.09	111.99	140.04	241.19	144.01	169.07	181.28	323.03	151.22	289.02	126.12	52.08
RNF41	279.14	316.37	293.07	329.84	366.09	366.09	547.75	316.37	796.86	432.53	438.59	237.86	392.44	356.05	387.02	599.49	336.79	633.73	460.44	329.84	387.02	363.56	406.31	723.08	346.29	525.39	307.69	329.84	470.14	320.8	376.41	256.78	314.17	373.81	343.89	703.28	587.13	575.03	297.17	518.15	438.59	497.0	246.28	336.79	420.68	536.45	441.64	323.03	486.75	299.25	483.38	607.87	420.68	435.55	305.55	693.58	384.34	571.05	376.41	466.88	447.82	441.64	348.71	262.2	612.11	486.75	713.11	409.15	307.69	450.94	400.71	353.59	438.59	417.77	476.71	397.93	563.18	392.44	132.44
RP2	94.67	90.14	77.25	84.63	99.43	65.72	102.97	100.13	198.47	314.17	84.63	80.57	85.22	57.08	94.67	108.9	135.24	366.09	199.85	96.68	102.97	142.01	132.44	220.32	105.89	258.57	90.14	51.35	195.72	108.14	70.01	102.25	115.97	109.66	109.66	206.94	178.77	127.0	124.37	295.11	139.07	126.12	51.71	33.3	107.38	223.41	159.9	116.78	182.55	77.79	161.02	181.28	194.36	114.36	98.73	138.1	180.02	291.04	100.83	129.69	193.01	242.88	112.77	59.97	253.23	139.07	195.72	187.71	80.01	131.51	145.02	151.22	153.34	260.38	164.42	66.65	215.77	107.38	25.54
SEC23IP	277.2	211.31	371.22	197.09	264.03	253.23	371.22	376.41	759.08	231.32	379.04	232.94	256.78	231.32	339.14	262.2	295.11	607.87	376.41	275.28	366.09	361.04	389.72	460.44	256.78	368.65	353.59	297.17	493.56	387.02	358.54	303.44	309.83	403.5	228.13	575.03	463.65	420.68	305.55	454.09	387.02	521.76	198.47	325.29	358.54	656.11	426.57	327.56	361.04	376.41	587.13	854.13	454.09	309.83	307.69	503.95	587.13	447.82	397.93	281.09	420.68	441.64	361.04	332.14	698.41	379.04	301.33	379.04	214.27	295.11	361.04	395.18	384.34	348.71	397.93	329.84	540.19	320.8	134.3
SEC24C	878.17	503.95	612.11	759.08	679.29	698.41	1059.11	753.83	1529.73	3039.3	769.69	733.19	947.83	540.19	836.53	500.46	995.0	1498.22	1304.15	802.41	1639.59	1250.98	1216.75	1304.15	1088.92	1208.34	1015.93	866.07	1259.69	1397.83	1051.79	1697.45	1159.07	1159.07	748.61	1721.16	1417.35	1870.53	1331.57	1183.45	1250.98	1662.49	769.69	703.28	1023.0	1745.2	1628.26	1477.58	1674.06	780.44	1286.18	2537.92	1378.57	1191.69	723.08	1519.15	1417.35	1447.15	1277.29	1135.2	1295.13	1135.2	1529.73	995.0	1781.89	1233.75	961.07	1233.75	2004.85	1313.23	1388.16	1051.79	988.12	1001.93	1857.6	836.53	1769.57	1322.37	633.73
SECISBP2L	55.89	51.35	56.28	60.82	60.39	67.59	144.01	115.16	813.63	277.2	78.89	54.33	87.65	32.82	95.34	87.03	78.34	249.73	189.02	55.89	162.14	102.25	143.01	146.03	75.64	166.73	101.54	82.29	164.42	159.9	94.01	237.86	152.28	131.51	164.42	187.71	232.94	183.82	103.69	170.25	122.64	118.43	40.64	53.95	115.16	397.93	211.31	185.11	241.19	64.8	187.71	231.32	218.79	70.01	145.02	206.94	182.55	392.44	130.6	127.0	346.29	228.13	120.1	73.03	232.94	128.79	140.04	215.77	84.63	166.73	173.85	181.28	128.79	125.24	221.86	68.55	366.09	97.36	40.07
