	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4XY.1626.SM.46MVN	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.12696.0826.SM.5EGGE	GTEX.132NY.0926.SM.5P9G3	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YF7O.0626.SM.4W21R	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11PRG.0926.SM.5EGI8	GTEX.WFJO.0326.SM.3GIL3	GTEX.111YS.0626.SM.5GZXV	GTEX.YEC3.0226.SM.5IFJO	GTEX.PX3G.0526.SM.2I3EM	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.Q2AH.0426.SM.2I3EP	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.YJ8O.1826.SM.5HL82	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.13OW8.1726.SM.5L3GO	GTEX.QMRM.0826.SM.3NB33
MAPK3	258.57	336.79	417.77	559.28	435.55	587.13	295.11	466.88	348.71	217.27	0.0	0.75	1733.13	2855.44	3467.27	3349.13	2956.17	830.75	2133.97	3540.14	2090.03	2004.85	2976.74	1487.87	6381.92	1457.23	2119.22	2133.97	3768.09	2240.11	1757.34	1617.0	2319.15	3325.99	2555.58	2163.77	4481.23	2627.46	4152.18	1467.37	3212.66	2739.08	1745.2	4388.98
MEGF8	60.82	24.81	41.81	34.51	58.71	102.25	118.43	67.59	68.07	22.92	0.0	0.61	105.15	361.04	371.22	189.02	287.01	106.63	242.88	190.34	246.28	90.77	329.84	87.03	264.03	169.07	133.36	293.07	441.64	224.97	187.71	366.09	223.41	420.68	426.57	130.6	267.73	83.45	376.41	271.48	371.22	591.22	161.02	444.72
MLC1	4.43	1.6	1.83	5.11	1.75	4.03	3.32	0.21	3.41	5.77	0.0	0.17	12.45	16.15	59.55	96.68	50.63	5.02	20.86	70.51	44.89	157.68	131.51	14.56	68.07	19.53	9.48	11.47	89.51	25.72	8.51	12.36	77.79	63.0	84.63	40.07	152.28	25.91	74.06	139.07	88.88	98.04	30.34	66.18
MMS22L	5.92	2.2	2.94	14.14	13.32	1.93	6.31	25.91	7.11	8.65	0.0	0.39	28.04	35.76	64.8	23.93	25.17	60.39	36.01	32.13	54.72	22.59	69.03	18.29	21.78	50.63	31.45	54.33	117.6	42.11	27.05	19.39	56.68	62.56	24.63	26.1	88.26	20.71	121.79	33.54	106.63	59.13	45.21	61.25
MRAP2	2.94	5.19	0.0	0.04	3.72	3.89	0.0	0.0	0.0	0.21	46.84	137.14	19.25	27.44	108.9	348.71	361.04	8.25	72.01	79.45	29.06	44.25	33.78	10.31	208.38	19.53	172.65	86.43	18.16	30.34	1.11	723.08	153.34	301.33	133.36	33.06	12076.21	57.08	22.1	31.67	72.52	14.35	22.43	329.84
MRVI1	5.68	10.55	34.26	6.41	8.85	4.1	6.46	6.11	7.28	9.27	0.0	0.59	72.01	260.38	59.55	187.71	387.02	131.51	33.54	136.19	69.03	41.22	109.66	28.04	395.18	76.71	53.57	88.26	260.38	131.51	177.53	753.83	41.52	426.57	229.72	50.27	1350.18	40.36	191.67	84.63	215.77	163.28	112.77	346.29
MYH11	38.95	39.5	67.59	23.25	242.88	81.71	20.11	9.27	31.0	16.75	0.0	0.79	1225.22	2520.38	1322.37	8901.53	40062.48	3372.43	708.18	6207.38	961.07	1963.57	4095.0	1883.54	21172.91	1977.24	988.12	1216.75	5954.47	4038.61	620.67	15934.98	1519.15	12076.21	9409.14	890.44	119776.72	1322.37	5255.91	941.27	5594.3	2609.3	629.35	10084.54
MYL9	791.35	1044.52	723.08	125.24	620.67	414.87	500.46	314.17	616.37	476.71	0.0	0.89	11267.44	27174.14	23820.89	26067.14	57448.23	8718.32	7230.1	18304.63	8134.41	17558.94	25179.16	6699.25	79572.48	11992.79	8598.28	11189.6	34635.37	13399.51	8022.41	33224.42	7589.61	32994.92	22380.2	11827.67	131071.0	10154.69	23169.48	8658.09	41763.8	14065.74	7382.04	24660.96
NAALADL1	20.71	46.5	18.03	12.45	55.49	30.34	30.12	30.78	24.81	16.88	0.0	0.54	165.57	126.12	144.01	361.04	251.48	52.82	231.32	376.41	158.79	206.94	269.6	55.1	974.5	110.43	144.01	211.31	616.37	159.9	148.09	209.84	283.05	450.94	307.69	149.12	669.92	215.77	547.75	197.09	208.38	295.11	115.97	397.93
NAGA	543.96	476.71	267.73	148.09	529.06	244.57	435.55	249.73	366.09	255.0	0.0	0.44	808.0	587.13	603.67	1001.93	728.11	297.17	463.65	1044.52	854.13	450.94	813.63	620.67	738.29	713.11	713.11	902.89	1628.26	473.41	307.69	967.76	507.46	1191.69	693.58	432.53	633.73	353.59	1066.48	981.29	748.61	981.29	915.51	934.76
NAP1L3	7.51	5.68	1.19	2.16	1.97	0.19	5.59	4.28	4.43	2.29	0.0	0.13	49.21	39.5	27.64	37.05	82.29	15.91	20.11	34.02	44.25	21.94	15.22	2.66	39.5	31.9	17.25	40.93	94.67	18.84	17.0	88.88	17.77	77.79	52.45	34.26	228.13	10.71	78.34	45.85	79.45	27.25	4.5	94.67
NDN	54.72	63.0	27.25	17.0	52.08	21.16	61.68	61.25	33.3	11.3	0.0	0.61	1286.18	1143.1	497.0	409.15	785.88	176.29	412.0	733.19	633.73	638.15	633.73	115.97	2627.46	423.61	305.55	981.29	2032.85	176.29	295.11	1037.29	642.59	928.3	830.75	325.29	2835.7	260.38	1508.65	559.28	995.0	688.78	197.09	1757.34
NES	23.25	59.97	39.5	47.17	24.81	59.13	56.68	187.71	69.52	22.26	0.0	0.47	669.92	1001.93	1277.29	713.11	1378.57	131.51	229.72	1487.87	540.19	2400.97	2351.53	255.0	1199.98	1208.34	785.88	974.5	1709.26	214.27	293.07	2303.12	796.86	2915.45	1167.14	764.36	693.58	872.1	3820.7	525.39	1594.73	1437.15	75.64	1199.98
NOV	4.5	12.93	9.41	3.47	3.96	10.08	7.28	7.69	0.96	6.94	0.0	0.02	90.14	190.34	54.72	334.46	155.5	329.84	102.97	314.17	32.36	47.84	154.42	35.0	490.14	60.82	40.93	84.63	104.42	47.84	148.09	599.49	106.63	339.14	108.9	47.84	3081.75	71.5	65.26	53.57	123.5	50.27	41.81	309.83
NPAS4	0.72	0.0	0.56	0.15	0.0	0.21	0.66	0.0	0.19	0.4	0.0	0.16	0.75	2.51	0.99	3.32	4.7	0.78	0.95	2.63	0.14	1.06	0.45	0.11	3.89	0.78	1.2	1.68	2.66	0.66	2.1	4.98	0.89	4.62	3.53	0.27	24.81	0.11	0.13	0.62	4.9	7.57	1.51	1.46
NPTXR	5.54	9.06	2.84	16.39	3.56	5.06	2.51	2.1	3.89	16.27	0.0	0.39	26.1	159.9	273.37	242.88	358.54	17.51	32.59	87.03	30.34	57.49	165.57	21.16	116.78	28.24	56.68	123.5	189.02	43.32	4.06	202.66	77.25	186.4	181.28	33.78	802.41	68.55	169.07	27.44	129.69	137.14	2.92	258.57
NYNRIN	80.01	8.06	8.51	8.06	13.72	5.19	17.64	21.01	41.81	4.21	0.0	0.39	119.26	346.29	457.25	224.97	287.01	10.0	226.54	356.05	277.2	126.12	417.77	27.05	656.11	147.06	100.13	426.57	599.49	201.25	26.28	441.64	178.77	287.01	189.02	112.77	514.56	127.0	723.08	269.6	796.86	490.14	65.26	457.25
PAFAH1B3	152.28	107.38	45.53	38.12	234.57	381.68	84.63	253.23	275.28	63.0	0.0	0.27	420.68	307.69	289.02	336.79	152.28	73.03	414.87	511.0	366.09	323.03	351.14	607.87	579.04	201.25	226.54	363.56	1605.83	220.32	145.02	373.81	480.04	642.59	587.13	414.87	253.23	376.41	633.73	400.71	389.72	583.07	212.78	599.49
PCBP4	155.5	122.64	130.6	171.45	66.65	198.47	125.24	145.02	147.06	100.83	0.0	0.69	275.28	624.99	688.78	571.05	723.08	368.65	435.55	447.82	327.56	674.59	651.58	253.23	1447.15	417.77	323.03	470.14	775.05	409.15	417.77	567.1	429.54	575.03	647.07	301.33	1427.22	532.74	941.27	389.72	759.08	612.11	293.07	563.18
PCDH7	1.57	3.63	0.67	16.03	6.16	0.37	6.46	3.96	6.62	0.0	0.0	0.38	34.02	92.05	125.24	185.11	164.42	25.72	12.93	53.95	23.25	5.59	24.46	1.85	198.47	38.12	54.72	51.71	88.26	33.78	12.83	108.14	35.5	119.26	35.5	15.0	2997.45	23.08	56.28	12.27	42.41	61.68	16.03	376.41
PDGFB	15.91	56.28	36.27	26.86	16.27	18.84	70.51	38.4	35.0	29.7	0.0	0.13	293.07	242.88	620.67	825.0	836.53	131.51	126.12	842.36	460.44	981.29	438.59	1051.79	540.19	1199.98	429.54	351.14	684.02	336.79	796.86	723.08	368.65	708.18	713.11	395.18	1199.98	194.36	1617.0	336.79	503.95	432.53	417.77	381.68
PDLIM7	106.63	309.83	269.6	320.8	85.82	293.07	226.54	159.9	119.26	332.14	2400.97	381.68	647.07	1467.37	521.76	1066.48	1651.0	728.11	463.65	759.08	688.78	713.11	1127.35	607.87	2384.37	395.18	563.18	769.69	2384.37	529.06	1088.92	2178.83	457.25	2739.08	1151.06	674.59	5076.84	470.14	854.13	500.46	961.07	884.29	432.53	974.5
PDZD4	8.58	15.56	14.14	15.56	14.03	2.97	8.92	3.06	14.67	8.51	0.0	0.44	11.38	54.72	36.79	128.79	74.58	49.91	45.53	163.28	16.39	78.34	85.82	55.89	202.66	37.32	24.46	30.34	71.5	95.34	15.0	85.22	17.64	183.82	241.19	17.9	454.09	25.72	214.27	60.82	56.68	49.56	102.25	102.97
PFKM	88.26	153.34	50.98	50.27	94.67	77.79	61.25	102.25	147.06	13.83	0.0	0.83	368.65	629.35	660.68	503.95	412.0	84.63	532.74	429.54	743.43	336.79	674.59	303.44	708.18	638.15	339.14	995.0	1104.13	466.88	463.65	629.35	529.06	1183.45	688.78	297.17	1242.34	536.45	1119.56	748.61	1350.18	1519.15	387.02	909.17
PJA1	110.43	113.56	111.21	551.56	229.72	162.14	49.56	70.01	80.57	221.86	0.0	0.53	450.94	607.87	483.38	624.99	450.94	122.64	466.88	769.69	392.44	447.82	406.31	309.83	819.3	409.15	356.05	514.56	796.86	412.0	186.4	371.22	457.25	764.36	392.44	320.8	607.87	353.59	718.08	403.5	629.35	723.08	260.38	607.87
PLCD4	7.0	11.13	15.45	7.22	7.57	5.63	8.51	13.52	3.96	6.73	0.0	0.36	33.3	30.12	32.13	35.0	45.85	19.53	31.22	42.11	38.4	23.93	40.07	21.78	60.39	38.4	18.7	46.5	98.73	17.0	22.75	52.08	32.36	59.55	60.82	28.24	65.72	19.39	72.52	25.35	56.28	55.1	26.28	53.95
PPFIA3	136.19	199.85	161.02	102.97	79.45	83.45	70.51	190.34	80.57	146.03	0.0	0.34	98.04	170.25	127.89	153.34	114.36	40.93	100.13	187.71	119.26	152.28	133.36	165.57	525.39	79.45	105.15	211.31	376.41	81.71	107.38	141.02	108.14	215.77	231.32	63.45	309.83	110.43	309.83	136.19	197.09	269.6	89.51	432.53
PPFIA4	1.14	3.59	0.0	3.23	0.0	0.95	1.81	0.0	0.0	0.0	0.0	0.67	2.05	14.35	31.22	13.12	6.73	5.11	9.56	16.88	12.09	1.66	13.32	0.47	49.56	1.66	7.06	15.22	21.94	11.13	7.51	6.57	3.47	35.25	13.32	4.66	52.08	15.0	46.5	8.58	18.16	39.22	10.08	21.63
PRELID2	31.0	29.91	36.27	25.72	28.45	45.53	8.78	2.32	19.82	37.05	0.0	0.21	56.28	23.93	78.89	113.56	61.25	23.76	108.14	63.45	40.07	37.05	49.91	22.59	146.03	47.84	30.78	94.67	224.97	26.67	29.48	17.9	82.29	98.73	40.07	36.79	241.19	71.5	80.01	26.1	43.63	71.0	61.68	91.41
PRICKLE1	5.15	8.71	1.5	2.84	28.45	4.46	0.33	6.21	4.5	0.0	0.0	0.26	264.03	450.94	320.8	128.79	249.73	137.14	195.72	718.08	260.38	202.66	214.27	41.81	307.69	144.01	228.13	239.52	753.83	135.24	121.79	212.78	423.61	412.0	150.17	136.19	500.46	94.67	674.59	159.9	162.14	543.96	46.84	406.31
PRPH	2.05	0.0	0.35	0.0	0.26	0.02	0.87	0.0	0.0	0.0	0.0	0.15	6.62	15.8	17.13	70.01	24.63	13.12	15.0	56.28	20.26	3.17	10.0	14.35	87.65	5.59	8.0	16.88	19.82	37.85	2.81	22.43	5.11	68.07	19.97	5.41	202.66	28.65	40.93	4.78	8.51	7.88	35.5	46.5
PRUNE2	6.16	24.11	5.63	31.22	47.17	37.32	9.78	13.72	6.57	4.66	0.0	0.43	108.14	102.97	44.89	169.07	1208.34	90.77	101.54	170.25	59.13	39.79	75.64	63.0	303.44	89.51	62.12	36.01	198.47	142.01	64.8	603.67	178.77	514.56	361.04	98.04	2758.13	36.79	146.03	66.18	346.29	130.6	26.86	836.53
PTGES3L	2.03	5.59	0.21	3.72	1.77	4.86	1.25	1.87	3.79	2.23	0.0	0.26	9.63	24.11	3.66	6.11	26.47	5.06	4.7	18.7	2.56	6.31	19.25	5.73	18.29	8.25	9.78	5.87	18.29	8.19	3.03	52.45	10.31	31.22	3.96	7.06	41.52	3.82	19.11	4.35	18.16	15.45	2.39	25.17
RAB9B	1.13	1.51	1.71	0.0	2.66	0.52	0.05	0.0	0.44	0.91	0.0	0.2	16.15	19.68	6.57	14.45	31.22	5.06	7.69	8.0	7.94	3.66	8.13	1.55	24.46	15.68	5.59	19.11	31.0	8.78	13.62	55.1	12.74	33.78	28.04	1.75	100.13	5.96	28.04	2.36	21.78	25.54	3.69	40.93
RASL12	2.01	3.47	4.28	8.58	3.41	1.53	2.53	4.35	3.82	6.57	0.0	0.56	281.09	915.51	457.25	738.29	974.5	432.53	273.37	406.31	309.83	228.13	361.04	92.7	2720.15	221.86	253.23	389.72	947.83	463.65	356.05	796.86	429.54	718.08	454.09	309.83	2875.3	555.41	1561.89	320.8	665.29	595.34	255.0	1015.93
REEP1	5.45	5.96	1.71	5.59	12.93	1.2	4.39	3.03	6.67	5.15	0.0	0.26	141.02	108.14	67.12	191.67	309.83	53.95	214.27	295.11	36.27	117.6	112.77	46.18	208.38	82.29	74.06	37.32	208.38	106.63	214.27	307.69	78.34	232.94	182.55	66.65	1388.16	82.29	190.34	143.01	218.79	98.04	7.88	450.94
RNASEH2A	121.79	98.04	92.7	109.66	75.11	55.1	45.21	115.97	104.42	51.71	0.0	0.01	301.33	260.38	190.34	356.05	212.78	61.25	305.55	376.41	412.0	307.69	236.21	265.87	454.09	249.73	163.28	232.94	1313.23	99.43	62.12	334.46	244.57	473.41	423.61	256.78	384.34	218.79	400.71	264.03	299.25	480.04	144.01	244.57
RP11-321F6.1	0.0	0.0	0.0	4.74	0.0	0.0	5.06	2.81	1.3	0.0	0.0	0.0	0.8	7.28	9.85	16.51	10.55	1.39	2.84	14.03	5.02	9.63	16.75	3.59	4.21	9.13	7.17	6.57	2.29	2.34	2.81	12.93	12.18	4.24	2.84	11.38	5.54	8.25	13.93	6.52	20.26	9.85	0.0	9.27
SBSPON	7.11	9.63	6.21	0.77	7.11	3.99	1.85	6.01	4.28	2.1	0.0	0.17	255.0	195.72	82.29	273.37	460.44	37.59	73.54	395.18	50.98	189.02	232.94	89.51	961.07	85.82	11.82	92.05	165.57	71.0	6.89	356.05	106.63	567.1	314.17	78.89	1378.57	113.56	264.03	29.48	346.29	291.04	16.63	733.19
SCN2B	0.53	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.47	45.53	30.12	56.28	13.42	18.7	8.19	26.1	22.75	18.29	27.05	0.64	74.58	14.89	3.76	35.5	46.5	10.96	8.58	20.71	6.41	103.69	18.56	6.94	57.08	22.92	115.16	15.8	91.41	78.34	7.22	36.79
SCUBE3	0.66	1.1	0.04	0.84	0.0	0.0	0.2	0.09	0.12	0.11	7.06	50.27	15.68	19.82	7.88	52.45	35.0	3.82	7.46	8.32	5.87	1.79	15.8	4.82	78.89	5.32	6.67	4.24	34.75	12.64	1.33	150.17	6.89	78.34	40.07	4.03	1923.14	2.12	38.12	9.93	49.21	53.19	1.87	161.02
SEMA5B	7.94	5.96	9.63	1.57	13.22	0.0	13.22	12.64	17.77	3.59	0.0	0.16	13.62	58.3	31.22	53.95	77.25	42.71	6.52	39.22	8.0	58.3	44.25	1.57	236.21	12.18	43.32	5.19	128.79	20.26	3.66	23.25	23.42	58.3	29.27	25.72	73.54	12.18	16.39	20.26	23.76	40.93	24.46	85.82
SFTPC	0.0	0.0	7.46	0.13	4.28	4.43	0.0	5.02	0.0	11.13	64186.29	44145.15	5.882801313E7	2.18328924E7	7.92550749E7	6766600.51	1.353320203E7	3.402283342E7	4.811555286E7	3.003205688E7	2.706640506E7	4.188702152E7	3.130739107E7	2.4225111E7	57051.4	2.880867455E7	2.138357795E7	5.761735011E7	1.609378033E7	4.878722096E7	3.72309724E7	1.887534821E7	1.874496665E7	2.138357795E7	2.525384881E7	5.228884881E7	30361.44	1.0826562323E8	1.491230465E7	3.109113511E7	1.130141336E7	6.17527469E7	2.009035788E7	1.391367215E7
SNPH	1.3	0.72	0.99	2.66	0.89	0.0	6.73	3.44	0.8	0.08	0.0	0.41	28.04	42.11	59.97	43.63	63.89	12.09	16.03	89.51	26.28	30.12	139.07	7.63	134.3	46.18	28.65	38.67	123.5	36.53	5.15	91.41	34.75	65.72	64.34	29.7	60.82	55.89	91.41	59.97	46.18	80.57	17.0	69.52
SOGA1	4.9	5.02	11.13	6.06	8.45	1.79	10.08	6.52	3.29	1.97	0.0	0.59	101.54	255.0	297.17	217.27	414.87	45.85	183.82	221.86	94.67	115.97	199.85	25.17	529.06	127.0	122.64	242.88	194.36	109.66	36.79	361.04	164.42	164.42	164.42	99.43	318.57	118.43	325.29	108.14	212.78	289.02	40.93	371.22
SOX8	1.75	1.14	1.57	3.23	0.22	1.07	0.66	0.53	0.95	0.0	0.0	0.34	0.0	2.97	1.75	8.99	6.16	8.71	4.39	5.28	1.16	3.03	3.17	9.7	17.13	1.58	6.78	5.82	12.18	1.97	4.9	11.3	8.85	12.55	26.67	0.22	59.97	1.95	24.11	2.71	0.6	12.18	3.47	9.13
SPEG	20.26	32.13	4.66	10.55	6.46	0.42	2.48	0.0	6.62	1.43	0.0	0.8	58.3	93.35	94.01	241.19	780.44	113.56	68.55	128.79	48.87	54.33	104.42	50.63	947.83	38.67	45.21	133.36	166.73	129.69	48.52	703.28	63.89	518.15	329.84	33.06	4639.29	81.71	198.47	61.25	299.25	89.51	29.27	389.72
SRL	1.77	2.16	0.93	1.43	5.77	3.53	1.57	3.86	2.51	1.41	0.0	0.12	11.21	32.13	21.78	25.54	50.63	15.56	12.64	24.28	17.25	9.13	50.98	46.5	50.98	18.03	15.11	37.05	126.12	11.38	3.76	71.5	11.55	47.84	40.07	8.25	53.95	9.93	40.64	17.64	43.32	24.28	3.26	34.02
ST6GAL2	22.59	9.63	12.0	0.48	9.7	1.58	2.73	5.68	18.97	24.63	0.0	0.01	15.45	77.79	16.51	77.79	31.9	2.61	20.41	65.26	9.2	8.06	24.81	2.1	279.14	16.27	15.68	9.13	22.26	27.44	4.78	215.77	4.5	40.64	20.41	5.15	2777.33	3.56	20.41	4.74	35.76	20.71	8.65	43.94
STIM2	124.37	159.9	206.94	164.42	301.33	229.72	149.12	183.82	204.07	31.9	341.51	220.32	353.59	486.75	371.22	447.82	463.65	366.09	511.0	785.88	547.75	679.29	500.46	444.72	480.04	802.41	361.04	466.88	769.69	514.56	457.25	616.37	493.56	872.1	521.76	371.22	718.08	514.56	785.88	466.88	460.44	555.41	262.2	684.02
SYP	6.26	8.19	9.2	8.32	4.24	0.99	6.89	5.06	8.25	0.0	0.0	0.3	157.68	137.14	209.84	269.6	158.79	21.94	51.35	173.85	125.24	341.51	88.26	206.94	540.19	76.17	98.73	113.56	246.28	75.11	80.57	285.03	221.86	190.34	104.42	101.54	275.28	104.42	327.56	87.03	356.05	130.6	65.26	283.05
TAGLN	1191.69	3146.52	2209.26	387.02	1340.84	1806.78	1685.71	1051.79	1909.85	1870.53	0.0	1.16	9409.14	53973.86	11345.82	28923.41	54727.32	11112.3	4388.98	14163.58	8191.0	10808.41	10440.2	9876.98	45072.75	10014.87	6250.56	8247.98	30572.63	13492.72	23986.58	36106.23	7803.01	41188.81	18304.63	6037.61	99333.0	5147.73	10440.2	5711.87	24490.61	6561.36	8421.31	18689.27
TGFB1I1	73.03	132.44	59.97	55.49	47.84	90.14	66.18	96.01	55.1	96.01	0.0	0.89	507.46	1605.83	713.11	1037.29	1183.45	264.03	514.56	688.78	466.88	532.74	1059.11	629.35	2609.3	356.05	555.41	688.78	1896.65	417.77	575.03	2287.2	525.39	1304.15	1127.35	371.22	4123.49	444.72	1322.37	551.56	1674.06	1023.0	473.41	1135.2
THSD4	54.33	55.49	15.11	32.13	29.27	41.81	363.56	34.51	33.06	47.84	0.0	0.35	120.1	139.07	215.77	351.14	211.31	228.13	82.29	281.09	135.24	92.7	139.07	175.07	616.37	269.6	176.29	132.44	114.36	441.64	253.23	563.18	189.02	329.84	149.12	70.01	3349.13	91.41	159.9	120.94	480.04	137.14	70.01	301.33
THSD7B	0.39	3.63	0.0	0.89	7.69	0.0	1.87	0.0	0.0	0.0	0.0	0.0	1.68	0.54	2.51	4.24	9.93	0.56	0.57	7.82	0.59	1.08	4.46	8.45	4.24	0.0	0.0	4.54	21.78	1.81	1.13	40.07	6.57	14.45	5.36	0.0	563.18	5.96	3.23	6.06	3.06	14.45	11.47	19.11
TLDC1	16.63	15.11	46.18	24.46	22.26	29.7	6.89	12.64	26.28	1.38	0.0	0.4	156.59	108.9	239.52	202.66	172.65	55.49	107.38	256.78	353.59	195.72	149.12	71.5	137.14	113.56	96.01	251.48	339.14	177.53	51.35	201.25	202.66	351.14	237.86	181.28	177.53	108.9	211.31	111.21	249.73	460.44	77.25	239.52
TLN1	1250.98	1991.0	1745.2	2976.74	1417.35	2976.74	1498.22	1745.2	1437.15	1733.13	2855.44	63.89	3212.66	8840.04	7331.05	8538.88	7382.04	2384.37	2555.58	4181.07	3103.19	3955.48	9151.82	3443.31	8363.13	2956.17	4802.93	3665.02	6745.86	3443.31	3349.13	9740.98	4836.35	5147.73	5995.9	4210.15	10512.82	3146.52	7081.29	3820.7	9344.14	7230.1	3443.31	4869.99
TMEM229B	9.34	8.32	6.06	5.96	32.82	5.92	3.89	2.25	19.68	2.89	0.0	0.0	47.17	88.26	76.17	89.51	101.54	11.73	47.5	279.14	110.43	70.01	241.19	24.28	108.9	77.79	51.71	85.82	229.72	51.71	41.81	95.34	82.87	117.6	85.82	73.03	173.85	18.84	281.09	92.7	102.25	201.25	19.82	195.72
TMEM55A	11.38	44.57	19.97	50.27	25.35	31.67	75.64	146.03	19.25	22.1	0.0	0.52	150.17	204.07	136.19	291.04	189.02	65.72	112.77	273.37	221.86	109.66	217.27	94.01	376.41	122.64	177.53	161.02	249.73	173.85	44.25	126.12	239.52	295.11	136.19	90.14	323.03	146.03	131.51	108.9	123.5	169.07	111.99	205.5
TPM2	131.51	271.48	242.88	90.14	131.51	152.28	146.03	91.41	120.1	145.02	0.0	1.2	1896.65	7537.18	2720.15	5594.3	24832.5	2384.37	1159.07	3212.66	1781.89	3349.13	3124.78	1519.15	11267.44	2193.99	2645.74	2720.15	6652.97	3124.78	2163.77	7966.99	2032.85	8901.53	4937.99	1605.83	46662.28	2400.97	2664.15	1498.22	4512.4	2434.5	1651.0	5292.48
TSPAN2	2.56	11.21	3.79	2.29	1.36	9.78	0.88	0.0	3.63	2.97	0.0	0.22	148.09	109.66	170.25	426.57	353.59	15.34	92.05	180.02	80.57	42.11	124.37	88.26	507.46	112.77	138.1	201.25	343.89	54.33	28.45	218.79	159.9	262.2	353.59	65.26	3372.43	102.25	258.57	40.36	107.38	190.34	45.53	713.11
WWP2	277.2	260.38	368.65	629.35	255.0	157.68	249.73	373.81	279.14	141.02	0.0	0.57	1051.79	961.07	1519.15	1594.73	1023.0	934.76	1044.52	1477.58	902.89	764.36	1259.69	764.36	1417.35	981.29	759.08	1081.39	2209.26	1135.2	629.35	1127.35	1199.98	1397.83	1127.35	1183.45	2400.97	1023.0	1331.57	1037.29	1340.84	1936.53	532.74	1674.06
ZNF683	1.25	1.16	0.0	10.16	3.89	0.0	1.25	0.0	20.56	14.24	0.0	0.0	19.68	43.94	26.1	199.85	59.55	15.56	15.8	226.54	40.93	26.1	143.01	41.81	102.97	34.02	15.34	13.72	447.82	62.56	17.64	77.79	30.34	63.89	16.75	18.03	162.14	10.55	229.72	8.71	63.0	267.73	48.18	183.82
ZNF792	7.57	12.93	6.21	11.21	19.25	36.53	3.59	15.8	7.88	2.81	0.0	0.39	63.0	98.04	40.36	107.38	151.22	61.68	60.82	103.69	52.08	55.1	155.5	73.03	195.72	48.87	150.17	58.3	71.0	50.27	49.91	121.79	57.08	76.17	78.34	63.0	80.57	52.45	204.07	68.55	71.0	46.18	50.98	183.82
