	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.145LV.1326.SM.5S2QI	GTEX.11ONC.1526.SM.5GU6S	GTEX.QVUS.0626.SM.447CC	GTEX.11TUW.1326.SM.5EQKV	GTEX.13NZB.1226.SM.5J2MW	GTEX.WVLH.1426.SM.4MVNX	GTEX.PLZ4.1626.SM.3P618	GTEX.11NUK.1326.SM.5P9GN	GTEX.UPK5.1226.SM.4IHL8	GTEX.11ZTS.2626.SM.5EGIC	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.35.4122.01A.01R.1107.07	TCGA.55.8204.01A.11R.2241.07	GTEX.S7SF.0426.SM.3K2B7	GTEX.UPK5.1126.SM.3GAEJ	TCGA.43.3920.01A.01R.0980.07	TCGA.34.A5IX.01A.12R.A27Q.07	TCGA.85.A50Z.01A.21R.A262.07	TCGA.66.2769.01A.02R.0851.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.7806.11A.01R.2055.13
PPT1	842.36	974.5	1583.71	1936.53	583.07	748.61	497.0	275.28	293.07	395.18	423.61	236.21	397.93	387.02	373.81	525.39	371.22	3303.0	4769.75	5292.48	2018.8	4481.23	5751.61	4239.45	1313.23	1781.89	3515.68	2609.3	603.67	1250.98	532.74	1183.45	599.49	612.11
PRIM2	161.02	101.54	131.51	111.99	70.51	90.14	49.91	40.93	58.3	45.21	59.13	30.78	34.75	62.12	41.81	59.97	47.5	189.02	339.14	165.57	201.25	90.14	122.64	220.32	106.63	151.22	193.01	146.03	66.18	93.35	50.98	127.89	85.22	63.89
PRKRA	299.25	759.08	1044.52	1199.98	684.02	607.87	915.51	624.99	555.41	688.78	591.22	595.34	595.34	703.28	612.11	743.43	551.56	1529.73	1467.37	1350.18	890.44	808.0	1407.55	1242.34	1023.0	620.67	915.51	1051.79	441.64	723.08	559.28	514.56	743.43	733.19
PROSC	376.41	480.04	532.74	224.97	438.59	718.08	518.15	318.57	366.09	366.09	323.03	329.84	285.03	595.34	395.18	480.04	414.87	1216.75	476.71	878.17	1417.35	848.22	1233.75	796.86	759.08	1662.49	1733.13	866.07	262.2	591.22	232.94	384.34	165.57	647.07
PTP4A2	1757.34	1617.0	2351.53	1870.53	1331.57	3018.3	1208.34	1208.34	1477.58	1059.11	2178.83	1417.35	1477.58	1417.35	1259.69	1104.13	1151.06	2287.2	3614.55	6561.36	5672.41	5913.33	6250.56	4419.52	4239.45	6471.02	4066.71	3540.14	1540.37	1977.24	2178.83	2609.3	2287.2	1277.29
PTPMT1	1268.46	981.29	819.3	1617.0	836.53	954.43	813.63	825.0	642.59	884.29	808.0	981.29	651.58	866.07	1104.13	884.29	902.89	1697.45	2627.46	2133.97	1159.07	2335.28	2224.63	1583.71	1151.06	1331.57	1191.69	1498.22	764.36	836.53	1159.07	921.88	836.53	791.35
RAB1A	6337.83	3325.99	3103.19	3742.05	3716.2	4419.52	2682.69	3372.43	3716.2	2271.4	3235.01	3257.52	2915.45	3081.75	2682.69	2739.08	3081.75	5292.48	5517.27	4972.34	4869.99	4972.34	4210.15	6381.92	5255.91	5006.93	5403.7	5913.33	4607.24	3847.29	5006.93	4123.49	5633.22	3467.27
RBX1	2061.24	1427.22	1467.37	1697.45	1477.58	1498.22	1417.35	1208.34	1111.82	1322.37	1322.37	1674.06	1081.39	1111.82	1304.15	1477.58	1709.26	5711.87	9151.82	3372.43	2319.15	3690.52	2104.58	5751.61	2090.03	1769.57	2555.58	3716.2	3325.99	1832.01	2271.4	2148.82	2682.69	1001.93
RIC8A	2193.99	1685.71	1388.16	2255.7	1508.65	1437.15	1350.18	1111.82	915.51	1369.04	928.3	1044.52	921.88	1313.23	1159.07	1295.13	1059.11	2701.35	2090.03	1697.45	1709.26	2485.67	2645.74	1923.14	2319.15	1857.6	1639.59	1407.55	1304.15	1628.26	1721.16	1467.37	1066.48	1096.5
RPN1	3124.78	2119.22	2271.4	3212.66	1617.0	2591.27	1447.15	1540.37	1467.37	1359.57	1540.37	1508.65	1322.37	1477.58	1477.58	1605.83	1594.73	5479.15	8191.0	9151.82	5633.22	6426.31	6037.61	14262.1	6792.79	9279.58	5006.93	5041.77	2367.9	3280.18	2573.36	3467.27	2047.0	2133.97
RPN2	3467.27	3303.0	3491.39	4010.71	2451.44	3190.46	2417.67	2976.74	1977.24	1832.01	2018.8	1991.0	1628.26	2047.0	2434.5	2303.12	2537.92	8901.53	4802.93	4298.64	6840.04	9740.98	9606.86	11424.74	6250.56	10883.59	8247.98	4038.61	3491.39	3443.31	3491.39	3614.55	2758.13	2520.38
RSL24D1	1286.18	961.07	1073.91	878.17	764.36	703.28	808.0	638.15	599.49	854.13	954.43	607.87	642.59	819.3	547.75	638.15	543.96	3928.15	5329.3	2895.31	1794.29	1781.89	1594.73	3955.48	1628.26	1159.07	3018.3	2573.36	854.13	1037.29	854.13	830.75	1277.29	909.17
RWDD2B	384.34	234.57	371.22	356.05	285.03	242.88	236.21	244.57	125.24	194.36	198.47	119.26	166.73	299.25	218.79	237.86	162.14	559.28	791.35	463.65	285.03	486.75	723.08	406.31	376.41	287.01	1259.69	651.58	450.94	309.83	309.83	327.56	314.17	211.31
SEC11A	2075.59	1781.89	1794.29	1909.85	1674.06	1617.0	1769.57	1350.18	1286.18	1467.37	1388.16	1304.15	1233.75	1651.0	1529.73	1551.09	1519.15	5831.91	7230.1	4512.4	3639.7	4268.94	7331.05	5441.3	2758.13	6471.02	5791.62	5594.3	1709.26	2032.85	1572.76	1806.78	2163.77	1572.76
SEC61G	9279.58	6471.02	6294.04	8421.31	5366.37	6983.79	3928.15	2935.74	2163.77	1977.24	3820.7	3395.89	1909.85	4358.66	2148.82	1832.01	2895.31	16843.62	20737.16	7081.29	7589.61	17681.08	9673.69	11112.3	14663.09	10959.3	9474.59	16843.62	5711.87	3564.78	8134.41	3564.78	6983.79	2335.28
SELT	2520.38	1697.45	2119.22	2255.7	1617.0	2018.8	1572.76	1250.98	1015.93	848.22	743.43	1127.35	866.07	1340.84	1127.35	1359.57	1015.93	5913.33	13492.72	15824.9	2502.97	4937.99	4066.71	13776.25	3325.99	2400.97	4419.52	4769.75	1583.71	2004.85	2271.4	2303.12	1498.22	1551.09
SEP15	2609.3	2075.59	3419.52	4152.18	1757.34	2351.53	1551.09	1529.73	1397.83	1561.89	1819.35	1447.15	1417.35	1991.0	1561.89	1651.0	1498.22	12502.12	19214.73	14561.8	6426.31	14163.58	14163.58	29531.18	4512.4	7230.1	9088.59	6079.61	2148.82	2915.45	2032.85	2400.97	2915.45	1733.13
SLC2A9	543.96	536.45	620.67	848.22	403.5	486.75	281.09	148.09	125.24	159.9	131.51	84.63	141.02	177.53	102.97	124.37	66.65	277.2	420.68	148.09	246.28	283.05	332.14	441.64	199.85	688.78	836.53	170.25	92.7	129.69	126.12	161.02	111.99	115.16
SLC50A1	2997.45	780.44	866.07	1674.06	769.69	896.64	718.08	1417.35	890.44	947.83	1023.0	1143.1	902.89	896.64	934.76	896.64	1119.56	1909.85	2287.2	5366.37	1781.89	2758.13	2855.44	4639.29	1369.04	3716.2	1909.85	1331.57	1081.39	928.3	1457.23	1216.75	1175.27	674.59
SOAT1	26.28	82.87	124.37	102.25	41.52	58.71	52.45	58.3	38.67	54.72	118.43	48.87	80.01	66.65	59.55	76.17	37.05	153.34	320.8	764.36	438.59	836.53	723.08	371.22	253.23	769.69	483.38	253.23	27.64	141.02	60.39	114.36	53.57	77.25
SSR3	2468.49	1457.23	1806.78	3060.45	1561.89	2303.12	1427.22	1639.59	1487.87	1331.57	1037.29	1447.15	1322.37	1378.57	1427.22	1477.58	1437.15	8658.09	7749.1	8778.97	5112.16	7537.18	4095.0	14461.21	5633.22	4869.99	5791.62	3146.52	1242.34	1709.26	2047.0	1674.06	1304.15	1594.73
STIP1	2351.53	2287.2	3540.14	6426.31	1819.35	1832.01	2319.15	1037.29	1769.57	1508.65	1322.37	1832.01	1286.18	1662.49	1757.34	2004.85	1832.01	3146.52	1662.49	2468.49	2997.45	2591.27	3794.3	1794.29	4575.41	3491.39	3491.39	2816.11	2367.9	2417.67	2555.58	2758.13	2209.26	2303.12
SUB1	8363.13	3820.7	6935.54	7485.11	3982.99	4358.66	3372.43	3564.78	2997.45	3124.78	2997.45	3146.52	3103.19	3146.52	2915.45	3820.7	3060.45	35363.15	40904.3	13123.73	17681.08	9151.82	6381.92	30151.71	10368.08	14163.58	13586.57	13776.25	5954.47	3874.05	6983.79	5183.54	6887.62	3515.68
SUMO1	3639.7	1806.78	2075.59	2384.37	1950.0	1628.26	1397.83	1295.13	1096.5	1191.69	1175.27	1096.5	1037.29	1561.89	1111.82	1498.22	954.43	3190.46	5913.33	3928.15	3515.68	4575.41	5076.84	4937.99	2777.33	3303.0	3257.52	4903.87	2664.15	2090.03	2682.69	2434.5	3146.52	1331.57
TAF13	1015.93	587.13	947.83	718.08	647.07	651.58	674.59	733.19	708.18	366.09	444.72	854.13	532.74	607.87	559.28	497.0	656.11	2682.69	2935.74	1066.48	1883.54	2119.22	1923.14	2004.85	2271.4	1757.34	1216.75	2796.65	1806.78	1304.15	1477.58	1605.83	1721.16	728.11
TATDN1	540.19	583.07	830.75	703.28	490.14	620.67	473.41	316.37	275.28	540.19	392.44	343.89	301.33	466.88	267.73	483.38	289.02	3303.0	1447.15	1540.37	941.27	848.22	642.59	1662.49	981.29	802.41	1923.14	1340.84	327.56	521.76	414.87	447.82	785.88	486.75
TCEAL8	1001.93	703.28	915.51	941.27	860.08	642.59	753.83	813.63	463.65	381.68	525.39	366.09	441.64	629.35	547.75	529.06	511.0	1388.16	2434.5	1819.35	1277.29	2645.74	4066.71	2502.97	780.44	1340.84	1313.23	3982.99	915.51	872.1	1572.76	764.36	808.0	759.08
TDRKH	249.73	106.63	129.69	152.28	75.11	76.71	50.27	32.13	55.89	44.25	38.67	29.91	44.89	56.28	34.26	34.02	26.67	59.13	98.04	287.01	100.83	165.57	241.19	87.65	189.02	134.3	283.05	25.54	20.26	40.07	27.44	40.07	8.0	59.13
TIMM8A	194.36	113.56	214.27	202.66	117.6	112.77	149.12	88.26	116.78	136.19	98.73	112.77	132.44	110.43	137.14	132.44	98.73	323.03	438.59	264.03	169.07	120.1	130.6	412.0	256.78	351.14	267.73	384.34	197.09	178.77	211.31	224.97	214.27	111.99
TIPRL	878.17	633.73	915.51	909.17	660.68	748.61	620.67	497.0	316.37	279.14	429.54	397.93	429.54	460.44	373.81	514.56	371.22	1487.87	1628.26	1417.35	624.99	591.22	1073.91	2061.24	947.83	624.99	1023.0	1331.57	1008.9	708.18	854.13	651.58	1044.52	551.56
TMCO1	4869.99	1709.26	2047.0	2537.92	1651.0	1991.0	1331.57	1467.37	1001.93	825.0	995.0	1030.12	1059.11	1340.84	1044.52	1183.45	954.43	3124.78	3716.2	4066.71	2997.45	3419.52	4123.49	4937.99	2537.92	4450.27	3665.02	3280.18	2319.15	2417.67	2047.0	2796.65	2148.82	1617.0
TMEM167A	941.27	555.41	848.22	1250.98	669.92	703.28	579.04	674.59	723.08	830.75	595.34	890.44	638.15	1175.27	753.83	785.88	674.59	2956.17	3257.52	2255.7	1605.83	3690.52	1529.73	5292.48	1295.13	3768.09	2351.53	1407.55	733.19	684.02	591.22	796.86	728.11	536.45
TMEM258	3443.31	3419.52	3564.78	4671.57	3280.18	3467.27	3303.0	2720.15	1721.16	3847.29	2682.69	3589.58	2468.49	3794.3	2855.44	3235.01	2682.69	13123.73	8247.98	10154.69	6207.38	7966.99	3742.05	9945.68	6337.83	5672.41	7749.1	4802.93	3168.41	2915.45	3564.78	2997.45	2976.74	2739.08
TPST2	638.15	688.78	647.07	713.11	693.58	698.41	497.0	525.39	346.29	301.33	201.25	387.02	281.09	543.96	435.55	486.75	435.55	866.07	759.08	713.11	1183.45	599.49	536.45	733.19	961.07	1216.75	1583.71	543.96	463.65	463.65	769.69	460.44	583.07	368.65
TSN	728.11	860.08	915.51	1233.75	718.08	769.69	511.0	450.94	432.53	532.74	490.14	486.75	476.71	476.71	579.04	500.46	559.28	2133.97	2664.15	1175.27	1225.22	1081.39	1081.39	2104.58	1023.0	961.07	974.5	1407.55	981.29	813.63	665.29	878.17	909.17	575.03
UBE2F	1745.2	1605.83	1674.06	1540.37	1674.06	1857.6	1806.78	974.5	1030.12	1037.29	830.75	1008.9	1111.82	1225.22	848.22	1088.92	656.11	1674.06	2255.7	2434.5	1883.54	1909.85	1551.09	1977.24	2739.08	3515.68	2739.08	4543.8	1369.04	1286.18	1477.58	2047.0	3190.46	1250.98
UBE2L3	2485.67	2367.9	2163.77	2976.74	2335.28	2537.92	1923.14	1870.53	1199.98	1508.65	1216.75	1819.35	1208.34	1540.37	1359.57	1561.89	1508.65	3168.41	5366.37	1963.57	3325.99	5255.91	4181.07	3146.52	3146.52	2855.44	2816.11	4543.8	3665.02	2758.13	3303.0	3190.46	4095.0	1977.24
UTP11L	1096.5	909.17	1286.18	1388.16	785.88	967.76	825.0	521.76	438.59	493.56	624.99	656.11	514.56	651.58	587.13	624.99	591.22	1697.45	1819.35	1023.0	1457.23	1233.75	1369.04	1991.0	1819.35	1037.29	1151.06	1769.57	1001.93	967.76	1127.35	1008.9	1417.35	708.18
UXS1	587.13	507.46	466.88	713.11	412.0	532.74	476.71	320.8	521.76	444.72	314.17	444.72	414.87	473.41	444.72	536.45	480.04	1498.22	1127.35	1104.13	819.3	1151.06	1844.76	947.83	909.17	1225.22	1331.57	1151.06	656.11	612.11	466.88	511.0	525.39	529.06
XPR1	275.28	287.01	559.28	764.36	262.2	283.05	180.02	82.29	152.28	118.43	262.2	77.79	92.05	126.12	54.72	124.37	66.18	356.05	525.39	808.0	860.08	139.07	303.44	802.41	271.48	764.36	532.74	186.4	178.77	220.32	120.1	121.79	130.6	152.28
XRCC4	249.73	120.1	177.53	232.94	141.02	151.22	77.25	108.14	111.21	71.0	78.34	72.01	64.34	76.17	90.14	111.99	85.22	532.74	325.29	244.57	187.71	341.51	267.73	332.14	129.69	285.03	244.57	361.04	198.47	140.04	127.89	237.86	205.5	84.63
YIF1B	1051.79	1051.79	1870.53	1008.9	954.43	884.29	1199.98	802.41	825.0	860.08	607.87	902.89	753.83	785.88	884.29	872.1	848.22	1135.2	1199.98	4450.27	1191.69	2255.7	1225.22	2485.67	1605.83	2384.37	1757.34	1662.49	748.61	1143.1	1191.69	819.3	872.1	954.43
YTHDF1	283.05	629.35	616.37	738.29	511.0	802.41	476.71	555.41	305.55	460.44	473.41	460.44	387.02	368.65	486.75	450.94	473.41	540.19	470.14	651.58	764.36	514.56	555.41	733.19	860.08	738.29	599.49	483.38	476.71	466.88	555.41	620.67	529.06	473.41
ZBTB9	175.07	128.79	116.78	106.63	84.04	114.36	111.21	90.14	68.07	117.6	74.58	82.87	59.97	77.79	104.42	105.15	71.0	87.03	141.02	120.94	194.36	171.45	165.57	120.94	211.31	215.77	143.01	97.36	64.8	99.43	90.77	109.66	63.89	108.9
ZMPSTE24	497.0	563.18	638.15	698.41	583.07	688.78	447.82	435.55	395.18	336.79	329.84	507.46	417.77	457.25	444.72	339.14	406.31	1143.1	1991.0	830.75	1313.23	981.29	1159.07	1477.58	796.86	2075.59	1023.0	1208.34	665.29	759.08	480.04	743.43	713.11	426.57
