	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.RC.A6M6.01A.11R.A32O.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.R53T.0326.SM.48FEC	TCGA.55.8208.01A.11R.2241.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.11NUK.0826.SM.5HL4U	GTEX.WVJS.0826.SM.4MVNR	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
SEC14L1	947.83	1487.87	679.29	1427.22	1044.52	262.2	285.03	234.57	269.6	291.04	297.17	665.29	329.84	318.57	249.73	293.07	169.07	444.72	444.72	387.02	368.65	242.88	703.28	423.61	329.84	214.27	307.69	175.07	275.28	309.83	392.44	159.9	244.57	1397.83	1167.14	1277.29	1059.11	1304.15	1540.37	1477.58	1628.26	3874.05	1073.91	1340.84	2004.85	941.27	5791.62	1119.56	995.0
SERPINB1	1529.73	1561.89	1104.13	915.51	4010.71	890.44	796.86	941.27	3443.31	1936.53	351.14	748.61	1119.56	884.29	753.83	988.12	848.22	718.08	1896.65	974.5	1286.18	743.43	1437.15	1030.12	802.41	363.56	1119.56	529.06	616.37	1059.11	599.49	395.18	836.53	2816.11	2609.3	4298.64	1806.78	1447.15	2875.3	3589.58	1639.59	10733.74	4298.64	3212.66	1313.23	2178.83	2777.33	3103.19	6207.38
SFXN3	703.28	884.29	651.58	638.15	470.14	36.79	332.14	176.29	172.65	140.04	94.67	202.66	122.64	193.01	108.14	89.51	31.67	334.46	262.2	72.52	156.59	134.3	638.15	33.06	83.45	43.02	228.13	55.89	87.65	68.07	111.21	112.77	78.34	866.07	1572.76	684.02	1268.46	769.69	1059.11	514.56	1216.75	1044.52	1119.56	3564.78	1313.23	1561.89	1143.1	1733.13	1073.91
SGSH	1340.84	988.12	1001.93	1407.55	921.88	314.17	543.96	348.71	616.37	460.44	285.03	713.11	376.41	480.04	325.29	371.22	518.15	708.18	638.15	392.44	775.05	703.28	660.68	381.68	353.59	256.78	493.56	232.94	269.6	361.04	392.44	361.04	260.38	954.43	1806.78	753.83	669.92	909.17	872.1	1225.22	1378.57	1151.06	1857.6	1304.15	921.88	1437.15	909.17	890.44	941.27
SIX4	4.66	6.94	5.32	1.81	31.9	1.16	20.41	2.81	9.7	14.35	1.81	11.21	16.03	46.84	4.5	1.36	3.92	5.45	13.03	1.58	15.34	0.78	16.03	2.89	0.0	1.36	1.2	1.16	0.0	0.24	3.47	0.0	1.97	86.43	6.84	7.17	29.91	18.7	20.26	10.39	20.26	21.94	15.0	28.86	7.57	17.64	14.89	14.35	15.22
SLC7A6	135.24	117.6	127.89	98.73	299.25	40.36	130.6	49.21	155.5	104.42	49.56	103.69	169.07	19.97	55.89	42.41	14.56	9.06	131.51	256.78	88.88	88.88	152.28	31.45	17.77	8.19	113.56	15.91	13.22	35.25	8.78	20.11	12.27	361.04	514.56	127.0	457.25	309.83	237.86	371.22	423.61	118.43	246.28	312.0	244.57	551.56	1135.2	202.66	244.57
SLC7A6OS	255.0	236.21	185.11	120.1	381.68	80.01	108.14	136.19	129.69	134.3	76.71	108.14	136.19	92.7	106.63	102.97	68.07	79.45	119.26	221.86	102.25	143.01	178.77	150.17	64.34	75.11	98.73	41.52	74.06	96.68	90.77	134.3	94.01	223.41	221.86	161.02	271.48	248.0	318.57	229.72	244.57	127.89	111.21	244.57	251.48	249.73	125.24	258.57	182.55
SLC9A5	7.57	10.39	3.79	4.21	19.97	6.01	6.36	6.67	2.71	3.17	2.97	7.69	3.41	3.2	2.66	6.84	1.68	4.13	8.25	1.71	0.73	4.24	8.85	0.99	2.73	0.84	5.54	2.14	1.5	0.42	4.86	4.35	1.28	32.59	75.11	19.53	21.32	28.04	38.95	70.51	55.1	9.2	89.51	28.86	59.13	67.59	64.8	49.21	36.53
SLFN11	318.57	429.54	115.97	105.89	334.46	17.38	97.36	89.51	37.85	68.55	29.48	212.78	66.65	26.47	43.63	26.47	17.9	17.77	154.42	39.5	8.45	40.36	271.48	23.08	21.63	13.83	70.01	46.5	48.18	35.0	71.0	27.64	46.5	872.1	620.67	417.77	2061.24	503.95	2178.83	1304.15	1936.53	733.19	703.28	1175.27	769.69	1073.91	406.31	1397.83	674.59
SNAI3	84.04	142.01	44.89	126.12	57.89	0.0	20.41	9.13	8.0	15.34	10.08	16.15	18.84	14.14	14.45	3.2	6.21	3.53	36.79	1.6	6.16	5.11	57.08	5.73	19.53	3.44	37.85	15.0	24.28	9.93	24.46	29.7	18.43	64.8	55.89	36.79	162.14	67.59	293.07	323.03	109.66	105.15	58.3	76.17	199.85	211.31	48.52	124.37	58.3
SPOCK2	348.71	684.02	239.52	507.46	1340.84	22.75	244.57	116.78	65.26	234.57	47.17	195.72	223.41	54.72	146.03	42.71	19.82	36.27	392.44	28.04	35.0	69.52	624.99	21.47	48.87	56.68	45.21	102.25	231.32	27.25	66.65	183.82	18.43	764.36	1561.89	674.59	967.76	633.73	1175.27	1769.57	2935.74	1819.35	1259.69	9025.81	3874.05	2835.7	3257.52	7230.1	1605.83
TEAD4	414.87	454.09	417.77	447.82	466.88	12.45	221.86	99.43	341.51	72.52	40.36	97.36	162.14	24.63	74.06	90.14	18.56	42.11	128.79	26.86	18.97	28.45	159.9	20.26	30.34	30.56	92.05	15.0	22.92	26.28	39.79	11.55	19.97	323.03	318.57	248.0	353.59	368.65	249.73	214.27	409.15	679.29	228.13	220.32	303.44	201.25	122.64	483.38	373.81
TECPR1	293.07	273.37	194.36	232.94	438.59	108.9	223.41	229.72	249.73	165.57	217.27	170.25	136.19	157.68	162.14	215.77	244.57	120.1	384.34	215.77	201.25	283.05	215.77	130.6	66.18	111.21	111.21	94.67	72.01	109.66	145.02	97.36	73.03	291.04	379.04	209.84	236.21	454.09	651.58	273.37	273.37	137.14	463.65	447.82	305.55	540.19	228.13	470.14	237.86
TEKT2	25.35	13.93	11.38	18.43	80.57	0.0	0.93	1.31	0.0	0.0	0.0	1.99	0.0	1.83	0.0	0.49	2.39	7.0	2.03	0.0	1.5	0.0	0.79	0.0	18.16	0.0	4.03	5.82	3.96	0.0	0.64	3.63	0.92	122.64	3.44	45.53	0.0	48.52	753.83	75.11	70.51	224.97	379.04	346.29	41.52	285.03	19.25	194.36	75.11
TMC6	1447.15	1487.87	432.53	961.07	1378.57	68.55	373.81	205.5	1233.75	251.48	167.9	1001.93	460.44	147.06	974.5	57.08	88.88	81.14	532.74	85.22	860.08	206.94	896.64	99.43	275.28	150.17	334.46	95.34	231.32	237.86	260.38	318.57	176.29	1991.0	2875.3	1199.98	1896.65	1857.6	2224.63	1857.6	1605.83	2739.08	2148.82	4010.71	1561.89	2047.0	1883.54	2664.15	2178.83
TMPPE	20.86	18.43	10.63	17.64	25.72	3.44	10.0	10.55	15.68	9.27	12.36	13.12	8.45	12.93	9.78	8.19	3.41	6.73	9.2	23.08	2.29	6.16	14.45	4.5	5.19	5.5	17.77	6.01	4.66	10.31	9.63	15.8	6.11	18.03	21.94	31.0	17.51	11.3	29.91	8.85	37.32	21.32	12.93	30.56	15.34	18.16	19.97	21.16	12.55
TP53I11	323.03	1001.93	218.79	301.33	1104.13	172.65	373.81	358.54	149.12	334.46	251.48	201.25	228.13	366.09	209.84	90.14	130.6	211.31	525.39	199.85	260.38	211.31	665.29	92.05	178.77	111.99	320.8	94.67	104.42	183.82	220.32	58.71	183.82	1977.24	1628.26	1572.76	909.17	1286.18	872.1	1378.57	854.13	2240.11	1870.53	2720.15	1191.69	1498.22	629.35	974.5	1529.73
TRIM46	20.71	21.63	9.2	16.75	32.82	4.7	7.17	4.7	3.72	5.36	2.29	3.76	6.67	1.93	2.86	0.85	5.36	1.23	7.88	1.17	2.39	2.16	24.11	1.2	2.32	0.75	19.25	1.48	3.44	0.49	1.45	5.45	0.0	41.52	25.17	7.34	27.44	35.0	60.39	8.65	14.35	12.45	24.46	21.63	13.62	19.68	38.95	15.68	14.67
TRPV2	967.76	1540.37	679.29	738.29	2075.59	62.56	483.38	214.27	127.0	346.29	231.32	473.41	318.57	120.1	228.13	91.41	76.71	114.36	275.28	65.26	75.64	141.02	1233.75	85.82	61.25	121.79	169.07	106.63	182.55	115.16	118.43	173.85	79.45	1015.93	1909.85	1183.45	2915.45	1709.26	2997.45	3874.05	1477.58	2976.74	6037.61	5219.6	5441.3	2303.12	1225.22	3257.52	1295.13
TUBB6	1369.04	2468.49	1313.23	1104.13	2627.46	295.11	616.37	796.86	693.58	753.83	384.34	1233.75	543.96	525.39	808.0	316.37	759.08	356.05	1081.39	269.6	599.49	403.5	1447.15	547.75	947.83	638.15	974.5	417.77	412.0	400.71	195.72	733.19	147.06	1487.87	2061.24	2335.28	3794.3	2976.74	2303.12	2032.85	1437.15	7130.55	2018.8	4038.61	1088.92	1709.26	583.07	1806.78	2573.36
VWDE	43.94	0.0	22.92	2.58	38.4	0.0	0.58	0.0	0.89	0.0	0.0	6.78	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.32	3.0	6.41	4.24	0.22	6.26	9.34	0.31	1.89	13.52	8.32	61.68	33.78	3.69	58.3	8.78	45.85	13.42	21.01	18.03	41.22	19.97	13.93	35.5	15.34	32.82	25.17
ZBTB46	123.5	173.85	59.13	100.13	120.94	48.52	63.45	67.12	26.86	34.02	30.78	40.07	37.85	103.69	43.32	29.91	52.08	59.13	78.89	57.08	22.92	47.17	103.69	32.59	28.24	125.24	47.5	51.71	47.5	44.57	73.54	65.72	49.21	92.7	144.01	57.49	100.83	117.6	137.14	81.14	77.79	134.3	47.5	180.02	129.69	82.29	127.89	145.02	80.57
ZMYM2	403.5	236.21	206.94	128.79	679.29	145.02	281.09	204.07	244.57	173.85	122.64	454.09	400.71	221.86	231.32	409.15	246.28	307.69	323.03	460.44	204.07	420.68	248.0	208.38	181.28	214.27	329.84	94.01	283.05	169.07	191.67	189.02	127.89	607.87	688.78	275.28	454.09	656.11	327.56	400.71	490.14	808.0	480.04	688.78	392.44	483.38	1183.45	376.41	518.15
ZMYM5	121.79	103.69	55.89	25.54	224.97	65.26	129.69	72.52	74.58	86.43	54.72	231.32	106.63	150.17	63.89	92.7	80.57	164.42	161.02	112.77	76.17	100.13	82.29	115.16	85.82	65.72	98.04	65.72	73.54	46.84	56.28	70.01	55.89	194.36	181.28	144.01	183.82	180.02	171.45	117.6	201.25	201.25	92.05	249.73	169.07	136.19	214.27	208.38	211.31
