	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A2.A0YT.01A.11R.A109.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.KR.A7K8.01A.11R.A33J.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.AAD2.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07
RSPRY1	202.66	497.0	336.79	587.13	854.13	507.46	332.14	397.93	373.81	332.14	244.57	224.97	381.68	947.83	267.73	748.61	373.81	395.18	595.34	595.34	241.19	490.14	387.02	497.0	476.71	373.81	381.68	381.68	476.71	293.07	320.8	651.58	389.72	373.81	356.05	414.87	392.44	346.29	536.45	271.48	591.22	567.1	507.46	420.68	336.79	543.96	733.19	503.95	543.96	595.34	409.15	332.14	426.57	447.82	237.86	457.25	397.93	366.09	265.87	660.68	314.17	281.09	271.48	316.37	389.72	444.72	339.14	293.07	387.02	305.55	429.54	206.94	301.33	289.02	371.22	224.97	287.01	819.3	497.0	417.77	267.73	387.02	234.57	301.33	221.86	275.28	241.19	100.13	165.57	186.4	258.57	193.01	211.31	176.29	214.27	135.24	156.59	101.54	205.5	211.31	237.86	204.07	237.86	214.27	283.05	105.15	167.9	229.72	138.1	194.36	214.27	267.73
SENP1	129.69	96.68	332.14	218.79	249.73	273.37	229.72	154.42	214.27	305.55	145.02	141.02	112.77	214.27	126.12	106.63	111.21	130.6	201.25	323.03	251.48	127.89	271.48	234.57	205.5	177.53	303.44	145.02	297.17	136.19	178.77	264.03	134.3	94.67	251.48	178.77	193.01	162.14	246.28	146.03	279.14	356.05	195.72	221.86	189.02	329.84	624.99	170.25	170.25	151.22	258.57	201.25	389.72	177.53	149.12	191.67	131.51	195.72	153.34	229.72	246.28	105.89	232.94	171.45	201.25	186.4	381.68	212.78	242.88	229.72	151.22	170.25	98.04	167.9	126.12	265.87	320.8	295.11	132.44	127.89	82.87	181.28	78.89	63.89	41.81	66.65	56.28	48.52	53.57	44.57	69.03	27.25	44.25	52.08	70.51	52.45	30.12	36.01	41.52	56.68	60.82	36.27	67.12	51.71	108.9	45.21	37.85	40.93	22.59	38.67	27.44	40.36
SIRT1	138.1	148.09	638.15	297.17	361.04	236.21	351.14	314.17	226.54	351.14	241.19	267.73	387.02	194.36	336.79	145.02	265.87	242.88	301.33	450.94	379.04	417.77	312.0	332.14	237.86	285.03	323.03	239.52	327.56	301.33	343.89	299.25	277.2	186.4	674.59	153.34	583.07	264.03	435.55	312.0	307.69	281.09	291.04	363.56	346.29	287.01	825.0	239.52	368.65	457.25	406.31	299.25	466.88	312.0	332.14	232.94	197.09	334.46	154.42	503.95	417.77	246.28	143.01	229.72	361.04	314.17	511.0	341.51	412.0	339.14	267.73	231.32	163.28	387.02	297.17	204.07	341.51	363.56	397.93	301.33	224.97	251.48	96.68	180.02	84.63	98.73	62.56	75.11	58.71	102.25	71.0	46.84	99.43	98.04	103.69	143.01	90.77	70.51	127.89	156.59	125.24	59.97	138.1	125.24	130.6	118.43	209.84	131.51	122.64	182.55	120.94	185.11
SLC25A36	194.36	237.86	1096.5	651.58	947.83	860.08	518.15	543.96	848.22	748.61	397.93	389.72	698.41	470.14	358.54	473.41	353.59	409.15	620.67	830.75	708.18	728.11	995.0	819.3	738.29	368.65	289.02	500.46	665.29	429.54	1096.5	703.28	490.14	199.85	769.69	343.89	785.88	684.02	753.83	320.8	450.94	497.0	529.06	759.08	733.19	928.3	1151.06	607.87	500.46	878.17	896.64	339.14	1208.34	1066.48	432.53	447.82	669.92	450.94	392.44	769.69	769.69	417.77	373.81	559.28	693.58	642.59	995.0	607.87	921.88	738.29	532.74	728.11	503.95	540.19	620.67	890.44	928.3	928.3	1030.12	579.04	361.04	525.39	64.34	21.47	18.29	22.43	14.45	35.25	23.76	56.28	52.45	21.01	32.13	22.43	22.75	31.67	18.03	22.59	18.84	15.34	25.72	7.46	96.01	15.56	116.78	23.76	32.13	47.5	8.71	24.28	41.52	43.94
SMARCAD1	81.71	157.68	511.0	289.02	473.41	500.46	214.27	265.87	176.29	381.68	217.27	303.44	218.79	297.17	195.72	223.41	159.9	201.25	316.37	466.88	373.81	175.07	251.48	400.71	325.29	223.41	267.73	244.57	409.15	194.36	301.33	423.61	172.65	171.45	336.79	198.47	285.03	221.86	361.04	149.12	409.15	320.8	381.68	307.69	256.78	575.03	728.11	329.84	329.84	303.44	264.03	228.13	547.75	381.68	237.86	309.83	177.53	212.78	176.29	466.88	217.27	189.02	376.41	187.71	305.55	320.8	228.13	287.01	316.37	231.32	204.07	220.32	144.01	239.52	314.17	260.38	441.64	358.54	307.69	379.04	246.28	239.52	70.01	81.14	37.85	74.58	47.17	37.05	63.45	73.03	94.67	36.27	50.27	75.64	108.9	19.11	67.12	40.36	53.95	81.71	67.12	26.47	100.83	76.71	102.25	64.34	98.73	74.58	34.26	70.01	80.57	104.42
STAG2	470.14	583.07	974.5	934.76	1008.9	813.63	674.59	842.36	616.37	1651.0	507.46	540.19	368.65	909.17	603.67	616.37	244.57	583.07	947.83	1313.23	1143.1	830.75	909.17	954.43	813.63	633.73	1159.07	1066.48	896.64	555.41	836.53	872.1	547.75	441.64	995.0	651.58	599.49	525.39	915.51	693.58	848.22	988.12	775.05	961.07	665.29	934.76	1605.83	703.28	1015.93	1088.92	1304.15	665.29	1467.37	1096.5	473.41	559.28	647.07	759.08	336.79	961.07	808.0	555.41	633.73	785.88	830.75	738.29	1066.48	819.3	981.29	769.69	808.0	555.41	450.94	688.78	571.05	713.11	1467.37	947.83	878.17	819.3	351.14	587.13	454.09	265.87	163.28	215.77	198.47	159.9	211.31	256.78	212.78	130.6	325.29	202.66	202.66	287.01	269.6	143.01	273.37	231.32	256.78	152.28	358.54	204.07	307.69	299.25	229.72	206.94	94.67	199.85	283.05	256.78
TNPO1	258.57	231.32	1073.91	599.49	1088.92	830.75	435.55	543.96	723.08	1015.93	305.55	536.45	368.65	693.58	323.03	518.15	267.73	607.87	555.41	1340.84	1159.07	463.65	1030.12	941.27	921.88	503.95	775.05	633.73	567.1	567.1	647.07	1183.45	447.82	417.77	1044.52	665.29	656.11	414.87	616.37	403.5	1457.23	941.27	967.76	733.19	728.11	1487.87	2384.37	503.95	890.44	902.89	1023.0	612.11	1498.22	967.76	301.33	460.44	587.13	909.17	373.81	796.86	366.09	397.93	486.75	854.13	684.02	813.63	647.07	842.36	764.36	674.59	713.11	599.49	423.61	738.29	587.13	583.07	1088.92	1313.23	555.41	567.1	397.93	529.06	275.28	249.73	122.64	215.77	198.47	136.19	157.68	205.5	336.79	231.32	195.72	281.09	269.6	127.0	170.25	127.0	131.51	75.64	156.59	279.14	303.44	177.53	389.72	166.73	144.01	145.02	116.78	127.89	169.07	215.77
TTC26	23.42	38.4	279.14	147.06	187.71	232.94	150.17	170.25	104.42	237.86	125.24	104.42	88.26	108.9	127.0	198.47	71.0	118.43	249.73	171.45	204.07	122.64	150.17	169.07	119.26	248.0	127.0	124.37	291.04	239.52	144.01	140.04	100.13	90.14	169.07	190.34	117.6	130.6	170.25	100.83	154.42	206.94	176.29	148.09	125.24	307.69	158.79	169.07	131.51	193.01	198.47	140.04	543.96	215.77	98.73	87.65	116.78	148.09	123.5	148.09	84.63	130.6	149.12	256.78	95.34	208.38	164.42	158.79	217.27	110.43	173.85	118.43	97.36	150.17	131.51	201.25	281.09	218.79	181.28	199.85	57.49	232.94	31.9	7.94	16.51	24.28	9.7	7.57	27.84	8.19	24.81	18.7	10.24	19.11	36.53	15.8	18.16	9.93	9.93	13.83	20.41	41.81	17.51	18.03	30.56	25.17	10.96	8.78	8.19	10.88	12.55	14.03
UBA6	114.36	177.53	529.06	575.03	624.99	866.07	228.13	271.48	236.21	450.94	239.52	220.32	287.01	435.55	244.57	327.56	194.36	221.86	249.73	698.41	318.57	264.03	339.14	525.39	620.67	226.54	429.54	361.04	277.2	182.55	285.03	796.86	190.34	136.19	348.71	363.56	220.32	289.02	287.01	208.38	651.58	348.71	480.04	450.94	316.37	665.29	688.78	249.73	384.34	384.34	878.17	167.9	842.36	432.53	169.07	283.05	249.73	397.93	111.99	476.71	204.07	158.79	507.46	540.19	518.15	376.41	384.34	323.03	253.23	221.86	185.11	271.48	150.17	156.59	320.8	289.02	514.56	775.05	348.71	363.56	231.32	271.48	86.43	115.16	36.79	62.12	106.63	63.89	57.89	73.54	121.79	55.1	76.17	115.97	77.25	69.52	60.82	92.7	52.82	106.63	61.25	65.26	89.51	92.05	172.65	98.73	70.51	76.17	63.0	116.78	115.16	88.88
UBTD2	246.28	358.54	587.13	500.46	684.02	312.0	279.14	518.15	620.67	651.58	373.81	291.04	307.69	490.14	454.09	358.54	40.93	336.79	476.71	791.35	616.37	547.75	497.0	780.44	389.72	693.58	543.96	435.55	759.08	406.31	334.46	536.45	381.68	381.68	559.28	414.87	287.01	660.68	591.22	490.14	392.44	339.14	665.29	656.11	591.22	1051.79	1208.34	400.71	480.04	473.41	351.14	450.94	642.59	358.54	376.41	339.14	332.14	447.82	414.87	493.56	486.75	285.03	575.03	583.07	332.14	563.18	1066.48	470.14	728.11	327.56	438.59	293.07	242.88	674.59	358.54	480.04	563.18	909.17	289.02	403.5	318.57	529.06	180.02	127.89	100.13	175.07	104.42	115.16	115.16	129.69	275.28	105.15	121.79	275.28	209.84	169.07	96.01	151.22	102.25	215.77	148.09	267.73	209.84	108.9	220.32	212.78	150.17	134.3	113.56	148.09	159.9	119.26
UBXN7	71.0	131.51	285.03	214.27	283.05	279.14	136.19	175.07	327.56	281.09	157.68	140.04	110.43	113.56	106.63	140.04	91.41	154.42	214.27	332.14	260.38	152.28	348.71	186.4	182.55	142.01	224.97	198.47	198.47	141.02	149.12	343.89	153.34	64.8	242.88	149.12	150.17	140.04	215.77	189.02	236.21	124.37	223.41	199.85	237.86	387.02	457.25	218.79	226.54	221.86	341.51	123.5	332.14	295.11	139.07	204.07	178.77	164.42	82.87	277.2	190.34	96.68	123.5	183.82	176.29	262.2	209.84	208.38	231.32	209.84	150.17	115.16	108.9	182.55	133.36	185.11	289.02	275.28	172.65	180.02	124.37	111.99	55.89	55.1	35.76	55.1	43.63	58.71	38.67	40.64	59.55	39.79	42.41	59.97	41.81	64.34	32.59	38.4	29.7	35.5	48.18	43.32	55.49	52.82	79.45	45.21	44.57	40.07	39.22	40.07	37.05	67.59
USP37	25.91	11.55	241.19	162.14	133.36	236.21	72.01	66.18	121.79	181.28	53.95	27.44	29.91	134.3	102.97	110.43	46.84	77.25	102.25	244.57	107.38	62.12	110.43	128.79	156.59	72.52	138.1	60.82	103.69	58.71	81.14	229.72	68.07	34.02	140.04	132.44	115.16	52.45	120.94	105.15	89.51	86.43	150.17	141.02	191.67	251.48	206.94	116.78	94.01	104.42	206.94	75.11	387.02	178.77	27.05	61.68	110.43	99.43	22.92	165.57	45.53	55.1	102.25	82.87	103.69	80.01	131.51	118.43	105.89	65.72	39.79	85.82	49.21	152.28	90.77	81.14	287.01	255.0	84.04	48.87	53.19	50.98	13.72	28.65	12.18	23.76	21.32	21.47	15.22	11.91	15.22	11.21	14.89	27.44	9.2	19.82	9.7	18.03	12.27	15.11	12.27	7.75	14.45	33.78	21.16	16.03	9.48	24.63	4.24	10.71	22.1	23.76
WDR35	38.4	32.36	204.07	309.83	197.09	450.94	90.77	128.79	127.0	206.94	185.11	231.32	102.97	104.42	102.97	60.82	94.01	180.02	172.65	134.3	147.06	123.5	120.94	187.71	83.45	163.28	139.07	103.69	206.94	129.69	126.12	132.44	89.51	67.12	186.4	71.0	75.64	149.12	248.0	147.06	139.07	191.67	209.84	204.07	114.36	267.73	149.12	110.43	133.36	171.45	262.2	138.1	204.07	253.23	159.9	115.97	92.7	127.0	142.01	173.85	154.42	118.43	193.01	94.67	78.89	183.82	249.73	116.78	132.44	108.9	63.89	127.0	93.35	122.64	74.06	253.23	361.04	82.29	287.01	201.25	60.82	126.12	25.91	29.48	42.41	40.64	9.56	12.36	20.11	11.55	22.26	16.75	25.35	13.32	37.05	16.51	13.62	14.89	17.38	43.94	29.7	16.39	30.34	29.06	45.85	22.92	24.28	23.42	13.93	18.03	21.01	21.94
ZBTB11	90.14	117.6	279.14	198.47	209.84	256.78	157.68	136.19	242.88	140.04	125.24	111.21	155.5	198.47	186.4	275.28	121.79	164.42	301.33	353.59	201.25	166.73	262.2	248.0	221.86	172.65	171.45	133.36	195.72	134.3	251.48	255.0	224.97	94.01	231.32	199.85	253.23	164.42	253.23	183.82	241.19	231.32	258.57	215.77	239.52	271.48	358.54	199.85	186.4	329.84	212.78	147.06	351.14	281.09	136.19	167.9	182.55	158.79	110.43	267.73	124.37	117.6	128.79	297.17	295.11	201.25	148.09	249.73	232.94	187.71	214.27	112.77	131.51	221.86	162.14	187.71	275.28	275.28	209.84	172.65	154.42	169.07	106.63	98.73	80.01	70.51	82.29	77.25	52.45	81.71	85.82	55.49	76.71	98.73	66.65	100.13	56.28	45.53	53.57	64.34	67.59	75.64	106.63	97.36	134.3	81.14	61.68	64.8	23.25	65.72	76.71	58.3
ZFR	417.77	555.41	1088.92	1104.13	1233.75	791.35	728.11	723.08	988.12	1015.93	780.44	703.28	674.59	872.1	872.1	738.29	612.11	813.63	1015.93	1225.22	995.0	967.76	796.86	1037.29	830.75	1104.13	988.12	819.3	1008.9	693.58	915.51	1397.83	669.92	638.15	934.76	693.58	967.76	941.27	1096.5	878.17	995.0	1008.9	1081.39	1015.93	825.0	1508.65	1561.89	796.86	866.07	909.17	967.76	825.0	1388.16	1104.13	708.18	674.59	769.69	909.17	559.28	1359.57	860.08	579.04	909.17	791.35	902.89	954.43	1044.52	1037.29	825.0	743.43	902.89	791.35	518.15	1135.2	521.76	819.3	1183.45	1111.82	981.29	1015.93	638.15	830.75	470.14	583.07	332.14	470.14	356.05	473.41	476.71	376.41	551.56	341.51	395.18	493.56	460.44	466.88	356.05	341.51	277.2	392.44	395.18	343.89	540.19	389.72	547.75	507.46	423.61	336.79	148.09	293.07	312.0	429.54
ZNF148	72.52	85.82	470.14	403.5	327.56	379.04	197.09	204.07	493.56	476.71	141.02	173.85	130.6	309.83	218.79	143.01	112.77	166.73	343.89	486.75	412.0	220.32	381.68	371.22	260.38	201.25	420.68	220.32	309.83	251.48	142.01	450.94	221.86	110.43	444.72	305.55	258.57	175.07	205.5	253.23	395.18	201.25	412.0	397.93	371.22	514.56	466.88	273.37	260.38	371.22	490.14	157.68	397.93	441.64	148.09	223.41	299.25	297.17	111.99	309.83	157.68	165.57	157.68	403.5	307.69	316.37	291.04	307.69	305.55	205.5	249.73	218.79	141.02	251.48	135.24	283.05	642.59	454.09	269.6	202.66	205.5	208.38	94.67	79.45	45.21	100.13	68.07	55.1	63.45	73.03	80.01	52.45	69.52	100.83	80.57	88.26	64.34	47.5	41.52	75.64	72.01	68.55	110.43	74.58	125.24	81.71	82.87	66.65	34.26	57.89	67.12	97.36
ZNF322	80.01	73.03	366.09	447.82	536.45	301.33	155.5	181.28	289.02	389.72	273.37	183.82	108.9	214.27	327.56	146.03	127.0	185.11	293.07	368.65	348.71	212.78	384.34	293.07	206.94	363.56	389.72	189.02	327.56	189.02	336.79	473.41	193.01	251.48	363.56	246.28	218.79	194.36	283.05	255.0	309.83	260.38	343.89	371.22	220.32	346.29	587.13	212.78	299.25	392.44	343.89	265.87	728.11	339.14	124.37	246.28	346.29	256.78	142.01	470.14	181.28	191.67	154.42	220.32	201.25	353.59	529.06	281.09	417.77	262.2	285.03	253.23	151.22	279.14	295.11	248.0	435.55	438.59	224.97	312.0	166.73	248.0	90.77	132.44	50.27	98.04	32.59	37.59	26.86	54.72	72.52	31.0	65.26	60.39	63.45	39.5	32.59	80.57	94.67	43.02	76.17	30.12	59.13	68.07	109.66	48.18	55.89	46.5	26.86	44.57	41.52	56.68
ZNF721	348.71	269.6	397.93	435.55	332.14	299.25	303.44	384.34	348.71	420.68	199.85	301.33	255.0	279.14	500.46	532.74	99.43	336.79	497.0	532.74	409.15	591.22	381.68	463.65	470.14	406.31	423.61	303.44	543.96	260.38	624.99	629.35	414.87	231.32	486.75	447.82	329.84	384.34	620.67	318.57	540.19	473.41	379.04	521.76	299.25	204.07	587.13	447.82	204.07	400.71	447.82	351.14	507.46	521.76	297.17	348.71	164.42	423.61	223.41	723.08	438.59	279.14	450.94	414.87	511.0	395.18	1037.29	339.14	397.93	376.41	400.71	253.23	234.57	371.22	371.22	395.18	518.15	301.33	511.0	368.65	182.55	423.61	206.94	256.78	346.29	264.03	76.71	226.54	218.79	406.31	264.03	150.17	228.13	204.07	205.5	253.23	124.37	231.32	151.22	249.73	162.14	169.07	241.19	164.42	165.57	287.01	119.26	157.68	57.89	101.54	193.01	106.63
ZNF800	172.65	167.9	336.79	248.0	283.05	403.5	135.24	220.32	226.54	525.39	149.12	148.09	189.02	187.71	356.05	151.22	90.14	223.41	283.05	389.72	429.54	384.34	189.02	346.29	234.57	206.94	214.27	202.66	232.94	285.03	285.03	361.04	293.07	176.29	318.57	167.9	277.2	194.36	232.94	141.02	202.66	426.57	246.28	373.81	258.57	403.5	555.41	211.31	237.86	301.33	289.02	169.07	718.08	521.76	176.29	159.9	181.28	271.48	152.28	341.51	173.85	202.66	176.29	334.46	232.94	301.33	246.28	211.31	417.77	231.32	265.87	162.14	241.19	241.19	161.02	248.0	698.41	299.25	303.44	246.28	155.5	186.4	154.42	218.79	72.52	144.01	95.34	109.66	127.0	100.13	102.97	64.34	105.89	90.77	147.06	83.45	82.87	80.57	109.66	106.63	185.11	89.51	137.14	108.9	145.02	129.69	111.99	140.04	47.5	100.13	165.57	108.14
ZSCAN25	100.83	69.52	180.02	146.03	201.25	220.32	153.34	185.11	67.12	343.89	138.1	124.37	133.36	197.09	124.37	95.34	77.79	103.69	172.65	226.54	148.09	138.1	129.69	162.14	150.17	156.59	123.5	100.83	81.71	165.57	189.02	90.14	114.36	145.02	199.85	120.94	116.78	123.5	178.77	80.01	122.64	187.71	161.02	204.07	141.02	202.66	180.02	178.77	128.79	197.09	161.02	149.12	228.13	185.11	148.09	133.36	116.78	130.6	141.02	161.02	148.09	105.89	137.14	125.24	175.07	169.07	277.2	134.3	170.25	171.45	143.01	126.12	101.54	175.07	125.24	204.07	249.73	285.03	143.01	124.37	120.1	127.89	79.45	86.43	69.03	79.45	57.89	84.63	73.54	51.71	74.58	46.84	52.08	55.89	88.26	80.57	28.65	52.45	56.28	54.72	81.14	74.06	61.25	81.14	81.14	71.5	72.01	44.89	35.25	47.17	44.57	44.57
