	GTEX.RTLS.1326.SM.46MUN	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH	TCGA.05.5420.01A.01R.1628.07	TCGA.44.2657.01A.01R.1107.07	TCGA.50.5066.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.49.6745.11A.01R.1858.07	TCGA.38.4627.11A.01R.1758.07	TCGA.73.4676.11A.01R.1755.07	TCGA.49.4512.11A.01R.1858.07	TCGA.49.4490.11A.01R.1858.07	TCGA.38.4626.11A.01R.1758.07	GTEX.11WQK.1226.SM.5GU5Z	TCGA.37.4132.01A.01R.1100.07	TCGA.34.5234.01A.01R.1635.07	TCGA.37.4130.01A.01R.1100.07	TCGA.37.4132.01A.01R.1100.07.1	TCGA.33.4587.11A.01R.2125.07	TCGA.39.5040.11A.01R.2125.07	TCGA.56.7582.11A.01R.2045.07	TCGA.85.7710.11A.01R.2125.07
RAC1	4639.29	5255.91	1870.53	2573.36	1757.34	2739.08	3146.52	1628.26	2303.12	2434.5	2075.59	4388.98	3060.45	2319.15	3039.3	2935.74	3515.68	3280.18	3955.48	6250.56	10512.82	5633.22	5954.47	6516.03	7180.15	11827.67	6079.61	7537.18	8538.88	5633.22	8191.0	4869.99	5633.22	6164.49	6792.79	6164.49	5791.62
RBM7	414.87	511.0	323.03	329.84	314.17	273.37	295.11	309.83	429.54	277.2	373.81	356.05	343.89	483.38	269.6	314.17	287.01	563.18	679.29	555.41	743.43	854.13	698.41	753.83	693.58	708.18	819.3	633.73	780.44	848.22	759.08	567.1	848.22	693.58	1088.92	563.18	571.05
RHEB	1651.0	1870.53	1467.37	1397.83	1167.14	909.17	1066.48	934.76	1350.18	1417.35	1313.23	2720.15	1457.23	1551.09	769.69	1508.65	1674.06	1250.98	3820.7	3395.89	7695.57	6935.54	3515.68	3874.05	3325.99	3955.48	4481.23	3540.14	2271.4	6121.9	6887.62	5791.62	6121.9	3982.99	4419.52	2303.12	2417.67
RNF181	4575.41	3768.09	2664.15	3443.31	3742.05	3820.7	6516.03	4095.0	5872.48	3515.68	3103.19	2627.46	6426.31	3820.7	3540.14	4736.79	4481.23	4066.71	9876.98	9808.75	16045.82	17197.56	6699.25	6699.25	6381.92	7485.11	7032.37	5831.91	12415.75	7081.29	13306.94	18560.17	7081.29	7180.15	6840.04	3515.68	3955.48
RPL22L1	1242.34	1883.54	769.69	836.53	848.22	518.15	400.71	738.29	1073.91	1127.35	981.29	1159.07	954.43	733.19	567.1	1199.98	738.29	791.35	4298.64	1832.01	6745.86	3303.0	1857.6	2163.77	1583.71	2855.44	1733.13	1963.57	5672.41	5076.84	8305.36	7433.4	5076.84	2417.67	2434.5	1199.98	2627.46
RPL24	31650.8	29736.59	23009.42	22692.63	25005.23	28132.47	31215.04	22850.48	36106.23	36357.37	28723.62	16045.82	37901.36	31215.04	36610.26	17558.94	18950.18	29943.43	53601.03	37901.36	106462.55	95949.32	59474.18	49322.93	45386.27	72715.74	82378.63	40621.74	115696.65	68318.04	120609.84	159145.95	68318.04	70727.3	68318.04	28328.16	38164.99
RPS16	37121.34	43840.21	51062.33	45386.27	36357.37	40904.3	46339.95	32540.65	45386.27	50709.61	42641.37	22380.2	46019.85	42937.97	51062.33	16960.78	21768.19	36106.23	279017.26	68793.23	204252.32	158046.64	86474.27	71219.26	75803.72	97288.74	107203.06	67377.47	148488.36	92040.7	160252.91	241220.67	92040.7	98646.85	90146.51	42346.82	61999.83
SAR1B	1806.78	1923.14	842.36	1467.37	1427.22	1096.5	1359.57	921.88	3614.55	2664.15	1369.04	2193.99	2701.35	1583.71	928.3	2816.11	3564.78	2090.03	3212.66	995.0	2240.11	2573.36	981.29	1030.12	954.43	947.83	941.27	1059.11	483.38	1331.57	2591.27	2855.44	1331.57	1167.14	1225.22	555.41	753.83
SEC61B	6652.97	8363.13	4095.0	6079.61	7032.37	4639.29	5831.91	5711.87	9151.82	6516.03	5995.9	10659.59	10585.95	4937.99	3847.29	8479.89	7749.1	6426.31	11584.24	6207.38	9474.59	8538.88	6561.36	7695.57	5872.48	8658.09	7433.4	5791.62	14461.21	8247.98	9540.5	9808.75	8247.98	7485.11	7230.1	4704.07	4836.35
SELK	1498.22	2178.83	1167.14	2032.85	1322.37	1143.1	1001.93	974.5	1617.0	1936.53	1457.23	2502.97	2075.59	1059.11	1051.79	2287.2	2875.3	1583.71	5594.3	2739.08	7331.05	6337.83	3303.0	3349.13	2400.97	3146.52	4066.71	3103.19	4639.29	3614.55	6121.9	4903.87	3614.55	4358.66	5479.15	1870.53	2075.59
SFTA2	29.27	0.0	0.0	0.0	0.0	0.0	10.96	10.63	0.0	0.0	41.81	35.5	0.0	12.45	0.0	17.13	0.0	0.0	10296.45	7032.37	5219.6	14065.74	22380.2	14663.09	19348.38	25708.25	23986.58	11909.94	21768.19	195.72	4066.71	107.38	195.72	21617.82	25354.3	8598.28	7180.15
SLC25A5	6652.97	7331.05	5872.48	4704.07	6381.92	5292.48	10084.54	5913.33	11267.44	7966.99	6516.03	3491.39	14765.09	8247.98	5292.48	6935.54	6337.83	7966.99	19082.0	9876.98	17197.56	14867.79	10733.74	11504.21	11909.94	12589.08	11827.67	10512.82	12943.04	12160.22	18819.27	16269.83	12160.22	11992.79	10225.32	6699.25	7695.57
SLMO2	417.77	470.14	255.0	356.05	341.51	366.09	303.44	236.21	336.79	361.04	281.09	450.94	287.01	279.14	285.03	318.57	379.04	409.15	1832.01	1104.13	2935.74	2367.9	1250.98	1059.11	961.07	967.76	1268.46	1175.27	878.17	2502.97	2240.11	4328.55	2502.97	921.88	1359.57	669.92	813.63
SNRPD1	327.56	684.02	480.04	314.17	507.46	325.29	525.39	336.79	967.76	693.58	583.07	503.95	723.08	500.46	371.22	595.34	387.02	642.59	2555.58	1304.15	4210.15	3690.52	1340.84	1051.79	1242.34	1628.26	1508.65	1135.2	2520.38	5555.65	2555.58	4543.8	5555.65	1437.15	1639.59	1088.92	1175.27
SPATA22	0.0	0.91	2.27	0.0	1.66	3.32	0.0	3.89	3.69	0.0	4.98	0.0	2.78	2.1	3.44	1.35	0.75	0.0	8.92	3.06	1.27	3.41	5.63	17.38	0.0	9.78	6.11	0.0	3.11	2.53	37.85	2.61	2.53	0.0	0.44	7.11	1.64
SUB1	4152.18	4210.15	1594.73	1467.37	2451.44	2240.11	3257.52	1709.26	3742.05	2627.46	1819.35	3349.13	4239.45	2417.67	1794.29	4358.66	2976.74	3491.39	15499.21	7803.01	16843.62	18689.27	6381.92	7695.57	5633.22	8247.98	7537.18	5292.48	7966.99	12764.83	18304.63	34635.37	12764.83	7081.29	7642.41	4328.55	5479.15
TCEB1	1151.06	1447.15	1001.93	759.08	921.88	743.43	1286.18	703.28	1104.13	1127.35	884.29	1359.57	2090.03	1183.45	802.41	1066.48	1295.13	1008.9	5441.3	1977.24	7130.55	7230.1	2434.5	2720.15	2400.97	2434.5	2875.3	2520.38	3146.52	8598.28	5633.22	10959.3	8598.28	2835.7	3395.89	1417.35	1561.89
TIPRL	406.31	299.25	189.02	165.57	206.94	198.47	251.48	208.38	363.56	275.28	273.37	271.48	387.02	265.87	197.09	316.37	329.84	242.88	974.5	514.56	1331.57	1151.06	723.08	660.68	454.09	591.22	718.08	514.56	679.29	878.17	1159.07	1037.29	878.17	738.29	708.18	473.41	540.19
TMEM165	224.97	195.72	120.94	178.77	137.14	163.28	105.89	104.42	148.09	154.42	154.42	224.97	258.57	110.43	186.4	256.78	208.38	201.25	4298.64	2502.97	4210.15	7589.61	2609.3	3235.01	2163.77	2133.97	2468.49	2520.38	2287.2	3874.05	5831.91	6935.54	3874.05	2417.67	3372.43	1936.53	2018.8
TMEM41B	521.76	536.45	327.56	607.87	483.38	379.04	363.56	414.87	320.8	500.46	426.57	603.67	466.88	441.64	420.68	483.38	476.71	483.38	620.67	599.49	460.44	1066.48	753.83	547.75	921.88	1167.14	718.08	713.11	1191.69	620.67	435.55	693.58	620.67	684.02	830.75	688.78	669.92
TMEM70	540.19	878.17	6037.61	547.75	490.14	376.41	514.56	316.37	723.08	4869.99	429.54	836.53	988.12	728.11	571.05	647.07	836.53	633.73	1896.65	723.08	1628.26	2287.2	738.29	995.0	718.08	808.0	1081.39	808.0	316.37	2178.83	1674.06	2178.83	2178.83	954.43	1397.83	470.14	647.07
TOMM5	1233.75	2047.0	1313.23	802.41	1104.13	1015.93	1350.18	753.83	1950.0	1359.57	1088.92	1427.22	1388.16	1135.2	1159.07	1757.34	1199.98	1250.98	3589.58	1628.26	7032.37	5292.48	2739.08	2915.45	2384.37	3235.01	3146.52	2645.74	3982.99	5041.77	6037.61	4575.41	5041.77	3443.31	3349.13	1561.89	2224.63
TPM3	2209.26	1806.78	1242.34	1286.18	1397.83	1477.58	2240.11	1685.71	2193.99	1437.15	1639.59	2018.8	2537.92	1447.15	1407.55	2384.37	2018.8	1594.73	10084.54	7081.29	14262.1	7911.95	10154.69	8963.45	9740.98	9876.98	10959.3	9025.81	10084.54	6935.54	6935.54	6983.79	6935.54	9025.81	9945.68	7911.95	10084.54
TUBD1	110.43	120.1	134.3	76.71	98.73	127.0	103.69	143.01	78.89	113.56	136.19	117.6	40.93	156.59	120.1	96.68	40.07	149.12	291.04	186.4	273.37	497.0	176.29	123.5	194.36	137.14	185.11	171.45	228.13	303.44	287.01	229.72	303.44	255.0	305.55	145.02	229.72
UCHL3	854.13	1001.93	343.89	460.44	684.02	432.53	540.19	563.18	748.61	669.92	674.59	629.35	825.0	591.22	395.18	974.5	651.58	981.29	1233.75	669.92	1697.45	1167.14	718.08	878.17	748.61	1104.13	842.36	633.73	1225.22	2148.82	2178.83	1883.54	2148.82	728.11	738.29	514.56	591.22
UFD1L	974.5	890.44	723.08	713.11	830.75	825.0	1096.5	848.22	1151.06	796.86	836.53	981.29	1199.98	785.88	769.69	1313.23	1225.22	813.63	3325.99	1991.0	4836.35	3257.52	1936.53	2148.82	1923.14	2018.8	2451.44	1769.57	2935.74	2271.4	3564.78	4575.41	2271.4	2451.44	2004.85	1844.76	1417.35
UTP18	289.02	305.55	262.2	242.88	237.86	373.81	358.54	190.34	249.73	303.44	376.41	275.28	343.89	248.0	119.26	239.52	214.27	307.69	1259.69	753.83	2032.85	1572.76	842.36	718.08	723.08	836.53	866.07	785.88	988.12	1572.76	1151.06	1832.01	1572.76	872.1	733.19	575.03	813.63
VKORC1L1	275.28	301.33	183.82	223.41	204.07	212.78	273.37	275.28	260.38	269.6	341.51	309.83	314.17	309.83	206.94	283.05	389.72	417.77	551.56	780.44	633.73	791.35	860.08	476.71	500.46	733.19	728.11	447.82	536.45	612.11	463.65	384.34	612.11	642.59	454.09	583.07	450.94
ZFAND2A	967.76	1208.34	2485.67	1963.57	2591.27	1605.83	1794.29	1781.89	669.92	2758.13	1359.57	3982.99	2720.15	1467.37	1359.57	2335.28	620.67	2119.22	2047.0	743.43	7485.11	4152.18	802.41	947.83	791.35	1159.07	1277.29	819.3	1350.18	884.29	4298.64	2555.58	884.29	1417.35	1561.89	603.67	591.22
ZNF410	269.6	470.14	239.52	325.29	323.03	490.14	289.02	241.19	309.83	329.84	346.29	688.78	409.15	242.88	371.22	409.15	444.72	389.72	1540.37	848.22	2047.0	1685.71	1295.13	1208.34	1037.29	1066.48	1605.83	1175.27	435.55	2004.85	2485.67	1551.09	2004.85	1167.14	1857.6	738.29	872.1
ZNF644	397.93	447.82	346.29	381.68	400.71	361.04	242.88	384.34	299.25	463.65	381.68	384.34	191.67	346.29	363.56	346.29	253.23	521.76	283.05	384.34	616.37	647.07	323.03	379.04	414.87	507.46	406.31	341.51	507.46	480.04	334.46	753.83	480.04	373.81	571.05	412.0	460.44
