	TCGA.BP.4974.01A.01R.1334.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.EM.A3AL.01A.11R.A206.07	TCGA.EL.A4K9.01A.11R.A250.07	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3T0.01A.22R.A22L.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A0ZG.01A.11R.A10U.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A1YD.01A.11R.A14Y.07	TCGA.BJ.A0YZ.01A.11R.A10U.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.EL.A3ZH.11A.11R.A23N.07	TCGA.EM.A1CU.11A.11R.A13Y.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.146FR.0326.SM.5SI8U	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.WY7C.0226.SM.3NB37	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
CXorf36	1572.76	1662.49	808.0	567.1	629.35	480.04	525.39	624.99	733.19	651.58	629.35	457.25	780.44	536.45	1096.5	753.83	381.68	406.31	607.87	466.88	718.08	420.68	435.55	389.72	450.94	693.58	525.39	536.45	130.6	117.6	112.77	339.14	155.5	265.87	208.38	165.57	155.5	314.17	175.07	64.8	368.65	146.03	312.0	234.57	221.86	209.84	320.8	194.36	356.05	197.09	180.02	199.85	189.02	231.32	142.01	293.07	101.54	551.56	167.9	253.23	159.9	199.85	69.52	309.83	105.89	275.28	46.84	165.57	175.07	137.14	199.85	193.01	143.01	117.6	193.01	314.17	215.77	122.64	164.42	291.04	155.5	214.27	165.57	97.36	135.24	90.77	256.78	159.9
CYYR1	1628.26	1561.89	759.08	866.07	764.36	525.39	503.95	713.11	684.02	728.11	764.36	656.11	796.86	629.35	775.05	703.28	470.14	417.77	620.67	642.59	743.43	624.99	540.19	521.76	579.04	575.03	629.35	559.28	88.26	177.53	154.42	143.01	289.02	299.25	226.54	183.82	197.09	397.93	473.41	45.85	312.0	251.48	389.72	177.53	232.94	417.77	224.97	147.06	420.68	269.6	241.19	228.13	264.03	343.89	234.57	295.11	60.39	226.54	161.02	199.85	180.02	258.57	43.02	346.29	172.65	417.77	130.6	414.87	273.37	251.48	178.77	170.25	318.57	356.05	241.19	177.53	139.07	199.85	249.73	432.53	293.07	341.51	206.94	102.25	275.28	231.32	332.14	283.05
DCHS1	473.41	490.14	147.06	148.09	141.02	111.99	61.25	89.51	158.79	149.12	151.22	87.03	126.12	102.97	147.06	100.83	96.01	90.77	130.6	114.36	165.57	88.26	107.38	75.64	87.65	220.32	121.79	136.19	23.25	22.75	27.64	76.71	47.17	46.18	53.57	53.95	28.45	120.1	47.17	34.75	79.45	37.05	76.71	85.22	53.19	61.25	89.51	63.0	102.97	75.64	71.0	59.13	81.14	151.22	56.68	71.5	52.08	115.97	63.89	59.13	27.84	75.11	27.05	111.99	28.65	64.34	29.91	70.51	80.01	21.94	73.03	57.08	55.1	57.89	37.85	143.01	61.25	14.14	32.13	72.52	43.02	79.45	28.04	32.13	70.01	40.07	50.63	55.1
DYSF	2591.27	2976.74	1369.04	1286.18	1286.18	769.69	1001.93	988.12	1081.39	1081.39	684.02	656.11	647.07	961.07	2255.7	1037.29	624.99	808.0	1119.56	769.69	1096.5	575.03	656.11	1081.39	764.36	1008.9	954.43	796.86	84.63	132.44	130.6	202.66	293.07	195.72	142.01	343.89	185.11	551.56	234.57	82.29	223.41	94.67	500.46	277.2	260.38	202.66	246.28	258.57	441.64	265.87	136.19	181.28	267.73	293.07	131.51	366.09	90.14	423.61	177.53	195.72	170.25	178.77	81.14	281.09	115.97	457.25	94.67	287.01	178.77	128.79	275.28	120.94	88.26	121.79	224.97	239.52	145.02	214.27	120.1	297.17	130.6	215.77	327.56	94.67	346.29	158.79	187.71	267.73
ECSCR	6079.61	6079.61	2591.27	2367.9	3235.01	1794.29	1909.85	3303.0	2758.13	3491.39	2573.36	2384.37	3146.52	1896.65	3928.15	2956.17	1662.49	1709.26	2287.2	2061.24	2664.15	2627.46	2193.99	2384.37	1806.78	2148.82	2018.8	2047.0	703.28	723.08	860.08	954.43	1617.0	764.36	921.88	1104.13	1508.65	2104.58	2075.59	301.33	1709.26	291.04	2895.31	2004.85	1015.93	1242.34	1295.13	1135.2	3665.02	1216.75	728.11	1066.48	1832.01	1350.18	1508.65	2609.3	718.08	1359.57	1745.2	947.83	698.41	1617.0	967.76	1674.06	866.07	1594.73	665.29	3103.19	688.78	669.92	1322.37	1594.73	954.43	595.34	1277.29	2104.58	543.96	981.29	679.29	1628.26	941.27	967.76	1519.15	909.17	1781.89	1111.82	1369.04	2303.12
EGFL7	6792.79	4607.24	4095.0	4607.24	4607.24	3060.45	4268.94	4671.57	4972.34	4481.23	3716.2	3639.7	5041.77	2835.7	5329.3	4210.15	3018.3	2434.5	2148.82	2148.82	2835.7	4123.49	2758.13	3928.15	2796.65	5329.3	2047.0	2664.15	791.35	612.11	246.28	1498.22	669.92	1487.87	934.76	981.29	679.29	1617.0	2004.85	591.22	1259.69	825.0	1977.24	1508.65	1551.09	1242.34	947.83	915.51	2104.58	1104.13	813.63	1286.18	2193.99	1639.59	2875.3	1721.16	1350.18	1498.22	1135.2	954.43	403.5	928.3	387.02	1119.56	417.77	1407.55	480.04	2502.97	1151.06	1104.13	974.5	974.5	733.19	525.39	1037.29	1304.15	395.18	651.58	624.99	1322.37	769.69	616.37	1870.53	1709.26	1397.83	1127.35	791.35	2335.28
ELFN1	115.16	120.94	105.89	85.22	101.54	75.64	57.08	124.37	74.58	112.77	41.52	61.68	85.82	46.84	84.04	43.94	58.71	52.08	48.87	78.34	99.43	69.03	46.5	51.35	61.25	165.57	77.79	55.89	6.16	1.16	2.27	18.56	5.63	6.67	15.68	11.64	5.06	30.56	6.31	0.96	14.56	6.31	9.2	20.41	19.53	21.63	15.68	14.56	9.78	21.16	16.63	18.56	6.46	7.06	4.35	5.41	5.23	10.47	4.43	7.11	8.32	22.1	2.71	19.11	2.92	25.54	2.18	9.41	20.86	9.56	7.82	5.63	13.42	10.08	9.63	11.38	6.46	13.22	14.45	28.45	16.03	19.82	7.46	2.27	9.48	6.94	11.73	7.4
ELTD1	1923.14	2682.69	1088.92	934.76	1167.14	679.29	902.89	1073.91	1088.92	1066.48	1037.29	896.64	1259.69	802.41	1044.52	941.27	595.34	616.37	819.3	633.73	1088.92	764.36	674.59	780.44	723.08	947.83	836.53	718.08	164.42	181.28	182.55	249.73	414.87	256.78	239.52	260.38	212.78	651.58	432.53	105.89	329.84	217.27	376.41	301.33	403.5	368.65	137.14	140.04	346.29	220.32	228.13	271.48	201.25	244.57	406.31	432.53	61.25	444.72	177.53	232.94	218.79	226.54	45.53	332.14	195.72	414.87	111.21	297.17	239.52	167.9	316.37	212.78	157.68	316.37	363.56	346.29	205.5	183.82	231.32	547.75	277.2	260.38	267.73	118.43	228.13	237.86	236.21	195.72
ENG	9945.68	11664.82	6516.03	12502.12	10225.32	6887.62	7180.15	11345.82	9740.98	5633.22	6250.56	7485.11	8538.88	4450.27	16269.83	8078.22	5791.62	5479.15	6983.79	7749.1	7081.29	8134.41	6983.79	5872.48	4836.35	6561.36	5255.91	6516.03	1015.93	915.51	909.17	2835.7	1721.16	2075.59	1883.54	1923.14	1662.49	3982.99	2163.77	358.54	1709.26	2271.4	3794.3	4512.4	2627.46	3081.75	961.07	2591.27	3589.58	3874.05	2537.92	2384.37	1806.78	2224.63	1159.07	1950.0	941.27	2816.11	1628.26	1594.73	1119.56	2485.67	607.87	2255.7	684.02	3665.02	753.83	2119.22	1936.53	1561.89	1407.55	854.13	1242.34	2739.08	1477.58	1709.26	1183.45	1030.12	1135.2	5112.16	1477.58	1844.76	2935.74	1304.15	2032.85	1051.79	2485.67	2104.58
ERG	1216.75	1745.2	473.41	373.81	406.31	299.25	232.94	366.09	368.65	387.02	403.5	293.07	483.38	348.71	454.09	397.93	283.05	260.38	441.64	356.05	490.14	336.79	301.33	295.11	301.33	441.64	381.68	269.6	90.14	88.88	90.77	177.53	305.55	180.02	152.28	175.07	142.01	387.02	242.88	64.34	316.37	102.97	406.31	202.66	182.55	173.85	140.04	111.99	447.82	155.5	135.24	176.29	218.79	291.04	221.86	353.59	46.84	379.04	154.42	175.07	102.25	189.02	78.89	175.07	78.89	113.56	78.34	258.57	119.26	61.68	173.85	172.65	166.73	241.19	197.09	301.33	72.01	72.52	115.97	220.32	140.04	228.13	201.25	85.22	170.25	127.89	148.09	137.14
EXOC3L1	769.69	595.34	503.95	417.77	543.96	339.14	307.69	463.65	447.82	406.31	318.57	336.79	305.55	249.73	497.0	409.15	275.28	289.02	351.14	281.09	351.14	366.09	287.01	450.94	295.11	503.95	246.28	341.51	73.54	68.07	38.4	161.02	103.69	111.99	131.51	197.09	137.14	189.02	110.43	21.01	97.36	76.71	316.37	181.28	142.01	202.66	139.07	114.36	267.73	177.53	107.38	152.28	162.14	187.71	98.04	183.82	96.01	163.28	167.9	97.36	65.72	124.37	61.68	215.77	50.98	248.0	94.01	202.66	92.05	112.77	112.77	94.01	113.56	39.22	127.0	82.87	75.64	118.43	88.26	163.28	177.53	152.28	147.06	119.26	183.82	129.69	100.83	275.28
EXOC3L2	1936.53	1721.16	1745.2	1369.04	1857.6	1119.56	1277.29	1963.57	1225.22	1104.13	1044.52	1407.55	1135.2	1331.57	2119.22	1498.22	1183.45	796.86	1674.06	988.12	1487.87	1551.09	1015.93	1378.57	1051.79	1662.49	842.36	1304.15	148.09	76.71	102.97	521.76	507.46	460.44	583.07	669.92	684.02	723.08	642.59	80.57	201.25	202.66	1437.15	547.75	612.11	571.05	234.57	470.14	688.78	674.59	376.41	669.92	642.59	599.49	189.02	384.34	305.55	728.11	307.69	466.88	228.13	353.59	197.09	728.11	157.68	896.64	249.73	595.34	503.95	363.56	368.65	316.37	201.25	80.57	463.65	156.59	218.79	406.31	334.46	665.29	441.64	314.17	674.59	277.2	981.29	423.61	358.54	521.76
FAM167B	1617.0	1709.26	2119.22	1529.73	2303.12	1369.04	688.78	1167.14	1674.06	961.07	988.12	947.83	1225.22	1001.93	1844.76	1498.22	785.88	796.86	1250.98	764.36	1437.15	1073.91	1104.13	981.29	1277.29	974.5	890.44	1561.89	86.43	125.24	117.6	381.68	186.4	186.4	145.02	232.94	206.94	426.57	234.57	115.16	124.37	123.5	343.89	194.36	220.32	373.81	231.32	341.51	334.46	656.11	130.6	189.02	175.07	291.04	164.42	251.48	202.66	536.45	198.47	161.02	153.34	271.48	120.1	318.57	101.54	723.08	182.55	316.37	223.41	281.09	397.93	223.41	136.19	162.14	351.14	143.01	178.77	217.27	226.54	265.87	171.45	316.37	271.48	158.79	234.57	249.73	373.81	371.22
FAM198B	2119.22	3280.18	1208.34	708.18	703.28	457.25	309.83	559.28	514.56	713.11	551.56	571.05	595.34	473.41	409.15	507.46	514.56	429.54	633.73	693.58	674.59	438.59	423.61	563.18	486.75	603.67	753.83	514.56	66.65	147.06	161.02	232.94	603.67	208.38	182.55	297.17	251.48	201.25	438.59	34.26	318.57	78.34	656.11	110.43	161.02	253.23	186.4	153.34	769.69	271.48	144.01	159.9	232.94	511.0	144.01	361.04	67.12	283.05	193.01	137.14	153.34	212.78	70.01	454.09	249.73	267.73	224.97	791.35	158.79	127.0	193.01	175.07	175.07	124.37	264.03	128.79	129.69	146.03	195.72	420.68	246.28	379.04	279.14	96.01	438.59	389.72	384.34	256.78
FAM26E	71.5	102.97	46.5	29.7	39.22	19.53	25.72	36.79	40.64	40.07	30.56	27.84	50.98	29.06	51.71	24.99	27.25	19.11	36.53	46.18	38.12	25.17	28.24	25.91	25.72	36.53	39.22	26.1	5.32	11.04	6.78	10.39	25.72	14.03	9.85	8.0	13.62	30.12	15.56	1.45	15.68	11.47	17.9	19.68	18.97	19.82	9.2	11.47	27.84	13.62	12.09	13.12	17.64	15.34	11.55	26.1	10.88	17.38	19.82	7.69	10.16	9.13	11.21	27.05	17.0	15.8	6.21	11.04	11.73	7.75	8.32	7.75	6.52	7.46	16.51	7.22	8.06	5.96	8.13	19.53	9.56	11.73	26.1	14.35	13.83	11.38	15.8	13.83
FGD5	1397.83	1594.73	379.04	432.53	339.14	275.28	221.86	343.89	371.22	406.31	435.55	271.48	525.39	307.69	483.38	373.81	269.6	246.28	470.14	363.56	379.04	281.09	267.73	287.01	262.2	389.72	341.51	279.14	77.25	68.55	80.01	199.85	128.79	152.28	136.19	152.28	125.24	307.69	165.57	51.71	223.41	75.64	312.0	224.97	215.77	201.25	212.78	178.77	387.02	126.12	214.27	205.5	287.01	242.88	113.56	356.05	130.6	262.2	148.09	120.1	127.0	234.57	91.41	262.2	80.01	140.04	92.7	237.86	149.12	102.25	129.69	123.5	234.57	94.01	81.14	249.73	111.21	110.43	130.6	220.32	146.03	251.48	141.02	142.01	172.65	127.0	223.41	199.85
FLT1	2777.33	2997.45	2209.26	909.17	1437.15	954.43	836.53	1427.22	1268.46	1407.55	1359.57	1081.39	1295.13	1259.69	1023.0	1081.39	1088.92	723.08	1883.54	1111.82	1769.57	1242.34	941.27	1081.39	1331.57	1350.18	1388.16	1697.45	202.66	260.38	265.87	444.72	1135.2	438.59	363.56	486.75	571.05	1015.93	1242.34	470.14	248.0	473.41	896.64	356.05	320.8	896.64	318.57	246.28	995.0	463.65	363.56	441.64	325.29	579.04	1151.06	1242.34	114.36	743.43	397.93	228.13	277.2	441.64	76.17	532.74	353.59	813.63	289.02	693.58	406.31	325.29	426.57	228.13	323.03	457.25	825.0	368.65	334.46	209.84	400.71	728.11	389.72	490.14	638.15	454.09	620.67	723.08	346.29	454.09
GATA2	303.44	454.09	239.52	226.54	339.14	246.28	244.57	260.38	242.88	334.46	224.97	309.83	297.17	146.03	353.59	201.25	239.52	117.6	256.78	214.27	246.28	253.23	239.52	271.48	224.97	447.82	221.86	197.09	55.1	43.63	32.13	215.77	60.39	126.12	128.79	123.5	63.0	246.28	65.26	22.59	156.59	139.07	182.55	217.27	223.41	208.38	100.83	104.42	166.73	153.34	130.6	237.86	131.51	108.14	43.94	60.82	47.84	119.26	37.85	164.42	75.64	149.12	31.45	185.11	22.1	138.1	35.0	104.42	154.42	120.94	71.0	44.89	113.56	108.9	28.04	140.04	60.39	69.03	73.54	265.87	145.02	105.89	86.43	63.0	98.73	57.89	100.13	148.09
GIPC3	371.22	624.99	265.87	189.02	260.38	187.71	145.02	246.28	255.0	186.4	164.42	169.07	142.01	190.34	237.86	153.34	152.28	116.78	122.64	264.03	244.57	150.17	208.38	167.9	144.01	255.0	175.07	186.4	10.88	18.03	18.7	46.84	63.0	44.89	35.0	55.89	35.25	115.97	42.71	9.48	34.51	14.24	89.51	43.02	38.67	68.55	49.56	24.81	84.04	78.34	24.28	35.25	59.55	90.14	22.26	73.03	16.88	74.58	63.0	32.59	29.27	29.06	11.55	95.34	19.68	76.71	16.03	70.01	32.82	43.02	35.25	29.06	26.1	16.03	37.59	45.21	26.86	25.72	30.56	81.71	35.5	43.02	44.89	29.91	59.13	25.91	52.45	71.0
GRB10	6337.83	5831.91	2178.83	1697.45	2075.59	1457.23	1498.22	2090.03	2468.49	1572.76	2032.85	1457.23	1709.26	1529.73	1781.89	1923.14	1286.18	1127.35	1369.04	1733.13	1991.0	1457.23	1225.22	1388.16	1313.23	2075.59	1583.71	1350.18	220.32	285.03	295.11	441.64	486.75	435.55	555.41	500.46	514.56	1369.04	389.72	665.29	624.99	366.09	728.11	429.54	599.49	775.05	536.45	281.09	684.02	500.46	543.96	457.25	271.48	764.36	723.08	656.11	878.17	525.39	435.55	414.87	289.02	312.0	423.61	679.29	214.27	379.04	265.87	395.18	651.58	218.79	447.82	466.88	318.57	301.33	633.73	466.88	339.14	121.79	400.71	647.07	363.56	371.22	379.04	616.37	409.15	414.87	438.59	587.13
HECW2	674.59	728.11	293.07	208.38	145.02	122.64	68.07	151.22	155.5	241.19	218.79	98.04	136.19	137.14	53.95	102.25	120.1	111.21	172.65	237.86	244.57	70.51	102.97	140.04	103.69	212.78	253.23	157.68	34.75	29.48	29.06	74.06	127.0	67.59	80.57	127.0	94.67	88.88	75.64	4.31	84.04	31.0	127.89	54.72	78.34	85.22	70.51	37.85	86.43	100.83	41.52	80.01	57.89	75.11	59.13	76.71	22.1	84.04	42.71	73.54	59.97	62.12	23.93	101.54	66.65	102.25	57.89	126.12	58.3	18.97	56.68	29.48	80.01	50.63	54.72	50.98	35.25	33.78	67.12	85.82	67.59	115.16	85.22	22.75	94.01	71.0	94.67	96.01
HRH1	141.02	221.86	134.3	228.13	73.03	57.49	38.12	75.11	231.32	144.01	66.18	63.89	151.22	51.71	76.71	57.89	49.91	45.21	48.52	49.56	110.43	63.45	65.26	68.55	52.08	81.14	61.25	48.52	8.19	8.06	12.64	13.83	9.93	8.13	26.1	10.08	9.56	47.84	16.15	2.81	27.84	4.35	17.38	16.63	12.27	45.85	16.15	9.93	46.5	32.82	56.28	4.98	19.39	22.26	7.82	33.78	5.02	27.84	3.82	7.69	4.43	25.91	2.73	25.35	7.82	22.92	11.38	34.51	15.45	8.0	26.28	8.06	6.67	34.51	15.45	45.53	12.18	3.29	14.14	34.26	6.84	21.63	26.28	0.32	15.56	15.68	21.32	19.11
HSPA12B	490.14	483.38	291.04	255.0	307.69	176.29	189.02	309.83	198.47	314.17	260.38	211.31	500.46	153.34	389.72	269.6	167.9	147.06	277.2	246.28	260.38	244.57	237.86	187.71	189.02	320.8	154.42	205.5	70.01	54.72	35.76	128.79	150.17	144.01	153.34	162.14	154.42	127.89	167.9	12.27	186.4	58.71	209.84	201.25	167.9	142.01	186.4	94.01	264.03	162.14	149.12	135.24	275.28	209.84	68.55	186.4	55.49	136.19	149.12	148.09	92.7	165.57	74.06	226.54	70.51	239.52	80.57	202.66	119.26	138.1	88.88	93.35	124.37	63.45	96.68	96.68	77.25	97.36	115.16	228.13	176.29	155.5	224.97	105.89	246.28	148.09	208.38	258.57
HSPG2	12160.22	12943.04	5872.48	9215.48	7032.37	5147.73	3060.45	5555.65	6887.62	5913.33	5076.84	4836.35	6337.83	3665.02	7966.99	5672.41	4388.98	4607.24	5954.47	5831.91	5872.48	3901.01	4239.45	4419.52	3419.52	7749.1	4419.52	4152.18	1073.91	1175.27	753.83	1857.6	2240.11	1551.09	2163.77	2178.83	2434.5	2875.3	1769.57	1008.9	2271.4	1151.06	4388.98	2895.31	2271.4	2104.58	1350.18	1561.89	3639.7	2090.03	2384.37	2193.99	2777.33	3372.43	1322.37	2875.3	1313.23	2075.59	2287.2	1561.89	872.1	1487.87	1572.76	2720.15	674.59	2209.26	1870.53	2855.44	1909.85	1242.34	1208.34	1639.59	1806.78	1159.07	1709.26	1467.37	1233.75	1191.69	1583.71	2976.74	1561.89	2209.26	1733.13	2047.0	2627.46	2255.7	1745.2	2335.28
ICAM2	2287.2	2682.69	1487.87	1167.14	1662.49	1572.76	947.83	2163.77	1304.15	1127.35	1183.45	1044.52	2384.37	819.3	1819.35	1617.0	981.29	981.29	995.0	1295.13	1135.2	1037.29	764.36	1119.56	934.76	1304.15	1378.57	1183.45	318.57	500.46	356.05	463.65	718.08	384.34	688.78	511.0	802.41	579.04	1457.23	169.07	616.37	332.14	1088.92	723.08	753.83	392.44	417.77	373.81	1175.27	603.67	368.65	327.56	836.53	842.36	909.17	1369.04	218.79	941.27	567.1	366.09	384.34	497.0	223.41	507.46	361.04	813.63	463.65	860.08	450.94	432.53	521.76	400.71	358.54	318.57	1001.93	551.56	285.03	339.14	262.2	791.35	303.44	368.65	1208.34	241.19	796.86	555.41	587.13	743.43
IL3RA	450.94	563.18	195.72	356.05	114.36	124.37	99.43	158.79	303.44	212.78	165.57	218.79	224.97	204.07	358.54	239.52	120.1	119.26	149.12	177.53	143.01	217.27	131.51	114.36	108.9	176.29	166.73	81.71	25.17	51.35	25.17	44.25	59.97	56.28	63.45	46.84	53.95	125.24	108.14	23.93	55.1	46.18	84.04	50.63	51.71	115.16	44.25	64.8	83.45	126.12	56.28	27.25	61.25	83.45	81.71	95.34	23.93	55.1	42.41	28.24	31.67	45.85	34.26	62.56	33.06	82.29	46.18	88.88	53.57	43.32	79.45	46.5	40.64	60.39	94.67	57.89	30.34	56.68	36.01	73.54	40.07	58.71	81.14	25.35	73.03	36.79	92.7	62.56
IRX1	18.7	20.86	22.92	24.63	8.65	7.69	3.35	9.06	15.8	4.98	10.24	11.38	11.91	17.25	20.86	8.85	8.13	4.74	17.38	25.54	27.44	9.34	6.06	19.68	8.45	19.39	17.13	4.86	3.5	0.0	0.0	2.43	3.47	1.64	6.67	2.2	0.0	5.63	5.32	2.23	4.43	0.72	0.79	5.02	6.31	1.71	2.32	0.0	6.62	2.97	10.47	4.66	6.11	0.27	1.91	4.39	2.68	2.23	1.0	1.6	1.19	0.74	5.87	4.86	0.37	6.67	1.62	5.32	1.75	0.57	1.45	0.0	4.13	5.63	1.17	1.71	1.14	1.06	0.0	6.06	2.05	2.86	1.77	0.48	4.94	1.25	8.13	6.06
JAG2	1561.89	1259.69	733.19	1427.22	775.05	808.0	470.14	1044.52	974.5	1540.37	563.18	718.08	1233.75	607.87	1001.93	400.71	384.34	540.19	389.72	674.59	559.28	679.29	633.73	490.14	674.59	1233.75	595.34	587.13	94.67	95.34	32.82	154.42	199.85	185.11	197.09	285.03	172.65	444.72	256.78	117.6	220.32	152.28	460.44	279.14	224.97	214.27	137.14	139.07	323.03	312.0	220.32	185.11	417.77	265.87	273.37	223.41	258.57	178.77	193.01	149.12	88.88	137.14	170.25	234.57	119.26	379.04	127.0	307.69	177.53	180.02	128.79	169.07	159.9	175.07	269.6	97.36	102.97	132.44	134.3	312.0	234.57	170.25	316.37	118.43	400.71	178.77	155.5	287.01
KCNN2	53.95	79.45	34.75	31.67	30.78	24.46	10.47	25.91	31.67	43.94	28.04	19.11	20.11	24.81	22.75	19.82	12.45	23.76	29.91	38.95	21.78	15.11	26.67	28.04	30.34	28.65	48.18	19.97	1.83	3.29	3.66	5.73	13.72	2.71	7.75	13.62	6.78	15.68	12.36	0.0	3.72	1.06	15.0	6.67	11.13	7.51	5.02	3.89	10.39	11.38	3.72	4.58	5.54	5.11	4.43	7.28	3.08	11.38	6.94	3.32	7.75	3.89	4.06	9.27	2.73	8.13	7.22	13.03	5.73	4.43	7.17	7.46	10.08	4.54	4.28	2.56	3.92	4.13	6.46	11.73	7.69	6.11	10.63	3.29	9.85	7.0	8.45	9.13
KDR	3690.52	5872.48	2701.35	1662.49	2271.4	1183.45	1119.56	1628.26	1417.35	1870.53	1561.89	1350.18	1250.98	1991.0	1709.26	1639.59	1467.37	1059.11	2956.17	1769.57	2090.03	1417.35	1242.34	1806.78	1295.13	2193.99	2018.8	2061.24	339.14	547.75	387.02	521.76	2271.4	1167.14	825.0	1037.29	1066.48	723.08	1313.23	47.5	708.18	854.13	2148.82	669.92	995.0	748.61	669.92	395.18	1225.22	536.45	559.28	896.64	1233.75	1216.75	543.96	825.0	95.34	1081.39	633.73	540.19	521.76	780.44	146.03	1340.84	769.69	1225.22	387.02	1023.0	507.46	490.14	728.11	275.28	988.12	656.11	567.1	343.89	332.14	551.56	532.74	1427.22	713.11	684.02	1023.0	256.78	1295.13	679.29	638.15	693.58
LEPREL1	1605.83	1135.2	256.78	164.42	163.28	118.43	62.56	223.41	150.17	231.32	111.21	134.3	197.09	141.02	63.0	90.14	105.89	112.77	79.45	1250.98	145.02	110.43	88.26	162.14	92.7	109.66	199.85	125.24	43.32	66.18	70.01	50.98	91.41	60.39	42.41	82.29	92.05	44.57	127.89	10.55	88.88	31.67	103.69	55.89	46.5	94.01	25.72	40.93	78.34	88.88	41.22	60.39	57.89	111.99	94.67	58.3	38.4	59.55	115.16	40.36	49.56	89.51	47.5	149.12	63.89	98.04	38.67	149.12	46.5	26.47	64.8	57.89	33.06	69.03	132.44	72.01	78.34	39.5	61.25	71.0	30.34	68.07	70.01	27.25	80.57	36.53	48.52	81.71
LMO2	2209.26	2255.7	1191.69	1111.82	1119.56	764.36	825.0	1044.52	842.36	961.07	947.83	974.5	967.76	808.0	1216.75	1111.82	629.35	684.02	842.36	884.29	884.29	934.76	988.12	878.17	954.43	825.0	878.17	941.27	154.42	295.11	543.96	460.44	764.36	616.37	429.54	473.41	363.56	651.58	718.08	68.55	638.15	194.36	1359.57	518.15	490.14	423.61	299.25	316.37	1540.37	909.17	457.25	529.06	587.13	603.67	571.05	603.67	303.44	775.05	500.46	447.82	297.17	521.76	368.65	733.19	190.34	785.88	297.17	1096.5	353.59	332.14	373.81	493.56	454.09	490.14	332.14	336.79	178.77	299.25	353.59	759.08	429.54	647.07	540.19	234.57	1088.92	379.04	595.34	616.37
