	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.95.7043.01A.11R.1949.07	TCGA.91.6836.11A.01R.1858.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.13OW5.0726.SM.5KLZK	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.147JS.1226.SM.5RQK4	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.WVJS.0826.SM.4MVNR	GTEX.131XE.0726.SM.5HL9K	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.14A6H.0526.SM.5NQAZ	GTEX.144GO.0226.SM.5LUB1	TCGA.18.3411.01A.01R.0980.07	TCGA.77.8007.11A.01R.2187.07
DDX5	6381.92	8778.97	12502.12	8363.13	5329.3	3349.13	5329.3	5041.77	5913.33	3467.27	2935.74	5255.91	4639.29	3467.27	3716.2	6037.61	3768.09	3081.75	4010.71	3168.41	5076.84	5872.48	5954.47	6699.25	6745.86	3928.15	8421.31	7485.11	6337.83	8078.22	6935.54	6792.79	7695.57	5751.61	3081.75	6887.62	5441.3	4268.94	5711.87	4239.45	3847.29	6840.04	3716.2	12943.04	4802.93	11504.21	12244.81	10659.59	13033.07	15499.21	10883.59	9876.98	8078.22	12589.08	20170.07	7966.99	10883.59	7130.55	11584.24	10154.69	5479.15	8479.89	18052.61	5041.77	6840.04	11035.54	11504.21	15392.14	9151.82	12329.98	12853.63	17927.91	17558.94	9673.69	18689.27	6164.49	12853.63
DENND3	3768.09	521.76	490.14	400.71	236.21	348.71	198.47	112.77	144.01	81.71	54.33	205.5	71.0	92.7	79.45	215.77	76.71	86.43	163.28	24.81	60.39	30.12	88.26	287.01	34.26	69.03	69.52	32.82	248.0	52.45	88.26	249.73	281.09	102.97	41.81	190.34	28.45	119.26	104.42	99.43	82.87	226.54	46.84	1487.87	217.27	327.56	1870.53	473.41	860.08	733.19	775.05	1242.34	343.89	2485.67	3372.43	2645.74	660.68	1359.57	954.43	1015.93	1030.12	954.43	2400.97	1151.06	708.18	954.43	2485.67	629.35	1030.12	1359.57	1519.15	3614.55	3146.52	967.76	5995.9	191.67	688.78
DENND5A	2148.82	1119.56	830.75	1529.73	660.68	866.07	591.22	988.12	808.0	620.67	660.68	728.11	480.04	397.93	420.68	713.11	470.14	769.69	551.56	669.92	473.41	563.18	457.25	860.08	559.28	679.29	830.75	684.02	607.87	395.18	463.65	769.69	423.61	346.29	217.27	229.72	228.13	341.51	271.48	229.72	255.0	361.04	262.2	1143.1	587.13	1159.07	1437.15	872.1	1697.45	2384.37	954.43	1508.65	1151.06	2178.83	2855.44	1870.53	988.12	1119.56	1991.0	1250.98	1313.23	1457.23	1991.0	1250.98	1001.93	909.17	1757.34	1081.39	934.76	1250.98	3395.89	1304.15	2520.38	1674.06	3540.14	825.0	974.5
DKK3	1745.2	307.69	941.27	2224.63	698.41	1561.89	400.71	483.38	163.28	351.14	95.34	281.09	80.57	376.41	115.97	273.37	125.24	72.52	323.03	169.07	497.0	713.11	281.09	444.72	3874.05	90.14	6935.54	7695.57	988.12	50.63	251.48	802.41	71.0	273.37	93.35	220.32	108.9	189.02	34.75	187.71	201.25	1870.53	137.14	2061.24	1191.69	507.46	2573.36	2193.99	1551.09	1870.53	2855.44	1781.89	1896.65	8363.13	10733.74	2796.65	587.13	909.17	2384.37	2384.37	518.15	2178.83	12076.21	4903.87	543.96	2555.58	4481.23	2997.45	1477.58	3235.01	8718.32	2835.7	5112.16	2178.83	9151.82	1508.65	1844.76
DOCK4	684.02	318.57	111.21	287.01	97.36	80.01	206.94	171.45	334.46	127.89	260.38	167.9	131.51	111.21	102.25	253.23	57.49	74.58	120.94	96.68	92.05	102.25	85.22	198.47	234.57	129.69	126.12	105.15	172.65	105.15	299.25	241.19	237.86	76.71	69.03	120.94	102.97	279.14	92.05	189.02	88.88	241.19	208.38	514.56	37.85	336.79	647.07	444.72	339.14	486.75	397.93	309.83	214.27	361.04	961.07	723.08	323.03	309.83	400.71	303.44	320.8	470.14	1437.15	460.44	142.01	406.31	559.28	447.82	426.57	279.14	2119.22	830.75	1159.07	426.57	1233.75	171.45	400.71
ELF4	521.76	226.54	133.36	295.11	239.52	205.5	57.49	43.94	56.68	41.81	21.63	108.9	18.03	35.76	19.11	98.73	14.78	8.78	62.56	19.39	17.9	125.24	30.12	70.01	19.11	10.0	15.8	43.94	69.03	7.94	22.59	148.09	11.38	11.04	12.64	54.33	4.7	25.35	32.36	61.25	43.63	132.44	27.25	376.41	101.54	46.18	346.29	271.48	463.65	1008.9	293.07	312.0	406.31	289.02	872.1	251.48	195.72	384.34	466.88	253.23	381.68	244.57	934.76	463.65	283.05	287.01	267.73	417.77	242.88	318.57	1259.69	417.77	947.83	327.56	1233.75	218.79	271.48
EOGT	223.41	80.01	120.1	125.24	50.27	27.44	103.69	96.68	123.5	98.04	58.71	57.49	26.1	59.13	58.71	144.01	45.53	38.4	102.97	32.59	53.19	78.89	39.22	127.89	65.72	94.01	45.21	106.63	154.42	71.5	95.34	239.52	36.27	54.33	28.04	99.43	21.01	27.84	28.24	27.05	30.78	55.1	15.34	429.54	144.01	180.02	400.71	279.14	387.02	423.61	426.57	409.15	248.0	400.71	444.72	314.17	295.11	256.78	503.95	417.77	127.0	325.29	1059.11	368.65	175.07	358.54	287.01	384.34	409.15	293.07	669.92	323.03	579.04	503.95	703.28	226.54	366.09
EPG5	387.02	197.09	164.42	172.65	181.28	114.36	78.89	80.01	119.26	72.01	72.01	70.01	142.01	70.51	48.52	135.24	70.01	91.41	127.0	106.63	76.17	59.13	58.3	127.0	148.09	34.75	71.0	102.97	97.36	72.52	118.43	115.16	97.36	67.59	61.68	109.66	92.7	59.97	55.1	87.65	108.14	119.26	68.07	241.19	74.58	202.66	218.79	156.59	133.36	185.11	144.01	285.03	224.97	217.27	444.72	447.82	97.36	128.79	271.48	145.02	470.14	283.05	237.86	215.77	139.07	162.14	231.32	204.07	146.03	153.34	507.46	281.09	187.71	208.38	591.22	111.99	173.85
EREG	6607.01	31.0	17.9	1.68	0.0	0.74	0.45	0.0	63.0	0.0	0.0	0.66	13.22	0.0	0.73	1.75	0.77	0.0	11.55	0.0	15.11	19.39	0.4	7.17	0.0	1.14	0.0	1.81	0.44	0.0	24.63	4.98	3.69	0.27	0.0	0.74	0.0	3.03	0.0	1.14	0.31	7.34	0.0	76.71	16.88	0.0	42.41	23.59	165.57	264.03	3.2	995.0	61.25	139.07	226.54	764.36	39.22	35.5	660.68	20.86	201.25	111.21	323.03	18.43	43.94	7.63	15.22	24.28	26.47	130.6	140.04	497.0	105.15	39.22	2701.35	17.9	75.11
ETS1	5913.33	336.79	373.81	743.43	273.37	490.14	323.03	444.72	139.07	366.09	236.21	133.36	145.02	255.0	201.25	490.14	148.09	59.97	209.84	126.12	176.29	75.11	226.54	579.04	241.19	93.35	180.02	172.65	612.11	76.17	191.67	780.44	106.63	116.78	336.79	486.75	176.29	218.79	151.22	447.82	262.2	518.15	309.83	995.0	190.34	307.69	1498.22	1216.75	802.41	954.43	830.75	1059.11	665.29	3235.01	1583.71	1477.58	1167.14	921.88	1745.2	830.75	1066.48	1963.57	6516.03	842.36	381.68	981.29	995.0	1923.14	1135.2	555.41	19618.49	1369.04	5255.91	1277.29	2758.13	269.6	1151.06
EZH1	318.57	518.15	529.06	392.44	400.71	312.0	271.48	183.82	258.57	211.31	84.04	133.36	214.27	212.78	193.01	258.57	190.34	432.53	409.15	237.86	164.42	214.27	167.9	341.51	356.05	146.03	307.69	248.0	329.84	293.07	633.73	299.25	180.02	88.26	212.78	178.77	115.16	130.6	170.25	158.79	248.0	231.32	157.68	738.29	109.66	480.04	629.35	246.28	305.55	351.14	454.09	486.75	447.82	703.28	1322.37	1477.58	248.0	325.29	426.57	629.35	312.0	493.56	366.09	409.15	647.07	470.14	866.07	759.08	312.0	693.58	353.59	825.0	563.18	518.15	583.07	150.17	366.09
FAM129B	2895.31	1857.6	1447.15	2384.37	2032.85	3103.19	551.56	511.0	1457.23	353.59	143.01	842.36	119.26	293.07	291.04	532.74	389.72	444.72	638.15	87.03	248.0	518.15	595.34	660.68	532.74	406.31	473.41	454.09	629.35	66.18	316.37	1167.14	78.34	403.5	116.78	1066.48	78.89	100.13	279.14	660.68	232.94	1295.13	323.03	3665.02	1199.98	3212.66	3901.01	3103.19	3690.52	5147.73	3589.58	1709.26	4010.71	3212.66	7032.37	2468.49	1757.34	3982.99	4239.45	3235.01	2915.45	2758.13	5041.77	4736.79	5147.73	5366.37	2240.11	2303.12	5555.65	6426.31	9088.59	3955.48	5329.3	3515.68	12943.04	1991.0	3372.43
FAT4	11.04	19.53	11.13	37.05	10.71	13.12	13.93	15.45	1.45	7.75	12.45	3.06	5.82	5.63	6.57	9.06	8.0	2.1	5.5	7.11	11.73	3.92	5.45	24.63	3.63	0.55	1.36	1.27	21.47	5.02	10.63	21.47	7.94	4.28	29.27	15.91	33.78	27.84	19.97	43.02	36.01	63.0	54.33	65.72	5.45	9.41	78.89	31.9	34.26	58.3	104.42	115.16	47.5	37.85	180.02	36.53	19.68	18.43	82.29	21.78	18.29	204.07	536.45	55.1	14.78	61.25	52.08	51.35	75.64	40.36	420.68	75.11	406.31	75.64	187.71	3.96	63.0
FBLN5	642.59	406.31	1225.22	2915.45	1225.22	1540.37	312.0	460.44	248.0	289.02	94.67	18.43	95.34	251.48	232.94	289.02	100.83	36.79	246.28	136.19	1051.79	43.94	476.71	679.29	74.06	69.03	14.24	59.97	575.03	40.36	287.01	1037.29	115.97	460.44	361.04	490.14	341.51	457.25	264.03	466.88	279.14	2855.44	460.44	2061.24	169.07	403.5	1883.54	1819.35	1857.6	848.22	5633.22	1991.0	341.51	8363.13	8191.0	3372.43	708.18	921.88	2384.37	5112.16	356.05	4736.79	6207.38	2915.45	392.44	4769.75	3614.55	2148.82	1806.78	4328.55	3325.99	3491.39	2855.44	1259.69	5831.91	158.79	1417.35
FBXO11	802.41	420.68	536.45	426.57	318.57	153.34	327.56	253.23	356.05	376.41	237.86	371.22	397.93	195.72	275.28	376.41	195.72	346.29	348.71	356.05	327.56	336.79	237.86	384.34	571.05	205.5	307.69	473.41	384.34	194.36	389.72	353.59	323.03	255.0	291.04	262.2	209.84	221.86	246.28	336.79	320.8	329.84	323.03	764.36	575.03	684.02	733.19	463.65	607.87	921.88	642.59	674.59	543.96	647.07	967.76	759.08	414.87	450.94	656.11	450.94	514.56	599.49	769.69	497.0	414.87	642.59	373.81	665.29	486.75	536.45	1697.45	890.44	995.0	698.41	1806.78	400.71	525.39
FGF7	507.46	3.69	67.59	193.01	27.84	7.0	95.34	111.99	9.06	49.91	0.82	0.72	6.52	77.25	21.94	21.47	12.18	3.14	14.89	1.68	27.25	3.2	28.04	187.71	1.17	3.06	1.97	0.69	211.31	5.63	11.47	133.36	16.15	15.11	1.45	1.27	4.43	7.34	3.11	15.11	4.17	376.41	4.03	241.19	368.65	102.97	267.73	454.09	332.14	2758.13	155.5	3146.52	1151.06	595.34	2255.7	2303.12	228.13	295.11	1757.34	187.71	688.78	1304.15	2335.28	217.27	463.65	156.59	718.08	1044.52	110.43	79.45	2351.53	314.17	1674.06	921.88	2555.58	40.36	1151.06
FMNL3	283.05	444.72	303.44	780.44	185.11	283.05	232.94	158.79	72.52	172.65	90.77	135.24	84.04	154.42	112.77	277.2	80.01	41.22	127.89	39.79	69.52	71.5	132.44	287.01	53.95	41.22	100.83	58.71	279.14	43.32	82.87	444.72	38.4	49.21	38.4	61.25	32.82	54.33	41.81	61.25	64.8	231.32	32.36	583.07	104.42	161.02	543.96	323.03	389.72	457.25	316.37	454.09	665.29	486.75	915.51	684.02	529.06	295.11	718.08	346.29	373.81	669.92	483.38	409.15	285.03	384.34	363.56	595.34	241.19	275.28	1794.29	400.71	928.3	802.41	988.12	155.5	371.22
FOXJ2	170.25	145.02	125.24	187.71	104.42	145.02	77.79	78.34	62.56	76.17	66.18	50.98	32.82	66.65	70.51	98.73	45.53	125.24	88.88	68.07	48.87	71.5	66.65	108.14	84.04	20.41	111.21	72.01	98.04	54.72	94.67	126.12	78.89	59.13	54.72	53.95	55.1	25.72	56.28	83.45	87.03	122.64	48.87	220.32	131.51	163.28	301.33	170.25	183.82	224.97	234.57	223.41	155.5	226.54	327.56	305.55	170.25	163.28	256.78	201.25	175.07	262.2	435.55	271.48	100.13	220.32	193.01	211.31	195.72	226.54	368.65	423.61	441.64	185.11	406.31	109.66	170.25
FTL	1221310.69	1422501.74	919186.72	1355129.16	998912.34	1422501.74	1123834.93	971597.0	2111737.85	1327240.99	1452391.55	1026995.62	1393227.06	875652.15	1055868.42	851707.37	696613.03	1514068.5	985160.01	1100706.72	958220.73	912837.43	932018.1	857631.47	1147449.11	1493223.86	992012.34	900270.11	811368.76	627822.72	925580.18	881742.8	2294899.22	1179708.33	919186.72	1327240.99	1147449.11	1374046.07	1055868.42	1131651.83	906531.99	925580.18	2326934.84	998912.34	978355.0	1273174.62	492579.5	1204496.53	757033.75	938500.81	834179.46	845824.19	1336472.68	389157.95	358098.26	938500.81	945028.61	751804.53	593956.43	971597.0	845824.19	875652.15	932018.1	887875.81	1327240.99	778316.89	741454.2	687022.54	945028.61	900270.11	408505.64	1179708.33	425853.18	762299.34	527933.71	971597.0	971597.0
GDI1	3874.05	1883.54	2018.8	2075.59	1477.58	1709.26	2468.49	1322.37	1561.89	1427.22	698.41	1561.89	1477.58	1896.65	1397.83	1388.16	1369.04	1208.34	1417.35	1015.93	1369.04	1605.83	1350.18	2303.12	1191.69	1096.5	3235.01	2018.8	1923.14	1498.22	1540.37	1733.13	1417.35	1143.1	723.08	1685.71	738.29	878.17	1044.52	764.36	896.64	1551.09	848.22	2591.27	2537.92	1794.29	2163.77	1268.46	2032.85	2104.58	1467.37	1674.06	2720.15	4066.71	6121.9	5479.15	2163.77	1794.29	2997.45	1467.37	2163.77	1806.78	3564.78	1963.57	2193.99	1322.37	3874.05	2664.15	1167.14	1639.59	3190.46	2047.0	3325.99	2485.67	2956.17	1277.29	1594.73
GFPT2	5292.48	193.01	102.25	234.57	36.53	44.25	45.53	48.18	11.04	56.68	0.79	10.24	2.39	36.53	27.44	36.01	10.24	1.91	127.89	2.89	5.36	1.13	8.38	64.34	4.7	9.78	6.41	1.41	126.12	2.43	9.13	140.04	10.08	18.84	13.42	15.45	3.72	7.28	6.57	8.51	9.78	123.5	4.43	183.82	144.01	57.49	96.01	346.29	166.73	3018.3	66.18	860.08	525.39	232.94	1662.49	277.2	139.07	130.6	753.83	101.54	244.57	356.05	1397.83	159.9	409.15	86.43	115.97	248.0	112.77	105.15	651.58	406.31	813.63	212.78	1183.45	84.04	507.46
GLIPR2	3060.45	647.07	665.29	1208.34	387.02	403.5	361.04	197.09	89.51	275.28	102.97	246.28	54.72	186.4	97.36	397.93	56.68	38.67	146.03	55.49	71.0	41.52	148.09	218.79	37.85	53.95	53.19	59.55	209.84	26.86	74.06	909.17	87.65	65.26	52.45	90.77	32.82	89.51	57.49	90.77	51.71	307.69	45.21	2758.13	307.69	112.77	3060.45	2061.24	6426.31	30151.71	2384.37	2133.97	2816.11	6164.49	2627.46	775.05	2287.2	3280.18	11345.82	8901.53	2609.3	3901.01	3039.3	2417.67	2976.74	3212.66	6887.62	3395.89	2796.65	1963.57	1844.76	1417.35	11745.96	8778.97	5441.3	387.02	2178.83
GPRC5A	6037.61	67.59	80.01	108.14	170.25	140.04	1.83	3.79	58.3	0.46	0.0	6.01	0.0	5.82	0.45	6.31	2.34	0.0	10.88	0.46	2.32	18.43	4.54	22.26	1.16	1.25	0.43	1.04	16.75	0.39	1.25	19.11	5.73	0.08	6.52	2.94	5.77	1.35	0.91	3.2	2.63	8.32	1.35	6294.04	3794.3	5995.9	10084.54	4512.4	7180.15	12502.12	14867.79	825.0	2384.37	2520.38	26431.04	5831.91	2468.49	12076.21	10368.08	4671.57	23169.48	6935.54	2367.9	17804.06	13968.57	18950.18	4836.35	713.11	31215.04	11584.24	11345.82	4937.99	8022.41	8078.22	30151.71	638.15	7081.29
GRASP	2417.67	373.81	624.99	327.56	134.3	656.11	162.14	133.36	19.25	94.67	63.0	575.03	114.36	142.01	115.16	356.05	78.89	65.26	70.51	76.17	90.77	134.3	105.89	325.29	50.27	26.47	43.02	38.4	273.37	49.56	134.3	220.32	50.98	135.24	107.38	220.32	25.35	91.41	60.82	140.04	67.59	143.01	43.32	819.3	121.79	129.69	890.44	579.04	1044.52	616.37	928.3	420.68	518.15	438.59	2796.65	1487.87	381.68	967.76	555.41	1208.34	551.56	514.56	1857.6	1096.5	967.76	1313.23	500.46	902.89	1340.84	1175.27	974.5	11035.54	1199.98	612.11	995.0	119.26	1143.1
HDAC4	329.84	55.89	59.97	88.26	46.84	59.13	53.19	50.98	28.65	47.5	34.02	126.12	54.72	33.06	49.91	53.57	34.02	59.13	54.72	23.93	37.05	74.58	37.85	94.67	289.02	26.67	201.25	136.19	65.72	32.36	80.01	71.5	43.32	28.24	22.1	23.42	28.86	28.04	25.72	12.45	26.47	67.59	25.54	108.14	82.87	44.89	125.24	72.01	55.1	186.4	85.22	124.37	67.59	256.78	441.64	255.0	61.25	96.01	128.79	64.8	95.34	165.57	173.85	64.8	109.66	55.89	107.38	120.1	92.7	79.45	146.03	148.09	231.32	78.34	463.65	159.9	77.79
HDAC7	660.68	830.75	808.0	1008.9	896.64	753.83	438.59	376.41	334.46	454.09	193.01	595.34	176.29	329.84	361.04	363.56	255.0	151.22	341.51	206.94	497.0	511.0	242.88	674.59	236.21	221.86	287.01	260.38	547.75	293.07	269.6	603.67	108.14	157.68	104.42	285.03	85.22	162.14	147.06	212.78	91.41	759.08	85.82	1594.73	723.08	679.29	1378.57	718.08	941.27	1605.83	1127.35	1388.16	1030.12	1427.22	5041.77	2209.26	921.88	1023.0	1757.34	679.29	909.17	1286.18	1477.58	1191.69	1037.29	915.51	1216.75	1639.59	1023.0	1167.14	3847.29	1519.15	1896.65	1572.76	3901.01	281.09	1259.69
HLA-E	52497.92	13681.08	11745.96	17558.94	10014.87	15824.9	9151.82	12943.04	7280.4	12076.21	4328.55	7749.1	4869.99	8840.04	6983.79	10808.41	4836.35	3901.01	4328.55	5441.3	5479.15	3847.29	14065.74	9606.86	4512.4	3540.14	13306.94	4152.18	11424.74	2520.38	7433.4	14561.8	4239.45	6840.04	3794.3	8479.89	4358.66	7749.1	4937.99	9088.59	3168.41	8134.41	5329.3	20881.4	6792.79	3955.48	25354.3	24153.43	24832.5	37639.55	21768.19	17558.94	9876.98	20451.65	54727.32	28723.62	16960.78	19754.96	20170.07	25005.23	18304.63	17078.76	46986.85	20593.91	11827.67	29531.18	29736.59	32540.65	16157.44	15180.22	74243.68	41475.31	42346.82	24153.43	30572.63	4268.94	22072.07
HSPB3	147.06	0.0	12.55	9.93	0.0	13.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.0	9.48	0.0	0.0	73.54	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	0.88	6.01	0.0	0.0	0.0	0.0	0.0	2.68	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	7.46	1.81	0.0	35.0	40.93	26.1	0.0	36.27	12.74	33.78	84.63	167.9	9.06	4.98	67.12	934.76	28.04	1.3	66.18	435.55	224.97	4.74	45.85	42.11	36.53	12.0	6.26	954.43	120.94	647.07	52.45	57.08	32.82	72.52
INPP5A	981.29	145.02	281.09	314.17	264.03	323.03	234.57	269.6	110.43	220.32	212.78	246.28	563.18	212.78	228.13	301.33	205.5	133.36	237.86	470.14	246.28	314.17	211.31	208.38	414.87	163.28	318.57	279.14	265.87	191.67	248.0	221.86	182.55	239.52	195.72	142.01	159.9	341.51	164.42	204.07	269.6	193.01	161.02	353.59	221.86	151.22	555.41	409.15	373.81	273.37	571.05	483.38	262.2	819.3	808.0	591.22	291.04	358.54	583.07	669.92	229.72	540.19	733.19	575.03	189.02	551.56	603.67	466.88	514.56	441.64	612.11	384.34	555.41	356.05	525.39	271.48	384.34
ITGAL	414.87	444.72	271.48	866.07	248.0	329.84	376.41	587.13	265.87	387.02	285.03	208.38	320.8	325.29	318.57	934.76	94.01	186.4	379.04	332.14	271.48	175.07	460.44	283.05	223.41	64.8	161.02	273.37	366.09	43.32	181.28	703.28	95.34	145.02	305.55	166.73	307.69	361.04	275.28	432.53	466.88	599.49	223.41	438.59	55.49	127.0	1081.39	287.01	934.76	1685.71	490.14	351.14	616.37	1427.22	2855.44	303.44	441.64	713.11	1059.11	961.07	934.76	629.35	1088.92	116.78	599.49	346.29	1551.09	1250.98	603.67	1313.23	769.69	642.59	1844.76	1073.91	1936.53	111.99	420.68
ITGBL1	73.54	14.24	171.45	848.22	164.42	64.8	217.27	392.44	38.12	232.94	3.72	8.65	10.31	133.36	62.56	51.71	32.36	2.43	78.34	3.03	116.78	21.47	130.6	239.52	277.2	19.97	24.81	141.02	514.56	2.51	98.04	514.56	21.16	84.04	35.25	40.36	43.02	117.6	9.13	130.6	50.27	1467.37	85.22	414.87	392.44	521.76	435.55	194.36	214.27	1498.22	389.72	4152.18	2303.12	1977.24	2758.13	599.49	379.04	42.41	1769.57	94.01	167.9	2224.63	2351.53	507.46	708.18	1407.55	1023.0	406.31	251.48	693.58	1208.34	1066.48	1769.57	336.79	486.75	77.25	187.71
ITPKB	435.55	191.67	228.13	403.5	190.34	305.55	76.71	68.55	23.08	54.72	31.9	40.64	40.64	41.22	48.18	121.79	30.56	19.53	47.84	35.0	28.24	16.75	54.72	140.04	36.79	10.88	38.12	19.53	89.51	19.39	43.32	170.25	22.43	27.05	30.34	27.05	33.78	52.08	26.1	50.98	32.59	80.01	42.71	507.46	34.51	127.89	454.09	305.55	293.07	651.58	258.57	228.13	397.93	297.17	612.11	540.19	171.45	185.11	466.88	490.14	265.87	599.49	1286.18	260.38	234.57	265.87	318.57	392.44	454.09	318.57	1331.57	1397.83	1529.73	346.29	1794.29	373.81	269.6
JAM3	599.49	187.71	231.32	426.57	197.09	102.25	131.51	126.12	37.59	95.34	48.18	68.55	56.28	97.36	64.8	79.45	55.49	34.51	93.35	46.5	58.71	61.25	74.58	166.73	64.34	24.63	55.49	40.64	212.78	28.04	48.87	204.07	23.76	41.52	32.13	34.75	30.34	43.02	18.97	37.05	39.22	163.28	30.78	289.02	65.72	140.04	438.59	220.32	356.05	253.23	412.0	723.08	368.65	688.78	884.29	629.35	341.51	211.31	842.36	518.15	208.38	511.0	1388.16	201.25	121.79	429.54	497.0	1096.5	187.71	209.84	3874.05	518.15	1561.89	728.11	1407.55	97.36	325.29
JOSD1	2664.15	450.94	540.19	543.96	348.71	514.56	423.61	297.17	529.06	412.0	316.37	381.68	361.04	253.23	339.14	473.41	323.03	463.65	1030.12	341.51	229.72	435.55	318.57	392.44	500.46	269.6	348.71	543.96	381.68	412.0	426.57	480.04	447.82	551.56	172.65	325.29	316.37	381.68	305.55	339.14	351.14	587.13	295.11	791.35	665.29	450.94	819.3	769.69	1111.82	1104.13	738.29	947.83	688.78	1242.34	1001.93	896.64	497.0	507.46	796.86	854.13	1051.79	1519.15	1457.23	1119.56	497.0	780.44	1175.27	708.18	616.37	902.89	1286.18	830.75	1030.12	1378.57	1745.2	1388.16	836.53
KCTD10	860.08	525.39	830.75	743.43	555.41	547.75	293.07	253.23	273.37	215.77	193.01	239.52	150.17	205.5	185.11	500.46	218.79	189.02	181.28	215.77	253.23	260.38	199.85	395.18	323.03	183.82	283.05	262.2	329.84	153.34	180.02	387.02	139.07	197.09	68.55	157.68	76.71	112.77	142.01	120.1	88.88	258.57	129.69	753.83	441.64	540.19	974.5	665.29	836.53	866.07	1378.57	1806.78	1359.57	1151.06	954.43	743.43	674.59	1119.56	1322.37	921.88	928.3	1159.07	2224.63	1008.9	688.78	866.07	872.1	967.76	1051.79	780.44	2018.8	603.67	1388.16	1191.69	1233.75	332.14	1073.91
LAMA4	638.15	423.61	237.86	848.22	96.01	91.41	221.86	239.52	217.27	185.11	112.77	277.2	87.65	186.4	116.78	226.54	96.01	96.01	260.38	84.63	108.9	65.72	191.67	316.37	108.9	84.04	104.42	91.41	353.59	132.44	115.97	403.5	27.25	27.64	75.64	67.59	51.35	43.94	33.54	137.14	65.72	154.42	111.99	769.69	171.45	279.14	791.35	466.88	346.29	1304.15	571.05	1008.9	909.17	1313.23	4066.71	660.68	988.12	860.08	1277.29	381.68	1143.1	2133.97	1991.0	866.07	693.58	780.44	1857.6	1378.57	529.06	301.33	8840.04	420.68	1519.15	1883.54	2591.27	293.07	928.3
