	GTEX.SE5C.1026.SM.4BRUG	TCGA.K4.A4AC.01A.21R.A26T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6310.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	TCGA.AA.3489.11A.01R.1839.07	GTEX.ZPIC.2626.SM.57WE2	GTEX.1399R.2126.SM.5K7WZ	GTEX.131XE.1026.SM.5EGKE	GTEX.ZPCL.1626.SM.57WGC	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13NYB.1326.SM.5K7Y1	GTEX.145MF.1526.SM.5LU95	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZAK1.1826.SM.5HL93	GTEX.13VXU.1126.SM.5LU3U	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.RNOR.1326.SM.48FDE	GTEX.146FQ.1126.SM.5NQBM	GTEX.RTLS.1226.SM.46MUP	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13OW6.1426.SM.5L3EU	GTEX.YECK.1726.SM.5IFI3	GTEX.13OW8.2226.SM.5K7Z4	GTEX.WZTO.1526.SM.4PQYQ	GTEX.RWSA.1326.SM.47JX9	GTEX.ZA64.0526.SM.5HL9I	TCGA.CV.7425.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.11EQ9.1726.SM.5HL6U	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.A453.01A.11R.A24K.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.R55D.1526.SM.48FEJ
GADL1	0.0	0.87	5.59	0.43	1.75	1.87	0.0	1.23	2.1	0.43	0.39	0.0	0.0	0.0	0.0	301.33	1551.09	2777.33	1977.24	0.0	69.03	25.35	31.0	18.29	102.97	26.28	23.08	25.72	22.59	27.25	20.11	19.25	37.59	34.02	24.63	24.11	37.59	11.91	0.69	0.0	20.86	18.43	19.53	4.13	18.03	0.0	3.86	0.4	0.0	0.44	0.0	0.88	0.0	84.63	0.0	0.55
GFRA2	83.45	8.38	132.44	122.64	74.06	8.85	115.97	108.14	129.69	90.77	58.71	45.53	91.41	42.71	51.35	170.25	167.9	277.2	195.72	271.48	115.97	312.0	258.57	255.0	171.45	283.05	185.11	72.01	363.56	113.56	353.59	444.72	255.0	87.03	279.14	122.64	162.14	166.73	5.87	0.0	41.52	10.47	9.13	20.71	43.32	96.68	45.53	77.25	101.54	161.02	150.17	65.72	307.69	325.29	113.56	76.17
GPR173	29.48	3.29	12.83	11.82	12.83	13.03	53.57	59.13	87.03	39.79	34.75	31.0	27.05	26.86	16.88	65.26	75.11	138.1	83.45	96.68	104.42	85.22	102.97	115.16	100.83	122.64	57.89	87.03	118.43	47.5	136.19	123.5	140.04	164.42	105.15	111.21	88.26	76.71	1.71	0.0	35.5	17.0	35.5	32.59	11.47	32.13	18.43	38.67	37.32	67.59	57.08	45.85	40.64	44.25	33.54	47.5
GPR21	0.77	1.46	2.2	3.47	2.66	1.33	9.48	9.41	8.71	3.44	4.98	0.0	2.1	1.69	0.84	8.13	16.51	21.63	6.21	6.46	39.5	16.75	4.66	6.57	12.27	18.7	4.13	13.93	11.38	7.11	2.68	6.73	22.59	7.11	3.89	23.59	5.77	3.82	1.46	0.0	4.31	0.97	0.28	2.81	2.29	0.44	1.58	6.11	7.94	1.0	2.86	6.21	3.76	31.45	2.32	0.0
GRASP	143.01	94.67	187.71	327.56	186.4	98.04	195.72	381.68	371.22	486.75	108.14	226.54	90.14	147.06	98.04	525.39	1015.93	909.17	1081.39	1096.5	2133.97	848.22	2835.7	2075.59	2367.9	2119.22	1388.16	1447.15	1923.14	713.11	1697.45	1685.71	1870.53	1259.69	1259.69	1977.24	1044.52	575.03	69.03	0.0	395.18	218.79	98.73	135.24	183.82	181.28	112.77	295.11	376.41	285.03	684.02	733.19	551.56	575.03	301.33	389.72
HES4	155.5	237.86	149.12	48.18	159.9	78.89	271.48	131.51	429.54	157.68	183.82	115.97	170.25	143.01	135.24	1561.89	1498.22	547.75	1001.93	493.56	1950.0	872.1	1322.37	921.88	718.08	651.58	1369.04	1051.79	1159.07	540.19	921.88	813.63	1322.37	1529.73	379.04	603.67	842.36	438.59	81.14	0.0	305.55	93.35	96.68	329.84	248.0	164.42	115.97	139.07	258.57	126.12	325.29	1088.92	406.31	470.14	420.68	718.08
HES7	1.31	4.66	0.89	3.03	0.89	0.0	0.0	2.58	1.97	0.0	2.48	1.75	2.2	6.16	1.79	42.71	15.0	4.06	5.68	12.27	21.47	6.01	8.13	20.86	9.78	27.05	6.89	24.63	32.36	2.58	18.56	12.36	27.25	26.28	15.45	9.56	17.13	4.5	1.2	0.0	5.32	2.03	1.77	0.21	0.0	0.28	0.0	3.32	0.0	0.0	2.58	6.52	2.1	13.03	0.54	7.88
HEY1	24.81	35.76	68.07	80.57	50.98	52.45	128.79	193.01	237.86	178.77	96.01	122.64	112.77	117.6	90.14	244.57	547.75	208.38	99.43	116.78	656.11	109.66	381.68	363.56	271.48	514.56	108.9	486.75	281.09	132.44	1059.11	307.69	275.28	170.25	591.22	599.49	158.79	125.24	37.85	0.0	189.02	102.97	155.5	108.14	106.63	93.35	48.18	127.89	141.02	218.79	102.97	165.57	101.54	157.68	61.25	96.01
HGSNAT	395.18	256.78	802.41	612.11	642.59	551.56	947.83	738.29	1073.91	753.83	486.75	616.37	521.76	346.29	438.59	878.17	961.07	1304.15	1008.9	1175.27	995.0	1594.73	1397.83	1447.15	1350.18	1437.15	688.78	759.08	1437.15	941.27	1359.57	1529.73	1561.89	1697.45	1304.15	1605.83	1359.57	1135.2	220.32	0.0	563.18	473.41	660.68	915.51	525.39	688.78	698.41	571.05	679.29	967.76	866.07	854.13	1001.93	947.83	974.5	1167.14
HSPA12B	41.52	16.39	215.77	148.09	217.27	40.93	194.36	141.02	220.32	124.37	71.0	57.49	94.01	49.56	53.19	483.38	595.34	587.13	358.54	202.66	218.79	351.14	283.05	753.83	379.04	555.41	217.27	215.77	457.25	218.79	258.57	563.18	273.37	397.93	237.86	346.29	273.37	186.4	22.1	0.0	137.14	23.59	41.22	44.25	56.28	57.49	55.89	105.89	143.01	176.29	145.02	224.97	134.3	307.69	112.77	167.9
IL16	74.58	88.26	177.53	289.02	242.88	12.83	183.82	264.03	131.51	363.56	202.66	165.57	127.0	36.27	78.34	194.36	249.73	486.75	229.72	258.57	543.96	642.59	785.88	1111.82	559.28	1407.55	256.78	423.61	480.04	199.85	540.19	620.67	547.75	507.46	603.67	373.81	480.04	327.56	244.57	0.0	189.02	136.19	84.63	161.02	54.72	59.13	85.82	236.21	463.65	267.73	295.11	145.02	131.51	279.14	420.68	713.11
INPP4B	27.44	41.22	61.68	77.25	59.97	63.89	74.58	115.16	100.13	95.34	97.36	74.58	103.69	17.13	41.81	82.87	165.57	232.94	96.68	156.59	309.83	343.89	366.09	175.07	159.9	221.86	100.13	93.35	115.16	55.1	112.77	100.83	279.14	94.01	169.07	150.17	105.15	60.39	37.05	0.0	40.64	35.76	93.35	45.21	18.03	36.79	43.94	88.26	84.04	117.6	75.11	195.72	154.42	297.17	470.14	194.36
KIAA1328	43.63	67.59	91.41	113.56	105.89	68.07	71.0	100.83	120.1	81.71	86.43	73.03	74.06	56.28	40.93	81.71	134.3	146.03	155.5	148.09	215.77	191.67	191.67	212.78	223.41	191.67	125.24	177.53	205.5	108.14	154.42	162.14	187.71	214.27	190.34	208.38	161.02	130.6	39.22	0.0	102.97	95.34	94.01	82.29	61.25	48.87	100.13	108.9	73.54	99.43	85.22	107.38	105.15	136.19	81.71	106.63
KIAA1683	8.65	0.61	29.91	21.78	37.05	13.72	57.49	35.76	49.56	81.14	13.12	25.72	28.86	30.12	21.16	11.38	11.47	40.36	25.54	60.39	16.15	120.94	132.44	218.79	72.01	229.72	86.43	45.85	149.12	29.27	107.38	267.73	106.63	323.03	146.03	162.14	46.18	56.28	1.79	0.0	32.36	26.28	4.17	62.12	16.51	12.74	9.85	35.0	45.85	40.07	87.03	50.63	71.0	42.71	25.72	57.08
KLHL3	11.73	2.39	21.16	38.12	20.86	31.67	48.52	40.07	51.35	43.94	32.59	17.77	25.72	26.28	10.88	42.41	50.27	96.68	45.85	80.01	143.01	105.89	193.01	244.57	202.66	215.77	43.94	125.24	237.86	54.72	162.14	153.34	211.31	275.28	211.31	320.8	98.04	94.01	6.78	17.77	37.05	20.71	18.7	29.06	17.51	25.17	11.91	31.0	32.59	64.34	39.5	31.22	43.63	57.08	17.38	25.35
LGI4	115.97	9.78	182.55	444.72	197.09	275.28	1104.13	1119.56	1794.29	1183.45	1073.91	703.28	444.72	336.79	466.88	2319.15	6471.02	2915.45	6207.38	1721.16	2032.85	1733.13	1819.35	2287.2	1540.37	1991.0	1378.57	1508.65	3540.14	934.76	4736.79	2104.58	2485.67	1963.57	2004.85	1745.2	1437.15	2664.15	13.72	0.0	423.61	480.04	447.82	348.71	275.28	547.75	164.42	921.88	743.43	1487.87	1259.69	1447.15	1044.52	854.13	423.61	587.13
LRRC4B	44.89	1.5	109.66	14.03	269.6	11.21	53.57	48.18	87.65	62.12	36.79	13.32	71.5	25.35	28.45	53.57	87.03	180.02	279.14	94.67	379.04	155.5	167.9	140.04	182.55	187.71	100.83	187.71	195.72	145.02	187.71	269.6	149.12	199.85	90.77	103.69	75.64	72.52	5.54	0.0	32.13	22.1	53.19	6.62	7.22	10.39	25.17	29.7	63.45	84.63	79.45	94.67	77.79	262.2	25.35	27.44
LTC4S	46.5	59.97	162.14	129.69	267.73	19.97	153.34	137.14	127.0	117.6	66.65	50.98	94.67	44.89	66.18	205.5	215.77	287.01	157.68	146.03	371.22	429.54	265.87	1685.71	301.33	595.34	368.65	191.67	476.71	283.05	211.31	412.0	409.15	463.65	248.0	351.14	281.09	145.02	41.52	0.0	287.01	150.17	77.79	164.42	62.12	113.56	63.45	104.42	133.36	129.69	124.37	397.93	183.82	237.86	295.11	327.56
MSH4	2.66	0.0	1.77	2.16	3.08	1.46	4.62	5.82	1.71	3.76	0.0	5.23	0.59	6.31	0.37	1.06	1.11	4.03	13.62	2.56	6.26	8.51	13.72	7.75	4.58	7.11	7.0	6.16	11.55	1.43	8.06	11.55	7.69	3.96	6.26	3.56	2.63	3.32	0.0	0.0	0.77	1.22	1.04	1.2	1.08	0.65	0.19	0.0	2.25	2.29	4.39	1.04	1.62	2.76	2.25	1.31
MYL9	320506.81	2895.31	475800.4	485798.0	437825.58	288856.81	434801.29	456418.21	1800541.22	296977.71	334117.42	114897.47	165904.25	118949.35	131982.68	636586.81	1070607.81	716197.51	1916442.45	610654.84	152662.96	128373.58	110216.97	43840.21	148488.36	74243.68	329517.51	251464.33	184082.4	318292.9	148488.36	126606.21	167058.21	150561.19	121448.75	139508.13	209994.66	273275.14	420.68	0.0	280957.98	355624.68	363097.14	462789.59	309589.14	271387.49	299043.36	375901.76	234624.45	527933.71	327241.36	324980.94	485798.0	309589.14	378516.38	368165.8
NAALAD2	8.85	4.98	24.63	26.86	23.76	13.52	16.15	30.34	43.63	22.26	53.57	19.97	24.81	19.68	14.89	48.52	46.5	152.28	61.25	68.55	146.03	149.12	183.82	303.44	220.32	246.28	43.32	130.6	134.3	35.5	102.97	307.69	135.24	127.89	195.72	150.17	104.42	35.0	3.92	0.0	29.48	37.32	31.0	36.79	11.04	15.91	10.63	60.39	34.02	90.14	34.51	51.71	46.5	43.32	28.45	57.49
NCKAP5L	87.03	139.07	195.72	181.28	187.71	161.02	236.21	166.73	503.95	146.03	129.69	120.94	163.28	142.01	145.02	429.54	312.0	521.76	384.34	334.46	366.09	563.18	525.39	684.02	521.76	733.19	457.25	376.41	599.49	271.48	567.1	540.19	525.39	607.87	493.56	860.08	525.39	271.48	65.72	0.0	198.47	96.01	115.16	139.07	151.22	127.0	93.35	114.36	191.67	239.52	197.09	376.41	287.01	329.84	183.82	301.33
NGFR	202.66	21.01	123.5	142.01	115.16	94.67	218.79	281.09	379.04	185.11	264.03	183.82	178.77	87.65	178.77	159.9	275.28	438.59	450.94	309.83	1745.2	379.04	301.33	567.1	447.82	412.0	638.15	633.73	423.61	334.46	497.0	256.78	2032.85	665.29	173.85	633.73	397.93	759.08	91.41	0.0	118.43	32.82	21.47	40.64	226.54	332.14	93.35	112.77	209.84	314.17	312.0	819.3	309.83	312.0	226.54	1059.11
NOTCH4	90.14	59.55	212.78	163.28	118.43	206.94	231.32	223.41	234.57	167.9	156.59	102.25	116.78	111.99	89.51	463.65	470.14	909.17	366.09	563.18	507.46	432.53	1437.15	961.07	595.34	651.58	400.71	483.38	860.08	201.25	981.29	620.67	830.75	703.28	1104.13	638.15	463.65	392.44	47.5	82.29	191.67	120.1	94.01	92.05	149.12	130.6	60.82	149.12	175.07	231.32	183.82	341.51	249.73	323.03	176.29	224.97
NPHP3	95.34	118.43	140.04	232.94	185.11	205.5	253.23	167.9	262.2	231.32	177.53	215.77	152.28	154.42	105.15	341.51	476.71	633.73	447.82	500.46	603.67	674.59	703.28	743.43	638.15	928.3	249.73	447.82	503.95	329.84	536.45	743.43	954.43	665.29	723.08	660.68	529.06	392.44	48.87	0.0	229.72	167.9	228.13	249.73	119.26	146.03	180.02	253.23	121.79	267.73	265.87	220.32	275.28	260.38	190.34	229.72
NPR1	255.0	13.22	295.11	567.1	441.64	144.01	420.68	368.65	406.31	447.82	98.04	128.79	91.41	71.5	151.22	642.59	981.29	1896.65	909.17	947.83	486.75	988.12	723.08	1030.12	713.11	669.92	486.75	325.29	642.59	567.1	551.56	748.61	693.58	703.28	532.74	387.02	575.03	417.77	32.59	0.0	111.99	38.4	62.12	60.82	101.54	59.13	137.14	163.28	221.86	281.09	343.89	309.83	909.17	842.36	265.87	212.78
PARP15	8.06	7.06	6.21	10.47	5.36	9.48	18.56	23.42	30.34	44.25	21.94	22.75	8.45	12.09	10.31	18.56	30.12	45.53	15.91	38.12	71.0	41.22	89.51	98.04	57.49	121.79	14.45	44.57	67.59	16.51	58.71	42.41	78.34	80.01	80.01	71.5	45.21	64.34	12.64	0.0	13.42	3.82	3.35	12.55	1.87	3.99	3.35	24.11	33.54	30.34	37.05	54.33	10.24	18.56	7.75	31.0
PEAR1	20.26	21.63	62.56	88.88	54.33	34.26	139.07	153.34	190.34	118.43	73.54	42.71	77.79	51.35	31.45	299.25	307.69	521.76	198.47	291.04	525.39	316.37	511.0	651.58	444.72	583.07	171.45	273.37	454.09	164.42	376.41	476.71	529.06	476.71	497.0	529.06	251.48	224.97	19.53	0.0	103.69	58.71	36.27	33.54	19.68	55.49	33.78	83.45	108.14	215.77	132.44	181.28	110.43	218.79	141.02	124.37
PHLDB1	607.87	320.8	1135.2	1081.39	1437.15	647.07	1583.71	1359.57	2075.59	1407.55	872.1	1175.27	866.07	775.05	825.0	2319.15	2485.67	3372.43	2240.11	3039.3	2287.2	2976.74	2835.7	3716.2	2537.92	4181.07	2018.8	2335.28	3690.52	1896.65	3103.19	3564.78	3349.13	3039.3	2682.69	2627.46	2720.15	2193.99	198.47	371.22	1104.13	426.57	291.04	753.83	587.13	718.08	583.07	1250.98	1407.55	1721.16	1674.06	2400.97	1487.87	1540.37	1561.89	1250.98
PLXDC1	39.5	56.68	202.66	105.89	148.09	100.83	348.71	323.03	507.46	231.32	182.55	69.52	231.32	165.57	71.0	1819.35	1233.75	1745.2	825.0	563.18	1111.82	1639.59	1397.83	2018.8	1572.76	2816.11	575.03	1066.48	1111.82	432.53	1143.1	2032.85	1350.18	1350.18	1447.15	1191.69	748.61	334.46	80.57	0.0	231.32	157.68	329.84	100.83	70.51	95.34	50.63	293.07	185.11	476.71	486.75	358.54	332.14	842.36	161.02	149.12
PODN	1350.18	48.52	2956.17	4095.0	3639.7	808.0	1685.71	1628.26	2555.58	1437.15	808.0	2163.77	830.75	571.05	679.29	1457.23	2061.24	6652.97	2335.28	3515.68	3564.78	4972.34	4903.87	10154.69	3982.99	8840.04	1697.45	2303.12	3081.75	2133.97	2997.45	7589.61	5147.73	4671.57	3491.39	4298.64	2796.65	2468.49	31.45	273.37	1519.15	1407.55	1407.55	1295.13	909.17	417.77	1191.69	1233.75	1268.46	2351.53	1540.37	4419.52	5995.9	3690.52	3847.29	2997.45
PREX2	7.51	4.39	48.87	62.56	33.54	12.45	70.01	50.98	71.0	57.08	32.36	22.75	19.39	25.91	17.13	55.49	145.02	190.34	80.01	147.06	236.21	140.04	297.17	400.71	199.85	198.47	75.64	197.09	237.86	51.35	198.47	301.33	279.14	142.01	199.85	325.29	121.79	60.39	5.11	0.0	61.25	46.5	47.84	46.5	41.81	20.86	73.54	63.89	34.51	145.02	69.03	59.97	65.72	81.71	55.89	94.01
PTPRB	22.26	9.41	106.63	197.09	117.6	116.78	332.14	256.78	236.21	190.34	108.9	71.0	101.54	73.54	66.18	205.5	318.57	435.55	140.04	244.57	301.33	314.17	521.76	450.94	249.73	371.22	120.1	265.87	518.15	111.21	432.53	403.5	480.04	332.14	368.65	476.71	199.85	320.8	18.16	0.0	142.01	105.89	166.73	62.12	50.98	226.54	66.65	187.71	189.02	277.2	224.97	142.01	143.01	202.66	102.97	164.42
RADIL	8.78	0.61	84.04	125.24	68.55	22.92	105.89	127.89	122.64	54.33	64.34	28.45	60.82	31.0	67.59	78.89	155.5	218.79	212.78	139.07	189.02	285.03	316.37	387.02	189.02	239.52	157.68	143.01	242.88	155.5	248.0	258.57	264.03	220.32	343.89	202.66	197.09	90.77	4.82	0.0	41.52	66.18	40.64	32.13	18.84	37.59	12.09	87.03	101.54	94.67	78.89	162.14	127.89	172.65	40.64	120.1
RAMP2	185.11	144.01	759.08	1216.75	842.36	679.29	1135.2	1313.23	1295.13	1059.11	587.13	361.04	536.45	256.78	414.87	3018.3	2591.27	2573.36	1151.06	1313.23	2133.97	2287.2	2319.15	4010.71	1745.2	2287.2	1909.85	1721.16	1639.59	1572.76	1832.01	2224.63	2133.97	1781.89	1350.18	3081.75	1561.89	981.29	275.28	0.0	1259.69	555.41	703.28	579.04	426.57	595.34	423.61	928.3	884.29	1008.9	753.83	3928.15	1378.57	2178.83	1350.18	1832.01
RAPGEF3	43.32	256.78	128.79	320.8	126.12	101.54	258.57	341.51	303.44	214.27	153.34	128.79	202.66	234.57	115.16	547.75	599.49	1259.69	511.0	848.22	1088.92	1487.87	1721.16	3540.14	1769.57	2351.53	638.15	1051.79	1674.06	450.94	1685.71	1883.54	2351.53	1794.29	2400.97	2271.4	674.59	866.07	96.01	0.0	285.03	171.45	389.72	141.02	144.01	161.02	163.28	215.77	269.6	376.41	281.09	299.25	285.03	679.29	454.09	412.0
RAPGEF5	21.78	77.25	120.94	120.94	86.43	199.85	169.07	185.11	132.44	171.45	115.97	70.51	105.89	57.89	66.65	297.17	638.15	473.41	144.01	212.78	599.49	191.67	808.0	223.41	277.2	232.94	126.12	409.15	289.02	82.29	384.34	229.72	325.29	195.72	483.38	279.14	309.83	181.28	47.5	0.0	106.63	75.11	60.82	63.89	52.82	84.04	44.57	175.07	229.72	226.54	253.23	108.14	133.36	138.1	81.71	133.36
RASAL2	43.02	39.79	141.02	167.9	152.28	58.71	133.36	95.34	108.14	75.64	62.56	92.05	56.28	70.51	42.11	186.4	287.01	285.03	157.68	165.57	137.14	217.27	202.66	194.36	156.59	178.77	59.97	111.99	157.68	97.36	170.25	166.73	389.72	209.84	190.34	180.02	126.12	142.01	88.88	0.0	94.01	63.0	92.05	155.5	186.4	98.73	93.35	97.36	92.7	156.59	127.89	148.09	66.65	152.28	111.99	180.02
RBM25	426.57	599.49	616.37	529.06	651.58	813.63	1127.35	723.08	1044.52	775.05	780.44	1111.82	450.94	647.07	460.44	813.63	1331.57	1467.37	1397.83	1617.0	1277.29	1551.09	1819.35	1870.53	1909.85	1757.34	896.64	921.88	1594.73	819.3	1697.45	1674.06	1857.6	1896.65	1733.13	1605.83	1757.34	2047.0	507.46	0.0	620.67	567.1	607.87	764.36	454.09	507.46	796.86	718.08	748.61	1066.48	854.13	1617.0	884.29	813.63	1551.09	1044.52
RBMS2	65.26	108.9	249.73	279.14	231.32	193.01	249.73	229.72	332.14	195.72	206.94	218.79	217.27	218.79	94.01	493.56	476.71	493.56	403.5	361.04	417.77	395.18	551.56	384.34	366.09	341.51	163.28	356.05	406.31	341.51	412.0	389.72	457.25	267.73	417.77	379.04	265.87	295.11	105.89	0.0	202.66	170.25	215.77	149.12	223.41	111.99	123.5	223.41	236.21	305.55	265.87	318.57	255.0	368.65	249.73	368.65
RBMS3	119.26	38.12	202.66	291.04	206.94	100.13	189.02	173.85	260.38	193.01	108.9	97.36	92.05	52.82	56.28	228.13	356.05	473.41	307.69	249.73	587.13	332.14	426.57	454.09	368.65	356.05	187.71	346.29	400.71	175.07	351.14	281.09	575.03	316.37	318.57	511.0	226.54	171.45	11.82	15.22	177.53	303.44	161.02	111.21	150.17	114.36	202.66	161.02	125.24	312.0	177.53	329.84	193.01	158.79	151.22	162.14
ROBO4	32.36	40.07	204.07	241.19	144.01	72.52	186.4	265.87	332.14	211.31	115.16	55.49	76.71	117.6	65.26	384.34	713.11	698.41	438.59	397.93	387.02	389.72	616.37	988.12	473.41	454.09	283.05	301.33	743.43	426.57	693.58	555.41	607.87	665.29	426.57	624.99	423.61	325.29	193.01	0.0	232.94	78.89	35.25	90.77	55.1	141.02	113.56	107.38	171.45	253.23	209.84	392.44	194.36	361.04	195.72	224.97
RP11-383H13.1	10.16	12.93	64.8	120.94	161.02	9.06	35.5	55.1	40.64	20.11	32.36	9.41	44.57	17.38	10.88	102.25	72.52	197.09	73.54	132.44	277.2	239.52	90.77	223.41	172.65	271.48	49.21	244.57	122.64	121.79	156.59	224.97	183.82	171.45	143.01	115.97	77.25	62.56	15.22	0.0	101.54	74.58	81.71	43.32	28.86	18.7	52.08	39.22	40.64	55.1	37.05	101.54	119.26	181.28	13.32	27.84
S100PBP	133.36	194.36	283.05	312.0	226.54	223.41	255.0	305.55	339.14	255.0	248.0	215.77	218.79	232.94	121.79	438.59	518.15	497.0	285.03	371.22	490.14	387.02	503.95	490.14	529.06	536.45	277.2	450.94	583.07	242.88	567.1	532.74	587.13	579.04	540.19	620.67	497.0	379.04	105.15	0.0	307.69	166.73	231.32	191.67	156.59	165.57	193.01	285.03	214.27	339.14	220.32	309.83	273.37	323.03	242.88	346.29
SCARF1	32.82	37.05	70.01	88.88	58.71	34.51	105.89	131.51	110.43	115.97	108.14	35.5	53.19	57.89	43.02	223.41	267.73	299.25	176.29	218.79	289.02	178.77	384.34	373.81	236.21	325.29	224.97	260.38	336.79	137.14	289.02	248.0	312.0	253.23	281.09	457.25	136.19	127.89	52.08	0.0	164.42	41.81	26.67	53.19	45.21	58.71	35.0	90.14	105.15	136.19	127.89	189.02	77.25	131.51	52.08	84.63
SEC14L1	234.57	267.73	497.0	603.67	351.14	403.5	571.05	651.58	463.65	470.14	444.72	248.0	392.44	316.37	273.37	500.46	988.12	941.27	629.35	967.76	1769.57	463.65	1963.57	1242.34	981.29	884.29	693.58	1467.37	1295.13	591.22	2240.11	872.1	1199.98	848.22	1322.37	1896.65	1295.13	759.08	323.03	0.0	426.57	351.14	599.49	269.6	336.79	651.58	420.68	441.64	651.58	587.13	693.58	551.56	660.68	728.11	426.57	616.37
SGSM2	547.75	540.19	693.58	825.0	872.1	603.67	1151.06	796.86	1268.46	981.29	647.07	583.07	733.19	878.17	616.37	1135.2	1023.0	1685.71	1617.0	1844.76	1259.69	2400.97	2591.27	2537.92	2133.97	2240.11	2351.53	1950.0	2796.65	1199.98	2627.46	2485.67	2351.53	3060.45	2061.24	2956.17	2367.9	1508.65	511.0	0.0	1073.91	575.03	848.22	669.92	651.58	620.67	500.46	748.61	764.36	1001.93	941.27	1259.69	1369.04	1467.37	1159.07	974.5
SLC1A7	46.5	1.2	44.89	126.12	74.58	34.75	37.59	64.34	58.71	50.98	18.29	95.34	37.32	40.93	104.42	53.19	95.34	258.57	156.59	144.01	480.04	476.71	454.09	1457.23	555.41	1159.07	334.46	698.41	116.78	88.88	206.94	381.68	341.51	543.96	599.49	224.97	214.27	100.83	1.19	0.0	26.86	22.26	36.79	26.47	19.53	7.57	22.43	38.12	36.27	47.84	37.05	52.08	234.57	209.84	185.11	190.34
SLC5A4	0.32	0.0	1.33	4.74	0.0	0.0	4.94	0.0	1.31	2.84	0.0	1.87	1.62	0.51	0.51	6.16	15.91	17.64	0.95	8.85	29.27	5.5	13.32	21.01	13.93	2.43	1.75	31.22	17.51	1.51	4.31	9.93	10.31	21.47	10.08	23.93	3.99	2.81	0.0	0.0	3.11	0.14	0.96	5.68	4.06	0.0	0.66	2.07	5.32	2.86	3.38	9.06	2.84	4.03	7.94	7.22
SRGAP1	23.93	37.32	38.95	50.98	62.56	44.89	75.11	54.72	56.68	76.71	26.86	45.53	61.68	19.25	28.65	90.14	102.25	108.14	63.45	96.68	78.89	142.01	148.09	156.59	132.44	152.28	51.71	64.8	111.99	76.71	108.14	111.99	133.36	116.78	131.51	139.07	145.02	109.66	18.84	86.43	33.06	47.17	26.47	23.25	34.02	20.86	21.63	51.35	81.71	90.77	83.45	105.89	71.0	50.27	172.65	158.79
STX1B	12.64	16.15	8.78	7.82	7.94	32.13	56.68	42.71	82.87	41.52	26.67	61.68	23.25	24.28	11.13	21.63	33.3	66.18	81.14	66.65	72.52	38.95	64.34	33.06	38.95	63.89	48.18	87.65	52.45	47.5	50.98	85.22	78.34	91.41	43.63	80.57	55.1	72.52	21.16	27.64	22.43	18.7	6.36	29.27	12.74	10.55	11.47	22.92	27.84	55.89	66.65	36.79	39.5	17.9	33.78	27.84
TCTEX1D4	3.14	0.0	5.28	5.19	4.39	5.68	6.62	3.17	2.68	2.25	2.51	2.36	1.53	2.46	0.0	11.47	10.39	17.0	16.27	28.45	43.94	9.78	51.35	27.44	21.47	14.35	46.5	20.41	54.72	21.63	52.82	36.79	22.59	53.95	11.3	16.15	33.78	7.06	0.66	0.0	3.35	8.58	5.41	10.88	2.86	3.32	1.64	1.16	12.09	2.25	4.7	19.97	5.45	20.56	5.36	11.3
TM6SF1	111.99	39.22	171.45	180.02	147.06	73.03	129.69	171.45	129.69	149.12	130.6	98.04	130.6	78.34	148.09	121.79	220.32	283.05	237.86	159.9	205.5	163.28	183.82	251.48	163.28	285.03	106.63	145.02	217.27	127.0	246.28	187.71	197.09	145.02	267.73	182.55	169.07	140.04	58.3	0.0	195.72	74.06	132.44	115.16	90.77	91.41	127.0	244.57	97.36	231.32	115.16	209.84	156.59	142.01	169.07	293.07
