	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.UPIC.0926.SM.4IHLV	TCGA.49.6744.11A.01R.1858.07	TCGA.44.6146.11A.01R.1858.07	GTEX.139TT.0726.SM.5K7XW	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.13FTZ.0526.SM.5IJCW	GTEX.TMMY.0926.SM.4TT1Z	GTEX.PVOW.1026.SM.2XCF9	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.131XW.1126.SM.5EGK4	GTEX.131YS.0926.SM.5IJB9	GTEX.OXRO.0326.SM.33HBM	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.13O3Q.0526.SM.5KM18	GTEX.OIZI.1026.SM.3NB1K	GTEX.UJHI.0726.SM.3DB92	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.QMRM.0826.SM.3NB33	TCGA.22.5472.11A.11R.1635.07	TCGA.22.4609.11A.01R.2125.07	TCGA.77.7142.11A.01R.2045.07
INPP4B	12.83	5.82	4.1	2.61	190.34	89.51	441.64	107.38	19.97	43.94	69.03	223.41	379.04	20.86	156.59	87.03	107.38	21.94	21.16	19.25	287.01	197.09	27.84	15.68	89.51	201.25	185.11	120.94	84.04	30.34	62.12	64.8	49.91	52.08	105.15	336.79	73.03	60.82	68.07	26.47	11.47	236.21	27.64	36.79	81.14	22.1	41.22	32.82	122.64	156.59	143.01	84.63
IRF2	426.57	253.23	389.72	353.59	830.75	928.3	1369.04	551.56	583.07	466.88	775.05	995.0	1183.45	525.39	1183.45	703.28	860.08	669.92	540.19	748.61	1096.5	1909.85	753.83	563.18	808.0	1583.71	1127.35	1167.14	571.05	579.04	728.11	660.68	1104.13	775.05	1322.37	1369.04	591.22	395.18	559.28	575.03	848.22	2209.26	447.82	713.11	575.03	718.08	718.08	497.0	866.07	890.44	791.35	878.17
KBTBD2	239.52	158.79	152.28	299.25	651.58	624.99	1259.69	616.37	525.39	420.68	723.08	698.41	1175.27	842.36	1721.16	587.13	780.44	435.55	511.0	497.0	860.08	1639.59	583.07	376.41	1143.1	813.63	830.75	1030.12	591.22	412.0	708.18	490.14	575.03	532.74	547.75	947.83	579.04	547.75	536.45	514.56	351.14	1857.6	426.57	329.84	514.56	400.71	688.78	785.88	1242.34	575.03	988.12	780.44
KIF5B	127.89	329.84	98.04	218.79	1769.57	1437.15	2573.36	1008.9	1143.1	854.13	1447.15	2193.99	1896.65	988.12	2400.97	1081.39	1378.57	934.76	1001.93	941.27	1674.06	1781.89	718.08	728.11	1936.53	1378.57	2255.7	2287.2	1008.9	1167.14	1529.73	961.07	1044.52	825.0	1651.0	1529.73	915.51	808.0	1397.83	872.1	1066.48	2133.97	759.08	1081.39	1015.93	629.35	947.83	1304.15	1781.89	1477.58	1487.87	1572.76
LAMA4	91.41	96.01	21.32	42.41	1508.65	1745.2	4010.71	571.05	529.06	603.67	629.35	928.3	3081.75	293.07	1963.57	329.84	587.13	543.96	297.17	591.22	4181.07	3665.02	381.68	780.44	708.18	2271.4	2701.35	1242.34	559.28	775.05	1259.69	536.45	718.08	1733.13	896.64	4543.8	603.67	723.08	612.11	432.53	309.83	1551.09	293.07	679.29	480.04	301.33	854.13	518.15	947.83	1477.58	1159.07	1745.2
LAYN	20.71	14.67	6.26	14.56	332.14	379.04	255.0	97.36	86.43	206.94	163.28	320.8	423.61	336.79	518.15	186.4	358.54	85.82	109.66	218.79	1883.54	825.0	106.63	92.7	334.46	1111.82	728.11	825.0	94.01	215.77	1437.15	258.57	348.71	651.58	1295.13	1498.22	180.02	220.32	141.02	341.51	74.06	1529.73	76.17	351.14	301.33	105.89	181.28	190.34	229.72	273.37	190.34	368.65
LGR4	118.43	309.83	341.51	289.02	101.54	88.88	90.14	37.05	45.85	22.1	76.71	136.19	147.06	47.84	384.34	61.68	55.1	62.12	52.45	41.22	165.57	295.11	27.05	68.07	101.54	148.09	237.86	153.34	54.33	43.63	66.65	29.27	123.5	23.76	191.67	379.04	53.57	51.35	36.27	89.51	17.13	392.44	19.97	49.56	82.87	40.64	67.59	53.95	358.54	115.16	70.01	93.35
LRRTM4	0.0	0.0	33.3	0.0	5.68	11.13	38.12	8.45	3.79	2.84	4.1	10.79	133.36	1.95	64.8	2.34	4.98	3.11	3.82	8.78	44.25	50.63	1.85	4.43	1.41	29.7	80.57	21.01	4.43	0.95	0.92	0.0	5.63	19.39	22.43	67.12	1.43	4.43	3.26	2.89	2.86	88.26	4.86	3.53	3.96	0.93	13.12	4.66	23.25	10.88	2.46	8.25
MARCH7	156.59	403.5	232.94	336.79	1096.5	1159.07	3690.52	555.41	934.76	567.1	813.63	1159.07	1769.57	884.29	2351.53	738.29	928.3	713.11	836.53	579.04	2032.85	2701.35	813.63	780.44	1127.35	2193.99	1167.14	2018.8	825.0	723.08	915.51	651.58	941.27	503.95	1322.37	2720.15	698.41	595.34	651.58	769.69	723.08	2255.7	493.56	791.35	848.22	679.29	802.41	836.53	1199.98	995.0	1175.27	1250.98
MATR3	389.72	1008.9	514.56	1331.57	4328.55	4181.07	5006.93	2739.08	3372.43	3018.3	3690.52	4210.15	5183.54	3515.68	5751.61	2720.15	3639.7	2555.58	3124.78	2555.58	5112.16	5954.47	2255.7	3146.52	4181.07	4869.99	5954.47	8840.04	3742.05	2976.74	4328.55	2956.17	3847.29	3280.18	4607.24	5076.84	3515.68	2555.58	3349.13	2855.44	3589.58	7130.55	3303.0	3103.19	3395.89	2520.38	2895.31	3372.43	4239.45	4181.07	4038.61	4903.87
METTL21A	236.21	295.11	191.67	220.32	301.33	339.14	312.0	171.45	251.48	155.5	244.57	346.29	507.46	253.23	642.59	329.84	305.55	273.37	314.17	143.01	438.59	591.22	295.11	208.38	193.01	351.14	334.46	332.14	133.36	267.73	341.51	211.31	309.83	289.02	435.55	525.39	186.4	185.11	253.23	218.79	169.07	698.41	348.71	167.9	234.57	258.57	269.6	215.77	267.73	255.0	309.83	381.68
MEX3C	108.9	83.45	57.49	93.35	379.04	457.25	612.11	154.42	202.66	241.19	429.54	447.82	540.19	297.17	603.67	271.48	204.07	223.41	178.77	301.33	447.82	688.78	173.85	187.71	318.57	728.11	441.64	466.88	256.78	303.44	279.14	169.07	323.03	387.02	612.11	514.56	215.77	132.44	297.17	198.47	187.71	872.1	146.03	281.09	228.13	166.73	297.17	211.31	409.15	356.05	358.54	511.0
MIB1	18.29	57.49	46.18	51.35	293.07	242.88	429.54	125.24	110.43	78.34	214.27	239.52	316.37	165.57	417.77	133.36	143.01	137.14	117.6	136.19	351.14	507.46	107.38	120.94	249.73	579.04	371.22	305.55	178.77	167.9	198.47	131.51	279.14	185.11	466.88	373.81	186.4	129.69	144.01	154.42	108.9	791.35	94.67	195.72	206.94	104.42	143.01	224.97	348.71	273.37	194.36	309.83
MIER3	26.67	55.49	49.56	50.63	163.28	171.45	212.78	112.77	127.89	72.01	117.6	181.28	180.02	169.07	303.44	125.24	195.72	144.01	131.51	152.28	221.86	312.0	107.38	153.34	209.84	341.51	316.37	260.38	173.85	173.85	146.03	112.77	185.11	126.12	264.03	239.52	151.22	155.5	116.78	198.47	87.03	435.55	125.24	124.37	172.65	105.15	101.54	189.02	264.03	209.84	194.36	206.94
MKLN1	195.72	260.38	297.17	169.07	376.41	316.37	764.36	201.25	198.47	237.86	327.56	366.09	536.45	249.73	599.49	253.23	305.55	217.27	180.02	249.73	759.08	860.08	316.37	236.21	384.34	713.11	275.28	679.29	183.82	209.84	343.89	199.85	279.14	186.4	314.17	579.04	170.25	183.82	236.21	175.07	215.77	571.05	320.8	269.6	165.57	194.36	293.07	358.54	295.11	395.18	397.93	361.04
MLTK	54.72	327.56	154.42	223.41	830.75	624.99	961.07	381.68	279.14	339.14	483.38	679.29	872.1	339.14	769.69	457.25	429.54	356.05	242.88	275.28	915.51	1119.56	220.32	275.28	463.65	1088.92	1037.29	1233.75	536.45	368.65	555.41	395.18	728.11	339.14	1096.5	995.0	438.59	277.2	466.88	215.77	232.94	1561.89	241.19	547.75	395.18	287.01	373.81	417.77	915.51	743.43	587.13	633.73
MORC3	35.76	74.58	89.51	136.19	457.25	444.72	775.05	251.48	236.21	170.25	264.03	500.46	679.29	291.04	813.63	246.28	392.44	291.04	289.02	234.57	808.0	1104.13	228.13	215.77	325.29	624.99	559.28	718.08	305.55	260.38	358.54	251.48	346.29	191.67	368.65	733.19	253.23	260.38	229.72	258.57	229.72	1104.13	228.13	260.38	236.21	244.57	384.34	289.02	414.87	392.44	392.44	500.46
MTMR2	110.43	50.27	20.56	37.85	438.59	358.54	368.65	191.67	264.03	307.69	334.46	371.22	708.18	224.97	842.36	303.44	309.83	256.78	198.47	223.41	234.57	547.75	193.01	237.86	363.56	444.72	651.58	842.36	307.69	201.25	414.87	305.55	264.03	214.27	417.77	563.18	211.31	151.22	420.68	205.5	187.71	819.3	193.01	249.73	226.54	194.36	271.48	236.21	444.72	447.82	363.56	420.68
MYCT1	40.36	43.02	43.63	103.69	500.46	457.25	872.1	215.77	483.38	182.55	158.79	384.34	1709.26	607.87	1662.49	563.18	289.02	172.65	463.65	423.61	743.43	507.46	285.03	351.14	287.01	1467.37	1870.53	995.0	532.74	334.46	536.45	392.44	371.22	376.41	785.88	902.89	679.29	156.59	275.28	353.59	473.41	1561.89	191.67	316.37	356.05	177.53	231.32	341.51	703.28	376.41	450.94	607.87
NAA30	78.34	158.79	115.97	115.16	217.27	191.67	195.72	108.14	138.1	81.71	138.1	202.66	218.79	117.6	332.14	161.02	170.25	108.14	111.21	97.36	223.41	384.34	88.26	127.89	166.73	211.31	297.17	384.34	178.77	106.63	181.28	111.99	131.51	88.26	255.0	301.33	135.24	98.04	152.28	114.36	79.45	457.25	77.25	140.04	129.69	100.83	97.36	149.12	273.37	193.01	164.42	258.57
NEDD4	10.0	155.5	66.18	186.4	193.01	126.12	155.5	86.43	87.65	70.51	99.43	135.24	144.01	108.14	361.04	129.69	95.34	73.54	154.42	111.21	262.2	341.51	64.8	73.03	253.23	217.27	237.86	318.57	159.9	55.89	186.4	128.79	105.89	39.79	126.12	426.57	130.6	86.43	145.02	84.04	71.5	532.74	73.54	68.07	104.42	54.33	87.03	175.07	251.48	151.22	164.42	190.34
NFAT5	17.64	10.08	12.09	30.78	249.73	267.73	647.07	113.56	92.7	80.57	194.36	291.04	271.48	178.77	297.17	91.41	143.01	169.07	61.68	178.77	363.56	571.05	72.52	108.9	193.01	287.01	356.05	279.14	111.99	204.07	175.07	116.78	189.02	124.37	329.84	314.17	104.42	150.17	129.69	146.03	116.78	599.49	84.63	180.02	137.14	71.5	181.28	206.94	327.56	241.19	226.54	249.73
NRARP	67.59	57.08	34.51	7.82	112.77	256.78	255.0	122.64	48.87	206.94	134.3	202.66	753.83	72.52	1008.9	450.94	161.02	79.45	212.78	141.02	336.79	1340.84	201.25	76.17	273.37	679.29	65.72	718.08	24.99	75.64	27.25	53.95	177.53	226.54	314.17	1331.57	18.03	167.9	172.65	53.95	27.64	1721.16	44.57	24.63	57.08	31.9	217.27	55.49	54.33	67.59	285.03	289.02
OTUD4	51.71	86.43	102.97	124.37	529.06	579.04	1051.79	275.28	271.48	332.14	389.72	543.96	432.53	414.87	595.34	269.6	444.72	255.0	253.23	291.04	703.28	1104.13	204.07	285.03	450.94	780.44	463.65	878.17	305.55	309.83	432.53	299.25	466.88	460.44	684.02	713.11	314.17	312.0	314.17	323.03	307.69	1304.15	262.2	327.56	303.44	265.87	329.84	381.68	423.61	473.41	525.39	595.34
PANK3	115.16	205.5	242.88	208.38	348.71	318.57	703.28	223.41	218.79	165.57	409.15	253.23	253.23	241.19	281.09	224.97	241.19	187.71	169.07	129.69	348.71	674.59	111.21	124.37	409.15	348.71	273.37	299.25	253.23	199.85	384.34	244.57	480.04	249.73	511.0	460.44	248.0	229.72	441.64	224.97	246.28	1322.37	223.41	198.47	269.6	170.25	153.34	361.04	406.31	301.33	381.68	348.71
PAPD5	58.71	108.9	76.71	80.57	177.53	256.78	249.73	132.44	208.38	159.9	258.57	264.03	429.54	305.55	392.44	202.66	187.71	169.07	127.0	120.94	361.04	312.0	113.56	151.22	248.0	264.03	241.19	214.27	157.68	208.38	256.78	127.0	146.03	127.89	293.07	194.36	135.24	171.45	141.02	186.4	118.43	441.64	175.07	151.22	217.27	159.9	171.45	181.28	195.72	165.57	269.6	232.94
PAPOLA	733.19	1015.93	723.08	921.88	1806.78	1757.34	3614.55	921.88	1127.35	1167.14	988.12	2335.28	2075.59	1268.46	3212.66	1498.22	1508.65	1008.9	1119.56	961.07	2758.13	4869.99	1037.29	848.22	1594.73	2609.3	2287.2	3665.02	1015.93	1044.52	1685.71	1015.93	1662.49	902.89	2090.03	2758.13	954.43	1104.13	1225.22	1037.29	1030.12	5633.22	1225.22	909.17	1250.98	954.43	1277.29	1199.98	1651.0	1769.57	1757.34	2032.85
PCDH12	60.39	51.71	48.87	50.63	163.28	346.29	567.1	183.82	368.65	173.85	518.15	211.31	521.76	177.53	656.11	258.57	476.71	167.9	190.34	336.79	651.58	2335.28	260.38	389.72	764.36	599.49	1388.16	1081.39	100.83	150.17	363.56	127.89	205.5	248.0	819.3	567.1	59.13	232.94	204.07	236.21	384.34	1457.23	264.03	363.56	86.43	115.97	802.41	291.04	511.0	423.61	395.18	368.65
PCDHGA11	7.63	1.16	1.36	3.66	17.25	18.43	21.94	16.51	6.26	13.32	27.64	22.92	57.08	11.91	42.71	4.66	10.24	8.65	10.47	15.45	28.45	84.04	0.42	22.26	12.18	27.05	21.32	151.22	15.22	13.42	16.03	12.83	14.35	14.03	27.64	19.25	10.47	13.42	14.67	11.3	5.59	71.0	7.34	20.11	0.01	8.51	21.01	12.93	21.32	24.81	25.17	23.93
PCDHGB3	29.91	0.0	5.36	2.01	24.81	19.25	35.76	13.42	6.67	10.79	24.81	27.05	55.89	4.86	47.5	1.38	3.66	9.85	6.73	10.63	26.47	37.59	7.0	20.56	11.55	20.56	78.89	15.0	3.89	8.19	20.11	6.84	11.13	10.47	10.08	17.25	13.52	10.88	8.06	7.94	6.11	31.22	10.47	11.38	2.81	8.45	21.16	15.22	17.38	24.46	19.53	15.11
PDS5A	123.5	204.07	157.68	199.85	764.36	785.88	866.07	432.53	583.07	480.04	708.18	521.76	579.04	780.44	1127.35	620.67	555.41	454.09	447.82	420.68	785.88	909.17	406.31	490.14	733.19	808.0	748.61	1044.52	633.73	551.56	1143.1	532.74	547.75	392.44	947.83	567.1	603.67	476.71	780.44	486.75	476.71	1674.06	651.58	780.44	743.43	525.39	591.22	497.0	660.68	718.08	665.29	825.0
PEX13	151.22	248.0	246.28	209.84	392.44	334.46	684.02	325.29	486.75	241.19	454.09	624.99	423.61	457.25	620.67	232.94	457.25	336.79	163.28	205.5	432.53	656.11	212.78	299.25	312.0	493.56	476.71	426.57	287.01	318.57	518.15	376.41	563.18	221.86	599.49	490.14	229.72	170.25	291.04	273.37	231.32	860.08	358.54	373.81	220.32	258.57	368.65	406.31	463.65	297.17	444.72	406.31
PLEKHO1	684.02	206.94	255.0	334.46	708.18	1447.15	2520.38	934.76	723.08	1674.06	1551.09	2163.77	2061.24	718.08	2018.8	1417.35	1561.89	620.67	1008.9	1963.57	4671.57	2627.46	825.0	872.1	624.99	2434.5	1350.18	1883.54	1350.18	612.11	2384.37	457.25	1378.57	1519.15	1757.34	4181.07	819.3	836.53	555.41	878.17	825.0	3515.68	1225.22	1096.5	708.18	688.78	1242.34	1259.69	1127.35	854.13	1819.35	1081.39
PLS3	1175.27	2720.15	1697.45	1447.15	4869.99	4481.23	5791.62	2777.33	3955.48	3928.15	6699.25	7911.95	5672.41	3540.14	7803.01	4450.27	4419.52	3589.58	4268.94	3103.19	7433.4	3060.45	1651.0	2591.27	4937.99	6983.79	9474.59	6164.49	3491.39	2796.65	9945.68	2816.11	3955.48	6471.02	5831.91	8598.28	3928.15	2555.58	3589.58	2240.11	4543.8	9474.59	3589.58	3060.45	3901.01	1583.71	3190.46	4543.8	6037.61	5329.3	4903.87	4869.99
PM20D2	14.45	64.8	17.77	25.91	120.1	150.17	173.85	65.26	50.27	105.89	45.53	143.01	111.21	96.01	165.57	65.72	88.88	85.82	64.34	23.59	197.09	113.56	65.72	52.08	56.68	154.42	195.72	147.06	76.71	42.41	96.01	78.89	124.37	108.9	158.79	131.51	51.35	93.35	66.18	72.01	57.08	118.43	68.07	49.56	79.45	57.08	65.26	64.34	117.6	124.37	116.78	180.02
PNRC2	688.78	343.89	283.05	521.76	2209.26	2875.3	4607.24	1407.55	1583.71	1037.29	2555.58	3690.52	3372.43	2075.59	5913.33	1561.89	2047.0	1794.29	1674.06	1350.18	2915.45	4038.61	1685.71	1794.29	2319.15	4066.71	2935.74	4543.8	2133.97	1359.57	1651.0	1709.26	2816.11	1697.45	3146.52	4358.66	1674.06	1175.27	1963.57	1561.89	1359.57	4328.55	1674.06	1561.89	1540.37	1572.76	1781.89	1923.14	1674.06	1819.35	2875.3	2758.13
POLK	16.63	46.18	18.29	70.01	348.71	341.51	400.71	220.32	167.9	148.09	232.94	283.05	400.71	204.07	559.28	113.56	202.66	189.02	180.02	104.42	267.73	543.96	115.16	187.71	279.14	318.57	470.14	473.41	220.32	217.27	281.09	237.86	241.19	166.73	273.37	547.75	236.21	205.5	248.0	212.78	140.04	466.88	209.84	234.57	224.97	170.25	139.07	242.88	325.29	323.03	316.37	346.29
PPP1R2	159.9	273.37	124.37	228.13	1037.29	872.1	1832.01	698.41	1051.79	409.15	603.67	1233.75	2573.36	1073.91	2178.83	988.12	665.29	674.59	713.11	466.88	1151.06	1806.78	684.02	559.28	1066.48	1015.93	1030.12	2240.11	825.0	738.29	842.36	780.44	764.36	493.56	1008.9	1662.49	718.08	514.56	884.29	669.92	647.07	1977.24	438.59	660.68	915.51	647.07	684.02	703.28	909.17	830.75	995.0	1008.9
PPP2R2A	181.28	212.78	202.66	480.04	842.36	791.35	1378.57	579.04	647.07	688.78	693.58	974.5	1407.55	693.58	1540.37	514.56	563.18	547.75	591.22	483.38	1781.89	1151.06	503.95	555.41	684.02	1359.57	1295.13	1417.35	651.58	521.76	1151.06	571.05	802.41	954.43	1250.98	1447.15	579.04	713.11	536.45	551.56	536.45	2451.44	753.83	529.06	497.0	473.41	543.96	802.41	775.05	854.13	921.88	947.83
PRKG1	20.11	9.13	5.63	3.14	277.2	215.77	358.54	68.55	100.83	50.63	214.27	249.73	379.04	83.45	366.09	158.79	112.77	119.26	66.65	94.67	403.5	271.48	82.29	98.04	148.09	334.46	647.07	123.5	209.84	73.54	231.32	88.88	107.38	73.03	323.03	503.95	167.9	81.14	106.63	146.03	73.03	651.58	120.94	166.73	175.07	57.89	117.6	117.6	497.0	228.13	217.27	256.78
PRPSAP1	728.11	1304.15	1159.07	1081.39	1191.69	981.29	1594.73	1030.12	738.29	555.41	902.89	1540.37	2758.13	878.17	3190.46	1304.15	1685.71	830.75	808.0	808.0	2178.83	1950.0	921.88	595.34	1119.56	2163.77	2468.49	2255.7	928.3	660.68	1111.82	1104.13	1216.75	633.73	1135.2	3467.27	703.28	909.17	669.92	713.11	728.11	4210.15	1030.12	713.11	872.1	836.53	1572.76	884.29	1208.34	1015.93	1104.13	1225.22
PURB	46.5	57.49	37.32	74.58	348.71	312.0	620.67	193.01	186.4	189.02	275.28	389.72	371.22	255.0	532.74	209.84	185.11	140.04	178.77	163.28	583.07	791.35	170.25	175.07	309.83	540.19	303.44	769.69	267.73	154.42	253.23	150.17	348.71	191.67	567.1	483.38	309.83	176.29	195.72	228.13	137.14	836.53	165.57	214.27	231.32	141.02	223.41	320.8	339.14	271.48	353.59	334.46
RAB33B	14.56	63.89	55.1	70.01	198.47	181.28	205.5	106.63	148.09	56.28	132.44	242.88	262.2	166.73	236.21	130.6	152.28	135.24	165.57	70.51	239.52	193.01	140.04	137.14	127.0	265.87	152.28	111.21	133.36	155.5	147.06	142.01	185.11	106.63	275.28	262.2	89.51	76.17	131.51	134.3	80.01	366.09	71.0	124.37	105.15	87.65	114.36	137.14	209.84	127.89	161.02	212.78
RASSF2	182.55	11.38	29.91	41.52	571.05	988.12	2451.44	228.13	579.04	258.57	358.54	1208.34	3955.48	262.2	3614.55	563.18	283.05	547.75	90.77	444.72	599.49	3665.02	248.0	813.63	764.36	974.5	647.07	1551.09	265.87	1233.75	307.69	283.05	182.55	228.13	1030.12	3190.46	303.44	426.57	567.1	457.25	490.14	4903.87	122.64	629.35	309.83	239.52	785.88	363.56	470.14	748.61	660.68	607.87
RSPRY1	123.5	193.01	138.1	262.2	336.79	371.22	518.15	253.23	265.87	256.78	358.54	389.72	417.77	249.73	507.46	285.03	463.65	356.05	234.57	177.53	444.72	759.08	221.86	301.33	260.38	518.15	361.04	587.13	373.81	281.09	389.72	198.47	397.93	406.31	571.05	642.59	400.71	232.94	334.46	325.29	237.86	995.0	258.57	281.09	343.89	236.21	265.87	412.0	450.94	373.81	336.79	426.57
SBNO1	38.67	72.52	42.71	58.71	172.65	212.78	277.2	104.42	143.01	122.64	175.07	166.73	199.85	115.97	215.77	81.71	180.02	142.01	90.77	159.9	193.01	287.01	86.43	136.19	249.73	189.02	138.1	166.73	94.67	171.45	130.6	141.02	130.6	91.41	242.88	108.14	96.01	91.41	170.25	115.97	110.43	403.5	77.79	187.71	94.01	83.45	182.55	170.25	209.84	229.72	178.77	209.84
SETX	116.78	194.36	94.67	251.48	728.11	669.92	1151.06	426.57	571.05	353.59	476.71	713.11	1250.98	379.04	1991.0	507.46	651.58	473.41	536.45	607.87	981.29	1216.75	507.46	473.41	638.15	954.43	967.76	928.3	555.41	441.64	400.71	507.46	559.28	397.93	638.15	753.83	476.71	454.09	403.5	624.99	447.82	981.29	343.89	532.74	476.71	423.61	769.69	497.0	915.51	775.05	612.11	753.83
SFTPC	6.94	9.27	65.26	0.39	1019901.63	1100706.72	8963.45	1.848689914E7	5.882801313E7	1.748967224E7	7.92550749E7	6766600.51	13681.08	4.811555286E7	9279.58	3.174442598E7	3.003205688E7	2.706640506E7	4.188702152E7	3.130739107E7	7665772.81	4937.99	1.587221249E7	2.542950323E7	2.138357795E7	74760.09	746611.43	3716.2	2.339991475E7	5.761735011E7	3.801327429E7	2.260282772E7	4.878722096E7	3.72309724E7	2.405777593E7	23986.58	2.276004283E7	1.501602794E7	1.913883827E7	2.706640506E7	5.228884881E7	6014443.23	1.0826562323E8	1.954098596E7	2.037080884E7	3.109113511E7	6.17527469E7	2.578448588E7	1.391367215E7	1055868.42	1041331.96	938500.81
SLC12A2	26.28	189.02	25.54	23.25	246.28	320.8	209.84	186.4	988.12	114.36	346.29	289.02	796.86	237.86	769.69	376.41	241.19	234.57	206.94	112.77	320.8	738.29	155.5	164.42	403.5	607.87	878.17	395.18	136.19	183.82	583.07	186.4	224.97	172.65	902.89	429.54	108.14	98.73	264.03	267.73	314.17	1407.55	131.51	137.14	205.5	105.89	607.87	226.54	995.0	329.84	297.17	327.56
SMAD9	17.77	11.55	2.61	15.56	260.38	170.25	105.89	83.45	36.79	50.98	343.89	275.28	180.02	58.71	624.99	236.21	217.27	65.72	167.9	111.21	316.37	256.78	92.05	163.28	199.85	307.69	555.41	518.15	193.01	25.54	170.25	75.64	134.3	133.36	102.97	195.72	61.68	185.11	94.67	78.34	44.57	532.74	68.55	140.04	134.3	76.71	92.05	127.89	470.14	140.04	161.02	232.94
SMARCA1	108.14	450.94	341.51	463.65	532.74	514.56	1651.0	133.36	187.71	108.9	518.15	563.18	981.29	521.76	1081.39	152.28	323.03	379.04	237.86	241.19	1561.89	1628.26	195.72	231.32	409.15	656.11	743.43	703.28	293.07	329.84	836.53	154.42	412.0	249.73	1044.52	902.89	441.64	182.55	139.07	214.27	177.53	1233.75	178.77	211.31	221.86	129.69	642.59	297.17	848.22	493.56	518.15	532.74
SP3	135.24	153.34	155.5	285.03	819.3	848.22	902.89	480.04	559.28	343.89	500.46	780.44	961.07	603.67	1304.15	507.46	543.96	529.06	447.82	346.29	775.05	934.76	575.03	403.5	796.86	1066.48	1322.37	1044.52	563.18	583.07	595.34	486.75	708.18	500.46	830.75	866.07	532.74	441.64	638.15	500.46	426.57	1191.69	368.65	444.72	591.22	409.15	441.64	511.0	819.3	842.36	669.92	909.17
SPOPL	31.22	70.51	50.63	49.21	281.09	316.37	406.31	152.28	163.28	112.77	208.38	291.04	325.29	187.71	529.06	187.71	218.79	165.57	147.06	153.34	361.04	348.71	175.07	113.56	303.44	363.56	429.54	329.84	164.42	136.19	208.38	180.02	277.2	218.79	353.59	423.61	135.24	85.82	221.86	159.9	154.42	466.88	143.01	132.44	183.82	124.37	151.22	151.22	287.01	312.0	279.14	320.8
SRPK2	145.02	162.14	163.28	133.36	543.96	503.95	723.08	255.0	303.44	191.67	351.14	454.09	759.08	299.25	967.76	244.57	432.53	438.59	220.32	226.54	642.59	967.76	236.21	277.2	343.89	547.75	629.35	796.86	323.03	314.17	387.02	363.56	460.44	409.15	624.99	708.18	343.89	277.2	332.14	251.48	241.19	934.76	249.73	287.01	397.93	368.65	444.72	376.41	595.34	500.46	466.88	500.46
STAG2	61.68	130.6	94.67	153.34	928.3	842.36	1268.46	486.75	518.15	325.29	825.0	878.17	830.75	679.29	1313.23	483.38	571.05	567.1	470.14	587.13	934.76	1322.37	473.41	500.46	1073.91	1208.34	1111.82	813.63	629.35	525.39	748.61	532.74	759.08	567.1	1104.13	1225.22	698.41	483.38	591.22	567.1	521.76	1628.26	633.73	693.58	669.92	444.72	616.37	591.22	902.89	802.41	848.22	1030.12
STK3	90.14	265.87	141.02	146.03	470.14	454.09	728.11	423.61	215.77	346.29	251.48	348.71	698.41	271.48	497.0	299.25	275.28	295.11	246.28	169.07	571.05	470.14	187.71	228.13	363.56	483.38	551.56	902.89	373.81	237.86	575.03	336.79	420.68	287.01	299.25	629.35	277.2	226.54	316.37	206.94	236.21	669.92	277.2	273.37	256.78	295.11	258.57	320.8	432.53	463.65	447.82	450.94
STRN	42.11	33.78	29.06	50.63	251.48	236.21	253.23	136.19	143.01	75.11	224.97	231.32	217.27	166.73	325.29	127.89	171.45	133.36	84.63	133.36	229.72	320.8	107.38	88.88	258.57	312.0	318.57	432.53	152.28	119.26	187.71	131.51	212.78	116.78	389.72	265.87	211.31	103.69	156.59	132.44	105.15	543.96	147.06	155.5	151.22	98.04	136.19	158.79	279.14	234.57	208.38	241.19
