	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.145MO.1426.SM.5Q5BS	GTEX.12WSL.1526.SM.5GCP8	GTEX.11EM3.0826.SM.5N9CC	GTEX.12KS4.0926.SM.5BC5S	GTEX.R3RS.1326.SM.48FE7	GTEX.ZE9C.1126.SM.4WWBD	GTEX.13CF3.1626.SM.5IFG9	GTEX.X15G.0826.SM.4PQZD	GTEX.Y3I4.1226.SM.4TT8N	GTEX.12696.1326.SM.5FQTJ	GTEX.QEG4.0726.SM.4R1JL	GTEX.XK95.1026.SM.4GIDV	GTEX.13X6H.1326.SM.5LU42	GTEX.1497J.2726.SM.5SI9W	GTEX.UJHI.0826.SM.4IHLM	GTEX.11LCK.1726.SM.5S2OQ	GTEX.111YS.0926.SM.5EGGI	GTEX.131YS.1426.SM.5IJF7	GTEX.WH7G.0926.SM.4LVMJ	GTEX.WFG8.1226.SM.4V6EI	GTEX.14DAQ.1426.SM.5RQJD	GTEX.WFJO.0826.SM.4LVM5	GTEX.11NUK.1326.SM.5P9GN	GTEX.XUJ4.1026.SM.4BOPB	GTEX.QEG5.1426.SM.447AS	GTEX.14BIN.2726.SM.5RQIE	GTEX.13111.0826.SM.5LZV3	GTEX.14C38.2126.SM.5RQJO	GTEX.146FR.0426.SM.5SI97	GTEX.ZYVF.2226.SM.5GIDD	GTEX.RN64.1026.SM.48FDX	GTEX.Y8E4.1726.SM.5LU9G	GTEX.T2IS.0826.SM.4DM6L	GTEX.11ZTS.2626.SM.5EGIC	GTEX.ZGAY.1126.SM.4WWBS	GTEX.ZYY3.1526.SM.5SIA9	GTEX.OXRL.0626.SM.3NM9C	GTEX.XV7Q.1126.SM.4BRVS	GTEX.R55E.1326.SM.48FCR	GTEX.13OVG.0626.SM.5IFEP	GTEX.ZUA1.1226.SM.5NQ6O	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7391.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.6936.11A.01R.1915.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.CV.6935.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.XMK1.2626.SM.4B65R	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CDK10	684.02	1605.83	1268.46	656.11	1015.93	1073.91	1685.71	1477.58	974.5	1159.07	1259.69	1427.22	848.22	1088.92	1697.45	1437.15	1073.91	1674.06	2468.49	2193.99	1286.18	1963.57	1417.35	1437.15	1757.34	2591.27	967.76	2090.03	1781.89	1233.75	1127.35	1617.0	1268.46	1304.15	1583.71	1304.15	2224.63	2209.26	2163.77	2209.26	1407.55	1769.57	1199.98	2193.99	1936.53	1304.15	2148.82	2061.24	1175.27	2303.12	1583.71	1883.54	2335.28	1135.2	2303.12	457.25	327.56	318.57	255.0	387.02	429.54	343.89	521.76	409.15	813.63	392.44	540.19	406.31	525.39	525.39	536.45	438.59	629.35	633.73	808.0	567.1	0.0	1.0	195.72	708.18	612.11	684.02	607.87	389.72	403.5	251.48
CDRT4	361.04	149.12	105.89	14.35	209.84	124.37	130.6	151.22	144.01	177.53	56.68	93.35	13.22	108.14	221.86	91.41	10.88	406.31	343.89	316.37	215.77	167.9	156.59	346.29	480.04	346.29	105.15	81.71	229.72	132.44	45.85	305.55	134.3	95.34	237.86	127.89	432.53	164.42	248.0	497.0	46.84	366.09	204.07	555.41	532.74	223.41	426.57	346.29	80.57	241.19	255.0	176.29	178.77	88.26	616.37	38.95	52.08	11.47	14.03	13.52	7.51	30.56	12.93	25.91	31.0	27.64	16.15	49.91	4.43	8.51	33.78	69.52	4.78	30.34	15.91	5.54	0.0	0.77	0.73	17.13	5.32	13.42	32.82	20.56	10.0	4.1
CEP104	217.27	507.46	397.93	420.68	429.54	341.51	325.29	460.44	507.46	251.48	297.17	332.14	457.25	299.25	447.82	348.71	258.57	450.94	679.29	316.37	299.25	423.61	403.5	432.53	373.81	444.72	406.31	595.34	423.61	379.04	500.46	297.17	336.79	267.73	420.68	264.03	490.14	320.8	555.41	438.59	343.89	420.68	348.71	500.46	289.02	267.73	358.54	412.0	223.41	503.95	387.02	536.45	507.46	316.37	420.68	237.86	293.07	346.29	323.03	343.89	215.77	392.44	373.81	244.57	323.03	195.72	226.54	373.81	229.72	301.33	269.6	129.69	220.32	277.2	277.2	262.2	218.79	66.65	108.9	343.89	218.79	406.31	327.56	199.85	211.31	182.55
CLASRP	693.58	1651.0	1477.58	1143.1	2148.82	1936.53	1617.0	1977.24	1781.89	1191.69	2047.0	1369.04	1127.35	1397.83	2271.4	1397.83	1508.65	2287.2	2976.74	1883.54	1397.83	1617.0	1313.23	1991.0	2255.7	2855.44	1135.2	2485.67	1721.16	1191.69	1159.07	2209.26	1397.83	1322.37	2178.83	1417.35	2591.27	1651.0	1819.35	2935.74	1594.73	2335.28	1407.55	2351.53	2119.22	1183.45	2739.08	2627.46	1457.23	2193.99	1487.87	1639.59	2335.28	1806.78	2520.38	170.25	327.56	426.57	232.94	348.71	318.57	470.14	414.87	603.67	848.22	438.59	454.09	409.15	507.46	536.45	450.94	269.6	346.29	583.07	563.18	373.81	0.0	1.5	84.63	559.28	376.41	339.14	476.71	305.55	253.23	271.48
CLEC18C	2.29	23.59	3.53	1.01	8.32	1.64	7.0	10.0	9.48	18.56	15.45	1.71	3.5	3.14	0.0	17.25	8.92	5.92	3.76	9.06	1.45	19.68	0.0	0.0	0.0	17.0	4.13	2.32	6.67	8.45	8.65	10.0	13.12	12.27	10.88	1.5	1.83	9.34	8.99	12.74	0.0	9.13	2.94	8.99	1.28	9.13	10.55	7.46	2.56	8.58	6.26	3.56	2.92	15.91	4.28	1.04	1.19	1.91	0.64	0.71	0.0	0.97	0.6	0.0	0.0	1.23	2.14	0.0	4.58	0.0	2.03	2.56	0.0	11.73	5.45	1.62	0.0	0.17	0.93	4.94	0.49	0.21	3.35	0.82	2.14	1.31
CLHC1	134.3	108.14	90.14	82.87	202.66	58.3	102.25	108.9	199.85	124.37	91.41	111.21	82.87	75.64	289.02	111.21	101.54	171.45	358.54	147.06	71.5	139.07	112.77	193.01	115.97	195.72	110.43	173.85	98.04	170.25	289.02	99.43	70.01	108.9	214.27	72.01	169.07	109.66	460.44	141.02	155.5	212.78	74.58	217.27	204.07	201.25	158.79	185.11	92.05	412.0	204.07	163.28	177.53	169.07	177.53	49.56	34.51	32.36	28.45	21.78	17.77	26.86	25.35	75.11	71.0	70.51	49.56	63.45	46.84	45.85	43.02	71.0	32.36	88.26	51.35	15.68	0.0	0.36	30.78	33.78	32.59	37.05	58.71	56.68	53.19	50.63
COMTD1	3039.3	1242.34	2895.31	1639.59	825.0	674.59	3540.14	1331.57	684.02	2384.37	3081.75	2075.59	1259.69	3742.05	2400.97	2004.85	1794.29	2400.97	3742.05	3190.46	2303.12	2591.27	1844.76	1923.14	2255.7	2895.31	1745.2	2645.74	2240.11	2271.4	1697.45	2255.7	2075.59	2384.37	1883.54	2777.33	2976.74	3280.18	3018.3	3103.19	2255.7	2061.24	1605.83	2468.49	2537.92	2997.45	2451.44	3349.13	3060.45	2915.45	2209.26	2434.5	2400.97	1832.01	2240.11	842.36	748.61	878.17	759.08	759.08	536.45	563.18	543.96	743.43	941.27	967.76	1870.53	679.29	1313.23	1175.27	1378.57	2468.49	1191.69	878.17	1745.2	1295.13	802.41	518.15	1781.89	796.86	2148.82	1870.53	2319.15	2193.99	2351.53	2287.2
CRYBB3	11.47	5.68	15.56	13.72	19.68	12.27	16.39	2.61	9.27	5.59	11.82	13.12	13.52	5.15	6.57	8.0	4.66	9.06	17.51	13.22	3.38	6.67	8.99	7.57	7.06	13.22	11.55	13.22	13.72	6.73	5.02	20.56	7.69	6.67	10.16	2.12	16.51	16.51	28.04	27.84	1.87	12.93	8.25	23.59	25.35	12.18	10.63	39.79	13.83	38.4	6.62	2.07	24.81	0.0	11.55	2.27	3.63	4.35	6.11	2.25	0.0	5.28	0.0	2.84	3.56	5.82	3.0	5.45	3.89	0.0	2.39	1.06	4.21	2.81	2.71	3.89	0.0	0.19	0.0	7.06	0.59	0.79	1.66	5.59	4.82	5.36
CSTF3	591.22	616.37	571.05	825.0	1208.34	769.69	563.18	656.11	629.35	583.07	529.06	825.0	1225.22	438.59	607.87	583.07	497.0	1001.93	967.76	775.05	559.28	669.92	607.87	743.43	1051.79	825.0	497.0	988.12	403.5	563.18	567.1	748.61	476.71	473.41	813.63	603.67	1008.9	454.09	808.0	1001.93	470.14	665.29	480.04	718.08	884.29	796.86	878.17	1066.48	447.82	961.07	633.73	674.59	902.89	521.76	1015.93	343.89	363.56	438.59	314.17	450.94	327.56	473.41	384.34	454.09	518.15	327.56	348.71	503.95	379.04	325.29	376.41	327.56	318.57	371.22	432.53	305.55	1674.06	2915.45	241.19	309.83	511.0	336.79	450.94	379.04	325.29	305.55
CTU1	80.57	156.59	147.06	140.04	165.57	191.67	246.28	232.94	164.42	85.82	153.34	99.43	107.38	175.07	117.6	103.69	73.03	84.04	231.32	158.79	71.5	139.07	121.79	78.34	194.36	164.42	81.71	189.02	72.52	88.26	114.36	117.6	102.25	63.45	87.03	100.83	178.77	158.79	177.53	126.12	88.26	88.26	71.0	134.3	172.65	77.79	107.38	190.34	68.55	193.01	111.21	163.28	138.1	65.26	109.66	24.81	31.9	26.28	35.25	45.53	10.79	24.99	31.67	40.07	31.67	16.88	38.95	36.53	35.0	47.5	31.22	18.43	34.02	22.59	41.52	30.12	0.0	0.18	16.03	28.24	33.3	89.51	45.85	34.51	32.13	54.72
CYB5D1	91.41	195.72	248.0	212.78	251.48	113.56	185.11	258.57	297.17	226.54	236.21	146.03	155.5	171.45	258.57	264.03	204.07	232.94	343.89	279.14	231.32	273.37	295.11	237.86	260.38	329.84	251.48	334.46	251.48	193.01	265.87	279.14	307.69	234.57	253.23	175.07	269.6	211.31	351.14	285.03	217.27	309.83	182.55	314.17	224.97	229.72	267.73	297.17	214.27	454.09	256.78	246.28	361.04	236.21	339.14	118.43	153.34	100.13	52.82	171.45	107.38	170.25	113.56	124.37	173.85	91.41	112.77	281.09	125.24	165.57	142.01	100.83	149.12	127.0	180.02	166.73	0.0	0.38	79.45	158.79	98.73	171.45	187.71	80.01	90.77	95.34
DALRD3	616.37	563.18	872.1	842.36	612.11	376.41	1119.56	723.08	563.18	872.1	775.05	775.05	486.75	1008.9	718.08	759.08	595.34	854.13	1015.93	896.64	825.0	896.64	647.07	775.05	679.29	1175.27	616.37	884.29	684.02	674.59	612.11	878.17	830.75	764.36	830.75	718.08	1143.1	974.5	1111.82	1151.06	780.44	1008.9	665.29	1059.11	1143.1	743.43	941.27	1143.1	703.28	1066.48	780.44	808.0	884.29	796.86	1167.14	426.57	595.34	414.87	293.07	603.67	403.5	532.74	368.65	493.56	599.49	417.77	595.34	674.59	583.07	579.04	532.74	647.07	591.22	536.45	819.3	718.08	0.0	0.15	559.28	974.5	559.28	743.43	679.29	543.96	624.99	629.35
DDX51	135.24	265.87	379.04	381.68	351.14	547.75	493.56	361.04	429.54	208.38	353.59	277.2	358.54	271.48	312.0	307.69	237.86	381.68	728.11	476.71	297.17	329.84	373.81	503.95	599.49	567.1	316.37	395.18	339.14	248.0	234.57	599.49	291.04	279.14	384.34	283.05	476.71	351.14	616.37	438.59	303.44	532.74	248.0	438.59	379.04	228.13	555.41	457.25	253.23	493.56	503.95	297.17	633.73	309.83	525.39	58.3	154.42	236.21	82.29	181.28	193.01	149.12	161.02	103.69	221.86	178.77	157.68	228.13	164.42	185.11	205.5	57.89	199.85	166.73	253.23	229.72	334.46	105.89	108.9	206.94	151.22	323.03	138.1	139.07	132.44	100.13
DHRS4-AS1	64.8	123.5	31.0	29.48	88.26	45.85	77.25	150.17	49.91	52.08	47.84	86.43	30.78	56.28	159.9	127.89	71.5	189.02	110.43	208.38	126.12	108.9	84.63	218.79	161.02	176.29	102.97	271.48	39.22	66.18	88.26	134.3	142.01	68.55	148.09	118.43	175.07	137.14	99.43	91.41	62.56	142.01	22.26	183.82	178.77	201.25	133.36	152.28	99.43	334.46	191.67	111.21	273.37	133.36	215.77	33.78	34.75	46.5	13.12	55.89	21.16	35.5	19.11	77.79	40.07	17.51	54.72	70.01	36.53	36.01	62.12	75.11	64.34	68.55	46.18	24.28	0.0	0.22	76.71	58.71	31.0	3.96	63.89	26.28	48.52	38.4
DHX34	206.94	450.94	441.64	409.15	612.11	529.06	521.76	551.56	540.19	269.6	392.44	305.55	397.93	320.8	312.0	260.38	142.01	273.37	518.15	493.56	303.44	356.05	336.79	285.03	447.82	426.57	303.44	435.55	353.59	289.02	253.23	368.65	255.0	211.31	307.69	248.0	412.0	309.83	466.88	417.77	236.21	423.61	228.13	363.56	356.05	285.03	381.68	312.0	234.57	379.04	351.14	366.09	521.76	215.77	406.31	52.45	129.69	152.28	100.83	156.59	132.44	153.34	197.09	155.5	205.5	187.71	153.34	165.57	149.12	204.07	177.53	89.51	186.4	156.59	229.72	193.01	0.0	0.53	122.64	231.32	142.01	397.93	185.11	145.02	127.89	112.77
DKFZP779J2370	76.71	45.85	4.24	7.0	21.32	7.57	12.36	25.54	1.91	32.13	23.93	42.71	1.58	20.56	68.07	13.72	4.58	67.59	58.71	68.55	18.29	35.0	28.65	3.63	107.38	41.81	16.03	6.89	43.63	31.9	0.0	62.12	53.57	6.21	31.45	23.76	85.22	19.82	36.01	108.9	0.0	54.72	26.86	66.18	64.8	19.68	74.06	63.89	20.11	77.79	40.07	43.94	37.32	4.43	100.13	6.73	0.0	0.0	0.0	5.41	10.16	0.0	1.97	5.41	13.83	11.21	13.42	17.0	1.31	15.0	11.38	3.41	0.0	10.0	10.0	8.78	0.0	0.0	22.59	0.0	11.55	22.92	8.19	0.0	29.06	25.91
DOCK6	848.22	1059.11	1037.29	1037.29	1208.34	1081.39	1104.13	785.88	967.76	1081.39	1350.18	1030.12	1127.35	1073.91	981.29	723.08	748.61	954.43	1216.75	1304.15	669.92	860.08	808.0	836.53	1183.45	1151.06	759.08	1059.11	1242.34	896.64	497.0	1008.9	848.22	633.73	1233.75	723.08	1135.2	842.36	974.5	1250.98	947.83	1096.5	660.68	1119.56	1304.15	620.67	954.43	1208.34	775.05	748.61	769.69	947.83	1088.92	808.0	1059.11	571.05	854.13	1008.9	547.75	607.87	642.59	791.35	633.73	457.25	441.64	343.89	708.18	629.35	575.03	490.14	435.55	303.44	483.38	624.99	665.29	688.78	0.0	0.16	249.73	607.87	791.35	543.96	392.44	679.29	432.53	532.74
DUS1L	1143.1	2468.49	2645.74	2591.27	2351.53	2664.15	3794.3	2739.08	3124.78	2104.58	2915.45	1662.49	3018.3	2178.83	3325.99	2104.58	2573.36	3103.19	4575.41	4066.71	3103.19	2701.35	3081.75	3874.05	6037.61	3768.09	2645.74	3874.05	2351.53	3060.45	1733.13	3716.2	2956.17	2434.5	2627.46	2451.44	5255.91	3257.52	4239.45	3874.05	2816.11	4268.94	2133.97	3146.52	4575.41	2935.74	4152.18	4769.75	2997.45	3540.14	3928.15	2555.58	5672.41	2739.08	4095.0	1151.06	2520.38	2609.3	1617.0	2032.85	2384.37	1769.57	1977.24	1709.26	2335.28	2075.59	2240.11	2485.67	2835.7	1457.23	2178.83	1159.07	2434.5	2287.2	3564.78	2287.2	0.0	1.28	1183.45	1685.71	1407.55	1781.89	1923.14	1991.0	1963.57	1498.22
DUS3L	500.46	466.88	961.07	733.19	698.41	633.73	1159.07	591.22	583.07	563.18	825.0	656.11	842.36	629.35	954.43	759.08	785.88	1044.52	1407.55	921.88	819.3	638.15	813.63	1030.12	1135.2	791.35	728.11	775.05	1066.48	674.59	665.29	1008.9	713.11	842.36	909.17	669.92	1066.48	915.51	796.86	1096.5	679.29	1175.27	567.1	896.64	1059.11	571.05	1135.2	1051.79	688.78	796.86	902.89	358.54	1447.15	713.11	1135.2	223.41	387.02	432.53	339.14	373.81	368.65	389.72	237.86	389.72	521.76	381.68	429.54	447.82	529.06	473.41	540.19	463.65	563.18	417.77	575.03	460.44	0.0	0.68	267.73	450.94	656.11	366.09	429.54	444.72	480.04	480.04
DVL1	1127.35	1208.34	1359.57	1183.45	954.43	1037.29	1561.89	902.89	1159.07	1216.75	1233.75	1037.29	1175.27	1477.58	1605.83	1119.56	902.89	1359.57	2956.17	2555.58	1001.93	1268.46	1250.98	1487.87	2240.11	2384.37	872.1	1551.09	1662.49	1044.52	947.83	1896.65	1508.65	1135.2	1819.35	1159.07	2133.97	1594.73	2351.53	2240.11	941.27	1936.53	902.89	2061.24	2537.92	848.22	1819.35	2255.7	974.5	1437.15	1388.16	1467.37	1870.53	1119.56	1709.26	718.08	961.07	1030.12	872.1	902.89	819.3	836.53	1369.04	890.44	1030.12	2434.5	1259.69	775.05	1286.18	909.17	1508.65	551.56	1081.39	947.83	1208.34	1286.18	0.0	1.07	559.28	934.76	1447.15	2224.63	1135.2	1277.29	1073.91	1225.22
E2F5	19.11	100.13	118.43	57.49	104.42	185.11	75.64	126.12	187.71	82.87	95.34	122.64	78.34	75.11	111.99	74.06	24.63	85.82	92.7	98.73	59.97	148.09	59.97	48.52	105.89	204.07	48.87	100.13	87.65	45.85	62.12	94.01	59.13	38.95	86.43	48.87	98.04	108.9	109.66	112.77	60.82	171.45	57.89	110.43	94.67	108.9	147.06	138.1	41.52	140.04	111.99	145.02	110.43	68.07	102.25	16.88	23.08	10.31	12.55	81.71	36.27	40.64	26.1	58.71	57.49	58.71	44.25	79.45	50.27	51.35	61.68	96.68	70.01	81.14	70.51	63.89	0.0	0.57	78.34	73.54	3.66	139.07	54.72	20.71	28.24	21.78
E4F1	463.65	409.15	493.56	463.65	348.71	423.61	579.04	447.82	480.04	409.15	432.53	384.34	381.68	476.71	476.71	423.61	339.14	559.28	647.07	551.56	409.15	466.88	341.51	563.18	660.68	624.99	361.04	583.07	497.0	429.54	327.56	529.06	409.15	339.14	460.44	346.29	633.73	497.0	543.96	674.59	457.25	457.25	305.55	540.19	555.41	341.51	595.34	612.11	426.57	514.56	400.71	457.25	595.34	389.72	555.41	163.28	182.55	256.78	212.78	239.52	277.2	166.73	215.77	236.21	231.32	193.01	248.0	323.03	229.72	291.04	214.27	155.5	255.0	241.19	312.0	285.03	0.0	0.85	114.36	226.54	221.86	289.02	221.86	193.01	209.84	258.57
EGFL8	158.79	371.22	483.38	127.89	486.75	291.04	629.35	426.57	265.87	748.61	583.07	361.04	201.25	713.11	579.04	341.51	244.57	713.11	974.5	1073.91	450.94	438.59	447.82	988.12	1277.29	878.17	295.11	511.0	483.38	423.61	348.71	1088.92	551.56	463.65	808.0	320.8	1111.82	579.04	638.15	1295.13	348.71	314.17	320.8	921.88	1088.92	470.14	1135.2	738.29	384.34	679.29	343.89	575.03	1051.79	454.09	1369.04	11.91	46.84	63.45	14.78	129.69	69.52	34.51	23.93	85.82	221.86	204.07	153.34	118.43	87.65	177.53	70.01	134.3	70.51	176.29	242.88	70.01	0.0	0.73	66.18	100.83	457.25	231.32	185.11	87.65	120.1	221.86
EHBP1L1	791.35	2935.74	3280.18	2104.58	2915.45	2609.3	4512.4	3018.3	2104.58	2935.74	3235.01	4210.15	2367.9	4095.0	1950.0	1304.15	1331.57	2271.4	1923.14	1674.06	1870.53	2104.58	1733.13	2018.8	2303.12	1605.83	1447.15	1457.23	2351.53	1447.15	1225.22	2240.11	1331.57	1427.22	2664.15	1697.45	2178.83	1909.85	2090.03	2303.12	1757.34	1437.15	1697.45	2163.77	2502.97	1313.23	1991.0	2319.15	1572.76	1794.29	2178.83	2777.33	1540.37	1508.65	1540.37	785.88	1143.1	1259.69	890.44	995.0	1167.14	954.43	1151.06	1388.16	967.76	2384.37	961.07	1268.46	1268.46	665.29	1467.37	327.56	928.3	878.17	1015.93	1001.93	0.0	0.97	551.56	1709.26	1628.26	2240.11	796.86	1167.14	660.68	1081.39
ELMOD3	221.86	450.94	346.29	218.79	351.14	343.89	389.72	305.55	253.23	316.37	438.59	409.15	242.88	341.51	379.04	307.69	186.4	447.82	521.76	406.31	287.01	361.04	329.84	356.05	483.38	571.05	269.6	470.14	356.05	256.78	258.57	412.0	339.14	329.84	392.44	334.46	463.65	291.04	486.75	547.75	275.28	384.34	329.84	543.96	432.53	387.02	543.96	435.55	226.54	480.04	373.81	444.72	417.77	305.55	483.38	137.14	94.67	191.67	79.45	176.29	110.43	161.02	99.43	155.5	151.22	127.0	171.45	217.27	129.69	153.34	162.14	139.07	87.65	198.47	201.25	132.44	0.0	0.65	136.19	130.6	126.12	132.44	143.01	106.63	117.6	92.7
ENTPD2	1233.75	312.0	130.6	127.89	75.64	51.71	105.15	72.01	460.44	89.51	132.44	165.57	55.89	100.83	262.2	69.52	101.54	158.79	205.5	454.09	75.11	125.24	113.56	167.9	316.37	189.02	40.93	244.57	71.0	99.43	81.71	283.05	204.07	92.7	253.23	50.98	195.72	199.85	173.85	325.29	51.71	164.42	60.82	293.07	473.41	97.36	289.02	287.01	61.25	175.07	93.35	98.04	351.14	108.14	258.57	10.79	102.97	167.9	56.68	62.56	43.63	127.89	55.49	46.5	111.21	33.3	90.77	117.6	94.01	64.34	45.85	20.11	63.0	99.43	80.57	90.14	0.0	0.22	14.14	91.41	25.54	95.34	53.57	29.27	21.32	18.29
ESRP2	4607.24	733.19	2502.97	587.13	583.07	141.02	2591.27	620.67	551.56	3212.66	1769.57	295.11	277.2	8421.31	2835.7	2627.46	2090.03	2835.7	5183.54	4298.64	2451.44	3540.14	2976.74	2895.31	3901.01	2935.74	2520.38	3372.43	3874.05	2739.08	2502.97	3540.14	2520.38	2682.69	2701.35	2935.74	3303.0	3018.3	3665.02	3589.58	2682.69	3614.55	2209.26	3564.78	4066.71	2816.11	3018.3	3103.19	3103.19	3491.39	2915.45	2502.97	3614.55	2485.67	3303.0	543.96	1388.16	1322.37	571.05	1059.11	1769.57	1295.13	1216.75	1111.82	1745.2	591.22	2004.85	1651.0	1662.49	1594.73	1617.0	1277.29	1417.35	1977.24	1757.34	2148.82	0.0	0.01	1519.15	660.68	4095.0	2061.24	3018.3	2777.33	2835.7	1819.35
FAM122A	165.57	194.36	209.84	133.36	214.27	171.45	189.02	204.07	170.25	189.02	186.4	163.28	170.25	204.07	267.73	208.38	232.94	264.03	234.57	244.57	348.71	249.73	285.03	264.03	198.47	205.5	223.41	253.23	181.28	241.19	242.88	246.28	314.17	249.73	260.38	251.48	190.34	205.5	307.69	206.94	208.38	249.73	265.87	246.28	190.34	209.84	260.38	172.65	228.13	309.83	226.54	229.72	190.34	204.07	170.25	132.44	172.65	163.28	181.28	226.54	224.97	129.69	190.34	189.02	204.07	181.28	166.73	305.55	167.9	201.25	228.13	147.06	246.28	199.85	191.67	185.11	0.0	0.22	208.38	139.07	115.97	172.65	209.84	154.42	145.02	144.01
FAM153A	12.45	26.28	37.85	6.73	4.5	0.0	11.13	39.79	51.71	104.42	17.64	17.13	23.59	15.8	68.55	37.59	16.63	36.79	16.88	23.08	46.84	2.12	21.47	17.0	9.27	46.84	10.71	53.95	31.9	6.16	7.94	4.98	39.79	28.04	40.36	20.86	12.0	24.11	33.54	20.86	28.86	67.59	17.13	34.02	6.26	17.13	80.01	0.62	9.56	31.67	16.03	63.0	23.59	45.21	76.17	0.0	13.52	1.3	0.0	0.0	3.11	8.71	0.0	0.0	3.17	0.96	12.64	3.14	13.62	13.42	15.45	13.22	0.95	6.94	10.88	3.59	0.0	0.58	0.0	5.68	1.11	3.38	0.46	10.55	1.99	1.58
FAM160B2	693.58	1322.37	1697.45	1233.75	1769.57	1044.52	1936.53	1870.53	1551.09	1594.73	1896.65	1044.52	1151.06	1529.73	1832.01	1322.37	1088.92	1745.2	2796.65	2018.8	1447.15	1794.29	1199.98	1628.26	2468.49	2319.15	1059.11	2287.2	1883.54	1225.22	872.1	1781.89	1639.59	1127.35	1991.0	1417.35	1769.57	1963.57	2032.85	1857.6	1508.65	1674.06	1277.29	2193.99	1407.55	1427.22	1896.65	1628.26	1199.98	2148.82	2209.26	2502.97	1806.78	1250.98	1674.06	120.94	400.71	320.8	277.2	620.67	579.04	463.65	624.99	540.19	651.58	551.56	733.19	665.29	651.58	441.64	532.74	205.5	432.53	525.39	624.99	669.92	0.0	1.19	115.97	616.37	438.59	669.92	620.67	503.95	348.71	251.48
FAM27E3	39.5	50.98	29.7	17.25	25.35	44.57	29.06	23.08	9.7	22.75	45.21	14.35	31.45	37.05	55.49	45.53	16.51	47.84	334.46	90.77	21.01	59.97	28.24	75.11	131.51	136.19	40.64	82.87	32.13	19.39	30.56	100.13	32.82	14.03	90.14	8.13	120.1	22.26	161.02	127.0	12.36	165.57	42.41	143.01	80.01	38.12	77.25	123.5	14.89	132.44	38.95	105.15	65.72	21.47	162.14	3.29	0.0	2.84	3.53	5.59	4.24	0.0	2.41	13.62	11.04	8.13	11.21	11.47	5.02	6.62	8.85	13.52	3.38	7.0	13.42	5.96	0.0	0.49	5.5	2.92	6.78	24.11	5.82	1.16	7.22	0.82
FAM90A1	0.18	6.52	7.28	1.6	11.13	4.94	9.78	18.29	15.22	8.25	10.31	10.31	1.6	6.46	20.11	10.88	10.55	20.56	13.93	13.52	12.0	22.43	7.22	17.13	5.73	8.25	3.38	21.16	7.46	10.31	11.13	28.45	16.27	5.96	10.08	15.8	10.16	33.78	11.38	11.55	5.59	20.11	1.69	12.83	9.93	7.22	11.04	14.14	12.74	31.0	8.71	17.38	14.78	8.78	31.0	1.73	0.0	6.36	2.29	13.03	1.51	1.25	0.53	1.39	1.99	5.96	9.34	5.59	2.81	5.15	4.78	1.89	2.07	6.78	9.56	8.85	0.0	0.27	2.68	6.31	4.13	10.79	8.51	1.66	1.85	0.0
