	TCGA.E9.A1QZ.01A.21R.A169.07	TCGA.EW.A1PG.01A.11R.A144.07	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A18J.11A.31R.A12D.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.BH.A0BM.11A.12R.A089.07	TCGA.BH.A0DL.11A.13R.A115.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	GTEX.1211K.1926.SM.5EQLB	GTEX.1122O.1226.SM.5H113	GTEX.145ME.1526.SM.5Q5F2	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.145LU.1326.SM.5LU9N	GTEX.WQUQ.1926.SM.4OOSA	GTEX.11NUK.1226.SM.5P9GM	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.13N2G.0926.SM.5IFGJ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.VUSG.0126.SM.4KL1X
NIP7	376.41	1066.48	511.0	599.49	525.39	379.04	470.14	583.07	575.03	392.44	571.05	409.15	559.28	368.65	599.49	395.18	785.88	595.34	563.18	189.02	463.65	248.0	444.72	249.73	186.4	318.57	212.78	289.02	226.54	205.5	236.21	166.73	232.94	265.87	165.57	532.74	258.57	285.03	466.88	532.74	332.14	329.84	435.55	166.73	198.47	389.72	258.57	532.74	137.14	309.83	165.57	178.77	450.94	246.28	358.54	395.18	426.57	224.97	277.2	269.6	305.55	403.5	323.03	248.0	148.09	379.04	214.27	163.28	215.77	241.19	323.03
NOB1	708.18	1397.83	1242.34	1313.23	1769.57	974.5	1781.89	1143.1	1697.45	1508.65	2004.85	1457.23	1151.06	1119.56	1819.35	1617.0	1397.83	1199.98	713.11	454.09	759.08	587.13	1135.2	551.56	384.34	412.0	583.07	493.56	665.29	551.56	579.04	529.06	457.25	603.67	503.95	587.13	540.19	540.19	1081.39	1498.22	638.15	551.56	1167.14	521.76	470.14	708.18	438.59	819.3	358.54	748.61	603.67	819.3	1191.69	343.89	974.5	1208.34	1617.0	444.72	480.04	633.73	688.78	1088.92	429.54	813.63	303.44	1583.71	555.41	346.29	647.07	486.75	599.49
NOLC1	1208.34	2193.99	1159.07	1417.35	1268.46	961.07	1175.27	1233.75	1277.29	1088.92	1397.83	1167.14	1388.16	1023.0	1388.16	1259.69	1417.35	988.12	476.71	470.14	941.27	441.64	796.86	500.46	587.13	638.15	633.73	616.37	466.88	587.13	423.61	371.22	540.19	595.34	454.09	1111.82	591.22	486.75	1096.5	1540.37	693.58	567.1	1191.69	529.06	409.15	813.63	567.1	878.17	309.83	620.67	297.17	571.05	1923.14	432.53	915.51	819.3	1167.14	571.05	521.76	665.29	775.05	1051.79	698.41	547.75	497.0	1233.75	521.76	412.0	518.15	483.38	780.44
NOP56	2271.4	3168.41	1896.65	2148.82	1594.73	1617.0	1806.78	1674.06	1936.53	2090.03	2061.24	2287.2	1923.14	1639.59	2400.97	1437.15	3540.14	2895.31	1199.98	753.83	1225.22	1697.45	2303.12	848.22	1369.04	954.43	723.08	728.11	693.58	1023.0	651.58	368.65	728.11	775.05	738.29	1175.27	842.36	878.17	1721.16	1844.76	708.18	947.83	1781.89	525.39	486.75	896.64	698.41	872.1	796.86	1216.75	759.08	555.41	1909.85	638.15	1529.73	1397.83	2816.11	595.34	921.88	595.34	1216.75	1151.06	872.1	518.15	1135.2	1340.84	616.37	154.42	698.41	728.11	854.13
NUFIP1	101.54	191.67	124.37	111.21	170.25	95.34	154.42	111.21	159.9	115.97	154.42	110.43	125.24	107.38	127.89	127.89	135.24	111.21	49.21	44.25	77.79	62.12	79.45	53.19	36.27	38.95	56.68	49.21	51.35	54.72	47.84	35.5	49.56	52.82	38.12	74.06	66.18	40.64	85.82	69.03	64.8	58.71	106.63	30.34	57.08	64.8	48.52	68.55	49.56	56.68	34.75	53.95	46.84	49.21	49.21	59.55	99.43	53.57	46.5	43.63	65.26	100.83	59.13	29.27	36.79	113.56	29.91	18.7	55.89	43.63	27.64
PA2G4	2777.33	4010.71	2193.99	2555.58	2468.49	1857.6	2303.12	2319.15	2400.97	2163.77	3146.52	2434.5	2319.15	2119.22	3325.99	2468.49	5147.73	2537.92	2271.4	1051.79	1561.89	1277.29	2287.2	1119.56	1183.45	1350.18	1183.45	1216.75	1208.34	1407.55	988.12	974.5	934.76	1407.55	1096.5	1331.57	1457.23	878.17	2271.4	2451.44	1417.35	1498.22	1896.65	866.07	1286.18	1572.76	1313.23	2018.8	808.0	1369.04	665.29	1427.22	2240.11	947.83	1628.26	2209.26	2255.7	1242.34	921.88	1605.83	1936.53	2193.99	1295.13	1313.23	890.44	2303.12	1225.22	890.44	1250.98	1104.13	1191.69
PAK1IP1	323.03	738.29	423.61	368.65	371.22	299.25	305.55	368.65	305.55	279.14	409.15	387.02	384.34	320.8	503.95	336.79	629.35	463.65	218.79	181.28	287.01	218.79	220.32	156.59	133.36	175.07	198.47	187.71	162.14	193.01	181.28	43.63	189.02	159.9	181.28	343.89	193.01	152.28	438.59	429.54	265.87	242.88	356.05	161.02	170.25	327.56	186.4	346.29	107.38	218.79	75.64	171.45	406.31	110.43	281.09	287.01	476.71	164.42	185.11	237.86	269.6	376.41	193.01	185.11	134.3	429.54	202.66	69.03	157.68	185.11	150.17
PNO1	412.0	860.08	409.15	450.94	358.54	325.29	293.07	379.04	351.14	269.6	420.68	371.22	423.61	318.57	444.72	318.57	460.44	400.71	400.71	167.9	267.73	206.94	265.87	185.11	126.12	183.82	208.38	182.55	139.07	182.55	155.5	117.6	139.07	151.22	169.07	358.54	178.77	158.79	358.54	420.68	251.48	212.78	332.14	148.09	156.59	301.33	221.86	409.15	102.97	226.54	84.04	205.5	325.29	173.85	281.09	307.69	353.59	186.4	171.45	264.03	299.25	318.57	194.36	195.72	170.25	373.81	176.29	105.89	183.82	159.9	217.27
POLR3C	842.36	753.83	612.11	579.04	748.61	536.45	733.19	543.96	647.07	591.22	708.18	579.04	647.07	559.28	738.29	656.11	759.08	785.88	703.28	183.82	334.46	198.47	265.87	205.5	173.85	206.94	224.97	229.72	202.66	255.0	209.84	149.12	189.02	262.2	177.53	314.17	169.07	136.19	279.14	493.56	195.72	329.84	397.93	161.02	229.72	366.09	214.27	351.14	156.59	123.5	146.03	265.87	406.31	125.24	289.02	258.57	358.54	267.73	175.07	258.57	234.57	620.67	127.89	212.78	171.45	470.14	154.42	81.71	287.01	175.07	173.85
PPP1R8	954.43	1015.93	848.22	802.41	915.51	848.22	921.88	813.63	848.22	896.64	819.3	825.0	928.3	854.13	1044.52	854.13	1104.13	896.64	842.36	289.02	432.53	309.83	400.71	379.04	371.22	441.64	476.71	348.71	299.25	392.44	283.05	297.17	275.28	420.68	293.07	343.89	346.29	283.05	521.76	660.68	429.54	412.0	470.14	299.25	376.41	511.0	379.04	490.14	217.27	371.22	264.03	426.57	444.72	260.38	460.44	500.46	457.25	392.44	358.54	500.46	497.0	575.03	289.02	320.8	281.09	525.39	295.11	218.79	329.84	426.57	392.44
PSME3	2682.69	3124.78	1781.89	1594.73	1457.23	1561.89	1397.83	1457.23	1721.16	1487.87	1572.76	1639.59	1674.06	1572.76	2004.85	1628.26	3491.39	1806.78	1896.65	660.68	872.1	808.0	796.86	674.59	791.35	884.29	967.76	1030.12	665.29	759.08	547.75	728.11	638.15	866.07	540.19	1023.0	713.11	651.58	1407.55	1561.89	967.76	974.5	1208.34	579.04	733.19	1151.06	884.29	1350.18	316.37	836.53	273.37	947.83	1313.23	536.45	890.44	1183.45	1183.45	825.0	612.11	921.88	1088.92	1286.18	638.15	674.59	507.46	1304.15	616.37	532.74	878.17	674.59	780.44
PWP1	1191.69	1088.92	1073.91	884.29	995.0	954.43	878.17	941.27	941.27	825.0	961.07	921.88	854.13	872.1	1088.92	780.44	1369.04	1225.22	1457.23	403.5	571.05	389.72	629.35	426.57	363.56	493.56	540.19	525.39	426.57	529.06	384.34	341.51	403.5	426.57	395.18	521.76	392.44	309.83	854.13	825.0	511.0	543.96	583.07	343.89	511.0	563.18	629.35	780.44	373.81	466.88	309.83	579.04	688.78	417.77	486.75	603.67	587.13	563.18	343.89	420.68	575.03	674.59	426.57	497.0	325.29	738.29	483.38	312.0	555.41	454.09	307.69
QTRTD1	283.05	441.64	309.83	343.89	358.54	267.73	351.14	295.11	441.64	293.07	260.38	297.17	336.79	303.44	320.8	275.28	256.78	281.09	146.03	94.01	146.03	115.16	120.1	115.97	92.05	108.9	110.43	103.69	60.39	112.77	69.03	52.82	80.57	98.73	75.11	171.45	85.82	69.52	161.02	193.01	129.69	91.41	154.42	72.01	115.97	130.6	81.71	193.01	47.84	91.41	73.54	73.03	158.79	51.35	115.16	118.43	228.13	106.63	97.36	103.69	156.59	147.06	89.51	102.25	77.25	214.27	71.0	31.9	75.64	60.82	97.36
RAB35	753.83	703.28	753.83	878.17	674.59	723.08	698.41	884.29	791.35	688.78	785.88	842.36	830.75	723.08	791.35	688.78	860.08	802.41	599.49	332.14	414.87	237.86	389.72	318.57	376.41	389.72	400.71	389.72	277.2	303.44	228.13	262.2	275.28	409.15	295.11	532.74	239.52	417.77	555.41	647.07	384.34	387.02	463.65	287.01	312.0	432.53	297.17	389.72	198.47	395.18	205.5	312.0	497.0	229.72	432.53	529.06	463.65	376.41	336.79	379.04	356.05	490.14	226.54	305.55	395.18	353.59	251.48	204.07	536.45	314.17	551.56
RAN	8598.28	13123.73	6983.79	6121.9	5594.3	4937.99	4575.41	5711.87	6164.49	5292.48	7589.61	5995.9	6381.92	4802.93	7537.18	5791.62	10585.95	6426.31	5403.7	2875.3	4038.61	3540.14	5633.22	2935.74	3372.43	3235.01	3419.52	2855.44	3081.75	2875.3	2645.74	2627.46	2664.15	2997.45	3081.75	3768.09	3146.52	2090.03	7749.1	7230.1	4038.61	4268.94	4450.27	2178.83	3103.19	4671.57	3124.78	5041.77	1331.57	3874.05	1397.83	3168.41	6294.04	2627.46	5255.91	6516.03	5403.7	2739.08	2468.49	3491.39	5872.48	4972.34	3190.46	3146.52	1991.0	5292.48	3018.3	2400.97	3515.68	3103.19	3768.09
RRAGA	2004.85	2935.74	2555.58	2193.99	2209.26	2148.82	2047.0	1991.0	2240.11	1819.35	2895.31	2061.24	2240.11	2090.03	2701.35	2240.11	2193.99	2451.44	1883.54	1447.15	1605.83	1159.07	1819.35	1191.69	995.0	1151.06	2351.53	1617.0	1199.98	1572.76	1457.23	1286.18	1378.57	1378.57	1242.34	1662.49	1437.15	1250.98	2335.28	2591.27	1540.37	1806.78	2400.97	1135.2	1498.22	2018.8	2271.4	1870.53	743.43	1844.76	769.69	1909.85	1781.89	1199.98	1806.78	1540.37	1369.04	2075.59	1183.45	1477.58	1583.71	1936.53	1674.06	1651.0	1059.11	1977.24	1104.13	1594.73	1806.78	1583.71	1498.22
RRP15	406.31	490.14	341.51	273.37	251.48	253.23	269.6	226.54	275.28	193.01	204.07	316.37	224.97	283.05	343.89	228.13	532.74	435.55	217.27	91.41	141.02	102.25	138.1	82.29	52.82	82.29	125.24	100.13	122.64	105.89	59.55	59.97	84.04	96.01	59.97	135.24	84.63	50.63	218.79	181.28	158.79	88.26	199.85	61.25	63.45	194.36	116.78	173.85	36.79	63.45	60.82	193.01	208.38	76.71	116.78	220.32	153.34	69.52	63.45	105.89	122.64	177.53	80.01	81.14	62.56	236.21	64.34	63.89	79.45	100.13	173.85
RSL1D1	4066.71	3955.48	4419.52	4802.93	6840.04	2976.74	4802.93	3901.01	5403.7	4123.49	5112.16	4066.71	4038.61	3325.99	5555.65	4512.4	6516.03	4419.52	3614.55	1088.92	2119.22	1001.93	2720.15	981.29	902.89	1216.75	1551.09	1191.69	1111.82	1477.58	1268.46	551.56	1023.0	1242.34	1073.91	1407.55	1191.69	928.3	2645.74	3349.13	1259.69	1331.57	2104.58	909.17	1104.13	1870.53	1111.82	2351.53	684.02	1104.13	796.86	1551.09	1883.54	909.17	2075.59	1628.26	2451.44	1397.83	902.89	1397.83	1605.83	1832.01	1487.87	1259.69	591.22	2573.36	1199.98	1051.79	961.07	934.76	1044.52
RSL24D1	1572.76	2178.83	2148.82	1977.24	3060.45	1388.16	2485.67	2018.8	2287.2	1896.65	3124.78	1991.0	2018.8	1806.78	2537.92	2335.28	2271.4	1583.71	1685.71	669.92	1104.13	733.19	902.89	638.15	595.34	802.41	860.08	567.1	723.08	796.86	688.78	309.83	669.92	669.92	616.37	848.22	866.07	473.41	1304.15	1378.57	878.17	825.0	1037.29	536.45	624.99	928.3	684.02	1183.45	599.49	612.11	571.05	633.73	1250.98	555.41	1583.71	981.29	921.88	688.78	703.28	679.29	890.44	995.0	669.92	651.58	660.68	921.88	599.49	647.07	733.19	688.78	656.11
RWDD1	1662.49	1769.57	1769.57	1225.22	1427.22	1437.15	1268.46	1417.35	1225.22	1378.57	1745.2	1639.59	1407.55	1572.76	1857.6	1407.55	1617.0	1519.15	2133.97	890.44	1044.52	830.75	1135.2	748.61	791.35	947.83	1030.12	665.29	896.64	802.41	928.3	241.19	759.08	638.15	941.27	629.35	1104.13	486.75	1963.57	1457.23	1277.29	1191.69	1208.34	583.07	866.07	1286.18	1359.57	1295.13	633.73	733.19	559.28	1073.91	1088.92	884.29	1457.23	1407.55	1233.75	909.17	1030.12	981.29	1508.65	1023.0	961.07	860.08	656.11	1259.69	967.76	698.41	1066.48	1104.13	836.53
SAA1	44761.41	19214.73	56265.94	51775.15	22692.63	209994.66	23492.92	161367.56	29327.18	22225.61	29327.18	47974.16	61999.83	151608.43	69271.73	22225.61	373305.21	155870.75	2068278.89	1290947.48	21172.91	2343119.96	1715263.94	1668359.93	585779.24	912837.43	2845004.48	4194303.0	13215.02	2126426.15	520665.48	9673.69	1221310.69	789181.81	2011721.67	3336720.86	3178687.03	606436.73	772940.66	506427.83	706337.4	1085552.95	951601.81	531605.79	900270.11	998912.34	1012856.65	1070607.81	45072.75	1775752.63	332.14	800198.39	875652.15	520665.48	1255646.43	811368.76	1204496.53	701458.36	573724.06	2097151.0	1055868.42	875652.15	1535204.12	839981.65	711250.37	1229805.58	1364554.84	789181.81	828417.36	1327240.99	1116072.03
SBDS	2997.45	2956.17	3325.99	3491.39	2720.15	3257.52	2664.15	3325.99	2468.49	2451.44	3168.41	2701.35	3690.52	3212.66	4152.18	2434.5	3742.05	3257.52	4607.24	1628.26	2351.53	1781.89	2287.2	1806.78	1331.57	1923.14	2018.8	1832.01	1923.14	2075.59	1561.89	1350.18	1605.83	1697.45	1540.37	1794.29	1844.76	1794.29	3168.41	4010.71	1844.76	1950.0	2224.63	1617.0	1250.98	2875.3	1781.89	2271.4	1295.13	1540.37	1051.79	2018.8	2255.7	1378.57	1819.35	2240.11	2104.58	1950.0	2163.77	2209.26	2090.03	2956.17	2018.8	2032.85	1259.69	2875.3	1551.09	1769.57	2255.7	1487.87	1583.71
SDAD1	813.63	995.0	872.1	665.29	748.61	595.34	708.18	591.22	674.59	660.68	713.11	698.41	571.05	688.78	723.08	674.59	825.0	769.69	633.73	289.02	339.14	318.57	361.04	262.2	297.17	206.94	414.87	305.55	305.55	297.17	189.02	124.37	224.97	271.48	239.52	353.59	253.23	283.05	438.59	583.07	373.81	361.04	441.64	220.32	176.29	368.65	267.73	536.45	156.59	256.78	125.24	246.28	466.88	183.82	341.51	356.05	457.25	249.73	279.14	323.03	395.18	409.15	234.57	258.57	215.77	420.68	256.78	180.02	237.86	228.13	229.72
SERPINB1	2303.12	2319.15	1551.09	1008.9	1313.23	1457.23	1143.1	1909.85	1127.35	934.76	1183.45	1286.18	1268.46	1388.16	1936.53	1225.22	2133.97	1331.57	1378.57	532.74	1175.27	651.58	1159.07	878.17	669.92	909.17	2664.15	536.45	500.46	603.67	463.65	293.07	884.29	780.44	540.19	1844.76	532.74	389.72	2537.92	2835.7	1857.6	988.12	1561.89	318.57	656.11	1617.0	559.28	890.44	273.37	1037.29	379.04	647.07	2855.44	616.37	2148.82	1159.07	1378.57	674.59	651.58	718.08	2032.85	928.3	555.41	660.68	571.05	836.53	728.11	339.14	1378.57	775.05	1628.26
SF3A3	1369.04	1806.78	1697.45	1457.23	1268.46	1159.07	1340.84	1216.75	1340.84	1350.18	1551.09	1662.49	1268.46	1286.18	1447.15	1313.23	2018.8	1721.16	1199.98	507.46	718.08	521.76	808.0	587.13	575.03	825.0	785.88	708.18	483.38	723.08	429.54	470.14	412.0	612.11	493.56	738.29	514.56	356.05	1135.2	1119.56	796.86	599.49	836.53	406.31	540.19	1023.0	551.56	830.75	406.31	612.11	397.93	830.75	796.86	406.31	941.27	1066.48	688.78	579.04	476.71	759.08	848.22	825.0	403.5	536.45	426.57	1135.2	607.87	289.02	665.29	571.05	738.29
TCP11L1	94.67	172.65	208.38	191.67	144.01	137.14	148.09	116.78	148.09	146.03	110.43	201.25	171.45	198.47	143.01	98.73	185.11	155.5	116.78	63.89	77.79	39.5	139.07	71.0	72.52	73.54	144.01	59.97	52.45	77.25	60.82	43.02	56.28	109.66	59.13	74.06	67.59	45.85	97.36	167.9	73.54	50.27	108.14	39.79	46.5	56.68	78.89	74.06	48.18	68.07	49.91	62.56	76.17	55.49	69.52	103.69	71.0	82.87	57.08	80.57	118.43	80.01	87.65	122.64	63.0	81.14	108.9	36.53	177.53	52.82	84.04
TMEM185B	327.56	669.92	525.39	571.05	638.15	417.77	547.75	447.82	529.06	438.59	532.74	486.75	525.39	473.41	493.56	473.41	460.44	358.54	182.55	143.01	169.07	102.97	159.9	133.36	96.68	131.51	183.82	148.09	83.45	197.09	100.83	105.15	152.28	151.22	93.35	299.25	151.22	115.97	255.0	361.04	180.02	167.9	295.11	81.71	138.1	205.5	143.01	198.47	48.87	117.6	72.01	181.28	339.14	82.87	204.07	202.66	206.94	154.42	113.56	115.97	158.79	289.02	156.59	84.04	76.71	281.09	108.14	66.65	229.72	101.54	152.28
TRMT10C	540.19	674.59	703.28	559.28	718.08	521.76	642.59	591.22	693.58	466.88	656.11	500.46	688.78	486.75	651.58	551.56	733.19	529.06	559.28	384.34	490.14	551.56	480.04	400.71	202.66	297.17	507.46	409.15	339.14	406.31	426.57	151.22	384.34	325.29	361.04	540.19	454.09	429.54	785.88	483.38	356.05	460.44	616.37	325.29	376.41	599.49	684.02	703.28	242.88	536.45	163.28	426.57	551.56	392.44	518.15	414.87	379.04	426.57	336.79	400.71	559.28	551.56	500.46	392.44	329.84	435.55	285.03	139.07	358.54	414.87	327.56
TRMT6	457.25	432.53	271.48	316.37	303.44	244.57	269.6	267.73	283.05	204.07	244.57	253.23	329.84	269.6	332.14	246.28	409.15	325.29	212.78	94.01	162.14	118.43	163.28	92.7	98.73	108.9	175.07	138.1	100.83	122.64	94.01	57.08	93.35	118.43	90.77	165.57	141.02	102.25	190.34	291.04	165.57	157.68	171.45	76.17	86.43	146.03	127.89	283.05	87.65	124.37	62.56	128.79	258.57	62.12	133.36	170.25	217.27	102.25	100.13	108.14	187.71	217.27	95.34	110.43	79.45	234.57	99.43	63.0	121.79	115.97	150.17
TSR1	314.17	718.08	503.95	518.15	497.0	381.68	500.46	441.64	493.56	444.72	450.94	486.75	493.56	409.15	500.46	438.59	728.11	563.18	381.68	165.57	256.78	214.27	248.0	177.53	97.36	135.24	221.86	248.0	158.79	258.57	139.07	104.42	151.22	251.48	142.01	291.04	169.07	161.02	358.54	563.18	231.32	211.31	361.04	186.4	187.71	256.78	171.45	389.72	120.1	195.72	134.3	249.73	497.0	98.04	211.31	283.05	540.19	182.55	170.25	244.57	267.73	379.04	163.28	198.47	155.5	497.0	190.34	88.88	198.47	190.34	204.07
UTP14A	336.79	525.39	353.59	406.31	371.22	332.14	432.53	351.14	463.65	417.77	511.0	412.0	387.02	346.29	444.72	389.72	507.46	299.25	211.31	117.6	215.77	204.07	271.48	134.3	198.47	161.02	176.29	135.24	128.79	144.01	114.36	80.01	143.01	120.94	126.12	248.0	129.69	108.9	373.81	392.44	158.79	164.42	249.73	98.73	116.78	206.94	158.79	182.55	84.04	185.11	99.43	127.89	256.78	101.54	301.33	191.67	273.37	143.01	124.37	176.29	211.31	199.85	162.14	112.77	80.01	256.78	144.01	58.3	140.04	130.6	134.3
UTP3	669.92	647.07	660.68	743.43	674.59	595.34	703.28	703.28	688.78	603.67	848.22	629.35	785.88	575.03	713.11	713.11	1015.93	647.07	624.99	412.0	571.05	312.0	483.38	403.5	343.89	239.52	525.39	483.38	346.29	532.74	438.59	177.53	441.64	450.94	387.02	813.63	460.44	473.41	708.18	703.28	571.05	493.56	928.3	279.14	500.46	775.05	563.18	753.83	332.14	450.94	224.97	525.39	909.17	403.5	947.83	563.18	507.46	563.18	480.04	454.09	518.15	769.69	361.04	325.29	466.88	624.99	341.51	194.36	490.14	447.82	529.06
VAPA	4836.35	6381.92	4268.94	4123.49	4181.07	3716.2	4038.61	4575.41	4152.18	3614.55	4388.98	4038.61	4671.57	3690.52	5183.54	4512.4	4038.61	3515.68	4210.15	2075.59	3212.66	2178.83	2627.46	2303.12	1857.6	2178.83	5147.73	2367.9	2163.77	2303.12	1950.0	1844.76	2664.15	2287.2	2104.58	2796.65	2682.69	1844.76	4671.57	4671.57	2855.44	2434.5	3443.31	2148.82	2193.99	3540.14	2895.31	3540.14	1322.37	2591.27	1104.13	2701.35	3491.39	2303.12	3665.02	3303.0	2701.35	2976.74	1794.29	2555.58	3018.3	2997.45	2468.49	2682.69	1617.0	2997.45	2018.8	2163.77	2835.7	2520.38	2816.11
WDR1	3467.27	5219.6	3419.52	4268.94	3303.0	3060.45	3124.78	3716.2	4152.18	2956.17	4671.57	3901.01	4639.29	3589.58	5517.27	3901.01	3665.02	3690.52	1651.0	1721.16	1977.24	1721.16	1540.37	1991.0	1369.04	1457.23	2367.9	1923.14	1685.71	1709.26	1551.09	1819.35	1662.49	2061.24	1883.54	2555.58	1191.69	1015.93	3614.55	4836.35	2104.58	2609.3	2271.4	1135.2	1909.85	3124.78	1487.87	2485.67	947.83	1757.34	934.76	1832.01	3443.31	1191.69	1963.57	2701.35	2090.03	2209.26	1008.9	1628.26	2178.83	3235.01	1896.65	1628.26	1277.29	2591.27	1407.55	1378.57	2240.11	1605.83	2047.0
WDR43	406.31	1397.83	723.08	665.29	669.92	414.87	638.15	511.0	728.11	518.15	633.73	575.03	624.99	497.0	698.41	473.41	981.29	633.73	540.19	231.32	444.72	194.36	363.56	185.11	151.22	256.78	265.87	287.01	218.79	251.48	167.9	115.97	267.73	234.57	187.71	543.96	260.38	220.32	521.76	543.96	251.48	249.73	567.1	239.52	154.42	420.68	199.85	466.88	149.12	256.78	165.57	212.78	587.13	154.42	275.28	348.71	669.92	177.53	199.85	348.71	341.51	633.73	204.07	297.17	193.01	599.49	197.09	198.47	208.38	201.25	242.88
WTAP	1407.55	2451.44	1963.57	1806.78	2303.12	1529.73	1883.54	1769.57	1709.26	1447.15	1896.65	2004.85	1936.53	1709.26	1963.57	1806.78	1806.78	1417.35	1023.0	529.06	825.0	551.56	961.07	607.87	866.07	638.15	1044.52	638.15	497.0	669.92	511.0	323.03	599.49	620.67	547.75	866.07	620.67	480.04	802.41	1135.2	836.53	603.67	854.13	567.1	414.87	759.08	607.87	1199.98	457.25	414.87	503.95	460.44	1963.57	329.84	1286.18	703.28	764.36	647.07	525.39	551.56	1044.52	713.11	660.68	547.75	450.94	866.07	444.72	403.5	934.76	547.75	860.08
XRN2	1540.37	1883.54	1350.18	1073.91	1331.57	954.43	1359.57	1159.07	1242.34	1340.84	1059.11	1286.18	1304.15	1199.98	1427.22	1225.22	1870.53	1407.55	1208.34	470.14	660.68	409.15	665.29	532.74	454.09	540.19	878.17	624.99	438.59	679.29	379.04	297.17	417.77	633.73	429.54	769.69	420.68	417.77	836.53	1037.29	775.05	607.87	878.17	409.15	547.75	813.63	718.08	1268.46	334.46	638.15	307.69	723.08	753.83	353.59	651.58	728.11	642.59	780.44	373.81	612.11	679.29	775.05	414.87	616.37	361.04	836.53	389.72	423.61	665.29	470.14	599.49
YTHDF2	1477.58	1487.87	1467.37	1407.55	1605.83	1167.14	1551.09	1359.57	1794.29	1191.69	1498.22	1286.18	1487.87	1313.23	1407.55	1487.87	1199.98	1059.11	947.83	567.1	872.1	571.05	808.0	669.92	525.39	665.29	759.08	708.18	647.07	674.59	555.41	384.34	738.29	620.67	521.76	872.1	679.29	612.11	813.63	866.07	785.88	647.07	1088.92	579.04	579.04	1037.29	684.02	1143.1	480.04	688.78	571.05	571.05	954.43	669.92	967.76	591.22	848.22	651.58	651.58	738.29	947.83	785.88	514.56	500.46	718.08	842.36	417.77	314.17	785.88	708.18	723.08
