	TCGA.FJ.A871.01A.11R.A352.07	TCGA.GU.A767.01A.11R.A32O.07	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.S3XE.1126.SM.4AD4N	GTEX.P4PP.1426.SM.3NM9L	GTEX.ZZ64.0726.SM.5GZX4	GTEX.ZGAY.2126.SM.4YCFB	GTEX.13VXT.2426.SM.5LU46	GTEX.O5YW.1426.SM.3MJHF	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.B8.5552.11A.01R.1672.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.97.7552.01A.11R.2039.07	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	TCGA.AJ.A3BK.01A.11R.A19W.07	TCGA.A5.A2K7.01A.11R.A180.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07	TCGA.N5.A4RF.01A.11R.A28V.07	TCGA.N8.A4PM.01A.11R.A28V.07
SMAD4	169.07	171.45	277.2	603.67	473.41	265.87	450.94	660.68	825.0	1135.2	928.3	1359.57	1175.27	1331.57	1369.04	629.35	285.03	435.55	674.59	2224.63	131.51	1030.12	175.07	429.54	748.61	267.73	848.22	825.0	947.83	318.57	93.35	723.08	571.05	165.57	279.14	157.68	165.57	376.41	244.57
SMPDL3A	32.82	87.65	1769.57	3515.68	18.56	271.48	50.27	269.6	6164.49	2319.15	5517.27	1819.35	2119.22	961.07	2047.0	503.95	38.4	493.56	305.55	329.84	518.15	769.69	693.58	470.14	575.03	551.56	1242.34	190.34	153.34	224.97	228.13	669.92	941.27	94.67	35.0	204.07	144.01	161.02	66.65
SOS2	79.45	144.01	170.25	277.2	92.05	163.28	180.02	173.85	620.67	500.46	620.67	476.71	559.28	423.61	514.56	327.56	177.53	234.57	232.94	748.61	47.84	366.09	144.01	208.38	265.87	373.81	217.27	249.73	303.44	150.17	211.31	218.79	214.27	68.55	126.12	142.01	57.49	118.43	88.26
SYTL2	62.56	175.07	31.45	145.02	130.6	161.02	42.41	191.67	2664.15	1350.18	2758.13	1225.22	1769.57	785.88	2451.44	83.45	69.52	111.21	205.5	2367.9	23.42	1583.71	215.77	620.67	547.75	447.82	256.78	497.0	353.59	295.11	387.02	1794.29	2047.0	40.64	62.12	29.7	25.17	58.71	96.01
TTBK2	18.97	16.03	16.75	83.45	47.17	19.25	61.68	56.28	38.95	83.45	53.95	70.51	58.3	70.51	74.06	70.01	37.59	26.67	66.65	172.65	9.93	98.04	28.24	58.3	76.71	39.22	43.32	63.45	83.45	40.07	59.13	57.49	47.84	13.72	23.93	8.65	11.47	28.24	18.29
UBL3	187.71	204.07	703.28	860.08	381.68	211.31	346.29	237.86	1427.22	860.08	1639.59	718.08	753.83	738.29	1127.35	400.71	77.25	307.69	265.87	1286.18	94.01	866.07	208.38	420.68	490.14	406.31	379.04	642.59	500.46	212.78	387.02	507.46	915.51	84.63	144.01	87.03	101.54	148.09	117.6
USP38	60.39	57.08	150.17	128.79	85.22	99.43	123.5	137.14	356.05	269.6	289.02	281.09	289.02	228.13	277.2	204.07	70.51	185.11	143.01	507.46	44.89	297.17	85.22	182.55	198.47	242.88	194.36	177.53	309.83	129.69	113.56	130.6	127.0	57.89	88.26	124.37	67.12	108.9	81.71
VPS4B	204.07	218.79	1781.89	529.06	466.88	258.57	309.83	583.07	1781.89	1216.75	1628.26	1104.13	1159.07	1044.52	1304.15	1359.57	132.44	616.37	1628.26	1457.23	149.12	995.0	297.17	728.11	679.29	273.37	753.83	543.96	595.34	327.56	368.65	941.27	1135.2	242.88	281.09	201.25	201.25	373.81	220.32
WASL	148.09	265.87	660.68	547.75	198.47	371.22	271.48	435.55	1674.06	1167.14	1709.26	1030.12	1277.29	813.63	1350.18	607.87	470.14	432.53	438.59	1605.83	329.84	890.44	514.56	417.77	733.19	665.29	486.75	583.07	616.37	587.13	301.33	500.46	507.46	173.85	258.57	193.01	363.56	283.05	204.07
ZNF106	120.94	63.0	95.34	260.38	285.03	107.38	215.77	181.28	299.25	441.64	295.11	595.34	441.64	429.54	392.44	507.46	363.56	170.25	476.71	698.41	51.35	460.44	155.5	348.71	198.47	279.14	234.57	305.55	299.25	172.65	293.07	251.48	258.57	75.64	86.43	53.19	71.5	114.36	97.36
ZNF41	18.84	31.22	120.1	123.5	80.57	61.68	67.12	77.79	135.24	141.02	140.04	115.97	114.36	122.64	121.79	78.89	45.21	65.26	80.01	183.82	18.43	149.12	53.95	99.43	85.22	97.36	86.43	108.14	111.21	80.57	97.36	115.97	83.45	17.38	27.84	28.86	18.84	48.18	23.25
ZNF699	4.35	13.32	14.03	25.35	15.0	10.24	12.45	27.84	42.41	22.59	43.63	50.27	37.32	34.75	36.27	32.36	14.24	4.98	22.43	77.79	7.17	40.07	16.03	28.04	47.17	0.95	15.68	32.59	44.57	8.58	10.08	30.12	25.35	1.35	2.53	0.0	6.67	1.41	1.07
