	GTEX.QLQW.0526.SM.4R1KS	GTEX.ZF2S.1226.SM.4WWAX	GTEX.X585.1226.SM.46MW7	GTEX.13G51.0926.SM.5IFFU	TCGA.D6.6824.01A.11R.1915.07	TCGA.CV.7261.11A.01R.2016.07	TCGA.CV.7440.11A.01R.2187.07	TCGA.CV.7101.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7424.11A.01R.2081.07	TCGA.CV.6934.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.H7.A6C5.11A.11R.A30B.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.CV.6935.11A.01R.1915.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	TCGA.55.8512.01A.11R.2403.07	TCGA.85.7697.01A.11R.2125.07	TCGA.IN.AB1V.01A.21R.A414.31
LY75	98.73	161.02	161.02	159.9	555.41	140.04	242.88	267.73	199.85	262.2	470.14	206.94	316.37	201.25	134.3	79.45	14.67	28.65	47.84	21.16	47.17	53.57	18.7	19.68	11.82	2.86	43.63	18.03	10.88	14.35	16.03	9.56	8.85	24.28	11.3	4.94	25.91	15.56	14.78	215.77	153.34	242.88
LYZ	10883.59	12676.65	1605.83	14163.58	40341.14	18304.63	122293.5	828417.36	941.27	17437.64	1055868.42	22850.48	1273174.62	1662.49	85283.74	24832.5	8538.88	2835.7	5329.3	2520.38	12764.83	6079.61	1111.82	8538.88	295.11	947.83	1721.16	2915.45	1519.15	2609.3	2573.36	353.59	155.5	1322.37	128.79	190.34	3168.41	1923.14	403.5	42937.97	28328.16	24321.43
MACC1	147.06	351.14	175.07	198.47	633.73	211.31	595.34	473.41	303.44	620.67	493.56	638.15	279.14	316.37	258.57	76.71	11.04	11.21	0.03	9.48	4.03	2.36	0.85	6.52	2.07	1.58	2.34	27.84	0.88	2.66	1.83	13.22	2.12	3.63	0.71	0.04	1.83	23.42	13.03	212.78	131.51	633.73
MAP3K15	4.82	3.03	1.97	1.79	0.87	3.59	3.29	12.27	6.78	8.85	2.92	13.42	4.74	6.94	2.86	3.76	6.36	1.69	1.75	2.46	1.75	0.0	0.0	1.46	3.69	0.64	2.81	5.87	6.16	0.0	2.43	0.0	1.66	2.61	1.48	0.82	0.69	1.57	0.0	8.0	2.48	4.86
MID1	154.42	277.2	199.85	189.02	281.09	231.32	389.72	356.05	299.25	334.46	301.33	209.84	314.17	178.77	177.53	167.9	150.17	67.12	44.57	69.52	81.14	59.97	43.63	71.5	36.53	53.19	92.7	65.72	69.52	20.86	84.63	25.91	65.26	32.13	30.34	40.93	60.82	59.13	71.0	269.6	190.34	301.33
MIEF2	251.48	368.65	211.31	376.41	218.79	214.27	198.47	206.94	379.04	279.14	279.14	473.41	262.2	260.38	224.97	185.11	109.66	61.25	102.97	181.28	176.29	195.72	77.25	98.04	52.82	164.42	176.29	176.29	152.28	175.07	99.43	73.54	80.57	71.5	95.34	71.5	108.9	90.77	103.69	318.57	120.94	189.02
MSMB	11112.3	3395.89	4210.15	22380.2	105727.15	130.6	32315.87	24153.43	21.01	2335.28	40341.14	2520.38	348306.01	1572.76	5366.37	7.17	3.14	0.72	0.0	0.82	2.39	0.0	0.0	0.74	4.7	6.26	28.24	2.34	1.43	8.65	2.76	6.67	1.69	0.0	3.69	0.53	5.96	2.86	0.0	35856.82	17927.91	22850.48
MUC1	11424.74	19214.73	3564.78	11664.82	15607.02	9606.86	17558.94	9025.81	12076.21	7966.99	32540.65	17804.06	17078.76	8598.28	20881.4	29.06	9.41	38.12	3.14	6.26	2178.83	9.78	75.11	69.03	76.17	5.06	99.43	81.71	2537.92	281.09	48.52	120.94	0.0	3639.7	25.17	6.31	19.39	129.69	2.01	46986.85	4769.75	24832.5
NSUN7	126.12	166.73	58.71	89.51	73.54	81.14	87.03	152.28	106.63	87.65	336.79	72.01	249.73	84.63	88.88	19.82	6.01	1.14	2.66	2.89	5.68	4.39	5.54	5.77	2.27	4.28	10.55	2.1	2.32	0.65	0.0	21.32	13.32	15.91	15.45	3.96	0.0	2.53	16.51	289.02	25.91	164.42
NWD1	24.46	22.26	21.78	20.56	60.82	9.06	36.79	47.84	9.2	105.15	713.11	13.52	603.67	43.32	3.99	0.0	0.0	0.49	0.52	0.42	1.45	0.0	0.0	0.0	0.0	0.37	0.52	0.44	0.0	1.6	0.0	0.0	0.47	0.0	0.4	0.54	0.0	0.43	0.45	441.64	18.97	108.14
NXPE2	23.08	94.67	90.14	59.55	251.48	4.17	14.89	75.11	0.79	6.26	85.82	5.19	96.68	0.74	44.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.52	0.0	0.0	0.0	1.85	6.06	43.02	121.79
PABPC1L2A	6.06	12.0	2.61	19.25	8.58	0.0	0.0	6.78	0.74	0.72	0.0	0.0	18.56	0.0	1.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.78	3.56	7.0
PIP	6.26	43.02	14.45	111.99	2384.37	1191.69	6471.02	205673.01	73.54	1594.73	148488.36	5329.3	100023.92	40.36	6250.56	16.15	24.81	0.0	7.88	2.2	6.62	0.0	0.0	32.36	1.75	0.0	0.0	0.31	4.24	7.63	0.16	0.0	0.0	0.0	0.03	0.0	2.71	0.0	2.46	3467.27	1540.37	127.0
PLAC8	5751.61	5555.65	532.74	3103.19	1857.6	5791.62	8363.13	8963.45	8363.13	5517.27	6471.02	8901.53	4481.23	5711.87	5403.7	7081.29	1167.14	314.17	256.78	1059.11	1030.12	3564.78	397.93	4937.99	379.04	532.74	967.76	400.71	191.67	287.01	197.09	132.44	80.57	476.71	341.51	109.66	2319.15	229.72	379.04	2178.83	1498.22	10225.32
POLR1D	4419.52	4450.27	4450.27	3982.99	2664.15	3665.02	3280.18	3103.19	3847.29	3467.27	4388.98	3146.52	3589.58	3168.41	3124.78	1159.07	1397.83	1427.22	753.83	1242.34	1030.12	941.27	878.17	1407.55	1081.39	1313.23	854.13	1369.04	954.43	624.99	1088.92	1427.22	718.08	796.86	890.44	995.0	974.5	941.27	796.86	2240.11	1819.35	3564.78
PRB3	10.88	50.63	9.56	49.56	4.17	703.28	7966.99	527933.71	3.53	5183.54	408505.64	10959.3	104996.83	10.79	7433.4	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.41	1.66	8.13	0.0	21768.19	4239.45	12.93
PRH2	1216.75	2032.85	307.69	6381.92	27.64	7857.29	16045.82	447025.24	57.08	8963.45	286861.53	9808.75	73221.53	36.01	17681.08	10.0	0.0	8.78	18.84	0.0	17.0	0.0	0.0	0.0	17.51	0.0	18.7	0.0	10.0	0.0	0.0	0.0	0.0	0.0	21.94	0.0	0.0	21.47	0.0	5041.77	4388.98	1781.89
PRKCD	947.83	1286.18	842.36	836.53	769.69	1030.12	1151.06	1208.34	1242.34	1081.39	1697.45	981.29	896.64	934.76	884.29	392.44	127.89	82.29	122.64	190.34	291.04	197.09	110.43	334.46	94.67	129.69	139.07	258.57	161.02	180.02	103.69	64.8	60.82	71.5	63.89	84.63	223.41	103.69	147.06	1023.0	536.45	1662.49
PRR4	17197.56	22380.2	8840.04	53973.86	28923.41	65082.31	368165.8	2904784.09	297.17	47313.67	2884719.27	92680.9	3832885.91	571.05	200048.85	180.02	173.85	129.69	178.77	199.85	119.26	149.12	67.59	123.5	121.79	154.42	96.68	115.97	133.36	144.01	190.34	187.71	162.14	78.89	148.09	97.36	88.88	108.14	123.5	85283.74	71714.63	38966.94
PRX	47.17	40.07	79.45	38.95	38.67	42.11	19.68	42.11	71.5	54.72	48.52	40.07	44.25	23.25	26.1	39.5	21.16	18.03	24.46	26.47	31.67	10.0	12.27	13.42	11.82	14.35	14.78	19.53	25.35	36.53	14.56	6.52	12.09	23.59	3.06	2.2	19.25	25.17	11.55	163.28	27.84	37.59
PSORS1C1	115.16	41.52	447.82	232.94	142.01	37.32	35.0	32.36	93.35	74.06	13.93	88.26	46.18	9.56	3.32	3.59	19.68	1.08	4.5	2.78	1.62	0.0	0.16	4.66	3.0	0.0	0.21	74.58	14.35	20.41	0.0	10.39	1.51	0.16	1.3	0.0	25.17	15.0	5.15	72.01	172.65	438.59
REXO2	2075.59	2240.11	1733.13	2018.8	1870.53	1806.78	1407.55	1519.15	2047.0	1896.65	1167.14	2163.77	2555.58	2148.82	2075.59	1059.11	1242.34	1322.37	819.3	1111.82	1037.29	915.51	1721.16	1844.76	759.08	1001.93	974.5	866.07	1008.9	684.02	860.08	1051.79	1313.23	1051.79	988.12	497.0	1073.91	909.17	1096.5	1304.15	2335.28	1617.0
RNASEL	241.19	309.83	217.27	133.36	265.87	134.3	208.38	253.23	209.84	279.14	187.71	223.41	271.48	178.77	154.42	102.97	53.57	99.43	19.25	71.5	90.14	99.43	2.43	61.68	6.67	53.19	78.34	44.89	31.67	42.71	34.75	18.16	22.26	9.93	28.65	43.32	55.89	68.07	17.51	137.14	144.01	262.2
RNF39	191.67	368.65	480.04	1104.13	242.88	316.37	890.44	532.74	1407.55	974.5	753.83	1304.15	327.56	301.33	866.07	12.74	5.36	2.16	1.58	0.73	9.93	4.74	0.32	11.73	0.83	0.0	5.63	23.93	2.73	2.56	0.71	0.8	2.05	2.01	0.0	1.03	2.41	0.0	8.78	187.71	248.0	909.17
RPIA	551.56	567.1	441.64	612.11	423.61	723.08	486.75	591.22	620.67	536.45	483.38	633.73	518.15	511.0	514.56	167.9	71.5	139.07	62.56	72.52	155.5	96.01	169.07	152.28	115.16	92.05	127.89	66.65	77.25	65.72	88.88	101.54	68.55	119.26	95.34	50.63	116.78	80.01	73.03	392.44	483.38	353.59
RXFP4	0.0	0.0	0.0	2.07	1.1	1.22	0.39	1.22	3.89	1.25	0.39	0.42	3.86	2.71	1.3	0.0	0.0	0.0	0.0	0.0	4.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	1.58	2.51
SAMD9	490.14	1487.87	460.44	438.59	633.73	769.69	1111.82	1088.92	1259.69	2104.58	348.71	2400.97	91.41	1674.06	1350.18	85.82	35.25	59.97	28.04	74.06	84.63	81.71	7.57	14.14	9.48	22.1	49.91	23.25	15.8	30.78	34.02	11.91	16.75	20.26	15.11	12.27	44.57	18.43	8.65	92.7	389.72	1529.73
SCGB3A2	13.72	281.09	8.19	170.25	146.03	175.07	25005.23	5147.73	1.58	172.65	2178.83	376.41	62865.33	3.92	368.65	0.0	0.0	2.53	0.0	3.86	2.18	0.0	6.11	0.0	0.0	0.0	3.53	1.01	0.0	0.0	1.58	3.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10585.95	102.25	29.91
SCN3B	5.82	10.47	38.95	18.03	22.59	21.94	14.45	4.13	13.03	51.71	8.71	17.38	18.84	4.78	21.32	13.32	1.16	6.31	3.32	0.49	2.56	1.22	0.54	1.48	0.55	0.89	0.61	0.52	0.05	1.35	0.48	0.54	0.05	2.34	0.46	0.09	0.48	1.62	4.35	7.51	8.45	7.22
SERPINB6	2956.17	3349.13	2502.97	4239.45	2255.7	2555.58	2271.4	1832.01	3168.41	2434.5	2502.97	2796.65	3515.68	2739.08	3190.46	2004.85	1044.52	934.76	780.44	1015.93	1037.29	1216.75	915.51	1844.76	651.58	1277.29	967.76	1350.18	819.3	764.36	921.88	743.43	665.29	769.69	1151.06	624.99	1709.26	902.89	1313.23	3257.52	1417.35	2351.53
SH2D1B	70.01	127.89	11.47	13.83	33.06	61.68	201.25	356.05	143.01	129.69	41.81	414.87	8.92	149.12	120.1	29.48	7.82	4.06	4.58	5.15	13.83	19.68	7.88	8.19	10.0	9.48	6.46	3.79	2.78	21.63	8.13	3.5	5.45	10.0	8.0	18.97	19.39	4.86	4.24	14.67	12.27	285.03
SLC25A23	1313.23	2609.3	1037.29	1583.71	656.11	2367.9	1044.52	1794.29	2835.7	2004.85	1199.98	2468.49	599.49	1685.71	1540.37	928.3	748.61	384.34	518.15	1096.5	878.17	1487.87	395.18	587.13	221.86	848.22	1498.22	607.87	603.67	620.67	551.56	703.28	890.44	559.28	571.05	860.08	748.61	651.58	1529.73	830.75	620.67	2148.82
SMARCA4	1757.34	2224.63	1936.53	2351.53	1844.76	2335.28	1806.78	2591.27	3060.45	2335.28	2224.63	2956.17	1407.55	2609.3	2400.97	575.03	642.59	323.03	454.09	403.5	305.55	376.41	409.15	669.92	679.29	466.88	379.04	559.28	454.09	287.01	432.53	503.95	275.28	514.56	454.09	115.97	463.65	624.99	397.93	1757.34	1709.26	2555.58
SPECC1	454.09	981.29	334.46	376.41	753.83	197.09	872.1	642.59	583.07	599.49	743.43	723.08	343.89	395.18	454.09	130.6	312.0	9.56	11.82	13.32	36.53	40.07	13.83	75.64	14.67	4.31	25.54	194.36	1.07	17.64	5.32	52.82	12.45	5.11	5.92	9.27	21.32	28.45	39.22	260.38	153.34	1340.84
STATH	96.68	228.13	97.36	1498.22	149.12	13033.07	2627.46	309589.14	159.9	3168.41	307450.64	6983.79	26800.01	66.18	46019.85	2.73	2.94	0.0	4.03	0.0	1.85	1.5	0.0	1.75	0.89	0.0	0.0	0.0	0.0	1.83	0.99	0.0	0.0	0.0	0.0	0.0	1.11	0.0	0.0	133.36	579.04	75.11
STK39	921.88	1561.89	728.11	1487.87	860.08	1051.79	1286.18	1427.22	1519.15	1051.79	1208.34	1259.69	1909.85	796.86	1073.91	146.03	37.32	27.84	9.06	7.82	47.17	16.63	5.68	21.94	14.78	9.27	19.97	52.08	7.51	10.96	7.11	21.78	8.19	13.93	8.99	8.06	40.07	20.86	15.8	423.61	312.0	802.41
STMND1	2.01	2.2	0.0	0.0	12.36	0.29	16.63	3.08	32.36	25.17	563.18	29.06	775.05	80.57	7.0	6.21	0.0	0.0	0.0	0.0	3.06	0.0	0.0	13.32	2.78	20.11	0.0	0.0	10.55	7.46	0.0	18.16	6.26	0.0	1.31	7.0	0.0	0.0	12.55	559.28	14.78	0.41
SYK	518.15	532.74	414.87	414.87	620.67	738.29	684.02	733.19	796.86	947.83	490.14	587.13	353.59	825.0	808.0	476.71	90.77	57.89	48.18	115.97	148.09	228.13	57.49	271.48	33.3	49.91	135.24	108.14	46.5	111.21	78.34	16.63	28.65	36.53	18.84	10.55	129.69	53.95	36.79	215.77	389.72	339.14
TMEM173	1519.15	842.36	1208.34	1378.57	2997.45	1769.57	2627.46	2468.49	2591.27	1844.76	3395.89	1540.37	3325.99	1991.0	2739.08	1081.39	441.64	226.54	208.38	287.01	341.51	283.05	221.86	629.35	141.02	134.3	293.07	305.55	194.36	255.0	165.57	178.77	134.3	125.24	133.36	77.25	291.04	148.09	293.07	3280.18	1088.92	1359.57
TMEM213	2.25	3.72	14.89	1.71	28.45	2.36	23.08	69.52	2.53	13.22	193.01	10.47	90.77	2.78	20.56	1.35	2.18	0.0	0.0	3.63	0.64	0.0	0.0	0.0	2.94	0.51	0.0	3.69	0.6	0.69	0.0	0.0	0.6	5.73	0.0	0.66	0.0	0.0	0.0	40.36	16.75	2.66
TMEM61	164.42	255.0	149.12	183.82	70.01	45.21	83.45	83.45	64.34	60.39	229.72	38.12	339.14	29.06	47.17	20.41	11.91	0.0	0.0	0.0	5.11	0.0	0.0	9.85	0.0	6.36	0.0	9.06	2.23	4.06	4.28	0.0	0.0	4.7	1.03	0.0	0.0	10.79	0.0	152.28	22.59	115.97
TMPRSS11B	4802.93	11035.54	9088.59	9474.59	11.21	5672.41	708.18	2956.17	8022.41	8247.98	651.58	25887.07	0.0	4972.34	4903.87	0.23	3.08	0.0	0.8	0.08	0.89	0.0	0.45	0.51	0.09	0.0	0.71	0.34	0.36	1.04	1.1	0.56	0.77	0.35	0.95	0.72	0.43	0.99	0.0	0.0	80.57	3443.31
TNFRSF11A	71.0	104.42	82.87	135.24	68.07	122.64	54.72	123.5	148.09	64.8	118.43	157.68	82.87	62.56	97.36	45.85	7.82	17.13	5.23	27.44	50.63	58.71	17.25	20.86	11.64	4.7	4.31	25.54	10.63	7.88	28.24	1.69	1.75	3.92	5.02	0.02	8.71	7.17	18.29	48.87	30.34	159.9
TRERF1	265.87	291.04	123.5	209.84	173.85	142.01	251.48	147.06	167.9	236.21	80.57	154.42	115.16	162.14	153.34	48.52	19.39	8.19	8.51	10.55	26.28	9.2	0.11	12.18	4.5	3.2	9.78	11.47	4.06	15.56	5.96	5.92	7.88	4.46	2.66	5.73	10.39	12.09	7.51	125.24	148.09	185.11
TRIM2	183.82	842.36	808.0	860.08	848.22	563.18	813.63	693.58	674.59	1001.93	866.07	890.44	1066.48	351.14	346.29	73.54	52.08	138.1	131.51	126.12	60.82	84.04	130.6	87.03	120.94	47.17	61.25	111.99	88.26	127.0	56.28	69.03	175.07	60.39	80.01	40.07	50.27	80.01	108.14	872.1	480.04	780.44
UNC5B	902.89	392.44	435.55	336.79	384.34	599.49	503.95	536.45	493.56	684.02	447.82	358.54	312.0	368.65	518.15	183.82	61.25	37.85	29.48	41.81	68.07	36.79	8.06	46.18	15.68	22.59	89.51	96.68	22.1	45.21	27.84	11.64	14.89	23.08	9.56	4.54	35.0	37.05	38.12	256.78	389.72	470.14
UPK1B	41.81	309.83	35.25	45.53	4543.8	429.54	20030.74	2335.28	3039.3	7180.15	5147.73	5441.3	5995.9	1963.57	289.02	33.06	0.0	8.06	0.0	0.0	81.14	3.11	0.0	3.96	1.58	1.45	3.08	15.0	20.26	0.0	0.0	15.45	0.0	0.0	7.0	0.0	7.17	0.0	7.57	915.51	7857.29	79.45
VILL	1322.37	629.35	1216.75	497.0	934.76	100.83	1359.57	1096.5	314.17	759.08	1963.57	173.85	1167.14	376.41	95.34	133.36	57.89	13.62	6.84	26.1	96.01	31.9	5.96	21.16	27.84	23.76	27.84	40.07	11.82	31.45	10.88	7.06	3.41	13.12	9.2	4.31	30.78	15.45	5.87	974.5	265.87	1159.07
ZG16B	4704.07	8022.41	2287.2	10585.95	5006.93	28525.2	10296.45	148488.36	403.5	5183.54	217400.14	5006.93	185362.8	368.65	40341.14	409.15	928.3	5.92	74.06	9.56	125.24	18.84	1.81	1437.15	18.56	5.68	17.38	27.25	23.25	214.27	2.48	0.0	3.56	18.97	12.45	5.73	6.94	24.11	17.77	4903.87	2224.63	3372.43
ZNF554	80.01	153.34	95.34	64.34	55.89	71.5	41.52	71.0	94.01	120.94	50.63	115.16	55.89	75.11	43.02	37.32	42.41	31.45	20.71	64.8	34.26	45.85	18.84	20.86	31.45	39.5	32.82	36.01	35.25	43.02	44.25	30.12	63.45	24.81	37.85	31.0	28.65	32.59	43.32	68.07	69.03	84.63
ZNF555	70.51	143.01	83.45	75.11	58.3	65.26	30.78	58.3	44.89	126.12	69.03	178.77	53.19	63.0	53.57	38.12	18.84	35.5	32.59	25.17	36.53	30.34	20.86	53.57	21.01	30.34	24.46	23.76	30.56	31.9	11.82	19.97	31.22	17.77	21.78	16.03	12.55	25.35	26.67	35.76	55.1	89.51
ZNF763	58.3	52.45	100.83	51.35	38.4	34.51	21.32	26.47	36.27	44.25	28.45	47.17	44.89	40.36	22.43	42.41	31.67	13.12	15.22	27.44	9.2	11.04	7.11	26.67	6.52	16.27	11.38	21.32	15.22	34.26	11.82	9.63	26.47	11.47	7.82	4.35	5.82	16.88	1.6	58.71	25.17	62.12
