	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A902.01A.11R.A37O.07	TCGA.LP.A4AU.01A.32R.A32Y.07	TCGA.C5.A7CL.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A97I.01A.11R.A38D.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7430.01A.11R.2132.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.90.A4ED.01A.31R.A24Z.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
GOLGA8A	204.07	297.17	273.37	1685.71	1119.56	679.29	1427.22	5633.22	1685.71	603.67	1733.13	2119.22	2004.85	1594.73	4095.0	4358.66	2664.15	1806.78	1883.54	1015.93	1605.83	18.97	18.84	866.07	255.0	1096.5	217.27	12.83	595.34	60.82	131.51	647.07	660.68	356.05	647.07	70.51	172.65	218.79	121.79	363.56	575.03	47.84	198.47	39.5	41.81	241.19	228.13	17.13	10.08	688.78	23.08	934.76	124.37	176.29	764.36	32.36	102.97	18.97	1594.73	97.36	14.56
HECTD4	303.44	133.36	432.53	473.41	447.82	497.0	463.65	493.56	457.25	329.84	547.75	457.25	409.15	397.93	567.1	1216.75	780.44	373.81	507.46	287.01	633.73	86.43	209.84	339.14	271.48	334.46	202.66	122.64	178.77	312.0	293.07	269.6	435.55	249.73	265.87	190.34	314.17	236.21	154.42	265.87	348.71	251.48	351.14	265.87	119.26	271.48	248.0	209.84	148.09	373.81	153.34	239.52	255.0	177.53	309.83	145.02	182.55	154.42	616.37	229.72	253.23
HSF4	217.27	68.07	329.84	633.73	629.35	2520.38	669.92	529.06	813.63	301.33	466.88	743.43	2468.49	1427.22	988.12	5292.48	1883.54	2502.97	1733.13	638.15	1037.29	133.36	32.36	616.37	60.82	884.29	275.28	37.59	775.05	73.03	406.31	438.59	237.86	287.01	334.46	119.26	130.6	348.71	130.6	157.68	325.29	80.57	412.0	35.76	47.84	88.26	136.19	151.22	82.29	155.5	55.49	698.41	133.36	121.79	753.83	63.45	85.82	57.49	1923.14	135.24	25.17
KIAA0895L	136.19	57.49	202.66	299.25	305.55	1008.9	334.46	348.71	339.14	239.52	1407.55	647.07	802.41	397.93	848.22	1508.65	1519.15	909.17	1088.92	366.09	780.44	40.93	63.0	215.77	88.26	239.52	182.55	74.58	435.55	81.14	194.36	187.71	336.79	157.68	176.29	94.01	159.9	113.56	85.22	111.21	170.25	100.13	132.44	35.0	98.04	104.42	162.14	115.97	88.26	348.71	89.51	212.78	71.5	72.52	256.78	100.13	121.79	124.37	660.68	130.6	21.78
KIAA0907	189.02	429.54	503.95	1487.87	890.44	1909.85	764.36	902.89	947.83	555.41	698.41	764.36	1340.84	1397.83	2240.11	1977.24	1709.26	1008.9	1378.57	836.53	1104.13	209.84	218.79	454.09	190.34	775.05	312.0	153.34	450.94	103.69	341.51	379.04	327.56	555.41	579.04	242.88	242.88	255.0	220.32	142.01	417.77	281.09	275.28	220.32	198.47	307.69	193.01	287.01	275.28	420.68	204.07	387.02	161.02	320.8	323.03	291.04	253.23	152.28	1923.14	116.78	180.02
KIAA1875	1.46	3.5	4.43	24.99	15.22	37.05	44.89	39.79	49.21	5.77	108.9	20.41	37.59	39.22	17.9	74.06	68.55	23.08	12.27	33.3	43.94	0.0	0.88	15.68	1.75	13.52	3.44	0.84	13.93	0.0	2.73	4.78	6.89	2.58	7.94	2.01	3.08	3.72	8.0	6.41	11.04	2.18	8.38	2.23	0.0	3.08	2.58	1.83	0.77	2.94	2.76	16.63	1.51	2.92	11.04	0.74	2.34	1.45	79.45	2.58	0.56
KNTC1	312.0	239.52	579.04	1044.52	703.28	1832.01	902.89	1277.29	1059.11	229.72	540.19	1268.46	1350.18	214.27	1781.89	1950.0	1883.54	791.35	665.29	769.69	1923.14	83.45	104.42	323.03	107.38	341.51	283.05	81.71	490.14	142.01	181.28	277.2	157.68	281.09	353.59	140.04	368.65	162.14	232.94	149.12	281.09	166.73	457.25	120.94	277.2	167.9	262.2	231.32	204.07	264.03	166.73	256.78	92.7	221.86	289.02	177.53	155.5	61.25	1023.0	87.65	18.29
KRT17	425853.18	472513.8	4953441.24	320506.81	116501.39	282912.21	462789.59	350728.68	402881.61	431797.89	365622.68	370726.6	320506.81	368165.8	156954.93	130165.62	57051.4	170568.48	146444.06	475800.4	20170.07	475800.4	971597.0	542775.98	485798.0	400098.69	589853.66	462789.59	453265.5	431797.89	466008.55	716197.51	701458.36	593956.43	437825.58	524287.0	524287.0	440870.9	542775.98	565825.41	645473.24	447025.24	513497.31	368165.8	425853.18	397335.0	546551.29	632189.57	485798.0	450134.56	466008.55	585779.24	912837.43	546551.29	475800.4	284880.02	506427.83	378516.38	104996.83	443937.41	472513.8
LAMA5	633.73	902.89	2319.15	6471.02	2835.7	6207.38	4152.18	12853.63	2935.74	4038.61	2816.11	7382.04	7589.61	3395.89	12076.21	13306.94	13033.07	10084.54	8078.22	5555.65	4181.07	620.67	1208.34	2255.7	974.5	3190.46	1685.71	860.08	3564.78	1143.1	1832.01	2384.37	1378.57	2627.46	2287.2	785.88	3039.3	1073.91	2032.85	1883.54	2287.2	988.12	3039.3	1259.69	1143.1	1508.65	1467.37	2018.8	1437.15	2720.15	1388.16	2573.36	1159.07	1369.04	2537.92	941.27	624.99	738.29	19754.96	1662.49	1111.82
LENG8	532.74	497.0	753.83	1583.71	3103.19	3564.78	1685.71	3467.27	1519.15	2163.77	2573.36	3589.58	3794.3	3081.75	4903.87	8778.97	5517.27	4210.15	5041.77	2032.85	3716.2	271.48	329.84	1447.15	381.68	1883.54	651.58	417.77	1191.69	525.39	830.75	753.83	1519.15	1175.27	2400.97	583.07	547.75	1127.35	981.29	620.67	1044.52	698.41	961.07	438.59	571.05	1015.93	441.64	688.78	447.82	1051.79	480.04	1806.78	420.68	941.27	1250.98	417.77	447.82	339.14	7803.01	559.28	819.3
LHX4	3.2	4.24	3.89	6.52	12.27	15.34	9.85	11.47	10.96	6.06	7.28	12.45	19.68	43.94	42.11	48.87	53.19	12.0	26.86	4.35	22.1	4.24	2.34	16.15	2.01	8.06	2.34	1.69	2.43	3.86	5.19	3.59	6.94	2.34	7.88	6.52	2.39	2.07	2.07	1.69	8.65	6.26	1.87	4.24	1.41	3.86	2.36	3.06	4.74	3.5	1.6	3.17	2.46	5.92	4.24	1.79	3.11	4.46	34.51	2.18	0.13
LY6G5B	34.26	15.22	18.84	215.77	237.86	248.0	159.9	166.73	136.19	89.51	255.0	387.02	291.04	384.34	314.17	543.96	775.05	490.14	341.51	105.89	283.05	2.61	6.01	145.02	44.57	101.54	161.02	2.2	115.97	18.7	139.07	58.3	83.45	102.25	215.77	36.27	68.07	121.79	67.59	32.82	87.65	43.02	94.01	25.54	12.55	57.49	37.85	17.64	9.06	57.49	15.11	93.35	19.97	52.08	121.79	10.31	14.14	13.32	967.76	9.27	48.52
MAN2C1	587.13	665.29	802.41	1605.83	1651.0	2178.83	2240.11	2758.13	2287.2	1529.73	2555.58	2163.77	3146.52	3614.55	7180.15	7433.4	4869.99	2303.12	3124.78	1030.12	1832.01	460.44	387.02	1183.45	392.44	1832.01	954.43	389.72	1477.58	532.74	1044.52	638.15	1477.58	896.64	1977.24	830.75	713.11	928.3	476.71	896.64	1059.11	656.11	1159.07	371.22	234.57	842.36	559.28	656.11	743.43	1225.22	409.15	1073.91	579.04	753.83	1447.15	438.59	616.37	529.06	5403.7	698.41	660.68
MAPK8IP3	417.77	98.73	320.8	543.96	529.06	723.08	1250.98	941.27	934.76	503.95	884.29	1088.92	954.43	1331.57	1745.2	2915.45	1508.65	2303.12	1437.15	366.09	921.88	170.25	127.0	525.39	202.66	961.07	303.44	249.73	684.02	529.06	493.56	318.57	866.07	414.87	1457.23	244.57	723.08	507.46	231.32	403.5	423.61	395.18	414.87	473.41	72.52	536.45	221.86	234.57	191.67	947.83	226.54	591.22	170.25	221.86	642.59	197.09	432.53	220.32	1540.37	159.9	265.87
METTL17	540.19	660.68	738.29	2255.7	1487.87	1721.16	1388.16	1685.71	1529.73	1388.16	2061.24	974.5	1605.83	1561.89	1844.76	2104.58	1745.2	2664.15	1628.26	1167.14	2758.13	595.34	384.34	1151.06	518.15	1407.55	620.67	395.18	1259.69	341.51	878.17	830.75	791.35	1001.93	961.07	603.67	915.51	612.11	1159.07	603.67	1044.52	551.56	1427.22	470.14	346.29	507.46	967.76	423.61	460.44	860.08	490.14	665.29	373.81	743.43	860.08	543.96	656.11	447.82	2104.58	435.55	336.79
MSH5	56.68	120.1	223.41	246.28	497.0	384.34	202.66	312.0	275.28	193.01	511.0	371.22	688.78	255.0	909.17	612.11	1151.06	638.15	387.02	371.22	476.71	18.16	43.94	161.02	31.9	167.9	271.48	34.75	165.57	40.36	141.02	125.24	108.14	85.22	191.67	59.55	115.97	84.63	101.54	73.03	115.16	70.51	94.01	40.64	62.56	67.59	105.89	63.45	43.94	142.01	52.82	197.09	26.86	100.83	125.24	23.42	43.02	34.26	1199.98	38.12	53.95
MSH5-SAPCD1	7.88	4.31	81.14	98.04	164.42	113.56	81.71	68.07	75.64	19.25	65.72	111.21	87.03	48.52	61.68	56.28	221.86	90.77	42.11	37.05	49.21	4.86	11.91	39.79	10.08	60.82	90.77	4.24	53.95	7.11	34.75	27.64	29.27	12.55	10.63	15.0	31.9	32.13	38.95	3.76	9.34	17.25	28.65	10.63	12.0	18.29	18.43	15.34	1.99	38.67	13.52	65.72	0.87	0.0	50.98	2.68	5.68	8.38	214.27	2.94	2.43
MSS51	4.98	4.28	7.22	14.78	26.1	48.18	24.11	31.9	29.27	15.11	33.06	23.93	32.13	25.91	63.0	82.29	103.69	57.08	50.27	13.12	57.89	3.35	2.86	12.45	8.06	21.32	8.51	3.63	14.24	3.86	10.39	8.51	16.75	9.34	22.43	8.99	12.0	13.52	7.46	5.96	13.32	4.58	9.41	4.66	1.43	18.7	7.34	6.26	2.73	9.85	4.31	10.88	4.1	14.45	8.19	1.41	5.54	7.17	101.54	10.39	4.35
MST1	117.6	117.6	466.88	215.77	218.79	320.8	279.14	389.72	214.27	82.29	147.06	251.48	212.78	376.41	173.85	457.25	279.14	208.38	251.48	145.02	273.37	37.05	9.06	165.57	38.67	211.31	91.41	17.64	181.28	33.78	127.0	57.08	220.32	103.69	158.79	43.02	93.35	59.13	29.27	34.75	116.78	18.29	19.68	10.16	15.56	81.71	52.82	29.91	41.81	85.22	27.64	237.86	36.79	56.28	52.08	13.42	55.49	23.59	2271.4	70.01	7.88
NBPF9	237.86	244.57	236.21	379.04	336.79	642.59	316.37	301.33	395.18	232.94	366.09	384.34	567.1	314.17	647.07	693.58	708.18	473.41	536.45	285.03	713.11	62.12	76.71	241.19	187.71	253.23	197.09	121.79	229.72	173.85	156.59	142.01	314.17	214.27	215.77	155.5	212.78	193.01	186.4	189.02	221.86	157.68	197.09	134.3	138.1	209.84	120.1	148.09	101.54	202.66	127.0	242.88	156.59	199.85	202.66	103.69	187.71	73.03	884.29	171.45	136.19
NPHP3	149.12	121.79	108.14	136.19	156.59	363.56	109.66	197.09	132.44	163.28	201.25	295.11	314.17	299.25	426.57	974.5	748.61	323.03	532.74	246.28	232.94	70.01	29.48	137.14	126.12	260.38	62.56	62.12	102.97	30.78	115.16	110.43	110.43	115.16	178.77	63.89	92.05	78.34	75.11	67.12	89.51	70.01	109.66	63.45	61.25	120.1	120.1	80.01	44.57	123.5	51.35	156.59	59.55	67.12	140.04	31.9	48.87	39.79	376.41	41.81	47.17
NPIPA1	551.56	145.02	417.77	1487.87	796.86	1304.15	896.64	988.12	974.5	921.88	1208.34	2682.69	3690.52	2224.63	4010.71	5441.3	6652.97	2075.59	4450.27	896.64	4038.61	31.67	61.25	665.29	400.71	934.76	521.76	111.99	1051.79	153.34	329.84	346.29	423.61	540.19	651.58	205.5	878.17	291.04	423.61	232.94	414.87	371.22	438.59	120.1	120.1	320.8	191.67	229.72	277.2	665.29	242.88	1023.0	178.77	426.57	503.95	165.57	248.0	139.07	2935.74	341.51	273.37
NPIPB11	4.28	1.97	13.32	32.13	28.45	35.0	32.36	55.89	42.11	11.3	47.17	90.77	92.05	54.72	138.1	105.89	100.83	59.97	90.14	39.5	40.07	3.99	3.03	19.11	5.77	37.85	21.01	2.32	29.06	3.53	17.25	21.78	8.78	8.92	16.27	10.55	15.56	15.11	4.86	8.71	13.93	8.32	9.06	7.63	3.14	7.22	4.7	8.0	6.67	9.56	4.06	25.91	3.17	8.25	23.76	10.16	5.23	5.77	55.89	12.09	7.4
NPIPB3	395.18	297.17	748.61	1963.57	1135.2	1277.29	1250.98	1697.45	1605.83	713.11	1651.0	2193.99	2451.44	2895.31	4836.35	3235.01	2976.74	2537.92	2915.45	500.46	1529.73	127.0	198.47	896.64	312.0	830.75	802.41	126.12	890.44	368.65	764.36	759.08	1015.93	387.02	1104.13	450.94	599.49	769.69	414.87	521.76	612.11	507.46	616.37	320.8	267.73	532.74	473.41	591.22	332.14	665.29	264.03	1359.57	244.57	376.41	808.0	258.57	384.34	232.94	4010.71	438.59	493.56
NPIPB4	166.73	81.14	366.09	633.73	733.19	591.22	363.56	1304.15	703.28	536.45	1605.83	1583.71	1991.0	1909.85	3614.55	2319.15	2701.35	1806.78	2061.24	571.05	1697.45	50.27	75.11	603.67	218.79	599.49	368.65	98.73	271.48	211.31	470.14	387.02	563.18	224.97	718.08	353.59	251.48	224.97	206.94	260.38	412.0	205.5	305.55	154.42	139.07	234.57	234.57	301.33	234.57	493.56	148.09	507.46	126.12	353.59	551.56	157.68	183.82	99.43	2739.08	206.94	291.04
NPIPB5	325.29	211.31	432.53	1066.48	1135.2	1277.29	947.83	1417.35	1191.69	1037.29	3901.01	2956.17	3540.14	3847.29	7589.61	4802.93	4869.99	3039.3	3665.02	934.76	3060.45	90.14	91.41	748.61	325.29	954.43	438.59	94.67	432.53	264.03	497.0	698.41	819.3	299.25	1135.2	529.06	299.25	432.53	218.79	353.59	493.56	389.72	269.6	228.13	181.28	575.03	343.89	435.55	232.94	748.61	226.54	669.92	181.28	341.51	753.83	190.34	232.94	91.41	3794.3	279.14	373.81
OTUD3	28.65	17.38	44.89	140.04	175.07	373.81	59.97	88.26	53.95	44.25	65.26	94.01	121.79	88.26	206.94	224.97	237.86	132.44	143.01	48.52	226.54	46.5	46.5	76.71	42.11	61.25	46.5	26.67	35.25	32.36	62.56	50.98	52.08	45.85	64.8	40.36	34.02	43.63	25.91	53.57	50.27	18.84	32.13	46.18	17.9	38.12	73.54	29.91	19.82	98.04	22.26	35.76	29.27	23.08	81.14	16.75	23.08	48.52	87.65	88.88	60.39
PABPC1L	108.14	71.5	113.56	961.07	447.82	457.25	195.72	503.95	285.03	239.52	373.81	836.53	1059.11	518.15	902.89	684.02	1437.15	813.63	854.13	457.25	872.1	38.67	14.14	197.09	40.93	232.94	84.04	16.39	341.51	16.27	198.47	211.31	265.87	53.95	98.73	71.5	152.28	118.43	77.79	57.89	164.42	49.56	147.06	37.32	57.49	84.04	166.73	55.89	27.64	241.19	43.02	629.35	40.93	60.82	234.57	54.72	42.41	17.0	4066.71	74.06	19.11
PIDD	171.45	151.22	169.07	341.51	460.44	327.56	353.59	551.56	269.6	295.11	299.25	629.35	454.09	379.04	432.53	723.08	769.69	417.77	441.64	368.65	417.77	68.55	78.89	209.84	124.37	258.57	138.1	64.34	279.14	96.68	224.97	169.07	215.77	228.13	341.51	138.1	193.01	100.13	138.1	161.02	187.71	120.1	135.24	68.07	111.21	136.19	151.22	129.69	123.5	178.77	98.73	162.14	110.43	226.54	153.34	89.51	155.5	150.17	1340.84	66.18	36.79
PIF1	73.54	80.57	102.97	283.05	285.03	264.03	193.01	371.22	204.07	303.44	325.29	373.81	493.56	94.67	708.18	679.29	603.67	450.94	389.72	211.31	403.5	16.88	9.13	90.77	34.51	134.3	139.07	21.78	178.77	24.63	108.14	72.01	46.84	43.02	68.07	40.07	74.06	40.07	50.27	31.9	155.5	44.89	87.65	9.78	30.34	30.78	90.77	49.91	36.27	236.21	24.63	100.83	8.13	99.43	64.8	20.26	58.71	10.63	273.37	13.83	4.39
PILRB	348.71	157.68	583.07	902.89	1427.22	748.61	616.37	1685.71	921.88	551.56	902.89	1268.46	1529.73	808.0	1447.15	3540.14	4152.18	1467.37	2485.67	1322.37	1322.37	55.1	60.82	551.56	199.85	684.02	309.83	51.71	830.75	120.94	417.77	559.28	872.1	813.63	808.0	173.85	825.0	305.55	251.48	215.77	559.28	211.31	363.56	55.89	163.28	176.29	170.25	218.79	96.01	995.0	94.01	842.36	106.63	248.0	426.57	82.87	183.82	80.01	4575.41	244.57	47.84
PNISR	414.87	414.87	616.37	1407.55	896.64	2777.33	915.51	1457.23	1295.13	684.02	1745.2	1551.09	1991.0	1963.57	2976.74	3874.05	3639.7	2004.85	1350.18	1096.5	2303.12	177.53	176.29	753.83	305.55	1096.5	493.56	244.57	406.31	312.0	591.22	669.92	616.37	884.29	660.68	312.0	483.38	466.88	543.96	368.65	753.83	397.93	521.76	253.23	283.05	511.0	400.71	244.57	329.84	629.35	307.69	529.06	249.73	392.44	884.29	351.14	289.02	265.87	1923.14	307.69	343.89
PPT2-EGFL8	6.84	12.09	40.36	79.45	80.01	46.18	113.56	102.25	124.37	61.25	141.02	69.03	52.08	145.02	115.97	136.19	162.14	115.97	66.18	76.71	55.89	6.41	7.46	80.01	15.8	48.52	20.86	5.92	221.86	14.14	125.24	28.24	119.26	12.93	52.45	19.68	25.17	30.78	15.0	11.82	49.91	27.25	27.05	4.58	10.79	26.47	37.85	5.28	13.12	57.49	2.76	29.48	2.12	28.86	42.41	7.22	38.67	22.26	358.54	29.27	2.68
PROCA1	23.42	17.38	55.49	25.35	28.45	111.99	37.85	33.78	26.47	14.35	21.94	55.1	101.54	48.52	59.55	42.11	61.25	50.63	26.86	37.59	52.82	2.01	8.92	23.42	7.57	30.34	9.7	12.0	68.07	6.84	22.75	14.45	24.11	11.3	23.25	15.0	29.06	12.27	8.45	15.56	7.69	11.21	5.06	10.63	3.32	16.75	6.89	18.43	6.73	6.31	5.19	34.02	11.04	13.32	20.56	7.46	9.2	6.01	215.77	11.13	4.7
PTCD3	351.14	423.61	426.57	780.44	785.88	915.51	884.29	796.86	1044.52	896.64	967.76	1322.37	1457.23	1286.18	1427.22	1617.0	1794.29	1199.98	1378.57	1295.13	1540.37	406.31	432.53	738.29	525.39	934.76	543.96	366.09	507.46	381.68	616.37	629.35	363.56	866.07	599.49	438.59	432.53	454.09	376.41	476.71	684.02	525.39	543.96	400.71	307.69	432.53	571.05	514.56	493.56	825.0	665.29	381.68	406.31	647.07	559.28	521.76	426.57	463.65	1216.75	934.76	507.46
RAD52	50.63	79.45	121.79	197.09	255.0	309.83	249.73	237.86	244.57	67.59	62.56	329.84	209.84	146.03	591.22	466.88	638.15	201.25	323.03	363.56	412.0	101.54	27.25	114.36	71.5	118.43	33.06	39.5	395.18	44.57	49.21	72.01	48.52	40.93	54.72	78.89	77.79	65.26	69.52	57.49	94.67	67.59	55.1	51.71	59.97	62.12	85.22	108.14	27.44	896.64	57.89	108.14	37.05	76.17	108.9	94.01	68.07	34.02	253.23	102.97	31.0
RP11-295P9.3	45.85	41.81	79.45	126.12	226.54	454.09	201.25	229.72	239.52	98.73	123.5	166.73	231.32	297.17	346.29	389.72	563.18	215.77	214.27	80.01	113.56	25.17	22.59	96.68	25.35	127.0	58.71	26.1	127.0	27.25	115.16	69.52	152.28	79.45	114.36	98.04	38.67	73.54	14.03	75.11	112.77	39.5	56.68	25.54	34.26	55.49	53.19	50.63	23.76	56.68	29.06	43.94	46.18	56.68	80.57	31.22	33.78	17.25	633.73	20.86	62.12
RP11-347C12.1	9.63	14.35	50.63	62.12	76.71	140.04	24.46	94.01	49.91	28.86	153.34	118.43	172.65	129.69	177.53	189.02	166.73	139.07	154.42	57.49	149.12	3.56	4.7	64.34	24.11	124.37	72.52	12.93	25.72	29.06	38.12	48.52	12.27	4.74	85.82	52.08	29.27	16.03	45.21	7.4	19.82	15.22	62.56	27.05	6.01	47.84	25.35	27.44	16.63	70.51	7.94	50.63	17.0	38.67	62.12	12.0	21.32	1.99	232.94	23.59	38.95
RP11-468E2.4	11.64	2.73	21.94	24.28	30.78	41.22	25.54	18.56	18.43	20.41	17.9	16.51	41.52	50.27	111.21	128.79	31.9	45.85	35.76	23.25	54.33	2.84	5.82	54.72	11.21	34.75	7.94	7.69	22.92	3.76	16.51	15.8	22.26	20.56	51.71	7.88	21.32	9.48	37.59	9.48	29.27	28.24	11.91	11.3	3.26	14.56	10.79	4.35	13.62	20.71	11.55	14.56	11.3	13.42	35.25	5.82	12.55	4.86	32.59	14.03	18.03
RP4-583P15.15	31.45	10.88	41.22	72.01	77.25	72.01	95.34	93.35	58.71	43.63	57.08	85.82	107.38	148.09	78.89	152.28	106.63	102.97	140.04	56.68	88.88	2.58	5.59	67.12	11.73	29.27	29.91	7.57	96.68	8.58	41.81	31.45	36.79	21.78	70.01	17.9	15.22	19.97	15.8	17.38	31.0	19.82	23.59	13.93	11.91	31.9	23.42	9.7	16.51	14.45	8.51	65.26	12.36	34.02	31.0	6.52	15.45	11.91	262.2	21.63	20.71
RTEL1-TNFRSF6B	43.94	42.41	13.42	217.27	98.73	110.43	75.11	283.05	53.19	165.57	92.05	110.43	158.79	127.89	241.19	341.51	237.86	198.47	154.42	46.18	115.16	11.64	8.19	54.72	16.15	47.5	34.26	14.67	94.01	7.57	32.59	26.1	47.17	24.46	74.58	27.64	54.33	29.7	48.18	22.43	43.02	18.56	68.07	10.31	26.28	36.01	14.67	16.63	31.45	40.64	7.69	62.56	9.78	53.19	35.0	7.4	14.45	6.06	316.37	13.52	22.75
SAPCD1	18.84	8.99	92.05	141.02	239.52	171.45	122.64	71.5	111.99	47.5	64.34	246.28	140.04	99.43	130.6	197.09	392.44	185.11	105.89	96.68	132.44	5.59	4.86	79.45	6.94	66.65	88.26	3.5	67.12	10.71	23.25	32.13	37.85	24.28	91.41	10.96	34.75	34.02	43.02	13.52	31.22	12.74	11.47	4.66	4.94	10.71	40.07	14.14	6.94	27.44	5.73	42.71	12.55	15.68	26.28	3.69	16.88	7.17	547.75	2.92	9.56
SEC31B	12.93	13.62	28.04	116.78	123.5	127.89	123.5	65.26	125.24	120.94	128.79	64.8	159.9	80.01	239.52	567.1	728.11	180.02	208.38	52.82	180.02	10.08	2.92	72.01	14.89	85.82	20.56	3.29	56.68	9.27	50.98	26.86	49.91	70.51	52.82	16.39	21.63	35.5	18.03	24.99	61.68	15.56	24.81	10.08	3.2	40.07	19.39	15.22	6.16	38.12	11.82	30.34	9.27	27.44	59.13	5.36	15.68	9.63	332.14	15.68	8.85
SFI1	170.25	127.89	255.0	713.11	291.04	525.39	256.78	307.69	218.79	226.54	514.56	540.19	620.67	376.41	1135.2	928.3	915.51	536.45	688.78	447.82	872.1	45.53	57.08	211.31	65.72	314.17	116.78	65.26	414.87	111.21	123.5	116.78	204.07	164.42	234.57	118.43	157.68	135.24	116.78	102.97	172.65	126.12	147.06	54.33	111.99	143.01	113.56	93.35	99.43	175.07	78.34	125.24	43.02	107.38	204.07	93.35	147.06	72.52	738.29	85.82	122.64
SGK494	7.94	20.26	40.36	98.04	201.25	409.15	78.34	104.42	64.34	94.01	180.02	346.29	543.96	185.11	236.21	555.41	356.05	167.9	387.02	125.24	172.65	7.69	18.29	86.43	10.47	63.0	71.5	22.59	81.14	27.64	44.89	85.22	36.01	28.45	37.32	38.67	39.22	29.91	35.5	12.36	41.81	23.08	25.35	14.24	20.26	27.25	14.56	15.11	13.32	57.08	21.32	32.59	21.63	25.54	78.89	41.81	27.64	7.34	239.52	32.36	30.78
SLC23A3	9.27	13.52	42.11	47.84	73.54	74.06	35.5	45.53	41.52	45.85	103.69	23.25	150.17	100.83	67.59	1127.35	283.05	102.25	69.52	36.53	59.13	3.17	1.45	25.91	3.14	15.34	8.25	2.39	67.12	3.06	22.1	28.45	25.17	13.42	18.43	11.3	17.64	34.26	10.24	5.92	49.91	4.46	8.0	23.08	5.23	14.24	6.57	21.94	6.41	33.54	1.79	26.67	8.99	19.97	62.12	10.0	7.34	7.57	69.52	31.67	13.42
STK36	55.49	121.79	135.24	514.56	351.14	454.09	181.28	532.74	195.72	166.73	307.69	444.72	728.11	860.08	1059.11	1051.79	995.0	567.1	454.09	483.38	780.44	48.52	72.01	156.59	32.36	299.25	63.89	33.78	209.84	87.65	136.19	127.89	182.55	123.5	242.88	135.24	104.42	104.42	88.88	94.67	166.73	116.78	111.21	57.49	92.05	141.02	96.01	84.63	106.63	241.19	67.12	190.34	90.14	105.89	137.14	63.45	105.89	38.67	1350.18	146.03	28.65
SUGP2	463.65	314.17	379.04	775.05	813.63	941.27	785.88	599.49	819.3	748.61	1081.39	1250.98	1870.53	830.75	1832.01	2739.08	1378.57	909.17	1044.52	1617.0	2119.22	158.79	176.29	575.03	299.25	674.59	612.11	152.28	796.86	217.27	368.65	339.14	403.5	309.83	595.34	251.48	403.5	511.0	595.34	327.56	353.59	343.89	559.28	267.73	258.57	323.03	301.33	181.28	305.55	438.59	303.44	466.88	173.85	303.44	441.64	223.41	262.2	154.42	1313.23	351.14	279.14
