	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.A7.A13E.11A.61R.A12P.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.E9.A1NA.11A.33R.A144.07	GTEX.1211K.1926.SM.5EQLB	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	GTEX.YB5K.1626.SM.5IFIN	GTEX.145ME.1526.SM.5Q5F2	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.BC.A10Y.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.UTHO.2426.SM.4JBHD	GTEX.WQUQ.1926.SM.4OOSA	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.VUSG.0126.SM.4KL1X
KIAA1109	1477.58	909.17	1037.29	974.5	896.64	1088.92	1369.04	1857.6	1477.58	1378.57	974.5	1111.82	860.08	612.11	1685.71	2758.13	753.83	1295.13	343.89	218.79	299.25	260.38	239.52	135.24	124.37	134.3	366.09	406.31	540.19	316.37	543.96	381.68	291.04	195.72	490.14	417.77	223.41	432.53	241.19	366.09	301.33	314.17	476.71	181.28	169.07	163.28	281.09	258.57	480.04	202.66	191.67	96.68	275.28	173.85
KIDINS220	1044.52	708.18	647.07	656.11	660.68	693.58	1023.0	1119.56	1023.0	878.17	656.11	796.86	638.15	764.36	1104.13	1540.37	511.0	366.09	205.5	181.28	293.07	121.79	241.19	120.94	82.87	108.14	206.94	305.55	363.56	264.03	303.44	246.28	277.2	130.6	348.71	314.17	194.36	237.86	155.5	265.87	208.38	178.77	258.57	145.02	83.45	178.77	327.56	112.77	307.69	177.53	122.64	76.71	264.03	146.03
KLHL3	82.29	98.73	66.65	76.17	85.82	92.05	167.9	106.63	115.97	151.22	76.17	84.63	79.45	73.54	149.12	389.72	45.21	127.89	19.82	22.43	19.82	3.96	5.45	25.54	28.04	4.03	34.26	8.51	81.14	52.82	64.34	21.63	11.04	19.25	42.71	19.82	26.47	39.79	13.32	12.64	32.59	58.3	41.81	12.74	5.87	27.44	16.88	25.17	73.54	5.41	28.24	6.41	28.86	7.0
KLHL36	638.15	612.11	490.14	629.35	532.74	532.74	660.68	536.45	703.28	493.56	629.35	669.92	638.15	753.83	450.94	395.18	620.67	1268.46	281.09	273.37	283.05	255.0	103.69	231.32	202.66	159.9	229.72	320.8	466.88	351.14	417.77	271.48	173.85	297.17	336.79	264.03	269.6	336.79	249.73	265.87	193.01	363.56	518.15	215.77	255.0	339.14	151.22	327.56	447.82	293.07	232.94	253.23	231.32	281.09
KMT2E	1199.98	599.49	684.02	547.75	713.11	698.41	1331.57	1322.37	1044.52	995.0	547.75	902.89	669.92	665.29	1023.0	1191.69	406.31	358.54	131.51	211.31	220.32	84.04	158.79	91.41	75.11	82.29	178.77	275.28	500.46	244.57	277.2	197.09	164.42	125.24	269.6	262.2	158.79	193.01	86.43	139.07	147.06	102.25	281.09	90.77	63.45	120.1	145.02	108.14	353.59	115.16	111.99	44.25	118.43	117.6
KRBOX4	336.79	242.88	320.8	264.03	384.34	301.33	447.82	514.56	395.18	397.93	264.03	381.68	316.37	198.47	463.65	665.29	204.07	208.38	139.07	173.85	165.57	164.42	108.9	220.32	182.55	90.77	180.02	237.86	277.2	293.07	224.97	158.79	98.73	147.06	229.72	195.72	98.04	163.28	120.1	134.3	155.5	122.64	244.57	150.17	145.02	110.43	128.79	132.44	329.84	145.02	169.07	95.34	197.09	105.15
KRIT1	830.75	540.19	529.06	466.88	559.28	529.06	854.13	884.29	748.61	775.05	466.88	703.28	563.18	444.72	808.0	1073.91	493.56	698.41	231.32	246.28	242.88	224.97	325.29	161.02	204.07	114.36	299.25	329.84	518.15	363.56	426.57	303.44	218.79	163.28	303.44	361.04	260.38	220.32	138.1	277.2	182.55	267.73	325.29	164.42	153.34	147.06	228.13	151.22	295.11	186.4	215.77	78.89	228.13	140.04
L3MBTL3	167.9	112.77	82.87	82.29	126.12	96.01	164.42	205.5	194.36	128.79	82.29	131.51	122.64	105.89	193.01	165.57	50.98	88.88	51.71	39.22	50.27	21.47	44.89	56.68	15.68	21.01	53.57	23.42	197.09	37.59	71.5	44.25	103.69	25.17	143.01	77.79	54.72	117.6	45.85	45.53	72.52	102.97	42.41	35.76	38.95	32.13	58.71	24.81	147.06	60.82	43.02	26.28	61.25	57.89
LATS1	441.64	242.88	273.37	271.48	264.03	264.03	473.41	656.11	444.72	417.77	271.48	320.8	242.88	223.41	403.5	808.0	138.1	187.71	69.03	65.26	128.79	40.36	58.3	41.81	32.36	44.57	75.64	81.71	110.43	124.37	123.5	84.04	85.82	70.01	101.54	121.79	81.71	96.01	46.5	109.66	80.57	49.21	102.97	31.45	40.64	53.95	64.34	50.27	157.68	71.5	61.68	35.76	82.87	75.64
LHX6	153.34	412.0	271.48	293.07	145.02	555.41	514.56	123.5	283.05	323.03	293.07	205.5	258.57	376.41	323.03	273.37	215.77	480.04	2.32	11.3	40.07	2.23	8.58	7.0	2.97	8.19	23.08	15.56	24.63	15.11	73.03	9.93	5.82	13.32	12.74	20.86	1.57	4.28	4.66	1.68	5.77	9.2	7.0	1.62	5.96	2.43	10.24	8.71	10.71	2.41	1.64	1.27	4.21	11.73
LMBRD1	1857.6	1551.09	1295.13	1617.0	1331.57	1437.15	1674.06	2224.63	1909.85	1832.01	1617.0	1407.55	1199.98	1127.35	1857.6	3589.58	1111.82	1143.1	1008.9	764.36	1331.57	698.41	825.0	656.11	470.14	660.68	1030.12	775.05	1909.85	1369.04	1175.27	934.76	1191.69	1044.52	1119.56	1277.29	1088.92	1088.92	947.83	1119.56	1151.06	1437.15	1051.79	753.83	616.37	684.02	1519.15	1037.29	1832.01	748.61	688.78	1583.71	1295.13	1015.93
MACF1	3060.45	3614.55	2555.58	2976.74	2875.3	3212.66	3349.13	2777.33	3018.3	3742.05	2976.74	3060.45	2777.33	2004.85	2976.74	5633.22	3124.78	1963.57	967.76	988.12	1096.5	796.86	961.07	607.87	559.28	669.92	1151.06	1127.35	1674.06	1304.15	1781.89	1159.07	728.11	825.0	1397.83	1277.29	878.17	1088.92	808.0	1427.22	813.63	723.08	1819.35	559.28	791.35	684.02	738.29	759.08	1806.78	612.11	587.13	307.69	988.12	1081.39
MALT1	325.29	199.85	239.52	239.52	285.03	223.41	366.09	493.56	291.04	363.56	239.52	275.28	197.09	165.57	297.17	629.35	151.22	157.68	133.36	138.1	183.82	118.43	157.68	102.25	41.81	88.26	147.06	229.72	176.29	199.85	224.97	205.5	132.44	158.79	162.14	211.31	138.1	193.01	82.29	176.29	85.82	163.28	157.68	74.58	61.68	108.14	77.25	98.73	208.38	103.69	159.9	71.5	120.1	117.6
MCM9	329.84	182.55	234.57	193.01	249.73	186.4	343.89	463.65	256.78	221.86	193.01	289.02	176.29	212.78	314.17	293.07	110.43	122.64	72.52	60.39	110.43	63.0	67.59	44.89	25.72	35.76	84.04	89.51	114.36	115.16	105.15	73.03	127.0	53.19	114.36	95.34	66.65	71.5	55.49	114.36	59.13	50.63	118.43	41.52	63.89	42.11	56.28	47.84	94.67	29.27	49.21	33.54	102.97	40.93
MFN1	819.3	490.14	514.56	547.75	480.04	507.46	723.08	1037.29	698.41	775.05	547.75	583.07	429.54	460.44	748.61	1088.92	406.31	457.25	155.5	178.77	209.84	157.68	175.07	82.29	129.69	113.56	154.42	307.69	309.83	267.73	277.2	251.48	204.07	111.21	236.21	198.47	157.68	194.36	110.43	220.32	138.1	146.03	147.06	162.14	166.73	142.01	231.32	244.57	265.87	136.19	163.28	51.71	141.02	137.14
MGEA5	2555.58	1923.14	1977.24	2255.7	2148.82	1709.26	2609.3	3372.43	3081.75	2573.36	2255.7	2271.4	1605.83	1769.57	2758.13	3540.14	1508.65	2032.85	633.73	796.86	620.67	728.11	808.0	599.49	444.72	356.05	909.17	915.51	1286.18	866.07	947.83	921.88	723.08	665.29	974.5	1127.35	665.29	860.08	435.55	733.19	665.29	679.29	733.19	616.37	403.5	559.28	486.75	723.08	1662.49	693.58	708.18	583.07	563.18	341.51
MID2	307.69	336.79	265.87	325.29	234.57	343.89	336.79	334.46	379.04	348.71	325.29	295.11	260.38	209.84	309.83	529.06	348.71	301.33	74.06	138.1	117.6	26.67	29.7	62.56	45.21	61.68	66.18	48.87	133.36	105.89	85.82	80.57	95.34	37.85	95.34	86.43	84.63	87.65	48.52	104.42	55.89	55.49	153.34	73.03	41.81	76.71	50.98	53.95	260.38	61.25	32.82	37.32	162.14	177.53
NEK1	199.85	166.73	155.5	166.73	152.28	176.29	211.31	287.01	212.78	211.31	166.73	186.4	146.03	132.44	285.03	353.59	115.16	111.99	51.71	35.0	60.82	34.51	50.63	21.32	29.48	25.35	46.84	88.88	102.97	81.14	74.58	62.12	57.08	28.24	71.5	62.56	41.22	64.34	40.07	66.65	36.53	29.91	81.14	18.56	40.36	24.99	43.63	38.67	74.06	36.27	32.59	42.11	44.57	28.45
NPAT	242.88	161.02	177.53	141.02	177.53	197.09	283.05	384.34	234.57	231.32	141.02	232.94	152.28	185.11	234.57	629.35	99.43	143.01	52.45	52.08	77.79	38.67	62.12	26.67	32.82	31.22	71.5	110.43	108.9	75.11	105.15	70.51	85.22	46.84	85.82	87.03	49.91	79.45	33.3	78.89	47.84	47.5	142.01	42.41	28.04	33.54	33.78	43.02	87.03	49.56	54.72	35.25	47.5	41.81
NPEPPS	1757.34	1023.0	1096.5	1457.23	1044.52	1250.98	1540.37	2240.11	1551.09	1572.76	1457.23	1350.18	1104.13	954.43	2119.22	2319.15	1111.82	1023.0	389.72	454.09	486.75	303.44	285.03	275.28	202.66	277.2	392.44	341.51	400.71	547.75	583.07	417.77	441.64	307.69	414.87	460.44	384.34	463.65	309.83	363.56	283.05	417.77	698.41	466.88	299.25	226.54	511.0	547.75	669.92	163.28	285.03	229.72	536.45	733.19
NUP54	981.29	595.34	693.58	728.11	713.11	764.36	896.64	1295.13	890.44	915.51	728.11	728.11	567.1	698.41	928.3	2119.22	638.15	808.0	273.37	287.01	348.71	293.07	312.0	215.77	199.85	202.66	348.71	387.02	447.82	221.86	507.46	363.56	253.23	303.44	371.22	387.02	229.72	361.04	231.32	339.14	253.23	195.72	395.18	169.07	199.85	214.27	229.72	167.9	450.94	231.32	291.04	120.1	232.94	138.1
PBRM1	708.18	656.11	583.07	651.58	500.46	624.99	848.22	884.29	825.0	785.88	651.58	642.59	620.67	551.56	866.07	1397.83	934.76	780.44	131.51	140.04	220.32	81.14	108.14	76.71	77.25	72.01	128.79	251.48	323.03	187.71	248.0	150.17	208.38	119.26	283.05	301.33	162.14	246.28	111.21	244.57	126.12	124.37	190.34	131.51	86.43	153.34	195.72	157.68	129.69	104.42	75.64	48.87	138.1	262.2
PCDHGA11	32.82	19.11	25.54	23.93	26.86	21.32	22.75	23.76	16.27	27.25	23.93	18.29	34.02	26.1	34.75	33.78	21.47	19.39	4.17	1.77	9.2	1.3	1.27	1.66	0.0	0.73	6.52	4.9	7.22	5.32	11.64	3.17	5.11	2.58	9.78	8.65	5.45	11.73	3.29	5.23	3.63	6.06	11.73	3.5	6.73	0.21	3.2	2.34	10.96	3.53	7.69	3.59	1.64	2.89
PCID2	988.12	703.28	759.08	567.1	656.11	813.63	967.76	1397.83	915.51	878.17	567.1	791.35	748.61	629.35	1277.29	1628.26	669.92	423.61	400.71	571.05	486.75	339.14	567.1	397.93	248.0	343.89	363.56	748.61	486.75	450.94	532.74	511.0	438.59	303.44	444.72	450.94	318.57	403.5	334.46	483.38	379.04	264.03	684.02	441.64	567.1	273.37	206.94	334.46	733.19	320.8	343.89	205.5	466.88	483.38
PCNXL4	698.41	379.04	473.41	480.04	412.0	460.44	693.58	1030.12	638.15	688.78	480.04	483.38	392.44	417.77	934.76	1447.15	320.8	248.0	241.19	180.02	193.01	195.72	79.45	106.63	157.68	80.01	212.78	144.01	166.73	297.17	267.73	260.38	159.9	164.42	187.71	211.31	157.68	205.5	135.24	175.07	191.67	154.42	363.56	114.36	98.73	102.97	132.44	132.44	348.71	211.31	185.11	94.01	117.6	75.64
PEAK1	432.53	536.45	353.59	490.14	279.14	435.55	555.41	348.71	457.25	567.1	490.14	429.54	389.72	297.17	532.74	860.08	327.56	624.99	62.12	50.98	108.14	31.45	42.11	34.26	22.1	29.91	69.52	119.26	237.86	108.9	120.94	76.71	58.71	24.28	82.29	84.63	30.34	61.25	26.28	41.52	38.67	32.36	134.3	31.0	25.91	27.25	23.25	48.87	134.3	36.27	26.28	20.41	42.41	37.85
PHIP	612.11	229.72	287.01	299.25	351.14	264.03	607.87	872.1	591.22	457.25	299.25	395.18	258.57	289.02	547.75	780.44	178.77	191.67	47.17	52.82	90.77	40.93	54.33	46.5	22.26	15.68	60.82	74.58	93.35	106.63	103.69	63.89	54.33	43.63	94.67	98.04	46.5	69.03	34.51	73.54	53.95	42.71	77.25	15.68	27.84	58.3	47.5	46.84	70.51	26.67	43.02	14.45	55.49	52.82
PJA2	2119.22	1617.0	1467.37	1617.0	1417.35	1457.23	2075.59	2627.46	2400.97	2240.11	1617.0	1685.71	1378.57	1572.76	1721.16	5594.3	1259.69	1322.37	842.36	563.18	928.3	441.64	679.29	303.44	381.68	423.61	780.44	1044.52	1225.22	1066.48	981.29	830.75	974.5	532.74	1081.39	967.76	728.11	1037.29	698.41	1167.14	780.44	551.56	860.08	400.71	713.11	438.59	921.88	603.67	836.53	599.49	902.89	612.11	616.37	612.11
POLK	470.14	327.56	314.17	285.03	312.0	356.05	483.38	620.67	483.38	559.28	285.03	368.65	277.2	264.03	414.87	866.07	185.11	271.48	114.36	120.1	183.82	82.29	133.36	62.12	63.89	59.13	126.12	132.44	195.72	173.85	167.9	120.94	129.69	90.14	149.12	208.38	92.05	123.5	68.07	131.51	115.97	61.68	180.02	49.91	47.17	53.95	76.17	66.18	186.4	104.42	63.0	32.13	115.97	60.82
PRPF4B	1208.34	607.87	842.36	713.11	941.27	748.61	1250.98	1594.73	988.12	1001.93	713.11	961.07	698.41	759.08	1104.13	1519.15	612.11	607.87	277.2	353.59	463.65	226.54	244.57	224.97	287.01	189.02	277.2	525.39	379.04	583.07	476.71	371.22	368.65	265.87	381.68	423.61	293.07	327.56	208.38	412.0	334.46	237.86	480.04	285.03	273.37	206.94	253.23	368.65	518.15	264.03	205.5	137.14	253.23	271.48
PTPN21	473.41	497.0	341.51	348.71	258.57	414.87	417.77	271.48	432.53	384.34	348.71	400.71	444.72	185.11	441.64	579.04	253.23	441.64	76.17	96.68	162.14	94.67	77.79	28.86	107.38	33.06	118.43	88.88	181.28	165.57	195.72	149.12	115.16	71.5	171.45	177.53	104.42	138.1	63.45	130.6	76.17	152.28	138.1	46.84	74.06	77.25	90.77	108.9	251.48	136.19	62.12	82.87	87.65	105.15
RAB28	518.15	379.04	384.34	320.8	406.31	379.04	466.88	567.1	547.75	497.0	320.8	371.22	343.89	384.34	500.46	921.88	366.09	414.87	137.14	129.69	131.51	107.38	148.09	110.43	96.01	80.01	154.42	212.78	187.71	161.02	198.47	158.79	135.24	143.01	169.07	181.28	123.5	191.67	115.16	138.1	152.28	100.83	187.71	75.64	125.24	79.45	88.26	122.64	262.2	154.42	120.94	92.7	149.12	41.81
RAB3GAP2	463.65	336.79	314.17	277.2	299.25	293.07	460.44	579.04	454.09	444.72	277.2	341.51	285.03	221.86	414.87	579.04	214.27	244.57	141.02	234.57	197.09	99.43	103.69	159.9	75.11	116.78	138.1	208.38	208.38	246.28	197.09	154.42	140.04	97.36	144.01	169.07	116.78	152.28	104.42	156.59	121.79	71.0	223.41	138.1	94.67	127.0	100.13	148.09	260.38	89.51	134.3	41.22	121.79	146.03
RALGAPA1	698.41	397.93	447.82	466.88	486.75	466.88	738.29	1037.29	679.29	656.11	466.88	555.41	341.51	336.79	624.99	1066.48	305.55	246.28	169.07	275.28	242.88	170.25	162.14	120.1	111.99	105.89	265.87	118.43	231.32	244.57	269.6	281.09	199.85	137.14	297.17	255.0	150.17	218.79	125.24	220.32	146.03	145.02	205.5	146.03	118.43	101.54	144.01	205.5	201.25	102.97	139.07	66.18	208.38	412.0
RASA1	813.63	567.1	518.15	536.45	638.15	555.41	813.63	995.0	802.41	780.44	536.45	638.15	567.1	525.39	813.63	2255.7	426.57	555.41	130.6	146.03	164.42	84.63	199.85	92.7	98.04	55.1	137.14	228.13	221.86	177.53	199.85	193.01	161.02	88.88	180.02	195.72	109.66	176.29	109.66	159.9	116.78	111.99	208.38	58.71	60.39	56.68	147.06	141.02	195.72	97.36	90.14	52.82	115.16	89.51
RBM26	890.44	463.65	551.56	507.46	595.34	500.46	890.44	1151.06	921.88	708.18	507.46	633.73	490.14	547.75	934.76	1304.15	387.02	559.28	199.85	336.79	273.37	183.82	195.72	204.07	82.29	136.19	232.94	256.78	353.59	299.25	334.46	244.57	209.84	163.28	279.14	241.19	180.02	248.0	171.45	249.73	183.82	163.28	256.78	169.07	154.42	273.37	153.34	234.57	241.19	127.0	197.09	42.41	169.07	96.01
RGPD8	136.19	92.05	24.63	49.56	68.07	102.25	94.67	121.79	132.44	77.79	49.56	92.05	54.72	84.63	17.38	107.38	46.84	56.68	21.32	32.36	8.25	5.41	18.56	8.19	1.55	11.47	24.11	16.39	88.88	57.08	40.36	21.78	21.63	10.79	29.27	24.63	13.22	19.53	11.38	19.97	16.51	8.32	14.03	23.42	6.84	23.59	13.52	18.56	122.64	17.9	21.16	3.17	18.56	13.83
RICTOR	397.93	166.73	206.94	231.32	241.19	194.36	397.93	480.04	363.56	299.25	231.32	255.0	158.79	159.9	312.0	409.15	84.04	169.07	71.5	74.58	98.04	63.45	57.89	76.17	41.81	45.21	83.45	89.51	145.02	104.42	118.43	90.77	84.63	67.12	105.89	125.24	74.06	111.21	51.71	93.35	83.45	71.0	111.21	53.95	43.63	64.34	45.53	50.98	136.19	49.91	67.59	43.94	78.34	70.51
RIF1	529.06	205.5	212.78	212.78	258.57	221.86	463.65	684.02	414.87	348.71	212.78	303.44	217.27	211.31	441.64	764.36	118.43	182.55	62.12	72.52	104.42	46.5	59.13	48.87	39.79	38.95	50.63	107.38	134.3	52.08	116.78	70.51	77.25	50.63	90.77	98.73	51.35	74.06	45.53	113.56	59.97	39.79	82.29	42.71	32.13	68.55	57.89	45.53	138.1	38.12	26.67	21.16	64.8	52.08
RNF219	256.78	208.38	183.82	191.67	157.68	191.67	285.03	297.17	283.05	237.86	191.67	205.5	187.71	140.04	325.29	708.18	118.43	253.23	27.84	88.26	65.26	43.63	46.5	69.03	14.78	38.4	43.94	108.14	104.42	63.89	85.22	55.89	30.56	43.63	56.28	92.05	35.76	47.84	28.65	52.82	49.56	50.63	62.12	23.59	39.79	24.11	49.21	31.45	88.26	17.9	30.56	4.94	47.17	21.47
ROCK1	679.29	483.38	457.25	463.65	454.09	466.88	684.02	708.18	656.11	665.29	463.65	540.19	473.41	417.77	669.92	954.43	323.03	616.37	172.65	163.28	212.78	124.37	149.12	101.54	75.11	80.57	173.85	239.52	236.21	260.38	262.2	205.5	190.34	111.21	198.47	232.94	167.9	208.38	113.56	206.94	146.03	161.02	185.11	122.64	92.7	117.6	162.14	144.01	220.32	95.34	78.34	70.51	150.17	153.34
SAA1	44145.15	145432.49	209994.66	96616.71	161367.56	156954.93	32315.87	7433.4	36357.37	77934.88	96616.71	151608.43	204252.32	373305.21	127486.83	483.38	687022.54	2068278.89	1290947.48	978355.0	21172.91	2343119.96	1715263.94	606436.73	5791.62	558035.51	1668359.93	706337.4	80683.28	912837.43	11664.82	2845004.48	4194303.0	59887.86	2126426.15	27938.14	1221310.69	789181.81	2011721.67	3336720.86	3178687.03	1085552.95	106462.55	1775752.63	1255646.43	1204496.53	2097151.0	1055868.42	144427.91	1535204.12	1364554.84	789181.81	1327240.99	1116072.03
SBF2	679.29	660.68	571.05	660.68	483.38	595.34	693.58	607.87	698.41	693.58	660.68	603.67	579.04	591.22	473.41	1369.04	738.29	1127.35	186.4	170.25	273.37	208.38	189.02	82.87	88.26	151.22	256.78	265.87	244.57	285.03	289.02	232.94	208.38	158.79	295.11	275.28	197.09	215.77	189.02	229.72	176.29	144.01	228.13	108.9	90.14	212.78	193.01	165.57	285.03	113.56	158.79	164.42	191.67	169.07
SCAF8	718.08	460.44	551.56	563.18	547.75	536.45	819.3	1059.11	723.08	660.68	563.18	616.37	490.14	518.15	733.19	1397.83	400.71	403.5	165.57	131.51	255.0	121.79	163.28	96.68	75.11	123.5	195.72	191.67	309.83	209.84	251.48	189.02	208.38	151.22	248.0	264.03	178.77	223.41	117.6	209.84	181.28	136.19	185.11	113.56	138.1	142.01	169.07	111.99	256.78	135.24	107.38	84.04	157.68	148.09
SECISBP2	988.12	483.38	660.68	688.78	785.88	612.11	1037.29	1051.79	813.63	684.02	688.78	842.36	591.22	599.49	738.29	974.5	457.25	332.14	470.14	493.56	450.94	514.56	423.61	341.51	303.44	314.17	450.94	376.41	684.02	665.29	698.41	559.28	438.59	466.88	575.03	624.99	409.15	503.95	426.57	514.56	351.14	540.19	595.34	493.56	438.59	555.41	438.59	547.75	457.25	327.56	423.61	297.17	473.41	351.14
SGTB	123.5	108.14	100.13	70.51	67.59	100.13	138.1	126.12	108.14	121.79	70.51	98.73	96.01	84.63	125.24	181.28	40.36	67.12	19.11	31.22	32.82	14.03	20.26	27.64	17.9	20.71	24.81	29.91	25.72	36.01	32.36	13.72	38.12	26.1	34.26	33.54	28.86	52.82	17.13	41.52	28.24	18.03	29.91	13.72	45.53	10.55	31.22	17.0	71.5	13.32	8.0	22.92	26.67	24.81
SLK	884.29	536.45	583.07	579.04	624.99	587.13	878.17	1051.79	848.22	836.53	579.04	698.41	540.19	583.07	842.36	1551.09	353.59	591.22	167.9	163.28	262.2	121.79	151.22	121.79	86.43	102.97	154.42	256.78	346.29	248.0	248.0	172.65	201.25	158.79	209.84	256.78	163.28	185.11	125.24	228.13	146.03	143.01	262.2	56.28	92.05	154.42	109.66	161.02	486.75	104.42	74.58	108.9	149.12	155.5
SMARCA5	785.88	518.15	567.1	579.04	660.68	575.03	764.36	967.76	748.61	769.69	579.04	642.59	480.04	493.56	941.27	1127.35	414.87	480.04	214.27	205.5	329.84	205.5	241.19	190.34	152.28	164.42	265.87	265.87	297.17	208.38	414.87	262.2	295.11	158.79	289.02	283.05	206.94	293.07	150.17	381.68	295.11	190.34	265.87	244.57	387.02	123.5	195.72	356.05	633.73	204.07	182.55	130.6	193.01	277.2
SMCHD1	555.41	361.04	366.09	348.71	334.46	341.51	607.87	860.08	543.96	555.41	348.71	450.94	325.29	279.14	476.71	642.59	178.77	314.17	108.9	130.6	148.09	97.36	129.69	101.54	55.89	90.14	120.1	117.6	190.34	198.47	205.5	140.04	105.15	79.45	156.59	135.24	108.14	143.01	61.25	159.9	96.01	94.01	127.0	68.07	67.12	109.66	88.88	89.51	231.32	95.34	90.77	61.25	92.7	106.63
SON	4268.94	2468.49	2915.45	2796.65	3168.41	2720.15	4268.94	5076.84	3716.2	4038.61	2796.65	3419.52	2645.74	2997.45	3982.99	7081.29	3372.43	3874.05	1250.98	1407.55	1572.76	1127.35	1295.13	974.5	1023.0	974.5	1388.16	1936.53	1617.0	1844.76	1950.0	1529.73	1340.84	1242.34	1745.2	1745.2	1191.69	1477.58	974.5	1662.49	1073.91	1806.78	1498.22	1617.0	1417.35	1651.0	2061.24	2004.85	1417.35	1088.92	1096.5	417.77	1225.22	902.89
SPEF2	258.57	78.34	138.1	224.97	150.17	137.14	267.73	409.15	303.44	167.9	224.97	209.84	97.36	92.05	341.51	395.18	95.34	21.63	26.28	19.97	37.05	28.65	28.04	41.22	31.9	3.92	30.78	26.47	42.41	39.22	59.13	31.45	22.92	31.22	34.02	40.64	18.84	31.22	13.52	15.56	46.84	17.64	40.64	11.47	19.53	10.08	33.54	15.68	65.26	25.91	23.59	9.85	21.63	2.94
SPOPL	688.78	363.56	363.56	435.55	466.88	334.46	669.92	647.07	476.71	490.14	435.55	483.38	312.0	384.34	616.37	934.76	187.71	205.5	88.88	116.78	159.9	70.01	97.36	62.12	49.56	63.89	112.77	149.12	159.9	148.09	170.25	137.14	136.19	91.41	146.03	141.02	120.1	152.28	82.87	151.22	116.78	102.97	140.04	72.52	85.82	55.49	54.72	90.77	170.25	72.52	70.51	61.68	118.43	136.19
STAM2	540.19	381.68	384.34	426.57	406.31	444.72	579.04	624.99	486.75	521.76	426.57	466.88	305.55	260.38	529.06	890.44	224.97	234.57	156.59	161.02	187.71	115.16	135.24	80.57	85.82	119.26	134.3	158.79	260.38	129.69	202.66	163.28	166.73	99.43	162.14	181.28	135.24	164.42	95.34	193.01	137.14	102.97	147.06	89.51	114.36	108.9	111.21	125.24	406.31	111.21	169.07	59.13	104.42	77.79
SYNRG	473.41	334.46	353.59	373.81	323.03	373.81	480.04	638.15	466.88	529.06	373.81	417.77	351.14	373.81	633.73	571.05	194.36	226.54	154.42	147.06	201.25	111.21	141.02	85.82	129.69	76.17	158.79	171.45	265.87	220.32	214.27	208.38	224.97	84.63	241.19	212.78	166.73	241.19	91.41	185.11	112.77	93.35	123.5	120.1	90.77	73.54	123.5	110.43	211.31	73.54	115.97	98.04	142.01	246.28
TBL1XR1	995.0	842.36	647.07	848.22	698.41	669.92	928.3	1127.35	1119.56	995.0	848.22	791.35	708.18	651.58	1295.13	1639.59	525.39	703.28	265.87	323.03	334.46	236.21	265.87	202.66	89.51	231.32	277.2	426.57	334.46	341.51	356.05	438.59	343.89	206.94	368.65	395.18	332.14	346.29	229.72	420.68	279.14	199.85	316.37	198.47	223.41	303.44	215.77	351.14	368.65	209.84	255.0	226.54	271.48	291.04
