	GTEX.YJ8O.1426.SM.5PNV9	GTEX.131YS.2926.SM.5EGKI	GTEX.ZVT3.2826.SM.5GU6A	GTEX.14C38.2626.SM.5RQI4	GTEX.147JS.2626.SM.5S2UX	GTEX.13PL7.2426.SM.5J2N3	GTEX.12ZZX.2726.SM.5N9FT	GTEX.11EI6.2626.SM.5PNVT	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.11TUW.0526.SM.5LU9A	GTEX.YFC4.1126.SM.5RQJN	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.11UD2.0726.SM.5EQ69	GTEX.WWYW.0926.SM.3NB2Z	GTEX.X3Y1.0626.SM.3P5YS	GTEX.RWSA.1126.SM.2XCAZ	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.145MN.0926.SM.5NQBT	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.145MF.0726.SM.5Q5BT	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.11ZTT.0626.SM.5EQLM	GTEX.144GO.0226.SM.5LUB1
PTPRE	202.66	153.34	248.0	2739.08	228.13	108.9	229.72	248.0	753.83	4010.71	1259.69	2875.3	3467.27	480.04	260.38	3491.39	1286.18	281.09	3690.52	493.56	2468.49	343.89	3325.99	785.88	379.04	144.01	1159.07	180.02	543.96	555.41	7032.37
PTPRJ	217.27	84.04	131.51	878.17	98.73	117.6	94.67	99.43	159.9	738.29	503.95	379.04	325.29	45.85	71.0	540.19	175.07	256.78	371.22	95.34	579.04	185.11	312.0	312.0	105.89	45.85	228.13	57.49	150.17	289.02	432.53
R3HDM4	733.19	860.08	954.43	6121.9	884.29	1051.79	890.44	988.12	1407.55	3982.99	3395.89	2148.82	3168.41	1250.98	1359.57	2384.37	2335.28	928.3	2664.15	1143.1	2384.37	796.86	2090.03	1417.35	1119.56	1096.5	1651.0	753.83	1023.0	961.07	2935.74
RAB27A	395.18	397.93	368.65	2271.4	387.02	244.57	595.34	417.77	1295.13	5329.3	5255.91	1639.59	1757.34	432.53	612.11	2384.37	1832.01	567.1	3168.41	579.04	2720.15	684.02	2319.15	1844.76	567.1	376.41	1781.89	332.14	1304.15	1088.92	5872.48
RASGRP4	29.91	46.84	30.34	2367.9	36.01	19.97	9.06	47.17	127.0	693.58	316.37	395.18	490.14	46.18	258.57	371.22	103.69	45.21	318.57	104.42	412.0	226.54	275.28	540.19	193.01	77.79	43.32	60.39	199.85	232.94	201.25
RLIM	153.34	133.36	115.16	444.72	146.03	124.37	111.21	134.3	305.55	642.59	450.94	368.65	612.11	224.97	202.66	334.46	329.84	171.45	395.18	287.01	392.44	182.55	454.09	244.57	193.01	195.72	397.93	204.07	173.85	226.54	830.75
S100A12	3.76	3.72	12.55	27938.14	0.0	0.0	29.48	11.55	4.35	5517.27	14765.09	1991.0	3124.78	43.63	387.02	1685.71	830.75	2.01	2018.8	11.91	6561.36	275.28	2485.67	1397.83	848.22	39.79	44.89	34.75	323.03	603.67	1023.0
SAMSN1	20.11	36.27	31.45	8840.04	58.3	26.86	23.76	56.68	507.46	5751.61	1794.29	981.29	4543.8	470.14	208.38	591.22	1225.22	199.85	1151.06	392.44	2178.83	199.85	3589.58	325.29	199.85	205.5	607.87	158.79	166.73	633.73	2468.49
SAT1	5292.48	4388.98	5219.6	165904.25	6164.49	4736.79	6250.56	6699.25	38966.94	131982.68	93325.55	30572.63	74243.68	19348.38	11035.54	67846.12	81809.59	17558.94	68318.04	20593.91	74243.68	16045.82	84694.64	23656.34	12329.98	12415.75	65535.0	16045.82	16269.83	14663.09	104271.56
SBNO2	297.17	351.14	420.68	1250.98	379.04	612.11	353.59	457.25	995.0	3768.09	2739.08	1208.34	2434.5	518.15	400.71	1286.18	1498.22	507.46	2367.9	583.07	1733.13	536.45	3303.0	842.36	587.13	536.45	1023.0	226.54	819.3	507.46	2935.74
SCGB1A1	3.17	6.11	3.96	0.0	3.38	4.98	6.31	0.0	3336720.86	2581895.97	65535.0	28723.62	15607.02	3178687.03	2343119.96	1739208.14	1093103.58	3156730.23	509950.32	2691538.19	757033.75	3178687.03	133825.1	3091765.64	3968052.37	3134925.09	2825352.59	2691538.19	1943195.01	3070409.25	284880.02
SDCBP	2835.7	2758.13	2303.12	14663.09	2627.46	1467.37	2335.28	3103.19	7081.29	20030.74	14971.21	7749.1	15285.81	3794.3	3874.05	5441.3	6294.04	3280.18	6164.49	5076.84	9540.5	2855.44	14461.21	5954.47	2875.3	3443.31	8134.41	3515.68	4123.49	5219.6	13872.08
SELL	45.85	19.11	29.06	11345.82	39.5	14.89	50.63	31.45	41.52	2451.44	2303.12	954.43	2777.33	25.91	400.71	698.41	392.44	305.55	878.17	101.54	1331.57	260.38	1051.79	748.61	358.54	98.04	104.42	58.71	269.6	490.14	532.74
SERPINB1	1175.27	1417.35	1225.22	17681.08	1216.75	1216.75	974.5	1088.92	3955.48	34635.37	14971.21	16383.0	8363.13	1685.71	1896.65	12676.65	6745.86	1685.71	11189.6	1628.26	12329.98	2119.22	10733.74	5479.15	2018.8	1407.55	10512.82	1733.13	2645.74	2758.13	28328.16
SNX10	123.5	35.0	75.11	748.61	65.72	19.25	42.71	71.5	1397.83	3349.13	1295.13	1044.52	1242.34	215.77	170.25	507.46	1111.82	624.99	902.89	332.14	1870.53	638.15	796.86	480.04	206.94	164.42	1304.15	420.68	376.41	486.75	4358.66
SOD2	2075.59	2133.97	2018.8	88905.42	2018.8	2835.7	1963.57	2417.67	7537.18	50359.33	73730.83	19082.0	41475.31	4123.49	2720.15	17927.91	21468.49	4298.64	13306.94	5183.54	39237.98	2434.5	22692.63	8305.36	3639.7	2758.13	10883.59	2400.97	4066.71	3847.29	20593.91
SRGN	460.44	476.71	660.68	142439.51	1769.57	738.29	684.02	1819.35	16496.96	125731.67	57847.82	16960.78	93325.55	7382.04	4972.34	13968.57	10225.32	2645.74	30151.71	10733.74	39510.91	3280.18	72715.74	8963.45	2468.49	3515.68	9876.98	1037.29	4802.93	8598.28	29327.18
STAT3	974.5	1191.69	1225.22	3540.14	1447.15	1857.6	1135.2	1467.37	3257.52	8363.13	7331.05	4066.71	5292.48	2627.46	1605.83	4210.15	3589.58	1909.85	8598.28	2997.45	4903.87	1950.0	5479.15	3060.45	2240.11	1369.04	4038.61	1561.89	2997.45	2417.67	6792.79
STK17B	117.6	106.63	90.14	2609.3	127.0	68.55	77.25	122.64	536.45	3372.43	1540.37	738.29	1991.0	551.56	486.75	693.58	825.0	1119.56	2451.44	493.56	1225.22	435.55	1594.73	629.35	753.83	599.49	921.88	291.04	325.29	941.27	1111.82
TLR2	22.75	28.24	41.22	1651.0	28.86	56.68	12.64	45.85	169.07	5517.27	1044.52	808.0	3349.13	223.41	289.02	1697.45	1883.54	316.37	854.13	209.84	3325.99	599.49	2133.97	854.13	299.25	73.54	444.72	234.57	373.81	612.11	3349.13
TLR4	141.02	244.57	88.26	1277.29	114.36	51.35	73.54	131.51	199.85	5041.77	137.14	269.6	819.3	79.45	162.14	195.72	316.37	271.48	1519.15	490.14	1529.73	293.07	872.1	426.57	163.28	48.52	171.45	191.67	307.69	480.04	2701.35
TNFAIP3	366.09	323.03	397.93	37379.55	551.56	371.22	287.01	255.0	928.3	9740.98	12676.65	1151.06	7433.4	555.41	500.46	1950.0	3280.18	2451.44	3060.45	941.27	7966.99	693.58	2682.69	688.78	1143.1	559.28	1216.75	429.54	791.35	791.35	4869.99
TNFRSF10C	18.29	14.67	23.93	2720.15	20.86	6.89	23.25	10.47	85.22	5831.91	896.64	1001.93	1059.11	40.93	109.66	389.72	232.94	37.59	988.12	108.9	947.83	204.07	371.22	884.29	224.97	40.64	85.82	40.36	137.14	218.79	1467.37
TNIP1	1832.01	1977.24	2133.97	11745.96	2119.22	2319.15	1950.0	2178.83	3039.3	10959.3	9808.75	3847.29	5329.3	2682.69	1977.24	5751.61	4298.64	2061.24	2835.7	2417.67	6250.56	1709.26	3768.09	2758.13	1963.57	2451.44	3794.3	1617.0	1819.35	1721.16	4836.35
TRAF3IP2	368.65	454.09	493.56	981.29	414.87	583.07	651.58	555.41	1350.18	2255.7	4575.41	1216.75	796.86	624.99	579.04	954.43	1233.75	532.74	1044.52	567.1	638.15	450.94	1135.2	764.36	480.04	417.77	1417.35	521.76	423.61	532.74	1457.23
TREM1	0.0	3.76	12.09	10296.45	12.64	0.0	8.85	16.88	26067.14	52135.28	3742.05	3716.2	110216.97	387.02	1268.46	4152.18	5006.93	249.73	12764.83	1870.53	13776.25	6079.61	26800.01	9409.14	954.43	251.48	11992.79	3325.99	2816.11	4543.8	49322.93
UBE2D1	423.61	341.51	351.14	1322.37	368.65	244.57	463.65	438.59	260.38	928.3	612.11	511.0	854.13	264.03	486.75	507.46	376.41	346.29	429.54	223.41	665.29	244.57	371.22	567.1	234.57	265.87	460.44	262.2	251.48	267.73	647.07
UPP1	406.31	457.25	551.56	18052.61	417.77	417.77	629.35	470.14	2119.22	6381.92	9740.98	1870.53	11827.67	1369.04	457.25	3280.18	2384.37	620.67	2627.46	1572.76	5292.48	915.51	4543.8	866.07	651.58	376.41	1617.0	457.25	1008.9	441.64	6840.04
USP10	703.28	638.15	723.08	1709.26	728.11	624.99	693.58	669.92	981.29	1639.59	1457.23	884.29	665.29	603.67	480.04	915.51	1225.22	551.56	1331.57	587.13	934.76	780.44	1037.29	890.44	1183.45	698.41	1870.53	1127.35	629.35	1037.29	1175.27
VNN2	46.84	20.86	15.68	14065.74	10.31	11.82	40.64	36.01	43.63	2032.85	1923.14	791.35	4328.55	43.94	232.94	525.39	348.71	92.7	351.14	89.51	708.18	173.85	693.58	591.22	423.61	123.5	87.03	54.33	130.6	329.84	928.3
