	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07
MYO9A	287.01	264.03	45.21	262.2	297.17	75.11	120.1	332.14	87.65	134.3	120.1	197.09	135.24	131.51	88.88	97.36	153.34	108.9	221.86	85.82	208.38	95.34	157.68	144.01	57.49	56.28	327.56	67.59	59.97	87.65	89.51	178.77	183.82	211.31	134.3	318.57	134.3	124.37	89.51	80.57	381.68	170.25	60.82	128.79	260.38	157.68	215.77	102.97	136.19	66.65	105.15	152.28	105.89	93.35
NARG2	825.0	638.15	327.56	825.0	866.07	432.53	473.41	759.08	376.41	490.14	395.18	718.08	521.76	476.71	406.31	441.64	476.71	457.25	607.87	444.72	607.87	406.31	599.49	463.65	397.93	299.25	728.11	426.57	358.54	450.94	403.5	543.96	647.07	575.03	559.28	587.13	529.06	454.09	376.41	414.87	854.13	629.35	348.71	579.04	884.29	473.41	591.22	409.15	384.34	312.0	400.71	540.19	450.94	607.87
NCOA3	195.72	325.29	97.36	343.89	423.61	103.69	234.57	426.57	127.0	198.47	131.51	271.48	197.09	173.85	178.77	120.94	251.48	165.57	381.68	139.07	234.57	115.16	202.66	211.31	129.69	85.82	480.04	92.7	103.69	153.34	118.43	258.57	221.86	403.5	185.11	460.44	291.04	119.26	159.9	153.34	450.94	206.94	102.25	194.36	312.0	162.14	242.88	152.28	187.71	182.55	141.02	189.02	154.42	158.79
NOS1AP	44.57	68.07	7.46	77.79	38.4	15.22	32.13	65.26	14.03	32.82	18.43	47.84	27.64	34.51	9.48	19.11	24.46	20.56	30.12	7.4	41.52	10.88	36.79	42.41	17.38	8.25	48.52	9.63	16.27	42.71	13.72	46.84	28.24	35.76	73.54	84.04	42.71	22.1	13.72	23.59	60.82	29.27	20.41	23.25	36.27	27.84	36.53	11.13	34.02	10.88	13.42	27.64	21.32	21.94
NUP153	414.87	379.04	112.77	432.53	476.71	209.84	234.57	409.15	208.38	248.0	208.38	356.05	285.03	211.31	165.57	211.31	287.01	215.77	371.22	195.72	341.51	226.54	303.44	334.46	117.6	114.36	426.57	119.26	189.02	251.48	157.68	283.05	320.8	336.79	239.52	473.41	316.37	186.4	193.01	155.5	483.38	236.21	140.04	228.13	381.68	295.11	303.44	152.28	237.86	144.01	177.53	221.86	189.02	193.01
OTUD4	371.22	299.25	61.25	412.0	361.04	115.16	162.14	343.89	134.3	195.72	170.25	336.79	182.55	166.73	126.12	125.24	180.02	149.12	273.37	158.79	303.44	149.12	226.54	193.01	77.79	84.04	397.93	105.15	72.52	108.14	139.07	239.52	212.78	255.0	156.59	329.84	205.5	146.03	143.01	111.99	460.44	197.09	85.82	180.02	371.22	198.47	267.73	127.0	156.59	92.7	152.28	157.68	150.17	136.19
PBRM1	473.41	633.73	135.24	599.49	607.87	221.86	279.14	708.18	218.79	343.89	236.21	497.0	327.56	265.87	178.77	260.38	283.05	258.57	435.55	217.27	483.38	273.37	289.02	224.97	120.94	133.36	642.59	157.68	201.25	212.78	189.02	397.93	435.55	435.55	332.14	703.28	476.71	249.73	204.07	186.4	825.0	353.59	140.04	299.25	591.22	271.48	460.44	180.02	283.05	176.29	202.66	283.05	231.32	236.21
PHACTR4	366.09	470.14	180.02	409.15	497.0	239.52	334.46	438.59	301.33	301.33	277.2	423.61	323.03	265.87	273.37	279.14	361.04	291.04	450.94	264.03	417.77	249.73	197.09	363.56	180.02	198.47	503.95	223.41	177.53	229.72	265.87	417.77	339.14	400.71	309.83	358.54	312.0	273.37	242.88	267.73	457.25	406.31	198.47	353.59	460.44	232.94	423.61	246.28	348.71	232.94	220.32	305.55	255.0	275.28
PHF3	656.11	656.11	166.73	642.59	813.63	305.55	392.44	660.68	332.14	371.22	389.72	540.19	395.18	373.81	242.88	329.84	376.41	353.59	567.1	287.01	476.71	348.71	447.82	397.93	171.45	159.9	633.73	289.02	265.87	323.03	226.54	490.14	486.75	486.75	444.72	665.29	438.59	320.8	341.51	264.03	728.11	409.15	226.54	343.89	642.59	392.44	466.88	267.73	384.34	255.0	325.29	403.5	307.69	287.01
PIK3C2A	591.22	684.02	115.97	718.08	718.08	215.77	264.03	728.11	206.94	358.54	246.28	480.04	279.14	293.07	220.32	204.07	267.73	305.55	457.25	208.38	400.71	215.77	297.17	265.87	94.01	111.21	647.07	178.77	120.1	260.38	165.57	327.56	483.38	457.25	275.28	665.29	470.14	251.48	215.77	139.07	808.0	435.55	134.3	303.44	599.49	255.0	457.25	169.07	265.87	166.73	248.0	285.03	206.94	208.38
PKN2	463.65	392.44	127.89	587.13	620.67	221.86	265.87	423.61	273.37	341.51	275.28	450.94	267.73	265.87	170.25	211.31	309.83	239.52	493.56	305.55	412.0	269.6	260.38	277.2	133.36	120.94	476.71	183.82	104.42	246.28	269.6	348.71	368.65	361.04	262.2	441.64	316.37	248.0	249.73	178.77	511.0	323.03	133.36	258.57	536.45	363.56	387.02	201.25	279.14	156.59	275.28	332.14	224.97	246.28
PPARA	195.72	241.19	53.95	260.38	229.72	118.43	140.04	204.07	113.56	193.01	100.13	202.66	111.21	116.78	95.34	142.01	161.02	100.83	129.69	102.97	173.85	85.22	88.88	140.04	44.89	90.14	299.25	85.22	85.82	84.63	87.03	143.01	151.22	183.82	208.38	164.42	199.85	136.19	105.89	110.43	420.68	162.14	105.15	165.57	211.31	117.6	229.72	108.14	140.04	81.14	107.38	197.09	99.43	127.0
PTAR1	348.71	299.25	72.01	368.65	368.65	108.14	164.42	373.81	98.73	194.36	131.51	258.57	163.28	159.9	125.24	98.73	156.59	139.07	269.6	132.44	251.48	156.59	180.02	246.28	49.56	58.71	318.57	86.43	80.57	108.14	133.36	221.86	232.94	209.84	153.34	285.03	265.87	124.37	130.6	99.43	379.04	162.14	76.71	158.79	346.29	195.72	256.78	77.79	138.1	76.17	141.02	170.25	127.89	127.0
PUM1	1119.56	1096.5	329.84	1225.22	1143.1	490.14	651.58	1277.29	543.96	698.41	629.35	981.29	638.15	660.68	395.18	629.35	703.28	595.34	1015.93	575.03	1008.9	490.14	890.44	748.61	346.29	346.29	1286.18	441.64	547.75	511.0	591.22	860.08	854.13	1051.79	633.73	1322.37	915.51	493.56	514.56	497.0	1583.71	769.69	363.56	647.07	1104.13	665.29	860.08	486.75	599.49	447.82	493.56	638.15	529.06	607.87
PUM2	1378.57	1322.37	460.44	1561.89	1685.71	743.43	813.63	1350.18	808.0	928.3	764.36	1208.34	848.22	830.75	684.02	808.0	961.07	830.75	1208.34	819.3	1208.34	669.92	1175.27	988.12	457.25	503.95	1733.13	612.11	612.11	674.59	728.11	1073.91	1059.11	1397.83	1015.93	1369.04	1175.27	698.41	791.35	651.58	1651.0	995.0	555.41	825.0	1427.22	836.53	1135.2	665.29	836.53	651.58	728.11	884.29	713.11	753.83
RAPGEF6	189.02	155.5	54.33	162.14	198.47	87.03	90.77	205.5	77.25	93.35	95.34	143.01	111.21	85.82	73.54	80.57	98.04	97.36	145.02	105.15	144.01	81.71	161.02	115.16	68.07	41.81	163.28	55.1	64.8	73.03	71.5	111.21	135.24	133.36	102.25	279.14	128.79	85.82	65.72	59.13	204.07	112.77	64.8	92.7	195.72	165.57	135.24	55.1	92.7	56.28	81.71	98.04	80.57	80.57
RBM12B	253.23	255.0	44.89	289.02	339.14	109.66	144.01	309.83	98.73	180.02	117.6	258.57	159.9	133.36	66.18	105.15	147.06	124.37	285.03	110.43	183.82	128.79	146.03	221.86	62.12	49.91	325.29	57.49	84.63	85.22	78.89	135.24	199.85	228.13	291.04	244.57	253.23	100.13	98.73	73.03	316.37	209.84	81.71	146.03	264.03	221.86	201.25	70.51	112.77	38.12	116.78	151.22	89.51	119.26
RSPH3	234.57	325.29	94.01	199.85	226.54	185.11	157.68	343.89	142.01	182.55	139.07	224.97	246.28	169.07	150.17	169.07	181.28	197.09	228.13	162.14	271.48	146.03	150.17	178.77	79.45	112.77	346.29	122.64	122.64	110.43	113.56	197.09	244.57	253.23	166.73	265.87	161.02	182.55	138.1	110.43	323.03	215.77	129.69	171.45	220.32	187.71	246.28	111.99	190.34	128.79	166.73	143.01	140.04	145.02
SCAF11	1104.13	1081.39	470.14	1059.11	813.63	620.67	698.41	1167.14	571.05	884.29	713.11	872.1	624.99	802.41	595.34	575.03	743.43	647.07	1030.12	470.14	860.08	713.11	902.89	884.29	536.45	447.82	1023.0	612.11	612.11	633.73	483.38	872.1	909.17	748.61	669.92	1119.56	961.07	591.22	642.59	642.59	1233.75	718.08	583.07	679.29	988.12	921.88	733.19	616.37	733.19	466.88	599.49	708.18	743.43	591.22
SHANK2	688.78	603.67	94.67	532.74	406.31	336.79	150.17	693.58	221.86	269.6	260.38	521.76	366.09	265.87	204.07	190.34	271.48	297.17	307.69	251.48	351.14	289.02	346.29	417.77	40.64	73.54	674.59	155.5	120.1	104.42	167.9	457.25	514.56	291.04	460.44	412.0	551.56	346.29	158.79	93.35	819.3	559.28	144.01	265.87	536.45	473.41	575.03	141.02	348.71	109.66	176.29	244.57	189.02	237.86
SHPRH	164.42	143.01	17.38	214.27	163.28	67.59	70.01	173.85	39.79	106.63	68.55	150.17	86.43	71.0	47.5	48.87	97.36	68.07	139.07	64.34	131.51	51.35	119.26	113.56	24.99	17.38	178.77	37.32	40.93	44.57	39.22	94.67	122.64	129.69	92.7	139.07	127.89	67.12	49.21	26.47	185.11	98.04	24.99	96.01	150.17	90.14	114.36	30.56	73.03	32.82	61.68	76.71	48.87	64.34
SIX4	164.42	169.07	57.08	309.83	209.84	57.89	76.17	220.32	87.03	117.6	88.26	167.9	94.01	121.79	62.12	133.36	89.51	100.13	156.59	55.49	113.56	60.82	96.01	108.14	45.85	75.11	208.38	47.17	94.01	67.59	61.25	142.01	158.79	135.24	136.19	293.07	140.04	57.89	95.34	49.56	180.02	95.34	73.03	90.14	157.68	78.34	126.12	62.56	61.25	59.13	87.65	101.54	94.01	78.34
SLC44A1	389.72	318.57	98.04	503.95	429.54	120.1	187.71	444.72	149.12	231.32	195.72	346.29	215.77	193.01	84.63	191.67	190.34	161.02	314.17	139.07	281.09	117.6	232.94	269.6	53.95	120.1	309.83	171.45	121.79	154.42	162.14	265.87	297.17	260.38	165.57	211.31	336.79	127.0	165.57	167.9	460.44	191.67	111.21	205.5	417.77	224.97	273.37	167.9	175.07	181.28	173.85	221.86	163.28	211.31
SMARCAD1	358.54	325.29	60.82	353.59	397.93	191.67	201.25	348.71	141.02	248.0	218.79	358.54	234.57	204.07	159.9	191.67	256.78	199.85	332.14	249.73	358.54	190.34	258.57	297.17	193.01	102.25	387.02	153.34	140.04	185.11	187.71	209.84	275.28	314.17	204.07	339.14	316.37	186.4	185.11	142.01	414.87	271.48	105.89	262.2	406.31	318.57	314.17	116.78	237.86	133.36	199.85	208.38	175.07	198.47
SMCR8	293.07	199.85	5.06	163.28	159.9	66.65	80.57	318.57	28.04	151.22	53.95	175.07	118.43	82.87	38.12	63.0	121.79	68.55	151.22	35.0	151.22	46.84	82.29	111.21	9.27	14.35	325.29	14.35	23.93	43.94	22.26	162.14	144.01	215.77	103.69	281.09	102.25	55.49	43.02	23.25	381.68	134.3	22.92	115.16	223.41	109.66	167.9	17.13	110.43	25.91	40.07	77.25	52.45	46.5
SP1	759.08	780.44	244.57	764.36	872.1	327.56	483.38	860.08	368.65	503.95	423.61	669.92	490.14	438.59	293.07	381.68	486.75	379.04	698.41	271.48	612.11	381.68	480.04	579.04	256.78	226.54	878.17	262.2	299.25	332.14	320.8	624.99	587.13	599.49	511.0	988.12	490.14	373.81	356.05	341.51	934.76	503.95	253.23	444.72	733.19	457.25	616.37	351.14	503.95	348.71	379.04	476.71	343.89	379.04
STK4	198.47	202.66	65.72	208.38	289.02	97.36	170.25	223.41	127.0	155.5	121.79	189.02	151.22	137.14	95.34	123.5	131.51	107.38	202.66	111.99	163.28	104.42	133.36	164.42	52.82	84.63	239.52	103.69	71.0	120.1	96.68	172.65	129.69	231.32	158.79	170.25	206.94	110.43	101.54	102.25	249.73	121.79	82.29	107.38	236.21	121.79	181.28	128.79	142.01	110.43	118.43	127.89	108.14	98.73
TAOK1	291.04	353.59	66.18	412.0	363.56	149.12	149.12	387.02	137.14	194.36	129.69	256.78	153.34	171.45	108.9	145.02	169.07	144.01	285.03	135.24	281.09	149.12	228.13	189.02	89.51	87.65	336.79	110.43	108.14	138.1	109.66	215.77	253.23	273.37	201.25	336.79	258.57	143.01	126.12	98.73	420.68	191.67	92.7	161.02	341.51	145.02	255.0	120.94	159.9	128.79	127.89	182.55	111.21	138.1
TET3	137.14	129.69	39.79	157.68	148.09	87.65	91.41	248.0	63.0	112.77	84.63	208.38	92.7	85.22	68.07	108.9	105.89	75.64	85.82	77.25	143.01	81.71	176.29	246.28	62.56	40.07	239.52	44.25	40.93	43.94	103.69	145.02	143.01	152.28	162.14	122.64	166.73	92.7	84.04	53.57	269.6	121.79	59.55	144.01	197.09	186.4	128.79	54.33	84.04	53.57	78.89	141.02	87.65	110.43
TMEM178B	120.94	145.02	51.35	223.41	149.12	121.79	62.12	226.54	69.03	128.79	69.52	155.5	82.87	77.79	64.34	120.94	72.52	108.14	100.83	80.57	141.02	59.55	62.12	97.36	26.47	41.52	144.01	35.25	39.79	84.63	62.56	95.34	164.42	164.42	67.12	110.43	121.79	89.51	74.06	40.07	150.17	126.12	55.1	141.02	175.07	120.1	131.51	44.57	72.52	66.18	50.27	94.67	88.26	97.36
TNKS2	599.49	607.87	193.01	567.1	674.59	295.11	305.55	633.73	299.25	366.09	336.79	480.04	363.56	320.8	269.6	336.79	361.04	281.09	555.41	305.55	454.09	277.2	392.44	409.15	138.1	176.29	540.19	212.78	273.37	285.03	258.57	358.54	470.14	518.15	361.04	529.06	503.95	279.14	287.01	223.41	703.28	409.15	204.07	336.79	591.22	366.09	395.18	226.54	329.84	232.94	262.2	329.84	309.83	316.37
UBR2	332.14	397.93	162.14	332.14	397.93	199.85	231.32	325.29	191.67	258.57	234.57	277.2	251.48	209.84	180.02	193.01	231.32	228.13	332.14	212.78	291.04	180.02	255.0	269.6	127.0	132.44	368.65	176.29	154.42	191.67	158.79	244.57	262.2	297.17	212.78	351.14	271.48	204.07	191.67	154.42	363.56	271.48	177.53	246.28	314.17	256.78	305.55	187.71	224.97	166.73	212.78	237.86	189.02	183.82
VPS4B	753.83	947.83	269.6	775.05	830.75	264.03	536.45	642.59	334.46	470.14	409.15	703.28	595.34	460.44	204.07	470.14	587.13	536.45	808.0	511.0	796.86	343.89	343.89	389.72	145.02	301.33	567.1	392.44	255.0	334.46	444.72	555.41	607.87	928.3	518.15	571.05	669.92	420.68	414.87	384.34	1104.13	432.53	279.14	540.19	967.76	493.56	587.13	305.55	460.44	334.46	432.53	379.04	332.14	389.72
WASF2	1427.22	1001.93	384.34	1674.06	1331.57	511.0	1073.91	1551.09	878.17	915.51	647.07	1359.57	733.19	759.08	346.29	796.86	693.58	466.88	1001.93	583.07	1259.69	511.0	660.68	842.36	412.0	490.14	1628.26	536.45	595.34	563.18	890.44	1498.22	738.29	995.0	1015.93	1081.39	1175.27	679.29	555.41	785.88	1605.83	909.17	624.99	890.44	1508.65	884.29	1008.9	629.35	934.76	438.59	559.28	733.19	693.58	791.35
XPO4	173.85	154.42	39.79	212.78	170.25	74.58	75.11	177.53	61.68	106.63	73.03	154.42	97.36	77.79	49.91	66.18	91.41	82.29	129.69	72.01	140.04	68.55	84.63	102.97	46.84	43.02	162.14	58.71	49.91	64.34	69.52	104.42	120.94	127.89	107.38	163.28	96.01	70.51	60.82	63.45	244.57	116.78	48.52	96.68	202.66	86.43	131.51	59.13	84.04	30.78	62.12	80.01	73.03	80.01
ZDHHC20	684.02	693.58	49.21	866.07	890.44	199.85	287.01	769.69	151.22	368.65	201.25	529.06	258.57	283.05	208.38	226.54	384.34	248.0	563.18	162.14	571.05	182.55	351.14	239.52	21.78	35.25	665.29	95.34	100.13	177.53	92.7	395.18	559.28	679.29	341.51	854.13	624.99	199.85	198.47	68.55	947.83	376.41	104.42	392.44	941.27	242.88	518.15	75.64	236.21	111.21	171.45	201.25	112.77	202.66
ZFP91	808.0	718.08	237.86	872.1	791.35	426.57	423.61	743.43	351.14	483.38	384.34	629.35	457.25	426.57	283.05	420.68	476.71	373.81	587.13	353.59	651.58	381.68	503.95	529.06	214.27	255.0	723.08	253.23	356.05	346.29	318.57	514.56	567.1	616.37	507.46	713.11	642.59	339.14	406.31	289.02	902.89	466.88	262.2	476.71	733.19	438.59	559.28	271.48	423.61	334.46	307.69	395.18	368.65	384.34
ZNF100	173.85	105.89	21.78	137.14	145.02	37.59	53.19	119.26	43.94	58.71	71.0	130.6	58.3	30.12	20.11	48.87	69.52	46.18	69.52	47.17	75.11	47.17	108.9	92.7	28.24	26.47	91.41	40.93	39.22	30.12	35.76	53.95	58.71	112.77	50.98	173.85	59.13	30.78	25.54	30.78	87.65	44.57	31.45	80.01	96.68	55.1	80.57	40.93	55.49	14.35	55.1	55.1	35.76	53.95
ZNF236	91.41	114.36	19.82	90.14	76.71	36.79	55.1	84.04	47.84	78.34	48.87	81.14	51.71	48.18	61.68	40.64	68.07	44.57	75.64	47.5	56.68	46.18	83.45	59.13	15.11	22.92	60.39	31.22	27.05	42.11	41.81	63.0	67.59	63.89	97.36	59.13	85.82	47.5	49.56	27.64	102.25	45.85	32.13	74.58	74.06	82.87	70.51	40.36	53.95	25.35	47.5	55.89	35.25	48.52
ZNF426	149.12	148.09	21.32	190.34	136.19	60.39	77.79	183.82	49.91	111.99	67.12	135.24	80.57	80.57	52.45	65.72	102.97	72.01	135.24	39.79	111.99	57.89	71.5	85.22	21.78	26.28	157.68	36.79	26.67	75.11	32.36	109.66	133.36	127.0	60.39	176.29	132.44	66.65	42.41	37.05	191.67	90.77	40.93	77.25	144.01	86.43	143.01	35.0	79.45	34.75	42.41	76.71	48.52	50.27
ZNF548	271.48	208.38	61.68	303.44	205.5	125.24	156.59	244.57	126.12	176.29	167.9	223.41	129.69	159.9	130.6	122.64	260.38	127.89	195.72	102.25	171.45	105.15	189.02	202.66	64.8	80.01	229.72	104.42	116.78	134.3	140.04	172.65	199.85	185.11	173.85	241.19	486.75	119.26	120.1	144.01	239.52	158.79	71.5	149.12	190.34	295.11	177.53	109.66	135.24	88.26	122.64	202.66	138.1	131.51
ZNF70	56.68	45.85	13.83	59.97	44.57	30.12	35.76	59.13	25.54	38.12	25.91	70.51	36.53	35.25	15.91	27.84	37.85	28.04	42.71	17.9	37.85	24.46	24.46	37.32	11.47	12.0	71.5	12.74	16.39	24.28	24.11	44.25	45.21	47.84	38.67	41.52	57.89	31.0	22.43	22.1	71.0	40.07	13.52	41.22	48.87	39.5	49.56	19.82	34.26	18.7	23.08	46.5	36.01	32.13
ZNF780B	157.68	147.06	111.99	220.32	241.19	118.43	119.26	201.25	51.71	133.36	124.37	205.5	116.78	152.28	88.26	58.3	128.79	133.36	166.73	101.54	126.12	91.41	180.02	164.42	75.64	73.54	198.47	68.55	62.56	97.36	95.34	115.97	172.65	161.02	113.56	190.34	201.25	80.01	115.97	57.49	251.48	132.44	98.73	136.19	182.55	159.9	142.01	85.22	139.07	59.97	110.43	120.1	126.12	116.78
ZNF852	85.82	80.01	17.9	80.57	81.71	32.82	45.53	92.7	33.78	70.01	69.03	87.65	33.06	62.56	44.25	31.45	71.0	46.18	94.01	45.53	56.28	34.26	50.63	44.57	15.91	24.63	79.45	34.26	27.84	38.95	29.27	45.85	65.26	49.91	49.56	68.07	78.34	38.95	27.44	38.67	85.82	54.72	27.05	67.59	70.51	59.55	90.14	23.59	60.82	22.43	28.45	54.33	32.82	45.53
