	TCGA.BJ.A0ZC.01A.12R.A13Y.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.FY.A3NM.01A.11R.A21D.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A2CJ.01A.11R.A180.07	TCGA.FY.A3NP.01A.11R.A21D.07	TCGA.BJ.A0Z0.01A.11R.A10U.07	TCGA.EL.A3T6.11A.11R.A220.07	TCGA.EL.A3T1.11A.11R.A22L.07	TCGA.EL.A3H7.11A.11R.A21D.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.117XS.0526.SM.5987Q	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13PVQ.0726.SM.5L3GI	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
MIDN	403.5	674.59	435.55	305.55	483.38	414.87	334.46	674.59	567.1	514.56	551.56	371.22	647.07	444.72	473.41	624.99	2502.97	3639.7	3515.68	1096.5	5366.37	1119.56	1104.13	915.51	1594.73	808.0	563.18	1991.0	842.36	1844.76	1551.09	902.89	1001.93	819.3	412.0	1073.91	1081.39	1529.73	669.92	1909.85	836.53	638.15	796.86	500.46	1397.83	2224.63	1044.52	1233.75	825.0	490.14	1111.82	915.51	988.12	1277.29	2090.03	1857.6	480.04	848.22	665.29	791.35	708.18	2502.97	842.36	395.18	890.44
MYADM	583.07	656.11	825.0	441.64	693.58	629.35	384.34	289.02	571.05	571.05	543.96	536.45	1143.1	780.44	507.46	599.49	7433.4	8840.04	9088.59	4869.99	5255.91	2018.8	1651.0	3039.3	1369.04	3614.55	1721.16	2701.35	3564.78	1208.34	3564.78	10225.32	1909.85	1594.73	1417.35	1104.13	1605.83	3060.45	2240.11	7485.11	1447.15	1857.6	2178.83	2537.92	1447.15	4358.66	1277.29	4152.18	1551.09	934.76	13492.72	995.0	2303.12	1745.2	5403.7	1757.34	1216.75	743.43	1191.69	1242.34	1447.15	2351.53	2351.53	1794.29	6471.02
NDEL1	497.0	507.46	426.57	381.68	497.0	503.95	587.13	438.59	591.22	551.56	371.22	503.95	575.03	429.54	420.68	450.94	1519.15	1417.35	1437.15	738.29	1572.76	638.15	698.41	1015.93	595.34	995.0	738.29	921.88	785.88	941.27	579.04	1151.06	688.78	642.59	679.29	718.08	511.0	802.41	656.11	1286.18	813.63	713.11	612.11	543.96	902.89	896.64	529.06	941.27	723.08	521.76	808.0	813.63	642.59	775.05	974.5	995.0	460.44	579.04	536.45	791.35	579.04	866.07	1096.5	529.06	656.11
NECAP1	540.19	395.18	426.57	473.41	293.07	447.82	387.02	540.19	438.59	376.41	366.09	559.28	441.64	426.57	348.71	486.75	660.68	629.35	656.11	559.28	733.19	543.96	543.96	688.78	493.56	511.0	583.07	836.53	660.68	536.45	536.45	656.11	463.65	511.0	470.14	486.75	457.25	567.1	450.94	669.92	547.75	555.41	514.56	514.56	507.46	896.64	381.68	674.59	521.76	417.77	660.68	511.0	567.1	595.34	860.08	660.68	486.75	381.68	480.04	514.56	476.71	708.18	633.73	486.75	567.1
NOP58	728.11	1096.5	769.69	651.58	693.58	1059.11	884.29	651.58	743.43	1295.13	559.28	988.12	802.41	1051.79	738.29	813.63	1662.49	1498.22	1322.37	836.53	1685.71	1030.12	1066.48	1605.83	1143.1	995.0	1662.49	1651.0	1313.23	1487.87	1359.57	1175.27	1066.48	802.41	728.11	1008.9	995.0	1295.13	1199.98	1359.57	1119.56	1417.35	884.29	1242.34	1127.35	1359.57	866.07	1233.75	1151.06	921.88	1216.75	974.5	1143.1	1088.92	1233.75	1313.23	1059.11	854.13	1001.93	1008.9	1143.1	2224.63	1199.98	1191.69	1073.91
NR4A1	713.11	1709.26	1457.23	947.83	842.36	961.07	954.43	2875.3	909.17	1111.82	866.07	473.41	3874.05	1037.29	775.05	575.03	17558.94	22380.2	17927.91	42346.82	8363.13	2417.67	3280.18	14971.21	5076.84	23330.64	3589.58	50359.33	24660.96	17681.08	5555.65	34635.37	7642.41	2758.13	1304.15	3395.89	3443.31	5672.41	2271.4	40341.14	7032.37	8598.28	1923.14	28723.62	6983.79	67846.12	9876.98	43537.38	8479.89	1427.22	50709.61	2133.97	2287.2	1870.53	53230.77	12853.63	928.3	2104.58	2209.26	3372.43	9279.58	11424.74	24153.43	1721.16	55107.99
NR4A2	49.56	73.03	67.59	40.36	44.89	75.11	113.56	104.42	87.03	82.29	38.12	30.12	177.53	47.17	55.89	52.08	305.55	1388.16	753.83	2935.74	195.72	74.58	121.79	400.71	170.25	1457.23	229.72	1529.73	780.44	221.86	171.45	718.08	476.71	113.56	84.04	339.14	101.54	157.68	111.99	1030.12	497.0	177.53	211.31	305.55	620.67	884.29	90.77	941.27	518.15	93.35	769.69	96.01	90.14	80.01	1191.69	595.34	85.22	214.27	87.03	151.22	175.07	332.14	229.72	81.71	1233.75
NR4A3	9.78	19.68	14.67	3.63	10.63	10.0	5.87	20.86	22.1	9.34	7.34	12.45	28.45	11.13	8.32	5.68	1030.12	1151.06	1233.75	1225.22	177.53	49.91	67.59	1250.98	98.73	1111.82	224.97	1551.09	486.75	176.29	77.79	866.07	242.88	59.13	73.54	231.32	92.05	123.5	36.27	3190.46	234.57	244.57	35.25	162.14	780.44	909.17	141.02	651.58	536.45	42.11	438.59	92.05	97.36	55.1	1250.98	713.11	37.05	320.8	31.0	289.02	251.48	616.37	137.14	13.83	1909.85
PLAGL1	26.67	32.36	42.11	10.55	37.32	40.07	44.89	16.51	67.12	92.05	15.22	89.51	50.98	69.52	35.25	61.25	229.72	173.85	198.47	170.25	420.68	111.21	63.89	221.86	55.49	285.03	228.13	180.02	181.28	125.24	167.9	334.46	113.56	71.0	98.73	120.94	110.43	161.02	147.06	339.14	167.9	169.07	97.36	163.28	108.14	223.41	73.54	293.07	118.43	67.12	232.94	59.97	140.04	144.01	149.12	151.22	82.29	33.54	78.34	76.71	88.88	239.52	132.44	190.34	183.82
PPIL4	567.1	684.02	555.41	329.84	312.0	441.64	457.25	493.56	447.82	547.75	273.37	466.88	511.0	447.82	540.19	616.37	1183.45	1167.14	1159.07	921.88	961.07	785.88	629.35	1104.13	620.67	819.3	769.69	915.51	808.0	915.51	785.88	836.53	669.92	743.43	583.07	651.58	579.04	860.08	723.08	1015.93	748.61	629.35	583.07	693.58	684.02	836.53	493.56	791.35	785.88	595.34	884.29	679.29	688.78	769.69	981.29	947.83	624.99	571.05	718.08	718.08	616.37	1030.12	934.76	638.15	759.08
PPP1R15A	181.28	384.34	603.67	273.37	297.17	291.04	384.34	348.71	165.57	426.57	358.54	295.11	819.3	395.18	450.94	195.72	4210.15	3955.48	5791.62	3168.41	1991.0	1268.46	1104.13	1781.89	988.12	5041.77	1457.23	4704.07	3372.43	5711.87	1977.24	6037.61	1051.79	1001.93	921.88	947.83	1225.22	1487.87	1088.92	3901.01	1159.07	3190.46	890.44	2502.97	1313.23	4607.24	928.3	4152.18	1225.22	780.44	7433.4	909.17	1135.2	1529.73	3982.99	1369.04	759.08	1001.93	1259.69	1096.5	2434.5	2796.65	3874.05	1277.29	3325.99
PTGS2	6.16	10.0	12.55	4.5	0.92	2.78	5.02	3.11	3.53	7.57	6.36	4.66	16.88	4.54	11.82	3.59	100.83	217.27	255.0	438.59	53.19	19.25	10.88	65.72	6.31	346.29	25.72	232.94	241.19	836.53	44.25	156.59	18.16	15.8	14.14	19.97	35.76	37.85	19.68	423.61	11.64	125.24	14.14	82.87	37.05	175.07	8.99	165.57	13.42	5.63	220.32	5.15	13.62	31.0	132.44	53.57	9.85	8.92	18.16	26.28	49.91	206.94	182.55	18.97	183.82
PXDC1	525.39	785.88	559.28	974.5	1127.35	660.68	1023.0	476.71	698.41	988.12	1388.16	1467.37	728.11	1216.75	607.87	532.74	4358.66	3491.39	3589.58	780.44	2119.22	1030.12	1447.15	1909.85	860.08	1322.37	3146.52	4038.61	1628.26	4419.52	2061.24	2682.69	1127.35	1088.92	1037.29	995.0	1277.29	1909.85	1340.84	1832.01	1551.09	2682.69	738.29	1745.2	1388.16	2739.08	981.29	3589.58	1508.65	1519.15	1529.73	693.58	1233.75	2193.99	1991.0	2119.22	1030.12	1674.06	1191.69	1250.98	1427.22	2520.38	2434.5	1044.52	1225.22
RBM8A	1806.78	1709.26	1572.76	1594.73	1709.26	2224.63	1857.6	2451.44	1417.35	1806.78	1286.18	1781.89	1936.53	2090.03	1950.0	2119.22	2997.45	2777.33	2895.31	2384.37	3540.14	2468.49	1950.0	2915.45	1977.24	2645.74	2119.22	3103.19	2796.65	2935.74	2537.92	2468.49	1617.0	1950.0	2047.0	2367.9	1832.01	2351.53	1909.85	2224.63	2351.53	2627.46	2351.53	2645.74	2351.53	3168.41	2119.22	2520.38	2319.15	2047.0	2895.31	2119.22	2502.97	2335.28	2997.45	2400.97	1639.59	2485.67	1977.24	2468.49	2193.99	2855.44	2777.33	2335.28	2485.67
RCAN1	406.31	371.22	363.56	327.56	432.53	312.0	351.14	327.56	236.21	441.64	400.71	463.65	279.14	679.29	301.33	356.05	3349.13	3146.52	3124.78	2335.28	934.76	896.64	563.18	6699.25	1540.37	3190.46	229.72	2287.2	1963.57	3955.48	633.73	4210.15	693.58	988.12	642.59	738.29	1030.12	775.05	1008.9	4704.07	1081.39	2335.28	703.28	5594.3	890.44	3690.52	1963.57	1583.71	674.59	684.02	1030.12	1008.9	532.74	551.56	2451.44	961.07	684.02	819.3	551.56	1639.59	703.28	2148.82	2956.17	819.3	2895.31
RPS6KA5	39.5	35.5	22.1	13.32	19.25	25.35	20.71	78.89	14.14	15.45	28.24	21.94	20.71	15.22	26.47	25.72	137.14	167.9	170.25	144.01	112.77	66.18	75.11	107.38	43.32	103.69	62.12	121.79	98.73	129.69	88.88	239.52	77.79	94.01	71.5	49.56	64.8	115.16	99.43	118.43	70.51	97.36	57.08	111.21	69.52	183.82	48.52	96.68	80.57	68.07	209.84	61.68	103.69	108.14	119.26	115.97	45.85	49.56	76.17	73.03	58.71	77.79	157.68	94.01	128.79
SERTAD1	183.82	208.38	325.29	295.11	438.59	271.48	262.2	249.73	190.34	295.11	211.31	205.5	287.01	228.13	275.28	189.02	1540.37	1508.65	1806.78	616.37	642.59	575.03	376.41	902.89	503.95	713.11	211.31	1030.12	547.75	974.5	406.31	909.17	406.31	775.05	258.57	511.0	579.04	480.04	277.2	1066.48	486.75	616.37	612.11	384.34	599.49	813.63	575.03	866.07	379.04	540.19	599.49	511.0	336.79	417.77	947.83	1143.1	256.78	497.0	312.0	395.18	353.59	660.68	808.0	237.86	603.67
SLC19A2	170.25	115.16	145.02	108.14	90.77	98.73	155.5	220.32	167.9	143.01	67.59	178.77	162.14	108.14	120.1	101.54	1159.07	1250.98	1457.23	204.07	743.43	301.33	379.04	708.18	332.14	273.37	599.49	1225.22	595.34	961.07	638.15	872.1	423.61	351.14	262.2	368.65	232.94	536.45	368.65	371.22	587.13	660.68	151.22	346.29	381.68	1208.34	271.48	1096.5	514.56	309.83	764.36	201.25	348.71	351.14	1208.34	476.71	301.33	329.84	373.81	348.71	305.55	669.92	466.88	206.94	323.03
SLC25A25	215.77	224.97	260.38	111.99	182.55	289.02	122.64	209.84	177.53	100.13	108.9	314.17	197.09	217.27	223.41	260.38	1639.59	1183.45	1806.78	447.82	1457.23	723.08	848.22	748.61	651.58	490.14	981.29	3639.7	2468.49	1857.6	733.19	1259.69	802.41	616.37	665.29	1008.9	514.56	878.17	540.19	1119.56	791.35	780.44	612.11	947.83	974.5	3257.52	656.11	1242.34	651.58	536.45	1594.73	470.14	651.58	753.83	2555.58	1127.35	543.96	703.28	536.45	1208.34	669.92	753.83	813.63	183.82	1088.92
SLC25A32	206.94	234.57	191.67	162.14	146.03	191.67	153.34	137.14	151.22	199.85	161.02	178.77	170.25	199.85	124.37	187.71	379.04	368.65	392.44	246.28	223.41	234.57	239.52	234.57	217.27	265.87	209.84	275.28	285.03	301.33	275.28	246.28	220.32	224.97	202.66	237.86	206.94	277.2	251.48	332.14	237.86	218.79	204.07	199.85	281.09	281.09	197.09	289.02	255.0	234.57	307.69	239.52	189.02	273.37	297.17	346.29	212.78	291.04	199.85	242.88	215.77	473.41	271.48	161.02	231.32
SRF	260.38	320.8	336.79	177.53	262.2	232.94	242.88	358.54	264.03	283.05	279.14	376.41	314.17	356.05	255.0	283.05	3928.15	3395.89	3039.3	708.18	723.08	642.59	674.59	1662.49	866.07	1001.93	599.49	3395.89	1709.26	1167.14	775.05	3564.78	1044.52	698.41	698.41	723.08	753.83	988.12	656.11	3491.39	947.83	791.35	1096.5	775.05	928.3	4152.18	579.04	1639.59	884.29	457.25	2777.33	555.41	769.69	961.07	1662.49	1277.29	447.82	392.44	514.56	674.59	796.86	1073.91	1111.82	563.18	1963.57
SRSF2	2384.37	3060.45	2351.53	1963.57	1923.14	3146.52	3257.52	2835.7	2384.37	3467.27	2384.37	2255.7	2701.35	2319.15	2271.4	2739.08	6037.61	4512.4	4010.71	2895.31	5872.48	3982.99	3372.43	4210.15	3124.78	2956.17	3820.7	4972.34	3874.05	3103.19	3190.46	4736.79	2976.74	2758.13	2645.74	3419.52	2627.46	3589.58	3280.18	4607.24	3614.55	4268.94	2835.7	2855.44	3690.52	5076.84	3124.78	3982.99	3325.99	3716.2	4123.49	3372.43	3820.7	3372.43	4869.99	3768.09	3325.99	2816.11	3103.19	3742.05	3190.46	5831.91	3212.66	4181.07	3303.0
SRSF3	2119.22	2520.38	2367.9	1259.69	1447.15	2178.83	2075.59	2193.99	1950.0	2287.2	1806.78	2061.24	2384.37	2319.15	1844.76	2400.97	4419.52	4010.71	3443.31	3742.05	3639.7	3690.52	2835.7	4358.66	3515.68	4543.8	2224.63	4903.87	3639.7	3742.05	2935.74	4481.23	2816.11	3372.43	2855.44	2777.33	2758.13	3190.46	2956.17	4268.94	2997.45	3303.0	2997.45	3235.01	3303.0	5751.61	2468.49	3212.66	2976.74	2537.92	4769.75	3060.45	2956.17	2682.69	4328.55	3639.7	2520.38	2240.11	2915.45	2997.45	2895.31	3515.68	4802.93	3039.3	3955.48
SRSF7	1407.55	1883.54	2224.63	1369.04	1259.69	1936.53	1991.0	1721.16	1745.2	2351.53	1268.46	1697.45	1936.53	1819.35	1639.59	1757.34	3515.68	3349.13	2664.15	2163.77	3190.46	2417.67	2163.77	2701.35	1857.6	2573.36	2209.26	4210.15	2351.53	3614.55	2133.97	3190.46	2133.97	2047.0	2271.4	1950.0	2004.85	2367.9	2485.67	3146.52	2351.53	3540.14	2047.0	1832.01	2796.65	3443.31	1685.71	3081.75	2287.2	2163.77	3190.46	2271.4	2739.08	2537.92	3467.27	2400.97	2047.0	2075.59	2119.22	2485.67	2485.67	3280.18	2956.17	2835.7	2240.11
TG	881742.8	900270.11	839981.65	711250.37	610654.84	794671.01	887875.81	811368.76	857631.47	932018.1	778316.89	834179.46	1147449.11	828417.36	542775.98	828417.36	619179.28	496005.67	645473.24	2068278.89	1012856.65	2247670.86	2126426.15	1212874.47	1503610.06	2375828.71	2111737.85	569761.05	1611529.43	1204496.53	1611529.43	778316.89	1739208.14	1634025.56	1838374.44	1997825.68	1984025.69	1336472.68	1273174.62	851707.37	1997825.68	2986448.72	2025714.3	2425749.94	1929772.37	906531.99	1943195.01	1048575.0	1727194.55	2636147.11	1063212.58	2263304.65	1775752.63	2111737.85	1691649.38	1668359.93	1800541.22	3178687.03	3886391.01	2263304.65	2672946.37	783730.52	1514068.5	1864037.21	1634025.56
TRA2B	1977.24	1963.57	2075.59	1407.55	1369.04	1832.01	1769.57	2075.59	1651.0	1819.35	1233.75	1977.24	1844.76	2104.58	1806.78	1832.01	3901.01	2875.3	3665.02	2997.45	3103.19	3146.52	2664.15	3515.68	2384.37	2997.45	2739.08	6381.92	2915.45	4123.49	2895.31	3820.7	2163.77	2485.67	2303.12	2104.58	2119.22	2855.44	2451.44	2875.3	2502.97	2573.36	2351.53	2664.15	2758.13	6294.04	1977.24	3018.3	2400.97	2555.58	4543.8	3168.41	2777.33	2875.3	4869.99	3303.0	2209.26	2434.5	2400.97	2645.74	2367.9	2777.33	3103.19	2468.49	3039.3
TSC22D2	351.14	289.02	212.78	148.09	134.3	198.47	239.52	202.66	198.47	301.33	215.77	218.79	264.03	204.07	178.77	293.07	1183.45	1407.55	2061.24	486.75	460.44	486.75	457.25	921.88	540.19	327.56	318.57	1111.82	438.59	620.67	476.71	559.28	441.64	559.28	217.27	403.5	559.28	529.06	470.14	753.83	463.65	279.14	423.61	412.0	483.38	785.88	473.41	587.13	371.22	476.71	638.15	412.0	332.14	493.56	665.29	1001.93	329.84	503.95	490.14	480.04	397.93	759.08	457.25	361.04	426.57
VMP1	1096.5	1233.75	1378.57	780.44	791.35	1143.1	1127.35	872.1	974.5	1350.18	1322.37	1015.93	1225.22	1233.75	1008.9	1096.5	8247.98	5183.54	5329.3	1963.57	4268.94	1685.71	1519.15	4123.49	3589.58	1844.76	1674.06	5366.37	4704.07	5147.73	2119.22	4512.4	1551.09	1745.2	1617.0	2351.53	1909.85	2520.38	1457.23	5672.41	1551.09	2240.11	1268.46	3018.3	2400.97	6935.54	2573.36	3257.52	1605.83	1295.13	5403.7	1794.29	1487.87	1977.24	3257.52	3060.45	1733.13	1685.71	1369.04	1617.0	3060.45	6887.62	3467.27	909.17	4512.4
WTAP	961.07	974.5	1295.13	808.0	674.59	651.58	941.27	860.08	941.27	1008.9	381.68	1159.07	1111.82	1331.57	1143.1	1159.07	2032.85	1844.76	2224.63	1487.87	1417.35	1359.57	1191.69	1757.34	1208.34	1662.49	1529.73	1909.85	1378.57	1819.35	1467.37	1651.0	1350.18	1183.45	1331.57	1127.35	1304.15	1662.49	1359.57	1832.01	1322.37	1832.01	1322.37	1437.15	1529.73	1757.34	890.44	1457.23	1583.71	1388.16	1437.15	1015.93	1295.13	1551.09	1794.29	1721.16	1216.75	1175.27	1127.35	1427.22	1331.57	2400.97	1487.87	1208.34	1295.13
ZBTB21	94.67	77.25	117.6	49.56	68.55	64.34	59.13	105.15	119.26	66.65	50.27	94.01	86.43	69.03	99.43	94.67	223.41	234.57	329.84	336.79	220.32	164.42	129.69	242.88	144.01	289.02	234.57	316.37	211.31	426.57	182.55	339.14	186.4	142.01	105.89	138.1	106.63	181.28	129.69	256.78	125.24	229.72	138.1	162.14	145.02	521.76	115.16	234.57	171.45	120.1	204.07	147.06	175.07	166.73	387.02	262.2	126.12	132.44	108.14	151.22	155.5	275.28	209.84	81.14	260.38
ZC3H12A	37.32	29.7	58.3	36.27	24.46	32.59	63.0	44.57	26.47	76.71	17.9	29.48	37.32	29.48	58.3	44.89	343.89	656.11	334.46	327.56	253.23	66.18	83.45	75.11	77.25	277.2	105.15	591.22	193.01	909.17	223.41	206.94	106.63	72.52	49.91	120.1	78.34	148.09	68.07	309.83	164.42	143.01	77.79	76.17	152.28	441.64	76.17	318.57	129.69	64.34	353.59	103.69	108.9	113.56	279.14	301.33	69.52	44.89	75.11	173.85	127.0	555.41	107.38	73.54	236.21
ZFP36	947.83	1733.13	3690.52	1242.34	718.08	1857.6	1417.35	2855.44	511.0	1561.89	1651.0	921.88	3081.75	921.88	1250.98	954.43	21468.49	22072.07	35118.87	49666.0	33688.23	3874.05	2875.3	14561.8	9945.68	28132.47	2468.49	19754.96	13586.57	40904.3	7749.1	29531.18	2835.7	2835.7	2520.38	6337.83	4836.35	7803.01	3212.66	28923.41	3614.55	15824.9	3614.55	17078.76	16727.26	22850.48	8901.53	18689.27	5995.9	1757.34	32315.87	1781.89	2956.17	8134.41	21026.65	7642.41	1529.73	14663.09	2609.3	4639.29	6079.61	24832.5	28328.16	1427.22	24321.43
