	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.05.4389.01A.01R.1206.07	TCGA.80.5611.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.7670.01A.11R.2066.07	TCGA.60.2709.01A.21R.1820.07	TCGA.51.4081.01A.01R.1100.07	TCGA.J1.A4AH.01A.31R.A24H.07	TCGA.58.A46N.01A.11R.A24H.07	TCGA.21.1075.01A.01R.0692.07	TCGA.58.8392.01A.11R.2326.07	TCGA.66.2777.01A.01R.1201.07	TCGA.85.8052.01A.11R.2247.07
TTBK2	24.99	16.75	21.63	18.7	15.0	30.12	21.78	27.64	48.52	32.36	109.66	50.98	81.14	148.09	122.64	63.89	132.44	111.99	139.07	169.07
UCN2	199.85	571.05	0.0	0.0	0.99	0.0	0.0	0.0	10.55	0.0	0.56	8.58	33.06	110.43	40.64	73.03	54.33	71.5	12.74	33.3
USH1G	32.13	60.82	0.0	0.0	0.0	0.0	0.0	1.22	0.0	0.0	0.0	8.78	53.95	58.3	145.02	127.0	60.39	129.69	21.63	40.64
UST	21.32	183.82	1.6	7.51	2.61	34.02	15.91	66.65	205.5	0.0	0.55	81.14	130.6	287.01	215.77	201.25	376.41	480.04	269.6	205.5
VSNL1	649962.87	122293.5	92.7	161.02	37.85	0.0	303.44	17.9	7.88	0.0	0.51	24.81	400.71	1044.52	305.55	1757.34	674.59	1183.45	297.17	995.0
WASF1	46.5	73.54	163.28	78.34	60.39	57.89	53.57	109.66	339.14	0.0	0.97	138.1	1073.91	1259.69	872.1	884.29	1277.29	656.11	417.77	848.22
WNT2B	103.69	323.03	1.22	5.54	1.68	2.78	1.87	14.67	8.51	21.47	114.36	15.45	48.52	96.01	111.99	120.94	57.08	387.02	92.05	107.38
YEATS2	336.79	155.5	89.51	65.26	58.3	66.18	29.48	318.57	206.94	0.0	0.96	575.03	500.46	981.29	2935.74	1208.34	1857.6	2627.46	769.69	1044.52
ZBTB7C	14262.1	13872.08	1.55	13.83	2.53	28.65	42.71	90.14	119.26	0.0	0.39	43.94	253.23	406.31	738.29	1225.22	297.17	1183.45	186.4	395.18
ZNF219	1037.29	954.43	327.56	435.55	253.23	441.64	265.87	603.67	379.04	0.0	0.92	253.23	275.28	961.07	642.59	1359.57	339.14	988.12	540.19	529.06
ZNF750	341137.96	391864.76	0.0	0.72	0.0	0.84	0.0	195.72	66.65	0.0	0.2	39.22	267.73	536.45	547.75	159.9	94.67	703.28	429.54	460.44
