	GTEX.139TT.0726.SM.5K7XW	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.11DXX.0626.SM.5Q5AG	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WZTO.0426.SM.3NM99	GTEX.ZA64.0326.SM.5HL8T	GTEX.WFJO.0326.SM.3GIL3	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.RWSA.1126.SM.2XCAZ	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.P78B.0926.SM.2I5FA	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDTT.0926.SM.5J2MS	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.UPIC.0826.SM.3GADQ	GTEX.XPVG.1026.SM.4B64Y	GTEX.UJHI.0726.SM.3DB92	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.S7SF.0426.SM.3K2B7	GTEX.Q2AG.1026.SM.33HBW	GTEX.R55D.0926.SM.3GAEU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.1399U.0826.SM.5KM1P	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.13G51.0426.SM.5K7Z5	GTEX.UJMC.0726.SM.3GADX	GTEX.NFK9.1026.SM.2HMK1	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.RM2N.0426.SM.2TF4T	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.131XH.0426.SM.5DUWU
FASTK	376.41	1242.34	1191.69	1594.73	1340.84	1208.34	387.02	703.28	1066.48	1037.29	470.14	928.3	1008.9	708.18	1151.06	1030.12	1697.45	307.69	1199.98	961.07	559.28	802.41	1037.29	1427.22	1350.18	647.07	1561.89	521.76	921.88	967.76	1242.34	703.28	514.56	1104.13	1819.35	1757.34	780.44	961.07	612.11	305.55	1378.57	1427.22	961.07	1250.98	1127.35	1127.35	2384.37	1104.13	1487.87	1111.82	1674.06	825.0	1457.23	902.89	1457.23	2018.8	373.81	753.83	1135.2	1268.46	1322.37	1277.29	842.36	1143.1	1467.37	1617.0	1199.98	400.71	1331.57	1008.9	211.31	753.83	733.19	473.41	381.68	414.87
FBXW5	854.13	1674.06	1143.1	2287.2	2287.2	2061.24	575.03	1457.23	1709.26	1781.89	503.95	1199.98	2502.97	1183.45	1781.89	1487.87	1617.0	351.14	1832.01	1487.87	1088.92	1183.45	915.51	2148.82	1322.37	884.29	2178.83	395.18	1183.45	1769.57	1397.83	1286.18	651.58	1023.0	2485.67	1697.45	819.3	718.08	703.28	848.22	1806.78	2417.67	1721.16	1313.23	1757.34	1639.59	2367.9	1674.06	2193.99	1561.89	2018.8	1081.39	2777.33	1437.15	1617.0	2271.4	629.35	603.67	1397.83	1721.16	1781.89	1277.29	1322.37	1819.35	2240.11	1639.59	1896.65	579.04	1685.71	1417.35	583.07	688.78	1059.11	500.46	555.41	1030.12
FNTB	96.68	253.23	307.69	376.41	307.69	341.51	96.68	329.84	265.87	269.6	167.9	232.94	320.8	148.09	314.17	316.37	289.02	103.69	412.0	236.21	180.02	248.0	307.69	316.37	387.02	220.32	389.72	223.41	283.05	334.46	336.79	241.19	164.42	275.28	460.44	325.29	327.56	156.59	392.44	194.36	358.54	470.14	289.02	363.56	353.59	341.51	348.71	275.28	295.11	314.17	325.29	301.33	334.46	258.57	381.68	353.59	265.87	420.68	406.31	295.11	438.59	392.44	379.04	287.01	409.15	426.57	363.56	151.22	334.46	277.2	77.25	303.44	206.94	132.44	129.69	135.24
G6PC3	733.19	2335.28	2739.08	3081.75	1407.55	1857.6	559.28	2018.8	1073.91	1487.87	1096.5	1135.2	1378.57	1111.82	1896.65	1909.85	1674.06	555.41	1923.14	2047.0	633.73	1331.57	1572.76	2240.11	1806.78	1135.2	2664.15	921.88	1081.39	1757.34	2537.92	1427.22	1208.34	1832.01	3280.18	2119.22	1268.46	2032.85	780.44	529.06	1427.22	1883.54	1628.26	1487.87	2047.0	2701.35	2240.11	1896.65	1583.71	2895.31	1369.04	1397.83	1519.15	2255.7	3564.78	3467.27	540.19	1359.57	1551.09	1685.71	1685.71	1540.37	587.13	2434.5	1551.09	1857.6	1639.59	738.29	1561.89	1175.27	414.87	1015.93	1286.18	1225.22	466.88	947.83
GAREML	6.36	17.9	12.83	45.85	44.57	54.33	6.41	22.43	12.09	9.63	47.17	9.85	21.94	12.45	9.48	15.22	13.32	2.53	12.36	7.88	2.73	16.51	7.75	15.22	93.35	12.09	14.45	13.32	12.64	22.43	54.33	10.39	2.86	13.72	100.83	53.95	6.36	20.56	1.3	4.1	28.65	49.21	12.27	17.51	18.56	25.72	87.65	24.46	44.89	28.65	24.46	17.64	30.56	10.24	29.7	21.01	1.79	32.36	13.62	25.91	33.78	9.56	41.52	46.5	15.56	67.12	47.17	9.27	46.84	45.21	3.76	7.51	16.15	4.21	2.12	3.96
GPAA1	941.27	1923.14	2384.37	3039.3	2178.83	2090.03	802.41	1697.45	1605.83	1977.24	1216.75	1617.0	1844.76	1259.69	1639.59	1963.57	2417.67	543.96	2240.11	1721.16	995.0	1662.49	1628.26	2434.5	2701.35	1304.15	2609.3	866.07	1529.73	2287.2	2367.9	1709.26	1088.92	2255.7	3467.27	2875.3	1242.34	1529.73	1233.75	713.11	1857.6	2209.26	1977.24	1697.45	2148.82	2133.97	3103.19	2287.2	2335.28	2119.22	2664.15	1259.69	2835.7	1794.29	2609.3	3820.7	693.58	1331.57	1208.34	2133.97	2573.36	2018.8	954.43	2148.82	2816.11	2573.36	2193.99	660.68	2758.13	1857.6	555.41	947.83	1697.45	780.44	813.63	878.17
ILVBL	314.17	1605.83	1051.79	1487.87	1096.5	1104.13	320.8	1066.48	854.13	1088.92	493.56	1159.07	1304.15	358.54	1081.39	1037.29	1044.52	249.73	1066.48	587.13	713.11	1044.52	748.61	1277.29	1096.5	674.59	1059.11	567.1	1295.13	1023.0	872.1	638.15	466.88	1216.75	2148.82	1096.5	693.58	514.56	629.35	406.31	860.08	1073.91	836.53	1044.52	902.89	1477.58	1583.71	1081.39	1378.57	1127.35	1295.13	791.35	1135.2	961.07	1051.79	1583.71	417.77	1119.56	902.89	1088.92	1037.29	967.76	693.58	1304.15	1322.37	1250.98	1242.34	409.15	1561.89	1111.82	246.28	665.29	785.88	314.17	371.22	412.0
ISOC2	607.87	995.0	1340.84	1794.29	1369.04	1135.2	412.0	748.61	733.19	718.08	208.38	656.11	1225.22	587.13	1001.93	728.11	921.88	414.87	830.75	1199.98	764.36	543.96	529.06	1143.1	915.51	551.56	1322.37	356.05	551.56	921.88	1044.52	447.82	575.03	896.64	2224.63	1104.13	660.68	825.0	738.29	769.69	947.83	1295.13	595.34	543.96	825.0	1551.09	813.63	791.35	934.76	1359.57	733.19	909.17	718.08	796.86	1233.75	3039.3	620.67	400.71	629.35	819.3	764.36	825.0	638.15	896.64	1096.5	967.76	1044.52	563.18	947.83	848.22	536.45	503.95	460.44	559.28	287.01	493.56
ITPA	426.57	1340.84	1397.83	1199.98	1427.22	1242.34	507.46	480.04	684.02	915.51	743.43	1159.07	1304.15	743.43	866.07	981.29	1540.37	204.07	995.0	1225.22	287.01	1008.9	947.83	1605.83	1051.79	748.61	1857.6	651.58	1127.35	1066.48	1175.27	825.0	633.73	1051.79	1794.29	1111.82	669.92	1073.91	651.58	389.72	1519.15	1427.22	961.07	1001.93	1037.29	1447.15	1519.15	1051.79	1313.23	1417.35	1242.34	1350.18	1295.13	1369.04	1529.73	2739.08	281.09	896.64	1088.92	1233.75	1001.93	1331.57	708.18	1437.15	2303.12	1183.45	1127.35	403.5	1233.75	1037.29	248.0	587.13	813.63	579.04	341.51	483.38
LENG1	129.69	403.5	309.83	287.01	353.59	316.37	86.43	248.0	217.27	318.57	79.45	289.02	412.0	164.42	414.87	297.17	483.38	94.67	283.05	143.01	167.9	251.48	264.03	361.04	291.04	244.57	305.55	128.79	236.21	265.87	329.84	262.2	175.07	249.73	325.29	389.72	170.25	127.89	116.78	149.12	325.29	316.37	368.65	211.31	353.59	297.17	279.14	221.86	208.38	327.56	289.02	178.77	381.68	293.07	309.83	363.56	91.41	136.19	229.72	323.03	260.38	190.34	336.79	279.14	289.02	307.69	293.07	130.6	212.78	159.9	221.86	191.67	234.57	92.05	167.9	167.9
LEPREL4	38.4	75.11	115.16	339.14	117.6	215.77	29.06	123.5	105.89	92.7	37.32	94.01	199.85	60.39	121.79	122.64	94.67	42.71	151.22	113.56	88.26	103.69	94.67	94.67	146.03	72.01	152.28	20.71	67.12	143.01	262.2	47.5	56.68	140.04	329.84	187.71	86.43	69.52	108.14	120.94	134.3	258.57	138.1	76.17	111.21	255.0	186.4	111.99	123.5	229.72	113.56	99.43	154.42	54.72	275.28	444.72	111.21	143.01	141.02	51.71	166.73	180.02	149.12	277.2	127.89	198.47	190.34	37.59	62.12	159.9	42.41	77.25	105.89	97.36	50.98	67.12
LSM4	1059.11	1991.0	3349.13	3982.99	1923.14	2032.85	764.36	1594.73	2319.15	1883.54	497.0	1467.37	2434.5	1304.15	2224.63	2468.49	3190.46	674.59	2224.63	1407.55	1781.89	1883.54	2104.58	2855.44	2417.67	1051.79	2351.53	660.68	1561.89	1540.37	2193.99	1397.83	1583.71	2163.77	6840.04	2956.17	1950.0	1427.22	1806.78	1313.23	2609.3	1583.71	1883.54	1870.53	1963.57	3665.02	2555.58	2335.28	1674.06	3372.43	1806.78	1397.83	2061.24	2351.53	4066.71	5112.16	1216.75	1498.22	2739.08	1936.53	1896.65	1991.0	1037.29	2609.3	2255.7	2627.46	1896.65	1617.0	1991.0	1350.18	802.41	1277.29	1508.65	1617.0	1096.5	1295.13
LYL1	90.14	511.0	353.59	381.68	612.11	320.8	80.01	262.2	353.59	483.38	28.04	180.02	497.0	96.01	708.18	329.84	660.68	54.33	490.14	113.56	137.14	246.28	236.21	679.29	441.64	194.36	490.14	35.76	395.18	356.05	343.89	486.75	70.01	241.19	679.29	397.93	163.28	77.79	98.73	68.55	559.28	379.04	438.59	186.4	444.72	688.78	718.08	511.0	323.03	356.05	389.72	423.61	669.92	373.81	389.72	583.07	86.43	88.26	187.71	320.8	454.09	177.53	316.37	318.57	454.09	191.67	429.54	98.73	236.21	173.85	117.6	87.65	232.94	121.79	90.77	43.94
MANBAL	466.88	1457.23	1857.6	2417.67	1286.18	1844.76	500.46	1151.06	1151.06	1991.0	1159.07	1030.12	2075.59	1388.16	1286.18	1594.73	1151.06	507.46	1407.55	1233.75	947.83	1477.58	1322.37	1721.16	2163.77	896.64	1286.18	842.36	1498.22	1073.91	1447.15	1551.09	1111.82	2075.59	2520.38	1857.6	1127.35	2148.82	836.53	642.59	1250.98	1819.35	1313.23	1819.35	1733.13	1757.34	1498.22	1340.84	1883.54	1757.34	1044.52	1151.06	2075.59	1923.14	2502.97	1437.15	698.41	1427.22	1059.11	1651.0	1639.59	1369.04	1225.22	1651.0	1388.16	1322.37	1104.13	915.51	1832.01	1119.56	392.44	928.3	1277.29	563.18	674.59	954.43
MAP2K2	1437.15	2335.28	2271.4	3257.52	2855.44	2148.82	1151.06	2148.82	1909.85	1721.16	967.76	2287.2	3060.45	1883.54	2240.11	2468.49	2271.4	1268.46	2816.11	2119.22	1605.83	2148.82	1605.83	3190.46	2591.27	1225.22	3039.3	1111.82	2104.58	2061.24	2255.7	1674.06	1427.22	1794.29	3325.99	2335.28	2255.7	1909.85	1617.0	1936.53	2816.11	2664.15	1721.16	1794.29	1883.54	2720.15	2434.5	2224.63	3395.89	2335.28	2148.82	1819.35	2591.27	2271.4	2997.45	3768.09	1350.18	1781.89	2627.46	2573.36	1963.57	2303.12	2133.97	2520.38	3124.78	2434.5	3372.43	1340.84	2075.59	2193.99	1268.46	1583.71	1639.59	1427.22	1651.0	1268.46
MDH2	947.83	3665.02	3982.99	5041.77	1936.53	3874.05	1508.65	3742.05	2178.83	2209.26	2875.3	2609.3	4152.18	1950.0	3146.52	2935.74	3372.43	1369.04	3372.43	5255.91	1447.15	3928.15	3146.52	2976.74	3614.55	2133.97	2816.11	2163.77	2682.69	2935.74	3467.27	2400.97	2701.35	3639.7	5403.7	3847.29	3081.75	3564.78	2303.12	1350.18	2271.4	3742.05	2895.31	2555.58	3235.01	3443.31	3589.58	3372.43	2384.37	4937.99	2351.53	2004.85	2997.45	4095.0	4512.4	6164.49	1529.73	2255.7	2976.74	2148.82	3168.41	2682.69	2178.83	3614.55	3146.52	4575.41	3039.3	1883.54	2682.69	2434.5	1001.93	1721.16	2758.13	1832.01	1477.58	1733.13
MECR	183.82	525.39	493.56	713.11	358.54	454.09	228.13	341.51	285.03	309.83	314.17	356.05	348.71	267.73	395.18	403.5	450.94	154.42	265.87	426.57	202.66	417.77	397.93	457.25	532.74	353.59	373.81	267.73	348.71	387.02	518.15	264.03	212.78	397.93	733.19	579.04	320.8	334.46	208.38	167.9	480.04	460.44	384.34	397.93	432.53	486.75	429.54	366.09	457.25	642.59	325.29	403.5	389.72	417.77	551.56	660.68	185.11	189.02	312.0	387.02	412.0	444.72	256.78	460.44	387.02	483.38	409.15	229.72	483.38	291.04	90.14	356.05	358.54	255.0	132.44	205.5
MED16	363.56	1015.93	583.07	1073.91	902.89	599.49	466.88	909.17	780.44	450.94	132.44	785.88	753.83	339.14	921.88	854.13	825.0	234.57	1151.06	638.15	400.71	571.05	674.59	1104.13	728.11	579.04	902.89	299.25	514.56	679.29	713.11	688.78	376.41	507.46	1135.2	567.1	684.02	327.56	373.81	420.68	713.11	1066.48	764.36	579.04	954.43	1066.48	1233.75	688.78	1096.5	896.64	836.53	466.88	915.51	733.19	665.29	1561.89	327.56	248.0	1096.5	603.67	995.0	651.58	842.36	928.3	981.29	872.1	967.76	361.04	769.69	551.56	334.46	438.59	642.59	336.79	595.34	368.65
MEF2BNB	361.04	633.73	921.88	878.17	860.08	698.41	476.71	802.41	656.11	591.22	226.54	713.11	567.1	551.56	748.61	738.29	693.58	237.86	684.02	733.19	343.89	536.45	575.03	808.0	1030.12	567.1	753.83	529.06	547.75	723.08	743.43	723.08	579.04	665.29	1037.29	866.07	624.99	563.18	334.46	208.38	738.29	842.36	684.02	909.17	738.29	743.43	775.05	764.36	718.08	633.73	780.44	518.15	1059.11	1051.79	995.0	1037.29	366.09	503.95	674.59	884.29	967.76	551.56	432.53	764.36	780.44	836.53	1008.9	412.0	796.86	579.04	209.84	339.14	603.67	392.44	206.94	392.44
MLST8	316.37	988.12	934.76	1001.93	934.76	1001.93	239.52	759.08	575.03	733.19	599.49	733.19	1104.13	429.54	872.1	842.36	842.36	176.29	848.22	860.08	295.11	813.63	748.61	1059.11	915.51	633.73	1143.1	444.72	769.69	902.89	988.12	607.87	423.61	733.19	1350.18	1051.79	669.92	559.28	336.79	267.73	934.76	1037.29	825.0	780.44	785.88	1081.39	890.44	819.3	902.89	1111.82	1008.9	693.58	878.17	884.29	896.64	1295.13	275.28	651.58	830.75	967.76	825.0	780.44	521.76	866.07	1037.29	1059.11	896.64	271.48	813.63	748.61	180.02	412.0	656.11	361.04	194.36	325.29
MRPL28	607.87	1119.56	1709.26	1561.89	1259.69	1378.57	934.76	1127.35	848.22	1073.91	703.28	1119.56	1628.26	1208.34	1250.98	1519.15	1857.6	521.76	1407.55	1119.56	860.08	1167.14	1008.9	2555.58	1572.76	1104.13	1540.37	830.75	1030.12	1540.37	1407.55	1175.27	890.44	1369.04	2915.45	1242.34	995.0	1183.45	860.08	1167.14	1183.45	1233.75	1350.18	1208.34	1467.37	1628.26	1977.24	1369.04	1457.23	1388.16	1378.57	1208.34	1896.65	1540.37	2133.97	3564.78	470.14	825.0	1369.04	1378.57	1594.73	981.29	941.27	1498.22	1199.98	1594.73	1477.58	825.0	1950.0	1286.18	603.67	1023.0	1111.82	723.08	743.43	1044.52
MRPS11	371.22	785.88	1104.13	1167.14	995.0	995.0	212.78	738.29	684.02	785.88	497.0	753.83	1135.2	540.19	878.17	1066.48	934.76	158.79	703.28	759.08	379.04	819.3	813.63	1111.82	878.17	607.87	1059.11	447.82	764.36	988.12	928.3	638.15	525.39	934.76	1540.37	974.5	511.0	642.59	518.15	303.44	860.08	961.07	872.1	764.36	947.83	967.76	1037.29	902.89	769.69	1030.12	947.83	748.61	988.12	967.76	1388.16	1572.76	299.25	842.36	620.67	884.29	896.64	848.22	759.08	902.89	884.29	947.83	1104.13	334.46	902.89	836.53	181.28	536.45	679.29	318.57	269.6	339.14
MRPS16	669.92	1508.65	1721.16	2335.28	1340.84	1639.59	819.3	1135.2	1088.92	1225.22	819.3	1199.98	1733.13	1066.48	1498.22	1519.15	1639.59	500.46	1295.13	1628.26	748.61	1331.57	1540.37	1551.09	1583.71	1151.06	1745.2	934.76	1322.37	1388.16	1437.15	1151.06	1037.29	1709.26	2240.11	1457.23	1175.27	1191.69	896.64	780.44	1628.26	1721.16	1378.57	1059.11	1378.57	2119.22	1709.26	1417.35	1498.22	2319.15	1369.04	1508.65	1685.71	1529.73	2075.59	2855.44	620.67	947.83	1191.69	1397.83	1447.15	1340.84	1088.92	1605.83	1628.26	1685.71	1594.73	642.59	1457.23	1277.29	518.15	1044.52	1233.75	796.86	769.69	1015.93
NBAS	387.02	507.46	518.15	909.17	460.44	409.15	249.73	571.05	480.04	493.56	143.01	351.14	563.18	473.41	483.38	414.87	684.02	279.14	728.11	490.14	457.25	379.04	775.05	518.15	825.0	285.03	454.09	412.0	620.67	514.56	406.31	287.01	435.55	764.36	842.36	748.61	642.59	384.34	511.0	503.95	808.0	708.18	412.0	638.15	441.64	753.83	587.13	457.25	764.36	567.1	547.75	429.54	403.5	420.68	802.41	830.75	579.04	612.11	698.41	579.04	860.08	679.29	872.1	753.83	698.41	1135.2	954.43	348.71	466.88	559.28	244.57	454.09	483.38	348.71	279.14	371.22
NDUFB11	1135.2	1844.76	3564.78	2609.3	1909.85	2193.99	974.5	1519.15	1561.89	1781.89	854.13	2417.67	2976.74	1733.13	2224.63	2075.59	3039.3	753.83	2303.12	1733.13	1583.71	1674.06	2468.49	2591.27	2835.7	1769.57	2591.27	738.29	1950.0	2609.3	2875.3	1407.55	1628.26	2032.85	3639.7	2682.69	1950.0	2303.12	1407.55	780.44	2061.24	2148.82	2148.82	1583.71	2976.74	2451.44	2303.12	2255.7	1794.29	2319.15	1963.57	1769.57	3060.45	3146.52	3982.99	3690.52	764.36	1806.78	2609.3	2148.82	2664.15	2240.11	2240.11	2701.35	2682.69	2609.3	2502.97	1447.15	1651.0	1628.26	1044.52	2090.03	1066.48	1175.27	961.07	1844.76
NDUFB2	3820.7	5255.91	11345.82	8538.88	6250.56	7032.37	2367.9	4512.4	5711.87	5219.6	2224.63	5219.6	9540.5	5594.3	5954.47	6294.04	7857.29	1977.24	5292.48	5329.3	4298.64	4543.8	7749.1	6294.04	8421.31	3690.52	6792.79	2997.45	5403.7	5517.27	7537.18	4239.45	3039.3	6840.04	9876.98	7966.99	4836.35	3303.0	2935.74	2271.4	8191.0	6294.04	5006.93	3847.29	5441.3	7803.01	5441.3	5711.87	4481.23	9606.86	4671.57	4972.34	6745.86	7032.37	12160.22	11827.67	2351.53	6887.62	6561.36	4152.18	5751.61	5183.54	6471.02	7382.04	7230.1	7485.11	7537.18	4010.71	4704.07	4358.66	3060.45	2758.13	4095.0	3419.52	2555.58	2555.58
NOSIP	967.76	1519.15	1572.76	1572.76	1757.34	1896.65	769.69	1051.79	1143.1	2255.7	483.38	1313.23	2163.77	921.88	1781.89	1721.16	2367.9	915.51	2434.5	947.83	1135.2	1322.37	1008.9	1896.65	1781.89	1369.04	1806.78	660.68	1304.15	2090.03	1304.15	1477.58	743.43	1023.0	2555.58	1733.13	665.29	579.04	785.88	1044.52	1417.35	1295.13	1628.26	819.3	1697.45	1233.75	1936.53	1331.57	1508.65	1427.22	1519.15	890.44	2303.12	1477.58	2032.85	2682.69	518.15	612.11	1119.56	1369.04	1794.29	1286.18	1519.15	1936.53	1769.57	1639.59	1313.23	1151.06	1059.11	703.28	1225.22	830.75	796.86	674.59	665.29	703.28
NPRL3	363.56	728.11	665.29	1143.1	665.29	854.13	158.79	718.08	769.69	327.56	144.01	607.87	660.68	226.54	612.11	480.04	511.0	236.21	1001.93	490.14	312.0	656.11	426.57	473.41	890.44	414.87	543.96	269.6	559.28	791.35	514.56	379.04	500.46	587.13	759.08	1037.29	660.68	384.34	285.03	279.14	866.07	830.75	571.05	480.04	723.08	629.35	723.08	379.04	1183.45	693.58	679.29	320.8	934.76	703.28	656.11	708.18	329.84	409.15	872.1	656.11	759.08	713.11	665.29	759.08	1143.1	872.1	896.64	226.54	808.0	470.14	183.82	624.99	547.75	264.03	281.09	303.44
NUDT8	60.82	307.69	420.68	327.56	237.86	361.04	74.58	158.79	121.79	145.02	63.45	228.13	540.19	66.18	271.48	318.57	341.51	49.91	185.11	186.4	120.94	244.57	267.73	215.77	226.54	144.01	447.82	55.1	258.57	189.02	381.68	111.99	126.12	381.68	780.44	547.75	246.28	176.29	90.77	104.42	186.4	334.46	332.14	281.09	363.56	325.29	277.2	273.37	246.28	435.55	358.54	114.36	251.48	208.38	497.0	567.1	45.85	110.43	323.03	366.09	303.44	299.25	78.34	255.0	332.14	470.14	202.66	38.95	348.71	205.5	18.97	120.1	145.02	76.17	35.25	132.44
OGFOD3	361.04	836.53	1340.84	1583.71	748.61	684.02	341.51	941.27	536.45	665.29	703.28	339.14	703.28	718.08	616.37	567.1	703.28	248.0	808.0	703.28	532.74	961.07	583.07	808.0	1151.06	595.34	759.08	507.46	733.19	748.61	693.58	429.54	536.45	738.29	1745.2	928.3	813.63	830.75	518.15	423.61	473.41	981.29	616.37	921.88	764.36	1242.34	1286.18	713.11	733.19	825.0	947.83	466.88	693.58	796.86	1583.71	836.53	387.02	507.46	854.13	693.58	1268.46	775.05	387.02	860.08	848.22	1250.98	808.0	389.72	688.78	674.59	166.73	497.0	579.04	392.44	181.28	571.05
PDXP	75.11	52.45	273.37	237.86	162.14	190.34	32.36	145.02	46.18	181.28	44.57	145.02	392.44	109.66	159.9	70.01	151.22	105.89	127.89	96.01	93.35	118.43	148.09	234.57	182.55	57.08	234.57	24.63	102.97	166.73	122.64	45.21	91.41	186.4	384.34	186.4	57.08	50.27	106.63	69.52	226.54	289.02	102.25	96.68	50.27	166.73	239.52	166.73	239.52	151.22	155.5	10.16	204.07	75.11	131.51	351.14	87.03	190.34	159.9	107.38	133.36	103.69	96.68	212.78	206.94	77.25	140.04	28.45	226.54	166.73	105.89	98.73	103.69	32.36	42.11	31.9
PEX10	177.53	397.93	470.14	521.76	457.25	493.56	159.9	348.71	256.78	339.14	265.87	339.14	269.6	208.38	435.55	336.79	368.65	144.01	384.34	381.68	163.28	332.14	269.6	397.93	339.14	242.88	307.69	277.2	318.57	329.84	368.65	332.14	199.85	325.29	587.13	420.68	267.73	400.71	217.27	97.36	371.22	316.37	320.8	450.94	389.72	521.76	490.14	406.31	358.54	500.46	403.5	343.89	363.56	438.59	409.15	417.77	99.43	256.78	323.03	353.59	379.04	307.69	211.31	438.59	384.34	320.8	389.72	255.0	423.61	318.57	117.6	232.94	309.83	264.03	112.77	204.07
PNKP	543.96	896.64	389.72	660.68	909.17	500.46	409.15	507.46	503.95	417.77	301.33	514.56	303.44	314.17	656.11	555.41	454.09	297.17	603.67	842.36	376.41	356.05	532.74	529.06	775.05	318.57	909.17	525.39	679.29	660.68	575.03	587.13	198.47	595.34	1167.14	579.04	540.19	607.87	283.05	314.17	764.36	825.0	532.74	441.64	612.11	854.13	947.83	791.35	988.12	480.04	612.11	339.14	759.08	518.15	457.25	928.3	223.41	540.19	409.15	693.58	651.58	329.84	269.6	679.29	802.41	872.1	819.3	417.77	759.08	616.37	229.72	293.07	480.04	253.23	281.09	277.2
POLR2E	1950.0	2537.92	3928.15	5219.6	2400.97	3146.52	1721.16	3303.0	2520.38	2384.37	1819.35	3168.41	4512.4	2664.15	2520.38	3742.05	3168.41	1594.73	3768.09	3874.05	2417.67	2627.46	2720.15	4575.41	3955.48	1936.53	4358.66	1561.89	2777.33	2835.7	3614.55	2148.82	2384.37	2417.67	5041.77	3742.05	3146.52	2701.35	2645.74	1427.22	3395.89	4010.71	3540.14	3168.41	3212.66	3212.66	4481.23	3419.52	3190.46	3716.2	4543.8	1794.29	4010.71	3564.78	4268.94	5954.47	1350.18	1508.65	4450.27	3589.58	4268.94	3190.46	2796.65	3515.68	4512.4	3419.52	3081.75	2090.03	4481.23	3325.99	1977.24	2935.74	2701.35	2502.97	1685.71	1936.53
PRDX2	2209.26	2739.08	5403.7	5183.54	4358.66	5872.48	1159.07	3146.52	2895.31	2178.83	1259.69	4152.18	6561.36	2451.44	3874.05	3742.05	3491.39	2451.44	5112.16	6887.62	3395.89	2591.27	2682.69	3928.15	4869.99	2319.15	5255.91	1883.54	2193.99	3665.02	6037.61	1806.78	4419.52	3847.29	10225.32	5403.7	4066.71	4038.61	2777.33	2018.8	3124.78	4181.07	2451.44	2119.22	3639.7	6426.31	3928.15	3794.3	3589.58	6745.86	3349.13	2271.4	9409.14	3716.2	8247.98	15499.21	1709.26	3955.48	4802.93	2163.77	4095.0	3303.0	4210.15	5954.47	4543.8	5791.62	7331.05	2835.7	2701.35	2664.15	1605.83	2520.38	2047.0	2627.46	1191.69	2119.22
