	TCGA.CU.A5W6.01A.11R.A28M.07	TCGA.BT.A0YX.01A.11R.A10U.07	TCGA.XF.A9T8.01A.11R.A39I.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.CU.A72E.01A.12R.A33J.07	TCGA.BT.A20U.11A.11R.A14Y.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.UC.A7PF.01A.11R.A352.07	TCGA.MA.AA42.01A.12R.A38B.07	TCGA.EK.A2RC.01A.11R.A18M.07	TCGA.Q1.A6DW.01A.11R.A32P.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.DS.A5RQ.01A.11R.A28H.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.EA.A3HU.01A.11R.A213.07	TCGA.DS.A1OB.01A.11R.A14Y.07	TCGA.C5.A1BQ.01C.11R.A213.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.IG.A8O2.01A.11R.A36D.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.LN.A49L.01A.11R.A24K.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.XP.A8T6.01A.11R.A36D.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.LN.A4A1.01A.21R.A260.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.V5.AASV.01A.11R.A38D.31	TCGA.LN.A8I1.01A.11R.A36D.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.VR.A8EW.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZTTD.1226.SM.51MS2	GTEX.145LV.1326.SM.5S2QI	GTEX.QVUS.0626.SM.447CC	GTEX.T5JC.1726.SM.4DM6U	GTEX.PLZ4.1626.SM.3P618	GTEX.RNOR.1226.SM.48FDQ	GTEX.UPK5.1226.SM.4IHL8	GTEX.XQ3S.1126.SM.4BOPK	GTEX.132AR.2226.SM.5J2NT	GTEX.132AR.2326.SM.5IJDY	TCGA.QK.A6VC.01A.23R.A34R.07	TCGA.CR.6472.01A.11R.1873.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.6955.01A.11R.2016.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7421.01A.11R.2081.07	TCGA.CV.7183.11A.01R.2016.07	GTEX.YFC4.1126.SM.5RQJN	GTEX.ZUA1.1026.SM.4YCEA	TCGA.85.A4JC.01A.11R.A24Z.07	TCGA.21.5784.01A.01R.1635.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.7806.11A.01R.2055.13	GTEX.WWYW.2826.SM.4MVOQ	GTEX.PWN1.2026.SM.48TD9	GTEX.R55G.1626.SM.48FF4
FAM229A	52.45	11.47	42.71	35.25	39.79	42.11	29.06	98.73	82.87	113.56	130.6	102.25	104.42	94.01	45.21	49.21	46.84	154.42	229.72	348.71	127.0	177.53	114.36	376.41	127.0	54.33	265.87	130.6	356.05	84.63	231.32	119.26	176.29	165.57	177.53	195.72	269.6	226.54	363.56	118.43	743.43	187.71	85.22	53.57	118.43	97.36	178.77	155.5	134.3	187.71	78.89	262.2	289.02	346.29	159.9	155.5	271.48	237.86	92.7	55.49	148.09	97.36	44.57	7.57	13.12	32.13	33.78	99.43	6.41	43.02	72.01	44.25	26.67	0.09	10.39	3.0	21.94	10.79	7.0	18.29	74.58	486.75	57.89	54.33
FBXL8	129.69	92.05	147.06	158.79	190.34	137.14	154.42	199.85	73.54	195.72	99.43	142.01	139.07	76.71	50.63	140.04	108.9	571.05	525.39	728.11	389.72	457.25	265.87	497.0	514.56	397.93	353.59	371.22	320.8	450.94	303.44	316.37	376.41	426.57	414.87	890.44	988.12	514.56	603.67	234.57	490.14	229.72	612.11	236.21	441.64	275.28	423.61	420.68	473.41	249.73	248.0	426.57	583.07	684.02	403.5	587.13	878.17	674.59	224.97	387.02	397.93	251.48	76.71	63.45	104.42	123.5	176.29	115.16	34.75	42.11	69.03	201.25	134.3	37.59	64.8	79.45	94.01	50.98	64.8	56.68	133.36	175.07	133.36	170.25
FLJ00104	17.9	16.03	12.93	6.94	19.97	14.45	22.92	34.26	9.56	16.03	70.01	30.56	15.45	15.68	41.81	23.93	53.57	60.82	63.45	66.18	47.5	49.91	40.93	51.35	38.12	47.5	28.45	57.89	88.88	47.84	40.07	65.26	38.95	79.45	85.82	77.25	100.13	108.9	78.89	41.81	116.78	34.02	53.95	22.26	59.55	43.94	48.18	56.68	56.68	74.58	40.36	102.25	59.97	115.97	58.71	61.68	96.68	68.07	33.06	39.79	73.54	18.84	8.13	4.7	9.63	17.64	17.25	15.0	5.19	22.75	14.03	27.84	9.13	1.19	7.46	10.08	15.22	9.13	8.51	5.41	21.63	59.97	14.56	13.83
FLRT1	0.91	0.38	1.66	2.2	7.82	4.39	27.25	0.93	0.83	0.55	0.55	6.31	2.05	0.85	1.45	4.5	4.17	7.69	7.63	7.34	35.76	4.82	12.09	3.44	8.99	15.22	2.25	6.94	25.35	13.72	8.71	18.97	24.28	5.45	3.72	12.64	13.32	48.18	14.89	6.78	28.86	5.73	23.76	4.82	8.58	5.32	6.62	6.26	7.94	6.31	10.47	23.59	11.38	52.82	31.9	56.28	32.82	32.13	17.51	49.56	55.49	8.58	0.6	0.68	0.0	3.86	5.36	0.0	0.68	3.5	3.69	4.43	1.2	0.0	1.2	3.08	3.08	0.59	0.0	0.02	6.46	253.23	34.75	30.12
GABBR1	90.77	100.83	114.36	162.14	77.79	144.01	36.01	327.56	30.56	106.63	373.81	146.03	139.07	113.56	199.85	183.82	122.64	511.0	819.3	1437.15	1104.13	1183.45	638.15	642.59	1081.39	283.05	371.22	555.41	836.53	915.51	796.86	1447.15	616.37	1104.13	1407.55	909.17	2555.58	1030.12	1529.73	567.1	2148.82	353.59	988.12	665.29	420.68	323.03	915.51	679.29	1304.15	961.07	518.15	981.29	567.1	733.19	934.76	703.28	830.75	836.53	480.04	483.38	1551.09	420.68	12.45	85.22	44.89	137.14	157.68	134.3	29.91	511.0	249.73	297.17	76.71	5.96	56.28	178.77	64.8	28.24	29.7	15.91	260.38	1844.76	138.1	239.52
GGA1	1081.39	785.88	638.15	836.53	808.0	825.0	2075.59	693.58	698.41	616.37	854.13	674.59	575.03	780.44	796.86	785.88	802.41	1104.13	1135.2	1096.5	902.89	1023.0	1508.65	896.64	954.43	947.83	1015.93	1277.29	1388.16	1008.9	1037.29	2119.22	981.29	1008.9	1313.23	974.5	1477.58	1183.45	1015.93	1561.89	1529.73	1447.15	872.1	1001.93	1250.98	1037.29	1313.23	921.88	1104.13	1143.1	1447.15	1015.93	1697.45	1857.6	2104.58	2047.0	1605.83	1923.14	1769.57	1617.0	1159.07	947.83	486.75	909.17	669.92	551.56	775.05	988.12	660.68	775.05	791.35	1529.73	808.0	470.14	698.41	830.75	842.36	1175.27	860.08	679.29	1295.13	1697.45	555.41	633.73
GIGYF1	194.36	158.79	198.47	229.72	343.89	202.66	209.84	379.04	218.79	251.48	454.09	423.61	221.86	202.66	218.79	381.68	231.32	500.46	497.0	529.06	435.55	591.22	500.46	493.56	403.5	540.19	403.5	387.02	764.36	295.11	547.75	514.56	500.46	503.95	759.08	688.78	1044.52	748.61	825.0	444.72	1427.22	361.04	521.76	480.04	507.46	371.22	1051.79	718.08	629.35	551.56	441.64	633.73	713.11	728.11	447.82	511.0	595.34	753.83	283.05	454.09	629.35	591.22	244.57	117.6	163.28	182.55	307.69	336.79	68.55	128.79	124.37	323.03	143.01	43.02	133.36	68.55	185.11	126.12	124.37	86.43	366.09	718.08	325.29	348.71
GOLGA8A	260.38	221.86	283.05	71.5	98.04	46.84	273.37	693.58	88.88	665.29	1709.26	381.68	285.03	368.65	197.09	587.13	769.69	1051.79	2287.2	1605.83	1437.15	1806.78	1073.91	2451.44	543.96	595.34	2119.22	1242.34	2271.4	1594.73	2319.15	4095.0	1340.84	1286.18	1447.15	2739.08	4358.66	1617.0	2468.49	1331.57	2664.15	1066.48	723.08	1015.93	1225.22	928.3	2434.5	514.56	1923.14	1605.83	1151.06	2351.53	2271.4	1870.53	3280.18	3146.52	1991.0	1781.89	656.11	392.44	1119.56	567.1	234.57	12.83	34.02	17.25	329.84	82.87	42.41	587.13	669.92	1059.11	110.43	5.77	98.04	97.36	125.24	18.29	19.53	62.12	500.46	995.0	226.54	214.27
HSPB1	205673.01	197294.7	197294.7	187950.38	334117.42	279017.26	269512.87	260332.24	186652.11	383800.28	256748.15	322736.12	348306.01	320506.81	322736.12	348306.01	606436.73	290865.98	236256.4	241220.67	282912.21	239554.43	331809.5	411347.03	370726.6	309589.14	405683.88	450134.56	209994.66	244588.0	286861.53	201440.3	327241.36	248002.34	341137.96	267651.2	353168.2	336441.4	307450.64	373305.21	181548.07	284880.02	324980.94	254974.66	275175.93	303217.87	256748.15	256748.15	299043.36	229795.93	280957.98	229795.93	180294.02	163620.18	254974.66	194578.47	176583.6	190574.09	348306.01	363097.14	239554.43	218912.29	171754.88	118127.7	165904.25	179048.63	205673.01	263966.36	116501.39	309589.14	386469.83	265802.39	200048.85	131071.0	246289.25	172949.54	179048.63	190574.09	228208.61	198667.0	229795.93	417089.23	299043.36	296977.71
IKBKB	575.03	432.53	583.07	420.68	961.07	599.49	1008.9	728.11	743.43	759.08	1081.39	753.83	647.07	688.78	620.67	521.76	775.05	1331.57	1225.22	1277.29	941.27	842.36	1151.06	1051.79	974.5	842.36	941.27	1191.69	1259.69	1119.56	1250.98	1111.82	1044.52	2209.26	902.89	1331.57	1427.22	1617.0	1844.76	1023.0	1844.76	1259.69	995.0	995.0	2609.3	1015.93	1051.79	872.1	1388.16	1359.57	1119.56	808.0	1304.15	1806.78	1073.91	1819.35	1639.59	1519.15	1088.92	1447.15	1183.45	603.67	518.15	244.57	507.46	318.57	616.37	808.0	457.25	454.09	353.59	884.29	967.76	236.21	679.29	599.49	703.28	500.46	529.06	438.59	575.03	1359.57	339.14	264.03
JMJD7-PLA2G4B	21.94	45.85	36.53	12.36	75.11	92.7	267.73	105.89	9.85	101.54	73.54	112.77	54.33	41.52	37.85	32.59	43.02	212.78	209.84	151.22	131.51	138.1	190.34	327.56	130.6	82.87	165.57	226.54	197.09	363.56	214.27	633.73	208.38	143.01	152.28	414.87	460.44	351.14	361.04	264.03	403.5	180.02	417.77	87.03	190.34	185.11	181.28	239.52	249.73	88.26	299.25	189.02	473.41	536.45	353.59	460.44	384.34	540.19	190.34	303.44	198.47	100.83	37.85	56.68	70.51	18.29	103.69	29.7	75.11	117.6	103.69	127.0	18.56	8.45	105.15	84.04	89.51	99.43	52.45	46.5	97.36	260.38	18.16	19.82
KIAA0895L	169.07	193.01	181.28	123.5	178.77	253.23	202.66	397.93	140.04	157.68	384.34	371.22	193.01	536.45	256.78	199.85	348.71	1551.09	579.04	2739.08	507.46	1378.57	486.75	866.07	356.05	483.38	647.07	718.08	514.56	397.93	521.76	848.22	555.41	607.87	497.0	1936.53	1508.65	830.75	2209.26	642.59	1519.15	547.75	642.59	366.09	665.29	603.67	813.63	813.63	890.44	780.44	450.94	651.58	769.69	743.43	624.99	791.35	769.69	836.53	400.71	476.71	1001.93	231.32	125.24	74.58	77.79	108.14	150.17	113.56	66.65	162.14	166.73	277.2	146.03	30.34	142.01	130.6	124.37	68.55	66.65	74.06	176.29	246.28	117.6	293.07
KIAA0907	624.99	281.09	629.35	275.28	466.88	348.71	503.95	866.07	559.28	429.54	1369.04	447.82	334.46	379.04	532.74	607.87	703.28	1073.91	1151.06	941.27	791.35	842.36	764.36	1183.45	813.63	470.14	764.36	669.92	2520.38	1397.83	866.07	2240.11	915.51	1477.58	1167.14	1350.18	1977.24	995.0	1304.15	733.19	1709.26	616.37	1023.0	836.53	688.78	902.89	890.44	981.29	1628.26	1104.13	775.05	2148.82	713.11	1059.11	830.75	995.0	1104.13	995.0	638.15	733.19	1096.5	638.15	647.07	153.34	142.01	703.28	351.14	209.84	226.54	423.61	954.43	647.07	426.57	41.22	133.36	116.78	209.84	150.17	121.79	81.71	651.58	503.95	164.42	175.07
L3MBTL1	57.89	50.98	48.52	16.88	68.07	74.58	182.55	162.14	27.05	37.05	92.7	135.24	52.45	27.44	46.84	116.78	71.5	260.38	291.04	368.65	376.41	327.56	253.23	209.84	63.45	85.22	301.33	236.21	373.81	157.68	191.67	332.14	262.2	318.57	343.89	373.81	551.56	62.12	463.65	198.47	438.59	180.02	221.86	172.65	154.42	159.9	262.2	248.0	343.89	368.65	176.29	447.82	348.71	529.06	718.08	780.44	429.54	555.41	120.94	381.68	314.17	92.7	2.27	14.14	13.32	27.84	17.38	62.56	32.13	35.0	125.24	123.5	56.68	1.07	17.0	47.5	34.02	18.29	16.03	11.47	98.73	190.34	30.34	28.86
LAMA5	1870.53	1963.57	723.08	3349.13	1639.59	1721.16	2319.15	5441.3	1529.73	2104.58	2609.3	4123.49	3124.78	2591.27	1628.26	1295.13	2133.97	10440.2	5479.15	13681.08	11745.96	7230.1	5872.48	10154.69	3349.13	4607.24	7382.04	8840.04	8078.22	3395.89	8247.98	12076.21	9025.81	9474.59	13776.25	9540.5	13306.94	8658.09	15607.02	4450.27	13033.07	5913.33	5255.91	5555.65	9151.82	5329.3	7382.04	7537.18	10225.32	4181.07	3639.7	6561.36	7130.55	5633.22	3955.48	4937.99	6887.62	6337.83	2303.12	3690.52	5041.77	4038.61	981.29	860.08	934.76	1313.23	1529.73	3467.27	343.89	2485.67	1388.16	6792.79	2739.08	387.02	2047.0	1662.49	1322.37	1073.91	780.44	1059.11	2032.85	7280.4	3212.66	2303.12
LENG8	988.12	665.29	1030.12	791.35	842.36	802.41	753.83	2720.15	466.88	1216.75	2271.4	2224.63	981.29	684.02	1331.57	2591.27	2032.85	2209.26	2976.74	3235.01	3768.09	3212.66	3716.2	2555.58	4152.18	2417.67	3589.58	3742.05	5403.7	3081.75	3235.01	4903.87	2835.7	2976.74	2520.38	3124.78	8778.97	7130.55	5517.27	2758.13	5517.27	3190.46	2485.67	2032.85	3928.15	1733.13	4268.94	1977.24	4066.71	3716.2	3039.3	5255.91	3901.01	7911.95	4328.55	3491.39	5403.7	5147.73	4388.98	1923.14	4937.99	2451.44	961.07	417.77	423.61	624.99	1259.69	860.08	314.17	1794.29	2061.24	1477.58	902.89	77.25	466.88	559.28	507.46	320.8	255.0	191.67	1697.45	6121.9	1508.65	961.07
LPIN3	265.87	150.17	264.03	148.09	264.03	366.09	607.87	454.09	153.34	420.68	358.54	246.28	202.66	144.01	187.71	275.28	397.93	723.08	848.22	1001.93	497.0	629.35	1030.12	1313.23	1963.57	277.2	1104.13	684.02	679.29	1572.76	620.67	1781.89	620.67	703.28	1519.15	1963.57	2090.03	1295.13	1023.0	1369.04	1015.93	836.53	1605.83	624.99	665.29	476.71	947.83	674.59	1127.35	612.11	1015.93	371.22	1757.34	1733.13	2193.99	2664.15	995.0	1936.53	633.73	819.3	351.14	438.59	157.68	94.01	199.85	141.02	476.71	177.53	144.01	170.25	180.02	447.82	118.43	122.64	493.56	214.27	426.57	305.55	258.57	159.9	457.25	444.72	50.27	155.5
LZTR1	733.19	591.22	563.18	497.0	1111.82	493.56	271.48	607.87	555.41	486.75	723.08	785.88	457.25	525.39	457.25	674.59	629.35	1066.48	1135.2	1467.37	1407.55	3768.09	1304.15	1617.0	1963.57	791.35	1268.46	1467.37	1268.46	819.3	1073.91	1697.45	1359.57	1119.56	1709.26	1388.16	3540.14	1685.71	1498.22	872.1	1605.83	1331.57	1191.69	1037.29	1540.37	1023.0	1437.15	1529.73	1519.15	1216.75	988.12	1388.16	1457.23	1594.73	1119.56	1295.13	1119.56	1359.57	995.0	1111.82	1628.26	555.41	236.21	412.0	346.29	379.04	518.15	1104.13	129.69	314.17	303.44	1268.46	514.56	151.22	277.2	358.54	289.02	146.03	228.13	155.5	493.56	1605.83	457.25	974.5
MAN2C1	1662.49	679.29	1304.15	890.44	1295.13	954.43	802.41	1322.37	624.99	2434.5	1216.75	1508.65	854.13	928.3	429.54	1397.83	1397.83	2224.63	2303.12	2627.46	2468.49	3690.52	2720.15	2417.67	2520.38	2537.92	2163.77	2502.97	4210.15	3614.55	2224.63	7180.15	3419.52	1832.01	1685.71	4239.45	7433.4	3614.55	3690.52	2061.24	4869.99	2271.4	3540.14	1030.12	2178.83	1662.49	3103.19	1685.71	4543.8	1832.01	2061.24	4066.71	4152.18	4481.23	2468.49	3168.41	3742.05	3491.39	2682.69	1639.59	2133.97	1487.87	441.64	389.72	587.13	583.07	1066.48	656.11	435.55	1529.73	1388.16	3491.39	860.08	229.72	698.41	698.41	909.17	438.59	503.95	181.28	1030.12	2997.45	1096.5	988.12
MAPK8IP3	289.02	406.31	346.29	194.36	353.59	384.34	320.8	836.53	182.55	525.39	450.94	466.88	303.44	148.09	325.29	249.73	307.69	1268.46	988.12	1199.98	785.88	1073.91	866.07	1457.23	1104.13	511.0	1088.92	1143.1	616.37	1331.57	995.0	1745.2	1023.0	1378.57	1397.83	1350.18	2915.45	2835.7	1963.57	915.51	1508.65	836.53	529.06	366.09	896.64	1044.52	1059.11	921.88	1583.71	921.88	915.51	1350.18	1697.45	1551.09	1963.57	1350.18	1340.84	1498.22	624.99	775.05	1477.58	830.75	173.85	249.73	178.77	256.78	303.44	267.73	119.26	551.56	366.09	536.45	281.09	23.93	157.68	159.9	176.29	151.22	81.71	72.52	629.35	1295.13	224.97	256.78
MSANTD2	108.14	41.22	56.68	49.91	74.06	66.65	77.25	90.77	80.01	85.22	75.11	108.9	38.67	50.27	70.51	77.25	65.72	107.38	108.9	163.28	138.1	149.12	124.37	111.99	79.45	131.51	122.64	98.73	112.77	122.64	145.02	199.85	73.03	115.97	127.89	157.68	249.73	177.53	131.51	116.78	157.68	114.36	197.09	115.97	90.77	89.51	177.53	77.79	158.79	134.3	112.77	297.17	269.6	346.29	181.28	264.03	297.17	305.55	132.44	234.57	356.05	87.03	55.49	28.86	31.67	37.85	69.52	32.36	43.32	84.63	98.73	69.03	46.5	15.91	29.06	39.22	42.41	31.0	27.05	34.02	120.1	642.59	106.63	92.05
MSH5	136.19	102.97	171.45	429.54	251.48	122.64	223.41	249.73	64.34	133.36	176.29	157.68	110.43	157.68	120.94	346.29	142.01	693.58	633.73	954.43	289.02	409.15	403.5	435.55	169.07	796.86	371.22	206.94	954.43	255.0	351.14	909.17	414.87	547.75	595.34	785.88	612.11	444.72	607.87	256.78	1151.06	423.61	376.41	371.22	395.18	229.72	525.39	567.1	435.55	476.71	231.32	226.54	642.59	607.87	432.53	264.03	620.67	397.93	332.14	90.77	73.03	371.22	29.06	34.75	101.54	45.53	113.56	129.69	60.82	92.05	211.31	166.73	59.13	18.97	104.42	38.12	68.55	50.63	55.89	13.22	91.41	127.0	70.51	65.26
MSS51	16.03	9.13	6.67	11.91	18.84	10.79	7.22	15.56	9.41	30.56	12.93	19.39	9.27	12.64	8.0	10.47	8.71	12.0	34.02	34.75	28.04	26.28	27.64	25.72	18.03	24.46	23.93	32.82	40.64	25.91	35.25	63.0	10.24	42.11	22.59	27.64	82.29	53.57	9.85	25.17	103.69	20.26	30.12	13.12	20.56	11.04	50.27	50.98	13.03	57.89	19.39	74.06	63.45	66.65	33.3	50.63	64.34	65.72	40.64	30.34	69.52	11.3	3.5	3.63	2.81	3.44	9.2	4.86	2.68	6.78	4.46	19.53	8.51	2.03	3.47	10.39	7.88	6.89	3.89	5.82	12.09	81.14	13.03	13.12
MZF1	237.86	127.89	223.41	130.6	180.02	212.78	239.52	389.72	144.01	457.25	258.57	231.32	143.01	135.24	185.11	289.02	231.32	356.05	392.44	813.63	361.04	262.2	463.65	532.74	441.64	361.04	457.25	432.53	400.71	363.56	432.53	647.07	339.14	514.56	293.07	575.03	733.19	633.73	713.11	463.65	583.07	435.55	633.73	366.09	435.55	256.78	490.14	255.0	497.0	406.31	536.45	1088.92	995.0	1397.83	583.07	1340.84	1001.93	1369.04	379.04	878.17	743.43	198.47	100.83	63.89	111.99	171.45	167.9	218.79	72.01	208.38	234.57	271.48	237.86	34.02	123.5	111.99	177.53	100.83	105.15	99.43	371.22	1030.12	144.01	256.78
NEURL4	193.01	228.13	212.78	218.79	193.01	234.57	176.29	426.57	242.88	273.37	299.25	318.57	205.5	197.09	255.0	244.57	161.02	438.59	417.77	651.58	525.39	507.46	503.95	473.41	500.46	395.18	244.57	447.82	329.84	314.17	450.94	1001.93	406.31	332.14	423.61	954.43	718.08	305.55	743.43	447.82	802.41	511.0	579.04	406.31	483.38	301.33	543.96	567.1	567.1	595.34	412.0	819.3	842.36	748.61	389.72	651.58	638.15	802.41	420.68	571.05	759.08	195.72	109.66	76.17	165.57	128.79	273.37	170.25	62.56	131.51	89.51	223.41	183.82	57.89	145.02	114.36	166.73	151.22	162.14	96.01	273.37	532.74	269.6	248.0
NKTR	212.78	214.27	232.94	78.34	246.28	258.57	271.48	334.46	102.97	183.82	703.28	226.54	95.34	170.25	281.09	376.41	389.72	551.56	775.05	599.49	521.76	723.08	575.03	450.94	490.14	457.25	521.76	466.88	830.75	633.73	848.22	1407.55	511.0	733.19	1037.29	780.44	1950.0	1151.06	547.75	665.29	1167.14	612.11	397.93	368.65	536.45	329.84	941.27	409.15	780.44	1037.29	638.15	1397.83	1143.1	819.3	1030.12	902.89	1340.84	928.3	327.56	412.0	603.67	389.72	256.78	61.25	124.37	97.36	246.28	90.14	77.25	733.19	656.11	293.07	132.44	22.75	151.22	82.87	93.35	114.36	94.67	63.89	420.68	417.77	242.88	169.07
NPIPA1	679.29	336.79	624.99	444.72	703.28	624.99	417.77	1709.26	417.77	866.07	1250.98	728.11	688.78	928.3	579.04	703.28	967.76	2417.67	2645.74	3018.3	2645.74	1883.54	1909.85	3103.19	1870.53	1199.98	2682.69	1991.0	5479.15	2224.63	2287.2	4010.71	2271.4	3589.58	4152.18	3168.41	5441.3	5479.15	4358.66	1896.65	6652.97	1313.23	1529.73	896.64	2133.97	1697.45	3540.14	1674.06	2287.2	4038.61	1378.57	6561.36	2502.97	4152.18	2976.74	2319.15	2956.17	2739.08	1769.57	2004.85	4869.99	1001.93	616.37	111.99	125.24	457.25	432.53	323.03	127.0	1378.57	1233.75	995.0	483.38	76.17	392.44	341.51	414.87	212.78	182.55	305.55	599.49	3901.01	909.17	967.76
NPIPB11	11.91	11.64	21.47	5.68	7.28	8.0	13.32	24.99	7.17	16.88	11.55	23.59	8.78	10.0	12.09	6.57	12.93	52.08	80.57	66.65	46.18	34.26	30.78	105.15	43.32	43.63	90.77	39.5	312.0	54.72	49.21	138.1	39.22	101.54	71.5	127.0	105.89	108.9	77.79	42.71	100.83	41.22	75.11	39.5	60.39	25.35	45.53	81.71	31.0	40.07	31.45	59.97	109.66	75.64	80.57	53.57	68.07	94.01	97.36	66.18	72.52	14.67	7.82	2.32	5.06	7.82	7.0	5.5	3.29	22.59	11.3	28.04	10.31	3.11	6.89	12.09	6.57	3.2	1.93	15.34	26.86	75.64	6.21	14.35
NPIPB3	813.63	470.14	723.08	743.43	759.08	607.87	748.61	1794.29	387.02	1001.93	1242.34	1104.13	543.96	825.0	775.05	902.89	988.12	1477.58	1628.26	1909.85	1605.83	2075.59	1304.15	1844.76	1208.34	1733.13	2193.99	1199.98	4512.4	2895.31	1467.37	4836.35	1199.98	2701.35	2555.58	2537.92	3235.01	5517.27	2835.7	1359.57	2976.74	1295.13	1216.75	500.46	1151.06	995.0	1896.65	1870.53	1662.49	1529.73	1104.13	2434.5	3716.2	3928.15	2485.67	2319.15	3280.18	2520.38	2090.03	1397.83	1857.6	1378.57	423.61	126.12	234.57	435.55	723.08	363.56	177.53	1508.65	974.5	1322.37	384.34	68.07	309.83	438.59	312.0	265.87	242.88	563.18	967.76	2739.08	698.41	389.72
NPIPB4	239.52	226.54	400.71	152.28	327.56	336.79	366.09	915.51	91.41	273.37	665.29	325.29	183.82	162.14	480.04	525.39	438.59	1519.15	1685.71	1225.22	1331.57	1628.26	1030.12	1594.73	884.29	1216.75	1583.71	1167.14	3372.43	1909.85	1617.0	3614.55	981.29	2018.8	2133.97	2104.58	2319.15	4903.87	1923.14	1037.29	2701.35	1175.27	967.76	571.05	902.89	775.05	1674.06	1286.18	1477.58	1697.45	860.08	1437.15	3039.3	1651.0	1909.85	1745.2	1674.06	1721.16	624.99	1208.34	1745.2	591.22	161.02	98.73	146.03	133.36	403.5	96.68	76.17	1111.82	902.89	551.56	153.34	38.12	153.34	206.94	119.26	71.5	63.45	165.57	860.08	1388.16	163.28	241.19
NPIPB5	260.38	403.5	555.41	113.56	454.09	406.31	432.53	1350.18	139.07	318.57	1233.75	543.96	228.13	220.32	775.05	785.88	450.94	2591.27	3235.01	2555.58	2664.15	3235.01	2351.53	2148.82	1896.65	2255.7	2956.17	1832.01	5791.62	3847.29	3257.52	7589.61	2032.85	4152.18	3794.3	3901.01	4802.93	7589.61	4095.0	2193.99	4869.99	2032.85	1407.55	934.76	1745.2	1331.57	3146.52	2758.13	3060.45	3060.45	1844.76	4123.49	4802.93	5006.93	4937.99	4152.18	4328.55	3665.02	1175.27	1369.04	2367.9	1242.34	180.02	94.67	204.07	260.38	463.65	217.27	180.02	1111.82	1447.15	921.88	211.31	25.72	301.33	279.14	146.03	164.42	115.97	214.27	1477.58	2148.82	215.77	258.57
NRBP2	175.07	460.44	579.04	58.71	444.72	253.23	104.42	255.0	199.85	264.03	591.22	656.11	260.38	220.32	134.3	665.29	435.55	947.83	947.83	830.75	1051.79	1662.49	941.27	2047.0	7433.4	363.56	1617.0	1127.35	1119.56	2047.0	802.41	3257.52	1135.2	738.29	3039.3	1551.09	6381.92	2701.35	1191.69	764.36	1870.53	941.27	638.15	703.28	612.11	607.87	884.29	2417.67	928.3	693.58	551.56	1023.0	753.83	1044.52	713.11	693.58	967.76	785.88	543.96	231.32	656.11	579.04	283.05	256.78	153.34	454.09	376.41	363.56	67.12	368.65	376.41	612.11	277.2	20.26	72.52	90.14	88.26	40.64	59.55	35.25	353.59	400.71	435.55	223.41
