	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.ZVP2.0826.SM.59HJ6	GTEX.14E6E.1126.SM.5S2R4
CACTIN	269.6	339.14	334.46	309.83	470.14	307.69	497.0	334.46	366.09	154.42	450.94	361.04	307.69	395.18	373.81	412.0	312.0	450.94	389.72	518.15	307.69	470.14	351.14	373.81	256.78	332.14	316.37	297.17	275.28	325.29	241.19	251.48	229.72	258.57	414.87	500.46	486.75	426.57	441.64	363.56	417.77	289.02	303.44	323.03	353.59	438.59	432.53	435.55	529.06	314.17	297.17	223.41	329.84	327.56	412.0	307.69	381.68	406.31	197.09	226.54	189.02	379.04	503.95	309.83	267.73	318.57	341.51	444.72	318.57	406.31	441.64	403.5	463.65	267.73	260.38	555.41	450.94	540.19	532.74	366.09	400.71	318.57	507.46	409.15	320.8	327.56	244.57	376.41	258.57	164.42	231.32
CALML6	6.62	11.64	8.92	4.31	40.07	7.75	52.45	8.71	18.43	0.0	19.53	12.27	14.78	12.55	3.29	7.11	7.17	34.51	7.22	19.68	2.76	37.05	0.0	29.06	3.79	10.08	14.78	13.62	6.57	9.48	13.72	2.36	0.0	3.86	27.44	32.13	14.35	15.34	6.73	8.71	28.04	7.75	3.11	14.14	9.48	16.27	15.11	22.92	55.49	3.35	1.77	2.25	4.46	7.94	27.44	1.71	15.56	28.24	2.48	0.0	7.11	22.26	37.05	6.73	2.32	2.16	9.78	46.18	0.0	25.17	72.52	6.06	13.93	1.2	13.22	55.89	45.21	70.51	67.59	18.16	21.47	3.14	41.22	5.5	2.23	20.56	17.51	2.81	4.46	2.53	1.43
CAPN10	223.41	366.09	463.65	323.03	540.19	387.02	583.07	429.54	450.94	120.1	595.34	432.53	423.61	423.61	295.11	426.57	343.89	579.04	463.65	540.19	366.09	532.74	253.23	346.29	281.09	400.71	348.71	476.71	251.48	444.72	450.94	265.87	146.03	244.57	486.75	511.0	579.04	603.67	647.07	297.17	460.44	503.95	351.14	486.75	376.41	703.28	441.64	397.93	571.05	269.6	299.25	327.56	277.2	447.82	583.07	343.89	463.65	500.46	241.19	186.4	214.27	583.07	536.45	476.71	244.57	400.71	312.0	591.22	267.73	460.44	511.0	339.14	669.92	242.88	318.57	563.18	493.56	796.86	607.87	532.74	518.15	277.2	429.54	387.02	291.04	376.41	221.86	186.4	176.29	186.4	180.02
CCDC130	387.02	684.02	669.92	454.09	995.0	518.15	928.3	559.28	738.29	253.23	866.07	551.56	543.96	616.37	559.28	688.78	371.22	954.43	775.05	928.3	473.41	981.29	466.88	567.1	363.56	540.19	547.75	723.08	373.81	529.06	521.76	356.05	275.28	301.33	802.41	1030.12	836.53	909.17	791.35	423.61	743.43	693.58	529.06	708.18	703.28	842.36	591.22	830.75	1167.14	368.65	417.77	316.37	414.87	555.41	854.13	423.61	620.67	764.36	366.09	295.11	293.07	974.5	769.69	674.59	346.29	432.53	493.56	872.1	346.29	791.35	780.44	392.44	921.88	444.72	423.61	1242.34	802.41	1073.91	1216.75	693.58	753.83	432.53	836.53	518.15	381.68	743.43	414.87	414.87	332.14	258.57	343.89
CCDC84	237.86	273.37	470.14	129.69	642.59	417.77	624.99	177.53	400.71	140.04	547.75	262.2	262.2	325.29	320.8	511.0	114.36	463.65	420.68	503.95	224.97	703.28	177.53	341.51	137.14	329.84	299.25	547.75	149.12	277.2	289.02	215.77	127.0	120.94	571.05	599.49	389.72	733.19	275.28	208.38	387.02	265.87	138.1	299.25	384.34	500.46	295.11	551.56	753.83	154.42	101.54	141.02	115.16	384.34	457.25	217.27	429.54	563.18	139.07	123.5	217.27	607.87	450.94	329.84	185.11	218.79	269.6	860.08	90.77	571.05	563.18	148.09	633.73	155.5	205.5	866.07	674.59	1104.13	753.83	363.56	500.46	165.57	346.29	194.36	128.79	339.14	173.85	145.02	130.6	114.36	67.59
CCNL2	1304.15	2573.36	1936.53	872.1	4181.07	2417.67	4010.71	928.3	3081.75	791.35	3146.52	1457.23	1540.37	2537.92	1388.16	2555.58	733.19	4481.23	2367.9	3928.15	1295.13	3540.14	753.83	1936.53	698.41	1936.53	1651.0	3103.19	902.89	2148.82	2061.24	1313.23	651.58	921.88	3124.78	4181.07	3665.02	3395.89	1583.71	995.0	2935.74	1498.22	1617.0	2720.15	2178.83	3257.52	1769.57	2796.65	5633.22	941.27	1023.0	1088.92	791.35	1950.0	3874.05	1605.83	2367.9	3146.52	974.5	878.17	1037.29	4328.55	2178.83	2468.49	1295.13	1295.13	1437.15	3768.09	764.36	3124.78	2796.65	954.43	3280.18	928.3	802.41	3515.68	2997.45	6607.01	4152.18	2796.65	3303.0	866.07	2209.26	878.17	802.41	2090.03	733.19	679.29	842.36	460.44	343.89
CCS	612.11	1350.18	2104.58	1199.98	2148.82	1388.16	1781.89	1397.83	1651.0	718.08	1844.76	1340.84	1242.34	1457.23	1350.18	1781.89	1350.18	1794.29	1498.22	1594.73	1477.58	2061.24	1551.09	1721.16	1143.1	1457.23	1806.78	1963.57	1167.14	1051.79	1304.15	941.27	884.29	1059.11	1674.06	2502.97	2468.49	1923.14	1923.14	1639.59	1397.83	2104.58	1199.98	1769.57	1561.89	2061.24	1208.34	1844.76	2287.2	934.76	878.17	1066.48	1191.69	1427.22	1551.09	961.07	1697.45	1721.16	1175.27	624.99	947.83	1963.57	1936.53	1378.57	819.3	1388.16	1044.52	2224.63	1259.69	1519.15	2351.53	1088.92	1685.71	1216.75	1447.15	2434.5	2335.28	2209.26	2271.4	1721.16	1685.71	1127.35	1628.26	1467.37	1008.9	1806.78	1359.57	698.41	785.88	775.05	974.5
CDK11A	473.41	813.63	583.07	620.67	954.43	289.02	1088.92	629.35	780.44	417.77	921.88	684.02	536.45	733.19	503.95	665.29	435.55	941.27	764.36	540.19	514.56	961.07	511.0	540.19	366.09	1175.27	466.88	743.43	381.68	563.18	336.79	348.71	470.14	395.18	733.19	878.17	733.19	759.08	493.56	414.87	698.41	551.56	540.19	665.29	764.36	1073.91	669.92	825.0	1073.91	379.04	518.15	363.56	521.76	591.22	457.25	486.75	638.15	718.08	314.17	426.57	559.28	878.17	669.92	693.58	483.38	239.52	571.05	1119.56	234.57	775.05	738.29	332.14	896.64	348.71	251.48	878.17	836.53	1674.06	974.5	551.56	896.64	253.23	802.41	555.41	483.38	679.29	483.38	525.39	435.55	323.03	334.46
CENPT	454.09	819.3	679.29	400.71	947.83	688.78	1096.5	500.46	866.07	267.73	902.89	669.92	679.29	493.56	438.59	796.86	483.38	1127.35	547.75	1051.79	525.39	1135.2	497.0	813.63	412.0	612.11	583.07	1081.39	409.15	555.41	591.22	412.0	343.89	373.81	988.12	854.13	819.3	1175.27	575.03	480.04	830.75	417.77	595.34	559.28	551.56	1001.93	583.07	819.3	1397.83	358.54	507.46	441.64	486.75	819.3	878.17	503.95	723.08	915.51	206.94	376.41	392.44	1030.12	656.11	738.29	420.68	429.54	532.74	1096.5	392.44	612.11	915.51	514.56	525.39	447.82	460.44	1304.15	1233.75	1477.58	1369.04	775.05	878.17	463.65	941.27	532.74	463.65	836.53	454.09	423.61	368.65	297.17	223.41
CHKB	698.41	1030.12	1313.23	633.73	2004.85	1037.29	1991.0	902.89	1457.23	540.19	1277.29	1066.48	860.08	733.19	529.06	1088.92	848.22	2287.2	1135.2	1340.84	759.08	1628.26	785.88	866.07	400.71	647.07	748.61	2018.8	518.15	848.22	1015.93	620.67	283.05	412.0	1923.14	1685.71	1081.39	1268.46	896.64	902.89	1651.0	1023.0	909.17	1407.55	974.5	1551.09	819.3	1331.57	1781.89	457.25	624.99	540.19	769.69	995.0	1208.34	500.46	1286.18	1437.15	511.0	454.09	872.1	1427.22	1397.83	995.0	642.59	579.04	674.59	1963.57	493.56	1508.65	1508.65	356.05	1457.23	703.28	466.88	1639.59	1331.57	1870.53	2537.92	981.29	1313.23	802.41	1883.54	934.76	878.17	1844.76	915.51	490.14	703.28	503.95	438.59
CHTF18	89.51	218.79	287.01	80.57	476.71	303.44	323.03	111.99	248.0	84.63	212.78	201.25	154.42	234.57	186.4	316.37	144.01	318.57	309.83	1508.65	190.34	371.22	108.14	325.29	119.26	149.12	231.32	215.77	158.79	239.52	201.25	149.12	113.56	132.44	312.0	503.95	457.25	728.11	248.0	175.07	202.66	285.03	132.44	297.17	265.87	353.59	214.27	236.21	476.71	166.73	118.43	178.77	86.43	277.2	511.0	153.34	185.11	273.37	94.01	72.01	56.68	332.14	363.56	215.77	125.24	202.66	115.97	490.14	198.47	373.81	500.46	183.82	493.56	205.5	191.67	366.09	332.14	511.0	412.0	281.09	346.29	92.7	171.45	134.3	69.03	151.22	105.15	74.06	38.4	46.18	37.59
CLASRP	679.29	1417.35	902.89	591.22	1936.53	1023.0	2104.58	791.35	1617.0	460.44	1639.59	1119.56	872.1	1350.18	669.92	1304.15	463.65	1844.76	1295.13	2240.11	848.22	1896.65	599.49	1111.82	497.0	1081.39	1023.0	1457.23	480.04	884.29	878.17	688.78	387.02	563.18	1781.89	2119.22	1594.73	2367.9	1030.12	842.36	1457.23	1250.98	684.02	1313.23	1340.84	1583.71	1023.0	1745.2	2645.74	660.68	595.34	571.05	583.07	988.12	1794.29	872.1	1313.23	1498.22	500.46	583.07	583.07	1697.45	1322.37	1037.29	759.08	723.08	808.0	2178.83	466.88	1769.57	1096.5	679.29	1819.35	483.38	514.56	1794.29	1721.16	2855.44	2119.22	1519.15	1844.76	633.73	1242.34	579.04	591.22	1277.29	470.14	507.46	532.74	348.71	327.56
CNKSR1	332.14	579.04	567.1	329.84	679.29	514.56	698.41	476.71	616.37	228.13	780.44	473.41	532.74	444.72	417.77	575.03	438.59	703.28	406.31	884.29	295.11	583.07	371.22	587.13	384.34	450.94	688.78	571.05	356.05	567.1	341.51	414.87	265.87	406.31	656.11	753.83	591.22	642.59	432.53	429.54	656.11	629.35	314.17	575.03	373.81	769.69	503.95	674.59	438.59	441.64	287.01	329.84	397.93	647.07	373.81	450.94	543.96	486.75	195.72	314.17	329.84	759.08	703.28	532.74	258.57	454.09	387.02	830.75	409.15	629.35	620.67	466.88	764.36	473.41	297.17	872.1	854.13	1175.27	878.17	551.56	693.58	295.11	660.68	414.87	381.68	503.95	376.41	275.28	348.71	303.44	239.52
CPSF1	1191.69	1674.06	1896.65	1208.34	2627.46	1883.54	3955.48	1674.06	2061.24	669.92	2796.65	1745.2	2148.82	1806.78	1745.2	1651.0	1540.37	2875.3	2224.63	4358.66	1769.57	2835.7	1467.37	2104.58	1225.22	1322.37	2335.28	2287.2	1225.22	1477.58	2047.0	563.18	723.08	1044.52	1709.26	4671.57	3955.48	6207.38	2367.9	1388.16	2148.82	2163.77	1498.22	1896.65	2119.22	2915.45	1519.15	2104.58	5219.6	1950.0	1119.56	1769.57	1378.57	1806.78	2119.22	1268.46	2319.15	2255.7	921.88	819.3	947.83	2468.49	2468.49	1594.73	1159.07	1605.83	1295.13	3467.27	1662.49	2400.97	3515.68	1709.26	2335.28	1183.45	1369.04	3190.46	2855.44	3614.55	4639.29	1950.0	2384.37	1135.2	2018.8	1721.16	1081.39	1605.83	1242.34	1167.14	854.13	679.29	708.18
CPSF3L	1806.78	2537.92	2835.7	1745.2	3103.19	2133.97	2935.74	2287.2	2997.45	1572.76	3257.52	2367.9	2047.0	2351.53	1963.57	2855.44	2133.97	2976.74	2133.97	3589.58	2209.26	2915.45	2061.24	2417.67	1991.0	2209.26	2163.77	2485.67	2148.82	2032.85	2133.97	1991.0	1369.04	1923.14	2739.08	3690.52	2915.45	3190.46	2796.65	2287.2	2417.67	2855.44	1745.2	2520.38	2193.99	3589.58	2224.63	2520.38	3540.14	2240.11	1350.18	2018.8	2133.97	2645.74	2956.17	2075.59	2720.15	2400.97	1388.16	1685.71	1674.06	3039.3	2895.31	2319.15	1909.85	2303.12	2032.85	3060.45	1909.85	2537.92	3235.01	2061.24	3372.43	1745.2	1697.45	3146.52	3060.45	3847.29	3901.01	2502.97	3124.78	1781.89	2701.35	2178.83	1977.24	2384.37	1950.0	1674.06	1540.37	1143.1	1225.22
CPT1B	152.28	371.22	497.0	102.25	633.73	346.29	575.03	218.79	454.09	84.63	638.15	217.27	273.37	435.55	366.09	571.05	90.77	848.22	620.67	651.58	249.73	848.22	127.0	521.76	82.29	289.02	366.09	503.95	88.26	457.25	336.79	291.04	55.89	99.43	583.07	1044.52	723.08	679.29	351.14	134.3	490.14	414.87	279.14	363.56	470.14	780.44	366.09	733.19	1781.89	152.28	169.07	147.06	88.88	307.69	813.63	130.6	447.82	591.22	136.19	100.83	97.36	503.95	599.49	457.25	176.29	285.03	307.69	988.12	113.56	813.63	679.29	85.82	1167.14	161.02	127.0	866.07	860.08	1617.0	466.88	638.15	647.07	169.07	450.94	116.78	113.56	490.14	159.9	189.02	161.02	60.39	85.22
CROCC	273.37	242.88	361.04	194.36	595.34	299.25	587.13	206.94	256.78	77.79	518.15	271.48	275.28	426.57	242.88	287.01	209.84	403.5	244.57	607.87	193.01	426.57	181.28	244.57	161.02	277.2	346.29	256.78	228.13	255.0	291.04	81.71	57.89	161.02	395.18	633.73	507.46	334.46	281.09	221.86	423.61	312.0	236.21	363.56	490.14	403.5	265.87	435.55	620.67	186.4	202.66	144.01	171.45	334.46	563.18	165.57	316.37	356.05	102.97	85.22	70.01	536.45	356.05	226.54	155.5	162.14	318.57	397.93	201.25	291.04	476.71	202.66	454.09	186.4	136.19	457.25	327.56	693.58	616.37	285.03	397.93	171.45	289.02	180.02	139.07	144.01	169.07	262.2	110.43	127.89	69.52
CRYGS	24.11	19.68	48.18	7.4	92.05	46.5	85.82	18.97	44.89	7.11	49.91	24.28	23.93	49.91	38.67	43.63	13.32	92.7	41.81	144.01	31.45	107.38	15.45	31.67	8.45	27.25	48.18	112.77	13.72	26.28	48.87	16.88	11.21	24.99	55.49	123.5	57.89	61.25	49.21	14.78	42.71	24.28	35.5	46.5	49.56	81.71	29.48	39.5	142.01	16.15	15.56	14.89	14.35	49.21	54.33	20.41	58.71	76.71	18.7	13.22	28.24	69.03	71.0	32.59	21.01	16.51	31.9	88.26	7.0	66.65	76.17	16.88	46.84	15.8	25.17	140.04	118.43	164.42	150.17	21.78	70.01	11.47	58.3	23.42	10.96	46.5	18.29	10.63	10.08	8.13	7.22
CSAD	395.18	909.17	665.29	218.79	1350.18	1008.9	1769.57	414.87	878.17	214.27	1427.22	551.56	460.44	860.08	563.18	525.39	182.55	1639.59	928.3	1096.5	426.57	1135.2	237.86	543.96	163.28	547.75	642.59	1378.57	329.84	507.46	624.99	341.51	204.07	289.02	902.89	1781.89	2119.22	1277.29	426.57	305.55	1551.09	460.44	403.5	848.22	607.87	1259.69	607.87	1001.93	1697.45	301.33	251.48	279.14	224.97	796.86	1477.58	395.18	1096.5	1066.48	447.82	226.54	511.0	1498.22	698.41	616.37	366.09	264.03	447.82	1037.29	228.13	1437.15	836.53	218.79	1250.98	271.48	177.53	1295.13	1111.82	2758.13	1909.85	1135.2	947.83	301.33	1127.35	343.89	293.07	674.59	175.07	273.37	293.07	173.85	166.73
CTC-360G5.1	5.87	9.48	31.9	4.7	35.76	27.44	36.01	5.5	8.58	1.5	28.24	7.22	21.94	29.06	9.27	28.24	1.5	31.67	27.84	82.87	6.94	38.67	6.06	50.27	4.24	13.22	10.47	19.68	1.99	9.34	12.64	8.45	2.03	7.11	32.36	59.55	56.28	91.41	5.5	7.22	32.36	30.34	9.06	7.57	40.93	27.05	20.71	15.11	195.72	8.06	3.99	5.68	4.9	13.72	35.0	4.74	14.78	35.5	5.32	0.0	7.28	31.9	60.39	15.22	7.82	9.63	3.44	84.63	5.28	33.54	22.1	6.31	70.01	2.94	5.32	78.34	42.71	96.01	38.95	45.85	37.59	3.96	13.72	2.86	5.45	27.84	2.73	5.15	2.51	0.13	0.0
CTD-2369P2.10	17.9	18.97	24.28	9.48	32.82	18.29	19.53	7.75	25.17	4.9	27.25	11.04	20.56	18.97	17.64	26.86	12.09	37.32	7.34	36.79	16.15	29.27	13.83	14.14	14.24	13.03	19.68	39.79	9.06	16.03	18.03	9.34	5.87	13.03	22.43	47.5	32.59	34.02	17.9	15.68	30.12	25.17	16.27	23.42	22.1	29.48	10.88	27.64	44.89	8.92	8.38	10.0	9.93	30.34	24.46	10.31	26.67	22.26	17.64	5.5	14.89	42.41	42.11	17.13	13.42	10.16	10.31	43.94	8.92	28.86	36.53	9.85	45.21	10.24	13.93	48.18	35.0	49.56	47.17	20.71	31.67	11.47	26.86	13.62	7.51	30.34	7.4	8.58	8.65	8.45	12.74
D2HGDH	656.11	808.0	1242.34	642.59	1487.87	884.29	2119.22	728.11	1051.79	409.15	1417.35	674.59	733.19	825.0	713.11	1199.98	780.44	1313.23	830.75	1135.2	780.44	1417.35	703.28	1467.37	536.45	802.41	854.13	954.43	759.08	1015.93	1151.06	660.68	423.61	503.95	974.5	1745.2	1572.76	1191.69	854.13	785.88	1457.23	1242.34	836.53	896.64	1081.39	1447.15	684.02	836.53	2935.74	708.18	500.46	583.07	599.49	1407.55	1806.78	624.99	1350.18	1259.69	563.18	457.25	384.34	1304.15	1427.22	988.12	409.15	555.41	620.67	1685.71	426.57	1617.0	1721.16	473.41	1721.16	708.18	536.45	1896.65	1477.58	1950.0	1806.78	1216.75	1407.55	532.74	1159.07	769.69	473.41	866.07	507.46	620.67	447.82	287.01	273.37
DCST2	24.99	77.25	94.67	12.83	135.24	76.17	120.94	36.53	80.57	17.0	71.0	38.67	44.57	52.82	38.4	54.33	30.78	120.1	67.59	149.12	29.91	87.03	26.47	82.29	19.97	33.3	33.3	143.01	22.92	59.13	40.93	40.36	13.72	23.93	70.51	154.42	191.67	194.36	54.72	16.39	76.71	93.35	45.53	59.55	53.57	77.79	23.93	72.01	157.68	15.68	35.0	20.26	11.91	47.5	99.43	33.06	116.78	123.5	23.76	3.06	31.45	99.43	157.68	47.84	30.34	23.25	19.97	279.14	31.22	150.17	157.68	25.35	126.12	11.82	34.02	149.12	145.02	198.47	170.25	64.8	98.73	32.82	76.17	60.82	17.13	108.9	9.2	23.08	14.89	8.06	11.38
DMAP1	633.73	813.63	1135.2	753.83	1159.07	819.3	1135.2	928.3	902.89	575.03	1159.07	941.27	981.29	808.0	808.0	974.5	825.0	988.12	941.27	1437.15	872.1	1127.35	759.08	1023.0	890.44	764.36	1151.06	1059.11	819.3	909.17	769.69	620.67	629.35	764.36	1001.93	1159.07	1151.06	941.27	1388.16	769.69	909.17	1286.18	723.08	934.76	1066.48	1322.37	988.12	878.17	1259.69	733.19	684.02	723.08	848.22	1104.13	934.76	743.43	1037.29	1015.93	825.0	503.95	669.92	1127.35	1001.93	1015.93	651.58	884.29	759.08	1175.27	813.63	1059.11	1216.75	825.0	1111.82	884.29	848.22	1378.57	1175.27	1216.75	1216.75	981.29	1286.18	785.88	941.27	884.29	738.29	1008.9	866.07	738.29	629.35	669.92	460.44
DNHD1	67.59	71.0	81.71	28.86	102.25	100.83	139.07	37.05	92.05	27.05	117.6	59.55	47.17	103.69	42.71	58.3	23.08	123.5	56.28	135.24	43.02	108.14	37.32	53.19	18.43	37.05	60.82	76.71	36.79	57.89	56.28	71.0	24.46	24.99	72.01	132.44	183.82	48.87	40.64	28.86	81.71	27.05	41.22	64.8	68.55	85.22	55.1	71.0	169.07	46.5	52.45	32.36	14.14	91.41	120.1	38.95	63.0	93.35	18.84	29.91	52.82	154.42	104.42	41.81	53.57	14.35	62.56	144.01	33.78	62.56	129.69	34.26	80.57	29.7	22.1	143.01	79.45	190.34	156.59	55.1	82.29	31.22	71.0	40.07	49.21	51.35	26.1	27.44	29.27	22.26	19.11
DPH7	334.46	500.46	656.11	371.22	1015.93	532.74	854.13	387.02	703.28	255.0	802.41	525.39	400.71	830.75	497.0	660.68	297.17	995.0	718.08	1191.69	503.95	836.53	323.03	507.46	366.09	563.18	616.37	921.88	316.37	567.1	603.67	438.59	283.05	336.79	723.08	1225.22	1135.2	1191.69	647.07	409.15	665.29	656.11	473.41	743.43	567.1	890.44	525.39	665.29	1259.69	397.93	307.69	435.55	356.05	684.02	1001.93	435.55	738.29	743.43	314.17	368.65	397.93	872.1	791.35	769.69	361.04	476.71	532.74	872.1	283.05	723.08	909.17	420.68	1551.09	376.41	336.79	995.0	819.3	1605.83	1159.07	947.83	1015.93	397.93	607.87	312.0	384.34	656.11	351.14	348.71	267.73	205.5	199.85
DUS3L	353.59	642.59	483.38	432.53	813.63	642.59	836.53	438.59	866.07	297.17	743.43	409.15	490.14	775.05	591.22	603.67	387.02	738.29	607.87	1030.12	493.56	759.08	363.56	620.67	423.61	450.94	463.65	563.18	307.69	642.59	624.99	381.68	251.48	387.02	587.13	854.13	928.3	872.1	791.35	397.93	684.02	387.02	325.29	575.03	603.67	928.3	532.74	642.59	866.07	314.17	260.38	480.04	417.77	563.18	830.75	366.09	571.05	647.07	339.14	392.44	283.05	555.41	514.56	571.05	363.56	432.53	441.64	723.08	406.31	651.58	693.58	454.09	842.36	275.28	361.04	866.07	660.68	785.88	909.17	684.02	603.67	500.46	551.56	447.82	409.15	583.07	470.14	373.81	444.72	293.07	363.56
EFHC1	148.09	183.82	329.84	102.97	397.93	638.15	281.09	105.89	275.28	139.07	297.17	172.65	182.55	269.6	115.97	287.01	191.67	327.56	251.48	463.65	193.01	403.5	112.77	264.03	98.04	242.88	214.27	376.41	177.53	197.09	358.54	256.78	162.14	269.6	339.14	435.55	312.0	490.14	159.9	98.73	293.07	229.72	115.97	256.78	269.6	260.38	127.0	251.48	285.03	169.07	182.55	189.02	138.1	269.6	265.87	178.77	301.33	262.2	144.01	141.02	211.31	271.48	228.13	242.88	183.82	105.89	228.13	299.25	105.89	392.44	241.19	120.94	392.44	212.78	105.15	406.31	406.31	473.41	423.61	289.02	293.07	161.02	190.34	96.68	197.09	258.57	91.41	124.37	112.77	162.14	96.01
EME2	115.97	255.0	193.01	111.99	423.61	381.68	457.25	92.05	248.0	60.82	279.14	171.45	147.06	253.23	95.34	423.61	98.73	476.71	325.29	540.19	138.1	444.72	94.67	563.18	69.52	206.94	128.79	312.0	91.41	226.54	246.28	176.29	67.59	66.18	341.51	665.29	483.38	551.56	132.44	105.89	417.77	205.5	138.1	275.28	299.25	267.73	147.06	318.57	764.36	80.01	129.69	107.38	72.52	269.6	466.88	220.32	258.57	376.41	91.41	58.71	99.43	457.25	371.22	251.48	95.34	108.14	149.12	444.72	85.22	392.44	693.58	96.01	624.99	88.88	49.21	303.44	325.29	1059.11	651.58	332.14	301.33	65.72	214.27	100.83	96.01	193.01	60.82	47.17	67.12	67.12	54.72
EML3	665.29	909.17	890.44	633.73	1225.22	693.58	1233.75	591.22	1242.34	432.53	1081.39	738.29	651.58	988.12	665.29	947.83	780.44	1081.39	1199.98	825.0	728.11	1359.57	620.67	808.0	532.74	775.05	934.76	808.0	748.61	915.51	819.3	638.15	429.54	521.76	954.43	1119.56	1233.75	1051.79	1175.27	753.83	854.13	928.3	444.72	981.29	1233.75	934.76	674.59	902.89	1167.14	769.69	718.08	656.11	540.19	802.41	1417.35	813.63	1030.12	1008.9	878.17	511.0	529.06	961.07	1119.56	555.41	500.46	579.04	669.92	1313.23	738.29	1143.1	890.44	493.56	866.07	708.18	497.0	981.29	1159.07	1008.9	1378.57	872.1	854.13	466.88	780.44	633.73	536.45	860.08	595.34	620.67	470.14	329.84	409.15
