	TCGA.BT.A2LD.01A.12R.A20F.07	TCGA.XF.A9T2.01A.11R.A42T.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.DK.A1A3.01A.11R.A13Y.07	TCGA.2F.A9KW.01A.11R.A38B.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.XF.AAN2.01A.11R.A42T.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.A8.A07L.01A.11R.A00Z.07	TCGA.C8.A12W.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.W5.AA38.01A.11R.A41I.07	TCGA.W5.AA2X.01A.11R.A41I.07	TCGA.YR.A95A.01A.12R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.AD.6889.01A.11R.1928.07	TCGA.AM.5821.01A.01R.1653.07	TCGA.AD.5900.01A.11R.1653.07	TCGA.A6.5662.01A.01R.1653.07	TCGA.AD.6895.01A.11R.1928.07	GTEX.1399R.2226.SM.5P9JB	GTEX.11TT1.1026.SM.5PNW7	TCGA.B0.5098.01A.01R.1420.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.FV.A3I0.01A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.FV.A2QR.11A.11R.A213.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.ZTPG.1426.SM.51MT3	GTEX.13FTW.1126.SM.5J2NV	GTEX.REY6.1226.SM.48FDR	TCGA.50.5936.01A.11R.1628.07	TCGA.44.7669.01A.21R.2066.07	TCGA.53.7624.01A.11R.2066.07	TCGA.05.4415.01A.22R.1858.07	TCGA.21.1083.01A.01R.0692.07	TCGA.58.8388.01A.11R.2326.07	TCGA.85.6560.01A.11R.1820.07	TCGA.39.5040.01A.21R.2125.07	TCGA.34.5927.01A.11R.1820.07	TCGA.AF.5654.01A.01R.1660.07	TCGA.AF.2693.01A.02R.1736.07	TCGA.AG.3731.01A.11R.1736.07	TCGA.EI.6507.01A.11R.1736.07	TCGA.G5.6233.01A.11R.1736.07	TCGA.CD.5799.01A.11R.1602.13	TCGA.BR.6852.01A.11R.1884.13	TCGA.CG.5720.01A.11R.1602.13	TCGA.HU.A4GN.01A.11R.A251.31	TCGA.BR.8678.01A.11R.2402.13	TCGA.D7.5578.01A.01R.1602.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.B7.A5TK.01A.12R.A36D.31	TCGA.VQ.A8P3.01A.11R.A36D.31	TCGA.BR.7707.01A.11R.2055.13	TCGA.VQ.AA69.01A.11R.A414.31	TCGA.EY.A1GL.01A.11R.A13S.07
EPG5	92.05	163.28	143.01	79.45	65.72	138.1	231.32	226.54	74.06	205.5	173.85	205.5	255.0	167.9	147.06	87.65	108.14	86.43	101.54	106.63	163.28	50.98	81.71	231.32	60.82	63.89	108.9	70.01	52.08	76.17	105.15	75.64	67.59	59.55	45.53	89.51	90.14	67.12	119.26	68.55	85.82	157.68	133.36	110.43	155.5	150.17	258.57	157.68	256.78	228.13	140.04	99.43	189.02	212.78	115.16	60.82	186.4	107.38	181.28	358.54	139.07	117.6	111.99	120.1	83.45	371.22	173.85
ESCO1	115.16	205.5	187.71	132.44	137.14	157.68	242.88	142.01	92.7	137.14	141.02	224.97	180.02	242.88	187.71	138.1	183.82	161.02	148.09	131.51	198.47	118.43	116.78	231.32	94.01	80.57	86.43	74.58	92.7	73.03	175.07	17.64	104.42	92.7	98.04	129.69	81.71	81.14	176.29	46.18	103.69	164.42	309.83	156.59	281.09	309.83	204.07	176.29	325.29	332.14	181.28	126.12	194.36	346.29	146.03	171.45	182.55	100.83	158.79	358.54	140.04	127.89	180.02	241.19	105.89	366.09	143.01
EXTL2	81.71	217.27	154.42	182.55	165.57	256.78	82.29	166.73	69.52	158.79	144.01	121.79	119.26	318.57	197.09	99.43	133.36	371.22	109.66	165.57	155.5	68.07	76.17	262.2	85.82	98.73	71.5	85.22	71.0	78.89	85.22	40.64	102.97	69.52	84.63	134.3	80.01	82.87	29.48	52.45	61.68	273.37	414.87	130.6	403.5	138.1	358.54	303.44	406.31	341.51	175.07	260.38	175.07	483.38	115.97	123.5	50.98	64.8	80.01	267.73	84.63	133.36	112.77	204.07	96.68	314.17	131.51
FAM120C	60.82	92.7	105.15	57.89	91.41	68.55	84.63	58.3	144.01	194.36	150.17	84.04	67.12	124.37	56.68	41.22	58.71	56.68	42.41	35.76	33.3	33.78	21.94	75.11	71.5	51.71	51.71	78.89	57.08	43.94	105.15	29.27	61.68	40.36	59.97	44.89	56.28	55.1	40.07	21.01	28.04	56.68	100.13	63.89	106.63	59.13	165.57	145.02	42.71	113.56	109.66	47.5	95.34	161.02	115.97	91.41	43.63	38.67	95.34	78.34	80.01	41.22	121.79	98.04	63.0	121.79	63.89
FAM168B	507.46	743.43	271.48	204.07	1008.9	429.54	387.02	336.79	256.78	1183.45	656.11	497.0	543.96	1119.56	796.86	500.46	620.67	297.17	808.0	1096.5	529.06	532.74	698.41	825.0	197.09	567.1	281.09	514.56	325.29	299.25	693.58	327.56	417.77	297.17	258.57	395.18	693.58	226.54	466.88	559.28	381.68	808.0	1322.37	1427.22	1088.92	1417.35	1457.23	1540.37	1023.0	2004.85	1199.98	1030.12	1051.79	1183.45	511.0	669.92	551.56	1096.5	842.36	1508.65	830.75	954.43	450.94	579.04	490.14	995.0	679.29
FOXK1	75.11	208.38	120.94	59.13	89.51	62.56	137.14	94.01	127.89	190.34	136.19	108.14	97.36	363.56	95.34	96.01	271.48	167.9	603.67	176.29	381.68	60.39	102.25	221.86	94.67	98.04	46.18	81.14	80.01	72.01	151.22	49.91	84.63	94.01	73.54	61.68	74.06	61.25	148.09	48.52	108.9	226.54	351.14	201.25	769.69	281.09	500.46	267.73	237.86	483.38	336.79	237.86	361.04	366.09	323.03	283.05	432.53	277.2	624.99	463.65	325.29	287.01	167.9	264.03	215.77	351.14	173.85
GEN1	90.77	69.52	163.28	104.42	127.0	61.25	193.01	78.34	35.25	161.02	59.97	137.14	57.49	157.68	125.24	73.54	49.91	27.64	62.56	36.27	61.68	78.34	128.79	64.34	57.89	40.93	80.01	39.5	21.63	33.54	19.39	19.53	26.1	27.64	50.27	49.56	84.04	43.94	16.15	54.33	38.12	95.34	255.0	150.17	119.26	142.01	175.07	114.36	199.85	141.02	92.05	73.03	170.25	104.42	96.01	57.08	130.6	55.89	182.55	176.29	65.26	85.82	88.88	126.12	67.12	297.17	21.16
GOPC	241.19	190.34	248.0	236.21	212.78	320.8	412.0	242.88	133.36	220.32	244.57	281.09	80.01	417.77	166.73	167.9	221.86	285.03	253.23	339.14	267.73	277.2	307.69	444.72	153.34	163.28	138.1	116.78	115.16	104.42	88.26	120.1	180.02	136.19	167.9	193.01	171.45	137.14	139.07	117.6	157.68	384.34	312.0	329.84	358.54	249.73	395.18	486.75	493.56	447.82	297.17	234.57	503.95	518.15	246.28	208.38	260.38	182.55	283.05	551.56	197.09	271.48	260.38	343.89	193.01	373.81	234.57
GPATCH2L	113.56	137.14	158.79	111.99	163.28	125.24	212.78	186.4	176.29	198.47	180.02	178.77	88.88	239.52	164.42	144.01	182.55	231.32	164.42	180.02	229.72	53.95	177.53	299.25	105.89	39.5	63.0	59.55	54.33	78.34	62.12	50.63	112.77	73.54	93.35	127.0	94.67	61.25	208.38	105.89	53.95	199.85	258.57	341.51	400.71	185.11	339.14	246.28	267.73	244.57	189.02	229.72	237.86	309.83	220.32	152.28	190.34	166.73	249.73	258.57	191.67	151.22	158.79	153.34	150.17	379.04	120.94
GPATCH8	229.72	215.77	327.56	187.71	142.01	175.07	291.04	88.26	93.35	248.0	373.81	242.88	142.01	329.84	202.66	114.36	214.27	255.0	265.87	387.02	291.04	89.51	201.25	242.88	74.06	67.12	63.89	52.82	57.49	68.07	220.32	51.71	87.65	67.12	63.45	146.03	99.43	64.8	116.78	66.65	58.3	353.59	389.72	267.73	376.41	318.57	599.49	346.29	387.02	470.14	289.02	348.71	518.15	624.99	289.02	180.02	379.04	237.86	316.37	521.76	305.55	271.48	307.69	332.14	239.52	769.69	177.53
GPR75	5.02	9.41	11.13	4.06	11.73	2.01	24.46	4.1	3.69	11.21	6.78	23.25	0.61	13.52	7.28	18.43	6.62	5.59	4.5	10.63	20.71	1.04	14.24	3.63	3.38	9.48	2.34	2.51	9.93	11.21	9.06	10.55	9.56	7.63	8.32	15.68	12.93	8.19	12.45	26.86	3.59	8.58	29.27	12.0	6.62	42.11	78.34	26.86	39.22	46.5	14.03	14.56	18.84	17.13	12.83	10.24	8.32	10.24	22.1	36.27	15.34	15.91	8.13	11.13	5.73	19.82	3.89
GTF2H1	500.46	414.87	423.61	529.06	567.1	299.25	703.28	316.37	226.54	703.28	412.0	493.56	551.56	563.18	267.73	287.01	351.14	518.15	532.74	591.22	441.64	221.86	414.87	909.17	346.29	293.07	332.14	287.01	226.54	180.02	283.05	113.56	420.68	285.03	412.0	353.59	329.84	295.11	497.0	318.57	381.68	532.74	728.11	603.67	1313.23	525.39	1001.93	961.07	703.28	941.27	392.44	684.02	647.07	454.09	967.76	305.55	486.75	457.25	543.96	1008.9	381.68	397.93	579.04	493.56	406.31	514.56	297.17
HEATR1	205.5	167.9	185.11	189.02	187.71	96.68	234.57	149.12	91.41	137.14	346.29	164.42	108.14	414.87	122.64	74.06	116.78	206.94	244.57	231.32	163.28	46.84	215.77	397.93	73.54	90.77	56.68	64.8	51.35	37.85	99.43	32.13	75.11	57.89	53.57	77.25	83.45	47.84	100.13	78.34	43.63	327.56	379.04	285.03	928.3	379.04	351.14	651.58	368.65	624.99	260.38	265.87	351.14	273.37	215.77	187.71	234.57	198.47	397.93	346.29	301.33	231.32	211.31	198.47	236.21	403.5	119.26
HEATR5B	140.04	136.19	231.32	285.03	215.77	209.84	212.78	107.38	59.55	267.73	271.48	246.28	73.03	244.57	139.07	107.38	108.14	78.34	119.26	153.34	117.6	75.11	143.01	151.22	85.82	67.59	79.45	70.51	40.36	31.0	138.1	56.68	99.43	56.28	75.11	108.14	108.14	81.14	66.65	68.55	73.54	206.94	251.48	176.29	156.59	177.53	224.97	262.2	341.51	320.8	166.73	157.68	198.47	234.57	159.9	89.51	176.29	137.14	201.25	226.54	141.02	239.52	124.37	162.14	108.9	327.56	186.4
HELB	10.24	6.52	12.18	10.71	40.36	3.96	14.56	11.21	4.54	12.27	15.22	19.39	5.41	19.68	6.89	11.04	7.75	41.52	30.78	45.85	19.53	4.39	30.78	34.26	7.75	6.26	4.17	4.9	3.66	2.92	9.56	4.98	33.54	18.29	19.39	9.27	13.93	4.46	14.14	17.77	4.98	36.79	111.99	43.63	66.18	49.56	58.3	32.13	36.01	42.11	30.56	13.42	50.98	72.52	16.39	18.03	55.89	16.39	95.34	58.3	33.78	21.32	63.0	39.22	34.51	43.94	4.46
HIAT1	423.61	379.04	642.59	417.77	490.14	497.0	518.15	417.77	318.57	866.07	483.38	718.08	400.71	480.04	543.96	414.87	470.14	688.78	579.04	583.07	356.05	258.57	555.41	397.93	339.14	289.02	214.27	226.54	295.11	169.07	444.72	202.66	511.0	379.04	414.87	366.09	483.38	353.59	525.39	307.69	323.03	693.58	988.12	616.37	708.18	1096.5	854.13	1369.04	665.29	1199.98	708.18	753.83	902.89	728.11	571.05	366.09	651.58	412.0	679.29	915.51	447.82	483.38	941.27	591.22	518.15	842.36	361.04
HMGN4	1073.91	1685.71	967.76	1059.11	708.18	988.12	1628.26	2573.36	493.56	1250.98	748.61	981.29	836.53	1388.16	616.37	309.83	1721.16	1963.57	1467.37	2004.85	1268.46	866.07	1159.07	1896.65	346.29	285.03	318.57	289.02	381.68	283.05	1551.09	231.32	209.84	143.01	180.02	480.04	316.37	258.57	500.46	414.87	366.09	1923.14	1709.26	2075.59	1073.91	1378.57	921.88	3168.41	1322.37	1199.98	1001.93	1008.9	1781.89	1832.01	1208.34	603.67	1721.16	1044.52	1037.29	1757.34	878.17	363.56	1286.18	688.78	1066.48	1250.98	518.15
KANSL1	368.65	802.41	764.36	366.09	283.05	486.75	397.93	206.94	297.17	567.1	567.1	514.56	429.54	669.92	555.41	205.5	450.94	277.2	529.06	703.28	579.04	303.44	392.44	909.17	197.09	173.85	156.59	144.01	150.17	152.28	366.09	111.99	199.85	164.42	183.82	299.25	195.72	124.37	253.23	170.25	231.32	587.13	703.28	450.94	638.15	819.3	1159.07	890.44	603.67	988.12	423.61	518.15	660.68	974.5	511.0	6607.01	514.56	426.57	529.06	1059.11	543.96	547.75	429.54	279.14	281.09	1286.18	325.29
KIAA0195	1051.79	1088.92	1295.13	381.68	1051.79	1963.57	713.11	848.22	961.07	1909.85	780.44	1457.23	738.29	1977.24	718.08	567.1	1487.87	343.89	748.61	915.51	1001.93	1304.15	599.49	1781.89	327.56	954.43	575.03	651.58	1066.48	718.08	563.18	759.08	281.09	325.29	197.09	563.18	764.36	460.44	543.96	423.61	559.28	988.12	1216.75	1447.15	1295.13	1127.35	1781.89	1605.83	2224.63	1175.27	698.41	988.12	1127.35	1639.59	1001.93	848.22	1340.84	1340.84	934.76	1407.55	988.12	1199.98	583.07	961.07	693.58	2367.9	961.07
KIAA0947	125.24	154.42	183.82	177.53	215.77	118.43	159.9	128.79	104.42	316.37	159.9	180.02	158.79	256.78	135.24	111.21	127.0	264.03	198.47	201.25	189.02	82.87	180.02	208.38	98.04	51.35	70.01	62.12	50.63	104.42	218.79	29.7	111.99	82.29	98.04	121.79	103.69	82.29	76.71	88.88	33.3	256.78	497.0	265.87	334.46	181.28	543.96	872.1	285.03	409.15	202.66	285.03	414.87	309.83	146.03	120.1	214.27	141.02	285.03	684.02	185.11	171.45	190.34	191.67	140.04	275.28	128.79
KRT18	144427.91	214407.12	77396.54	90146.51	126606.21	97965.44	118949.35	94628.34	95286.54	190574.09	226632.25	118127.7	81244.48	152662.96	93974.69	37379.55	148488.36	489177.0	355624.68	636586.81	313910.86	51775.15	80683.28	181548.07	53973.86	23656.34	28923.41	41188.81	20881.4	22850.48	88905.42	12764.83	36610.26	28132.47	36106.23	38966.94	37639.55	34158.52	53601.03	44452.21	31870.96	56265.94	23492.92	154794.07	104271.56	6121.9	2777.33	3018.3	90146.51	12329.98	102125.66	112532.89	102125.66	88905.42	151608.43	88291.3	131071.0	83528.61	117311.73	27553.49	71714.63	66449.85	110216.97	138544.47	118949.35	13968.57	102125.66
LATS1	74.58	129.69	85.22	74.58	142.01	112.77	108.14	102.25	58.71	258.57	171.45	197.09	44.25	223.41	69.03	90.14	80.57	113.56	140.04	148.09	141.02	62.12	157.68	208.38	55.89	45.85	40.36	28.45	44.57	47.84	65.26	43.02	92.7	65.72	78.34	100.13	78.89	71.0	114.36	39.5	100.13	215.77	273.37	229.72	239.52	214.27	312.0	228.13	204.07	258.57	114.36	102.97	212.78	293.07	143.01	135.24	224.97	146.03	237.86	444.72	152.28	173.85	226.54	141.02	115.97	426.57	111.21
LEMD3	108.9	197.09	215.77	289.02	191.67	165.57	202.66	146.03	135.24	289.02	269.6	265.87	67.12	551.56	143.01	144.01	170.25	237.86	234.57	532.74	205.5	140.04	346.29	211.31	96.68	54.72	64.8	45.53	75.64	61.25	176.29	63.89	151.22	118.43	150.17	120.1	152.28	105.89	154.42	77.79	85.82	256.78	616.37	463.65	206.94	269.6	323.03	463.65	206.94	447.82	297.17	295.11	384.34	423.61	190.34	155.5	212.78	199.85	215.77	1397.83	361.04	226.54	379.04	193.01	158.79	414.87	152.28
LLGL1	368.65	547.75	125.24	237.86	283.05	229.72	466.88	249.73	181.28	255.0	318.57	303.44	151.22	295.11	139.07	39.22	146.03	214.27	293.07	358.54	171.45	122.64	115.16	307.69	49.56	40.64	50.98	80.57	94.67	212.78	164.42	31.22	21.63	13.72	15.91	82.29	50.27	28.24	60.39	61.68	21.47	204.07	346.29	242.88	157.68	223.41	529.06	463.65	297.17	483.38	135.24	145.02	289.02	529.06	115.97	253.23	417.77	346.29	361.04	368.65	297.17	209.84	212.78	279.14	297.17	521.76	159.9
LRRC58	120.1	189.02	198.47	403.5	185.11	108.14	291.04	111.99	57.89	532.74	132.44	218.79	90.77	264.03	112.77	102.25	103.69	169.07	211.31	163.28	111.99	52.82	133.36	314.17	71.5	82.29	93.35	77.79	55.89	65.72	114.36	28.86	131.51	95.34	103.69	90.14	108.14	84.04	68.55	111.99	73.03	273.37	320.8	275.28	202.66	309.83	423.61	429.54	336.79	406.31	228.13	231.32	237.86	262.2	151.22	265.87	228.13	172.65	307.69	669.92	215.77	165.57	262.2	343.89	239.52	429.54	201.25
MAP3K7	226.54	264.03	287.01	198.47	295.11	267.73	373.81	190.34	106.63	212.78	241.19	267.73	120.94	633.73	309.83	178.77	209.84	366.09	211.31	361.04	264.03	136.19	236.21	514.56	157.68	171.45	211.31	143.01	82.29	140.04	120.94	64.34	198.47	96.01	156.59	209.84	172.65	204.07	232.94	105.15	149.12	356.05	400.71	438.59	417.77	669.92	599.49	483.38	450.94	540.19	329.84	239.52	444.72	409.15	228.13	226.54	223.41	193.01	307.69	518.15	223.41	242.88	363.56	287.01	194.36	381.68	265.87
MARCH7	708.18	629.35	575.03	426.57	429.54	669.92	1051.79	1037.29	155.5	947.83	693.58	1359.57	463.65	1119.56	620.67	728.11	441.64	1340.84	543.96	775.05	669.92	403.5	819.3	738.29	559.28	463.65	409.15	403.5	444.72	381.68	423.61	232.94	684.02	532.74	723.08	612.11	521.76	595.34	575.03	307.69	647.07	1250.98	1119.56	1651.0	1519.15	1936.53	1388.16	915.51	1769.57	2148.82	915.51	819.3	1096.5	1008.9	642.59	356.05	518.15	277.2	460.44	1304.15	381.68	684.02	728.11	647.07	363.56	1685.71	587.13
MCM9	100.83	148.09	169.07	101.54	151.22	121.79	211.31	171.45	63.0	124.37	134.3	217.27	42.71	269.6	53.19	70.01	98.73	92.7	129.69	137.14	105.89	69.03	110.43	194.36	46.84	34.26	63.0	48.87	35.76	36.79	81.14	36.79	66.18	44.25	51.71	84.63	58.3	54.72	80.01	36.79	67.59	237.86	226.54	212.78	228.13	212.78	224.97	157.68	142.01	323.03	90.77	98.04	162.14	229.72	123.5	136.19	189.02	127.89	221.86	283.05	135.24	158.79	182.55	132.44	150.17	356.05	104.42
MDC1	341.51	555.41	273.37	143.01	753.83	150.17	271.48	567.1	297.17	896.64	785.88	397.93	212.78	738.29	371.22	262.2	387.02	423.61	514.56	293.07	679.29	229.72	358.54	599.49	265.87	224.97	193.01	218.79	223.41	285.03	406.31	153.34	206.94	187.71	190.34	208.38	291.04	217.27	246.28	175.07	125.24	320.8	1127.35	1216.75	651.58	483.38	1151.06	1183.45	688.78	1037.29	417.77	802.41	819.3	688.78	738.29	381.68	575.03	334.46	450.94	1594.73	395.18	336.79	246.28	334.46	679.29	733.19	289.02
MED12	423.61	500.46	320.8	450.94	444.72	301.33	267.73	441.64	234.57	353.59	414.87	341.51	183.82	647.07	316.37	127.0	281.09	176.29	366.09	486.75	305.55	146.03	217.27	607.87	82.87	111.21	138.1	102.97	101.54	110.43	381.68	105.89	97.36	102.97	90.14	157.68	118.43	103.69	218.79	92.7	85.82	698.41	595.34	607.87	473.41	275.28	769.69	579.04	518.15	802.41	503.95	353.59	620.67	507.46	454.09	624.99	633.73	493.56	607.87	620.67	890.44	518.15	392.44	381.68	316.37	928.3	275.28
MED23	120.1	180.02	215.77	199.85	132.44	244.57	312.0	137.14	119.26	285.03	209.84	281.09	108.14	486.75	170.25	108.14	329.84	154.42	197.09	361.04	141.02	156.59	221.86	341.51	92.7	108.9	130.6	108.9	78.34	85.22	142.01	74.06	87.03	75.11	127.0	140.04	112.77	101.54	154.42	80.57	79.45	336.79	341.51	289.02	256.78	256.78	387.02	248.0	283.05	426.57	265.87	189.02	379.04	463.65	281.09	197.09	293.07	218.79	368.65	466.88	214.27	297.17	348.71	381.68	152.28	583.07	177.53
MFN1	329.84	253.23	490.14	435.55	420.68	291.04	575.03	287.01	237.86	723.08	638.15	447.82	246.28	483.38	363.56	191.67	297.17	376.41	297.17	392.44	265.87	202.66	470.14	612.11	145.02	135.24	157.68	169.07	113.56	199.85	226.54	81.71	161.02	116.78	108.14	183.82	144.01	117.6	164.42	131.51	140.04	529.06	409.15	599.49	432.53	848.22	748.61	884.29	941.27	1073.91	432.53	426.57	493.56	563.18	356.05	295.11	353.59	273.37	450.94	486.75	307.69	423.61	414.87	332.14	253.23	748.61	363.56
MIB1	116.78	190.34	162.14	155.5	102.25	178.77	185.11	101.54	67.12	167.9	249.73	251.48	190.34	251.48	191.67	118.43	101.54	102.97	163.28	108.9	152.28	30.34	109.66	332.14	62.56	67.12	78.89	57.49	40.07	44.25	223.41	46.18	115.97	64.8	62.12	91.41	98.04	82.87	109.66	70.01	35.76	178.77	373.81	191.67	356.05	447.82	351.14	275.28	239.52	521.76	183.82	100.13	176.29	299.25	116.78	136.19	204.07	80.01	246.28	417.77	100.13	132.44	178.77	199.85	117.6	511.0	103.69
MICAL3	120.94	205.5	189.02	158.79	132.44	49.91	108.14	62.12	41.52	287.01	409.15	206.94	246.28	351.14	154.42	271.48	197.09	190.34	258.57	239.52	387.02	162.14	265.87	392.44	134.3	108.14	187.71	152.28	229.72	223.41	438.59	285.03	191.67	211.31	126.12	267.73	191.67	107.38	172.65	249.73	220.32	185.11	281.09	193.01	423.61	507.46	1081.39	293.07	198.47	281.09	334.46	403.5	665.29	575.03	371.22	358.54	212.78	329.84	361.04	432.53	237.86	208.38	189.02	189.02	159.9	848.22	72.52
MIS18BP1	115.97	412.0	237.86	143.01	221.86	242.88	460.44	204.07	123.5	406.31	441.64	356.05	61.25	336.79	159.9	31.22	228.13	253.23	205.5	211.31	189.02	167.9	209.84	169.07	42.71	46.84	42.41	46.84	51.35	28.04	157.68	16.27	45.21	34.51	39.5	57.49	42.41	36.53	116.78	42.71	58.3	262.2	387.02	285.03	323.03	406.31	307.69	412.0	381.68	334.46	293.07	447.82	435.55	473.41	432.53	159.9	176.29	199.85	384.34	438.59	289.02	206.94	366.09	229.72	143.01	587.13	116.78
MRE11A	105.15	318.57	262.2	158.79	223.41	136.19	120.1	189.02	105.15	251.48	320.8	267.73	117.6	169.07	76.71	70.51	167.9	186.4	236.21	361.04	218.79	49.21	133.36	262.2	40.64	58.3	35.76	40.36	18.43	37.59	112.77	26.1	44.57	51.71	30.12	62.12	54.33	55.89	100.83	70.51	40.36	356.05	579.04	384.34	371.22	525.39	305.55	708.18	450.94	521.76	214.27	226.54	490.14	397.93	281.09	86.43	146.03	158.79	289.02	688.78	175.07	167.9	241.19	220.32	138.1	476.71	117.6
MSL2	186.4	285.03	226.54	166.73	289.02	136.19	205.5	244.57	221.86	438.59	223.41	285.03	122.64	486.75	206.94	198.47	190.34	125.24	218.79	226.54	169.07	175.07	180.02	165.57	115.97	82.87	139.07	66.18	89.51	132.44	134.3	80.57	199.85	140.04	155.5	164.42	169.07	116.78	158.79	84.63	107.38	258.57	423.61	249.73	183.82	348.71	656.11	500.46	454.09	693.58	92.05	283.05	305.55	387.02	218.79	226.54	307.69	251.48	289.02	518.15	397.93	258.57	236.21	228.13	163.28	669.92	120.94
MTF2	166.73	289.02	277.2	194.36	420.68	389.72	228.13	341.51	102.97	163.28	215.77	217.27	187.71	301.33	244.57	85.22	197.09	256.78	204.07	127.0	231.32	155.5	191.67	231.32	65.72	63.45	81.14	63.0	63.89	69.52	124.37	29.7	97.36	78.34	76.17	108.9	100.83	76.17	127.89	61.25	101.54	279.14	591.22	447.82	392.44	376.41	423.61	848.22	583.07	571.05	293.07	297.17	267.73	435.55	205.5	177.53	241.19	217.27	309.83	521.76	217.27	191.67	305.55	269.6	152.28	603.67	183.82
NEDD1	112.77	215.77	156.59	236.21	157.68	123.5	271.48	107.38	54.72	343.89	323.03	376.41	86.43	144.01	105.89	60.39	130.6	412.0	212.78	115.16	155.5	54.72	134.3	244.57	49.21	54.72	37.85	42.41	35.25	39.79	111.99	17.9	58.71	36.79	40.07	64.34	71.0	38.67	61.68	55.89	27.64	309.83	414.87	406.31	339.14	400.71	1001.93	275.28	221.86	368.65	281.09	215.77	400.71	547.75	130.6	163.28	265.87	185.11	165.57	412.0	169.07	170.25	348.71	189.02	206.94	854.13	122.64
NPC1	981.29	490.14	429.54	397.93	281.09	395.18	748.61	305.55	567.1	312.0	718.08	547.75	802.41	406.31	486.75	703.28	500.46	583.07	583.07	497.0	915.51	189.02	866.07	860.08	417.77	642.59	221.86	281.09	444.72	457.25	616.37	177.53	269.6	297.17	307.69	373.81	503.95	406.31	559.28	217.27	265.87	674.59	854.13	1096.5	2148.82	1388.16	769.69	902.89	1487.87	1008.9	591.22	463.65	808.0	642.59	470.14	825.0	656.11	457.25	743.43	1015.93	529.06	547.75	909.17	642.59	373.81	1340.84	934.76
NRAS	403.5	395.18	346.29	197.09	543.96	403.5	466.88	429.54	231.32	674.59	420.68	441.64	480.04	305.55	518.15	316.37	157.68	249.73	237.86	264.03	152.28	629.35	738.29	450.94	258.57	346.29	223.41	293.07	209.84	299.25	287.01	181.28	318.57	236.21	264.03	363.56	287.01	256.78	291.04	283.05	334.46	406.31	954.43	947.83	1030.12	713.11	616.37	1096.5	647.07	909.17	287.01	559.28	571.05	314.17	223.41	435.55	483.38	423.61	647.07	688.78	346.29	463.65	490.14	426.57	273.37	616.37	312.0
NRF1	239.52	242.88	221.86	123.5	159.9	122.64	224.97	242.88	171.45	285.03	221.86	209.84	149.12	271.48	154.42	98.73	183.82	221.86	239.52	228.13	224.97	173.85	162.14	199.85	116.78	63.89	68.55	57.89	67.12	98.04	170.25	55.89	85.22	58.3	80.57	125.24	124.37	63.0	124.37	52.08	47.84	177.53	236.21	181.28	212.78	244.57	314.17	253.23	249.73	329.84	159.9	223.41	256.78	281.09	209.84	204.07	202.66	206.94	199.85	351.14	260.38	193.01	147.06	178.77	221.86	275.28	194.36
NT5C1B	4.66	0.99	7.51	7.34	0.93	3.17	13.62	2.51	1.5	4.54	2.01	3.26	1.39	5.63	8.0	16.27	0.78	3.17	3.72	1.57	3.06	3.17	6.62	7.11	1.17	1.46	3.56	0.0	0.0	1.71	2.03	2.34	12.64	7.4	1.23	5.63	6.89	6.94	2.51	15.68	1.22	4.39	14.56	8.32	7.4	16.88	14.67	2.81	10.71	15.11	7.4	0.88	6.41	4.1	6.01	1.48	4.46	9.13	6.94	5.28	4.5	9.93	8.0	8.13	3.17	32.13	0.88
NUDT3	143.01	271.48	208.38	151.22	223.41	234.57	153.34	169.07	191.67	384.34	271.48	177.53	177.53	293.07	142.01	88.88	105.15	166.73	177.53	90.77	159.9	127.0	121.79	208.38	111.99	87.65	108.14	96.68	77.25	100.83	332.14	70.01	121.79	80.01	77.79	106.63	114.36	125.24	159.9	97.36	158.79	271.48	397.93	214.27	157.68	162.14	392.44	316.37	142.01	301.33	90.77	248.0	264.03	307.69	206.94	128.79	163.28	108.14	166.73	314.17	106.63	117.6	149.12	205.5	140.04	327.56	178.77
