	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.FV.A3I1.11A.11R.A22L.07	GTEX.XBEC.1526.SM.4AT68	GTEX.RN64.1826.SM.48FDV	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.11EQ9.0226.SM.5A5JX	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.YFC4.1126.SM.5RQJN	GTEX.XBEC.1026.SM.4QASM	GTEX.OOBJ.0526.SM.48TDK	GTEX.11P7K.0326.SM.59871	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.11PRG.0926.SM.5EGI8	GTEX.11WQC.0626.SM.5EQMF	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.P4PQ.0526.SM.2HMKR	GTEX.11EI6.0826.SM.5985V	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.117YX.1326.SM.5H125	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.ZZPT.1326.SM.5E43H	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.11O72.1326.SM.5BC5A	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.139UW.0226.SM.5K7WU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.UJMC.0726.SM.3GADX	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ
CPEB4	447.82	172.65	173.85	79.45	221.86	135.24	128.79	163.28	121.79	108.9	114.36	185.11	392.44	197.09	248.0	277.2	127.0	241.19	314.17	305.55	112.77	260.38	934.76	563.18	1104.13	708.18	441.64	612.11	339.14	493.56	206.94	232.94	2255.7	217.27	157.68	249.73	204.07	1268.46	466.88	325.29	389.72	341.51	1008.9	493.56	228.13	265.87	332.14	1159.07	1104.13	361.04	450.94	260.38	414.87	381.68	529.06	244.57	1417.35	260.38	334.46	211.31	387.02	698.41	206.94	651.58	187.71	1030.12	500.46	397.93	521.76	728.11	587.13	400.71	299.25	325.29	255.0	563.18	480.04	366.09	567.1	146.03	301.33	363.56	514.56	743.43	490.14	384.34	1427.22	463.65	669.92	2193.99	303.44
CRY1	260.38	127.0	120.94	101.54	190.34	124.37	75.11	93.35	115.16	144.01	92.7	84.63	155.5	269.6	137.14	77.79	86.43	96.68	109.66	157.68	156.59	153.34	1870.53	808.0	921.88	293.07	514.56	361.04	753.83	607.87	417.77	293.07	1250.98	529.06	303.44	295.11	728.11	1242.34	339.14	1551.09	307.69	368.65	1259.69	447.82	341.51	208.38	785.88	713.11	599.49	414.87	450.94	400.71	1096.5	384.34	1037.29	698.41	346.29	297.17	232.94	555.41	358.54	420.68	1059.11	733.19	279.14	909.17	299.25	316.37	473.41	769.69	890.44	928.3	1059.11	316.37	341.51	974.5	624.99	309.83	269.6	316.37	651.58	466.88	309.83	1135.2	409.15	698.41	1583.71	718.08	842.36	674.59	629.35
CTTNBP2NL	48.18	50.27	56.28	35.0	43.63	54.33	29.27	14.78	16.51	37.59	40.64	22.1	33.06	21.47	38.12	25.54	15.34	21.63	23.76	35.5	45.85	31.9	679.29	371.22	718.08	633.73	536.45	483.38	595.34	738.29	332.14	397.93	555.41	332.14	521.76	236.21	444.72	780.44	457.25	429.54	470.14	329.84	836.53	287.01	206.94	275.28	612.11	486.75	555.41	429.54	454.09	476.71	521.76	599.49	432.53	497.0	414.87	327.56	307.69	476.71	486.75	208.38	244.57	460.44	251.48	497.0	273.37	583.07	307.69	314.17	688.78	267.73	432.53	417.77	420.68	612.11	470.14	285.03	435.55	201.25	579.04	312.0	366.09	796.86	395.18	454.09	1030.12	332.14	647.07	503.95	575.03
DAPK3	665.29	579.04	947.83	974.5	947.83	728.11	656.11	825.0	967.76	1208.34	981.29	497.0	490.14	441.64	665.29	423.61	679.29	563.18	438.59	444.72	723.08	426.57	3419.52	1457.23	2303.12	2682.69	2627.46	1350.18	3081.75	1487.87	1216.75	1529.73	8078.22	1857.6	1508.65	1936.53	1674.06	5672.41	1447.15	2855.44	1407.55	2004.85	2682.69	1617.0	1331.57	1008.9	4239.45	6471.02	1088.92	1111.82	1001.93	1304.15	3928.15	1183.45	8479.89	2384.37	1923.14	967.76	1268.46	1963.57	1183.45	1605.83	2133.97	1561.89	1242.34	5292.48	1259.69	1135.2	1923.14	2209.26	3235.01	1950.0	4704.07	860.08	1259.69	3168.41	2417.67	2682.69	1073.91	647.07	3349.13	1757.34	1175.27	4181.07	2104.58	4095.0	5831.91	1870.53	2351.53	3372.43	1529.73
DENND5A	297.17	988.12	620.67	397.93	713.11	603.67	358.54	318.57	397.93	490.14	460.44	191.67	318.57	258.57	387.02	212.78	183.82	275.28	253.23	351.14	361.04	255.0	2417.67	1991.0	3257.52	1111.82	1322.37	1001.93	2104.58	1674.06	1111.82	1044.52	3928.15	1832.01	954.43	848.22	2855.44	3124.78	1175.27	2209.26	1437.15	1340.84	2682.69	1066.48	981.29	896.64	2468.49	2875.3	1745.2	1268.46	995.0	1268.46	3901.01	1467.37	4607.24	1617.0	1167.14	1030.12	1066.48	1561.89	954.43	1769.57	1781.89	1757.34	1051.79	3443.31	1304.15	1023.0	2163.77	1745.2	2816.11	1883.54	2976.74	1250.98	1151.06	2875.3	2004.85	1088.92	1313.23	1225.22	1936.53	981.29	1104.13	2555.58	961.07	2777.33	3395.89	2119.22	2520.38	3540.14	1519.15
DLC1	305.55	228.13	90.14	108.14	208.38	111.99	60.39	49.21	71.5	52.45	115.97	141.02	211.31	275.28	253.23	138.1	211.31	234.57	197.09	339.14	211.31	172.65	15499.21	3257.52	5913.33	16157.44	1508.65	1977.24	4268.94	4575.41	1073.91	4095.0	7695.57	603.67	1073.91	967.76	1991.0	25005.23	3257.52	8963.45	2367.9	1936.53	5366.37	2915.45	2895.31	2400.97	2520.38	18689.27	5219.6	2351.53	2468.49	2555.58	2895.31	791.35	8718.32	3146.52	1909.85	1340.84	1407.55	2287.2	5594.3	2400.97	3060.45	1233.75	1498.22	6250.56	3257.52	3372.43	1104.13	5751.61	8022.41	2796.65	8963.45	1167.14	1745.2	4095.0	4639.29	2502.97	2240.11	1561.89	5672.41	4543.8	669.92	12589.08	2303.12	2701.35	21919.61	3395.89	2682.69	13123.73	2720.15
DNAJC21	438.59	503.95	406.31	728.11	417.77	473.41	307.69	559.28	417.77	454.09	480.04	397.93	373.81	457.25	511.0	454.09	85.82	466.88	366.09	444.72	334.46	273.37	1397.83	981.29	748.61	698.41	981.29	1175.27	848.22	1159.07	974.5	947.83	1051.79	775.05	583.07	748.61	1369.04	890.44	525.39	819.3	642.59	555.41	1183.45	603.67	486.75	435.55	1111.82	1044.52	915.51	559.28	1447.15	503.95	813.63	1088.92	595.34	802.41	547.75	595.34	624.99	872.1	674.59	500.46	660.68	802.41	500.46	1242.34	854.13	890.44	466.88	909.17	1233.75	1127.35	1487.87	575.03	743.43	1870.53	748.61	551.56	1127.35	470.14	540.19	665.29	587.13	1030.12	698.41	656.11	2384.37	796.86	587.13	1208.34	1331.57
DSE	84.04	72.01	47.84	39.5	50.63	50.63	29.7	7.94	14.78	47.17	49.21	59.13	105.15	115.16	108.14	85.82	57.89	105.89	69.52	125.24	165.57	36.27	698.41	283.05	848.22	2193.99	753.83	249.73	289.02	332.14	521.76	182.55	656.11	417.77	540.19	320.8	532.74	1427.22	759.08	384.34	708.18	158.79	612.11	607.87	195.72	217.27	915.51	197.09	187.71	397.93	679.29	397.93	353.59	1242.34	503.95	209.84	1369.04	599.49	567.1	229.72	412.0	224.97	642.59	256.78	164.42	215.77	269.6	595.34	854.13	154.42	836.53	158.79	514.56	457.25	205.5	341.51	358.54	426.57	237.86	109.66	237.86	356.05	353.59	420.68	656.11	220.32	995.0	384.34	836.53	748.61	872.1
EHD4	189.02	366.09	518.15	312.0	195.72	403.5	447.82	332.14	312.0	283.05	392.44	124.37	202.66	73.54	163.28	134.3	176.29	102.97	158.79	108.9	155.5	82.87	1963.57	819.3	2777.33	808.0	780.44	796.86	954.43	753.83	571.05	743.43	854.13	540.19	529.06	743.43	343.89	2351.53	830.75	928.3	567.1	595.34	896.64	567.1	1015.93	518.15	579.04	2555.58	1709.26	708.18	713.11	500.46	967.76	688.78	2400.97	642.59	1030.12	651.58	633.73	409.15	808.0	1044.52	842.36	1127.35	343.89	941.27	1388.16	1008.9	1322.37	2956.17	974.5	647.07	2163.77	1225.22	674.59	915.51	1359.57	536.45	563.18	934.76	769.69	503.95	796.86	2319.15	860.08	775.05	2720.15	1216.75	1832.01	1350.18	3081.75
EIF1B	1806.78	1081.39	1199.98	1066.48	1685.71	1583.71	896.64	791.35	1286.18	1044.52	1277.29	1127.35	1268.46	1417.35	2047.0	1066.48	703.28	1225.22	1242.34	1259.69	890.44	967.76	2335.28	1467.37	3982.99	1167.14	1519.15	1819.35	1674.06	1662.49	1819.35	1295.13	3928.15	1427.22	1583.71	1437.15	3168.41	4937.99	974.5	2384.37	1870.53	1551.09	2701.35	1388.16	1096.5	1477.58	2271.4	2485.67	2255.7	1519.15	1477.58	1417.35	4869.99	1857.6	3540.14	2573.36	2351.53	1551.09	1447.15	1832.01	1417.35	2451.44	1883.54	1697.45	1639.59	3515.68	1295.13	1388.16	1662.49	1844.76	2224.63	2335.28	4358.66	1268.46	1427.22	2400.97	3564.78	1870.53	1697.45	1508.65	1540.37	1340.84	1498.22	2335.28	1498.22	2875.3	2855.44	3018.3	2209.26	6207.38	1427.22
ETF1	575.03	633.73	728.11	532.74	612.11	961.07	559.28	693.58	599.49	529.06	665.29	438.59	536.45	435.55	651.58	497.0	381.68	432.53	493.56	457.25	547.75	409.15	3212.66	2032.85	3257.52	2303.12	1651.0	2591.27	2451.44	2664.15	1594.73	1572.76	3716.2	1216.75	1286.18	1540.37	3018.3	3540.14	1605.83	1697.45	1674.06	1313.23	1870.53	1605.83	1639.59	1674.06	1417.35	2468.49	3325.99	1819.35	1977.24	1313.23	1844.76	1313.23	2335.28	1561.89	1844.76	1242.34	1498.22	1685.71	1733.13	1697.45	1519.15	1709.26	1191.69	2148.82	2224.63	1508.65	1359.57	3742.05	2468.49	1923.14	3303.0	2193.99	1583.71	1697.45	2502.97	1745.2	1015.93	2148.82	1477.58	2061.24	1477.58	2682.69	1697.45	1378.57	4095.0	1832.01	1977.24	3955.48	3614.55
ETNK1	212.78	202.66	239.52	199.85	211.31	267.73	237.86	132.44	136.19	316.37	152.28	236.21	273.37	197.09	166.73	256.78	139.07	228.13	223.41	305.55	181.28	206.94	825.0	688.78	723.08	248.0	463.65	301.33	295.11	679.29	264.03	332.14	995.0	301.33	234.57	463.65	229.72	723.08	208.38	633.73	343.89	279.14	1051.79	279.14	246.28	215.77	371.22	547.75	441.64	426.57	327.56	381.68	764.36	237.86	624.99	348.71	332.14	265.87	201.25	395.18	363.56	397.93	323.03	599.49	334.46	514.56	220.32	327.56	591.22	366.09	412.0	571.05	432.53	206.94	332.14	896.64	444.72	297.17	532.74	158.79	470.14	281.09	312.0	665.29	444.72	607.87	830.75	463.65	688.78	753.83	215.77
ETS1	293.07	444.72	366.09	255.0	285.03	265.87	143.01	42.71	139.07	239.52	275.28	136.19	476.71	275.28	269.6	293.07	209.84	277.2	256.78	480.04	392.44	262.2	9945.68	3419.52	6294.04	1104.13	2004.85	842.36	3168.41	3794.3	698.41	974.5	4358.66	2193.99	1457.23	555.41	1583.71	8963.45	2032.85	2468.49	3190.46	1977.24	12415.75	866.07	1697.45	567.1	2417.67	13968.57	3665.02	5751.61	1457.23	2895.31	2682.69	1870.53	5255.91	3639.7	1143.1	591.22	967.76	2682.69	915.51	2319.15	3982.99	4066.71	728.11	6516.03	3901.01	1794.29	1561.89	4481.23	3303.0	2004.85	9606.86	1340.84	2468.49	6652.97	2400.97	872.1	3768.09	1540.37	7280.4	802.41	1183.45	11345.82	934.76	4388.98	19618.49	4010.71	5255.91	2758.13	4481.23
ETS2	2664.15	1991.0	1015.93	551.56	2090.03	591.22	1551.09	780.44	854.13	884.29	995.0	2451.44	2104.58	2609.3	2573.36	1498.22	3443.31	1757.34	3540.14	2319.15	2609.3	1617.0	9151.82	2520.38	20881.4	4388.98	1977.24	1977.24	3820.7	2119.22	2004.85	2485.67	10154.69	2271.4	3515.68	1757.34	5219.6	13681.08	2224.63	6935.54	3690.52	1936.53	6652.97	3190.46	2796.65	1794.29	4704.07	14461.21	9215.48	3103.19	2240.11	1733.13	9740.98	2875.3	14065.74	4038.61	4607.24	1781.89	2303.12	1909.85	3515.68	8022.41	4543.8	4268.94	1721.16	15392.14	5672.41	2520.38	2915.45	8022.41	6426.31	4512.4	8778.97	3349.13	1794.29	5041.77	9673.69	4736.79	3060.45	2468.49	5183.54	3280.18	3039.3	9151.82	2591.27	5292.48	13872.08	8479.89	6607.01	13776.25	4869.99
FAM126A	74.06	122.64	50.98	69.52	50.98	58.71	35.0	40.93	64.8	52.82	57.49	67.12	88.26	87.65	72.01	88.88	32.59	112.77	65.72	92.05	75.11	61.25	669.92	314.17	486.75	156.59	265.87	128.79	246.28	366.09	80.01	120.1	665.29	159.9	100.13	83.45	343.89	1457.23	77.25	273.37	316.37	138.1	493.56	162.14	121.79	80.01	392.44	297.17	476.71	379.04	206.94	403.5	295.11	159.9	629.35	191.67	241.19	133.36	86.43	301.33	133.36	206.94	241.19	228.13	144.01	412.0	249.73	172.65	373.81	242.88	493.56	346.29	995.0	109.66	241.19	234.57	166.73	68.55	202.66	87.03	195.72	138.1	163.28	813.63	111.21	277.2	884.29	212.78	656.11	486.75	351.14
FAM60A	146.03	140.04	253.23	129.69	187.71	255.0	157.68	58.3	30.12	148.09	129.69	77.25	143.01	91.41	110.43	95.34	67.12	67.59	92.7	88.88	58.3	117.6	1167.14	1259.69	2119.22	775.05	1135.2	775.05	713.11	1277.29	642.59	674.59	1733.13	447.82	688.78	575.03	830.75	2303.12	438.59	967.76	860.08	450.94	830.75	397.93	423.61	323.03	974.5	1242.34	1417.35	775.05	825.0	703.28	1242.34	559.28	1781.89	1175.27	529.06	423.61	381.68	743.43	525.39	1216.75	708.18	1175.27	1208.34	1794.29	1467.37	395.18	543.96	3018.3	785.88	1175.27	1909.85	500.46	1104.13	2319.15	1397.83	363.56	961.07	1605.83	825.0	587.13	327.56	2485.67	567.1	836.53	3982.99	872.1	708.18	2255.7	1295.13
FAM71A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.66	6.01	7.0	8.58	1.25	1.77	2.81	2.27	4.13	21.47	18.43	3.53	3.41	2.36	4.31	6.67	0.0	7.28	6.36	3.06	3.2	2.78	2.34	9.85	7.88	14.56	7.88	1.85	0.0	0.0	7.63	1.25	14.14	0.0	2.63	2.89	2.32	0.0	10.16	6.89	0.0	0.0	1.22	6.06	0.0	4.58	3.69	2.58	5.23	2.39	3.38	0.0	0.0	2.84	3.53	13.93	0.0	0.0	3.35	2.92	4.06	0.0	4.06	3.72	9.34	4.5	3.76	7.63	1.27
FGF2	16.75	22.75	5.77	5.87	49.56	88.88	4.17	0.95	2.41	4.78	6.41	11.73	35.5	15.22	9.2	17.25	5.23	11.47	22.75	20.56	15.91	8.0	902.89	121.79	441.64	59.97	108.14	50.27	123.5	131.51	48.18	38.67	353.59	112.77	75.11	41.52	723.08	435.55	32.59	358.54	181.28	98.04	395.18	73.03	88.88	50.98	232.94	642.59	177.53	212.78	44.57	165.57	376.41	121.79	507.46	320.8	90.77	59.13	34.75	148.09	55.89	133.36	332.14	98.73	94.67	293.07	80.01	51.35	173.85	341.51	403.5	432.53	511.0	46.84	118.43	242.88	224.97	35.5	52.08	69.52	157.68	56.28	108.14	470.14	56.28	199.85	1066.48	334.46	265.87	358.54	248.0
FLT1	36.27	127.0	106.63	73.54	70.51	98.73	46.5	40.07	81.71	53.95	77.79	31.67	64.8	61.68	67.12	37.32	24.63	67.12	47.5	90.77	47.5	12.64	312.0	195.72	813.63	356.05	307.69	189.02	1175.27	295.11	144.01	152.28	432.53	113.56	199.85	236.21	234.57	1350.18	281.09	279.14	836.53	147.06	497.0	215.77	191.67	159.9	232.94	1340.84	848.22	403.5	521.76	323.03	698.41	733.19	791.35	183.82	295.11	199.85	258.57	507.46	291.04	366.09	269.6	224.97	107.38	872.1	1340.84	414.87	153.34	490.14	325.29	94.01	1427.22	170.25	151.22	334.46	450.94	417.77	660.68	253.23	587.13	316.37	339.14	802.41	191.67	220.32	1477.58	351.14	387.02	981.29	1159.07
FNDC3A	466.88	297.17	299.25	241.19	387.02	176.29	226.54	151.22	130.6	181.28	412.0	450.94	607.87	400.71	371.22	651.58	146.03	497.0	507.46	559.28	283.05	389.72	1844.76	743.43	961.07	358.54	417.77	381.68	450.94	796.86	301.33	423.61	638.15	336.79	221.86	301.33	624.99	947.83	379.04	902.89	507.46	253.23	1388.16	307.69	540.19	406.31	728.11	764.36	1529.73	995.0	559.28	473.41	830.75	223.41	563.18	346.29	426.57	403.5	193.01	309.83	591.22	441.64	379.04	941.27	309.83	395.18	476.71	389.72	642.59	651.58	684.02	334.46	1794.29	320.8	351.14	2004.85	583.07	327.56	454.09	426.57	420.68	384.34	236.21	1304.15	764.36	521.76	2664.15	343.89	1628.26	1059.11	884.29
FRMD6	77.25	101.54	98.73	54.72	46.84	103.69	49.21	26.28	148.09	76.71	122.64	60.39	50.63	62.12	72.52	56.28	18.7	66.18	73.54	81.71	52.82	27.64	1991.0	341.51	708.18	87.65	206.94	77.79	56.28	414.87	38.67	49.56	607.87	118.43	49.21	38.4	426.57	1857.6	28.04	540.19	295.11	265.87	591.22	34.75	135.24	31.0	285.03	1183.45	389.72	563.18	44.57	242.88	713.11	120.94	473.41	555.41	89.51	111.99	22.59	260.38	50.27	361.04	571.05	201.25	161.02	934.76	129.69	30.78	642.59	909.17	486.75	698.41	915.51	50.27	346.29	518.15	397.93	18.84	55.1	149.12	303.44	52.08	214.27	1111.82	52.45	507.46	1583.71	463.65	379.04	403.5	620.67
FYTTD1	346.29	343.89	329.84	204.07	221.86	314.17	209.84	253.23	371.22	234.57	249.73	239.52	503.95	323.03	336.79	351.14	223.41	336.79	329.84	466.88	320.8	258.57	2018.8	1111.82	1909.85	825.0	1857.6	1151.06	759.08	1794.29	684.02	764.36	1242.34	624.99	525.39	397.93	1175.27	1447.15	460.44	728.11	1295.13	848.22	2090.03	616.37	723.08	389.72	753.83	1639.59	1819.35	1277.29	1104.13	1225.22	995.0	703.28	1794.29	1044.52	764.36	387.02	361.04	1143.1	713.11	1044.52	825.0	1127.35	555.41	1662.49	1487.87	723.08	507.46	1857.6	733.19	1059.11	3081.75	713.11	909.17	1605.83	902.89	400.71	866.07	674.59	518.15	395.18	536.45	2573.36	780.44	1498.22	4152.18	1159.07	1242.34	1037.29	1745.2
GATAD2A	395.18	567.1	507.46	327.56	423.61	493.56	423.61	241.19	241.19	429.54	444.72	341.51	392.44	251.48	358.54	265.87	389.72	361.04	392.44	432.53	412.0	301.33	2796.65	878.17	1844.76	825.0	723.08	928.3	1051.79	441.64	476.71	688.78	1191.69	854.13	497.0	373.81	1268.46	1896.65	848.22	1277.29	656.11	1001.93	1322.37	902.89	497.0	423.61	1233.75	2148.82	1378.57	575.03	819.3	457.25	1819.35	536.45	2178.83	1111.82	638.15	473.41	656.11	642.59	633.73	1268.46	1135.2	981.29	473.41	2303.12	1242.34	651.58	872.1	1832.01	1662.49	872.1	1268.46	718.08	529.06	954.43	1350.18	642.59	693.58	305.55	1135.2	629.35	555.41	1832.01	583.07	1277.29	3280.18	1651.0	1477.58	2133.97	1628.26
GLA	392.44	1259.69	884.29	1037.29	1819.35	1313.23	1008.9	371.22	444.72	543.96	1378.57	185.11	265.87	232.94	271.48	361.04	217.27	318.57	325.29	187.71	217.27	163.28	2417.67	1639.59	1313.23	332.14	934.76	460.44	878.17	1199.98	368.65	447.82	5555.65	842.36	567.1	753.83	1295.13	2303.12	426.57	872.1	764.36	1844.76	1909.85	583.07	679.29	441.64	909.17	1322.37	420.68	470.14	381.68	775.05	1819.35	1175.27	4210.15	764.36	432.53	291.04	703.28	748.61	493.56	595.34	1233.75	647.07	543.96	1397.83	836.53	403.5	647.07	915.51	1096.5	1628.26	848.22	525.39	764.36	842.36	1844.76	334.46	1277.29	872.1	587.13	269.6	358.54	884.29	669.92	638.15	2935.74	995.0	1286.18	1551.09	612.11
GNA13	239.52	242.88	197.09	135.24	312.0	283.05	157.68	197.09	136.19	165.57	166.73	131.51	237.86	150.17	181.28	153.34	131.51	177.53	211.31	228.13	182.55	137.14	1857.6	954.43	1572.76	551.56	941.27	423.61	872.1	1477.58	441.64	525.39	1477.58	733.19	483.38	348.71	785.88	1697.45	466.88	928.3	665.29	703.28	2209.26	444.72	438.59	356.05	1242.34	1697.45	1015.93	785.88	629.35	693.58	1216.75	813.63	2032.85	1015.93	848.22	275.28	368.65	647.07	463.65	624.99	796.86	1191.69	409.15	2032.85	629.35	444.72	551.56	890.44	1104.13	981.29	1923.14	381.68	493.56	2061.24	1015.93	426.57	961.07	400.71	780.44	392.44	571.05	1685.71	521.76	1143.1	2609.3	909.17	1096.5	1628.26	607.87
GPBP1	791.35	633.73	780.44	796.86	703.28	743.43	620.67	934.76	1295.13	825.0	791.35	540.19	595.34	651.58	647.07	642.59	221.86	629.35	633.73	651.58	669.92	656.11	1870.53	1909.85	1605.83	1037.29	1242.34	1001.93	1295.13	1991.0	928.3	1044.52	4298.64	1407.55	1233.75	1159.07	1745.2	2104.58	836.53	1457.23	1037.29	1923.14	2090.03	830.75	1183.45	947.83	2047.0	1378.57	1059.11	1457.23	995.0	1268.46	2255.7	1259.69	2148.82	1286.18	921.88	902.89	981.29	1191.69	1015.93	1175.27	1457.23	1685.71	1709.26	2133.97	1313.23	842.36	1096.5	1081.39	1674.06	1617.0	1709.26	836.53	1304.15	2224.63	1369.04	1268.46	1417.35	1096.5	1233.75	995.0	1030.12	1498.22	896.64	1781.89	2061.24	1551.09	1427.22	1757.34	947.83
GTPBP1	301.33	193.01	312.0	152.28	249.73	212.78	201.25	267.73	221.86	208.38	206.94	191.67	264.03	165.57	277.2	194.36	239.52	186.4	171.45	275.28	211.31	256.78	1216.75	674.59	2224.63	796.86	733.19	571.05	1233.75	819.3	323.03	536.45	2935.74	848.22	514.56	348.71	1037.29	1477.58	733.19	1030.12	1066.48	896.64	1111.82	607.87	435.55	532.74	1001.93	1407.55	1322.37	567.1	473.41	825.0	1216.75	748.61	1487.87	1073.91	796.86	493.56	529.06	974.5	571.05	1183.45	802.41	974.5	669.92	1551.09	902.89	559.28	830.75	1030.12	1286.18	988.12	1378.57	540.19	620.67	808.0	1059.11	753.83	878.17	285.03	1008.9	684.02	713.11	1242.34	624.99	866.07	1250.98	1159.07	1104.13	1508.65	703.28
HDGFRP3	58.71	94.01	62.12	46.84	33.54	85.22	25.91	7.51	24.81	43.94	57.08	17.64	25.17	32.59	33.78	34.75	9.7	21.94	25.35	25.35	35.0	13.62	954.43	480.04	1457.23	293.07	728.11	305.55	638.15	813.63	246.28	381.68	665.29	441.64	289.02	241.19	878.17	1369.04	111.99	860.08	679.29	607.87	842.36	281.09	142.01	199.85	616.37	1540.37	3168.41	934.76	819.3	961.07	529.06	813.63	441.64	825.0	753.83	217.27	265.87	743.43	195.72	1008.9	890.44	1044.52	376.41	1119.56	1242.34	381.68	432.53	2271.4	1159.07	764.36	1950.0	155.5	633.73	1023.0	988.12	172.65	896.64	426.57	323.03	183.82	599.49	1199.98	215.77	599.49	2485.67	830.75	1059.11	543.96	1487.87
HIPK2	129.69	177.53	101.54	136.19	153.34	100.13	84.04	102.25	169.07	96.68	199.85	159.9	149.12	144.01	140.04	127.89	101.54	148.09	115.16	305.55	128.79	120.94	1119.56	323.03	884.29	336.79	239.52	177.53	587.13	206.94	199.85	221.86	363.56	236.21	172.65	149.12	579.04	941.27	346.29	332.14	269.6	145.02	854.13	183.82	134.3	223.41	397.93	1073.91	463.65	262.2	368.65	236.21	450.94	371.22	674.59	206.94	146.03	159.9	212.78	206.94	239.52	507.46	155.5	497.0	120.94	1037.29	447.82	387.02	307.69	819.3	483.38	400.71	603.67	277.2	215.77	483.38	483.38	135.24	318.57	111.21	295.11	187.71	275.28	460.44	283.05	275.28	1175.27	403.5	830.75	1781.89	723.08
HIPK4	0.0	1.35	0.8	2.53	1.28	5.02	0.84	1.1	0.0	1.89	2.61	2.97	1.62	1.66	1.46	2.92	1.97	0.0	1.68	1.2	2.66	0.0	6.21	1.31	4.66	4.06	4.17	3.72	8.06	4.74	9.27	1.39	16.15	2.92	4.31	4.28	1.97	17.9	8.25	6.78	3.44	7.34	5.87	5.15	3.41	5.23	1.64	9.34	8.65	7.0	3.2	6.11	7.11	2.61	16.51	4.1	12.27	1.89	5.41	2.03	5.32	2.2	4.86	8.58	4.17	6.21	1.87	5.63	3.99	2.05	6.78	5.19	10.88	0.8	2.89	1.57	2.89	13.72	3.5	2.48	4.62	5.77	5.02	6.46	7.82	5.28	19.25	4.17	9.13	2.97	4.78
