	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.GM.A3NW.01A.21R.A22K.07	TCGA.BH.A0E7.01A.11R.A034.07	TCGA.AC.A2FB.01A.11R.A17B.07	TCGA.BH.AB28.01A.31R.A41B.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.A8.A083.01A.21R.A00Z.07	TCGA.AR.A1AX.01A.11R.A12P.07	TCGA.AR.A0TP.01A.11R.A084.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.EW.A1J1.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.A7.A13D.01A.13R.A12P.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A8.A0AB.01A.11R.A034.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.A2.A04Q.01A.21R.A034.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.B6.A3ZX.01A.11R.A239.07	TCGA.AR.A0U3.01A.11R.A109.07	TCGA.D8.A27I.01A.11R.A16F.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.EW.A1P7.01A.21R.A144.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.BH.A0BR.01A.21R.A115.07	TCGA.AR.A1AP.01A.11R.A12P.07	TCGA.MS.A51U.01A.31R.A266.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.BH.A18J.01A.11R.A12D.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.BH.A0W4.01A.11R.A109.07	TCGA.BH.A0EB.01A.11R.A034.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.AC.A2FO.01A.11R.A180.07	TCGA.AN.A0AR.01A.11R.A00Z.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.C8.A26V.01A.11R.A16F.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.BH.A1F5.01A.12R.A13Q.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AC.A2BK.01A.11R.A21T.07	TCGA.AQ.A04J.01A.02R.A034.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.E9.A1N8.01A.11R.A144.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.BH.A1EY.01A.11R.A13Q.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.AO.A0J7.01A.11R.A034.07	TCGA.A7.A0CG.01A.12R.A056.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.A2.A0EU.01A.22R.A056.07	TCGA.A1.A0SB.01A.11R.A144.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.1313W.0826.SM.5EQ4T	GTEX.Q2AG.0326.SM.48U1O	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.117YW.0526.SM.5H11C
IL10RA	915.51	53.57	137.14	167.9	144.01	63.45	974.5	387.02	819.3	281.09	59.97	825.0	43.63	87.03	285.03	258.57	31.22	124.37	473.41	212.78	44.57	223.41	171.45	536.45	836.53	647.07	146.03	62.12	108.9	78.34	169.07	305.55	45.85	884.29	111.21	507.46	432.53	819.3	124.37	358.54	497.0	161.02	90.77	135.24	87.65	70.01	177.53	37.32	713.11	191.67	285.03	361.04	63.0	1896.65	45.53	642.59	629.35	138.1	387.02	82.87	309.83	126.12	591.22	46.5	476.71	22.75	74.06	679.29	228.13	244.57	791.35	140.04	251.48	265.87	93.35	236.21	63.45	237.86	147.06	409.15	595.34	366.09	414.87	42.11	37.85	264.03	450.94	320.8	28.24	54.33	90.77	45.85	395.18	81.14	97.36	21.94	237.86	866.07	173.85	156.59	85.22	486.75	190.34	246.28	117.6	197.09	180.02	94.01	229.72	287.01	698.41	76.71	450.94	145.02	728.11	486.75	249.73	226.54	108.9	130.6	921.88	90.14	297.17	275.28	81.14	97.36	126.12	283.05	77.25	101.54	223.41	470.14	808.0	320.8	1757.34	1745.2
IL12RB1	81.71	12.09	26.47	26.47	29.48	8.19	115.97	38.4	92.05	44.89	8.0	138.1	9.63	14.78	48.18	53.57	4.62	15.11	121.79	48.18	7.82	66.65	43.32	101.54	120.94	189.02	24.28	12.09	18.43	21.94	31.67	53.95	2.94	246.28	26.67	57.89	112.77	228.13	23.93	40.93	61.68	27.84	6.16	34.75	19.68	20.11	27.05	12.55	79.45	37.85	47.84	54.33	7.46	450.94	5.68	82.87	82.29	13.42	75.64	8.25	76.71	18.16	49.56	12.27	67.59	4.31	20.26	94.01	58.3	27.64	116.78	53.95	37.59	44.25	18.03	49.91	5.73	47.84	10.96	100.83	87.03	134.3	90.77	10.55	5.5	30.34	70.51	75.64	8.92	9.41	15.8	8.85	76.17	27.05	13.22	6.52	33.06	171.45	33.78	23.93	12.93	59.13	23.93	43.02	22.43	33.78	32.13	18.7	18.29	43.32	41.52	7.82	112.77	11.13	156.59	50.63	29.48	23.08	88.26	8.65	31.45	7.63	50.98	63.0	13.03	52.45	13.72	29.27	5.45	43.32	57.08	74.58	46.84	41.22	454.09	204.07
IL2RG	1242.34	105.89	329.84	363.56	285.03	47.84	2502.97	599.49	1233.75	409.15	81.71	2047.0	49.91	175.07	563.18	397.93	139.07	177.53	1304.15	647.07	36.01	679.29	473.41	988.12	2224.63	4181.07	246.28	99.43	137.14	152.28	473.41	392.44	28.45	3820.7	356.05	934.76	1806.78	3665.02	239.52	75.11	559.28	327.56	112.77	249.73	279.14	309.83	447.82	81.14	1183.45	503.95	351.14	555.41	39.5	10440.2	50.27	1407.55	1151.06	132.44	1127.35	134.3	941.27	215.77	1277.29	132.44	713.11	43.63	249.73	1233.75	587.13	540.19	2287.2	332.14	698.41	674.59	96.01	878.17	190.34	387.02	84.63	2032.85	1487.87	2018.8	679.29	109.66	72.52	291.04	981.29	708.18	39.5	54.72	163.28	103.69	1225.22	312.0	189.02	21.78	269.6	2915.45	327.56	236.21	165.57	909.17	476.71	303.44	297.17	297.17	454.09	234.57	366.09	406.31	808.0	98.73	753.83	178.77	1467.37	974.5	591.22	229.72	285.03	480.04	356.05	239.52	866.07	507.46	87.65	251.48	728.11	2384.37	305.55	348.71	426.57	624.99	1359.57	915.51	2047.0	3018.3
ITK	172.65	9.48	15.34	50.63	39.79	3.11	299.25	50.98	125.24	45.21	11.21	281.09	3.53	15.68	63.89	47.17	3.08	31.67	115.16	50.98	2.12	60.39	37.59	204.07	249.73	226.54	18.43	7.17	19.82	9.56	33.78	32.36	2.14	346.29	35.5	82.87	171.45	244.57	9.56	8.58	80.57	30.56	13.42	13.72	9.63	15.8	34.75	9.27	108.9	38.4	35.5	74.58	2.18	1159.07	2.81	128.79	85.82	7.57	120.1	10.55	45.21	19.11	169.07	7.46	64.34	3.56	15.22	76.17	42.41	42.41	361.04	9.27	53.95	53.95	10.96	52.45	8.19	95.34	9.06	295.11	189.02	100.13	43.94	13.12	4.82	75.64	84.63	22.26	3.38	5.41	10.24	5.96	120.1	17.13	29.06	8.45	47.17	406.31	31.67	33.54	23.42	46.18	29.27	32.13	45.85	33.78	43.63	28.45	38.12	49.56	57.49	45.53	38.4	28.24	80.57	84.63	43.94	50.98	37.32	10.08	334.46	91.41	81.71	16.15	55.1	18.16	9.48	67.12	141.02	48.52	19.11	76.71	175.07	80.01	218.79	229.72
KIAA0125	69.03	14.45	20.71	10.39	6.57	2.58	52.45	41.22	23.42	52.82	4.5	128.79	0.41	3.14	50.27	4.9	0.0	0.0	9.48	3.0	0.0	15.91	49.21	17.9	84.04	314.17	53.95	8.38	2.89	13.03	11.64	10.39	0.0	389.72	10.55	36.53	43.02	674.59	27.84	1.04	34.26	10.16	4.58	5.28	15.34	1.75	37.85	3.96	42.11	2.43	2.07	23.25	0.0	1001.93	1.19	165.57	152.28	0.0	59.97	1.79	49.56	2.05	50.63	2.76	39.5	0.0	1.89	40.07	25.17	15.91	193.01	0.0	57.49	16.63	0.0	27.05	0.0	5.96	4.66	63.89	94.67	176.29	5.19	0.0	2.94	13.32	137.14	10.39	0.0	1.33	0.0	0.0	64.8	2.73	8.78	0.0	21.16	476.71	23.76	21.16	12.45	52.08	21.94	14.45	3.23	8.19	37.05	7.75	16.88	18.7	123.5	6.73	26.1	44.89	15.0	68.07	214.27	78.34	20.26	12.74	49.21	12.93	26.28	114.36	8.0	47.17	151.22	0.22	0.0	31.22	26.1	50.98	42.11	13.32	55.49	128.79
KLHL6	155.5	14.35	13.62	38.12	25.72	15.68	127.89	49.91	131.51	34.02	13.52	194.36	7.88	10.31	43.94	60.82	14.89	18.97	79.45	76.71	11.73	69.52	32.36	102.25	142.01	150.17	27.64	17.9	31.22	30.56	31.67	42.41	13.52	249.73	35.76	82.87	115.97	218.79	33.78	58.3	88.88	20.41	25.72	35.76	19.82	12.93	30.56	29.48	100.13	71.0	45.53	45.21	19.68	521.76	5.36	86.43	144.01	25.35	88.26	16.39	63.89	34.02	107.38	10.16	113.56	9.56	12.64	131.51	44.57	34.26	185.11	29.27	48.18	73.03	13.72	52.08	10.16	63.0	14.35	126.12	122.64	65.26	72.52	13.03	6.06	56.68	82.87	33.78	4.5	10.55	9.56	12.93	81.14	16.39	19.53	6.84	38.95	497.0	21.16	20.71	19.68	105.15	29.06	29.48	17.64	37.59	38.12	14.14	31.45	43.63	113.56	25.17	36.27	24.63	53.95	68.07	80.57	56.68	6.06	30.56	88.26	41.81	47.5	67.59	23.42	73.54	24.11	23.42	25.35	24.63	14.67	77.79	57.49	51.35	447.82	890.44
LCK	307.69	28.65	94.01	108.9	76.17	10.31	616.37	208.38	463.65	170.25	25.35	759.08	8.85	29.06	133.36	180.02	13.62	47.5	381.68	147.06	11.21	246.28	155.5	429.54	665.29	764.36	72.01	19.68	49.21	25.35	112.77	125.24	3.69	1857.6	72.52	262.2	493.56	1104.13	46.5	12.64	224.97	66.65	31.9	50.27	85.22	202.66	111.99	32.36	242.88	115.97	126.12	246.28	4.43	2816.11	6.16	417.77	325.29	28.86	303.44	15.34	151.22	48.52	438.59	40.93	170.25	12.27	41.81	295.11	176.29	108.14	743.43	82.87	366.09	152.28	20.26	305.55	11.64	89.51	39.22	551.56	395.18	463.65	109.66	63.89	15.22	100.13	251.48	228.13	91.41	9.41	25.17	23.76	366.09	79.45	52.08	31.22	79.45	909.17	82.29	76.71	32.36	132.44	56.28	101.54	83.45	76.71	166.73	63.0	36.79	105.15	136.19	97.36	281.09	81.14	237.86	255.0	293.07	102.97	158.79	45.53	169.07	38.4	234.57	172.65	87.65	58.71	454.09	20.71	66.18	182.55	69.52	555.41	493.56	45.53	327.56	432.53
LCP2	1008.9	125.24	173.85	406.31	299.25	214.27	1286.18	454.09	967.76	341.51	153.34	1417.35	158.79	169.07	567.1	490.14	183.82	211.31	1233.75	555.41	102.97	457.25	307.69	698.41	1066.48	1437.15	153.34	166.73	112.77	212.78	356.05	612.11	111.21	1259.69	312.0	591.22	1268.46	1143.1	283.05	698.41	633.73	348.71	154.42	400.71	147.06	281.09	198.47	297.17	1051.79	551.56	395.18	447.82	214.27	2895.31	94.01	384.34	575.03	275.28	813.63	208.38	884.29	368.65	713.11	111.99	1030.12	107.38	301.33	1066.48	525.39	351.14	1151.06	423.61	314.17	466.88	102.97	476.71	260.38	511.0	77.79	830.75	1044.52	941.27	1242.34	141.02	111.21	384.34	674.59	669.92	76.17	201.25	212.78	87.03	591.22	209.84	186.4	97.36	343.89	1457.23	476.71	334.46	177.53	595.34	279.14	291.04	206.94	348.71	332.14	143.01	536.45	395.18	316.37	125.24	470.14	162.14	1199.98	780.44	208.38	112.77	142.01	167.9	275.28	1225.22	842.36	269.6	253.23	743.43	146.03	1369.04	248.0	444.72	141.02	435.55	438.59	1407.55	2004.85	1322.37
LPXN	759.08	208.38	197.09	285.03	148.09	137.14	854.13	279.14	708.18	205.5	103.69	848.22	1001.93	194.36	329.84	293.07	94.01	178.77	607.87	532.74	125.24	289.02	205.5	447.82	836.53	1225.22	209.84	195.72	187.71	195.72	301.33	603.67	220.32	1135.2	265.87	483.38	775.05	1225.22	195.72	262.2	327.56	271.48	209.84	334.46	169.07	181.28	221.86	221.86	688.78	2468.49	299.25	293.07	131.51	2555.58	104.42	423.61	536.45	163.28	444.72	215.77	629.35	575.03	500.46	137.14	2075.59	101.54	323.03	947.83	444.72	334.46	961.07	500.46	258.57	493.56	206.94	473.41	273.37	256.78	51.71	688.78	728.11	595.34	616.37	143.01	133.36	191.67	660.68	497.0	42.41	226.54	153.34	119.26	559.28	220.32	228.13	186.4	303.44	1437.15	193.01	242.88	189.02	708.18	303.44	329.84	206.94	256.78	334.46	215.77	343.89	212.78	555.41	356.05	642.59	312.0	718.08	316.37	587.13	460.44	228.13	616.37	279.14	180.02	480.04	511.0	283.05	63.0	269.6	202.66	147.06	358.54	155.5	329.84	813.63	323.03	1540.37	1111.82
LY9	202.66	10.0	23.76	27.05	23.08	1.97	297.17	64.8	195.72	66.65	4.62	255.0	1.5	13.42	44.89	54.72	2.92	19.11	78.34	30.78	1.97	45.53	42.71	124.37	368.65	214.27	45.53	6.31	21.16	18.16	41.52	43.63	3.63	579.04	12.18	139.07	157.68	540.19	19.82	3.38	84.63	26.28	13.32	14.45	13.03	17.13	72.01	4.39	130.6	29.7	23.25	123.5	0.69	1467.37	2.63	441.64	234.57	7.34	113.56	12.55	46.5	17.51	186.4	5.19	84.04	6.06	12.93	142.01	38.95	73.54	363.56	7.34	75.64	53.19	19.11	70.01	11.47	31.22	10.79	170.25	187.71	127.89	43.32	3.79	3.0	51.71	63.45	31.22	2.92	3.92	9.13	5.45	142.01	19.53	17.51	3.56	37.59	426.57	23.25	26.47	14.35	86.43	32.59	33.78	31.45	35.25	78.34	27.84	40.93	43.02	463.65	46.18	95.34	26.28	61.68	239.52	265.87	104.42	26.1	91.41	44.57	43.02	164.42	47.5	42.11	108.9	58.3	121.79	51.35	81.14	10.63	115.97	55.1	86.43	113.56	201.25
MAP4K1	343.89	80.57	94.01	110.43	109.66	24.11	507.46	221.86	316.37	189.02	29.91	743.43	118.43	44.89	103.69	177.53	54.72	90.14	244.57	85.82	49.21	253.23	154.42	412.0	525.39	688.78	101.54	38.4	73.03	80.01	134.3	137.14	14.03	1119.56	135.24	232.94	389.72	1059.11	101.54	105.89	283.05	120.1	40.07	59.55	55.89	66.65	80.01	26.28	215.77	98.73	99.43	279.14	13.62	2468.49	35.5	420.68	392.44	28.65	199.85	39.79	146.03	68.07	318.57	78.89	135.24	62.12	60.82	283.05	125.24	96.68	674.59	64.34	244.57	151.22	53.95	144.01	21.63	96.01	110.43	441.64	316.37	318.57	190.34	123.5	34.51	87.03	175.07	153.34	63.45	38.95	76.71	44.89	249.73	122.64	60.82	22.1	113.56	1059.11	59.13	48.87	47.17	172.65	66.18	78.34	90.77	63.0	126.12	58.3	54.72	181.28	158.79	129.69	256.78	111.21	275.28	228.13	277.2	166.73	86.43	206.94	201.25	65.72	143.01	169.07	155.5	35.5	148.09	90.14	39.5	166.73	58.3	244.57	303.44	85.82	503.95	457.25
MGP	229795.93	469249.9	275175.93	303217.87	307450.64	225066.78	170568.48	301123.38	485798.0	286861.53	214407.12	104996.83	228208.61	998912.34	365622.68	381149.17	296977.71	1139523.1	659036.03	343510.77	258533.99	593956.43	329517.51	431797.89	138544.47	129266.49	368165.8	502929.67	386469.83	256748.15	365622.68	736332.6	363097.14	93325.55	375901.76	179048.63	623486.02	87681.42	327241.36	577714.63	309589.14	265802.39	425853.18	716197.51	360589.03	350728.68	462789.59	546551.29	242898.5	280957.98	355624.68	299043.36	466008.55	62431.08	197294.7	489177.0	198667.0	318292.9	569761.05	233003.78	234624.45	358098.26	228208.61	175363.84	400098.69	1196176.45	273275.14	411347.03	405683.88	414208.18	228208.61	539026.74	443937.41	329517.51	623486.02	256748.15	290865.98	434801.29	365622.68	179048.63	161367.56	402881.61	706337.4	334117.42	182810.84	363097.14	273275.14	405683.88	275175.93	459592.86	687022.54	211455.3	269512.87	417089.23	305326.92	137587.47	343510.77	164758.26	425853.18	358098.26	275175.93	273275.14	453265.5	462789.59	408505.64	331809.5	273275.14	800198.39	397335.0	509950.32	358098.26	598087.73	585779.24	1524599.69	378516.38	496005.67	338781.54	400098.69	565825.41	422911.59	334117.42	475800.4	338781.54	370726.6	565825.41	869603.57	1100706.72	845824.19	381149.17	496005.67	1308968.45	358098.26	311742.51	614902.29	258533.99	253213.41
MYO1F	414.87	158.79	144.01	171.45	127.0	75.11	379.04	265.87	567.1	262.2	64.8	486.75	53.95	72.01	202.66	273.37	57.08	57.08	348.71	141.02	77.79	258.57	218.79	384.34	412.0	466.88	178.77	60.82	169.07	147.06	187.71	236.21	75.11	591.22	110.43	291.04	392.44	629.35	185.11	389.72	381.68	104.42	57.49	175.07	52.08	89.51	177.53	55.89	454.09	190.34	204.07	251.48	71.0	890.44	52.08	325.29	547.75	119.26	267.73	107.38	332.14	151.22	277.2	77.79	318.57	43.63	105.15	470.14	198.47	173.85	339.14	129.69	206.94	172.65	120.1	246.28	48.87	182.55	40.07	287.01	371.22	279.14	587.13	62.56	82.87	130.6	269.6	332.14	69.03	61.68	65.26	78.34	239.52	87.03	58.71	79.45	185.11	733.19	149.12	141.02	84.63	314.17	102.25	208.38	98.73	206.94	185.11	110.43	134.3	208.38	381.68	146.03	309.83	191.67	353.59	289.02	309.83	246.28	170.25	158.79	241.19	34.26	262.2	277.2	149.12	68.07	101.54	69.52	80.57	214.27	126.12	521.76	363.56	248.0	525.39	688.78
NCKAP1L	813.63	39.79	113.56	204.07	100.13	78.34	656.11	228.13	571.05	175.07	43.02	656.11	62.56	78.34	256.78	183.82	36.79	80.01	483.38	289.02	64.34	201.25	146.03	320.8	603.67	624.99	54.33	67.59	71.5	75.64	139.07	363.56	60.39	684.02	155.5	329.84	543.96	775.05	161.02	281.09	305.55	133.36	75.64	244.57	67.59	92.7	110.43	50.98	642.59	289.02	223.41	169.07	98.73	1583.71	36.53	249.73	429.54	102.97	397.93	94.01	460.44	165.57	373.81	57.89	389.72	33.06	110.43	674.59	239.52	202.66	679.29	181.28	145.02	208.38	96.01	212.78	74.58	211.31	52.08	438.59	559.28	348.71	651.58	48.87	42.11	120.1	432.53	444.72	18.03	81.71	64.34	50.98	417.77	76.71	78.89	50.63	237.86	988.12	150.17	162.14	75.64	521.76	201.25	199.85	103.69	195.72	157.68	96.01	265.87	232.94	232.94	75.64	256.78	253.23	665.29	212.78	181.28	175.07	73.03	162.14	555.41	95.34	248.0	164.42	59.13	169.07	53.57	126.12	68.55	117.6	114.36	387.02	579.04	295.11	1551.09	3103.19
NCR3	55.49	5.54	17.9	8.0	7.11	0.61	68.07	18.7	48.18	23.08	0.58	69.52	0.0	6.52	16.03	19.82	0.68	8.85	30.34	11.47	0.0	26.28	12.83	21.94	55.1	94.01	2.78	3.08	2.41	5.28	13.93	12.83	0.62	260.38	8.19	29.48	49.91	363.56	8.65	1.27	26.86	13.12	8.0	1.93	3.92	10.88	10.16	5.06	29.06	9.34	5.77	6.26	1.57	470.14	3.79	55.89	75.11	0.66	42.41	1.99	23.25	6.01	27.84	3.86	18.43	0.64	7.88	38.12	23.93	11.55	77.79	11.21	33.3	12.09	9.63	22.1	4.82	4.58	5.02	82.87	78.34	67.12	59.97	3.2	4.58	8.13	31.45	10.71	0.0	2.43	4.82	0.0	42.71	5.06	5.11	1.11	12.64	127.0	17.9	28.04	4.43	10.88	12.93	6.21	1.35	19.11	13.12	3.03	14.35	11.13	13.52	10.88	20.26	11.13	49.91	32.59	2.36	6.52	15.56	3.82	0.0	12.09	23.76	46.5	9.2	8.45	47.5	16.88	5.36	18.97	19.68	78.89	30.78	9.56	80.01	76.17
NUGGC	11.82	3.14	1.22	1.91	1.85	0.64	18.56	6.31	12.64	14.78	1.48	37.59	0.0	1.03	6.89	4.35	0.37	3.14	7.06	5.68	1.25	2.97	4.46	8.51	25.91	38.95	10.24	1.28	0.64	5.68	11.21	9.06	0.33	49.91	1.58	15.34	4.66	39.22	5.54	0.66	12.09	1.99	1.6	3.53	1.57	1.66	6.89	1.39	17.25	1.68	1.97	12.0	0.34	113.56	0.29	20.26	10.79	2.66	11.64	3.38	6.89	1.64	17.9	0.68	15.45	0.34	2.1	10.47	7.17	5.41	24.99	0.35	2.81	4.24	1.71	9.2	1.0	3.96	3.32	19.97	17.64	18.56	3.08	0.35	0.96	6.16	3.11	2.41	0.84	0.0	0.64	0.66	13.72	1.31	0.33	0.39	10.0	113.56	3.23	4.86	8.65	14.67	5.41	11.21	4.78	5.68	6.73	12.55	5.06	7.57	32.59	3.99	13.83	8.78	6.78	20.11	28.45	16.27	0.2	11.64	32.13	1.0	4.86	9.41	1.62	6.26	11.73	2.25	3.06	5.82	3.59	12.64	10.79	3.82	13.72	25.35
P2RY10	607.87	5.41	9.93	21.94	14.56	4.06	269.6	49.56	115.97	40.64	56.28	273.37	0.0	8.71	60.39	19.39	3.17	18.7	111.21	51.71	3.44	69.03	19.68	92.7	293.07	154.42	16.63	7.88	10.79	4.54	24.11	42.41	218.79	387.02	139.07	101.54	211.31	417.77	11.82	1.33	53.95	339.14	27.05	19.11	6.84	6.31	16.03	4.9	115.97	48.52	34.75	65.26	12.64	1030.12	0.0	124.37	108.14	4.7	74.58	4.13	62.12	31.22	150.17	6.62	92.7	1.33	15.22	59.55	42.41	35.5	387.02	19.68	36.27	55.49	9.2	35.76	83.45	43.94	9.63	148.09	218.79	129.69	40.64	6.21	4.78	51.35	325.29	27.05	5.02	29.27	5.32	112.77	171.45	11.38	11.04	3.06	41.81	392.44	35.5	15.56	8.65	56.28	38.4	33.06	12.55	23.08	39.5	10.88	55.89	13.42	77.25	14.45	114.36	62.56	56.28	69.03	109.66	47.5	35.5	17.0	127.89	43.32	65.26	38.67	18.97	24.46	20.86	3.0	20.71	44.57	5.96	48.87	180.02	28.45	146.03	183.82
PARP15	183.82	8.25	8.78	25.35	14.67	5.45	65.26	41.52	95.34	44.57	4.86	169.07	3.92	5.19	18.29	34.26	4.24	7.63	45.53	18.97	3.47	22.26	18.16	84.63	151.22	80.57	9.63	3.89	6.73	7.63	11.91	13.52	5.19	435.55	14.03	48.87	95.34	190.34	22.59	9.34	81.71	19.25	8.58	18.7	6.46	4.43	13.32	5.73	49.56	24.81	29.48	26.67	9.63	1175.27	1.35	53.57	147.06	6.89	33.3	10.24	24.28	13.93	69.03	3.69	48.52	2.58	10.0	53.95	18.03	11.04	209.84	15.56	42.71	19.53	4.94	17.38	10.63	23.25	5.63	125.24	101.54	35.76	24.11	1.55	6.21	31.22	30.12	12.83	2.84	2.16	1.83	7.06	44.89	6.78	13.12	7.75	48.87	476.71	20.86	12.09	11.64	59.55	17.9	22.59	16.15	17.51	31.45	15.8	41.81	25.35	23.76	15.68	100.83	8.85	92.05	45.85	29.48	36.27	21.32	6.31	94.01	17.64	50.98	63.45	42.71	18.7	1.51	40.07	8.92	22.59	10.63	275.28	78.34	45.21	265.87	215.77
PLA2G2D	110.43	0.91	18.97	18.84	15.11	0.29	209.84	41.81	120.1	16.75	0.27	214.27	1.68	2.86	82.87	8.19	0.99	11.64	27.64	34.75	0.88	76.17	60.39	31.9	137.14	612.11	17.77	3.56	74.58	9.2	18.7	4.82	0.0	271.48	48.18	217.27	193.01	295.11	23.08	0.92	20.11	8.92	24.28	4.06	3.23	1.89	20.11	0.99	46.84	20.26	11.55	16.51	0.6	2720.15	1.58	153.34	116.78	1.58	112.77	1.3	10.71	8.45	75.64	4.66	13.32	0.3	0.57	18.7	50.63	18.7	486.75	4.06	53.57	77.79	9.2	38.95	4.35	10.71	5.11	305.55	75.64	130.6	2.92	0.93	0.0	11.82	88.88	14.35	0.26	2.92	2.92	0.92	101.54	22.59	7.17	0.72	16.63	679.29	17.77	5.87	4.86	17.9	9.93	8.13	7.88	8.71	82.29	16.75	13.83	22.92	14.35	11.3	117.6	16.63	8.06	47.17	36.01	0.61	13.62	0.62	1.73	10.24	6.57	97.36	25.72	29.7	414.87	10.79	0.0	4.24	44.89	5.06	507.46	4.98	988.12	176.29
