	GTEX.132AR.0826.SM.5EGK6	GTEX.13OVI.1126.SM.5KLZF	TCGA.B2.4098.01A.02R.1325.07	TCGA.A3.3317.01A.02R.1325.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.EV.5902.01A.11R.1592.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.B3.3926.01A.02R.1351.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.4117.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.DD.A3A8.11A.11R.A22L.07
UPF2	323.03	351.14	221.86	307.69	129.69	81.71	244.57	303.44	332.14	90.14	89.51	353.59	60.82	236.21	189.02	194.36	155.5	231.32	190.34	129.69	145.02	25.17	110.43	111.99	98.73	98.73	138.1	38.12
UTP15	159.9	185.11	177.53	246.28	53.95	63.0	120.1	164.42	164.42	51.71	75.11	197.09	102.25	124.37	88.88	110.43	93.35	152.28	100.13	98.73	92.05	59.13	83.45	67.12	91.41	56.28	73.03	54.33
WDR41	1216.75	575.03	624.99	947.83	490.14	543.96	836.53	866.07	1111.82	221.86	420.68	748.61	848.22	961.07	748.61	599.49	571.05	1023.0	514.56	514.56	466.88	403.5	486.75	332.14	587.13	281.09	429.54	264.03
WDR55	258.57	366.09	480.04	629.35	201.25	320.8	629.35	612.11	466.88	246.28	346.29	703.28	379.04	500.46	384.34	341.51	417.77	341.51	555.41	500.46	373.81	212.78	366.09	208.38	260.38	371.22	363.56	198.47
YIPF5	764.36	1909.85	669.92	1286.18	395.18	447.82	708.18	988.12	1417.35	237.86	392.44	769.69	642.59	921.88	743.43	532.74	503.95	813.63	457.25	400.71	693.58	301.33	368.65	363.56	395.18	285.03	307.69	212.78
YTHDC2	142.01	432.53	275.28	567.1	80.01	135.24	281.09	305.55	384.34	86.43	64.8	332.14	159.9	423.61	148.09	208.38	182.55	214.27	291.04	98.73	154.42	28.86	100.83	89.51	75.64	44.89	145.02	56.28
ZBTB11	143.01	265.87	152.28	187.71	61.25	71.0	138.1	148.09	195.72	68.07	57.49	182.55	45.53	176.29	103.69	156.59	87.65	141.02	97.36	99.43	76.17	13.72	62.56	78.34	57.08	54.33	112.77	23.25
ZFP91	470.14	1199.98	796.86	1250.98	323.03	435.55	728.11	995.0	1277.29	283.05	373.81	591.22	400.71	902.89	665.29	607.87	583.07	785.88	457.25	457.25	514.56	165.57	417.77	312.0	316.37	316.37	432.53	212.78
ZFR	878.17	1477.58	825.0	1066.48	384.34	429.54	902.89	854.13	1073.91	417.77	262.2	921.88	343.89	941.27	775.05	669.92	500.46	954.43	708.18	540.19	599.49	124.37	403.5	323.03	400.71	426.57	493.56	148.09
ZFYVE16	389.72	420.68	376.41	438.59	154.42	80.57	447.82	432.53	511.0	90.77	122.64	470.14	165.57	476.71	253.23	237.86	201.25	307.69	395.18	127.89	348.71	46.5	127.89	114.36	115.16	102.97	199.85	61.68
ZMYND11	521.76	1745.2	819.3	1295.13	497.0	476.71	848.22	988.12	1388.16	381.68	406.31	1059.11	412.0	928.3	854.13	872.1	624.99	1268.46	591.22	529.06	616.37	221.86	563.18	325.29	381.68	356.05	583.07	220.32
ZNF17	104.42	110.43	110.43	81.71	59.13	21.78	90.14	91.41	97.36	21.63	35.5	61.25	27.05	86.43	65.26	72.01	45.85	85.82	64.8	46.84	69.03	19.25	53.95	29.91	37.59	35.25	81.71	15.91
ZNF383	67.59	171.45	88.26	131.51	45.85	42.11	96.68	80.01	91.41	27.64	36.27	77.79	27.44	90.77	63.89	55.1	48.18	88.88	63.89	45.53	46.84	25.35	54.33	37.32	22.75	21.32	71.5	13.42
ZNF420	131.51	140.04	94.67	133.36	74.06	45.53	108.9	106.63	120.1	49.91	58.3	80.01	34.26	98.73	78.34	84.63	61.68	111.21	71.0	80.01	62.56	44.25	85.22	46.5	25.72	44.89	70.01	39.79
ZNF501	110.43	113.56	50.63	77.79	66.65	3.69	98.73	84.63	164.42	3.0	13.83	53.57	24.28	150.17	82.29	46.18	53.57	69.52	60.82	34.26	27.05	4.39	31.0	10.88	21.78	17.77	71.0	0.68
ZNF507	129.69	199.85	109.66	214.27	47.17	31.67	124.37	101.54	176.29	51.35	38.4	135.24	34.51	140.04	48.87	96.01	67.12	152.28	84.04	65.26	57.49	14.45	56.28	39.5	38.12	30.78	144.01	30.12
ZNF512	616.37	759.08	579.04	718.08	660.68	185.11	780.44	967.76	1417.35	150.17	248.0	698.41	162.14	1088.92	708.18	532.74	429.54	698.41	647.07	547.75	420.68	180.02	318.57	363.56	466.88	149.12	497.0	82.29
ZNF561	743.43	525.39	743.43	802.41	173.85	217.27	429.54	414.87	791.35	52.82	197.09	381.68	151.22	480.04	366.09	346.29	281.09	497.0	480.04	429.54	307.69	117.6	251.48	177.53	182.55	314.17	246.28	102.25
ZNF614	80.57	181.28	61.25	127.89	24.63	13.93	68.07	57.08	96.01	6.57	18.84	87.03	29.48	93.35	29.27	87.03	33.06	59.55	43.94	31.22	45.21	12.83	17.13	6.41	14.78	21.63	34.51	5.96
ZNF714	59.55	52.82	33.54	92.05	17.13	21.47	52.45	57.08	67.12	9.48	5.96	52.08	8.13	69.03	17.77	61.68	27.64	51.35	24.11	11.82	19.68	10.63	22.92	2.16	16.51	2.63	25.54	0.68
ZNF776	100.83	285.03	189.02	221.86	78.34	62.56	212.78	171.45	299.25	31.22	62.12	133.36	50.98	303.44	166.73	170.25	70.51	209.84	112.77	63.0	108.14	60.82	76.71	59.55	64.8	43.32	135.24	35.0
ZNF805	28.86	108.9	48.18	74.06	4.28	22.1	52.08	27.84	51.71	14.89	13.12	26.86	9.56	43.02	16.39	30.78	11.38	37.05	16.27	18.84	19.11	13.03	13.42	11.13	4.58	7.75	17.77	8.99
