	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.A3.A6NL.01A.11R.A33J.07	TCGA.B4.5836.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.CJ.4644.01A.02R.1325.07	TCGA.DV.5569.01A.01R.1541.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.BP.5177.01A.01R.1426.07	TCGA.CJ.5684.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.CJ.4874.01A.01R.1305.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.BP.4762.01A.02R.1289.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4341.01A.01R.1289.07	TCGA.BP.5194.01A.02R.1426.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.B0.4827.01A.02R.1420.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.B2.5635.01A.01R.1541.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.BP.4355.01A.01R.1289.07	TCGA.A3.A8OU.01A.11R.A37O.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.BP.4335.01A.01R.1289.07	TCGA.BP.4327.01A.01R.1289.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.BP.4807.01A.01R.1305.07	TCGA.BP.4804.01A.02R.1305.07	TCGA.BP.4349.01A.01R.1289.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.5007.01A.01R.1334.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B4.5838.01A.11R.1672.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.BP.5183.01A.01R.1426.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.B0.5096.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.MM.A563.01A.11R.A266.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.B8.5549.01A.01R.1541.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.EU.5904.01A.11R.1672.07	TCGA.BP.5196.01A.01R.1426.07	GTEX.ZQG8.2126.SM.4YCF1
DVL1	1127.35	669.92	281.09	656.11	341.51	387.02	836.53	376.41	612.11	540.19	497.0	651.58	543.96	525.39	543.96	299.25	796.86	406.31	633.73	967.76	497.0	318.57	289.02	149.12	78.89	307.69	595.34	466.88	575.03	603.67	866.07	780.44	743.43	974.5	718.08	599.49	743.43	500.46	656.11	624.99	878.17	426.57	902.89	669.92	432.53	483.38	872.1	748.61	409.15	599.49	698.41	547.75	599.49	915.51	397.93	197.09	551.56	476.71	624.99	447.82	819.3	571.05	679.29	769.69	679.29	507.46	351.14	432.53	713.11	406.31	1030.12	764.36	1208.34	293.07	511.0	563.18	595.34	607.87	1233.75	343.89	947.83	536.45	698.41	559.28
DXO	87.03	395.18	218.79	277.2	195.72	285.03	320.8	110.43	176.29	518.15	293.07	500.46	775.05	251.48	713.11	194.36	480.04	146.03	303.44	764.36	197.09	363.56	194.36	120.1	122.64	175.07	246.28	301.33	356.05	221.86	363.56	457.25	733.19	507.46	251.48	426.57	381.68	229.72	351.14	693.58	368.65	275.28	738.29	356.05	223.41	187.71	444.72	171.45	167.9	371.22	529.06	603.67	356.05	473.41	248.0	185.11	351.14	507.46	633.73	260.38	599.49	559.28	785.88	346.29	438.59	373.81	145.02	237.86	511.0	211.31	275.28	260.38	796.86	166.73	277.2	603.67	343.89	591.22	647.07	260.38	334.46	316.37	450.94	78.89
E4F1	463.65	356.05	166.73	218.79	180.02	186.4	224.97	149.12	223.41	309.83	202.66	376.41	511.0	236.21	220.32	147.06	414.87	173.85	297.17	507.46	142.01	167.9	194.36	176.29	109.66	271.48	273.37	220.32	258.57	236.21	325.29	454.09	490.14	392.44	299.25	293.07	412.0	153.34	353.59	426.57	353.59	217.27	444.72	441.64	175.07	183.82	358.54	232.94	151.22	283.05	397.93	435.55	249.73	339.14	271.48	97.36	242.88	189.02	351.14	155.5	450.94	454.09	457.25	314.17	242.88	376.41	152.28	120.94	486.75	158.79	381.68	287.01	441.64	153.34	170.25	429.54	202.66	356.05	400.71	183.82	400.71	271.48	281.09	114.36
ENTHD2	218.79	400.71	123.5	193.01	108.14	95.34	169.07	101.54	155.5	165.57	126.12	363.56	1594.73	156.59	170.25	95.34	460.44	92.05	303.44	587.13	108.14	144.01	127.0	96.68	73.03	157.68	140.04	150.17	301.33	127.89	265.87	316.37	612.11	441.64	182.55	384.34	441.64	124.37	215.77	540.19	447.82	95.34	500.46	460.44	120.1	117.6	441.64	334.46	109.66	291.04	529.06	587.13	314.17	376.41	182.55	74.58	170.25	133.36	279.14	128.79	358.54	629.35	698.41	156.59	226.54	429.54	109.66	86.43	521.76	87.65	432.53	231.32	490.14	113.56	120.1	450.94	106.63	409.15	559.28	88.88	373.81	231.32	206.94	62.12
FBXL6	260.38	262.2	239.52	151.22	136.19	161.02	231.32	125.24	346.29	241.19	180.02	327.56	466.88	141.02	251.48	131.51	318.57	98.73	400.71	559.28	84.63	155.5	217.27	267.73	89.51	320.8	152.28	181.28	208.38	420.68	291.04	312.0	307.69	409.15	258.57	329.84	314.17	132.44	224.97	368.65	289.02	171.45	536.45	435.55	96.68	81.71	239.52	563.18	113.56	285.03	435.55	447.82	193.01	305.55	273.37	88.26	343.89	128.79	363.56	115.97	332.14	358.54	444.72	253.23	232.94	267.73	214.27	105.15	329.84	149.12	395.18	395.18	417.77	86.43	108.14	521.76	249.73	363.56	941.27	195.72	351.14	171.45	269.6	93.35
FLYWCH1	591.22	603.67	353.59	595.34	389.72	318.57	486.75	299.25	563.18	507.46	414.87	532.74	974.5	529.06	406.31	303.44	642.59	395.18	507.46	860.08	414.87	368.65	307.69	314.17	193.01	629.35	463.65	384.34	521.76	358.54	785.88	607.87	872.1	669.92	612.11	591.22	603.67	476.71	536.45	775.05	665.29	503.95	928.3	988.12	379.04	373.81	450.94	460.44	368.65	684.02	733.19	878.17	567.1	743.43	353.59	480.04	395.18	493.56	547.75	412.0	775.05	1030.12	507.46	616.37	532.74	866.07	281.09	305.55	540.19	406.31	854.13	473.41	988.12	320.8	447.82	708.18	409.15	775.05	616.37	403.5	802.41	518.15	503.95	134.3
GIGYF1	209.84	503.95	140.04	348.71	117.6	197.09	303.44	103.69	178.77	325.29	190.34	376.41	1066.48	251.48	205.5	96.01	583.07	88.26	341.51	791.35	211.31	144.01	141.02	92.7	33.78	190.34	175.07	258.57	376.41	199.85	361.04	341.51	698.41	575.03	303.44	473.41	656.11	214.27	291.04	624.99	624.99	127.0	764.36	525.39	129.69	156.59	497.0	332.14	141.02	379.04	555.41	591.22	476.71	470.14	212.78	110.43	186.4	197.09	341.51	260.38	438.59	718.08	1119.56	312.0	309.83	435.55	191.67	153.34	575.03	110.43	555.41	320.8	642.59	180.02	195.72	450.94	195.72	339.14	1216.75	146.03	420.68	361.04	318.57	43.02
GLI4	529.06	325.29	134.3	246.28	111.99	135.24	234.57	133.36	234.57	318.57	199.85	224.97	595.34	198.47	234.57	138.1	503.95	127.89	392.44	497.0	183.82	242.88	199.85	195.72	81.14	202.66	277.2	156.59	232.94	253.23	403.5	323.03	420.68	500.46	400.71	379.04	384.34	185.11	320.8	447.82	476.71	170.25	323.03	460.44	120.94	108.9	279.14	392.44	158.79	265.87	353.59	521.76	283.05	358.54	220.32	111.99	195.72	201.25	312.0	139.07	454.09	511.0	414.87	289.02	325.29	303.44	125.24	114.36	314.17	124.37	400.71	514.56	429.54	152.28	152.28	656.11	316.37	368.65	785.88	111.99	503.95	194.36	285.03	82.87
HDAC10	480.04	733.19	332.14	476.71	320.8	361.04	503.95	262.2	551.56	329.84	356.05	796.86	2075.59	432.53	476.71	271.48	698.41	236.21	693.58	1167.14	265.87	480.04	514.56	239.52	91.41	547.75	368.65	341.51	493.56	454.09	651.58	728.11	813.63	921.88	473.41	872.1	791.35	426.57	599.49	902.89	1135.2	395.18	842.36	854.13	260.38	255.0	813.63	260.38	318.57	547.75	796.86	1001.93	536.45	713.11	289.02	177.53	356.05	540.19	693.58	237.86	723.08	1331.57	1259.69	429.54	708.18	796.86	198.47	368.65	878.17	309.83	928.3	591.22	1051.79	303.44	293.07	878.17	297.17	860.08	1350.18	295.11	674.59	432.53	314.17	78.34
KCTD13	175.07	371.22	169.07	217.27	102.25	187.71	246.28	81.14	283.05	356.05	182.55	366.09	802.41	180.02	307.69	175.07	540.19	119.26	320.8	447.82	178.77	248.0	212.78	134.3	134.3	329.84	183.82	201.25	277.2	204.07	339.14	392.44	480.04	493.56	223.41	392.44	348.71	190.34	497.0	532.74	397.93	212.78	476.71	409.15	149.12	133.36	358.54	363.56	103.69	291.04	503.95	629.35	334.46	387.02	269.6	126.12	346.29	197.09	500.46	175.07	447.82	587.13	511.0	346.29	463.65	368.65	323.03	155.5	518.15	139.07	460.44	214.27	381.68	146.03	226.54	603.67	115.16	395.18	511.0	186.4	540.19	248.0	346.29	56.68
KLHL17	226.54	166.73	40.93	59.13	19.82	39.5	82.29	25.72	59.97	71.5	55.49	186.4	389.72	49.21	52.45	33.78	237.86	24.46	108.14	323.03	31.45	69.03	24.46	18.84	8.38	33.3	35.5	59.55	127.0	50.98	117.6	150.17	241.19	267.73	81.14	186.4	182.55	56.28	84.63	221.86	183.82	35.5	220.32	167.9	27.25	31.0	211.31	77.25	35.76	122.64	211.31	246.28	140.04	197.09	42.41	20.86	66.65	32.82	149.12	29.27	228.13	277.2	327.56	99.43	97.36	161.02	41.22	42.11	236.21	40.64	242.88	81.71	327.56	19.25	35.0	205.5	71.0	185.11	384.34	28.24	142.01	87.03	91.41	24.28
LIN37	89.51	329.84	198.47	307.69	209.84	251.48	258.57	195.72	264.03	336.79	358.54	275.28	406.31	164.42	299.25	194.36	429.54	182.55	607.87	507.46	323.03	277.2	153.34	175.07	105.15	376.41	229.72	167.9	226.54	412.0	466.88	420.68	406.31	329.84	339.14	309.83	314.17	351.14	363.56	392.44	395.18	232.94	633.73	228.13	223.41	253.23	414.87	285.03	221.86	490.14	373.81	346.29	327.56	329.84	426.57	98.04	303.44	253.23	299.25	265.87	547.75	387.02	463.65	295.11	297.17	251.48	253.23	241.19	348.71	209.84	438.59	228.13	441.64	182.55	325.29	348.71	371.22	346.29	423.61	201.25	444.72	241.19	361.04	165.57
LPIN3	607.87	612.11	195.72	234.57	117.6	185.11	381.68	130.6	547.75	221.86	178.77	679.29	1583.71	208.38	450.94	135.24	500.46	74.06	909.17	1250.98	159.9	305.55	157.68	299.25	58.71	417.77	151.22	283.05	373.81	218.79	497.0	532.74	1127.35	896.64	358.54	718.08	785.88	231.32	447.82	915.51	1111.82	99.43	1721.16	825.0	142.01	165.57	1066.48	395.18	165.57	500.46	1081.39	1104.13	836.53	813.63	299.25	199.85	140.04	183.82	703.28	150.17	759.08	2935.74	1167.14	189.02	490.14	775.05	249.73	151.22	1447.15	115.16	674.59	239.52	928.3	177.53	224.97	854.13	323.03	684.02	1685.71	144.01	1794.29	312.0	409.15	122.64
LRRC14	215.77	339.14	283.05	320.8	155.5	223.41	223.41	271.48	353.59	269.6	249.73	329.84	616.37	258.57	215.77	228.13	318.57	217.27	417.77	432.53	205.5	166.73	255.0	262.2	146.03	151.22	336.79	202.66	309.83	260.38	353.59	373.81	438.59	423.61	297.17	438.59	409.15	221.86	312.0	368.65	444.72	202.66	460.44	457.25	248.0	177.53	379.04	381.68	260.38	307.69	400.71	480.04	289.02	373.81	246.28	190.34	267.73	201.25	336.79	121.79	312.0	529.06	409.15	244.57	363.56	406.31	234.57	229.72	242.88	256.78	521.76	665.29	447.82	209.84	258.57	438.59	221.86	532.74	579.04	234.57	303.44	246.28	248.0	99.43
LRRC45	470.14	234.57	136.19	197.09	314.17	145.02	248.0	127.0	248.0	187.71	189.02	255.0	454.09	191.67	199.85	144.01	307.69	144.01	220.32	339.14	176.29	165.57	170.25	103.69	80.01	303.44	186.4	114.36	205.5	228.13	348.71	279.14	198.47	400.71	281.09	248.0	327.56	202.66	260.38	271.48	293.07	251.48	381.68	339.14	125.24	87.03	232.94	301.33	142.01	287.01	244.57	366.09	208.38	316.37	147.06	70.51	226.54	194.36	275.28	176.29	395.18	260.38	420.68	251.48	289.02	221.86	99.43	120.94	241.19	167.9	343.89	281.09	403.5	123.5	180.02	323.03	116.78	275.28	432.53	123.5	457.25	144.01	183.82	127.0
MAP3K10	86.43	221.86	118.43	194.36	72.52	126.12	145.02	63.0	202.66	185.11	163.28	182.55	414.87	150.17	161.02	66.65	251.48	64.8	193.01	406.31	93.35	73.03	163.28	96.01	30.56	140.04	140.04	126.12	152.28	96.68	229.72	293.07	351.14	417.77	206.94	221.86	264.03	189.02	217.27	215.77	371.22	126.12	271.48	244.57	112.77	100.13	214.27	283.05	119.26	198.47	299.25	305.55	269.6	267.73	148.09	140.04	161.02	120.1	194.36	85.22	260.38	318.57	258.57	190.34	206.94	255.0	172.65	102.97	226.54	91.41	307.69	237.86	205.5	92.7	144.01	232.94	114.36	271.48	301.33	94.67	420.68	147.06	194.36	40.36
MAPK8IP3	320.8	1143.1	114.36	540.19	48.52	327.56	348.71	102.25	432.53	387.02	205.5	1037.29	3982.99	420.68	409.15	100.13	1487.87	71.5	547.75	1909.85	224.97	169.07	78.34	80.57	55.1	177.53	152.28	186.4	1001.93	373.81	327.56	836.53	1628.26	1594.73	450.94	872.1	1015.93	221.86	775.05	1819.35	1685.71	124.37	1322.37	1594.73	92.7	115.16	2148.82	305.55	348.71	780.44	1407.55	1977.24	1268.46	1508.65	463.65	95.34	381.68	147.06	688.78	187.71	967.76	2956.17	2047.0	314.17	603.67	1044.52	237.86	148.09	1936.53	130.6	1023.0	314.17	1216.75	295.11	191.67	1208.34	273.37	872.1	2935.74	173.85	1378.57	353.59	759.08	23.93
MIB2	507.46	775.05	242.88	426.57	194.36	285.03	426.57	279.14	229.72	417.77	343.89	563.18	1295.13	403.5	395.18	285.03	620.67	336.79	490.14	1096.5	275.28	301.33	371.22	114.36	137.14	221.86	429.54	314.17	525.39	301.33	688.78	660.68	872.1	1191.69	665.29	848.22	836.53	314.17	444.72	759.08	941.27	316.37	947.83	825.0	251.48	277.2	928.3	476.71	329.84	688.78	819.3	884.29	647.07	947.83	271.48	115.97	373.81	339.14	518.15	269.6	830.75	1225.22	961.07	503.95	703.28	583.07	158.79	178.77	796.86	241.19	928.3	543.96	1208.34	212.78	332.14	684.02	432.53	743.43	995.0	251.48	674.59	325.29	595.34	318.57
MUTYH	361.04	320.8	151.22	161.02	131.51	162.14	176.29	86.43	229.72	327.56	187.71	318.57	791.35	211.31	206.94	125.24	441.64	149.12	293.07	536.45	130.6	231.32	135.24	83.45	147.06	123.5	147.06	147.06	253.23	187.71	256.78	320.8	624.99	351.14	249.73	450.94	368.65	139.07	215.77	480.04	507.46	167.9	567.1	363.56	113.56	134.3	299.25	285.03	137.14	299.25	497.0	500.46	285.03	348.71	158.79	78.34	191.67	125.24	379.04	138.1	409.15	521.76	540.19	244.57	260.38	348.71	159.9	83.45	473.41	100.83	624.99	182.55	432.53	111.21	172.65	363.56	144.01	406.31	351.14	116.78	420.68	215.77	316.37	87.03
MZF1	239.52	486.75	136.19	229.72	67.59	151.22	143.01	76.17	101.54	186.4	131.51	379.04	967.76	197.09	201.25	89.51	387.02	111.99	403.5	603.67	130.6	146.03	155.5	71.5	53.95	130.6	153.34	124.37	343.89	76.71	236.21	343.89	642.59	529.06	221.86	441.64	466.88	150.17	371.22	540.19	620.67	109.66	490.14	336.79	78.89	113.56	473.41	111.21	130.6	271.48	525.39	854.13	438.59	466.88	206.94	82.29	169.07	127.0	389.72	110.43	417.77	728.11	591.22	154.42	371.22	423.61	112.77	148.09	447.82	91.41	441.64	101.54	551.56	114.36	182.55	543.96	205.5	438.59	400.71	116.78	547.75	215.77	314.17	34.02
NARFL	507.46	507.46	376.41	423.61	400.71	339.14	406.31	332.14	802.41	336.79	371.22	624.99	1104.13	460.44	438.59	320.8	521.76	325.29	490.14	679.29	366.09	373.81	376.41	262.2	197.09	551.56	414.87	368.65	414.87	387.02	571.05	470.14	420.68	679.29	460.44	587.13	500.46	397.93	532.74	587.13	693.58	540.19	603.67	532.74	327.56	358.54	633.73	368.65	373.81	567.1	454.09	902.89	457.25	599.49	429.54	616.37	412.0	497.0	563.18	356.05	591.22	866.07	684.02	551.56	476.71	403.5	381.68	305.55	660.68	384.34	599.49	647.07	775.05	368.65	417.77	559.28	518.15	567.1	1594.73	447.82	607.87	384.34	429.54	221.86
NAT6	420.68	218.79	108.9	154.42	96.68	115.97	205.5	132.44	119.26	197.09	158.79	137.14	368.65	167.9	94.01	111.21	293.07	125.24	237.86	285.03	107.38	171.45	116.78	57.08	109.66	212.78	144.01	232.94	299.25	97.36	253.23	172.65	303.44	217.27	205.5	193.01	218.79	162.14	156.59	281.09	202.66	116.78	251.48	194.36	161.02	131.51	223.41	157.68	91.41	234.57	293.07	158.79	127.0	185.11	176.29	70.01	122.64	124.37	209.84	147.06	181.28	269.6	224.97	228.13	195.72	172.65	57.89	67.12	205.5	102.25	275.28	115.97	241.19	105.89	146.03	341.51	175.07	255.0	279.14	106.63	253.23	226.54	182.55	74.58
NDUFA4L2	327241.36	66449.85	66449.85	73221.53	44761.41	65990.84	83528.61	73221.53	90773.53	71714.63	59887.86	124000.67	32994.92	88905.42	75803.72	44452.21	93325.55	43840.21	96616.71	42346.82	56657.31	91404.92	73221.53	68793.23	16045.82	120609.84	96616.71	79572.48	65535.0	88905.42	80683.28	76330.98	61571.56	65535.0	93325.55	62431.08	72213.45	81809.59	72715.74	63302.6	77396.54	81809.59	91404.92	94628.34	70238.75	90146.51	102836.01	97288.74	52497.92	67846.12	71714.63	70727.3	72715.74	167058.21	102836.01	42937.97	100023.92	79572.48	162489.97	93325.55	97288.74	93974.69	75280.1	95286.54	71714.63	78476.96	109455.64	54727.32	96616.71	95949.32	65535.0	85283.74	97288.74	56265.94	92040.7	88905.42	118127.7	72715.74	124000.67	60723.88	94628.34	71714.63	90773.53	25179.16
NEURL4	176.29	351.14	137.14	226.54	111.99	153.34	176.29	72.52	198.47	221.86	163.28	395.18	934.76	183.82	195.72	102.97	361.04	93.35	269.6	603.67	120.94	121.79	142.01	69.03	40.64	161.02	117.6	151.22	269.6	99.43	327.56	358.54	540.19	532.74	202.66	368.65	463.65	161.02	265.87	503.95	432.53	132.44	624.99	265.87	120.1	98.04	356.05	111.99	134.3	279.14	435.55	463.65	303.44	346.29	141.02	88.88	158.79	142.01	228.13	119.26	423.61	497.0	629.35	212.78	295.11	351.14	171.45	110.43	483.38	119.26	346.29	229.72	460.44	138.1	191.67	381.68	84.04	287.01	503.95	77.25	260.38	231.32	189.02	57.89
PACS2	301.33	1096.5	356.05	836.53	426.57	629.35	791.35	518.15	457.25	708.18	679.29	854.13	1628.26	599.49	466.88	384.34	1304.15	599.49	878.17	1583.71	620.67	486.75	612.11	409.15	271.48	423.61	791.35	718.08	620.67	540.19	909.17	866.07	1388.16	1135.2	1023.0	909.17	1233.75	775.05	748.61	1127.35	1605.83	638.15	954.43	629.35	759.08	620.67	878.17	587.13	612.11	836.53	1127.35	791.35	1066.48	748.61	819.3	351.14	500.46	607.87	457.25	718.08	1023.0	1561.89	1477.58	1037.29	703.28	921.88	529.06	371.22	1001.93	567.1	1030.12	1111.82	1313.23	607.87	813.63	808.0	808.0	890.44	819.3	486.75	915.51	642.59	660.68	209.84
PIDD	169.07	217.27	66.65	106.63	81.71	115.97	110.43	64.8	131.51	126.12	80.01	197.09	642.59	99.43	129.69	43.94	387.02	53.19	193.01	356.05	75.11	102.97	80.57	83.45	33.3	106.63	86.43	92.7	143.01	68.55	202.66	185.11	307.69	346.29	173.85	185.11	228.13	63.45	111.99	366.09	387.02	58.3	305.55	361.04	63.45	62.56	638.15	162.14	69.52	161.02	262.2	392.44	151.22	180.02	87.03	66.18	98.73	76.17	269.6	96.01	244.57	490.14	441.64	123.5	176.29	303.44	54.72	79.45	234.57	59.13	312.0	138.1	351.14	68.55	61.68	341.51	105.15	248.0	429.54	82.87	214.27	128.79	234.57	35.76
PLA2G6	173.85	486.75	114.36	236.21	47.84	143.01	248.0	95.34	409.15	283.05	113.56	660.68	1259.69	122.64	234.57	52.08	785.88	54.72	329.84	1277.29	85.22	265.87	42.71	40.64	30.78	170.25	76.17	140.04	339.14	110.43	291.04	327.56	1397.83	753.83	363.56	738.29	660.68	148.09	412.0	703.28	1651.0	57.89	954.43	441.64	55.49	68.07	1340.84	150.17	65.26	271.48	848.22	1023.0	503.95	444.72	146.03	73.54	212.78	131.51	753.83	74.06	769.69	1806.78	981.29	130.6	351.14	796.86	59.13	42.41	473.41	65.26	1199.98	187.71	1175.27	116.78	114.36	915.51	127.89	796.86	1617.0	82.29	476.71	281.09	318.57	37.32
PPP6R2	567.1	764.36	490.14	616.37	384.34	444.72	583.07	460.44	486.75	525.39	497.0	825.0	1583.71	521.76	669.92	444.72	612.11	397.93	785.88	1111.82	444.72	457.25	532.74	341.51	223.41	497.0	412.0	521.76	674.59	575.03	836.53	836.53	941.27	1037.29	620.67	813.63	854.13	571.05	825.0	1015.93	961.07	486.75	890.44	708.18	414.87	432.53	718.08	470.14	457.25	764.36	921.88	1066.48	660.68	808.0	483.38	476.71	470.14	532.74	698.41	316.37	842.36	1350.18	1259.69	543.96	769.69	738.29	327.56	414.87	674.59	429.54	808.0	642.59	836.53	395.18	507.46	860.08	595.34	728.11	890.44	450.94	551.56	551.56	665.29	237.86
PRPF40B	287.01	255.0	155.5	173.85	81.71	134.3	189.02	124.37	255.0	249.73	113.56	226.54	417.77	111.21	177.53	88.88	271.48	88.26	226.54	412.0	84.04	81.71	126.12	232.94	58.71	208.38	90.14	149.12	189.02	120.1	234.57	264.03	532.74	293.07	205.5	334.46	291.04	129.69	239.52	493.56	490.14	154.42	379.04	429.54	120.94	113.56	368.65	218.79	121.79	172.65	351.14	441.64	273.37	389.72	157.68	64.8	246.28	128.79	351.14	92.05	309.83	595.34	470.14	156.59	246.28	373.81	255.0	183.82	368.65	136.19	379.04	102.25	397.93	75.11	146.03	432.53	147.06	314.17	559.28	133.36	343.89	218.79	301.33	47.5
PRR14	503.95	967.76	536.45	748.61	441.64	532.74	748.61	486.75	669.92	780.44	638.15	728.11	1295.13	507.46	633.73	400.71	1135.2	470.14	802.41	1286.18	483.38	647.07	514.56	392.44	262.2	669.92	764.36	579.04	708.18	575.03	1008.9	884.29	1051.79	884.29	813.63	872.1	878.17	563.18	802.41	836.53	934.76	753.83	1250.98	1030.12	476.71	529.06	738.29	480.04	447.82	928.3	1030.12	1015.93	753.83	890.44	743.43	334.46	603.67	669.92	703.28	595.34	1159.07	1023.0	1175.27	915.51	629.35	884.29	283.05	384.34	974.5	435.55	1135.2	633.73	1199.98	441.64	540.19	1001.93	490.14	928.3	796.86	599.49	769.69	743.43	769.69	426.57
RAD9A	426.57	301.33	167.9	191.67	134.3	124.37	212.78	124.37	218.79	194.36	187.71	358.54	866.07	150.17	220.32	130.6	409.15	105.15	318.57	669.92	148.09	159.9	118.43	118.43	66.65	161.02	153.34	117.6	199.85	236.21	287.01	201.25	476.71	470.14	332.14	343.89	447.82	193.01	204.07	532.74	368.65	134.3	514.56	493.56	103.69	90.77	642.59	291.04	109.66	325.29	327.56	591.22	251.48	346.29	139.07	84.63	218.79	138.1	579.04	229.72	403.5	551.56	642.59	223.41	293.07	329.84	116.78	123.5	429.54	153.34	417.77	237.86	679.29	104.42	146.03	525.39	136.19	336.79	563.18	118.43	223.41	140.04	387.02	88.26
REXO1	209.84	551.56	208.38	323.03	125.24	339.14	395.18	185.11	327.56	376.41	316.37	503.95	854.13	258.57	381.68	142.01	559.28	120.94	616.37	836.53	176.29	171.45	291.04	198.47	107.38	277.2	212.78	231.32	376.41	356.05	450.94	764.36	633.73	551.56	323.03	466.88	444.72	260.38	571.05	511.0	480.04	297.17	599.49	444.72	171.45	214.27	327.56	215.77	157.68	490.14	476.71	612.11	305.55	466.88	389.72	170.25	236.21	336.79	403.5	371.22	409.15	665.29	503.95	376.41	490.14	432.53	212.78	161.02	796.86	175.07	571.05	339.14	571.05	214.27	293.07	555.41	224.97	466.88	656.11	214.27	356.05	376.41	400.71	212.78
RP11-5A19.5	41.22	187.71	14.67	44.89	4.7	28.65	49.21	11.47	43.02	66.65	18.43	167.9	381.68	13.93	11.04	7.11	232.94	7.57	96.01	450.94	16.03	77.79	3.76	17.0	0.0	35.0	23.59	29.48	98.73	7.28	50.27	78.34	361.04	202.66	76.71	244.57	373.81	34.26	86.43	271.48	713.11	31.45	341.51	170.25	7.51	6.73	234.57	28.45	27.44	69.52	277.2	202.66	262.2	98.73	33.78	5.87	28.04	16.39	77.79	15.22	277.2	718.08	559.28	24.46	94.67	126.12	11.64	5.23	318.57	7.06	224.97	22.26	412.0	4.98	30.78	186.4	52.08	204.07	218.79	14.67	133.36	51.35	27.84	1.25
SDR39U1	684.02	1407.55	547.75	1183.45	518.15	961.07	848.22	493.56	638.15	1191.69	1037.29	1313.23	2240.11	915.51	759.08	743.43	1216.75	674.59	1143.1	2061.24	808.0	915.51	1159.07	620.67	480.04	559.28	1111.82	1088.92	902.89	669.92	1583.71	1304.15	2032.85	1457.23	1044.52	1769.57	1519.15	974.5	1081.39	1519.15	2047.0	974.5	1709.26	921.88	825.0	791.35	1519.15	656.11	848.22	1051.79	1733.13	1295.13	1388.16	947.83	1066.48	450.94	679.29	1059.11	1081.39	563.18	2148.82	2178.83	1709.26	1143.1	825.0	1183.45	796.86	457.25	1605.83	679.29	1498.22	1073.91	1551.09	836.53	1135.2	1350.18	802.41	1617.0	1651.0	642.59	1104.13	1073.91	981.29	438.59
