	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.GU.AATQ.01A.11R.A39I.07	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.11ZTS.1426.SM.5EQMM	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.55.6968.01A.11R.1949.07	TCGA.38.4631.01A.01R.1755.07	TCGA.44.7660.01A.11R.2066.07	TCGA.95.7043.01A.11R.1949.07	TCGA.86.8358.01A.11R.2326.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.PWOO.0726.SM.2I3EB	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.43.6143.01A.11R.1820.07	TCGA.22.4591.01A.01R.1201.07	TCGA.66.2727.01A.01R.0980.07	TCGA.94.A5I6.01A.21R.A27Q.07	TCGA.66.2754.01A.01R.0980.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07
KIF20A	201.25	529.06	18.84	19.11	10.96	40.93	17.38	11.73	8.13	11.38	41.81	143.01	212.78	102.97	158.79	642.59	75.11	62.12	275.28	255.0	42.41	269.6	279.14	320.8	12.55	466.88	63.0	269.6	201.25	120.1	3.76	2.63	0.0	1.95	5.96	2.97	3.11	3.99	105.89	3.26	6.94	102.25	94.01	28.04	1.16	20.56	314.17	134.3	285.03	157.68	1313.23	42.71	165.57	31.9	152.28	149.12	18.84	135.24	1487.87	363.56	785.88	698.41	769.69	669.92	172.65
KIF23	299.25	371.22	149.12	20.71	25.91	59.55	20.86	11.13	9.06	11.3	47.5	43.32	104.42	53.57	92.05	118.43	36.27	31.67	171.45	127.0	41.52	182.55	93.35	57.08	8.92	325.29	20.56	109.66	66.65	72.01	1.11	13.52	1.85	3.63	4.9	11.91	18.29	0.22	95.34	7.34	1.27	70.01	35.25	24.81	0.78	5.82	743.43	277.2	417.77	295.11	878.17	39.5	229.72	26.47	265.87	249.73	82.87	170.25	813.63	518.15	825.0	791.35	738.29	575.03	109.66
KIF2C	346.29	642.59	37.32	38.4	17.38	38.12	13.12	12.64	18.03	18.03	64.34	77.25	295.11	104.42	138.1	503.95	42.71	38.67	175.07	251.48	82.87	301.33	183.82	134.3	15.11	312.0	62.56	236.21	406.31	94.67	2.81	11.91	2.01	5.96	8.25	1.83	3.79	0.33	175.07	7.69	1.85	102.97	68.55	45.85	1.53	10.0	808.0	555.41	1896.65	191.67	2303.12	36.79	183.82	37.32	215.77	193.01	18.03	118.43	1313.23	624.99	836.53	848.22	1167.14	567.1	73.03
KIFC1	323.03	612.11	90.77	42.71	17.38	53.95	16.15	16.63	27.44	33.3	60.82	121.79	269.6	206.94	194.36	547.75	149.12	71.5	242.88	314.17	87.03	283.05	291.04	307.69	17.9	791.35	84.04	379.04	289.02	131.51	6.57	8.38	0.54	8.65	7.34	4.66	9.63	5.28	217.27	12.18	11.55	173.85	80.01	35.76	12.45	29.27	1008.9	656.11	896.64	403.5	3847.29	59.13	175.07	53.95	318.57	287.01	44.89	277.2	1233.75	902.89	669.92	890.44	1936.53	665.29	130.6
LIG1	603.67	954.43	309.83	406.31	450.94	325.29	389.72	253.23	253.23	480.04	373.81	500.46	1175.27	555.41	595.34	995.0	708.18	332.14	890.44	890.44	954.43	575.03	866.07	780.44	323.03	2591.27	435.55	518.15	444.72	417.77	417.77	199.85	185.11	361.04	199.85	400.71	172.65	267.73	656.11	325.29	279.14	486.75	241.19	303.44	190.34	190.34	1135.2	1104.13	1059.11	1183.45	1936.53	273.37	796.86	325.29	497.0	1023.0	258.57	896.64	3124.78	1167.14	708.18	1331.57	854.13	1605.83	316.37
MARCKSL1	7382.04	2627.46	3372.43	466.88	291.04	1304.15	173.85	595.34	547.75	221.86	909.17	1216.75	1617.0	1709.26	511.0	5913.33	848.22	551.56	1857.6	941.27	384.34	3372.43	796.86	1159.07	1104.13	4328.55	1008.9	1167.14	5366.37	1191.69	591.22	480.04	547.75	656.11	162.14	262.2	323.03	387.02	1023.0	183.82	295.11	591.22	1023.0	981.29	802.41	521.76	9606.86	4607.24	5751.61	7130.55	4972.34	808.0	2004.85	529.06	2224.63	1081.39	332.14	2178.83	5672.41	1096.5	2075.59	2271.4	7433.4	1896.65	1242.34
MATR3	2520.38	2664.15	2485.67	2573.36	2935.74	2119.22	1529.73	1572.76	389.72	1561.89	1721.16	1709.26	1757.34	1662.49	1322.37	1721.16	2018.8	1378.57	1963.57	2739.08	1167.14	2609.3	2351.53	2287.2	1594.73	2400.97	1378.57	3018.3	1709.26	2224.63	514.56	1378.57	1350.18	1350.18	1498.22	1617.0	1111.82	1397.83	1662.49	1259.69	1233.75	1313.23	1870.53	2163.77	1044.52	2032.85	4481.23	1857.6	3665.02	2468.49	4802.93	3081.75	2682.69	2255.7	3589.58	1594.73	3515.68	3039.3	6792.79	3190.46	3564.78	4066.71	5831.91	3168.41	2976.74
MCM6	403.5	896.64	173.85	189.02	197.09	289.02	96.68	134.3	132.44	182.55	178.77	199.85	403.5	371.22	376.41	656.11	249.73	122.64	329.84	688.78	363.56	480.04	830.75	220.32	70.01	884.29	177.53	476.71	325.29	262.2	87.65	52.45	38.12	72.01	36.01	52.45	59.13	41.52	543.96	177.53	43.63	253.23	108.14	101.54	44.25	55.49	1457.23	669.92	1216.75	547.75	995.0	264.03	591.22	109.66	500.46	684.02	412.0	381.68	1583.71	579.04	941.27	909.17	1487.87	878.17	293.07
MLF1IP	638.15	921.88	1936.53	51.35	50.27	33.54	13.22	25.91	11.82	13.32	178.77	191.67	599.49	191.67	376.41	249.73	146.03	130.6	368.65	412.0	127.0	221.86	351.14	98.73	31.67	297.17	194.36	190.34	187.71	258.57	17.51	44.89	18.16	24.46	31.22	30.34	21.01	26.28	218.79	118.43	30.34	248.0	80.57	28.24	24.11	38.4	896.64	633.73	507.46	616.37	1819.35	115.97	397.93	45.53	371.22	171.45	80.57	567.1	1447.15	819.3	738.29	379.04	1322.37	884.29	224.97
MSH2	325.29	514.56	52.45	149.12	189.02	149.12	104.42	146.03	55.89	137.14	114.36	110.43	297.17	208.38	138.1	269.6	215.77	94.67	202.66	289.02	181.28	277.2	246.28	182.55	93.35	444.72	129.69	480.04	161.02	165.57	44.89	58.71	50.98	85.22	63.45	51.35	22.26	46.18	191.67	59.97	62.12	114.36	87.65	108.9	51.35	87.03	1447.15	361.04	587.13	363.56	1583.71	158.79	361.04	253.23	269.6	277.2	120.1	325.29	1111.82	1662.49	444.72	624.99	1295.13	438.59	177.53
MTF2	187.71	228.13	258.57	163.28	162.14	120.1	57.49	69.52	34.26	95.34	126.12	74.58	159.9	96.01	105.89	190.34	96.01	70.51	181.28	229.72	117.6	239.52	117.6	109.66	95.34	167.9	56.68	273.37	124.37	124.37	29.7	77.79	91.41	111.99	66.65	147.06	106.63	76.17	130.6	107.38	67.59	51.71	48.52	38.95	101.54	50.27	555.41	273.37	358.54	182.55	486.75	172.65	267.73	173.85	283.05	157.68	206.94	275.28	392.44	269.6	176.29	277.2	224.97	264.03	248.0
MYB	25.72	35.25	145.02	3.69	1.73	5.06	1.57	2.27	2.23	7.4	7.57	5.19	14.78	6.46	9.27	8.78	4.1	4.86	11.82	33.54	11.13	8.38	9.56	5.02	2.29	28.65	1.95	9.41	4.9	10.31	0.68	1.85	1.33	2.58	1.95	5.87	4.28	1.99	15.22	0.38	4.82	2.1	2.23	1.81	1.68	10.31	177.53	24.28	1135.2	100.13	221.86	24.11	18.97	102.25	66.65	31.45	42.11	53.57	281.09	122.64	70.01	55.89	305.55	98.04	25.35
NASP	1268.46	3303.0	1268.46	1015.93	1350.18	1081.39	450.94	466.88	480.04	540.19	1037.29	890.44	1388.16	1191.69	1030.12	3419.52	1066.48	532.74	1378.57	2875.3	1111.82	2018.8	1322.37	1088.92	902.89	3081.75	872.1	2434.5	1832.01	1066.48	551.56	728.11	848.22	1015.93	860.08	819.3	642.59	1167.14	2287.2	1037.29	785.88	1268.46	674.59	536.45	392.44	473.41	4210.15	1977.24	13872.08	1427.22	3665.02	1044.52	941.27	780.44	1697.45	1950.0	1651.0	2209.26	4419.52	2664.15	2758.13	3018.3	3235.01	1757.34	1508.65
NCAPH	260.38	825.0	75.64	30.34	12.27	38.95	10.0	21.63	10.24	17.25	89.51	52.82	151.22	141.02	82.87	255.0	59.13	65.72	182.55	246.28	40.64	206.94	162.14	84.63	17.64	381.68	92.05	136.19	158.79	163.28	5.02	4.13	4.74	3.76	9.2	5.02	4.43	2.51	116.78	13.12	10.08	77.25	47.5	33.78	3.41	6.06	595.34	599.49	316.37	348.71	890.44	38.67	132.44	55.89	234.57	239.52	84.63	173.85	738.29	830.75	674.59	796.86	808.0	909.17	81.71
NDC80	189.02	480.04	55.1	16.63	19.97	37.59	8.99	3.69	1.51	5.96	69.52	108.14	376.41	141.02	163.28	450.94	85.22	67.12	189.02	228.13	102.97	256.78	312.0	195.72	17.0	183.82	66.65	172.65	232.94	101.54	2.92	6.52	1.68	16.03	0.0	10.39	3.26	9.48	126.12	4.31	6.67	88.26	67.12	30.78	0.93	7.94	1388.16	389.72	438.59	246.28	1923.14	49.21	119.26	29.27	178.77	124.37	97.36	109.66	1081.39	409.15	819.3	432.53	791.35	493.56	90.77
NOL9	129.69	214.27	86.43	102.97	115.97	81.71	48.87	80.57	76.17	75.64	81.71	58.71	138.1	92.05	71.5	137.14	57.08	59.97	77.25	123.5	149.12	151.22	82.87	60.82	64.8	102.97	35.76	246.28	120.94	70.01	47.17	58.3	47.5	48.18	75.64	79.45	56.68	60.82	125.24	51.71	46.84	34.02	48.18	43.63	87.65	33.06	262.2	59.55	158.79	156.59	201.25	85.22	151.22	120.1	124.37	180.02	83.45	141.02	214.27	121.79	197.09	156.59	193.01	74.58	103.69
PARPBP	95.34	262.2	28.24	34.51	20.11	24.11	15.8	28.24	6.62	13.52	31.45	52.45	127.89	34.75	61.68	90.14	46.18	38.67	99.43	93.35	24.81	125.24	56.68	65.72	15.11	334.46	23.08	145.02	76.17	90.77	3.17	6.26	3.59	8.45	2.86	6.89	5.96	2.12	69.52	4.94	1.77	34.02	40.07	13.42	7.88	11.82	366.09	500.46	209.84	180.02	281.09	50.63	178.77	31.9	176.29	96.68	20.41	139.07	187.71	262.2	336.79	224.97	579.04	483.38	79.45
POLD1	412.0	1467.37	454.09	624.99	483.38	703.28	361.04	392.44	612.11	373.81	507.46	529.06	954.43	497.0	503.95	1639.59	743.43	395.18	1081.39	928.3	521.76	620.67	825.0	748.61	470.14	2351.53	435.55	791.35	684.02	733.19	285.03	147.06	151.22	166.73	220.32	142.01	253.23	217.27	802.41	177.53	273.37	476.71	149.12	279.14	209.84	164.42	1127.35	1540.37	1378.57	1167.14	1561.89	334.46	555.41	802.41	348.71	1417.35	412.0	995.0	2537.92	1529.73	587.13	1088.92	1781.89	872.1	514.56
PRC1	785.88	1896.65	470.14	120.94	87.65	153.34	54.33	58.3	48.87	46.84	241.19	307.69	490.14	466.88	567.1	571.05	186.4	265.87	551.56	490.14	368.65	708.18	708.18	480.04	78.34	1709.26	361.04	343.89	693.58	346.29	29.06	43.02	25.91	45.53	32.13	27.44	34.02	18.16	486.75	56.28	44.57	417.77	217.27	102.97	34.02	48.52	3874.05	1073.91	1519.15	1167.14	3372.43	156.59	473.41	154.42	1059.11	669.92	256.78	540.19	4543.8	1697.45	2664.15	2682.69	3794.3	1674.06	309.83
PRPF38A	555.41	872.1	656.11	325.29	389.72	329.84	309.83	195.72	251.48	301.33	303.44	234.57	417.77	353.59	295.11	571.05	281.09	232.94	356.05	543.96	444.72	532.74	314.17	299.25	256.78	438.59	341.51	830.75	802.41	320.8	305.55	305.55	265.87	341.51	269.6	211.31	248.0	309.83	376.41	281.09	212.78	287.01	417.77	514.56	255.0	260.38	928.3	830.75	2032.85	642.59	848.22	571.05	651.58	438.59	607.87	343.89	356.05	708.18	866.07	642.59	830.75	1066.48	974.5	647.07	511.0
PRR11	143.01	466.88	48.18	27.84	10.16	48.18	6.89	28.65	12.36	30.78	33.54	40.64	91.41	34.75	75.11	151.22	27.05	18.29	77.25	105.15	22.1	92.05	64.34	100.83	6.52	166.73	24.46	169.07	102.25	100.13	3.99	6.84	6.46	6.62	1.57	4.13	1.64	5.77	71.0	5.28	5.68	51.35	96.01	48.87	1.97	6.41	417.77	183.82	460.44	414.87	974.5	31.0	325.29	57.08	339.14	136.19	30.12	173.85	521.76	909.17	575.03	325.29	309.83	392.44	98.73
PTTG1	532.74	2018.8	1769.57	279.14	170.25	379.04	130.6	148.09	145.02	199.85	450.94	723.08	1529.73	708.18	698.41	3515.68	470.14	490.14	1233.75	1111.82	379.04	1030.12	1674.06	1757.34	57.49	2835.7	638.15	1119.56	3419.52	1073.91	29.7	43.02	19.25	63.0	42.71	6.84	27.84	21.94	490.14	44.57	33.54	511.0	536.45	115.97	59.97	72.52	3060.45	1313.23	2061.24	693.58	5594.3	595.34	1096.5	291.04	1583.71	1322.37	353.59	1151.06	5006.93	2367.9	6079.61	3303.0	6840.04	3467.27	759.08
RACGAP1	473.41	753.83	239.52	147.06	92.05	115.16	76.17	159.9	98.73	146.03	151.22	145.02	373.81	132.44	208.38	314.17	100.13	87.65	392.44	291.04	118.43	376.41	339.14	253.23	88.88	423.61	115.97	802.41	187.71	253.23	43.94	21.47	31.9	30.34	11.91	23.08	3.11	15.56	204.07	45.85	20.11	186.4	136.19	71.0	15.56	32.82	1551.09	1175.27	733.19	336.79	2664.15	234.57	454.09	194.36	684.02	420.68	246.28	409.15	1594.73	988.12	1417.35	808.0	2664.15	1242.34	299.25
RAD54L	101.54	231.32	53.19	25.54	22.43	21.32	18.56	15.22	20.26	19.82	49.91	52.08	114.36	42.11	50.98	163.28	14.78	16.27	108.9	182.55	57.08	102.97	93.35	54.72	16.03	220.32	35.0	59.55	224.97	44.57	5.68	11.47	1.55	8.99	7.51	3.92	13.62	5.15	112.77	10.55	8.19	73.54	14.35	30.56	2.46	3.89	395.18	217.27	743.43	134.3	607.87	27.05	144.01	24.63	90.14	198.47	19.97	114.36	660.68	332.14	473.41	426.57	389.72	248.0	68.55
RBM27	126.12	109.66	157.68	124.37	102.97	105.89	65.26	63.89	16.15	56.68	113.56	105.15	95.34	95.34	77.79	84.04	111.21	87.65	112.77	181.28	73.03	121.79	126.12	99.43	94.67	96.01	71.0	148.09	90.14	111.99	22.26	113.56	96.68	102.25	96.68	91.41	118.43	81.14	110.43	102.25	61.25	85.82	140.04	145.02	47.84	156.59	244.57	127.0	167.9	132.44	289.02	154.42	124.37	104.42	202.66	96.68	111.99	134.3	412.0	197.09	215.77	262.2	291.04	206.94	141.02
RBM4B	432.53	567.1	218.79	297.17	237.86	299.25	172.65	172.65	177.53	265.87	215.77	258.57	316.37	249.73	146.03	403.5	291.04	125.24	285.03	638.15	381.68	218.79	275.28	387.02	187.71	325.29	211.31	339.14	277.2	264.03	152.28	190.34	201.25	264.03	285.03	201.25	120.1	185.11	248.0	167.9	206.94	273.37	221.86	242.88	122.64	185.11	748.61	221.86	728.11	669.92	733.19	242.88	444.72	285.03	273.37	336.79	180.02	356.05	995.0	389.72	463.65	414.87	698.41	432.53	267.73
RIBC2	32.82	120.94	35.0	19.11	10.79	11.13	8.78	12.93	5.82	20.26	8.32	16.27	34.51	19.25	1.83	31.9	11.82	1.6	16.39	49.91	74.58	15.91	115.16	5.36	3.17	152.28	5.15	14.35	0.72	12.0	2.18	0.0	1.51	0.0	1.16	3.96	7.82	0.0	139.07	8.25	0.0	11.82	7.51	6.52	5.92	1.91	186.4	45.53	251.48	45.53	105.15	18.7	40.93	16.63	47.5	108.9	14.14	82.29	249.73	115.16	22.75	54.72	173.85	17.64	25.35
RQCD1	579.04	802.41	409.15	287.01	332.14	299.25	198.47	234.57	244.57	368.65	395.18	466.88	703.28	529.06	460.44	769.69	470.14	441.64	595.34	660.68	525.39	629.35	483.38	384.34	312.0	543.96	237.86	775.05	339.14	460.44	182.55	271.48	181.28	209.84	327.56	217.27	264.03	220.32	420.68	191.67	220.32	197.09	154.42	273.37	267.73	161.02	1183.45	785.88	878.17	769.69	808.0	599.49	728.11	346.29	529.06	507.46	540.19	490.14	1551.09	967.76	866.07	878.17	1467.37	1295.13	612.11
SGOL2	84.63	137.14	12.0	7.57	14.14	10.71	4.58	4.46	2.18	6.16	13.22	36.27	94.67	30.34	28.45	81.14	26.86	26.1	39.79	66.65	19.25	62.56	49.91	45.85	12.93	71.5	14.89	134.3	35.0	45.53	0.58	2.84	3.44	3.17	2.61	2.1	5.59	2.63	47.17	6.94	6.01	27.05	34.26	10.47	3.99	11.13	293.07	165.57	141.02	129.69	389.72	31.9	92.05	34.51	56.28	57.89	18.43	67.59	320.8	149.12	186.4	180.02	258.57	171.45	48.18
SKA1	88.26	191.67	13.03	6.62	1.71	14.67	3.86	3.17	1.85	4.43	36.53	57.49	201.25	51.35	52.08	190.34	43.94	16.27	99.43	117.6	35.25	140.04	146.03	78.89	8.45	147.06	28.86	76.71	105.15	47.84	1.93	1.64	0.0	1.53	0.0	1.51	1.33	0.0	48.87	8.85	0.39	33.06	15.56	3.0	2.01	2.76	420.68	134.3	212.78	80.57	454.09	8.85	68.07	16.75	94.01	76.71	3.53	76.17	409.15	291.04	307.69	201.25	493.56	193.01	36.53
SSRP1	2090.03	4123.49	921.88	1073.91	1216.75	1397.83	854.13	1023.0	743.43	1295.13	1096.5	733.19	1369.04	1498.22	1143.1	1407.55	1397.83	878.17	1191.69	1304.15	1143.1	1208.34	974.5	1397.83	995.0	1617.0	928.3	1350.18	1651.0	1208.34	698.41	669.92	836.53	738.29	967.76	583.07	808.0	866.07	1242.34	836.53	547.75	1051.79	967.76	866.07	651.58	1059.11	3665.02	1991.0	3212.66	2758.13	2739.08	1044.52	1407.55	1030.12	1350.18	1757.34	1242.34	1397.83	5711.87	3589.58	3146.52	3303.0	4123.49	2701.35	1183.45
STIL	73.54	97.36	31.45	18.7	12.27	12.55	12.0	16.27	7.75	19.39	20.86	23.59	63.0	26.1	34.26	45.53	13.42	12.74	42.41	82.87	30.56	46.5	36.27	24.81	13.62	60.39	17.25	65.26	37.59	24.99	2.58	2.86	2.27	2.48	3.63	2.81	2.86	1.46	37.05	2.78	3.14	24.63	13.03	15.22	4.03	5.32	275.28	133.36	493.56	85.82	447.82	15.68	54.72	13.03	71.5	50.98	16.51	54.33	277.2	144.01	217.27	173.85	223.41	127.89	33.3
STMN1	6207.38	7382.04	1407.55	2816.11	2090.03	2178.83	1781.89	1674.06	1685.71	1977.24	1304.15	1551.09	2335.28	1896.65	1467.37	6983.79	703.28	928.3	2075.59	3716.2	988.12	3039.3	3168.41	2119.22	703.28	5954.47	1733.13	5329.3	5255.91	2400.97	275.28	320.8	346.29	595.34	275.28	301.33	327.56	638.15	1832.01	444.72	435.55	2777.33	2209.26	1051.79	169.07	563.18	18689.27	6840.04	8479.89	4181.07	18178.19	2104.58	6207.38	3168.41	11584.24	5751.61	1806.78	15180.22	12943.04	7749.1	14163.58	2573.36	13872.08	7485.11	3190.46
TACC3	703.28	1397.83	460.44	327.56	173.85	392.44	104.42	138.1	202.66	171.45	295.11	339.14	679.29	412.0	256.78	1477.58	275.28	237.86	813.63	743.43	332.14	571.05	503.95	265.87	194.36	1023.0	256.78	366.09	579.04	543.96	67.12	58.71	46.5	85.22	75.64	59.55	22.26	71.5	647.07	49.91	84.63	529.06	246.28	81.14	38.12	91.41	1286.18	1295.13	1529.73	591.22	2997.45	241.19	764.36	376.41	647.07	802.41	303.44	854.13	1639.59	1001.93	1923.14	995.0	1313.23	796.86	447.82
TLK2	497.0	651.58	334.46	293.07	339.14	316.37	169.07	289.02	172.65	159.9	244.57	191.67	293.07	181.28	183.82	265.87	258.57	211.31	262.2	323.03	242.88	275.28	307.69	381.68	241.19	397.93	334.46	358.54	234.57	295.11	112.77	224.97	133.36	251.48	189.02	232.94	166.73	187.71	164.42	108.14	199.85	166.73	211.31	205.5	122.64	149.12	836.53	483.38	567.1	988.12	1059.11	381.68	316.37	368.65	540.19	258.57	791.35	395.18	583.07	521.76	547.75	432.53	825.0	563.18	400.71
TYMS	791.35	1286.18	172.65	575.03	723.08	392.44	525.39	463.65	83.45	633.73	432.53	323.03	866.07	518.15	660.68	1073.91	473.41	248.0	961.07	1066.48	785.88	954.43	1477.58	775.05	82.87	2895.31	356.05	444.72	836.53	447.82	262.2	115.97	108.14	194.36	97.36	186.4	84.63	123.5	1208.34	234.57	52.08	1225.22	348.71	389.72	49.56	151.22	4419.52	2047.0	1183.45	934.76	1794.29	305.55	1250.98	283.05	1225.22	1183.45	146.03	1225.22	4543.8	1529.73	2104.58	1286.18	1909.85	1909.85	728.11
USP1	291.04	444.72	289.02	134.3	159.9	155.5	69.52	64.34	35.25	67.59	176.29	143.01	260.38	185.11	156.59	181.28	100.83	151.22	242.88	325.29	194.36	277.2	253.23	148.09	96.01	226.54	115.97	441.64	289.02	198.47	48.52	124.37	127.89	61.25	137.14	155.5	105.89	101.54	199.85	111.21	71.0	153.34	90.77	80.01	90.14	127.0	915.51	447.82	1066.48	307.69	1044.52	384.34	325.29	397.93	371.22	151.22	197.09	423.61	759.08	507.46	651.58	444.72	738.29	420.68	303.44
UTP14A	314.17	420.68	181.28	205.5	206.94	260.38	155.5	212.78	123.5	202.66	420.68	218.79	256.78	299.25	180.02	301.33	228.13	334.46	246.28	232.94	158.79	414.87	277.2	186.4	260.38	514.56	214.27	198.47	239.52	218.79	80.01	143.01	108.9	134.3	190.34	90.77	220.32	113.56	269.6	102.25	101.54	157.68	137.14	187.71	102.97	164.42	307.69	204.07	500.46	348.71	395.18	212.78	358.54	256.78	241.19	283.05	194.36	229.72	483.38	336.79	271.48	521.76	583.07	379.04	236.21
WDHD1	158.79	285.03	50.27	29.06	24.46	28.65	13.03	26.47	6.57	37.85	43.63	21.16	61.25	31.45	22.1	90.14	25.35	10.79	73.54	78.34	45.53	61.25	52.45	29.91	21.32	151.22	17.9	48.52	64.8	42.11	3.79	10.31	11.64	3.47	5.41	4.78	11.13	3.47	76.71	17.51	11.04	23.25	6.62	8.85	10.0	4.86	435.55	135.24	444.72	229.72	457.25	35.25	199.85	31.45	147.06	173.85	26.67	126.12	703.28	343.89	135.24	239.52	166.73	176.29	41.81
WDR76	149.12	234.57	75.11	28.86	26.47	51.35	13.42	31.0	18.29	31.0	53.19	43.32	87.03	125.24	80.57	55.89	50.98	40.07	97.36	115.97	161.02	229.72	264.03	69.03	57.08	255.0	47.17	58.3	123.5	72.01	23.93	7.69	6.21	15.91	5.11	9.41	4.86	13.52	156.59	27.64	6.21	88.26	21.78	22.43	4.21	26.67	450.94	134.3	221.86	223.41	890.44	93.35	185.11	60.39	178.77	363.56	58.3	312.0	521.76	244.57	368.65	253.23	403.5	182.55	100.13
ZNF124	100.83	58.71	67.59	58.71	47.17	95.34	28.24	45.21	18.56	104.42	27.25	98.73	68.55	74.58	36.79	127.89	110.43	46.5	51.71	63.89	24.99	53.95	34.51	50.27	54.72	66.18	21.78	102.97	51.71	43.02	8.71	26.47	19.11	20.41	38.4	42.71	49.91	19.82	31.67	2.56	20.56	31.9	28.45	60.82	22.1	25.17	336.79	69.52	271.48	90.14	138.1	130.6	140.04	118.43	61.25	148.09	127.0	163.28	231.32	105.15	98.73	64.8	269.6	158.79	81.14
ZNF184	109.66	78.89	155.5	100.83	80.01	63.89	70.01	29.7	11.04	25.54	40.64	32.82	20.86	45.53	28.86	30.34	36.01	28.86	40.07	73.54	30.56	58.71	42.11	52.08	38.4	62.56	44.57	67.59	39.5	55.49	9.27	28.65	22.1	24.63	37.05	27.64	14.56	28.45	16.03	22.92	27.05	15.68	21.47	26.1	32.13	30.12	162.14	84.04	137.14	92.05	242.88	72.01	111.21	91.41	147.06	44.25	48.87	138.1	287.01	163.28	70.51	115.16	171.45	74.06	85.22
ZSCAN12	29.7	39.79	11.73	26.47	16.63	36.01	11.13	16.63	10.24	20.71	17.9	21.01	21.63	19.68	10.47	22.26	29.27	23.59	16.75	27.05	30.12	24.11	16.03	24.28	29.91	40.36	18.16	80.01	19.25	22.1	6.57	14.14	12.74	10.31	15.8	16.51	8.45	16.75	23.59	15.45	15.0	11.73	10.47	19.39	5.96	17.9	29.27	42.11	79.45	63.0	232.94	41.22	70.51	48.87	58.71	23.76	32.36	47.17	159.9	69.52	32.82	42.11	140.04	66.65	31.67
