	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A1M5.01A.11R.A13Y.07	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.LP.A4AU.01A.32R.A32Y.07	TCGA.VS.A9V3.01A.11R.A42T.07	TCGA.C5.A7CL.01A.11R.A32P.07	TCGA.C5.A7CJ.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A1BJ.01A.11R.A13Y.07	TCGA.UC.A7PG.01A.11R.A42S.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.90.A4ED.01A.31R.A24Z.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
GOLGA8I	5.63	3.38	2.71	2.41	101.54	20.56	30.34	19.25	17.64	23.42	35.76	35.0	13.42	16.88	11.38	19.25	8.78	19.11	19.11	4.13	12.64	7.63	15.0	15.68	30.34	8.92	5.5	24.99	1.99	2.29	2.97	6.21	4.74	2.14	1.33	7.0	2.76	2.29	4.28	3.53	3.82	4.86	3.38	5.54	4.06	3.99	7.17	2.36	4.98	2.41	0.61	11.38	1.91	1.16	1.85	1.13	18.84	5.11	2.29	1.87	4.54	4.21	4.54	2.89	8.99	3.82	1.27
GPATCH1	133.36	101.54	63.89	66.65	151.22	195.72	123.5	248.0	93.35	199.85	178.77	116.78	175.07	244.57	226.54	221.86	138.1	195.72	329.84	110.43	144.01	194.36	164.42	169.07	180.02	197.09	187.71	267.73	32.59	62.12	121.79	79.45	98.73	42.71	96.68	102.25	86.43	63.89	41.22	69.03	90.14	72.52	87.03	106.63	102.97	81.14	85.22	90.14	73.03	65.26	131.51	122.64	56.28	111.99	130.6	89.51	82.29	91.41	102.97	63.89	80.57	105.15	89.51	85.82	172.65	54.33	99.43
GTF2IRD2B	176.29	123.5	104.42	108.14	1233.75	656.11	361.04	231.32	120.1	457.25	583.07	224.97	279.14	420.68	293.07	316.37	432.53	273.37	1088.92	198.47	246.28	275.28	161.02	289.02	759.08	825.0	406.31	651.58	142.01	75.64	177.53	171.45	202.66	65.26	153.34	224.97	121.79	113.56	87.65	72.52	138.1	202.66	120.1	85.22	95.34	209.84	215.77	158.79	175.07	24.46	99.43	202.66	129.69	172.65	136.19	76.71	84.04	332.14	122.64	143.01	139.07	161.02	120.94	241.19	463.65	48.87	77.25
HAUS5	248.0	529.06	195.72	147.06	239.52	713.11	429.54	775.05	343.89	543.96	490.14	329.84	490.14	1096.5	624.99	753.83	395.18	497.0	974.5	226.54	327.56	567.1	211.31	454.09	400.71	684.02	540.19	743.43	66.65	111.99	255.0	152.28	217.27	72.01	260.38	231.32	125.24	159.9	123.5	198.47	189.02	201.25	120.1	211.31	232.94	181.28	228.13	176.29	305.55	155.5	253.23	190.34	185.11	162.14	339.14	158.79	1359.57	186.4	226.54	84.04	173.85	193.01	143.01	137.14	514.56	132.44	42.11
HMBOX1	131.51	86.43	172.65	123.5	529.06	239.52	211.31	314.17	239.52	285.03	384.34	193.01	127.89	186.4	299.25	120.94	339.14	138.1	395.18	156.59	289.02	366.09	204.07	441.64	279.14	543.96	312.0	334.46	82.87	81.14	226.54	68.07	86.43	87.03	118.43	267.73	105.15	111.21	128.79	190.34	170.25	165.57	118.43	108.14	78.34	152.28	178.77	130.6	81.71	132.44	111.99	163.28	171.45	115.16	130.6	99.43	143.01	191.67	75.64	102.97	132.44	111.99	68.07	106.63	532.74	161.02	126.12
HNRNPH1	4607.24	3955.48	4123.49	4769.75	8840.04	8901.53	11267.44	8305.36	8078.22	8718.32	12076.21	11504.21	8421.31	8778.97	12076.21	8247.98	7911.95	6983.79	16960.78	6607.01	5517.27	8658.09	7966.99	14262.1	12943.04	11584.24	6935.54	9088.59	3325.99	2915.45	6983.79	7280.4	3874.05	2682.69	3515.68	5872.48	5041.77	5292.48	5219.6	7433.4	4419.52	5255.91	3614.55	6250.56	4575.41	4512.4	5751.61	4937.99	3639.7	4419.52	4268.94	8963.45	5329.3	3820.7	3847.29	3768.09	3395.89	4358.66	2627.46	3372.43	4607.24	4607.24	4239.45	3491.39	18304.63	2485.67	3928.15
IKBKB	248.0	152.28	587.13	1008.9	866.07	928.3	759.08	764.36	575.03	1225.22	1001.93	915.51	423.61	836.53	1023.0	334.46	860.08	466.88	1081.39	780.44	941.27	1340.84	1119.56	1111.82	1427.22	1844.76	995.0	1359.57	180.02	307.69	890.44	108.14	281.09	244.57	194.36	1073.91	403.5	348.71	748.61	511.0	525.39	612.11	325.29	229.72	181.28	521.76	796.86	432.53	206.94	373.81	457.25	547.75	423.61	387.02	429.54	384.34	146.03	507.46	466.88	397.93	444.72	500.46	332.14	460.44	813.63	599.49	567.1
INTU	99.43	97.36	58.3	31.9	69.03	44.25	103.69	139.07	59.55	119.26	134.3	73.54	62.12	92.7	61.68	42.71	62.56	102.25	289.02	39.5	90.77	234.57	92.05	171.45	277.2	224.97	106.63	105.15	20.71	27.64	22.43	16.51	22.26	34.02	10.47	47.17	20.56	44.25	94.67	26.28	36.01	29.7	18.7	30.12	27.64	21.01	34.02	21.47	31.67	24.81	29.48	27.25	24.46	26.1	34.75	26.67	50.27	48.52	12.45	13.83	14.03	17.13	16.15	21.47	273.37	71.0	6.94
KIAA0895L	136.19	251.48	57.49	202.66	379.04	381.68	759.08	299.25	305.55	532.74	1008.9	351.14	334.46	409.15	387.02	348.71	595.34	339.14	872.1	239.52	647.07	802.41	397.93	848.22	1508.65	1519.15	366.09	780.44	40.93	63.0	215.77	88.26	182.55	74.58	166.73	435.55	81.14	187.71	336.79	157.68	94.01	159.9	113.56	85.22	66.65	111.21	170.25	100.13	132.44	35.0	98.04	249.73	162.14	115.97	88.26	89.51	99.43	212.78	150.17	71.5	98.04	72.52	121.79	124.37	660.68	130.6	21.78
KIAA0907	189.02	305.55	429.54	503.95	884.29	698.41	1104.13	1487.87	890.44	1167.14	1909.85	1015.93	764.36	708.18	1233.75	902.89	473.41	947.83	2335.28	555.41	764.36	1340.84	1397.83	2240.11	1977.24	1709.26	836.53	1104.13	209.84	218.79	454.09	190.34	312.0	153.34	198.47	450.94	103.69	379.04	327.56	555.41	242.88	242.88	255.0	220.32	217.27	142.01	417.77	281.09	275.28	220.32	198.47	514.56	193.01	287.01	275.28	204.07	447.82	387.02	202.66	161.02	316.37	320.8	253.23	152.28	1923.14	116.78	180.02
KNTC1	312.0	361.04	239.52	579.04	130.6	1191.69	1167.14	1044.52	703.28	981.29	1832.01	748.61	902.89	825.0	830.75	1277.29	718.08	1059.11	1104.13	229.72	1268.46	1350.18	214.27	1781.89	1950.0	1883.54	769.69	1923.14	83.45	104.42	323.03	107.38	283.05	81.71	231.32	490.14	142.01	277.2	157.68	281.09	140.04	368.65	162.14	232.94	249.73	149.12	281.09	166.73	457.25	120.94	277.2	220.32	262.2	231.32	204.07	166.73	381.68	256.78	303.44	92.7	214.27	221.86	155.5	61.25	1023.0	87.65	18.29
KRT17	425853.18	450134.56	472513.8	4953441.24	170568.48	19082.0	229795.93	320506.81	116501.39	45072.75	282912.21	36610.26	462789.59	104271.56	73221.53	350728.68	341137.96	402881.61	10959.3	431797.89	370726.6	320506.81	368165.8	156954.93	130165.62	57051.4	475800.4	20170.07	475800.4	971597.0	542775.98	485798.0	589853.66	462789.59	428815.23	453265.5	431797.89	716197.51	701458.36	593956.43	524287.0	524287.0	440870.9	542775.98	402881.61	565825.41	645473.24	447025.24	513497.31	368165.8	425853.18	331809.5	546551.29	632189.57	485798.0	466008.55	405683.88	585779.24	400098.69	912837.43	417089.23	546551.29	506427.83	378516.38	104996.83	443937.41	472513.8
LIPT1	75.11	107.38	76.17	86.43	312.0	141.02	145.02	131.51	112.77	127.0	147.06	120.94	96.01	128.79	79.45	130.6	89.51	129.69	336.79	78.34	127.89	81.71	91.41	199.85	140.04	195.72	144.01	193.01	139.07	40.64	85.82	75.64	100.83	37.32	60.82	97.36	53.57	145.02	35.5	65.72	85.82	64.34	70.01	59.55	50.27	67.59	61.68	99.43	75.64	76.17	104.42	102.25	46.84	50.63	51.35	59.55	88.26	55.49	35.5	43.63	60.82	96.68	87.65	76.71	127.0	43.94	73.54
LSM11	38.12	25.72	51.35	17.77	59.13	81.71	58.71	71.5	51.35	78.34	63.89	85.82	63.0	51.71	59.13	36.27	51.71	55.89	133.36	55.1	37.05	86.43	47.17	103.69	122.64	39.22	43.63	107.38	33.06	28.45	29.48	37.32	24.11	34.75	43.02	28.86	19.39	20.26	15.8	46.84	40.93	28.04	18.43	22.59	21.78	34.51	29.91	30.56	26.86	32.36	42.71	35.5	40.36	30.12	31.45	30.34	36.79	30.56	18.16	26.47	59.13	52.08	16.75	14.35	66.65	13.22	30.78
LUC7L3	961.07	872.1	1066.48	1191.69	2319.15	2485.67	3820.7	2935.74	1806.78	1857.6	2485.67	2032.85	1639.59	2956.17	1639.59	1977.24	1407.55	2739.08	4388.98	1378.57	2061.24	3540.14	3540.14	4388.98	4607.24	3395.89	4210.15	3742.05	423.61	660.68	1427.22	842.36	1175.27	457.25	629.35	1605.83	669.92	1191.69	785.88	1487.87	629.35	866.07	1119.56	836.53	679.29	813.63	1191.69	759.08	808.0	571.05	1008.9	1857.6	738.29	769.69	665.29	688.78	878.17	1617.0	974.5	698.41	1104.13	860.08	854.13	633.73	4769.75	665.29	915.51
METTL17	540.19	988.12	660.68	738.29	1340.84	1508.65	1794.29	2255.7	1487.87	1350.18	1721.16	1388.16	1388.16	1322.37	1467.37	1685.71	1322.37	1529.73	1721.16	1388.16	974.5	1605.83	1561.89	1844.76	2104.58	1745.2	1167.14	2758.13	595.34	384.34	1151.06	518.15	620.67	395.18	647.07	1259.69	341.51	830.75	791.35	1001.93	603.67	915.51	612.11	1159.07	708.18	603.67	1044.52	551.56	1427.22	470.14	346.29	1159.07	967.76	423.61	460.44	490.14	1037.29	665.29	1081.39	373.81	599.49	743.43	656.11	447.82	2104.58	435.55	336.79
MIR3654	14.45	23.42	13.83	47.5	77.25	41.52	35.76	34.02	46.18	40.07	34.02	42.11	39.22	38.12	31.22	41.81	28.86	40.36	65.72	24.46	54.72	81.71	40.64	130.6	56.28	53.57	57.49	78.34	15.45	18.56	63.0	18.29	25.54	19.39	16.51	72.01	12.55	37.59	30.34	26.47	18.7	18.97	19.68	14.89	19.97	27.84	31.67	28.86	11.13	9.63	13.22	35.0	24.28	15.0	9.34	19.53	31.0	51.71	21.32	22.1	14.89	19.97	24.28	17.51	46.18	20.41	13.83
MLLT6	275.28	612.11	397.93	647.07	1662.49	848.22	842.36	872.1	785.88	1909.85	934.76	1059.11	587.13	764.36	612.11	698.41	612.11	532.74	2119.22	466.88	665.29	1199.98	490.14	1008.9	1242.34	1963.57	733.19	1015.93	113.56	218.79	323.03	195.72	201.25	208.38	518.15	463.65	291.04	305.55	158.79	327.56	429.54	309.83	400.71	438.59	432.53	376.41	361.04	384.34	199.85	265.87	417.77	493.56	287.01	348.71	435.55	260.38	624.99	229.72	223.41	189.02	361.04	389.72	258.57	356.05	2335.28	995.0	551.56
MTERFD3	206.94	163.28	120.94	71.5	426.57	144.01	265.87	283.05	218.79	185.11	417.77	226.54	178.77	228.13	265.87	170.25	126.12	236.21	450.94	87.65	265.87	226.54	59.97	171.45	277.2	303.44	223.41	279.14	63.0	53.57	155.5	127.0	199.85	59.97	59.97	147.06	94.67	130.6	63.0	59.97	79.45	96.01	83.45	77.25	109.66	67.59	104.42	51.71	158.79	54.33	43.02	148.09	85.82	75.64	47.84	84.63	173.85	80.01	115.97	46.18	65.72	83.45	117.6	84.63	329.84	61.68	69.52
MYO15B	139.07	616.37	48.18	224.97	5403.7	1051.79	2271.4	3190.46	941.27	1030.12	1977.24	1709.26	532.74	1369.04	616.37	4972.34	743.43	406.31	3325.99	361.04	995.0	1477.58	1745.2	1369.04	2895.31	3124.78	808.0	1268.46	47.17	122.64	503.95	143.01	83.45	571.05	26.28	947.83	89.51	529.06	511.0	149.12	137.14	190.34	199.85	91.41	84.63	141.02	351.14	149.12	131.51	435.55	34.51	403.5	113.56	69.03	76.17	150.17	559.28	291.04	49.91	126.12	323.03	63.45	497.0	273.37	8191.0	373.81	13.93
MZF1	104.42	170.25	71.0	239.52	638.15	265.87	281.09	334.46	397.93	395.18	447.82	248.0	363.56	195.72	511.0	656.11	187.71	336.79	738.29	384.34	457.25	269.6	363.56	647.07	733.19	583.07	366.09	406.31	24.99	71.5	229.72	76.71	85.82	63.89	94.01	206.94	81.14	108.9	181.28	135.24	96.68	131.51	115.97	187.71	170.25	101.54	142.01	142.01	154.42	84.04	118.43	224.97	46.84	145.02	206.94	80.01	197.09	146.03	80.57	68.55	111.99	144.01	89.51	124.37	780.44	111.99	28.45
NAIP	81.14	114.36	40.36	68.55	441.64	246.28	205.5	81.14	72.52	183.82	191.67	336.79	150.17	111.21	142.01	152.28	102.25	194.36	307.69	43.94	47.84	57.08	135.24	507.46	329.84	119.26	79.45	307.69	28.86	15.68	59.55	28.24	71.5	74.06	15.11	77.25	44.57	33.78	58.71	23.59	47.5	30.78	44.25	39.22	30.78	60.82	30.78	124.37	33.06	34.51	16.03	71.5	41.81	12.27	25.17	47.84	49.21	71.5	13.42	21.94	70.51	89.51	60.39	29.27	579.04	18.84	17.25
NBPF9	237.86	155.5	244.57	236.21	878.17	285.03	540.19	379.04	336.79	358.54	642.59	356.05	316.37	438.59	514.56	301.33	180.02	395.18	981.29	232.94	384.34	567.1	314.17	647.07	693.58	708.18	285.03	713.11	62.12	76.71	241.19	187.71	197.09	121.79	153.34	229.72	173.85	142.01	314.17	214.27	155.5	212.78	193.01	186.4	127.0	189.02	221.86	157.68	197.09	134.3	138.1	229.72	120.1	148.09	101.54	127.0	323.03	242.88	131.51	156.59	183.82	199.85	187.71	73.03	884.29	171.45	136.19
NFATC2IP	334.46	470.14	389.72	358.54	656.11	607.87	591.22	733.19	698.41	1073.91	878.17	748.61	941.27	713.11	848.22	974.5	890.44	884.29	860.08	575.03	674.59	848.22	665.29	1143.1	878.17	947.83	595.34	934.76	253.23	256.78	514.56	339.14	348.71	253.23	373.81	490.14	208.38	723.08	395.18	423.61	353.59	397.93	358.54	353.59	438.59	432.53	343.89	358.54	358.54	241.19	256.78	507.46	547.75	371.22	242.88	327.56	575.03	486.75	583.07	260.38	327.56	441.64	262.2	183.82	728.11	429.54	226.54
NFKBID	157.68	72.01	57.49	70.51	193.01	206.94	170.25	158.79	141.02	323.03	277.2	156.59	171.45	470.14	334.46	341.51	185.11	127.89	279.14	105.89	164.42	195.72	176.29	414.87	470.14	277.2	187.71	559.28	20.41	19.97	151.22	75.11	52.08	159.9	68.07	135.24	38.4	78.34	111.21	76.17	77.25	96.68	94.67	85.82	105.15	85.22	144.01	111.21	113.56	44.57	54.33	94.67	69.03	90.77	56.28	60.39	281.09	88.88	43.32	49.21	90.14	81.71	128.79	48.18	201.25	129.69	55.49
NPIPA1	551.56	507.46	145.02	417.77	1572.76	1008.9	1540.37	1487.87	796.86	1073.91	1304.15	1073.91	896.64	967.76	1322.37	988.12	791.35	974.5	5441.3	921.88	2682.69	3690.52	2224.63	4010.71	5441.3	6652.97	896.64	4038.61	31.67	61.25	665.29	400.71	521.76	111.99	256.78	1051.79	153.34	346.29	423.61	540.19	205.5	878.17	291.04	423.61	447.82	232.94	414.87	371.22	438.59	120.1	120.1	819.3	191.67	229.72	277.2	242.88	703.28	1023.0	305.55	178.77	287.01	426.57	248.0	139.07	2935.74	341.51	273.37
PABPC1L	108.14	241.19	71.5	113.56	1561.89	669.92	802.41	961.07	447.82	1151.06	457.25	483.38	195.72	507.46	379.04	503.95	743.43	285.03	3443.31	239.52	836.53	1059.11	518.15	902.89	684.02	1437.15	457.25	872.1	38.67	14.14	197.09	40.93	84.04	16.39	114.36	341.51	16.27	211.31	265.87	53.95	71.5	152.28	118.43	77.79	78.89	57.89	164.42	49.56	147.06	37.32	57.49	229.72	166.73	55.89	27.64	43.02	267.73	629.35	81.71	40.93	40.93	60.82	42.41	17.0	4066.71	74.06	19.11
PAN2	128.79	161.02	287.01	343.89	769.69	669.92	748.61	525.39	579.04	493.56	1081.39	571.05	679.29	466.88	836.53	599.49	733.19	587.13	3325.99	403.5	967.76	1143.1	420.68	575.03	1313.23	3124.78	555.41	1331.57	59.55	136.19	518.15	105.15	265.87	104.42	131.51	638.15	186.4	255.0	142.01	226.54	283.05	287.01	158.79	163.28	195.72	112.77	223.41	147.06	138.1	98.73	70.51	336.79	303.44	191.67	103.69	156.59	312.0	199.85	176.29	127.89	218.79	157.68	175.07	93.35	1119.56	172.65	44.25
PAXBP1	139.07	80.01	148.09	149.12	397.93	417.77	583.07	358.54	412.0	438.59	497.0	303.44	295.11	381.68	334.46	368.65	242.88	363.56	1233.75	287.01	463.65	638.15	358.54	493.56	947.83	583.07	457.25	629.35	120.1	105.15	249.73	145.02	112.77	67.12	166.73	260.38	102.97	141.02	262.2	248.0	117.6	157.68	139.07	126.12	133.36	146.03	201.25	162.14	107.38	87.03	151.22	242.88	117.6	116.78	116.78	106.63	153.34	194.36	96.01	79.45	181.28	139.07	123.5	148.09	974.5	163.28	241.19
PHYKPL	248.0	353.59	341.51	275.28	1697.45	620.67	1001.93	674.59	575.03	743.43	802.41	753.83	450.94	420.68	607.87	551.56	591.22	511.0	848.22	595.34	289.02	466.88	587.13	1081.39	1066.48	616.37	490.14	656.11	231.32	232.94	312.0	303.44	318.57	255.0	267.73	595.34	228.13	277.2	400.71	356.05	381.68	248.0	229.72	191.67	167.9	351.14	381.68	253.23	209.84	312.0	353.59	358.54	450.94	295.11	244.57	226.54	397.93	420.68	186.4	237.86	237.86	387.02	251.48	242.88	954.43	253.23	177.53
PIDD	171.45	251.48	151.22	169.07	368.65	802.41	466.88	341.51	460.44	866.07	327.56	551.56	353.59	379.04	563.18	551.56	260.38	269.6	1259.69	295.11	629.35	454.09	379.04	432.53	723.08	769.69	368.65	417.77	68.55	78.89	209.84	124.37	138.1	64.34	155.5	279.14	96.68	169.07	215.77	228.13	138.1	193.01	100.13	138.1	143.01	161.02	187.71	120.1	135.24	68.07	111.21	215.77	151.22	129.69	123.5	98.73	228.13	162.14	212.78	110.43	115.97	226.54	155.5	150.17	1340.84	66.18	36.79
PILRB	348.71	819.3	157.68	583.07	3928.15	1008.9	1628.26	902.89	1427.22	1427.22	748.61	1037.29	616.37	902.89	1001.93	1685.71	688.78	921.88	3874.05	551.56	1268.46	1529.73	808.0	1447.15	3540.14	4152.18	1322.37	1322.37	55.1	60.82	551.56	199.85	309.83	51.71	103.69	830.75	120.94	559.28	872.1	813.63	173.85	825.0	305.55	251.48	249.73	215.77	559.28	211.31	363.56	55.89	163.28	454.09	170.25	218.79	96.01	94.01	473.41	842.36	157.68	106.63	269.6	248.0	183.82	80.01	4575.41	244.57	47.84
PLA2G6	127.0	96.01	158.79	173.85	1794.29	579.04	591.22	232.94	281.09	457.25	497.0	571.05	253.23	291.04	325.29	194.36	129.69	237.86	1044.52	211.31	616.37	591.22	447.82	423.61	825.0	1909.85	753.83	624.99	42.11	61.25	176.29	56.68	87.03	71.0	50.27	583.07	97.36	94.01	94.67	149.12	121.79	85.82	108.9	70.01	103.69	111.99	102.97	117.6	97.36	77.79	59.13	218.79	126.12	165.57	67.59	90.77	164.42	125.24	145.02	83.45	98.04	66.18	88.88	91.41	988.12	114.36	36.53
PNISR	414.87	454.09	414.87	616.37	1857.6	1081.39	2835.7	1407.55	896.64	921.88	2777.33	1407.55	915.51	1143.1	1322.37	1457.23	896.64	1295.13	5441.3	684.02	1551.09	1991.0	1963.57	2976.74	3874.05	3639.7	1096.5	2303.12	177.53	176.29	753.83	305.55	493.56	244.57	341.51	406.31	312.0	669.92	616.37	884.29	312.0	483.38	466.88	543.96	583.07	368.65	753.83	397.93	521.76	253.23	283.05	1001.93	400.71	244.57	329.84	307.69	884.29	529.06	348.71	249.73	432.53	392.44	289.02	265.87	1923.14	307.69	343.89
PPWD1	297.17	297.17	208.38	220.32	603.67	603.67	902.89	808.0	341.51	669.92	866.07	612.11	703.28	490.14	638.15	624.99	441.64	842.36	1447.15	368.65	320.8	438.59	688.78	808.0	981.29	612.11	426.57	713.11	275.28	177.53	379.04	237.86	260.38	202.66	226.54	406.31	193.01	329.84	423.61	518.15	273.37	353.59	400.71	241.19	279.14	273.37	379.04	384.34	363.56	201.25	287.01	307.69	325.29	185.11	212.78	287.01	209.84	314.17	126.12	138.1	327.56	318.57	262.2	246.28	780.44	144.01	130.6
PRPF3	493.56	503.95	802.41	555.41	909.17	974.5	1216.75	1896.65	1447.15	1467.37	2835.7	1427.22	1135.2	1651.0	1508.65	1572.76	575.03	1437.15	2915.45	785.88	1143.1	1498.22	1508.65	1950.0	2148.82	1519.15	1259.69	1594.73	253.23	303.44	579.04	397.93	547.75	293.07	490.14	688.78	343.89	638.15	543.96	483.38	366.09	511.0	599.49	633.73	583.07	450.94	503.95	607.87	587.13	400.71	674.59	775.05	343.89	435.55	334.46	412.0	708.18	470.14	547.75	283.05	463.65	438.59	435.55	312.0	1936.53	285.03	271.48
PRPF38B	540.19	297.17	297.17	323.03	947.83	961.07	1008.9	620.67	684.02	769.69	830.75	1313.23	591.22	780.44	813.63	358.54	529.06	848.22	1044.52	466.88	447.82	802.41	693.58	1216.75	723.08	941.27	599.49	1008.9	262.2	343.89	543.96	346.29	291.04	255.0	318.57	563.18	242.88	547.75	463.65	575.03	343.89	351.14	567.1	435.55	441.64	463.65	503.95	457.25	236.21	480.04	457.25	753.83	384.34	423.61	358.54	346.29	283.05	444.72	255.0	389.72	400.71	450.94	400.71	409.15	884.29	346.29	384.34
PTBP2	111.99	94.01	100.13	44.57	297.17	193.01	260.38	156.59	147.06	158.79	223.41	409.15	120.1	185.11	180.02	120.94	116.78	169.07	1096.5	101.54	336.79	351.14	138.1	872.1	753.83	738.29	202.66	819.3	55.89	27.25	84.63	59.55	68.07	49.91	35.76	122.64	18.7	109.66	68.07	87.65	52.45	71.0	78.89	86.43	56.28	111.21	87.65	54.33	117.6	48.87	42.41	190.34	72.01	45.53	42.41	36.53	117.6	82.87	55.1	42.11	84.04	76.17	56.28	42.41	470.14	45.21	72.01
RABL2A	73.54	133.36	120.1	86.43	656.11	358.54	486.75	275.28	177.53	255.0	356.05	237.86	173.85	244.57	194.36	197.09	127.89	204.07	1268.46	195.72	228.13	486.75	147.06	400.71	511.0	988.12	629.35	384.34	42.11	34.26	67.12	24.81	47.5	34.02	92.7	92.05	45.21	130.6	29.48	63.89	67.59	65.72	90.14	52.82	60.82	26.47	66.65	51.35	70.01	40.93	82.29	198.47	39.5	77.25	65.72	55.1	153.34	67.12	100.13	41.52	37.05	82.29	45.21	60.82	825.0	61.25	54.72
RABL2B	289.02	180.02	303.44	161.02	1023.0	454.09	579.04	463.65	463.65	381.68	454.09	409.15	454.09	460.44	371.22	490.14	293.07	466.88	947.83	361.04	463.65	961.07	332.14	633.73	836.53	967.76	813.63	693.58	147.06	217.27	173.85	173.85	287.01	178.77	139.07	258.57	199.85	226.54	141.02	197.09	231.32	226.54	244.57	237.86	102.97	91.41	195.72	237.86	197.09	185.11	187.71	353.59	249.73	279.14	314.17	139.07	341.51	171.45	536.45	114.36	202.66	224.97	237.86	195.72	890.44	244.57	95.34
RBM6	486.75	607.87	607.87	493.56	2018.8	1167.14	764.36	1286.18	1437.15	967.76	1286.18	1159.07	1250.98	1295.13	1104.13	2384.37	791.35	1340.84	1427.22	866.07	1051.79	1286.18	1519.15	2133.97	3901.01	1857.6	860.08	1781.89	229.72	265.87	967.76	723.08	555.41	163.28	242.88	872.1	381.68	473.41	791.35	629.35	412.0	532.74	493.56	507.46	305.55	579.04	785.88	529.06	460.44	287.01	301.33	808.0	368.65	289.02	371.22	260.38	1467.37	551.56	351.14	267.73	540.19	575.03	514.56	373.81	2682.69	525.39	624.99
RNF207	124.37	111.99	84.04	483.38	1639.59	595.34	309.83	178.77	358.54	684.02	521.76	532.74	229.72	248.0	299.25	256.78	145.02	457.25	599.49	155.5	232.94	521.76	791.35	1540.37	454.09	872.1	206.94	612.11	9.7	9.06	204.07	3.38	36.01	12.0	32.82	105.89	20.41	56.28	195.72	75.64	32.82	62.56	87.03	35.25	23.08	119.26	170.25	11.38	187.71	9.7	50.63	209.84	22.26	46.84	49.21	25.72	78.34	70.01	57.89	14.24	32.82	85.82	20.41	9.34	684.02	106.63	39.22
RNPC3	127.0	78.89	120.94	77.25	371.22	356.05	473.41	269.6	202.66	320.8	387.02	463.65	373.81	182.55	279.14	173.85	185.11	371.22	748.61	297.17	275.28	264.03	273.37	713.11	381.68	915.51	301.33	320.8	267.73	112.77	177.53	154.42	102.97	94.01	113.56	124.37	111.21	220.32	226.54	202.66	198.47	92.05	85.82	123.5	74.06	120.94	144.01	115.97	96.01	116.78	170.25	206.94	96.01	90.14	95.34	119.26	104.42	77.79	108.14	80.57	193.01	146.03	129.69	105.15	511.0	84.04	58.71
