	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.QLQW.0526.SM.4R1KS	GTEX.P4PP.0626.SM.3NM9X	GTEX.ZPU1.1426.SM.4WWFU	GTEX.X585.1226.SM.46MW7	GTEX.146FH.1726.SM.5QGQ2	GTEX.P4QS.0626.SM.3NMD1	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.55.6980.11A.01R.1949.07	GTEX.S7SE.0926.SM.2XCD6	GTEX.13N11.0326.SM.5LUA3	GTEX.X3Y1.0626.SM.3P5YS	GTEX.U3ZH.0526.SM.3DB75	GTEX.ZE7O.0826.SM.57WCP	GTEX.Q734.0626.SM.2I3EF	TCGA.85.7710.11A.01R.2125.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BJ.A28X.11A.11R.A22L.07	GTEX.111VG.0526.SM.5N9BW
RLTPR	24.99	45.53	125.24	41.81	16.27	25.91	98.04	108.14	244.57	105.15	376.41	211.31	339.14	12.27	10.47	28.04	8.51	73.54	842.36	329.84	988.12	171.45	175.07	532.74	693.58	1.19	6.16	33.06	11.04	46.84	6.94	4.39	599.49	633.73
RNF125	25.91	35.25	44.25	43.02	28.24	28.45	28.24	48.18	77.79	49.91	68.55	43.02	57.49	4.46	10.24	11.3	22.43	107.38	220.32	297.17	202.66	236.21	107.38	183.82	109.66	21.94	18.56	18.84	24.81	14.78	13.62	23.93	115.97	70.01
RNF130	157.68	642.59	406.31	470.14	339.14	447.82	420.68	780.44	967.76	764.36	1208.34	540.19	1073.91	343.89	193.01	229.72	281.09	1857.6	2163.77	1605.83	3372.43	1950.0	2451.44	2796.65	1909.85	656.11	87.65	201.25	511.0	177.53	351.14	186.4	1268.46	1508.65
SCARF1	35.76	113.56	147.06	82.29	77.25	173.85	76.71	106.63	236.21	150.17	366.09	96.68	194.36	21.78	29.27	10.39	36.27	665.29	708.18	769.69	379.04	669.92	490.14	507.46	400.71	8.38	41.81	43.32	45.85	23.59	18.84	13.32	540.19	518.15
SENP7	26.67	111.21	125.24	177.53	138.1	103.69	148.09	279.14	414.87	195.72	309.83	170.25	409.15	57.49	41.81	35.0	44.89	287.01	392.44	511.0	392.44	403.5	208.38	228.13	438.59	53.19	68.07	58.3	82.29	57.49	53.57	45.85	406.31	285.03
SHE	4.98	96.68	92.7	154.42	70.01	80.01	56.68	40.64	208.38	97.36	256.78	77.25	190.34	2.05	7.75	5.28	26.47	470.14	409.15	1628.26	242.88	728.11	961.07	713.11	361.04	12.93	76.71	36.27	40.07	25.54	20.86	60.82	348.71	642.59
SIDT1	6.52	31.67	60.39	36.01	25.35	47.17	26.1	178.77	185.11	96.68	74.06	54.33	161.02	2.03	4.39	0.0	4.54	64.8	332.14	336.79	447.82	183.82	417.77	199.85	265.87	10.31	3.14	10.71	17.9	25.17	16.15	5.06	129.69	68.07
SLC24A1	161.02	71.0	62.12	76.71	59.13	64.8	47.17	166.73	182.55	115.16	136.19	90.14	134.3	35.25	25.91	25.17	48.18	165.57	329.84	255.0	249.73	215.77	323.03	218.79	197.09	52.45	38.67	33.3	74.06	52.45	63.0	30.34	231.32	258.57
SNED1	11.47	97.36	75.64	75.11	55.89	52.82	82.87	172.65	703.28	303.44	902.89	289.02	490.14	1.91	5.68	1.93	27.44	341.51	387.02	1639.59	934.76	1015.93	629.35	934.76	244.57	92.05	28.65	182.55	77.25	28.86	24.28	35.0	536.45	599.49
SPAG4	100.83	47.5	87.65	64.8	82.87	51.35	83.45	226.54	633.73	202.66	769.69	62.56	438.59	99.43	53.95	31.45	8.45	158.79	287.01	830.75	698.41	115.16	157.68	201.25	334.46	42.71	2.56	23.42	55.89	57.89	70.51	14.03	320.8	118.43
SPATA6	26.1	52.82	93.35	63.0	41.81	49.56	63.89	71.5	111.21	66.65	129.69	71.0	132.44	0.93	21.01	9.93	25.91	178.77	339.14	256.78	237.86	447.82	660.68	228.13	127.89	22.75	52.08	16.15	37.32	11.04	10.63	28.45	176.29	208.38
TCEANC	24.28	29.06	35.76	46.84	31.9	17.77	24.46	34.26	53.19	32.59	74.06	52.45	51.71	33.06	9.93	10.08	13.22	87.03	123.5	95.34	99.43	161.02	120.1	106.63	120.1	23.25	16.51	19.53	20.86	15.22	15.91	8.45	115.16	97.36
TMCO4	212.78	343.89	363.56	392.44	384.34	503.95	260.38	429.54	825.0	473.41	743.43	878.17	406.31	169.07	273.37	201.25	151.22	371.22	629.35	612.11	521.76	555.41	1191.69	728.11	392.44	202.66	113.56	150.17	420.68	232.94	327.56	173.85	633.73	791.35
TMEM25	159.9	185.11	156.59	194.36	161.02	163.28	269.6	305.55	242.88	287.01	368.65	269.6	356.05	54.33	94.01	80.57	149.12	476.71	583.07	723.08	551.56	457.25	909.17	688.78	295.11	52.45	49.56	155.5	172.65	202.66	136.19	40.93	503.95	595.34
TRA2A	1369.04	1709.26	1781.89	1950.0	1674.06	1794.29	1397.83	2287.2	1769.57	1322.37	2485.67	1857.6	1605.83	656.11	848.22	1073.91	1073.91	2434.5	1832.01	3820.7	3257.52	3955.48	3039.3	3515.68	2240.11	967.76	1407.55	1233.75	1662.49	878.17	1001.93	988.12	2303.12	2682.69
TRAPPC2	199.85	146.03	228.13	211.31	189.02	143.01	151.22	183.82	234.57	195.72	277.2	275.28	205.5	146.03	62.56	67.12	98.73	258.57	373.81	343.89	208.38	249.73	258.57	293.07	381.68	117.6	139.07	75.64	93.35	105.15	108.14	98.73	299.25	291.04
TRIM52	102.97	146.03	199.85	157.68	152.28	119.26	119.26	171.45	204.07	176.29	320.8	201.25	287.01	29.91	21.63	27.25	43.02	293.07	540.19	642.59	563.18	603.67	441.64	432.53	483.38	18.03	33.78	28.86	57.49	33.3	35.5	23.42	620.67	518.15
TRIQK	81.71	140.04	211.31	220.32	125.24	132.44	114.36	175.07	249.73	165.57	283.05	145.02	214.27	218.79	275.28	80.57	104.42	348.71	808.0	356.05	366.09	785.88	1135.2	961.07	438.59	323.03	106.63	67.59	166.73	34.02	90.14	88.88	297.17	303.44
TRPM7	98.04	232.94	251.48	289.02	197.09	164.42	152.28	244.57	305.55	212.78	267.73	190.34	325.29	72.01	66.65	187.71	140.04	297.17	371.22	318.57	316.37	381.68	226.54	341.51	460.44	291.04	112.77	106.63	140.04	95.34	115.97	138.1	423.61	334.46
TSGA10	86.43	60.82	74.58	70.51	73.03	57.08	76.17	93.35	54.72	69.03	195.72	64.34	103.69	31.45	24.63	20.41	62.12	108.14	151.22	96.68	293.07	149.12	591.22	178.77	157.68	61.68	65.26	23.93	164.42	66.65	52.45	41.81	293.07	287.01
TSPAN12	10.55	47.84	56.68	33.54	23.93	44.89	69.03	97.36	99.43	231.32	205.5	62.12	88.26	3.2	4.94	2.1	23.08	1427.22	1697.45	854.13	307.69	1467.37	5329.3	2335.28	819.3	33.06	11.55	15.34	87.65	17.13	37.05	14.35	483.38	400.71
TTC3	262.2	379.04	511.0	397.93	395.18	503.95	400.71	642.59	1127.35	830.75	1023.0	480.04	1008.9	242.88	343.89	426.57	483.38	759.08	1857.6	595.34	791.35	1477.58	1757.34	1674.06	872.1	460.44	221.86	332.14	454.09	295.11	392.44	218.79	1233.75	1359.57
TVP23A	3.08	13.62	18.16	10.71	10.24	6.94	10.71	22.92	25.54	22.59	42.41	9.7	23.59	2.61	1.3	1.58	10.55	45.85	139.07	32.13	86.43	40.93	60.39	58.3	73.03	0.0	8.06	11.21	11.73	10.24	1.39	1.55	48.18	130.6
UFM1	466.88	642.59	872.1	813.63	665.29	703.28	563.18	1037.29	1407.55	1159.07	1295.13	759.08	1225.22	684.02	1104.13	444.72	693.58	1378.57	1936.53	1519.15	1259.69	1340.84	1806.78	921.88	1477.58	896.64	656.11	728.11	629.35	591.22	514.56	514.56	1322.37	1447.15
UNC5C	0.0	9.56	8.92	3.0	0.89	3.89	1.77	13.42	19.82	7.46	18.56	5.36	18.29	2.16	1.48	0.66	0.0	47.84	120.1	23.08	98.04	181.28	62.12	98.04	38.12	0.71	0.0	0.0	2.84	0.0	1.41	0.0	193.01	178.77
VIPR1	267.73	133.36	409.15	237.86	215.77	208.38	106.63	334.46	358.54	176.29	457.25	237.86	320.8	97.36	6.46	24.11	78.89	2271.4	563.18	2777.33	693.58	525.39	723.08	559.28	813.63	19.97	56.28	11.38	78.89	37.85	64.8	23.08	363.56	223.41
ZBTB49	34.51	63.0	75.11	70.01	42.11	57.08	111.21	80.01	85.82	88.26	90.77	71.5	96.68	59.13	33.06	20.56	45.21	99.43	106.63	119.26	87.65	136.19	92.7	99.43	92.05	29.91	45.53	35.0	43.63	82.87	31.45	22.43	109.66	115.16
ZC3H12B	0.64	7.46	13.72	4.03	2.32	3.56	6.41	9.06	12.83	8.65	12.0	8.99	15.22	1.27	0.57	1.27	0.73	14.24	34.75	20.86	17.77	37.32	36.53	20.11	18.29	0.6	0.26	1.07	1.5	0.49	0.11	0.0	26.28	25.17
ZCCHC8	269.6	441.64	414.87	583.07	447.82	532.74	435.55	603.67	480.04	353.59	591.22	420.68	483.38	312.0	262.2	307.69	269.6	466.88	486.75	607.87	518.15	791.35	490.14	500.46	575.03	175.07	289.02	229.72	275.28	258.57	253.23	281.09	679.29	674.59
ZMAT1	6.26	34.26	63.45	96.01	30.78	18.03	60.82	137.14	201.25	60.39	170.25	106.63	241.19	0.84	0.0	0.0	5.41	309.83	463.65	1369.04	579.04	1781.89	713.11	198.47	348.71	0.0	3.66	5.59	13.52	2.39	5.32	0.68	961.07	620.67
ZNF124	19.39	45.53	77.79	47.17	34.26	40.36	35.25	67.59	98.04	61.68	92.7	63.45	113.56	37.59	18.43	30.78	27.44	108.14	271.48	113.56	77.79	224.97	126.12	234.57	183.82	29.48	22.92	29.48	59.55	33.54	40.93	30.56	90.77	95.34
ZNF211	59.97	164.42	226.54	171.45	144.01	153.34	217.27	295.11	305.55	125.24	802.41	171.45	273.37	85.22	100.83	45.85	47.84	301.33	371.22	665.29	381.68	669.92	642.59	389.72	353.59	43.02	27.25	59.97	69.52	60.82	57.08	56.28	447.82	406.31
ZNF235	37.85	67.59	48.52	32.13	35.0	39.22	53.57	66.65	89.51	46.84	81.14	35.76	89.51	37.59	21.16	26.28	11.64	52.82	131.51	169.07	123.5	111.99	105.15	88.26	101.54	15.45	29.27	10.31	33.54	23.08	15.11	18.97	104.42	132.44
ZNF260	120.94	69.52	101.54	101.54	91.41	79.45	77.79	77.79	223.41	70.51	143.01	106.63	90.14	58.3	44.57	53.19	38.95	116.78	267.73	180.02	165.57	167.9	172.65	158.79	170.25	106.63	70.51	55.89	98.73	76.17	123.5	79.45	138.1	172.65
ZNF285	9.56	12.0	8.71	16.15	14.35	9.27	9.34	42.71	45.53	18.03	78.89	23.08	47.84	0.0	0.51	0.83	5.68	26.67	24.63	107.38	48.87	150.17	115.16	56.68	49.91	12.64	1.36	3.14	11.04	6.67	3.53	1.99	88.88	84.04
ZNF33A	167.9	202.66	260.38	182.55	173.85	162.14	204.07	412.0	435.55	392.44	420.68	231.32	414.87	108.14	180.02	96.01	158.79	327.56	483.38	409.15	529.06	616.37	454.09	232.94	417.77	154.42	138.1	60.82	208.38	249.73	187.71	159.9	389.72	384.34
ZNF383	30.78	68.55	69.52	60.82	72.01	53.19	88.88	132.44	130.6	129.69	170.25	98.73	124.37	43.63	22.43	48.18	55.1	142.01	204.07	115.16	180.02	147.06	262.2	72.01	163.28	47.5	62.12	28.45	90.77	64.8	62.12	128.79	144.01	173.85
ZNF404	16.39	16.88	44.57	14.78	31.45	18.29	31.9	47.17	47.84	32.59	149.12	49.21	90.77	20.26	4.74	9.78	7.06	94.67	84.63	231.32	47.84	301.33	316.37	79.45	88.88	9.93	8.65	7.34	20.56	5.63	8.65	6.52	139.07	180.02
ZNF41	51.71	65.26	82.87	73.03	56.28	61.25	55.49	78.34	94.01	132.44	85.82	110.43	130.6	30.34	36.27	15.91	60.39	123.5	176.29	170.25	131.51	182.55	134.3	162.14	140.04	59.55	44.57	32.59	91.41	52.45	87.03	46.18	149.12	111.21
ZNF417	33.54	126.12	102.97	68.07	76.71	81.14	82.29	154.42	148.09	144.01	181.28	136.19	156.59	22.1	28.04	17.9	14.89	82.87	155.5	371.22	231.32	214.27	223.41	212.78	212.78	13.32	21.63	17.38	38.67	27.84	26.67	13.03	162.14	185.11
ZNF438	65.26	149.12	191.67	161.02	117.6	137.14	151.22	98.73	170.25	136.19	130.6	112.77	134.3	58.3	90.77	51.71	88.88	265.87	226.54	343.89	229.72	291.04	307.69	309.83	215.77	255.0	148.09	81.14	125.24	119.26	120.1	156.59	256.78	289.02
ZNF491	8.06	9.41	27.25	6.11	11.91	8.58	13.12	17.38	31.9	25.54	43.63	22.1	17.51	0.6	0.62	0.6	5.06	42.41	49.21	58.3	52.82	110.43	109.66	39.5	42.71	1.55	0.88	1.53	3.29	3.79	5.77	0.41	38.67	49.56
ZNF525	169.07	84.04	58.3	66.65	72.52	82.29	90.14	162.14	109.66	176.29	187.71	149.12	221.86	4.28	137.14	124.37	31.22	155.5	166.73	346.29	191.67	307.69	165.57	104.42	214.27	25.17	73.54	35.25	72.01	70.01	21.16	9.27	204.07	229.72
ZNF527	10.0	37.05	53.19	31.22	29.27	30.56	35.76	55.49	59.55	45.85	83.45	69.52	94.01	28.65	15.11	26.28	23.76	77.25	97.36	108.14	105.89	130.6	147.06	99.43	102.25	65.26	38.67	18.03	39.5	35.5	40.07	22.43	100.13	142.01
ZNF549	5.63	29.27	51.35	29.27	26.28	37.59	50.27	74.06	99.43	54.72	78.34	38.67	59.55	17.0	22.26	0.6	11.04	106.63	178.77	204.07	215.77	256.78	176.29	161.02	127.0	6.01	4.94	4.98	22.1	13.83	12.83	4.7	142.01	125.24
ZNF565	37.85	59.55	56.68	59.97	48.87	55.1	63.45	66.65	68.55	54.72	111.21	52.45	76.17	44.57	48.18	24.28	41.52	95.34	68.07	126.12	68.07	130.6	144.01	82.87	79.45	42.41	50.27	46.5	48.52	41.52	27.25	18.43	90.14	82.87
ZNF567	81.14	68.55	94.01	70.01	62.12	65.26	63.45	70.51	193.01	90.14	175.07	84.63	80.57	23.59	36.79	61.25	28.24	83.45	167.9	135.24	72.01	157.68	150.17	94.67	122.64	50.98	18.7	9.06	50.63	57.08	34.02	29.27	139.07	136.19
ZNF571	48.87	35.0	42.71	38.67	36.53	32.36	67.12	73.03	61.68	74.58	146.03	45.21	92.7	2.27	0.0	36.53	18.03	98.04	143.01	199.85	120.94	273.37	180.02	116.78	105.15	18.56	21.63	15.8	38.4	40.93	29.27	41.52	138.1	191.67
ZNF606	26.67	82.87	109.66	75.64	88.88	74.06	150.17	197.09	281.09	128.79	287.01	128.79	279.14	5.23	16.75	38.67	31.22	157.68	265.87	195.72	273.37	182.55	353.59	88.26	180.02	11.82	20.71	2.97	85.82	29.06	24.63	13.83	287.01	242.88
ZNF671	42.11	50.63	82.87	55.89	49.21	46.5	62.56	86.43	119.26	92.05	126.12	79.45	104.42	3.79	8.13	3.47	12.83	162.14	373.81	684.02	460.44	376.41	356.05	543.96	269.6	8.13	1.89	11.13	50.27	23.76	12.83	9.27	339.14	177.53
ZNF680	145.02	77.79	70.51	71.5	66.65	61.25	52.82	117.6	153.34	75.64	127.89	136.19	135.24	37.85	34.75	68.55	40.07	183.82	283.05	176.29	265.87	420.68	154.42	171.45	187.71	60.82	46.84	31.0	62.12	56.68	54.33	46.84	361.04	473.41
ZNF721	198.47	198.47	232.94	177.53	217.27	178.77	236.21	262.2	309.83	318.57	426.57	246.28	312.0	161.02	113.56	114.36	161.02	447.82	551.56	339.14	473.41	571.05	536.45	291.04	507.46	209.84	170.25	135.24	221.86	241.19	173.85	285.03	480.04	540.19
ZNF765	36.27	92.05	93.35	64.34	73.54	79.45	68.07	107.38	90.14	86.43	136.19	105.15	153.34	49.56	55.89	66.65	46.84	141.02	146.03	152.28	102.25	137.14	124.37	156.59	147.06	38.67	34.51	26.47	58.3	46.84	45.21	19.68	114.36	103.69
ZNF780B	24.99	85.82	105.89	81.14	84.63	55.89	78.89	128.79	123.5	112.77	150.17	92.7	187.71	38.95	23.76	35.0	27.84	112.77	303.44	221.86	198.47	339.14	199.85	275.28	201.25	51.71	28.24	44.57	36.79	45.53	33.3	23.59	275.28	221.86
ZSCAN30	108.14	137.14	157.68	141.02	153.34	120.1	121.79	220.32	237.86	156.59	271.48	180.02	265.87	53.19	58.3	52.82	56.68	265.87	323.03	633.73	376.41	500.46	387.02	395.18	297.17	36.79	41.52	43.63	90.77	46.18	55.89	25.91	371.22	351.14
ZSCAN9	91.41	146.03	258.57	173.85	132.44	132.44	119.26	176.29	244.57	157.68	387.02	140.04	228.13	124.37	72.52	74.06	84.04	258.57	361.04	684.02	255.0	518.15	476.71	444.72	258.57	46.5	36.53	48.18	118.43	59.13	71.5	37.59	297.17	371.22
