	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.D8.A1JP.01A.11R.A13Q.07	TCGA.BH.A1EV.11A.24R.A137.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.CZ.5463.01A.01R.1503.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.DZ.6131.01A.11R.1965.07	TCGA.G7.7501.01A.11R.2204.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.CC.A9FS.01A.11R.A37K.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.DD.A1EB.01A.11R.A131.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.DD.AAW2.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A3R2.01A.11R.A22L.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.ZP.A9D2.01A.11R.A38B.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.DD.A4NK.01A.11R.A28V.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.A11A.01A.11R.A131.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.2Y.A9HB.01A.11R.A39D.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.DD.A11B.01A.11R.A131.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.DD.A1EK.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.DD.AAW3.01A.11R.A41C.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.5R.AA1D.01A.11R.A38B.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EI.11A.11R.A131.07	TCGA.DD.A1EL.11A.11R.A155.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.BK.A139.01A.11R.A277.07
MCM9	358.54	397.93	305.55	293.07	209.84	97.36	92.05	94.01	181.28	182.55	249.73	186.4	215.77	223.41	197.09	53.95	47.17	52.45	136.19	110.43	111.99	63.0	68.07	105.15	58.71	139.07	43.02	82.29	51.35	94.67	103.69	57.49	25.72	76.17	66.18	142.01	90.77	43.63	57.89	66.18	55.49	68.55	226.54	60.39	53.19	80.01	28.04	100.83	36.79	136.19	52.08	234.57	115.97	20.86	40.93	85.82	125.24	44.57	163.28	99.43	82.87	45.53	73.54	45.53	64.34	39.79	114.36	28.04	49.56	85.82	99.43	32.59	57.89	129.69	96.68	51.71	51.71	49.21	105.15	53.19	52.08	115.97	43.94	53.19	78.34	36.79	95.34	75.11	84.63	110.43	85.22	34.51	141.02	55.1	111.99	86.43	64.8	49.91	105.15	68.55	114.36	44.25	73.03	72.01	88.26	56.68	133.36	76.71	98.73	101.54	133.36	85.22	115.16	33.54	67.59	64.8	432.53
MED23	909.17	669.92	540.19	813.63	441.64	229.72	173.85	307.69	351.14	231.32	435.55	287.01	258.57	371.22	239.52	92.05	84.04	117.6	171.45	152.28	176.29	105.89	89.51	158.79	105.89	164.42	95.34	126.12	80.01	289.02	167.9	84.63	64.8	226.54	110.43	417.77	316.37	103.69	105.15	115.16	92.05	143.01	226.54	115.16	138.1	145.02	65.72	171.45	46.84	232.94	65.72	466.88	202.66	62.56	67.12	155.5	228.13	90.77	258.57	248.0	130.6	62.12	144.01	74.06	68.55	100.13	182.55	94.01	101.54	262.2	236.21	73.54	105.15	348.71	232.94	79.45	137.14	59.97	242.88	90.14	112.77	232.94	72.01	102.97	122.64	74.06	138.1	128.79	165.57	159.9	101.54	102.25	303.44	98.04	165.57	158.79	156.59	114.36	102.25	145.02	224.97	78.34	208.38	197.09	170.25	83.45	224.97	112.77	108.14	173.85	180.02	129.69	232.94	32.13	79.45	101.54	1111.82
MLLT4	1883.54	3168.41	1909.85	1498.22	2777.33	1508.65	1457.23	921.88	2104.58	1081.39	2004.85	1397.83	1331.57	1331.57	1350.18	305.55	289.02	603.67	1487.87	1199.98	1388.16	336.79	571.05	1111.82	420.68	1059.11	329.84	409.15	379.04	1277.29	890.44	567.1	287.01	269.6	764.36	1769.57	417.77	518.15	954.43	878.17	466.88	1015.93	1733.13	1143.1	483.38	563.18	409.15	1199.98	183.82	1407.55	409.15	1583.71	1073.91	273.37	450.94	1073.91	1233.75	277.2	1015.93	1044.52	878.17	381.68	595.34	264.03	473.41	567.1	1594.73	185.11	371.22	796.86	1561.89	483.38	466.88	1519.15	651.58	429.54	915.51	368.65	1487.87	748.61	884.29	1199.98	371.22	583.07	796.86	629.35	1015.93	1127.35	1001.93	974.5	511.0	884.29	1685.71	808.0	1143.1	1044.52	723.08	854.13	947.83	1044.52	2271.4	1322.37	860.08	2502.97	967.76	1044.52	1572.76	1208.34	890.44	1369.04	1242.34	1088.92	2178.83	366.09	275.28	1051.79	2664.15
MTMR9	146.03	65.72	156.59	363.56	146.03	50.98	53.19	93.35	74.58	113.56	211.31	114.36	97.36	94.67	110.43	18.84	13.52	25.54	24.99	54.33	49.56	12.36	18.7	26.28	17.51	28.24	21.32	39.5	19.97	54.33	40.93	19.68	14.45	62.12	42.71	43.32	43.02	28.86	26.47	15.56	42.41	44.25	30.34	22.26	26.1	30.78	18.84	21.63	10.88	53.19	14.45	36.27	39.79	17.0	33.78	34.26	24.28	22.1	55.49	69.52	21.63	19.11	43.02	14.35	16.63	28.04	43.02	17.64	18.16	15.34	26.28	24.63	16.63	56.68	63.45	19.82	38.95	14.24	56.28	14.78	19.53	28.04	20.11	33.78	40.64	25.17	41.22	43.63	45.85	55.49	34.75	18.56	52.82	26.86	47.5	30.56	37.59	21.94	44.89	23.76	28.86	16.39	47.17	33.3	30.78	42.41	60.82	26.47	25.35	33.06	28.45	36.79	54.72	12.18	23.08	42.11	204.07
MTRF1L	397.93	303.44	336.79	356.05	480.04	189.02	172.65	384.34	366.09	332.14	444.72	348.71	307.69	414.87	351.14	126.12	65.72	116.78	185.11	220.32	183.82	133.36	85.22	173.85	73.03	191.67	101.54	87.65	115.16	206.94	189.02	94.01	67.59	249.73	170.25	239.52	193.01	122.64	98.04	133.36	113.56	239.52	353.59	159.9	127.0	140.04	132.44	197.09	74.06	253.23	95.34	255.0	215.77	99.43	120.94	128.79	256.78	83.45	248.0	343.89	130.6	64.8	189.02	82.87	107.38	141.02	205.5	89.51	112.77	232.94	199.85	112.77	100.13	224.97	251.48	87.03	167.9	88.88	190.34	142.01	73.54	205.5	117.6	143.01	166.73	60.39	181.28	172.65	186.4	159.9	133.36	158.79	154.42	140.04	89.51	232.94	143.01	121.79	159.9	96.01	170.25	187.71	125.24	92.05	136.19	158.79	191.67	134.3	111.99	162.14	158.79	137.14	150.17	146.03	155.5	204.07	450.94
MYCBP2	423.61	381.68	1175.27	1674.06	708.18	271.48	269.6	312.0	866.07	426.57	629.35	540.19	1199.98	400.71	514.56	144.01	154.42	231.32	256.78	220.32	214.27	185.11	164.42	150.17	187.71	229.72	170.25	137.14	92.7	151.22	155.5	142.01	117.6	412.0	281.09	339.14	208.38	269.6	305.55	132.44	206.94	180.02	209.84	181.28	119.26	297.17	229.72	325.29	86.43	305.55	75.64	152.28	214.27	154.42	141.02	155.5	255.0	125.24	312.0	395.18	103.69	84.04	123.5	72.01	112.77	131.51	307.69	119.26	214.27	220.32	183.82	127.89	149.12	329.84	387.02	100.83	169.07	148.09	314.17	92.05	236.21	244.57	138.1	143.01	267.73	99.43	334.46	237.86	346.29	376.41	176.29	173.85	221.86	150.17	144.01	420.68	167.9	283.05	381.68	156.59	239.52	316.37	186.4	157.68	126.12	297.17	195.72	293.07	111.21	299.25	131.51	204.07	181.28	204.07	118.43	417.77	595.34
MYO6	3235.01	1304.15	1605.83	525.39	1487.87	262.2	305.55	1498.22	1015.93	1457.23	2609.3	1487.87	3639.7	1081.39	1806.78	228.13	141.02	189.02	463.65	320.8	353.59	128.79	140.04	271.48	100.83	400.71	103.69	126.12	136.19	423.61	177.53	133.36	65.26	547.75	239.52	567.1	199.85	140.04	145.02	389.72	172.65	351.14	303.44	277.2	87.03	97.36	157.68	329.84	7.88	511.0	106.63	808.0	309.83	60.39	124.37	320.8	281.09	95.34	353.59	444.72	215.77	162.14	178.77	79.45	316.37	149.12	366.09	61.25	246.28	138.1	454.09	329.84	115.16	389.72	414.87	133.36	262.2	271.48	318.57	175.07	109.66	176.29	145.02	159.9	189.02	94.67	195.72	260.38	334.46	283.05	101.54	94.67	376.41	52.08	163.28	265.87	173.85	118.43	454.09	185.11	170.25	108.9	264.03	275.28	161.02	483.38	201.25	293.07	127.0	555.41	81.14	97.36	175.07	62.56	164.42	555.41	1508.65
NUP43	713.11	902.89	543.96	379.04	529.06	176.29	190.34	412.0	438.59	253.23	320.8	348.71	320.8	463.65	267.73	111.21	97.36	150.17	211.31	134.3	215.77	133.36	98.04	234.57	119.26	260.38	84.63	153.34	132.44	293.07	170.25	102.97	70.51	186.4	115.16	450.94	220.32	86.43	146.03	194.36	137.14	176.29	518.15	125.24	135.24	221.86	136.19	212.78	77.79	299.25	139.07	423.61	205.5	66.18	151.22	178.77	267.73	77.25	279.14	228.13	172.65	128.79	115.97	74.58	77.79	107.38	186.4	80.01	127.89	409.15	264.03	133.36	108.9	297.17	242.88	98.73	129.69	80.01	209.84	158.79	111.21	167.9	133.36	87.03	92.05	85.22	127.89	158.79	193.01	166.73	117.6	90.14	236.21	156.59	209.84	163.28	170.25	112.77	181.28	181.28	234.57	57.08	130.6	87.65	148.09	82.87	204.07	118.43	124.37	115.97	163.28	121.79	183.82	55.1	76.17	133.36	1015.93
NUS1	981.29	1259.69	769.69	1519.15	764.36	463.65	511.0	503.95	738.29	575.03	1277.29	599.49	414.87	620.67	603.67	246.28	176.29	234.57	389.72	463.65	497.0	256.78	187.71	351.14	189.02	525.39	279.14	301.33	246.28	234.57	368.65	156.59	109.66	314.17	316.37	651.58	708.18	336.79	144.01	234.57	264.03	406.31	629.35	271.48	293.07	379.04	215.77	253.23	189.02	733.19	244.57	780.44	454.09	163.28	246.28	334.46	514.56	202.66	514.56	493.56	336.79	148.09	291.04	190.34	241.19	223.41	341.51	223.41	185.11	612.11	376.41	239.52	182.55	497.0	486.75	176.29	406.31	156.59	595.34	258.57	195.72	417.77	158.79	309.83	463.65	191.67	476.71	368.65	392.44	325.29	283.05	269.6	248.0	267.73	249.73	389.72	503.95	318.57	379.04	287.01	358.54	307.69	438.59	271.48	242.88	343.89	279.14	273.37	279.14	432.53	287.01	327.56	256.78	277.2	591.22	518.15	1044.52
ORC3	890.44	540.19	607.87	1605.83	954.43	271.48	299.25	409.15	738.29	392.44	571.05	384.34	303.44	551.56	387.02	688.78	303.44	189.02	389.72	327.56	775.05	264.03	287.01	376.41	231.32	486.75	182.55	563.18	147.06	177.53	363.56	133.36	205.5	316.37	258.57	511.0	351.14	187.71	195.72	341.51	218.79	521.76	361.04	336.79	486.75	802.41	260.38	332.14	138.1	511.0	320.8	830.75	285.03	123.5	198.47	575.03	353.59	194.36	368.65	341.51	426.57	256.78	295.11	205.5	139.07	312.0	368.65	167.9	121.79	336.79	343.89	463.65	205.5	332.14	363.56	150.17	403.5	186.4	314.17	373.81	226.54	346.29	181.28	224.97	191.67	170.25	232.94	228.13	325.29	356.05	291.04	165.57	265.87	269.6	187.71	205.5	172.65	232.94	295.11	217.27	301.33	135.24	151.22	262.2	387.02	277.2	281.09	224.97	206.94	220.32	146.03	224.97	325.29	123.5	115.97	281.09	1208.34
OSBPL8	1015.93	563.18	896.64	2935.74	1111.82	166.73	212.78	698.41	633.73	842.36	1242.34	825.0	397.93	426.57	1008.9	76.71	108.14	115.16	157.68	199.85	155.5	58.71	111.99	141.02	120.1	101.54	91.41	102.97	110.43	125.24	96.68	127.89	57.49	1378.57	127.0	371.22	128.79	169.07	111.99	114.36	127.89	162.14	178.77	76.17	95.34	181.28	89.51	81.71	66.18	258.57	53.19	194.36	154.42	52.45	205.5	204.07	151.22	94.01	265.87	251.48	106.63	67.12	85.22	48.87	148.09	73.54	197.09	86.43	92.7	96.68	164.42	126.12	120.94	244.57	305.55	66.18	131.51	86.43	242.88	133.36	141.02	87.03	61.25	108.14	170.25	26.86	176.29	182.55	189.02	181.28	152.28	86.43	181.28	84.04	242.88	164.42	220.32	83.45	343.89	84.63	166.73	127.89	139.07	193.01	139.07	140.04	217.27	199.85	102.97	234.57	107.38	127.0	150.17	129.69	116.78	193.01	785.88
OSTM1	1104.13	819.3	775.05	1037.29	603.67	202.66	346.29	2434.5	651.58	647.07	1167.14	444.72	1378.57	1277.29	587.13	176.29	94.01	171.45	277.2	267.73	264.03	237.86	111.21	353.59	94.01	332.14	128.79	106.63	255.0	273.37	234.57	173.85	127.0	1350.18	215.77	802.41	368.65	293.07	90.14	223.41	176.29	348.71	400.71	154.42	134.3	262.2	220.32	190.34	129.69	511.0	146.03	351.14	346.29	123.5	190.34	224.97	356.05	136.19	327.56	620.67	231.32	119.26	251.48	99.43	293.07	214.27	332.14	149.12	76.17	214.27	483.38	135.24	199.85	275.28	599.49	127.0	503.95	142.01	248.0	155.5	125.24	173.85	162.14	206.94	223.41	84.63	217.27	258.57	249.73	195.72	185.11	106.63	151.22	112.77	163.28	256.78	264.03	133.36	309.83	116.78	166.73	87.03	217.27	220.32	114.36	177.53	242.88	212.78	145.02	307.69	157.68	181.28	130.6	98.73	218.79	397.93	591.22
PCMT1	2777.33	3820.7	1697.45	3467.27	2367.9	981.29	1183.45	1437.15	1407.55	1175.27	1487.87	1143.1	1295.13	1963.57	1059.11	575.03	423.61	514.56	642.59	1199.98	1295.13	890.44	616.37	981.29	466.88	981.29	563.18	684.02	607.87	1313.23	819.3	457.25	387.02	1135.2	1059.11	1340.84	1030.12	995.0	518.15	738.29	674.59	860.08	2209.26	836.53	559.28	813.63	647.07	1378.57	417.77	1340.84	674.59	2287.2	1066.48	470.14	599.49	780.44	1242.34	563.18	995.0	1304.15	1268.46	423.61	1159.07	483.38	753.83	738.29	1594.73	389.72	532.74	1127.35	1151.06	529.06	480.04	1175.27	1037.29	551.56	1397.83	438.59	1167.14	733.19	435.55	599.49	629.35	890.44	1233.75	981.29	1175.27	1175.27	1175.27	915.51	1051.79	629.35	591.22	954.43	638.15	1242.34	1175.27	1331.57	1225.22	571.05	802.41	1313.23	1015.93	884.29	718.08	1111.82	688.78	1096.5	764.36	915.51	808.0	961.07	813.63	1781.89	934.76	1268.46	2485.67
PDCD2	1781.89	2367.9	1487.87	1594.73	1167.14	665.29	723.08	1135.2	1250.98	1001.93	1519.15	967.76	819.3	1340.84	884.29	555.41	483.38	409.15	1277.29	733.19	884.29	848.22	447.82	796.86	500.46	785.88	620.67	420.68	616.37	808.0	967.76	490.14	325.29	802.41	616.37	1397.83	490.14	417.77	384.34	511.0	483.38	688.78	1096.5	647.07	384.34	1015.93	551.56	872.1	500.46	1159.07	480.04	1088.92	733.19	409.15	373.81	728.11	1350.18	543.96	941.27	941.27	638.15	493.56	624.99	336.79	303.44	688.78	679.29	450.94	514.56	1340.84	718.08	441.64	500.46	753.83	1096.5	830.75	1167.14	400.71	921.88	599.49	309.83	703.28	563.18	703.28	651.58	511.0	669.92	785.88	743.43	684.02	384.34	791.35	381.68	647.07	314.17	775.05	486.75	540.19	679.29	559.28	591.22	688.78	438.59	579.04	518.15	540.19	674.59	775.05	607.87	728.11	525.39	599.49	543.96	371.22	679.29	890.44	1794.29
PEX3	656.11	836.53	616.37	1088.92	698.41	384.34	703.28	1015.93	941.27	684.02	660.68	547.75	258.57	447.82	665.29	228.13	193.01	232.94	366.09	420.68	518.15	463.65	211.31	368.65	119.26	444.72	206.94	295.11	189.02	271.48	406.31	164.42	191.67	239.52	536.45	409.15	229.72	158.79	154.42	264.03	267.73	285.03	842.36	209.84	120.94	293.07	269.6	476.71	150.17	693.58	150.17	563.18	529.06	143.01	176.29	314.17	387.02	165.57	591.22	591.22	409.15	161.02	660.68	157.68	127.0	406.31	819.3	157.68	320.8	309.83	320.8	117.6	120.94	607.87	669.92	205.5	361.04	189.02	490.14	209.84	126.12	466.88	183.82	435.55	483.38	281.09	688.78	674.59	698.41	435.55	253.23	426.57	253.23	447.82	651.58	785.88	591.22	406.31	629.35	432.53	287.01	540.19	295.11	348.71	395.18	547.75	400.71	591.22	454.09	145.02	316.37	262.2	412.0	258.57	629.35	708.18	928.3
PGM3	2384.37	444.72	848.22	379.04	463.65	325.29	483.38	429.54	759.08	379.04	540.19	327.56	480.04	638.15	323.03	457.25	150.17	146.03	607.87	684.02	563.18	403.5	435.55	674.59	158.79	819.3	275.28	497.0	212.78	366.09	490.14	116.78	113.56	249.73	555.41	1870.53	1135.2	305.55	88.26	291.04	175.07	414.87	660.68	500.46	271.48	669.92	186.4	209.84	169.07	995.0	325.29	1709.26	559.28	181.28	293.07	559.28	669.92	116.78	583.07	679.29	503.95	224.97	279.14	176.29	208.38	220.32	921.88	215.77	231.32	470.14	371.22	414.87	228.13	723.08	490.14	356.05	271.48	397.93	775.05	346.29	273.37	629.35	173.85	361.04	836.53	332.14	733.19	748.61	647.07	633.73	305.55	249.73	669.92	242.88	176.29	361.04	1023.0	275.28	281.09	361.04	314.17	361.04	493.56	387.02	154.42	483.38	223.41	361.04	231.32	599.49	432.53	470.14	215.77	264.03	860.08	486.75	1844.76
PHACTR2	186.4	129.69	642.59	387.02	457.25	105.15	117.6	603.67	441.64	149.12	551.56	226.54	314.17	180.02	208.38	64.34	23.59	37.59	51.71	189.02	158.79	154.42	46.84	54.72	21.16	113.56	52.08	22.43	36.53	64.8	69.52	55.49	9.48	234.57	106.63	258.57	85.22	40.93	34.75	47.17	82.87	45.53	157.68	34.26	15.34	151.22	40.07	78.89	24.63	170.25	33.54	241.19	115.16	125.24	45.85	51.71	112.77	30.34	162.14	258.57	33.54	33.3	47.84	19.39	25.35	61.68	164.42	85.82	27.84	117.6	48.87	41.22	10.63	226.54	255.0	34.26	41.81	25.35	108.9	14.89	11.47	32.36	47.84	77.79	116.78	20.56	147.06	137.14	206.94	137.14	92.05	42.11	70.51	43.94	57.08	63.45	105.15	33.54	87.65	45.53	60.82	37.85	142.01	103.69	63.0	56.28	50.63	127.89	65.26	96.01	126.12	159.9	114.36	141.02	98.73	100.13	1268.46
PHF10	1350.18	1583.71	1896.65	2061.24	2193.99	860.08	764.36	624.99	1135.2	603.67	1417.35	785.88	813.63	909.17	753.83	289.02	323.03	283.05	769.69	825.0	483.38	612.11	444.72	928.3	56.68	638.15	353.59	414.87	363.56	1119.56	642.59	387.02	368.65	603.67	620.67	866.07	346.29	353.59	269.6	567.1	361.04	620.67	1427.22	769.69	353.59	802.41	323.03	551.56	239.52	733.19	518.15	1870.53	688.78	297.17	277.2	656.11	890.44	397.93	988.12	954.43	660.68	271.48	486.75	346.29	417.77	381.68	603.67	102.25	293.07	934.76	665.29	363.56	316.37	813.63	854.13	543.96	860.08	301.33	878.17	356.05	423.61	854.13	218.79	532.74	620.67	409.15	813.63	684.02	638.15	660.68	1508.65	460.44	718.08	698.41	684.02	1037.29	738.29	316.37	825.0	518.15	1313.23	780.44	748.61	723.08	878.17	813.63	941.27	620.67	336.79	854.13	738.29	583.07	567.1	406.31	249.73	802.41	1225.22
PHIP	463.65	204.07	620.67	780.44	389.72	84.04	64.8	62.12	511.0	137.14	540.19	204.07	156.59	307.69	165.57	56.68	33.3	44.89	101.54	90.77	59.55	51.71	55.89	78.34	45.53	82.87	36.27	117.6	37.59	98.73	78.89	43.94	22.26	100.13	47.84	173.85	73.54	30.78	49.21	66.18	44.25	80.01	77.79	51.71	78.34	105.15	31.0	73.54	20.41	140.04	27.25	316.37	66.65	23.42	43.94	87.03	92.7	43.94	112.77	88.88	56.28	25.72	41.22	22.59	39.79	46.84	93.35	31.67	44.89	129.69	85.82	55.1	65.72	166.73	106.63	38.4	41.81	57.08	103.69	33.3	70.51	129.69	24.81	43.63	50.63	9.63	65.26	51.71	76.71	120.1	77.79	24.11	191.67	40.07	71.0	82.87	93.35	24.28	55.89	40.64	87.03	22.92	53.19	115.16	67.12	28.45	98.73	78.34	32.13	62.12	78.89	54.72	55.1	14.45	36.27	41.81	830.75
PIK3C2A	447.82	248.0	791.35	1143.1	759.08	181.28	180.02	466.88	708.18	551.56	1159.07	624.99	403.5	444.72	607.87	113.56	115.97	177.53	164.42	205.5	205.5	80.57	96.01	132.44	125.24	193.01	109.66	94.67	139.07	108.9	86.43	165.57	54.33	199.85	124.37	363.56	181.28	218.79	161.02	93.35	153.34	208.38	264.03	126.12	117.6	156.59	120.1	118.43	46.5	255.0	54.33	256.78	181.28	62.12	120.1	167.9	175.07	78.89	224.97	305.55	90.14	93.35	130.6	58.71	142.01	80.57	363.56	90.77	124.37	116.78	232.94	107.38	116.78	395.18	493.56	104.42	97.36	80.01	262.2	100.13	146.03	193.01	79.45	94.01	148.09	23.93	154.42	181.28	175.07	127.89	81.14	56.68	190.34	58.3	95.34	185.11	154.42	84.04	177.53	53.95	115.16	94.01	171.45	127.89	97.36	86.43	127.0	194.36	75.64	111.99	108.9	122.64	140.04	77.79	92.05	205.5	1487.87
PIKFYVE	224.97	106.63	343.89	329.84	197.09	105.15	116.78	152.28	229.72	191.67	287.01	211.31	144.01	138.1	237.86	67.59	58.3	107.38	81.71	88.26	131.51	51.71	56.68	96.01	58.3	81.71	46.18	69.52	69.03	114.36	59.55	102.97	42.41	140.04	74.58	208.38	103.69	108.14	102.25	52.45	84.04	115.97	78.34	68.55	59.97	92.7	55.1	84.04	27.84	105.15	42.41	194.36	99.43	35.25	76.71	94.67	100.83	48.52	156.59	124.37	36.79	44.57	77.79	39.79	91.41	50.63	186.4	38.67	68.07	84.63	112.77	60.82	67.12	175.07	100.13	46.5	96.01	40.36	114.36	71.5	80.57	55.89	34.26	59.97	87.03	28.86	88.26	108.9	114.36	85.82	61.25	53.95	84.63	66.65	71.0	102.97	96.68	54.72	85.82	47.5	81.71	38.12	97.36	89.51	69.52	75.11	134.3	74.58	73.54	78.89	57.89	52.08	98.73	26.47	44.57	82.29	500.46
PLAGL1	125.24	139.07	813.63	813.63	277.2	54.72	28.04	143.01	490.14	177.53	279.14	172.65	473.41	551.56	231.32	10.16	7.75	13.12	11.13	39.5	11.13	59.13	4.54	88.26	7.11	63.45	25.91	25.54	10.71	343.89	20.11	10.47	6.89	271.48	58.3	281.09	161.02	13.62	18.84	75.64	24.46	15.45	87.03	14.14	14.24	12.09	11.91	23.93	4.7	37.05	4.21	100.83	34.02	10.39	10.47	26.1	172.65	13.03	14.78	214.27	28.86	7.28	11.13	4.98	19.11	11.73	20.56	10.55	22.75	53.95	24.11	15.0	7.82	279.14	161.02	31.0	10.47	17.0	71.0	4.86	8.45	12.74	25.17	45.21	27.44	12.36	26.67	35.5	38.4	244.57	20.56	13.42	66.65	33.06	23.25	65.26	36.01	20.56	42.11	33.78	108.9	4.9	17.51	44.25	41.81	22.1	101.54	49.21	22.59	127.89	22.1	39.22	35.76	5.63	48.87	10.47	273.37
PPIL4	878.17	579.04	669.92	1295.13	1143.1	371.22	318.57	457.25	525.39	435.55	1143.1	420.68	384.34	684.02	373.81	116.78	94.01	118.43	183.82	307.69	218.79	173.85	101.54	208.38	130.6	244.57	113.56	144.01	86.43	197.09	202.66	130.6	104.42	293.07	244.57	341.51	206.94	115.97	138.1	130.6	147.06	271.48	297.17	169.07	108.9	155.5	97.36	199.85	84.63	303.44	88.26	463.65	224.97	111.21	125.24	223.41	277.2	173.85	251.48	348.71	236.21	117.6	190.34	98.04	84.04	141.02	237.86	107.38	127.89	262.2	234.57	115.97	183.82	348.71	389.72	104.42	231.32	132.44	336.79	169.07	148.09	180.02	138.1	275.28	232.94	43.32	223.41	215.77	239.52	295.11	256.78	239.52	466.88	204.07	348.71	194.36	346.29	220.32	224.97	228.13	384.34	126.12	258.57	543.96	242.88	161.02	351.14	223.41	251.48	209.84	249.73	397.93	432.53	211.31	236.21	105.89	830.75
