	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.6939.11A.01R.1915.07	GTEX.QDVN.1626.SM.48TZC	GTEX.P4QS.1126.SM.3NMD5	TCGA.B2.5639.01A.01R.1541.07	TCGA.CZ.5470.01A.01R.1503.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.B0.5701.01A.11R.1541.07	TCGA.CZ.4859.01A.02R.1426.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.DW.7841.01A.11R.A32Z.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.A57E.01A.11R.A26U.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.BQ.5893.01A.11R.1592.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.IA.A83W.01A.11R.A355.07	TCGA.UZ.A9PU.01A.11R.A42S.07	TCGA.EV.5902.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.BQ.5890.01A.11R.1592.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SN.01A.11R.A355.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.DW.5561.01A.01R.1592.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.F9.A8NY.01A.11R.A36F.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.5P.A9K0.01A.11R.A42S.07	TCGA.5P.A9KA.01A.11R.A42S.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.A4.7584.01A.11R.2139.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.2Z.A9JL.01A.11R.A42S.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.AL.3466.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.B3.4103.01A.02R.1351.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.AL.3468.01A.02R.1351.07	TCGA.AT.A5NU.01A.11R.A28H.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.SX.A71W.01A.12R.A355.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.MH.A55W.01A.11R.A26U.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.UZ.A9PX.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.B9.A8YH.01A.11R.A37K.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.B9.4113.01A.01R.1193.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.UZ.A9PS.01A.11R.A42S.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.2Z.A9JM.01A.12R.A42S.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.A4.A4ZT.01A.11R.A26U.07	TCGA.5P.A9K6.01A.11R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	GTEX.1399T.0126.SM.5KM15	GTEX.OXRO.1226.SM.48TDL	GTEX.132AR.1526.SM.5KM1L
LY6G5B	31.67	43.94	98.04	32.13	61.68	16.75	14.78	20.26	15.68	22.26	70.01	24.46	31.9	204.07	15.68	7.63	16.27	40.36	368.65	21.32	251.48	42.71	169.07	70.51	89.51	10.55	24.28	358.54	115.16	88.88	438.59	38.95	206.94	191.67	189.02	60.39	171.45	129.69	38.67	48.87	148.09	143.01	679.29	343.89	80.01	376.41	26.47	52.08	98.04	88.88	92.7	30.12	51.71	28.45	183.82	180.02	248.0	236.21	211.31	358.54	96.68	309.83	15.56	78.89	26.67	271.48	43.94	13.32	176.29	151.22	353.59	55.1	111.21	199.85	532.74	172.65	30.56	265.87	307.69	26.86	33.3	351.14	244.57	29.06	26.28	82.87	21.63	5.32	575.03	141.02	154.42	66.65	145.02	63.0	79.45	7.94	30.56	148.09	35.5	53.57	11.55	12.64	7.11	86.43	12.74	85.22	279.14	291.04	63.0	256.78	297.17	379.04	511.0	164.42	140.04	76.17	21.78	3.96	13.52	115.97	11.04	173.85	16.03	50.27	68.07	58.71	161.02	158.79	112.77	37.59	28.45	234.57	24.63	76.71	199.85	0.18	47.17	66.18	23.76	55.1	84.04	36.79	42.11
MAATS1	5.5	9.56	16.39	5.54	18.56	9.7	23.42	32.36	51.71	120.1	78.89	59.55	37.59	260.38	38.67	63.0	112.77	90.14	332.14	70.51	256.78	100.13	195.72	78.89	187.71	75.64	159.9	366.09	65.72	152.28	327.56	76.17	234.57	289.02	373.81	170.25	167.9	145.02	206.94	221.86	178.77	283.05	1183.45	312.0	86.43	392.44	144.01	77.79	336.79	195.72	171.45	109.66	109.66	57.89	123.5	205.5	202.66	111.99	265.87	316.37	111.99	208.38	40.07	178.77	73.03	490.14	111.21	86.43	198.47	197.09	314.17	84.04	518.15	163.28	281.09	253.23	60.39	343.89	293.07	26.67	88.88	483.38	214.27	47.5	127.0	177.53	67.59	81.71	356.05	116.78	392.44	145.02	176.29	125.24	144.01	13.12	26.86	159.9	45.21	80.01	53.19	37.32	38.95	136.19	112.77	199.85	281.09	190.34	123.5	312.0	241.19	295.11	483.38	164.42	215.77	199.85	55.89	19.25	70.01	260.38	27.05	156.59	111.21	157.68	55.49	107.38	205.5	242.88	96.01	161.02	66.65	373.81	57.08	93.35	206.94	1.43	9.56	7.46	26.67	12.27	470.14	159.9	48.52
MAMDC4	23.08	126.12	22.1	31.22	25.72	19.39	19.39	92.05	64.34	58.71	193.01	23.25	35.0	105.15	12.27	21.94	29.27	16.03	693.58	32.59	215.77	36.01	118.43	102.25	102.25	20.56	83.45	358.54	43.02	120.1	460.44	9.78	392.44	412.0	429.54	291.04	291.04	217.27	26.86	57.49	262.2	277.2	406.31	197.09	39.22	921.88	71.5	164.42	166.73	83.45	156.59	71.0	53.95	32.82	116.78	189.02	166.73	244.57	189.02	155.5	56.28	457.25	17.77	167.9	66.65	73.03	176.29	18.97	264.03	170.25	275.28	109.66	133.36	151.22	450.94	361.04	31.22	231.32	563.18	17.51	57.89	220.32	327.56	32.59	39.22	69.52	54.33	14.78	303.44	100.13	305.55	111.21	142.01	144.01	265.87	10.79	29.91	164.42	19.53	51.35	18.84	13.83	19.25	102.25	48.18	63.45	199.85	503.95	62.12	220.32	281.09	470.14	303.44	260.38	101.54	532.74	34.51	6.52	19.53	194.36	22.26	94.01	72.52	21.16	93.35	176.29	256.78	189.02	118.43	82.87	21.78	384.34	67.12	62.12	236.21	1.79	29.48	11.64	74.06	25.54	277.2	612.11	165.57
MAN2C1	928.3	543.96	2591.27	896.64	1015.93	1001.93	884.29	866.07	575.03	571.05	860.08	1151.06	748.61	2591.27	688.78	1066.48	961.07	1030.12	3901.01	1529.73	4388.98	1397.83	1242.34	2664.15	1651.0	848.22	753.83	4869.99	2758.13	1628.26	3235.01	412.0	2915.45	4181.07	3928.15	1769.57	3639.7	1991.0	1561.89	718.08	2384.37	2520.38	3467.27	4123.49	1417.35	3467.27	1159.07	1233.75	1870.53	1870.53	2209.26	1769.57	2417.67	1183.45	2451.44	3081.75	2434.5	2915.45	2384.37	4869.99	1757.34	3955.48	1322.37	3039.3	896.64	2573.36	1651.0	878.17	2796.65	1561.89	2609.3	1844.76	2119.22	3515.68	6381.92	1991.0	1216.75	3564.78	2720.15	1487.87	1709.26	4239.45	3372.43	1304.15	1233.75	2485.67	1331.57	1088.92	5006.93	1135.2	1277.29	1540.37	1991.0	1175.27	1883.54	616.37	1304.15	2075.59	1508.65	1832.01	995.0	1151.06	836.53	2855.44	1127.35	1378.57	4419.52	4671.57	1498.22	3443.31	2720.15	3716.2	6207.38	3235.01	1794.29	2758.13	1216.75	543.96	703.28	2502.97	651.58	2520.38	947.83	896.64	2664.15	1417.35	2935.74	2895.31	1769.57	1340.84	1628.26	3235.01	1605.83	1540.37	2520.38	229.72	1605.83	1259.69	679.29	813.63	3325.99	2739.08	1487.87
MAPK8IP3	178.77	191.67	218.79	234.57	361.04	273.37	371.22	96.01	90.77	197.09	224.97	473.41	373.81	947.83	105.15	164.42	144.01	273.37	1883.54	177.53	1001.93	438.59	638.15	633.73	384.34	165.57	848.22	988.12	902.89	819.3	1977.24	305.55	1594.73	1819.35	1594.73	909.17	1059.11	518.15	271.48	612.11	854.13	1183.45	1447.15	1350.18	256.78	2335.28	629.35	819.3	718.08	1119.56	693.58	332.14	500.46	183.82	988.12	1519.15	1378.57	813.63	1191.69	1806.78	518.15	1583.71	208.38	511.0	182.55	1769.57	403.5	146.03	974.5	1044.52	1066.48	486.75	1378.57	1242.34	2104.58	656.11	191.67	1322.37	1674.06	215.77	255.0	1359.57	1143.1	201.25	291.04	1143.1	283.05	152.28	1870.53	511.0	1437.15	463.65	878.17	493.56	688.78	126.12	189.02	775.05	186.4	450.94	120.1	117.6	158.79	551.56	429.54	447.82	1407.55	967.76	830.75	890.44	1427.22	836.53	3039.3	1191.69	1127.35	1487.87	164.42	209.84	246.28	802.41	112.77	486.75	277.2	291.04	483.38	325.29	1216.75	1073.91	503.95	279.14	339.14	1304.15	447.82	395.18	961.07	23.93	312.0	295.11	329.84	231.32	915.51	679.29	928.3
MC1R	4.35	20.41	25.91	12.64	21.16	15.11	14.56	36.79	12.45	14.89	34.26	20.26	24.81	81.14	27.05	18.16	23.08	22.92	825.0	40.64	129.69	68.07	119.26	11.13	78.89	21.78	309.83	204.07	94.67	105.15	583.07	34.51	327.56	363.56	529.06	476.71	301.33	176.29	72.52	232.94	223.41	371.22	271.48	209.84	57.49	1143.1	128.79	647.07	209.84	256.78	165.57	31.67	195.72	65.26	116.78	205.5	199.85	241.19	101.54	309.83	95.34	281.09	23.25	90.14	63.45	271.48	56.68	21.47	158.79	244.57	454.09	141.02	612.11	164.42	612.11	109.66	22.43	95.34	651.58	54.33	108.9	99.43	287.01	8.78	43.02	197.09	97.36	38.4	414.87	181.28	316.37	158.79	320.8	84.63	121.79	38.12	36.79	265.87	115.16	66.18	18.29	28.04	62.12	59.13	144.01	80.57	279.14	181.28	27.84	262.2	258.57	400.71	206.94	202.66	101.54	363.56	55.1	46.18	31.67	183.82	13.93	67.59	22.43	59.13	103.69	87.03	277.2	98.04	103.69	93.35	86.43	476.71	73.54	67.59	251.48	2.12	33.3	12.83	12.55	22.43	320.8	536.45	117.6
METTL17	651.58	521.76	567.1	629.35	759.08	521.76	656.11	775.05	466.88	384.34	620.67	1685.71	775.05	780.44	813.63	476.71	555.41	518.15	1457.23	813.63	1617.0	988.12	791.35	1437.15	1508.65	941.27	819.3	1519.15	1044.52	947.83	1268.46	647.07	1561.89	1662.49	1259.69	1286.18	1427.22	1417.35	854.13	540.19	1104.13	1167.14	2502.97	1417.35	1304.15	1427.22	679.29	967.76	1233.75	1001.93	902.89	703.28	896.64	819.3	1437.15	1397.83	607.87	1407.55	848.22	1628.26	848.22	1427.22	684.02	1427.22	802.41	1388.16	514.56	423.61	1111.82	934.76	1277.29	1183.45	981.29	1745.2	1844.76	1191.69	403.5	1437.15	1250.98	836.53	954.43	1806.78	1769.57	1088.92	669.92	1073.91	1051.79	525.39	1628.26	543.96	616.37	830.75	1340.84	511.0	934.76	748.61	928.3	1340.84	1037.29	1096.5	785.88	1151.06	612.11	1378.57	599.49	934.76	1151.06	1313.23	884.29	1388.16	1628.26	1883.54	1417.35	1397.83	1378.57	1467.37	1015.93	599.49	669.92	1340.84	802.41	1295.13	825.0	753.83	1359.57	1096.5	1104.13	1304.15	1277.29	915.51	981.29	1697.45	1225.22	1295.13	1015.93	224.97	665.29	660.68	406.31	612.11	1467.37	872.1	1119.56
MOK	57.49	226.54	275.28	156.59	37.85	71.0	79.45	215.77	221.86	180.02	223.41	145.02	166.73	215.77	109.66	180.02	211.31	194.36	878.17	289.02	395.18	353.59	441.64	417.77	575.03	163.28	303.44	567.1	447.82	361.04	796.86	356.05	651.58	651.58	674.59	500.46	616.37	480.04	397.93	371.22	603.67	559.28	1242.34	620.67	264.03	753.83	346.29	325.29	532.74	500.46	470.14	267.73	500.46	246.28	441.64	559.28	105.89	379.04	287.01	698.41	323.03	441.64	173.85	429.54	256.78	780.44	320.8	78.34	463.65	647.07	454.09	503.95	466.88	536.45	1044.52	486.75	205.5	525.39	866.07	202.66	406.31	703.28	860.08	186.4	249.73	447.82	215.77	258.57	775.05	220.32	457.25	392.44	660.68	316.37	587.13	158.79	206.94	591.22	172.65	237.86	102.97	208.38	226.54	397.93	299.25	323.03	802.41	665.29	387.02	567.1	642.59	808.0	454.09	366.09	423.61	954.43	244.57	129.69	218.79	583.07	166.73	332.14	242.88	183.82	325.29	406.31	567.1	457.25	387.02	400.71	307.69	769.69	242.88	283.05	743.43	15.68	79.45	95.34	48.52	90.77	796.86	981.29	420.68
MSANTD2	52.45	110.43	119.26	55.49	53.19	57.89	47.17	57.49	76.17	84.04	92.7	56.28	98.04	185.11	47.5	121.79	69.03	112.77	327.56	85.82	206.94	66.18	202.66	242.88	103.69	25.91	103.69	325.29	137.14	111.21	312.0	105.15	248.0	327.56	285.03	237.86	187.71	130.6	45.21	194.36	186.4	191.67	532.74	281.09	69.03	395.18	68.55	89.51	148.09	161.02	217.27	48.87	51.35	50.27	155.5	226.54	115.16	130.6	130.6	297.17	86.43	273.37	37.59	136.19	51.71	454.09	122.64	43.94	145.02	132.44	253.23	96.68	403.5	180.02	438.59	150.17	67.59	244.57	325.29	44.25	84.63	248.0	242.88	57.49	52.45	140.04	48.52	41.81	303.44	134.3	193.01	120.94	218.79	111.21	166.73	23.25	53.19	176.29	58.3	86.43	58.3	37.85	59.13	146.03	61.68	88.88	303.44	198.47	133.36	215.77	185.11	389.72	368.65	144.01	149.12	281.09	60.39	54.72	52.45	180.02	66.65	158.79	58.71	57.89	81.71	98.73	275.28	161.02	127.0	92.05	42.41	277.2	85.22	88.88	289.02	15.91	70.51	61.68	53.19	49.21	297.17	529.06	559.28
MUM1	193.01	1781.89	536.45	165.57	348.71	356.05	409.15	220.32	258.57	420.68	332.14	104.42	366.09	438.59	156.59	260.38	229.72	420.68	974.5	373.81	759.08	336.79	412.0	285.03	684.02	169.07	309.83	872.1	318.57	518.15	1037.29	297.17	954.43	1286.18	808.0	693.58	1008.9	579.04	145.02	351.14	656.11	688.78	1350.18	1023.0	149.12	1015.93	356.05	341.51	500.46	679.29	698.41	154.42	323.03	193.01	353.59	1322.37	454.09	341.51	392.44	1304.15	336.79	571.05	229.72	624.99	264.03	363.56	444.72	197.09	563.18	536.45	884.29	348.71	796.86	555.41	1508.65	780.44	205.5	684.02	1104.13	246.28	279.14	995.0	1015.93	273.37	271.48	551.56	212.78	189.02	1059.11	343.89	579.04	353.59	693.58	366.09	423.61	229.72	180.02	708.18	164.42	320.8	186.4	293.07	295.11	454.09	307.69	297.17	1313.23	813.63	353.59	825.0	791.35	1199.98	830.75	397.93	341.51	775.05	248.0	115.97	297.17	599.49	190.34	679.29	108.14	273.37	438.59	283.05	1295.13	583.07	366.09	212.78	173.85	679.29	221.86	299.25	928.3	108.9	277.2	356.05	409.15	312.0	603.67	2485.67	7749.1
NADSYN1	138.1	684.02	414.87	555.41	791.35	237.86	339.14	638.15	417.77	536.45	638.15	708.18	896.64	1259.69	854.13	995.0	629.35	733.19	1721.16	1023.0	967.76	872.1	872.1	1508.65	884.29	738.29	1477.58	1208.34	674.59	981.29	1844.76	698.41	1073.91	1651.0	1572.76	928.3	1540.37	1066.48	819.3	1359.57	995.0	1639.59	1781.89	1096.5	769.69	2148.82	860.08	1359.57	915.51	854.13	1030.12	624.99	688.78	890.44	1250.98	988.12	1498.22	1127.35	1051.79	1225.22	961.07	1407.55	1088.92	1023.0	470.14	1709.26	1015.93	616.37	1119.56	1216.75	1331.57	1111.82	2224.63	1359.57	1769.57	915.51	848.22	1051.79	1259.69	842.36	941.27	1529.73	1487.87	1051.79	909.17	1277.29	1088.92	995.0	1991.0	1322.37	995.0	941.27	1127.35	878.17	854.13	934.76	718.08	1268.46	490.14	1015.93	703.28	555.41	713.11	1417.35	1159.07	941.27	1037.29	1322.37	967.76	1023.0	1540.37	1104.13	2224.63	1896.65	1350.18	1286.18	796.86	447.82	947.83	1199.98	514.56	1081.39	836.53	769.69	934.76	698.41	1216.75	1111.82	1104.13	1199.98	718.08	1697.45	854.13	785.88	988.12	406.31	616.37	583.07	836.53	417.77	1088.92	1023.0	1781.89
NEIL1	91.41	115.16	156.59	70.01	127.0	153.34	169.07	194.36	181.28	26.28	41.52	206.94	76.17	559.28	33.3	63.45	84.63	204.07	1104.13	208.38	629.35	176.29	307.69	379.04	363.56	156.59	209.84	896.64	341.51	299.25	808.0	151.22	624.99	775.05	842.36	470.14	769.69	389.72	22.75	172.65	473.41	575.03	872.1	684.02	35.76	1044.52	228.13	275.28	397.93	507.46	559.28	68.55	255.0	154.42	500.46	708.18	638.15	532.74	406.31	967.76	191.67	656.11	151.22	371.22	199.85	269.6	301.33	97.36	463.65	483.38	587.13	237.86	379.04	723.08	1417.35	392.44	105.15	660.68	638.15	102.25	255.0	890.44	1088.92	234.57	119.26	620.67	206.94	85.82	884.29	206.94	205.5	309.83	718.08	215.77	450.94	66.65	176.29	612.11	75.64	256.78	90.14	221.86	56.28	503.95	189.02	218.79	728.11	759.08	309.83	866.07	688.78	1008.9	1096.5	669.92	525.39	825.0	211.31	25.54	84.04	444.72	177.53	368.65	116.78	136.19	323.03	224.97	616.37	466.88	299.25	221.86	173.85	1001.93	119.26	358.54	633.73	6.52	59.55	121.79	129.69	74.58	620.67	540.19	693.58
NEK8	8.58	48.18	24.11	16.63	33.3	22.26	40.93	232.94	92.7	62.12	71.5	98.73	72.52	140.04	148.09	77.25	73.03	86.43	493.56	139.07	303.44	246.28	325.29	325.29	208.38	155.5	149.12	351.14	157.68	237.86	341.51	236.21	358.54	232.94	312.0	156.59	343.89	241.19	151.22	260.38	191.67	297.17	403.5	438.59	190.34	457.25	167.9	327.56	189.02	228.13	307.69	186.4	239.52	244.57	242.88	137.14	120.94	287.01	251.48	218.79	293.07	387.02	120.1	205.5	209.84	211.31	128.79	71.5	279.14	236.21	366.09	277.2	212.78	249.73	500.46	239.52	87.65	262.2	426.57	148.09	234.57	323.03	299.25	44.89	205.5	231.32	147.06	164.42	323.03	116.78	197.09	277.2	232.94	151.22	301.33	102.25	115.16	248.0	171.45	260.38	71.0	84.04	137.14	161.02	212.78	246.28	283.05	395.18	152.28	353.59	336.79	503.95	293.07	249.73	180.02	191.67	111.21	70.01	127.0	289.02	106.63	289.02	98.04	148.09	139.07	262.2	293.07	291.04	255.0	373.81	202.66	429.54	229.72	206.94	312.0	20.71	38.67	36.01	35.25	30.34	371.22	185.11	163.28
NEURL4	217.27	191.67	232.94	185.11	275.28	295.11	273.37	379.04	366.09	120.94	186.4	244.57	99.43	373.81	122.64	144.01	113.56	171.45	764.36	283.05	665.29	525.39	406.31	258.57	551.56	343.89	316.37	890.44	316.37	525.39	830.75	258.57	743.43	432.53	708.18	368.65	718.08	591.22	249.73	267.73	381.68	607.87	688.78	764.36	234.57	981.29	289.02	379.04	466.88	490.14	507.46	156.59	307.69	392.44	669.92	514.56	361.04	571.05	507.46	624.99	656.11	759.08	165.57	595.34	403.5	343.89	220.32	193.01	543.96	529.06	693.58	536.45	543.96	860.08	1008.9	460.44	201.25	825.0	665.29	392.44	480.04	738.29	902.89	361.04	397.93	579.04	318.57	447.82	791.35	271.48	441.64	329.84	603.67	332.14	486.75	221.86	271.48	607.87	234.57	529.06	190.34	231.32	244.57	406.31	301.33	368.65	718.08	802.41	285.03	738.29	698.41	723.08	536.45	656.11	575.03	470.14	211.31	108.9	262.2	620.67	214.27	674.59	157.68	204.07	258.57	463.65	587.13	612.11	483.38	470.14	291.04	713.11	269.6	392.44	603.67	57.89	285.03	248.0	253.23	269.6	529.06	480.04	543.96
NKTR	211.31	295.11	450.94	98.04	218.79	146.03	109.66	94.67	120.94	121.79	195.72	312.0	139.07	620.67	90.14	129.69	64.8	128.79	813.63	119.26	624.99	249.73	780.44	161.02	151.22	86.43	232.94	684.02	343.89	503.95	1407.55	201.25	500.46	825.0	813.63	575.03	406.31	217.27	157.68	397.93	429.54	490.14	2193.99	974.5	99.43	1447.15	199.85	198.47	373.81	339.14	536.45	176.29	151.22	52.08	503.95	703.28	447.82	447.82	423.61	1001.93	368.65	890.44	42.71	376.41	158.79	928.3	183.82	118.43	854.13	503.95	1159.07	229.72	791.35	642.59	1183.45	503.95	239.52	1388.16	796.86	43.32	228.13	941.27	595.34	162.14	253.23	358.54	201.25	127.0	928.3	353.59	583.07	246.28	368.65	194.36	239.52	14.14	155.5	368.65	156.59	152.28	95.34	111.99	41.81	248.0	170.25	241.19	842.36	587.13	400.71	902.89	555.41	551.56	1359.57	555.41	728.11	559.28	130.6	74.58	129.69	435.55	140.04	371.22	260.38	208.38	148.09	202.66	607.87	547.75	289.02	130.6	80.01	796.86	143.01	255.0	540.19	22.75	132.44	226.54	208.38	180.02	1081.39	279.14	409.15
NPHP3	91.41	152.28	221.86	61.25	82.29	96.01	65.26	58.71	72.52	116.78	139.07	62.12	105.15	198.47	108.9	116.78	55.49	124.37	392.44	68.07	148.09	128.79	199.85	95.34	80.57	42.71	125.24	190.34	147.06	145.02	441.64	71.5	241.19	218.79	320.8	142.01	149.12	91.41	100.83	148.09	163.28	251.48	483.38	293.07	88.88	327.56	72.01	143.01	149.12	101.54	201.25	78.34	88.88	49.56	140.04	237.86	223.41	147.06	167.9	269.6	126.12	289.02	36.01	130.6	101.54	265.87	78.89	102.97	303.44	237.86	361.04	110.43	275.28	198.47	387.02	246.28	98.04	312.0	353.59	35.25	104.42	327.56	197.09	46.5	85.22	205.5	72.01	48.87	389.72	144.01	182.55	147.06	181.28	115.16	120.1	20.41	46.84	212.78	105.15	59.97	47.84	82.87	47.5	137.14	51.71	125.24	316.37	204.07	106.63	226.54	242.88	320.8	341.51	246.28	312.0	172.65	79.45	54.72	59.13	231.32	88.26	143.01	70.51	103.69	93.35	86.43	239.52	267.73	94.67	79.45	48.52	258.57	144.01	89.51	248.0	22.26	103.69	71.0	135.24	100.13	403.5	312.0	346.29
NRBP2	88.88	139.07	384.34	87.03	142.01	163.28	176.29	1037.29	579.04	497.0	246.28	759.08	591.22	1081.39	148.09	571.05	285.03	1015.93	2224.63	540.19	896.64	551.56	848.22	612.11	616.37	551.56	928.3	1733.13	713.11	819.3	2119.22	656.11	2018.8	1143.1	1963.57	2163.77	1378.57	555.41	417.77	718.08	703.28	981.29	3716.2	830.75	518.15	2573.36	698.41	3146.52	480.04	1540.37	1143.1	878.17	490.14	334.46	1199.98	954.43	1096.5	1208.34	1277.29	1259.69	423.61	1721.16	674.59	1030.12	1183.45	1896.65	1427.22	521.76	2004.85	1216.75	2090.03	961.07	1628.26	1508.65	3280.18	733.19	406.31	2075.59	1685.71	420.68	896.64	1819.35	1651.0	423.61	583.07	1191.69	281.09	571.05	3515.68	884.29	1806.78	1001.93	947.83	890.44	941.27	291.04	273.37	1111.82	161.02	825.0	620.67	703.28	848.22	551.56	1199.98	532.74	1277.29	1519.15	483.38	1397.83	2335.28	1857.6	753.83	866.07	1001.93	4181.07	366.09	384.34	457.25	802.41	246.28	854.13	366.09	559.28	403.5	660.68	1369.04	1183.45	775.05	460.44	525.39	2573.36	395.18	607.87	2148.82	20.26	269.6	169.07	217.27	194.36	543.96	161.02	106.63
