	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OJ.11A.12R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11UD2.1526.SM.5EQLQ	GTEX.11O72.2026.SM.5N9G8	GTEX.WH7G.0926.SM.4LVMJ	GTEX.14DAQ.1426.SM.5RQJD	GTEX.XQ8I.1526.SM.4BOOH	GTEX.XBEW.1326.SM.4AT63	GTEX.11GSP.1726.SM.5A5LI	GTEX.13YAN.2026.SM.5Q5EY	GTEX.11ONC.1426.SM.5N9F4	GTEX.13PVQ.1826.SM.5L3GU	GTEX.13OW6.1426.SM.5L3EU	GTEX.113JC.0926.SM.5H114	TCGA.CV.7103.11A.01R.2016.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
MED18	366.09	293.07	291.04	392.44	164.42	299.25	63.45	82.29	107.38	329.84	157.68	297.17	353.59	65.72	134.3	64.34	65.72	90.77	69.03	389.72	759.08	291.04	264.03	473.41	457.25	642.59	599.49
MEMO1	934.76	1199.98	1242.34	1529.73	638.15	1331.57	438.59	273.37	356.05	866.07	802.41	854.13	1051.79	287.01	387.02	356.05	361.04	454.09	406.31	1183.45	1991.0	1605.83	1023.0	1208.34	1322.37	1350.18	1674.06
MMAB	1769.57	909.17	915.51	995.0	665.29	1175.27	587.13	332.14	525.39	1191.69	1104.13	1008.9	1088.92	525.39	547.75	555.41	389.72	660.68	307.69	1322.37	1844.76	1769.57	703.28	1295.13	947.83	2047.0	1437.15
MMADHC	2384.37	1963.57	2178.83	2303.12	1745.2	2351.53	854.13	713.11	954.43	2178.83	1551.09	1674.06	2047.0	830.75	1199.98	872.1	1111.82	1073.91	909.17	2384.37	5041.77	3280.18	1832.01	2664.15	2816.11	3081.75	4066.71
MRPL19	796.86	483.38	529.06	351.14	490.14	438.59	236.21	212.78	198.47	595.34	392.44	381.68	543.96	218.79	271.48	226.54	232.94	327.56	226.54	941.27	2075.59	1183.45	934.76	1135.2	728.11	848.22	708.18
MRPL27	1870.53	1350.18	1268.46	1447.15	1844.76	1508.65	1427.22	866.07	1111.82	1757.34	1572.76	1769.57	2004.85	1088.92	1111.82	1268.46	1044.52	1583.71	656.11	2627.46	4095.0	3168.41	1870.53	2400.97	2240.11	2935.74	2209.26
MRPL37	2032.85	1923.14	1909.85	1651.0	1159.07	1883.54	708.18	616.37	915.51	1857.6	1286.18	1369.04	1819.35	733.19	733.19	785.88	743.43	995.0	579.04	2367.9	3325.99	2739.08	1857.6	2163.77	2468.49	2384.37	2816.11
MRPL52	3212.66	2555.58	3280.18	2645.74	2816.11	2591.27	1883.54	2271.4	2209.26	2816.11	2555.58	2875.3	2645.74	2004.85	1651.0	2303.12	1794.29	2178.83	1651.0	4298.64	6561.36	5633.22	4543.8	4543.8	5183.54	4123.49	6699.25
MRPS10	1477.58	1216.75	1350.18	1313.23	647.07	1015.93	336.79	332.14	329.84	896.64	860.08	866.07	1066.48	336.79	295.11	325.29	373.81	417.77	301.33	1037.29	2417.67	1883.54	1417.35	1331.57	1909.85	1963.57	2591.27
MYL12B	27174.14	13123.73	10659.59	15075.35	6935.54	14867.79	6079.61	4038.61	6337.83	14361.31	11112.3	13306.94	14663.09	6652.97	4419.52	6037.61	4066.71	5711.87	5329.3	15180.22	38164.99	26067.14	14561.8	21026.65	20310.37	23656.34	25005.23
NEDD8	7180.15	5147.73	5711.87	5255.91	3955.48	5112.16	3081.75	2816.11	3349.13	4512.4	4181.07	4575.41	3847.29	3564.78	2855.44	3325.99	2609.3	4358.66	2976.74	5791.62	9673.69	9945.68	4903.87	5831.91	8305.36	6381.92	10084.54
NHP2	4239.45	5831.91	4095.0	5006.93	2240.11	6079.61	1674.06	1781.89	2148.82	3325.99	3103.19	3280.18	3280.18	1794.29	1407.55	1781.89	2303.12	1857.6	1685.71	4328.55	7485.11	7589.61	5292.48	4358.66	6121.9	6887.62	8778.97
NOP10	9606.86	4736.79	5255.91	5183.54	2537.92	4869.99	1963.57	1572.76	2193.99	3768.09	3372.43	4123.49	4607.24	1883.54	1794.29	1819.35	1685.71	2367.9	1529.73	4769.75	12764.83	6935.54	9025.81	6935.54	7433.4	6121.9	7230.1
NRAS	633.73	309.83	480.04	400.71	249.73	242.88	171.45	165.57	151.22	441.64	417.77	323.03	403.5	186.4	178.77	116.78	178.77	136.19	159.9	525.39	1359.57	909.17	718.08	612.11	698.41	669.92	647.07
NSFL1C	3540.14	2816.11	2591.27	2434.5	1437.15	2434.5	1127.35	808.0	1191.69	2032.85	1832.01	1909.85	2209.26	1208.34	1051.79	1111.82	1030.12	1340.84	1023.0	2720.15	4298.64	4869.99	3467.27	3349.13	3955.48	3901.01	4298.64
