	TCGA.A7.A26I.01A.11R.A169.07.1	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5512.01A.01R.1580.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.J4.8198.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.KK.A59X.01A.11R.A29R.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.CH.5772.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.HC.8262.01A.11R.2263.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	TCGA.BK.A26L.01A.11R.A277.07
DUSP28	55.1	71.0	0.0	0.24	134.3	195.72	167.9	297.17	206.94	191.67	145.02	194.36	187.71	215.77	195.72	307.69	246.28	180.02	166.73	147.06	176.29	226.54	161.02	129.69	204.07	149.12	150.17	318.57	156.59	127.0	239.52	244.57	217.27	236.21	309.83	273.37	277.2	173.85	198.47	206.94	220.32	242.88	226.54	161.02	204.07	197.09	218.79	170.25	190.34	221.86	202.66	244.57	204.07	202.66	242.88	172.65	204.07	181.28	199.85	269.6	205.5	172.65	224.97	231.32	363.56	194.36	211.31	275.28	242.88	173.85	164.42	199.85	293.07	178.77	172.65	189.02	381.68	314.17	170.25	228.13	253.23	146.03	226.54	155.5	244.57	182.55	189.02	175.07	176.29	191.67	202.66	180.02	218.79	217.27	161.02	217.27	228.13	186.4	163.28	149.12	226.54	185.11	137.14	229.72	140.04	193.01	289.02	218.79	153.34	163.28	105.89	226.54	109.66	332.14	181.28	246.28	256.78	186.4	211.31	209.84	215.77	136.19	150.17	223.41	379.04	226.54	135.24	209.84	241.19	201.25	177.53	117.6	176.29	170.25	206.94	236.21	191.67	137.14	186.4	181.28	154.42	255.0	221.86	170.25	170.25	77.25
EIF4EBP3	77.79	423.61	0.0	0.57	2573.36	1208.34	1277.29	2682.69	1857.6	2287.2	860.08	2645.74	563.18	2855.44	1073.91	3212.66	1331.57	1936.53	2032.85	1225.22	1781.89	1936.53	1183.45	733.19	2119.22	1378.57	733.19	3564.78	2193.99	1191.69	2178.83	2319.15	1508.65	1832.01	3018.3	3212.66	3325.99	1447.15	2956.17	2255.7	3190.46	1977.24	2287.2	1143.1	1662.49	791.35	2319.15	1551.09	1745.2	2255.7	2591.27	2875.3	2956.17	4239.45	3168.41	2018.8	1378.57	1477.58	2645.74	2895.31	2384.37	1487.87	1572.76	2739.08	2384.37	1529.73	2935.74	6294.04	2032.85	1427.22	902.89	1806.78	4239.45	1662.49	1733.13	1216.75	8538.88	1096.5	1963.57	1572.76	1304.15	1268.46	2018.8	2255.7	2061.24	1437.15	1051.79	1594.73	1819.35	1447.15	1639.59	2367.9	2047.0	4038.61	872.1	2520.38	1909.85	2997.45	3395.89	1477.58	1191.69	921.88	1662.49	2855.44	1709.26	2777.33	2240.11	1437.15	1143.1	1883.54	1073.91	1605.83	1051.79	3039.3	2061.24	3190.46	2720.15	1991.0	1977.24	1757.34	2875.3	1199.98	1340.84	3955.48	1909.85	2835.7	2271.4	1857.6	2485.67	2240.11	1304.15	988.12	1437.15	1191.69	1628.26	1427.22	1295.13	1857.6	842.36	1561.89	651.58	1583.71	2090.03	1191.69	981.29	158.79
ELP6	339.14	454.09	0.0	0.0	612.11	780.44	785.88	1561.89	1191.69	1119.56	698.41	954.43	651.58	941.27	718.08	1059.11	1508.65	1233.75	884.29	612.11	954.43	1151.06	947.83	785.88	1015.93	808.0	796.86	1183.45	836.53	656.11	974.5	1135.2	1216.75	1151.06	1051.79	1044.52	1066.48	825.0	902.89	1059.11	1023.0	1135.2	915.51	616.37	1008.9	343.89	915.51	1208.34	1008.9	872.1	1191.69	967.76	890.44	1081.39	1111.82	961.07	825.0	878.17	941.27	723.08	1008.9	884.29	723.08	1225.22	947.83	1427.22	1001.93	1175.27	1250.98	941.27	660.68	764.36	1286.18	1331.57	995.0	1135.2	1437.15	1259.69	1037.29	1250.98	1104.13	624.99	902.89	1059.11	928.3	785.88	1015.93	928.3	1059.11	819.3	902.89	836.53	1127.35	1030.12	796.86	1104.13	785.88	1199.98	909.17	802.41	884.29	796.86	780.44	1151.06	928.3	1008.9	1059.11	1250.98	759.08	759.08	733.19	1233.75	693.58	1225.22	1073.91	775.05	1167.14	796.86	1322.37	1008.9	860.08	1023.0	743.43	1127.35	1066.48	1191.69	909.17	995.0	1081.39	1111.82	1104.13	688.78	1111.82	896.64	1216.75	1322.37	1015.93	967.76	988.12	1073.91	769.69	1508.65	1277.29	981.29	928.3	460.44
EMC6	132.44	497.0	0.0	0.43	587.13	753.83	599.49	1733.13	1397.83	915.51	414.87	1175.27	703.28	1135.2	743.43	1331.57	1639.59	1015.93	1015.93	656.11	1151.06	1159.07	915.51	769.69	1313.23	808.0	830.75	1073.91	921.88	599.49	902.89	1143.1	808.0	1051.79	1322.37	1183.45	1216.75	743.43	825.0	1096.5	1073.91	995.0	1051.79	679.29	1143.1	693.58	1208.34	830.75	872.1	860.08	1216.75	1167.14	890.44	995.0	1088.92	884.29	791.35	693.58	1175.27	928.3	1127.35	1023.0	1135.2	1233.75	1295.13	1832.01	1216.75	1427.22	1059.11	769.69	660.68	1135.2	1250.98	1023.0	941.27	1151.06	2400.97	1388.16	1268.46	866.07	1159.07	438.59	934.76	890.44	723.08	759.08	988.12	1313.23	674.59	802.41	967.76	866.07	934.76	1073.91	743.43	1037.29	1111.82	1322.37	748.61	559.28	674.59	764.36	866.07	1447.15	860.08	995.0	1508.65	974.5	802.41	1286.18	660.68	1088.92	728.11	1313.23	954.43	703.28	1487.87	703.28	1250.98	1250.98	941.27	1259.69	1104.13	1073.91	1023.0	1151.06	769.69	902.89	1242.34	1073.91	743.43	679.29	830.75	723.08	808.0	967.76	775.05	743.43	825.0	988.12	743.43	769.69	1081.39	753.83	684.02	234.57
ENDOV	136.19	125.24	0.0	0.66	392.44	447.82	486.75	620.67	503.95	674.59	389.72	620.67	314.17	555.41	371.22	651.58	785.88	500.46	642.59	253.23	543.96	802.41	463.65	371.22	688.78	381.68	389.72	483.38	642.59	358.54	518.15	651.58	633.73	547.75	567.1	518.15	551.56	540.19	543.96	547.75	633.73	555.41	620.67	406.31	486.75	281.09	497.0	493.56	429.54	624.99	476.71	511.0	525.39	514.56	656.11	457.25	392.44	551.56	665.29	599.49	642.59	551.56	358.54	563.18	684.02	403.5	507.46	616.37	616.37	567.1	454.09	470.14	728.11	656.11	575.03	753.83	878.17	563.18	540.19	536.45	463.65	267.73	493.56	567.1	591.22	318.57	460.44	532.74	358.54	529.06	536.45	346.29	547.75	543.96	327.56	620.67	518.15	500.46	417.77	242.88	406.31	514.56	327.56	599.49	503.95	525.39	629.35	447.82	397.93	339.14	312.0	607.87	371.22	796.86	718.08	718.08	738.29	457.25	540.19	571.05	444.72	591.22	450.94	612.11	723.08	629.35	454.09	651.58	497.0	470.14	460.44	400.71	540.19	441.64	525.39	743.43	490.14	543.96	511.0	591.22	406.31	547.75	529.06	595.34	454.09	163.28
EPS8L1	291.04	1143.1	0.0	0.93	1081.39	1096.5	629.35	2555.58	2855.44	1697.45	896.64	2997.45	656.11	2287.2	796.86	1551.09	2777.33	1322.37	1819.35	902.89	1572.76	2178.83	1286.18	1216.75	1709.26	665.29	1059.11	921.88	2384.37	1015.93	1721.16	2555.58	2090.03	1059.11	1896.65	2451.44	2417.67	1551.09	1991.0	2287.2	3303.0	1216.75	1923.14	808.0	1950.0	693.58	2287.2	414.87	1769.57	1529.73	1909.85	2701.35	1175.27	1259.69	3146.52	967.76	928.3	1277.29	2956.17	4972.34	3190.46	1467.37	2468.49	2591.27	2367.9	915.51	1628.26	1883.54	2502.97	1662.49	947.83	1487.87	2367.9	1794.29	698.41	1594.73	2935.74	796.86	2502.97	1685.71	1508.65	1268.46	1259.69	1757.34	2935.74	928.3	1628.26	1733.13	1066.48	1216.75	656.11	1519.15	1023.0	2682.69	1159.07	3212.66	3039.3	2133.97	1487.87	775.05	830.75	1073.91	1369.04	2133.97	1331.57	2075.59	2303.12	2178.83	1183.45	1697.45	703.28	1662.49	518.15	2434.5	2018.8	1977.24	1757.34	1331.57	2148.82	1697.45	1081.39	1340.84	1447.15	2739.08	2573.36	2061.24	1037.29	2468.49	1844.76	1757.34	915.51	947.83	1340.84	1167.14	1225.22	1909.85	1159.07	1250.98	1073.91	1508.65	769.69	2163.77	1467.37	753.83	813.63	1119.56
FAAH	176.29	193.01	0.0	0.72	3716.2	2104.58	3443.31	5441.3	4298.64	5183.54	2104.58	6164.49	2739.08	4181.07	1757.34	7130.55	4543.8	2485.67	5954.47	1477.58	1639.59	4123.49	2520.38	2855.44	5006.93	2555.58	2701.35	3716.2	5041.77	1896.65	4639.29	4210.15	3146.52	4298.64	3614.55	5076.84	7911.95	2682.69	6471.02	4450.27	8191.0	4328.55	3395.89	2502.97	1844.76	1457.23	5219.6	4095.0	3257.52	4123.49	3639.7	7485.11	3060.45	2682.69	4704.07	2555.58	2032.85	3820.7	6294.04	7180.15	3928.15	3325.99	4450.27	7695.57	6207.38	3124.78	3257.52	7081.29	6337.83	2739.08	2777.33	2485.67	5219.6	5006.93	5403.7	3280.18	5183.54	2075.59	3589.58	3564.78	3874.05	1963.57	3303.0	4450.27	3235.01	2255.7	3467.27	3614.55	2417.67	4639.29	1369.04	3467.27	2400.97	6607.01	1487.87	4512.4	3190.46	8963.45	3325.99	1015.93	2701.35	2178.83	1697.45	6207.38	1540.37	5672.41	7695.57	3303.0	1467.37	4358.66	2090.03	3589.58	1159.07	6607.01	4972.34	2701.35	5329.3	5041.77	4704.07	4769.75	1135.2	3928.15	2537.92	6471.02	8078.22	7749.1	3280.18	9215.48	4575.41	4903.87	4736.79	915.51	4038.61	1639.59	4704.07	3372.43	2367.9	5555.65	3515.68	4123.49	1233.75	3716.2	4671.57	1397.83	1561.89	164.42
FAM173A	291.04	228.13	0.0	0.55	363.56	379.04	454.09	1015.93	780.44	514.56	197.09	884.29	397.93	733.19	323.03	764.36	825.0	738.29	616.37	267.73	743.43	802.41	571.05	426.57	819.3	426.57	493.56	540.19	551.56	325.29	665.29	866.07	555.41	723.08	1583.71	642.59	878.17	412.0	633.73	703.28	713.11	785.88	688.78	264.03	785.88	368.65	708.18	624.99	480.04	493.56	848.22	808.0	334.46	1073.91	743.43	503.95	285.03	397.93	785.88	1030.12	728.11	536.45	1044.52	947.83	1066.48	1259.69	656.11	915.51	693.58	412.0	323.03	532.74	1111.82	679.29	555.41	775.05	1447.15	878.17	1030.12	521.76	764.36	351.14	460.44	603.67	603.67	441.64	529.06	780.44	466.88	441.64	819.3	981.29	457.25	791.35	341.51	860.08	642.59	486.75	599.49	212.78	260.38	348.71	476.71	872.1	551.56	620.67	1199.98	438.59	358.54	708.18	329.84	808.0	262.2	1216.75	693.58	915.51	848.22	353.59	647.07	780.44	629.35	780.44	483.38	728.11	947.83	866.07	412.0	703.28	780.44	684.02	400.71	305.55	555.41	358.54	616.37	679.29	381.68	486.75	470.14	521.76	384.34	376.41	780.44	384.34	318.57	32.13
FAM195A	165.57	150.17	0.0	0.52	961.07	555.41	703.28	1909.85	1572.76	813.63	371.22	1457.23	500.46	974.5	450.94	1628.26	2271.4	1008.9	961.07	358.54	1350.18	1066.48	988.12	547.75	1498.22	890.44	769.69	1583.71	988.12	521.76	1135.2	1233.75	718.08	1066.48	3257.52	1378.57	2816.11	633.73	988.12	1030.12	1551.09	796.86	1233.75	332.14	1088.92	753.83	1583.71	1233.75	647.07	934.76	1250.98	1457.23	703.28	1250.98	1359.57	802.41	713.11	651.58	1447.15	1191.69	1605.83	684.02	1286.18	2976.74	1709.26	2271.4	1167.14	2224.63	1359.57	842.36	441.64	1167.14	1651.0	981.29	764.36	954.43	1745.2	1051.79	1427.22	728.11	1508.65	698.41	780.44	1073.91	890.44	612.11	915.51	1268.46	872.1	1191.69	1519.15	1417.35	728.11	1519.15	507.46	1183.45	1397.83	1250.98	1322.37	412.0	332.14	389.72	902.89	1359.57	674.59	1159.07	2163.77	896.64	575.03	1208.34	483.38	961.07	555.41	1857.6	1081.39	1674.06	1073.91	693.58	1088.92	1111.82	723.08	796.86	674.59	1685.71	1745.2	1909.85	1030.12	1191.69	1066.48	1378.57	376.41	318.57	587.13	417.77	896.64	638.15	540.19	656.11	460.44	476.71	500.46	603.67	1167.14	409.15	423.61	57.89
FAM71E1	47.5	21.47	0.0	0.13	147.06	91.41	143.01	267.73	236.21	110.43	66.18	175.07	77.25	185.11	76.71	191.67	260.38	139.07	113.56	86.43	182.55	209.84	98.04	82.29	138.1	85.82	137.14	191.67	135.24	75.11	141.02	131.51	109.66	149.12	281.09	191.67	178.77	111.21	137.14	132.44	170.25	109.66	142.01	79.45	151.22	107.38	193.01	149.12	110.43	116.78	155.5	162.14	105.15	134.3	185.11	155.5	87.65	130.6	150.17	191.67	215.77	82.29	193.01	208.38	189.02	231.32	140.04	149.12	199.85	106.63	92.05	194.36	220.32	105.89	164.42	167.9	316.37	212.78	193.01	186.4	182.55	111.21	173.85	162.14	91.41	110.43	162.14	134.3	110.43	120.1	221.86	148.09	111.21	159.9	104.42	107.38	118.43	220.32	170.25	72.52	44.25	58.71	75.11	154.42	111.99	156.59	253.23	111.99	77.25	187.71	68.07	105.15	95.34	264.03	135.24	209.84	212.78	112.77	142.01	118.43	107.38	92.7	114.36	162.14	131.51	149.12	129.69	153.34	193.01	191.67	89.51	48.18	105.89	78.34	115.97	127.0	64.34	88.88	85.22	92.7	53.57	59.97	105.89	66.18	70.51	100.83
FAM98C	389.72	156.59	346.29	928.3	521.76	435.55	518.15	1096.5	1104.13	612.11	426.57	753.83	412.0	836.53	341.51	947.83	785.88	633.73	559.28	373.81	656.11	738.29	633.73	454.09	743.43	480.04	450.94	708.18	591.22	493.56	684.02	674.59	669.92	723.08	878.17	836.53	961.07	503.95	854.13	808.0	825.0	638.15	684.02	409.15	583.07	543.96	915.51	490.14	575.03	733.19	1037.29	848.22	559.28	753.83	872.1	480.04	470.14	551.56	848.22	1088.92	921.88	629.35	753.83	1001.93	954.43	878.17	825.0	819.3	872.1	571.05	423.61	713.11	954.43	656.11	669.92	785.88	1037.29	848.22	819.3	503.95	791.35	536.45	432.53	551.56	514.56	503.95	629.35	775.05	587.13	693.58	490.14	785.88	559.28	759.08	497.0	703.28	738.29	854.13	693.58	332.14	444.72	470.14	486.75	878.17	503.95	629.35	890.44	651.58	406.31	693.58	371.22	651.58	406.31	890.44	728.11	473.41	872.1	547.75	713.11	728.11	483.38	612.11	518.15	967.76	890.44	638.15	583.07	688.78	693.58	854.13	624.99	376.41	514.56	493.56	612.11	708.18	532.74	567.1	575.03	624.99	414.87	579.04	612.11	514.56	412.0	38.95
FASTK	1127.35	392.44	0.0	0.74	1073.91	1159.07	1447.15	3060.45	3820.7	1963.57	1111.82	2502.97	1183.45	1721.16	934.76	2915.45	3665.02	1977.24	2148.82	1023.0	2303.12	2090.03	1651.0	1286.18	2193.99	1295.13	1477.58	1639.59	2119.22	1073.91	1923.14	2367.9	2739.08	2627.46	2701.35	2163.77	3589.58	1437.15	1870.53	2367.9	2335.28	1923.14	2209.26	1066.48	1819.35	1191.69	2664.15	1540.37	1583.71	1923.14	2287.2	2417.67	1216.75	2976.74	1991.0	1286.18	1066.48	1183.45	2240.11	3589.58	2796.65	1870.53	2915.45	2701.35	2047.0	2739.08	1697.45	2451.44	2682.69	2451.44	1135.2	1963.57	3124.78	2400.97	1923.14	2047.0	2701.35	2303.12	2875.3	1870.53	1617.0	1498.22	1487.87	1794.29	2502.97	1286.18	1857.6	2061.24	1551.09	1857.6	2555.58	1685.71	1397.83	2133.97	1378.57	2271.4	2417.67	2434.5	1674.06	967.76	1127.35	1322.37	1721.16	2287.2	1721.16	2193.99	3212.66	2335.28	1135.2	2287.2	954.43	2047.0	1073.91	4481.23	2591.27	4239.45	2417.67	1304.15	2451.44	2178.83	1540.37	1950.0	1651.0	2796.65	2956.17	2701.35	1437.15	3039.3	2319.15	2047.0	1322.37	1191.69	1561.89	1388.16	1498.22	2271.4	1709.26	1733.13	1359.57	1757.34	1369.04	2193.99	1662.49	1250.98	1397.83	191.67
GADD45GIP1	332.14	878.17	0.0	0.74	1572.76	1651.0	1651.0	4181.07	4066.71	3235.01	1477.58	2976.74	1447.15	2119.22	1378.57	3419.52	4736.79	2935.74	2835.7	1331.57	3491.39	2664.15	2090.03	1519.15	2997.45	1909.85	1709.26	2701.35	2133.97	1529.73	2739.08	3349.13	2451.44	2591.27	3847.29	3540.14	4181.07	1757.34	2255.7	3443.31	2855.44	2796.65	3190.46	1397.83	2555.58	1487.87	3639.7	2573.36	1794.29	2303.12	3419.52	3303.0	2537.92	2976.74	3794.3	1963.57	2178.83	1936.53	3349.13	1519.15	3742.05	2193.99	2835.7	3589.58	2976.74	4388.98	2935.74	5147.73	3589.58	1844.76	1407.55	3081.75	4123.49	3589.58	2104.58	2537.92	3955.48	2956.17	3665.02	2271.4	2739.08	1674.06	2255.7	2875.3	2303.12	1781.89	2224.63	2664.15	2240.11	2645.74	2816.11	2351.53	2271.4	3146.52	1674.06	3124.78	2777.33	3325.99	2701.35	1447.15	1662.49	1540.37	2209.26	4095.0	2032.85	2502.97	4704.07	2627.46	1594.73	1991.0	1651.0	3018.3	1594.73	4769.75	2758.13	3280.18	2664.15	1844.76	2875.3	2664.15	1605.83	2384.37	1857.6	4010.71	2609.3	3540.14	1923.14	3280.18	2573.36	2976.74	1977.24	1397.83	2335.28	1709.26	2271.4	2537.92	2004.85	2720.15	1857.6	2032.85	1806.78	2915.45	3103.19	1883.54	1896.65	361.04
GNB1L	55.89	34.02	0.0	0.59	87.03	96.68	58.71	171.45	167.9	103.69	72.52	130.6	45.21	92.7	62.12	256.78	170.25	66.18	82.29	36.27	163.28	130.6	85.22	102.97	142.01	124.37	103.69	226.54	118.43	58.3	137.14	127.89	94.67	126.12	363.56	137.14	244.57	74.58	85.22	117.6	118.43	82.87	211.31	54.33	132.44	85.22	102.97	121.79	70.01	115.97	112.77	143.01	86.43	88.88	69.03	82.87	72.52	80.57	77.25	91.41	107.38	147.06	145.02	236.21	148.09	224.97	201.25	109.66	190.34	118.43	83.45	98.73	133.36	102.25	153.34	150.17	314.17	161.02	141.02	88.88	78.89	59.13	83.45	137.14	104.42	75.11	65.72	126.12	87.65	70.51	105.89	171.45	82.29	194.36	100.83	125.24	94.67	204.07	60.82	41.52	36.01	73.03	92.7	100.83	134.3	87.03	152.28	75.11	74.06	101.54	67.59	123.5	76.17	155.5	76.17	133.36	212.78	84.63	132.44	117.6	74.58	105.89	120.94	94.67	138.1	106.63	49.21	128.79	105.89	52.45	55.49	80.01	94.01	103.69	96.01	104.42	112.77	74.58	96.01	92.7	97.36	50.98	127.89	89.51	82.29	8.85
GRK4	202.66	60.39	0.0	0.24	99.43	118.43	100.83	155.5	94.67	76.71	66.18	136.19	80.01	176.29	61.25	249.73	154.42	90.77	81.71	54.72	120.94	106.63	80.01	85.82	123.5	113.56	76.71	269.6	60.82	58.3	97.36	109.66	80.01	170.25	237.86	96.68	195.72	113.56	72.52	136.19	157.68	65.72	111.21	77.79	138.1	32.82	119.26	78.89	95.34	78.89	99.43	136.19	64.8	148.09	130.6	114.36	81.71	127.0	89.51	127.89	124.37	109.66	141.02	318.57	164.42	137.14	163.28	140.04	156.59	105.89	107.38	88.26	122.64	85.82	71.5	105.89	150.17	98.04	72.01	84.63	72.52	54.33	100.83	113.56	144.01	20.41	138.1	117.6	95.34	103.69	91.41	108.9	63.89	117.6	65.72	131.51	128.79	109.66	116.78	101.54	65.72	60.82	74.58	79.45	106.63	95.34	218.79	92.7	85.22	125.24	59.55	114.36	98.04	215.77	55.1	87.65	123.5	121.79	72.01	91.41	100.83	85.82	81.14	69.52	153.34	127.89	83.45	125.24	88.26	116.78	60.39	69.03	78.34	84.04	69.03	74.58	60.82	53.57	53.57	62.12	92.7	88.26	88.26	71.5	62.12	98.04
GTPBP6	117.6	140.04	0.0	0.75	480.04	486.75	463.65	1001.93	785.88	669.92	356.05	802.41	429.54	698.41	332.14	902.89	1096.5	620.67	669.92	323.03	813.63	723.08	728.11	463.65	629.35	543.96	571.05	1023.0	759.08	444.72	713.11	551.56	665.29	571.05	1001.93	713.11	1225.22	543.96	629.35	713.11	764.36	507.46	802.41	281.09	647.07	447.82	902.89	693.58	473.41	703.28	633.73	769.69	507.46	638.15	660.68	660.68	373.81	466.88	830.75	656.11	748.61	660.68	529.06	476.71	775.05	1111.82	698.41	723.08	836.53	612.11	417.77	595.34	896.64	547.75	624.99	571.05	665.29	629.35	848.22	426.57	551.56	450.94	444.72	738.29	514.56	540.19	624.99	743.43	579.04	693.58	563.18	791.35	620.67	921.88	414.87	660.68	769.69	759.08	587.13	356.05	334.46	366.09	551.56	896.64	563.18	733.19	934.76	647.07	476.71	764.36	447.82	629.35	373.81	796.86	679.29	679.29	647.07	476.71	785.88	679.29	486.75	642.59	583.07	819.3	713.11	1030.12	633.73	808.0	698.41	785.88	460.44	470.14	603.67	470.14	547.75	624.99	529.06	559.28	497.0	567.1	493.56	417.77	571.05	454.09	450.94	23.76
