	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13QIC.2326.SM.5LU5N	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.XBEC.1526.SM.4AT68	TCGA.38.4625.01A.01R.1206.07
UTP15	191.67	265.87	151.22	158.79	147.06	287.01	150.17	258.57	202.66	248.0	195.72	285.03	256.78	191.67	253.23	217.27	476.71	156.59	334.46	93.35	85.22	54.33	76.17	175.07
VAMP4	244.57	363.56	346.29	323.03	223.41	450.94	249.73	759.08	260.38	480.04	273.37	358.54	320.8	312.0	486.75	336.79	493.56	713.11	454.09	143.01	144.01	109.66	90.14	0.0
VIPR2	119.26	9.41	19.53	32.82	31.9	128.79	0.78	45.85	31.67	147.06	85.22	40.64	18.7	58.71	105.89	169.07	29.48	23.76	24.11	0.0	9.13	2.23	2.94	0.0
VTI1A	251.48	195.72	271.48	186.4	185.11	277.2	193.01	244.57	281.09	269.6	223.41	248.0	269.6	175.07	299.25	195.72	265.87	414.87	320.8	118.43	111.21	98.73	71.0	0.0
WFDC5	0.96	0.71	0.0	0.0	0.0	13.42	0.0	1.6	0.0	0.0	6.73	6.73	3.11	1.06	5.96	1.79	14.78	0.0	4.78	0.0	0.0	0.0	0.0	0.0
YTHDC2	325.29	435.55	173.85	186.4	201.25	325.29	271.48	253.23	244.57	253.23	193.01	336.79	289.02	186.4	403.5	329.84	540.19	371.22	339.14	105.15	111.21	56.28	141.02	0.0
ZCRB1	1096.5	1977.24	1225.22	1242.34	1477.58	2240.11	1561.89	1540.37	1583.71	2209.26	1369.04	1551.09	1745.2	1794.29	1832.01	1870.53	2645.74	2351.53	2032.85	1551.09	825.0	327.56	543.96	1088.92
ZNF207	1977.24	2664.15	2303.12	1508.65	1583.71	2451.44	2090.03	2485.67	2133.97	2485.67	2319.15	2520.38	2287.2	1936.53	2997.45	1991.0	2555.58	3589.58	2520.38	1096.5	791.35	791.35	1119.56	0.0
ZNF347	88.26	131.51	81.71	72.01	78.34	126.12	72.52	87.65	82.29	109.66	81.14	144.01	128.79	82.29	205.5	121.79	108.9	181.28	147.06	40.64	20.11	4.1	11.21	0.0
ZNF880	170.25	420.68	75.11	199.85	299.25	669.92	39.79	107.38	285.03	454.09	348.71	376.41	406.31	297.17	429.54	384.34	830.75	189.02	363.56	16.39	51.35	20.41	115.16	0.0
ZPLD1	2.16	0.0	0.93	2.78	0.92	13.83	1.58	0.0	3.0	4.21	1.73	4.06	2.97	1.01	4.24	4.46	10.79	4.06	4.62	0.0	2.03	1.64	2.03	0.0
