	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.EJ.7330.01A.11R.2118.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.HC.A48F.01A.11R.A250.07	TCGA.VN.A88K.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.YL.A8SC.01A.11R.A37L.07	TCGA.EJ.7784.01A.11R.2118.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.ZG.A9L1.01A.11R.A41O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.VP.A87E.01A.31R.A352.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5506.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07
CNNM1	9.34	42.11	1.0	31.67	0.59	5.11	4.43	35.0	115.16	126.12	76.17	108.14	25.35	49.56	112.77	47.84	44.25	84.63	90.77	38.4	50.98	55.89	80.57	88.88	46.5	115.97	55.89	43.02	108.14	50.98	41.52	67.12	62.56	42.41	59.97	46.18	42.11	72.01	87.65	59.55	22.75	150.17	70.01	46.84	11.91	129.69	39.79	42.71	46.18	67.59	96.68	136.19	68.07	102.25	56.68	5.41	72.52	71.0	63.45	40.07	71.5	43.63	115.16	21.32	48.52	49.91	142.01	28.86	130.6	58.71	53.57	98.04	59.97	31.67	53.95	138.1	26.47	94.01	46.84	96.68	42.41	175.07	27.44	38.67	72.01	45.85	97.36	28.04	64.8	53.57	39.79	46.5	62.56	48.18	32.59	42.71	42.41
COLCA1	90.77	28.24	35.0	4.13	42.41	14.45	5.06	244.57	1844.76	1781.89	567.1	1498.22	94.01	123.5	470.14	796.86	447.82	525.39	872.1	480.04	429.54	780.44	718.08	642.59	151.22	1015.93	1378.57	291.04	1388.16	348.71	164.42	287.01	221.86	547.75	2178.83	954.43	264.03	547.75	473.41	283.05	123.5	1208.34	587.13	151.22	297.17	387.02	384.34	221.86	397.93	1498.22	1286.18	1259.69	260.38	890.44	426.57	125.24	329.84	206.94	147.06	325.29	693.58	1096.5	1111.82	1697.45	271.48	791.35	2956.17	1175.27	1378.57	86.43	529.06	693.58	698.41	358.54	511.0	629.35	366.09	514.56	1417.35	753.83	1883.54	981.29	466.88	244.57	283.05	406.31	325.29	426.57	836.53	473.41	339.14	624.99	674.59	738.29	339.14	232.94	183.82
CPSF6	189.02	334.46	376.41	476.71	199.85	295.11	232.94	532.74	941.27	954.43	813.63	974.5	633.73	629.35	941.27	1111.82	708.18	890.44	934.76	713.11	693.58	669.92	981.29	974.5	713.11	764.36	872.1	764.36	540.19	830.75	612.11	559.28	603.67	825.0	981.29	1001.93	579.04	718.08	733.19	583.07	616.37	909.17	688.78	503.95	743.43	928.3	842.36	693.58	656.11	698.41	836.53	684.02	532.74	896.64	825.0	616.37	718.08	796.86	638.15	629.35	660.68	830.75	854.13	813.63	567.1	633.73	934.76	921.88	928.3	571.05	780.44	896.64	928.3	647.07	941.27	753.83	583.07	743.43	954.43	915.51	769.69	1015.93	490.14	591.22	540.19	679.29	679.29	674.59	660.68	638.15	708.18	665.29	802.41	532.74	447.82	612.11	595.34
CPSF7	961.07	409.15	373.81	444.72	518.15	713.11	346.29	753.83	1794.29	1388.16	1359.57	1617.0	1127.35	915.51	1417.35	1073.91	1088.92	1340.84	1639.59	1104.13	836.53	1259.69	1313.23	1594.73	974.5	1388.16	1745.2	836.53	769.69	1151.06	941.27	813.63	1073.91	1427.22	2133.97	1457.23	854.13	860.08	1081.39	934.76	878.17	1437.15	1073.91	921.88	1037.29	1498.22	1359.57	941.27	785.88	1551.09	1277.29	1447.15	698.41	1340.84	961.07	896.64	1127.35	1044.52	961.07	1119.56	1008.9	1359.57	1498.22	1199.98	947.83	1359.57	1844.76	1477.58	1709.26	1001.93	1199.98	967.76	1268.46	1015.93	1397.83	1208.34	753.83	1313.23	1477.58	1378.57	1369.04	1477.58	842.36	1066.48	674.59	1023.0	1388.16	878.17	1277.29	1030.12	1037.29	1216.75	1233.75	1225.22	693.58	842.36	988.12
CSNK2A1	281.09	444.72	351.14	363.56	281.09	320.8	312.0	532.74	1487.87	1605.83	1313.23	884.29	723.08	660.68	1233.75	866.07	688.78	1001.93	1437.15	825.0	633.73	884.29	1295.13	1498.22	684.02	1073.91	1037.29	684.02	599.49	934.76	796.86	693.58	791.35	848.22	1066.48	1628.26	612.11	854.13	808.0	753.83	642.59	1216.75	825.0	743.43	688.78	819.3	813.63	603.67	536.45	1417.35	1322.37	780.44	571.05	1388.16	825.0	470.14	748.61	947.83	738.29	571.05	934.76	1359.57	934.76	1015.93	796.86	759.08	1388.16	1295.13	2520.38	624.99	769.69	884.29	1583.71	660.68	915.51	813.63	567.1	890.44	896.64	1023.0	1233.75	1313.23	543.96	775.05	583.07	555.41	620.67	665.29	854.13	884.29	599.49	733.19	718.08	890.44	616.37	688.78	796.86
DCAF5	253.23	253.23	194.36	253.23	307.69	309.83	232.94	277.2	854.13	981.29	796.86	808.0	303.44	301.33	854.13	277.2	454.09	759.08	941.27	575.03	460.44	616.37	595.34	698.41	460.44	723.08	813.63	493.56	414.87	470.14	503.95	392.44	620.67	688.78	1277.29	718.08	381.68	450.94	571.05	409.15	323.03	651.58	551.56	563.18	387.02	633.73	529.06	303.44	379.04	764.36	775.05	444.72	332.14	808.0	708.18	493.56	612.11	493.56	525.39	483.38	587.13	660.68	693.58	444.72	470.14	507.46	967.76	620.67	954.43	429.54	444.72	500.46	733.19	414.87	579.04	624.99	346.29	674.59	320.8	669.92	733.19	748.61	476.71	483.38	395.18	423.61	713.11	381.68	698.41	543.96	525.39	497.0	607.87	647.07	447.82	620.67	563.18
DCLRE1A	43.02	62.12	59.13	64.34	35.76	81.71	41.22	119.26	212.78	244.57	221.86	239.52	177.53	136.19	147.06	152.28	105.15	212.78	249.73	170.25	163.28	193.01	226.54	239.52	123.5	189.02	291.04	157.68	140.04	173.85	187.71	84.63	149.12	189.02	157.68	295.11	157.68	136.19	163.28	177.53	156.59	241.19	208.38	113.56	101.54	170.25	223.41	110.43	102.97	318.57	228.13	236.21	228.13	242.88	217.27	120.94	122.64	152.28	223.41	115.97	166.73	217.27	170.25	348.71	267.73	185.11	190.34	218.79	226.54	124.37	189.02	220.32	281.09	106.63	236.21	183.82	127.0	205.5	165.57	237.86	236.21	267.73	110.43	145.02	165.57	147.06	201.25	137.14	149.12	185.11	135.24	153.34	162.14	177.53	198.47	95.34	149.12
DDX6	63.45	100.13	78.34	111.21	74.06	122.64	116.78	156.59	1286.18	1104.13	819.3	1551.09	432.53	351.14	660.68	486.75	460.44	1286.18	1225.22	511.0	320.8	555.41	1044.52	743.43	334.46	764.36	995.0	409.15	371.22	559.28	435.55	226.54	429.54	511.0	775.05	1340.84	309.83	444.72	511.0	460.44	246.28	1059.11	543.96	473.41	341.51	607.87	400.71	167.9	157.68	1216.75	1359.57	420.68	201.25	1225.22	325.29	173.85	543.96	358.54	341.51	211.31	698.41	1037.29	825.0	551.56	348.71	438.59	825.0	1183.45	785.88	348.71	429.54	466.88	1350.18	204.07	547.75	656.11	197.09	493.56	591.22	518.15	1268.46	1191.69	217.27	417.77	289.02	305.55	291.04	371.22	486.75	466.88	314.17	312.0	384.34	660.68	420.68	476.71	450.94
DENND4C	41.81	74.58	68.07	70.01	77.79	120.1	69.03	119.26	753.83	679.29	483.38	674.59	218.79	211.31	603.67	273.37	232.94	723.08	674.59	287.01	197.09	366.09	368.65	651.58	170.25	503.95	759.08	232.94	239.52	336.79	256.78	185.11	281.09	361.04	336.79	579.04	186.4	211.31	346.29	275.28	239.52	450.94	303.44	256.78	206.94	309.83	312.0	88.26	120.1	629.35	693.58	351.14	141.02	748.61	279.14	167.9	341.51	297.17	217.27	211.31	387.02	607.87	473.41	299.25	239.52	279.14	647.07	525.39	253.23	208.38	242.88	379.04	688.78	194.36	303.44	381.68	181.28	332.14	361.04	361.04	490.14	463.65	154.42	256.78	153.34	190.34	277.2	198.47	297.17	327.56	220.32	226.54	323.03	435.55	323.03	289.02	316.37
DNAH10OS	0.95	3.82	6.16	9.27	4.35	5.68	2.07	6.94	41.81	13.62	18.84	21.47	15.68	11.47	35.0	19.97	10.71	15.22	15.11	16.15	13.72	18.7	20.56	20.11	9.85	25.72	22.92	8.58	12.55	7.63	20.11	2.61	11.38	47.17	35.25	14.45	7.75	8.0	13.32	9.41	16.51	15.34	15.22	15.8	14.14	23.08	38.95	10.88	5.02	19.53	15.45	8.0	5.59	18.03	16.27	18.16	7.69	23.76	19.68	8.0	17.13	12.83	16.88	16.15	8.45	10.88	24.63	11.38	29.06	19.97	22.26	4.31	18.84	6.94	20.41	10.88	6.89	8.65	21.47	47.17	19.53	29.06	7.34	11.13	3.76	5.82	23.42	5.77	13.03	27.64	12.18	7.11	16.51	14.14	5.28	13.72	15.45
EAF1	147.06	158.79	149.12	161.02	113.56	187.71	175.07	189.02	429.54	387.02	387.02	514.56	248.0	234.57	547.75	224.97	209.84	426.57	441.64	285.03	231.32	303.44	316.37	543.96	381.68	759.08	346.29	193.01	162.14	285.03	204.07	285.03	212.78	341.51	493.56	193.01	246.28	392.44	249.73	237.86	194.36	334.46	414.87	198.47	241.19	229.72	183.82	180.02	172.65	356.05	409.15	299.25	189.02	473.41	260.38	159.9	251.48	629.35	703.28	172.65	273.37	660.68	307.69	251.48	236.21	183.82	363.56	642.59	432.53	234.57	226.54	231.32	438.59	180.02	384.34	293.07	191.67	253.23	194.36	316.37	309.83	332.14	190.34	275.28	242.88	212.78	164.42	194.36	258.57	309.83	229.72	258.57	226.54	301.33	329.84	237.86	258.57
ENPP4	102.97	55.1	85.82	93.35	68.07	71.0	29.91	341.51	493.56	518.15	392.44	825.0	381.68	228.13	703.28	157.68	217.27	934.76	368.65	242.88	318.57	346.29	332.14	748.61	341.51	503.95	429.54	197.09	198.47	435.55	307.69	141.02	190.34	872.1	432.53	679.29	251.48	283.05	301.33	234.57	368.65	361.04	379.04	239.52	180.02	406.31	297.17	180.02	211.31	450.94	698.41	295.11	248.0	759.08	291.04	195.72	316.37	426.57	346.29	185.11	262.2	791.35	432.53	444.72	187.71	341.51	325.29	473.41	500.46	224.97	199.85	361.04	616.37	205.5	698.41	343.89	205.5	191.67	277.2	476.71	866.07	336.79	135.24	177.53	193.01	307.69	299.25	287.01	264.03	260.38	220.32	269.6	287.01	447.82	332.14	232.94	189.02
EP300	64.34	78.89	78.34	96.01	69.52	122.64	108.9	146.03	878.17	679.29	679.29	665.29	320.8	327.56	438.59	271.48	348.71	567.1	802.41	358.54	293.07	379.04	518.15	748.61	285.03	417.77	743.43	334.46	379.04	389.72	305.55	190.34	346.29	389.72	403.5	406.31	253.23	358.54	376.41	329.84	206.94	529.06	387.02	293.07	320.8	571.05	353.59	152.28	161.02	753.83	698.41	358.54	191.67	591.22	341.51	237.86	389.72	366.09	262.2	202.66	514.56	559.28	500.46	406.31	320.8	361.04	559.28	463.65	511.0	307.69	363.56	249.73	647.07	185.11	454.09	400.71	209.84	373.81	376.41	417.77	571.05	575.03	232.94	373.81	239.52	256.78	376.41	237.86	395.18	438.59	275.28	271.48	289.02	373.81	135.24	356.05	273.37
EP400	47.5	71.0	54.33	68.07	50.98	63.45	36.53	84.04	353.59	287.01	303.44	258.57	120.1	130.6	204.07	140.04	152.28	187.71	323.03	158.79	125.24	189.02	234.57	273.37	114.36	208.38	265.87	124.37	157.68	153.34	138.1	95.34	176.29	199.85	211.31	253.23	59.97	130.6	169.07	131.51	108.14	220.32	127.89	166.73	115.97	185.11	170.25	87.65	94.01	303.44	237.86	141.02	84.04	232.94	126.12	102.25	140.04	159.9	80.01	149.12	215.77	231.32	191.67	154.42	151.22	183.82	334.46	244.57	253.23	137.14	148.09	112.77	215.77	120.1	185.11	187.71	95.34	166.73	165.57	248.0	244.57	305.55	123.5	155.5	101.54	116.78	172.65	115.16	197.09	142.01	136.19	147.06	145.02	150.17	42.71	138.1	120.94
ERI2	92.05	134.3	92.05	182.55	134.3	186.4	120.1	217.27	470.14	241.19	392.44	353.59	363.56	249.73	371.22	201.25	244.57	384.34	457.25	320.8	164.42	316.37	392.44	291.04	307.69	277.2	769.69	248.0	253.23	358.54	291.04	185.11	262.2	529.06	563.18	599.49	221.86	205.5	406.31	329.84	353.59	490.14	450.94	246.28	251.48	420.68	237.86	162.14	141.02	595.34	336.79	387.02	244.57	525.39	297.17	226.54	348.71	186.4	224.97	234.57	260.38	438.59	320.8	307.69	329.84	277.2	392.44	460.44	559.28	273.37	178.77	348.71	450.94	220.32	336.79	279.14	249.73	363.56	314.17	473.41	409.15	371.22	236.21	244.57	220.32	291.04	320.8	307.69	279.14	195.72	285.03	220.32	236.21	361.04	307.69	205.5	353.59
EXPH5	23.08	5.36	15.22	5.02	34.26	35.5	14.24	21.16	70.01	84.04	58.71	53.19	21.47	12.83	35.0	36.79	23.25	58.3	51.71	29.91	27.84	30.12	78.89	20.26	21.47	24.28	57.08	15.11	18.03	13.72	22.92	23.08	29.48	46.5	68.55	63.0	11.73	24.63	49.91	27.64	20.41	63.45	23.93	30.12	21.47	32.13	29.48	10.63	20.86	144.01	89.51	21.47	22.43	62.12	19.25	11.3	25.35	22.75	17.64	25.17	56.68	88.26	35.5	41.52	34.75	37.59	144.01	84.04	44.25	16.03	43.02	32.59	67.59	35.5	46.5	38.12	18.29	15.45	16.63	50.98	102.25	106.63	38.4	28.24	20.71	18.84	29.06	26.67	40.64	37.59	36.53	26.47	31.9	57.08	32.36	40.36	36.53
FAM117B	10.96	18.03	11.3	18.7	15.0	31.22	12.27	318.57	579.04	450.94	224.97	718.08	325.29	229.72	703.28	490.14	128.79	651.58	470.14	234.57	353.59	351.14	397.93	934.76	343.89	307.69	291.04	170.25	183.82	231.32	201.25	201.25	146.03	642.59	591.22	775.05	264.03	423.61	149.12	258.57	167.9	371.22	713.11	102.25	353.59	785.88	327.56	231.32	206.94	351.14	454.09	251.48	163.28	361.04	336.79	166.73	142.01	490.14	312.0	142.01	529.06	603.67	511.0	769.69	167.9	239.52	232.94	536.45	780.44	162.14	536.45	195.72	384.34	158.79	974.5	258.57	373.81	242.88	432.53	511.0	521.76	420.68	181.28	143.01	122.64	214.27	303.44	205.5	483.38	285.03	202.66	256.78	260.38	214.27	143.01	115.16	112.77
FAM13A	140.04	30.34	80.01	28.24	217.27	332.14	438.59	82.87	575.03	660.68	353.59	665.29	371.22	260.38	902.89	255.0	341.51	567.1	620.67	295.11	194.36	312.0	348.71	312.0	215.77	307.69	493.56	303.44	187.71	264.03	267.73	148.09	273.37	525.39	241.19	406.31	199.85	189.02	483.38	241.19	323.03	450.94	435.55	273.37	279.14	460.44	301.33	301.33	145.02	514.56	450.94	332.14	185.11	457.25	336.79	191.67	341.51	256.78	175.07	384.34	363.56	480.04	432.53	265.87	289.02	336.79	921.88	493.56	836.53	376.41	178.77	669.92	507.46	277.2	323.03	543.96	157.68	500.46	371.22	351.14	389.72	406.31	271.48	314.17	241.19	329.84	228.13	299.25	323.03	336.79	368.65	348.71	297.17	381.68	303.44	275.28	406.31
FAM168A	117.6	148.09	157.68	131.51	142.01	205.5	135.24	221.86	575.03	525.39	493.56	532.74	323.03	277.2	376.41	157.68	194.36	423.61	591.22	368.65	279.14	414.87	470.14	460.44	234.57	483.38	361.04	277.2	314.17	327.56	323.03	170.25	327.56	368.65	620.67	483.38	301.33	312.0	341.51	283.05	256.78	490.14	358.54	316.37	229.72	397.93	376.41	133.36	182.55	723.08	543.96	438.59	157.68	525.39	239.52	275.28	371.22	493.56	223.41	224.97	409.15	373.81	366.09	457.25	297.17	291.04	728.11	603.67	457.25	265.87	325.29	236.21	480.04	211.31	470.14	320.8	185.11	323.03	220.32	303.44	470.14	447.82	231.32	309.83	283.05	279.14	307.69	277.2	312.0	368.65	289.02	256.78	244.57	339.14	132.44	358.54	314.17
FAM179B	47.84	44.89	30.56	54.33	59.13	60.82	19.68	77.79	218.79	251.48	195.72	212.78	105.89	100.83	258.57	170.25	108.9	204.07	223.41	131.51	110.43	138.1	172.65	239.52	143.01	197.09	211.31	129.69	119.26	98.73	100.13	89.51	129.69	167.9	269.6	190.34	84.63	119.26	136.19	105.89	125.24	173.85	145.02	111.21	108.14	253.23	186.4	109.66	80.57	175.07	217.27	126.12	72.01	220.32	126.12	72.52	124.37	180.02	132.44	109.66	127.89	236.21	151.22	144.01	104.42	139.07	256.78	180.02	262.2	143.01	138.1	161.02	206.94	108.9	162.14	157.68	82.29	143.01	156.59	193.01	176.29	269.6	118.43	116.78	144.01	92.05	152.28	97.36	138.1	135.24	117.6	125.24	127.89	163.28	134.3	128.79	152.28
FAN1	161.02	105.89	78.34	101.54	115.16	161.02	103.69	265.87	500.46	551.56	351.14	332.14	423.61	412.0	420.68	236.21	249.73	447.82	438.59	420.68	251.48	287.01	409.15	493.56	258.57	373.81	563.18	332.14	267.73	438.59	334.46	202.66	351.14	351.14	255.0	429.54	305.55	231.32	454.09	392.44	343.89	450.94	571.05	323.03	343.89	583.07	373.81	277.2	170.25	532.74	406.31	348.71	253.23	466.88	264.03	232.94	423.61	307.69	255.0	264.03	376.41	435.55	351.14	356.05	387.02	460.44	511.0	423.61	555.41	320.8	395.18	389.72	473.41	356.05	559.28	429.54	307.69	332.14	417.77	447.82	414.87	571.05	255.0	397.93	141.02	348.71	320.8	303.44	470.14	379.04	339.14	351.14	412.0	438.59	341.51	289.02	397.93
FBXO38	236.21	204.07	181.28	293.07	181.28	224.97	167.9	291.04	624.99	403.5	536.45	733.19	379.04	444.72	476.71	441.64	412.0	525.39	612.11	426.57	379.04	547.75	470.14	603.67	346.29	583.07	583.07	414.87	329.84	444.72	409.15	325.29	450.94	612.11	358.54	759.08	316.37	392.44	507.46	201.25	429.54	669.92	432.53	289.02	348.71	536.45	551.56	262.2	368.65	607.87	624.99	503.95	381.68	693.58	397.93	332.14	457.25	603.67	432.53	293.07	400.71	728.11	397.93	595.34	447.82	620.67	366.09	698.41	595.34	366.09	629.35	297.17	518.15	291.04	638.15	480.04	327.56	423.61	579.04	444.72	417.77	540.19	343.89	525.39	358.54	353.59	567.1	368.65	414.87	599.49	409.15	332.14	295.11	493.56	473.41	353.59	466.88
FKBP14	29.7	26.1	37.59	40.36	46.84	27.84	24.46	60.39	191.67	169.07	231.32	214.27	106.63	103.69	120.1	92.7	139.07	182.55	193.01	128.79	100.83	119.26	169.07	115.16	148.09	147.06	167.9	104.42	143.01	95.34	130.6	52.45	127.89	122.64	228.13	291.04	83.45	78.89	135.24	82.29	99.43	169.07	142.01	131.51	98.04	162.14	130.6	57.08	51.71	146.03	267.73	95.34	93.35	197.09	84.63	70.01	157.68	132.44	90.14	77.79	98.73	205.5	120.1	98.73	90.14	110.43	108.14	229.72	105.15	87.65	70.01	61.25	189.02	81.14	145.02	118.43	68.07	120.94	64.8	104.42	187.71	291.04	123.5	106.63	88.26	107.38	91.41	80.01	129.69	123.5	105.89	94.67	65.72	152.28	180.02	106.63	183.82
FNBP1L	107.38	137.14	101.54	159.9	119.26	130.6	96.01	480.04	1066.48	941.27	830.75	1359.57	529.06	718.08	974.5	583.07	642.59	1259.69	878.17	536.45	642.59	684.02	819.3	1322.37	728.11	728.11	708.18	583.07	438.59	651.58	547.75	595.34	432.53	854.13	981.29	579.04	620.67	660.68	583.07	759.08	733.19	764.36	842.36	409.15	543.96	1322.37	830.75	356.05	353.59	974.5	941.27	638.15	607.87	1350.18	656.11	353.59	507.46	591.22	511.0	497.0	738.29	981.29	733.19	1051.79	674.59	532.74	842.36	1081.39	718.08	525.39	860.08	642.59	1135.2	356.05	633.73	426.57	351.14	642.59	567.1	723.08	825.0	854.13	412.0	693.58	555.41	529.06	624.99	624.99	543.96	718.08	587.13	529.06	575.03	511.0	363.56	423.61	642.59
FUBP1	191.67	466.88	409.15	703.28	348.71	466.88	289.02	928.3	2224.63	1617.0	1498.22	2400.97	1437.15	1407.55	1447.15	1685.71	1844.76	2255.7	1745.2	1388.16	1104.13	1617.0	2319.15	1923.14	1697.45	1963.57	1721.16	1498.22	1359.57	1757.34	1447.15	954.43	1268.46	1745.2	1844.76	1844.76	1519.15	1313.23	1662.49	1417.35	1135.2	1923.14	1721.16	1508.65	1883.54	2400.97	1685.71	1909.85	1143.1	2240.11	2148.82	1467.37	1001.93	2417.67	1685.71	1628.26	1477.58	1639.59	1457.23	1268.46	1277.29	2047.0	1963.57	1583.71	1143.1	1639.59	2555.58	2434.5	1950.0	1119.56	1417.35	1397.83	2047.0	1477.58	1909.85	1583.71	1175.27	1628.26	2956.17	1674.06	1781.89	2178.83	1313.23	1331.57	1066.48	1519.15	1757.34	1540.37	1721.16	1407.55	1674.06	1487.87	1697.45	1208.34	1051.79	1111.82	1498.22
GAPVD1	46.84	83.45	75.11	64.8	80.01	92.05	65.26	112.77	397.93	283.05	381.68	389.72	182.55	147.06	293.07	185.11	199.85	291.04	392.44	190.34	186.4	232.94	325.29	348.71	143.01	361.04	314.17	182.55	143.01	218.79	195.72	119.26	217.27	195.72	265.87	595.34	151.22	164.42	239.52	181.28	180.02	273.37	226.54	206.94	171.45	190.34	258.57	98.04	105.15	363.56	392.44	180.02	137.14	341.51	158.79	127.0	228.13	215.77	182.55	128.79	209.84	348.71	242.88	217.27	166.73	201.25	363.56	373.81	397.93	190.34	220.32	162.14	316.37	134.3	212.78	229.72	117.6	190.34	231.32	307.69	339.14	314.17	152.28	212.78	130.6	180.02	201.25	164.42	231.32	236.21	164.42	143.01	134.3	226.54	176.29	206.94	231.32
GLYR1	277.2	595.34	575.03	603.67	224.97	438.59	595.34	769.69	1561.89	1685.71	1757.34	1529.73	1498.22	1143.1	1216.75	1051.79	1216.75	1447.15	1639.59	1583.71	1208.34	1350.18	1467.37	1529.73	1295.13	1427.22	1437.15	1259.69	884.29	1551.09	1331.57	1051.79	1388.16	1277.29	1870.53	1639.59	1023.0	1397.83	1498.22	1519.15	921.88	1662.49	1498.22	1233.75	1216.75	1427.22	1242.34	785.88	808.0	1709.26	1508.65	1183.45	902.89	1628.26	1111.82	995.0	1572.76	1388.16	1135.2	896.64	1242.34	1674.06	1407.55	1175.27	1407.55	1208.34	1757.34	1757.34	1551.09	1322.37	1208.34	988.12	1709.26	921.88	1457.23	1388.16	842.36	1397.83	1216.75	1199.98	1832.01	1745.2	981.29	1388.16	1277.29	1066.48	1397.83	954.43	1295.13	1617.0	1208.34	1051.79	1066.48	1447.15	1030.12	1350.18	1427.22
GOLGA1	108.9	103.69	151.22	172.65	164.42	150.17	96.01	215.77	299.25	305.55	269.6	264.03	226.54	223.41	466.88	299.25	187.71	273.37	289.02	234.57	226.54	253.23	237.86	327.56	242.88	426.57	275.28	186.4	154.42	198.47	197.09	226.54	239.52	221.86	260.38	438.59	223.41	226.54	197.09	223.41	195.72	269.6	189.02	211.31	187.71	267.73	239.52	206.94	181.28	255.0	323.03	190.34	208.38	279.14	209.84	165.57	251.48	229.72	289.02	226.54	242.88	287.01	244.57	234.57	221.86	223.41	366.09	285.03	353.59	182.55	194.36	217.27	256.78	191.67	283.05	248.0	212.78	248.0	265.87	403.5	289.02	332.14	229.72	258.57	241.19	195.72	265.87	217.27	262.2	223.41	224.97	215.77	214.27	237.86	127.0	205.5	223.41
