	TCGA.B2.5641.01A.01R.1541.07	TCGA.AK.3429.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.CJ.5672.01A.11R.1541.07	TCGA.BP.4346.01A.01R.1289.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.CJ.4903.01A.01R.1426.07	TCGA.B0.4690.01A.01R.1277.07	TCGA.B0.4848.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CZ.5464.01A.01R.1503.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.6030.01A.11R.1672.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.BP.5173.01A.01R.1426.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.B8.5551.01A.01R.1541.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.CW.6087.01A.11R.1672.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.BP.4804.01A.02R.1305.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.CJ.4637.01A.02R.1325.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.CJ.4871.01A.01R.1305.07	GTEX.132NY.1226.SM.5PNVF	GTEX.139TT.0726.SM.5K7XW	GTEX.YF7O.0626.SM.4W21R	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12WSD.0826.SM.5GCNE	GTEX.12584.1426.SM.5EGJ9	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QXCU.0626.SM.2TC69	GTEX.13OVH.1026.SM.5J2NP	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.11EI6.0826.SM.5985V	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13PVQ.0926.SM.5IJFD	GTEX.RWSA.1126.SM.2XCAZ	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.ZDXO.1326.SM.57WBS	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.PX3G.0526.SM.2I3EM	GTEX.OHPL.0526.SM.3NM8U	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.P78B.0926.SM.2I5FA	GTEX.11NUK.0826.SM.5HL4U	GTEX.Q734.0626.SM.2I3EF	GTEX.13OW6.0826.SM.5L3GA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.T2IS.0526.SM.32QP9	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
COQ5	941.27	1183.45	1088.92	753.83	642.59	854.13	1044.52	1183.45	915.51	684.02	1111.82	921.88	974.5	819.3	753.83	796.86	775.05	1225.22	866.07	679.29	603.67	941.27	848.22	848.22	708.18	915.51	616.37	791.35	708.18	808.0	842.36	954.43	669.92	423.61	305.55	651.58	435.55	612.11	507.46	275.28	318.57	624.99	595.34	177.53	483.38	175.07	226.54	603.67	713.11	463.65	283.05	234.57	414.87	713.11	314.17	599.49	273.37	287.01	301.33	206.94	248.0	656.11	368.65	343.89	107.38	358.54	660.68	669.92	563.18	309.83	256.78	426.57	249.73	395.18	303.44	205.5	764.36	435.55	860.08	249.73	629.35	397.93	890.44	271.48	775.05	703.28	633.73	842.36	583.07	629.35	595.34	426.57	341.51	343.89	334.46	127.89	329.84	285.03	343.89	232.94
COQ9	1991.0	1685.71	1605.83	2591.27	1991.0	1378.57	1909.85	1111.82	1519.15	1757.34	3303.0	1233.75	2520.38	2004.85	1175.27	1208.34	995.0	2287.2	2075.59	1806.78	708.18	2956.17	1259.69	836.53	1467.37	2351.53	1359.57	2335.28	1151.06	1857.6	2224.63	1685.71	1487.87	497.0	343.89	954.43	769.69	1030.12	713.11	406.31	571.05	802.41	1008.9	231.32	785.88	264.03	435.55	909.17	878.17	769.69	555.41	483.38	660.68	1096.5	525.39	1104.13	244.57	669.92	551.56	397.93	395.18	848.22	353.59	571.05	144.01	409.15	1143.1	753.83	616.37	457.25	358.54	591.22	483.38	559.28	567.1	305.55	1030.12	595.34	1143.1	473.41	1008.9	679.29	1030.12	346.29	1059.11	866.07	988.12	988.12	921.88	753.83	1023.0	633.73	409.15	346.29	409.15	178.77	435.55	450.94	255.0	309.83
CSTF1	559.28	638.15	503.95	387.02	483.38	607.87	679.29	457.25	583.07	289.02	624.99	490.14	500.46	432.53	387.02	563.18	387.02	607.87	389.72	529.06	470.14	466.88	507.46	571.05	441.64	358.54	429.54	470.14	476.71	454.09	460.44	521.76	620.67	154.42	194.36	540.19	262.2	470.14	307.69	217.27	209.84	301.33	323.03	144.01	293.07	242.88	170.25	406.31	363.56	435.55	244.57	187.71	336.79	414.87	193.01	490.14	162.14	215.77	336.79	214.27	186.4	412.0	223.41	208.38	202.66	305.55	447.82	480.04	351.14	275.28	176.29	327.56	258.57	223.41	299.25	169.07	366.09	285.03	599.49	309.83	320.8	223.41	420.68	150.17	406.31	287.01	466.88	688.78	312.0	400.71	476.71	265.87	206.94	195.72	197.09	271.48	283.05	249.73	212.78	189.02
DCLRE1A	120.1	131.51	157.68	99.43	114.36	151.22	117.6	131.51	120.1	69.52	78.34	115.16	108.14	101.54	105.15	154.42	111.99	88.26	114.36	84.63	115.97	132.44	177.53	141.02	87.03	101.54	109.66	90.14	116.78	102.97	145.02	137.14	139.07	30.78	25.91	105.89	50.27	101.54	53.57	28.04	47.84	88.26	60.39	17.51	58.3	42.11	38.95	84.63	117.6	105.15	70.01	29.91	58.71	96.01	45.85	100.83	26.86	37.59	76.71	17.64	40.64	71.5	35.76	22.59	17.25	49.91	112.77	123.5	62.12	43.94	45.21	59.97	41.81	35.5	52.82	29.7	108.9	45.21	115.16	69.52	90.77	79.45	127.89	29.06	104.42	107.38	128.79	121.79	68.55	89.51	96.01	55.89	31.0	34.51	38.4	20.26	50.98	41.22	32.82	35.0
DIEXF	143.01	86.43	127.89	85.22	109.66	150.17	123.5	165.57	185.11	74.58	113.56	134.3	175.07	80.01	105.15	137.14	125.24	119.26	141.02	99.43	133.36	109.66	130.6	105.15	92.05	84.63	114.36	72.01	147.06	73.54	91.41	136.19	109.66	36.01	26.28	90.14	28.45	75.64	49.21	32.59	54.72	38.95	59.97	26.67	68.55	33.54	37.32	85.22	69.03	84.04	63.45	30.34	55.89	84.04	33.54	98.73	24.81	39.79	73.54	22.1	54.72	98.04	32.13	39.22	20.71	34.02	77.25	100.83	68.55	36.27	39.79	50.63	40.64	40.64	35.5	22.26	72.01	56.68	81.71	58.71	74.58	49.21	90.77	23.42	72.52	59.97	73.54	111.21	75.11	64.34	86.43	30.34	32.82	29.7	31.45	29.06	31.9	37.85	29.27	20.26
EHHADH	3257.52	1437.15	1369.04	1498.22	1233.75	802.41	1733.13	571.05	1127.35	500.46	555.41	1447.15	1583.71	1551.09	674.59	1286.18	525.39	764.36	1151.06	1268.46	500.46	1208.34	307.69	854.13	679.29	866.07	260.38	1159.07	791.35	1008.9	1304.15	1008.9	1447.15	63.45	27.84	149.12	55.1	169.07	66.65	27.05	53.19	115.97	81.14	40.93	87.65	19.68	47.17	147.06	157.68	117.6	60.82	37.05	56.68	171.45	34.75	201.25	33.78	90.14	55.89	12.0	40.07	150.17	28.04	35.0	5.82	75.11	175.07	164.42	88.88	62.12	47.17	94.67	48.52	58.71	72.52	37.59	163.28	73.03	202.66	47.17	104.42	95.34	246.28	36.01	149.12	153.34	215.77	161.02	108.14	93.35	176.29	69.52	31.45	51.35	16.75	24.11	90.77	50.63	33.54	45.53
EIF2B1	780.44	642.59	753.83	684.02	723.08	981.29	738.29	1051.79	988.12	915.51	830.75	1030.12	708.18	764.36	733.19	764.36	693.58	780.44	647.07	679.29	954.43	775.05	842.36	909.17	796.86	974.5	791.35	684.02	836.53	813.63	718.08	791.35	684.02	463.65	264.03	884.29	493.56	928.3	559.28	332.14	529.06	713.11	753.83	246.28	647.07	500.46	426.57	1015.93	866.07	688.78	575.03	395.18	567.1	830.75	500.46	947.83	397.93	612.11	616.37	262.2	432.53	819.3	476.71	463.65	165.57	447.82	813.63	854.13	698.41	563.18	316.37	647.07	575.03	395.18	466.88	348.71	884.29	674.59	802.41	536.45	660.68	540.19	872.1	470.14	848.22	674.59	825.0	974.5	884.29	738.29	769.69	583.07	521.76	358.54	293.07	165.57	551.56	358.54	368.65	348.71
EPRS	2047.0	1639.59	1757.34	1561.89	1096.5	1605.83	1561.89	1769.57	2319.15	1388.16	2319.15	1369.04	3419.52	1175.27	1378.57	1757.34	1437.15	2271.4	2032.85	2178.83	1991.0	1628.26	1757.34	1572.76	1662.49	2032.85	1794.29	1397.83	1977.24	1883.54	1883.54	1561.89	1709.26	1191.69	518.15	1304.15	656.11	866.07	555.41	460.44	769.69	733.19	1088.92	656.11	921.88	536.45	503.95	896.64	830.75	1135.2	1350.18	624.99	723.08	884.29	567.1	890.44	503.95	872.1	612.11	532.74	733.19	860.08	567.1	603.67	387.02	656.11	1529.73	1350.18	775.05	591.22	559.28	748.61	802.41	642.59	616.37	476.71	1378.57	791.35	1175.27	620.67	1508.65	1369.04	954.43	518.15	934.76	836.53	1208.34	1781.89	819.3	1359.57	981.29	595.34	529.06	555.41	612.11	334.46	884.29	511.0	638.15	429.54
ERGIC2	1216.75	1540.37	1277.29	872.1	1151.06	1709.26	1331.57	2720.15	2004.85	1175.27	1378.57	1477.58	854.13	1175.27	988.12	1605.83	1617.0	1769.57	947.83	995.0	1313.23	1286.18	1832.01	2502.97	1250.98	1417.35	1745.2	796.86	2351.53	1030.12	1081.39	1250.98	1617.0	1769.57	1369.04	1417.35	1259.69	928.3	718.08	1167.14	1605.83	1378.57	1191.69	808.0	1674.06	791.35	651.58	1991.0	1605.83	559.28	909.17	796.86	1721.16	854.13	854.13	665.29	563.18	656.11	698.41	669.92	954.43	1127.35	575.03	1088.92	409.15	723.08	825.0	1551.09	842.36	543.96	669.92	728.11	591.22	860.08	808.0	759.08	1225.22	665.29	1388.16	1044.52	1397.83	1119.56	2004.85	698.41	1529.73	1909.85	733.19	1359.57	1781.89	733.19	954.43	651.58	651.58	1044.52	511.0	802.41	529.06	743.43	674.59	647.07
FAHD1	1407.55	2417.67	1277.29	2956.17	1519.15	854.13	3257.52	830.75	1572.76	848.22	2303.12	723.08	1781.89	1191.69	836.53	1447.15	703.28	2777.33	1896.65	1508.65	470.14	2796.65	642.59	656.11	1896.65	1561.89	595.34	1857.6	1051.79	1529.73	3690.52	1508.65	1447.15	236.21	265.87	529.06	273.37	397.93	356.05	126.12	341.51	320.8	368.65	118.43	297.17	157.68	182.55	339.14	363.56	387.02	412.0	201.25	336.79	457.25	159.9	287.01	159.9	237.86	217.27	187.71	186.4	343.89	173.85	140.04	107.38	176.29	551.56	406.31	255.0	224.97	162.14	264.03	285.03	256.78	221.86	90.77	518.15	285.03	460.44	429.54	353.59	241.19	497.0	187.71	417.77	480.04	318.57	454.09	450.94	307.69	525.39	198.47	162.14	172.65	186.4	171.45	169.07	185.11	161.02	145.02
FAM136A	599.49	981.29	674.59	728.11	825.0	759.08	866.07	1001.93	796.86	769.69	954.43	642.59	441.64	642.59	503.95	591.22	559.28	638.15	669.92	583.07	802.41	723.08	571.05	547.75	728.11	679.29	688.78	642.59	656.11	567.1	567.1	536.45	571.05	281.09	173.85	563.18	397.93	629.35	387.02	197.09	470.14	412.0	466.88	122.64	483.38	323.03	260.38	579.04	444.72	444.72	490.14	206.94	395.18	583.07	255.0	400.71	262.2	368.65	417.77	152.28	273.37	518.15	265.87	346.29	135.24	202.66	651.58	638.15	497.0	316.37	223.41	277.2	400.71	269.6	295.11	170.25	591.22	376.41	507.46	476.71	466.88	412.0	723.08	289.02	503.95	480.04	332.14	624.99	450.94	490.14	518.15	264.03	218.79	180.02	193.01	111.21	417.77	236.21	241.19	187.71
FAM13A	961.07	1388.16	1350.18	470.14	1199.98	3146.52	1199.98	1529.73	1127.35	981.29	1757.34	1183.45	825.0	1051.79	587.13	1397.83	988.12	1551.09	1208.34	872.1	1183.45	866.07	172.65	848.22	1023.0	575.03	1023.0	785.88	848.22	493.56	921.88	1304.15	1359.57	97.36	166.73	325.29	332.14	551.56	258.57	199.85	94.01	457.25	575.03	90.77	947.83	432.53	107.38	698.41	500.46	555.41	106.63	329.84	226.54	429.54	277.2	1216.75	126.12	332.14	400.71	212.78	98.04	587.13	312.0	327.56	50.98	450.94	301.33	647.07	381.68	521.76	237.86	791.35	118.43	285.03	1167.14	77.25	363.56	575.03	842.36	131.51	466.88	647.07	607.87	271.48	406.31	529.06	620.67	205.5	356.05	314.17	599.49	988.12	156.59	161.02	387.02	91.41	1242.34	118.43	470.14	178.77
FAM216A	255.0	171.45	346.29	115.97	130.6	356.05	281.09	547.75	248.0	209.84	521.76	309.83	161.02	149.12	181.28	206.94	226.54	269.6	181.28	135.24	98.04	146.03	136.19	166.73	165.57	186.4	150.17	120.94	182.55	113.56	143.01	208.38	334.46	111.99	64.34	71.5	102.97	70.51	59.55	106.63	43.94	98.04	86.43	47.5	143.01	64.8	45.53	137.14	162.14	61.25	98.73	74.58	142.01	141.02	74.06	212.78	41.22	111.99	37.05	31.0	109.66	156.59	76.17	53.57	15.8	50.98	89.51	214.27	249.73	143.01	47.5	55.89	72.52	69.52	91.41	52.82	91.41	104.42	152.28	76.71	112.77	83.45	228.13	116.78	164.42	77.79	103.69	45.53	82.87	86.43	105.15	96.01	54.33	71.5	35.0	54.33	81.71	69.52	68.07	40.36
FANCF	159.9	170.25	153.34	158.79	190.34	215.77	185.11	176.29	224.97	149.12	231.32	170.25	223.41	178.77	121.79	229.72	153.34	113.56	217.27	182.55	151.22	204.07	193.01	133.36	201.25	206.94	214.27	181.28	232.94	178.77	248.0	197.09	215.77	28.65	38.95	107.38	96.68	94.01	80.01	69.52	88.88	81.71	90.77	17.9	85.22	21.94	33.3	186.4	120.94	84.63	81.14	50.98	70.51	164.42	48.52	141.02	16.88	49.91	59.55	49.56	33.3	112.77	34.51	32.82	20.26	21.78	119.26	132.44	89.51	36.53	47.5	77.25	40.64	56.68	75.11	22.59	127.89	64.8	146.03	75.64	82.87	115.97	136.19	55.49	126.12	105.89	90.14	148.09	132.44	59.13	120.94	63.89	27.44	30.56	48.87	25.17	35.76	43.32	41.81	46.18
FASTKD3	295.11	587.13	753.83	336.79	429.54	603.67	780.44	371.22	551.56	368.65	769.69	563.18	403.5	346.29	283.05	536.45	447.82	551.56	571.05	563.18	147.06	500.46	221.86	463.65	473.41	373.81	305.55	563.18	320.8	256.78	403.5	616.37	684.02	127.0	125.24	285.03	198.47	244.57	202.66	187.71	237.86	190.34	204.07	39.79	239.52	182.55	115.97	291.04	325.29	199.85	136.19	102.97	237.86	336.79	106.63	291.04	49.91	122.64	117.6	74.58	96.01	214.27	90.77	130.6	41.52	108.14	221.86	332.14	212.78	107.38	114.36	198.47	148.09	136.19	209.84	64.34	301.33	148.09	289.02	256.78	128.79	180.02	305.55	135.24	251.48	236.21	189.02	221.86	236.21	143.01	205.5	126.12	69.03	71.0	115.16	74.58	157.68	120.1	85.82	40.64
FTSJ2	571.05	698.41	775.05	525.39	559.28	733.19	674.59	1008.9	836.53	591.22	612.11	616.37	551.56	551.56	656.11	713.11	571.05	753.83	503.95	607.87	599.49	703.28	802.41	543.96	583.07	583.07	647.07	728.11	743.43	595.34	651.58	612.11	559.28	256.78	285.03	698.41	339.14	563.18	432.53	205.5	395.18	432.53	395.18	120.1	329.84	376.41	260.38	432.53	503.95	624.99	423.61	236.21	412.0	624.99	224.97	587.13	144.01	291.04	371.22	159.9	226.54	579.04	234.57	134.3	199.85	323.03	733.19	651.58	305.55	217.27	205.5	409.15	346.29	285.03	366.09	157.68	603.67	339.14	607.87	490.14	414.87	303.44	579.04	244.57	567.1	483.38	587.13	836.53	392.44	525.39	620.67	299.25	158.79	231.32	229.72	197.09	318.57	299.25	242.88	208.38
FUNDC1	629.35	785.88	444.72	490.14	432.53	674.59	460.44	460.44	599.49	579.04	825.0	633.73	547.75	536.45	400.71	791.35	371.22	381.68	521.76	511.0	620.67	507.46	318.57	669.92	536.45	693.58	441.64	403.5	738.29	656.11	450.94	366.09	708.18	255.0	138.1	447.82	299.25	356.05	291.04	113.56	271.48	265.87	406.31	98.04	287.01	215.77	124.37	309.83	361.04	269.6	177.53	153.34	217.27	346.29	164.42	325.29	118.43	291.04	271.48	119.26	172.65	339.14	86.43	166.73	52.45	183.82	503.95	400.71	264.03	181.28	158.79	191.67	199.85	165.57	205.5	117.6	460.44	220.32	438.59	197.09	366.09	305.55	447.82	152.28	543.96	473.41	269.6	348.71	318.57	309.83	303.44	165.57	157.68	111.99	171.45	82.87	151.22	175.07	108.9	175.07
GEMIN6	299.25	629.35	341.51	612.11	271.48	299.25	567.1	366.09	316.37	312.0	503.95	309.83	381.68	293.07	295.11	463.65	253.23	400.71	339.14	420.68	384.34	397.93	301.33	293.07	356.05	412.0	329.84	392.44	384.34	400.71	532.74	267.73	307.69	180.02	74.06	202.66	159.9	204.07	173.85	71.0	198.47	151.22	223.41	64.8	255.0	48.52	111.21	151.22	248.0	182.55	143.01	72.52	234.57	309.83	130.6	264.03	54.33	140.04	115.97	84.63	85.82	224.97	100.83	110.43	39.79	107.38	283.05	285.03	115.97	90.14	66.65	161.02	85.22	155.5	111.21	63.89	351.14	156.59	368.65	139.07	232.94	171.45	293.07	125.24	256.78	234.57	190.34	339.14	236.21	205.5	217.27	102.97	92.05	65.72	101.54	68.55	122.64	132.44	120.1	73.03
GNPDA1	1350.18	1030.12	2004.85	1183.45	1151.06	1844.76	1397.83	1286.18	988.12	941.27	693.58	1119.56	1407.55	1191.69	1015.93	890.44	1143.1	1662.49	1008.9	866.07	1617.0	934.76	1417.35	1111.82	941.27	1242.34	884.29	2004.85	854.13	1167.14	995.0	1088.92	1331.57	457.25	297.17	796.86	356.05	764.36	420.68	231.32	660.68	624.99	497.0	267.73	728.11	226.54	316.37	599.49	603.67	579.04	497.0	363.56	579.04	830.75	392.44	791.35	297.17	341.51	287.01	325.29	312.0	669.92	341.51	366.09	236.21	384.34	896.64	896.64	426.57	381.68	269.6	567.1	414.87	397.93	384.34	336.79	780.44	454.09	1059.11	432.53	967.76	438.59	878.17	384.34	579.04	674.59	612.11	902.89	529.06	503.95	836.53	281.09	332.14	389.72	297.17	389.72	476.71	389.72	414.87	297.17
HEXIM2	583.07	373.81	376.41	463.65	356.05	242.88	500.46	115.97	232.94	183.82	836.53	264.03	395.18	412.0	265.87	507.46	186.4	723.08	232.94	409.15	409.15	473.41	147.06	186.4	332.14	435.55	164.42	373.81	293.07	486.75	688.78	318.57	255.0	63.45	49.21	127.89	73.03	231.32	78.34	47.84	47.17	123.5	121.79	15.11	155.5	45.21	52.45	129.69	185.11	147.06	39.5	51.71	48.18	221.86	95.34	255.0	34.75	49.56	72.01	27.64	63.0	148.09	75.11	90.14	20.11	87.65	273.37	156.59	109.66	73.03	32.36	94.67	36.27	128.79	88.26	33.06	169.07	88.26	316.37	63.89	105.89	64.8	173.85	61.68	167.9	176.29	224.97	150.17	176.29	148.09	199.85	123.5	52.82	21.32	77.79	14.35	103.69	61.25	57.08	70.01
IARS2	1304.15	866.07	1250.98	947.83	854.13	1331.57	1191.69	1487.87	1697.45	842.36	1322.37	1073.91	1617.0	860.08	1015.93	1135.2	1066.48	1268.46	1096.5	866.07	1259.69	1015.93	1119.56	1159.07	813.63	836.53	884.29	921.88	1104.13	497.0	836.53	1096.5	1183.45	620.67	409.15	1044.52	718.08	780.44	728.11	320.8	540.19	872.1	684.02	318.57	748.61	450.94	271.48	1015.93	974.5	934.76	723.08	595.34	647.07	679.29	409.15	836.53	429.54	476.71	540.19	351.14	503.95	1135.2	490.14	423.61	204.07	567.1	1295.13	1199.98	514.56	493.56	507.46	748.61	638.15	571.05	961.07	262.2	743.43	775.05	921.88	753.83	1030.12	941.27	1388.16	500.46	961.07	995.0	884.29	1322.37	842.36	934.76	902.89	651.58	480.04	543.96	603.67	316.37	620.67	607.87	620.67	476.71
IKBIP	698.41	1008.9	521.76	878.17	567.1	1651.0	1313.23	1896.65	1498.22	1216.75	1378.57	890.44	679.29	1295.13	780.44	1216.75	866.07	665.29	624.99	612.11	647.07	728.11	1151.06	1397.83	974.5	902.89	647.07	1059.11	1295.13	1073.91	728.11	450.94	1508.65	457.25	423.61	260.38	423.61	363.56	208.38	371.22	291.04	314.17	414.87	185.11	536.45	164.42	176.29	325.29	387.02	164.42	348.71	348.71	603.67	307.69	241.19	267.73	221.86	587.13	256.78	175.07	463.65	432.53	189.02	343.89	236.21	231.32	318.57	583.07	262.2	191.67	351.14	137.14	190.34	334.46	397.93	406.31	295.11	223.41	309.83	190.34	275.28	108.14	285.03	426.57	234.57	466.88	172.65	409.15	733.19	320.8	152.28	214.27	221.86	348.71	273.37	507.46	297.17	323.03	403.5	150.17
ISPD	51.71	21.63	44.57	37.59	17.9	26.28	71.0	54.72	60.82	23.08	68.07	63.45	34.75	23.42	44.25	43.63	21.32	24.46	18.16	26.47	16.27	60.39	33.54	39.22	26.1	9.93	43.63	48.18	18.43	26.28	35.5	32.82	71.0	17.38	19.82	50.27	16.15	19.11	11.21	9.85	13.72	22.26	39.79	6.31	13.62	6.84	7.28	17.0	46.5	40.64	11.82	6.67	9.48	24.46	11.21	24.46	8.25	9.93	25.54	8.58	39.22	18.03	24.81	18.29	3.35	5.73	15.11	23.93	16.63	22.59	12.93	14.78	5.73	12.09	19.97	10.24	28.04	18.43	16.51	5.28	26.1	19.25	32.36	6.01	12.0	34.51	26.67	28.65	20.11	52.45	12.55	17.25	26.67	28.65	12.0	10.79	6.94	4.78	16.63	2.2
KBTBD11	802.41	511.0	616.37	211.31	551.56	638.15	476.71	612.11	728.11	547.75	995.0	607.87	473.41	620.67	363.56	389.72	161.02	423.61	466.88	441.64	215.77	591.22	126.12	255.0	305.55	248.0	470.14	493.56	215.77	368.65	275.28	1135.2	848.22	31.0	49.21	167.9	28.86	54.72	56.68	60.39	23.08	89.51	18.16	132.44	224.97	130.6	128.79	68.07	204.07	18.7	94.67	87.65	145.02	118.43	7.63	98.04	95.34	33.06	177.53	51.35	53.95	123.5	75.64	42.41	17.9	872.1	74.06	287.01	23.59	63.45	182.55	53.57	58.3	15.91	32.82	36.01	73.54	94.67	55.1	205.5	21.47	38.67	81.14	111.99	63.89	53.19	74.58	201.25	47.5	107.38	61.68	42.41	13.62	24.28	41.22	57.08	97.36	33.06	78.89	72.01
KDELC1	220.32	205.5	177.53	180.02	191.67	316.37	381.68	371.22	624.99	543.96	591.22	397.93	343.89	208.38	223.41	571.05	283.05	176.29	182.55	241.19	195.72	320.8	480.04	209.84	239.52	379.04	518.15	277.2	825.0	181.28	258.57	204.07	341.51	132.44	41.22	88.88	58.3	117.6	32.13	12.36	50.27	90.77	66.18	33.06	387.02	20.26	28.86	93.35	148.09	44.57	39.79	61.68	131.51	75.64	64.34	112.77	34.26	112.77	23.93	39.5	82.87	88.26	140.04	128.79	14.14	37.32	97.36	164.42	45.85	25.17	36.53	27.64	36.79	84.63	53.19	33.78	87.03	40.93	131.51	17.77	116.78	16.75	96.01	48.52	115.97	131.51	80.01	125.24	67.59	92.05	74.58	71.0	86.43	63.0	39.79	38.4	32.82	27.25	53.95	34.02
LARS	1745.2	1477.58	1617.0	1096.5	1066.48	1427.22	1594.73	1216.75	1477.58	988.12	1081.39	1639.59	1359.57	1001.93	1313.23	1081.39	1088.92	1977.24	1467.37	1457.23	1191.69	1259.69	1216.75	1733.13	1104.13	1540.37	1119.56	1051.79	1159.07	941.27	1081.39	1477.58	1519.15	896.64	435.55	723.08	599.49	825.0	583.07	466.88	483.38	713.11	896.64	432.53	708.18	202.66	555.41	854.13	813.63	684.02	928.3	400.71	780.44	902.89	599.49	819.3	255.0	547.75	647.07	503.95	540.19	738.29	389.72	400.71	166.73	450.94	842.36	1037.29	728.11	518.15	334.46	656.11	547.75	684.02	432.53	450.94	775.05	503.95	947.83	507.46	921.88	775.05	854.13	444.72	764.36	665.29	785.88	1037.29	738.29	785.88	866.07	575.03	521.76	575.03	497.0	307.69	567.1	409.15	529.06	423.61
LCMT1	981.29	915.51	1030.12	1111.82	718.08	651.58	1159.07	981.29	896.64	872.1	1159.07	842.36	842.36	728.11	753.83	902.89	854.13	1295.13	921.88	961.07	559.28	1304.15	728.11	791.35	1051.79	1037.29	830.75	890.44	785.88	825.0	1617.0	785.88	1088.92	575.03	293.07	718.08	511.0	819.3	775.05	258.57	669.92	540.19	647.07	353.59	808.0	258.57	426.57	620.67	669.92	660.68	503.95	379.04	698.41	808.0	543.96	723.08	327.56	529.06	406.31	332.14	438.59	836.53	426.57	432.53	209.84	435.55	753.83	723.08	688.78	454.09	358.54	629.35	444.72	420.68	441.64	379.04	738.29	583.07	688.78	490.14	825.0	633.73	1015.93	563.18	791.35	769.69	603.67	802.41	713.11	612.11	921.88	503.95	389.72	368.65	454.09	307.69	607.87	460.44	387.02	447.82
LEO1	346.29	305.55	379.04	262.2	287.01	339.14	466.88	343.89	336.79	303.44	454.09	409.15	353.59	358.54	332.14	379.04	336.79	480.04	417.77	397.93	346.29	379.04	379.04	454.09	332.14	305.55	285.03	343.89	368.65	299.25	368.65	400.71	361.04	220.32	145.02	363.56	169.07	277.2	198.47	107.38	169.07	229.72	277.2	84.63	267.73	120.1	92.05	275.28	299.25	244.57	229.72	123.5	202.66	297.17	131.51	339.14	157.68	156.59	187.71	89.51	194.36	281.09	163.28	177.53	53.95	119.26	356.05	381.68	223.41	143.01	122.64	132.44	172.65	165.57	134.3	89.51	329.84	214.27	361.04	156.59	334.46	156.59	356.05	145.02	316.37	332.14	303.44	363.56	277.2	275.28	279.14	156.59	137.14	173.85	125.24	111.99	173.85	120.94	133.36	134.3
