	TCGA.BQ.7058.01A.11R.1965.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.2Z.A9J7.01A.11R.A38C.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.CC.A7II.01A.11R.A33J.07	TCGA.DD.A39Y.01A.11R.A213.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XGQ4.0826.SM.4AT4T	GTEX.ZY6K.0326.SM.5SIBB	GTEX.13FTX.0326.SM.5J2NG	GTEX.T8EM.0326.SM.3DB7F	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.AJ.A3BK.01A.11R.A19W.07	TCGA.QF.A5YS.01A.11R.A31O.07	TCGA.D1.A2G0.01A.11R.A32Y.07	TCGA.EY.A548.01A.11R.A27V.07	TCGA.A5.A2K7.01A.11R.A180.07	TCGA.AX.A3G3.01A.11R.A213.07	TCGA.BK.A13B.01A.51R.A22K.07	TCGA.5S.A9Q8.01A.11R.A40A.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07
MFSD11	199.85	289.02	314.17	466.88	361.04	180.02	223.41	293.07	371.22	674.59	521.76	202.66	525.39	490.14	579.04	429.54	638.15	559.28	248.0	728.11	476.71	616.37	525.39	595.34	633.73	242.88	460.44	412.0	397.93	447.82	327.56	450.94	612.11	444.72	438.59	518.15	764.36	629.35	651.58	743.43	454.09	256.78	397.93	193.01	368.65	387.02	295.11	218.79	361.04	289.02	392.44	371.22	220.32
MICAL2	54.72	14.35	118.43	199.85	153.34	113.56	198.47	146.03	3395.89	2224.63	2148.82	3614.55	718.08	1697.45	1991.0	438.59	1088.92	518.15	9215.48	1304.15	921.88	4419.52	1697.45	1697.45	1051.79	2400.97	595.34	1519.15	1225.22	1639.59	1674.06	1709.26	878.17	1844.76	2319.15	2319.15	872.1	2075.59	3515.68	1909.85	603.67	8718.32	94.67	139.07	58.3	525.39	46.5	389.72	139.07	169.07	204.07	172.65	85.82
MSMO1	684.02	397.93	583.07	438.59	688.78	642.59	420.68	2133.97	5041.77	3103.19	3589.58	2627.46	2997.45	3874.05	2032.85	2468.49	1697.45	3589.58	5954.47	2875.3	2555.58	4736.79	3665.02	3303.0	3103.19	4575.41	3257.52	4575.41	4268.94	3443.31	1561.89	3419.52	3212.66	3491.39	2119.22	3820.7	3540.14	2664.15	3716.2	2855.44	5329.3	3928.15	264.03	295.11	559.28	753.83	384.34	432.53	575.03	775.05	738.29	497.0	351.14
MTMR12	186.4	291.04	193.01	117.6	151.22	105.15	112.77	120.1	961.07	507.46	785.88	941.27	511.0	669.92	447.82	432.53	693.58	616.37	848.22	660.68	669.92	555.41	457.25	830.75	1088.92	450.94	599.49	521.76	633.73	660.68	780.44	708.18	620.67	387.02	651.58	1081.39	748.61	447.82	718.08	753.83	748.61	974.5	136.19	121.79	158.79	141.02	151.22	170.25	209.84	241.19	111.21	83.45	119.26
MYO9A	84.04	62.56	120.94	57.08	83.45	73.54	6.89	8.85	395.18	256.78	486.75	134.3	163.28	334.46	220.32	127.0	229.72	177.53	132.44	366.09	193.01	173.85	193.01	351.14	514.56	167.9	307.69	457.25	221.86	253.23	277.2	476.71	316.37	129.69	202.66	457.25	351.14	314.17	358.54	397.93	387.02	214.27	52.45	35.76	46.18	69.52	30.56	63.89	31.0	55.1	57.49	29.91	18.16
NACC2	140.04	132.44	111.99	140.04	120.94	148.09	15.45	122.64	532.74	318.57	265.87	301.33	249.73	309.83	141.02	158.79	466.88	155.5	353.59	142.01	180.02	384.34	301.33	351.14	195.72	309.83	185.11	312.0	295.11	366.09	358.54	414.87	121.79	199.85	320.8	150.17	267.73	226.54	412.0	525.39	133.36	713.11	126.12	67.12	70.01	125.24	88.88	56.28	116.78	70.51	106.63	31.45	90.14
NEK7	151.22	244.57	239.52	145.02	171.45	103.69	94.01	232.94	684.02	1088.92	1322.37	361.04	866.07	967.76	878.17	1081.39	738.29	1199.98	563.18	1023.0	872.1	493.56	1015.93	1594.73	2148.82	616.37	708.18	974.5	785.88	1340.84	909.17	1225.22	764.36	703.28	665.29	1183.45	1340.84	723.08	1447.15	2032.85	981.29	1008.9	158.79	90.14	112.77	123.5	206.94	107.38	244.57	379.04	175.07	153.34	136.19
NFIC	878.17	271.48	432.53	403.5	332.14	244.57	48.52	476.71	2384.37	1923.14	4388.98	1104.13	1143.1	1268.46	848.22	363.56	1923.14	1199.98	1794.29	575.03	808.0	2224.63	1477.58	1909.85	2047.0	2537.92	1583.71	1697.45	842.36	1407.55	1896.65	2627.46	1709.26	796.86	1295.13	1242.34	1857.6	1096.5	1806.78	1617.0	1369.04	3614.55	728.11	575.03	540.19	106.63	497.0	521.76	503.95	466.88	759.08	256.78	273.37
NIPAL3	172.65	182.55	343.89	163.28	232.94	53.19	81.71	115.97	500.46	1001.93	1096.5	297.17	353.59	638.15	743.43	417.77	748.61	432.53	376.41	791.35	674.59	595.34	629.35	808.0	819.3	674.59	511.0	974.5	392.44	543.96	389.72	915.51	543.96	353.59	417.77	473.41	555.41	679.29	780.44	612.11	688.78	595.34	358.54	115.97	169.07	120.1	166.73	130.6	151.22	343.89	182.55	127.89	99.43
NRIP1	105.89	208.38	156.59	60.82	140.04	76.17	24.99	43.02	1151.06	187.71	241.19	567.1	90.77	185.11	117.6	208.38	217.27	231.32	267.73	318.57	202.66	201.25	175.07	303.44	1183.45	384.34	157.68	177.53	575.03	332.14	389.72	197.09	251.48	132.44	162.14	698.41	460.44	105.15	532.74	191.67	521.76	633.73	37.59	54.72	73.54	92.05	171.45	82.29	49.91	127.89	59.13	59.13	59.97
NTM	12.0	1.08	4.5	7.94	4.94	7.88	33.78	6.73	432.53	1111.82	1594.73	368.65	1519.15	514.56	791.35	1143.1	21.78	429.54	211.31	86.43	1242.34	183.82	743.43	58.3	567.1	909.17	1457.23	934.76	1208.34	629.35	1313.23	1127.35	45.85	18.03	1437.15	45.85	825.0	995.0	830.75	529.06	1216.75	483.38	20.56	10.24	11.82	12.83	12.36	43.02	51.71	23.25	23.93	12.74	3.35
OCLN	202.66	138.1	334.46	181.28	187.71	185.11	221.86	423.61	3742.05	1498.22	4038.61	896.64	1977.24	2520.38	1277.29	1427.22	1639.59	2148.82	738.29	4512.4	1844.76	1369.04	785.88	4038.61	5292.48	738.29	2148.82	1561.89	1583.71	1259.69	1096.5	3060.45	3955.48	1001.93	1427.22	1572.76	1397.83	1259.69	1397.83	2796.65	1073.91	2303.12	244.57	146.03	201.25	271.48	94.01	147.06	363.56	214.27	181.28	175.07	159.9
PBRM1	30.12	44.89	73.03	83.45	114.36	45.85	112.77	101.54	612.11	314.17	728.11	339.14	237.86	579.04	334.46	187.71	291.04	348.71	305.55	381.68	271.48	412.0	403.5	587.13	684.02	165.57	327.56	353.59	392.44	366.09	414.87	543.96	381.68	457.25	353.59	934.76	836.53	612.11	518.15	764.36	301.33	412.0	132.44	88.88	135.24	159.9	170.25	215.77	125.24	167.9	128.79	68.55	82.29
PCP4L1	1.51	0.0	0.0	1.23	1.23	0.75	4.98	79.45	679.29	1313.23	223.41	791.35	212.78	1457.23	267.73	432.53	1447.15	44.25	460.44	241.19	1008.9	500.46	738.29	1104.13	180.02	500.46	669.92	470.14	144.01	107.38	1225.22	10.79	138.1	226.54	708.18	470.14	796.86	1233.75	447.82	358.54	802.41	1378.57	34.51	7.28	5.41	2.63	1.62	1.04	4.13	1.14	14.67	9.2	0.0
PCSK2	0.49	0.71	38.95	0.6	0.0	0.0	0.49	0.0	934.76	454.09	1662.49	61.68	133.36	283.05	2090.03	518.15	166.73	212.78	43.02	688.78	82.87	409.15	277.2	1378.57	71.5	242.88	620.67	363.56	182.55	318.57	1697.45	379.04	1628.26	81.71	497.0	353.59	140.04	93.35	713.11	111.21	493.56	1044.52	125.24	0.0	0.0	0.3	1.28	0.78	1.35	0.0	0.0	1.64	0.62
PCYOX1	638.15	753.83	297.17	669.92	620.67	447.82	147.06	172.65	1617.0	2627.46	3060.45	1183.45	1617.0	2119.22	1605.83	1331.57	2018.8	1540.37	612.11	2090.03	1806.78	1096.5	1806.78	2148.82	2240.11	896.64	1745.2	1417.35	1259.69	1844.76	1794.29	2537.92	1991.0	1104.13	1685.71	1991.0	2148.82	1583.71	2090.03	2739.08	791.35	1923.14	521.76	320.8	242.88	507.46	629.35	339.14	215.77	473.41	281.09	208.38	221.86
PDS5A	403.5	426.57	363.56	249.73	249.73	400.71	264.03	236.21	860.08	563.18	708.18	759.08	620.67	555.41	454.09	447.82	420.68	551.56	651.58	796.86	397.93	698.41	395.18	1059.11	1225.22	733.19	532.74	547.75	612.11	669.92	616.37	633.73	555.41	521.76	536.45	1359.57	1008.9	591.22	1051.79	660.68	941.27	1242.34	265.87	316.37	318.57	435.55	397.93	426.57	258.57	460.44	351.14	264.03	277.2
POGK	226.54	228.13	366.09	204.07	289.02	241.19	251.48	253.23	981.29	679.29	1277.29	954.43	769.69	1104.13	599.49	583.07	961.07	698.41	703.28	854.13	633.73	878.17	514.56	1111.82	1477.58	703.28	698.41	723.08	688.78	915.51	616.37	1111.82	563.18	575.03	769.69	825.0	915.51	769.69	860.08	1008.9	638.15	1250.98	127.0	172.65	269.6	279.14	301.33	293.07	379.04	473.41	447.82	366.09	269.6
POSTN	29.06	4.06	18.56	65.26	67.12	98.04	733.19	75.11	281.09	718.08	902.89	1225.22	1001.93	429.54	1340.84	279.14	249.73	1073.91	470.14	466.88	583.07	529.06	1250.98	1143.1	503.95	215.77	1096.5	454.09	450.94	603.67	511.0	1159.07	995.0	536.45	1427.22	947.83	1883.54	802.41	1088.92	9740.98	299.25	88.88	108.9	75.11	6.73	20.56	30.12	358.54	262.2	258.57	129.69	128.79	120.1
PPM1K	114.36	120.1	44.25	224.97	81.71	100.13	22.75	12.0	120.94	279.14	457.25	67.59	423.61	376.41	236.21	281.09	361.04	198.47	56.68	269.6	325.29	164.42	277.2	356.05	551.56	186.4	500.46	289.02	96.01	297.17	320.8	323.03	303.44	114.36	234.57	69.52	603.67	231.32	237.86	417.77	295.11	151.22	54.72	28.04	57.49	27.64	45.53	53.95	75.64	72.01	14.89	193.01	119.26
PPP3CA	175.07	87.03	149.12	312.0	206.94	122.64	99.43	29.91	1008.9	638.15	808.0	848.22	525.39	463.65	529.06	514.56	796.86	941.27	460.44	866.07	669.92	514.56	483.38	759.08	1066.48	507.46	764.36	819.3	575.03	587.13	521.76	743.43	647.07	318.57	447.82	1819.35	1066.48	563.18	1242.34	1151.06	599.49	723.08	205.5	121.79	231.32	25.54	215.77	334.46	246.28	314.17	189.02	218.79	260.38
PRKAR1A	2384.37	1923.14	1977.24	2178.83	2287.2	1242.34	1508.65	872.1	6561.36	7857.29	8840.04	5076.84	5329.3	7032.37	6983.79	4639.29	3901.01	5329.3	10808.41	5555.65	4419.52	5147.73	5041.77	10084.54	13492.72	5479.15	4903.87	6337.83	5006.93	6935.54	5255.91	6840.04	7749.1	3540.14	5633.22	7032.37	5041.77	4239.45	6516.03	6516.03	6935.54	5831.91	1909.85	842.36	1331.57	1457.23	1417.35	1277.29	1044.52	1806.78	728.11	813.63	595.34
PTPN13	64.34	65.26	204.07	90.77	159.9	162.14	8.45	0.0	1498.22	1662.49	2209.26	540.19	728.11	1721.16	1447.15	1037.29	1151.06	842.36	314.17	1950.0	872.1	587.13	1277.29	2104.58	1417.35	525.39	2004.85	1417.35	796.86	954.43	1883.54	2090.03	2537.92	830.75	1051.79	1487.87	1651.0	2163.77	2104.58	1583.71	1096.5	718.08	148.09	27.84	52.82	137.14	10.31	28.24	45.53	11.04	15.91	7.17	53.95
PTRF	1073.91	171.45	2609.3	759.08	3280.18	193.01	651.58	142.01	9945.68	9740.98	13968.57	3540.14	6079.61	8022.41	3395.89	5751.61	8022.41	5555.65	3467.27	5517.27	7695.57	6079.61	4358.66	6792.79	4095.0	3820.7	5292.48	6079.61	5517.27	5831.91	6745.86	7589.61	4210.15	2609.3	6426.31	4152.18	8421.31	7589.61	10659.59	10296.45	791.35	17927.91	1769.57	540.19	595.34	1059.11	525.39	988.12	1233.75	341.51	759.08	251.48	629.35
PVRL3	99.43	56.68	73.03	144.01	165.57	84.63	149.12	8.45	395.18	237.86	733.19	642.59	215.77	563.18	305.55	137.14	249.73	463.65	138.1	599.49	314.17	309.83	251.48	836.53	2240.11	108.9	423.61	152.28	438.59	400.71	285.03	563.18	1697.45	63.0	389.72	1605.83	571.05	215.77	575.03	559.28	96.68	642.59	110.43	35.5	158.79	30.12	52.82	103.69	48.87	137.14	9.63	166.73	56.68
QKI	291.04	575.03	249.73	186.4	218.79	205.5	171.45	175.07	1844.76	2163.77	3060.45	1923.14	1447.15	2400.97	1051.79	1081.39	1467.37	1191.69	1685.71	1628.26	1066.48	1304.15	1651.0	3257.52	3820.7	1781.89	1143.1	1857.6	981.29	2319.15	1159.07	3168.41	1191.69	1044.52	780.44	2224.63	1896.65	1378.57	2032.85	2835.7	1896.65	3168.41	166.73	135.24	120.1	197.09	220.32	103.69	181.28	194.36	115.97	165.57	249.73
RAB14	563.18	473.41	551.56	543.96	684.02	780.44	633.73	490.14	1857.6	1340.84	1498.22	1268.46	1605.83	1721.16	1572.76	1781.89	1044.52	2591.27	1605.83	2319.15	2032.85	1594.73	836.53	2224.63	2701.35	1191.69	1350.18	1519.15	1923.14	1697.45	1340.84	1697.45	1286.18	1477.58	1508.65	3280.18	2148.82	1407.55	2400.97	2645.74	2997.45	1794.29	698.41	483.38	620.67	669.92	460.44	559.28	493.56	813.63	392.44	764.36	353.59
RAP1A	796.86	743.43	796.86	902.89	733.19	896.64	842.36	1183.45	3515.68	3303.0	2209.26	2502.97	3847.29	2573.36	2240.11	2645.74	1883.54	3372.43	1551.09	4239.45	2163.77	2178.83	2303.12	5441.3	5479.15	3081.75	1883.54	2032.85	2090.03	3325.99	2367.9	3212.66	3303.0	1832.01	1781.89	5366.37	4298.64	1477.58	4268.94	3419.52	2645.74	3901.01	1225.22	698.41	684.02	928.3	981.29	642.59	1191.69	1159.07	406.31	830.75	941.27
RDX	842.36	547.75	185.11	587.13	329.84	387.02	329.84	738.29	1950.0	2163.77	1909.85	785.88	1605.83	2047.0	1015.93	1199.98	1457.23	1529.73	1151.06	1594.73	1447.15	1008.9	1359.57	2573.36	3515.68	902.89	941.27	1088.92	1794.29	1594.73	1143.1	2502.97	1096.5	1437.15	1183.45	2133.97	2720.15	1378.57	1457.23	2816.11	1225.22	2645.74	400.71	295.11	277.2	559.28	518.15	414.87	205.5	423.61	209.84	262.2	336.79
RMDN2	49.56	102.97	108.9	97.36	127.89	39.5	41.81	78.89	412.0	1051.79	579.04	178.77	693.58	616.37	775.05	842.36	743.43	954.43	147.06	1081.39	376.41	381.68	503.95	392.44	769.69	186.4	748.61	316.37	457.25	620.67	624.99	651.58	738.29	441.64	507.46	802.41	595.34	603.67	567.1	543.96	376.41	289.02	93.35	32.59	75.11	53.95	81.14	31.0	36.27	55.49	47.5	44.89	60.82
RP2	108.9	63.89	87.03	53.95	81.14	24.46	43.32	25.54	460.44	260.38	242.88	305.55	198.47	366.09	283.05	212.78	199.85	395.18	327.56	204.07	253.23	318.57	303.44	555.41	769.69	279.14	166.73	318.57	320.8	429.54	312.0	305.55	176.29	379.04	231.32	450.94	381.68	228.13	579.04	363.56	358.54	483.38	38.4	44.25	53.57	44.89	95.34	59.13	42.41	79.45	41.52	27.25	44.89
S100A4	1066.48	1015.93	854.13	1322.37	2777.33	743.43	921.88	669.92	15824.9	25179.16	19082.0	19082.0	29943.43	37379.55	22692.63	33922.56	34158.52	34876.28	12676.65	43236.64	36357.37	23330.64	15934.98	27745.15	19082.0	5672.41	50011.46	17681.08	33224.42	15285.81	21919.61	53973.86	10659.59	27745.15	52863.07	26067.14	22225.61	37901.36	17078.76	23169.48	2875.3	27745.15	4704.07	12415.75	4010.71	5219.6	2061.24	9808.75	10512.82	2224.63	1583.71	8598.28	7081.29
SAMD4A	107.38	51.35	29.27	67.12	111.99	53.57	49.91	194.36	555.41	177.53	320.8	1008.9	177.53	249.73	177.53	173.85	189.02	145.02	423.61	194.36	120.94	206.94	438.59	297.17	187.71	674.59	131.51	283.05	279.14	346.29	325.29	236.21	195.72	176.29	221.86	320.8	145.02	187.71	447.82	239.52	172.65	813.63	109.66	132.44	48.52	19.97	25.72	59.13	74.58	46.84	69.03	162.14	158.79
SC5D	339.14	376.41	110.43	353.59	289.02	379.04	346.29	698.41	1388.16	1437.15	1008.9	551.56	1008.9	1088.92	693.58	836.53	698.41	954.43	1437.15	1628.26	759.08	2255.7	1540.37	1397.83	1605.83	1340.84	1540.37	1540.37	1242.34	1551.09	429.54	1340.84	1674.06	791.35	540.19	1628.26	1417.35	629.35	1286.18	813.63	1806.78	909.17	400.71	232.94	289.02	420.68	409.15	212.78	265.87	395.18	231.32	389.72	723.08
SCN7A	0.52	0.0	0.97	0.0	1.25	0.0	1.66	0.47	1059.11	1277.29	2209.26	327.56	928.3	406.31	780.44	563.18	1088.92	1051.79	4.24	1447.15	303.44	60.39	1127.35	1175.27	5555.65	249.73	1030.12	567.1	138.1	2335.28	1286.18	1883.54	698.41	81.71	353.59	651.58	1322.37	180.02	1175.27	1295.13	293.07	1208.34	0.0	0.95	0.0	0.0	1.06	2.18	1.6	0.99	0.65	0.0	0.0
SEPT10	339.14	379.04	389.72	555.41	327.56	260.38	186.4	170.25	1697.45	2032.85	2178.83	1208.34	1167.14	1651.0	1277.29	1467.37	1001.93	1561.89	1529.73	1561.89	1259.69	860.08	1498.22	2148.82	4481.23	1369.04	1183.45	1359.57	1037.29	1529.73	1313.23	2520.38	1096.5	629.35	961.07	2758.13	1844.76	1066.48	1529.73	2591.27	1388.16	2417.67	258.57	309.83	363.56	299.25	409.15	256.78	209.84	329.84	305.55	129.69	271.48
SERINC3	647.07	1551.09	981.29	529.06	660.68	860.08	587.13	587.13	2384.37	3491.39	3716.2	1639.59	2255.7	2047.0	2004.85	2004.85	2335.28	1991.0	1529.73	2645.74	1721.16	1819.35	2627.46	3928.15	3742.05	1963.57	1870.53	1685.71	1709.26	2591.27	2133.97	3491.39	2417.67	1143.1	2047.0	1991.0	3349.13	1674.06	3212.66	3690.52	1487.87	3589.58	878.17	429.54	567.1	486.75	819.3	444.72	1268.46	896.64	559.28	633.73	529.06
SFTPA2	5.15	1.46	0.0	0.0	1.27	3.82	2.84	0.0	6014443.23	4495342.72	4023444.33	4051429.61	2924988.47	4402829.88	3268052.11	2825352.59	3049200.37	3134925.09	3995652.37	3995652.37	3806410.22	3940643.03	4851500.88	5163792.94	1751305.3	4079609.54	3526974.2	5308966.95	3313672.43	2786455.11	5163792.94	2156109.97	3968052.37	2493947.08	2767207.65	2904784.09	2511293.86	3806410.22	2581895.97	3406832.48	3430528.88	4051429.61	4.28	14.67	1.16	0.0	0.0	3.5	0.0	21.16	7.22	0.53	0.57
SGMS1	191.67	149.12	136.19	147.06	137.14	44.25	68.07	136.19	1295.13	842.36	1304.15	397.93	529.06	1037.29	587.13	753.83	830.75	780.44	1304.15	753.83	703.28	591.22	511.0	1199.98	1963.57	521.76	599.49	529.06	928.3	796.86	819.3	1397.83	1268.46	607.87	633.73	1242.34	974.5	660.68	1191.69	1286.18	514.56	878.17	262.2	135.24	218.79	178.77	178.77	299.25	115.16	157.68	86.43	153.34	80.01
SLAIN2	397.93	231.32	371.22	198.47	295.11	214.27	116.78	193.01	1350.18	1295.13	1417.35	974.5	1088.92	1023.0	563.18	521.76	1135.2	796.86	1066.48	921.88	1037.29	1427.22	981.29	1572.76	2047.0	808.0	674.59	842.36	1044.52	1088.92	884.29	1111.82	915.51	612.11	555.41	1498.22	1216.75	988.12	1685.71	1073.91	890.44	1950.0	193.01	150.17	223.41	269.6	361.04	208.38	191.67	450.94	320.8	176.29	111.99
SLC10A4	1.03	0.37	0.0	0.32	0.95	0.0	1.85	0.56	16.51	202.66	53.19	9.78	0.59	70.51	3.89	24.11	37.05	19.53	14.24	19.68	59.13	90.14	101.54	66.65	16.51	19.82	83.45	55.89	41.22	8.65	251.48	11.21	93.35	8.25	15.68	28.24	21.47	84.63	105.15	48.18	50.98	29.7	10.47	9.41	7.63	0.52	4.06	2.76	1.1	0.85	5.77	17.25	8.19
SMAD4	78.89	231.32	251.48	249.73	208.38	232.94	301.33	131.51	1051.79	813.63	1127.35	947.83	563.18	995.0	703.28	629.35	941.27	836.53	921.88	1268.46	703.28	848.22	733.19	1359.57	2004.85	624.99	830.75	1023.0	665.29	1340.84	723.08	1359.57	947.83	525.39	633.73	1340.84	1936.53	848.22	1639.59	1923.14	1208.34	1594.73	351.14	165.57	358.54	438.59	358.54	279.14	237.86	361.04	231.32	157.68	165.57
SNX25	71.0	108.14	80.57	53.95	69.03	81.14	42.41	88.26	1781.89	1794.29	1896.65	2075.59	1617.0	1417.35	1628.26	1844.76	1340.84	1745.2	1119.56	2417.67	1477.58	1427.22	1340.84	1781.89	2555.58	995.0	1487.87	1561.89	1183.45	1477.58	1819.35	1561.89	2061.24	981.29	1359.57	1963.57	1304.15	1487.87	1605.83	1427.22	2451.44	733.19	248.0	66.18	82.87	123.5	249.73	80.01	44.57	108.14	293.07	74.58	81.14
SPRED2	176.29	144.01	137.14	127.0	193.01	138.1	127.0	164.42	981.29	490.14	921.88	1697.45	476.71	435.55	423.61	325.29	432.53	583.07	988.12	486.75	575.03	466.88	463.65	954.43	1151.06	1023.0	470.14	665.29	878.17	674.59	656.11	738.29	503.95	206.94	490.14	575.03	612.11	363.56	647.07	808.0	785.88	1119.56	167.9	133.36	128.79	223.41	248.0	151.22	191.67	130.6	248.0	67.12	83.45
SULT1B1	3.47	2.43	0.0	2.71	0.61	0.0	0.85	7.75	61.25	40.36	38.4	3.66	24.81	17.64	44.57	30.12	39.5	77.79	7.51	55.89	19.39	34.51	65.26	49.56	76.71	47.5	21.63	8.0	59.13	53.95	42.71	75.64	43.94	29.06	49.91	29.27	175.07	12.09	65.72	93.35	25.35	48.18	1.39	13.42	0.0	2.53	1.28	0.45	0.46	2.89	1.28	0.0	8.32
TBC1D9	98.04	56.28	131.51	115.16	165.57	98.73	116.78	96.68	642.59	728.11	934.76	334.46	373.81	928.3	423.61	366.09	665.29	384.34	361.04	693.58	470.14	450.94	748.61	915.51	1359.57	540.19	579.04	743.43	466.88	878.17	480.04	1081.39	309.83	218.79	486.75	435.55	669.92	665.29	854.13	1066.48	450.94	775.05	93.35	92.05	130.6	38.4	182.55	141.02	94.01	232.94	61.68	95.34	99.43
TGFB1I1	299.25	53.19	53.95	74.58	27.84	110.43	239.52	63.89	387.02	967.76	713.11	264.03	1508.65	688.78	466.88	532.74	1059.11	656.11	629.35	356.05	603.67	947.83	1594.73	713.11	698.41	878.17	796.86	417.77	728.11	961.07	1199.98	647.07	693.58	890.44	1127.35	423.61	651.58	1023.0	1175.27	1135.2	684.02	836.53	511.0	255.0	387.02	69.03	273.37	435.55	638.15	95.34	297.17	182.55	107.38
TGFBR2	253.23	314.17	343.89	466.88	551.56	269.6	195.72	116.78	9151.82	7749.1	9279.58	6381.92	3540.14	5147.73	4152.18	2537.92	3491.39	7081.29	1427.22	7130.55	3768.09	3081.75	4066.71	8840.04	24832.5	6207.38	4802.93	2047.0	5711.87	5913.33	3874.05	11112.3	6887.62	1331.57	5403.7	11345.82	11112.3	2335.28	7382.04	10808.41	3716.2	17437.64	351.14	186.4	182.55	229.72	244.57	206.94	361.04	389.72	125.24	97.36	162.14
TJP1	273.37	232.94	368.65	217.27	248.0	165.57	166.73	100.83	2537.92	1457.23	2119.22	1832.01	1508.65	1519.15	902.89	1340.84	1617.0	1508.65	718.08	1733.13	1225.22	1127.35	1059.11	2287.2	2935.74	1044.52	1286.18	1417.35	1259.69	1561.89	1487.87	2075.59	1745.2	669.92	1119.56	1388.16	2271.4	1594.73	1883.54	3081.75	1167.14	1794.29	267.73	316.37	457.25	255.0	339.14	406.31	318.57	323.03	289.02	142.01	447.82
TMBIM4	2178.83	3257.52	2417.67	2664.15	2400.97	1757.34	1437.15	1350.18	3515.68	4543.8	2997.45	1794.29	6121.9	5076.84	4869.99	4903.87	2895.31	7589.61	3901.01	5791.62	5791.62	4704.07	4358.66	6840.04	6983.79	5076.84	6079.61	3018.3	4607.24	4268.94	3690.52	4704.07	4095.0	2400.97	3443.31	6337.83	4972.34	2682.69	4575.41	3742.05	4769.75	4769.75	3716.2	2240.11	1870.53	684.02	3614.55	1639.59	1651.0	3325.99	2537.92	1322.37	1583.71
TMEM173	82.87	63.89	97.36	108.14	190.34	44.57	150.17	59.97	3303.0	1378.57	2090.03	9409.14	1977.24	2796.65	1991.0	1119.56	2555.58	3690.52	10808.41	1733.13	4972.34	3901.01	1977.24	2209.26	1896.65	2400.97	1250.98	2004.85	9540.5	1909.85	7803.01	2384.37	1794.29	2739.08	3039.3	1896.65	1883.54	2520.38	2133.97	3443.31	3349.13	2209.26	529.06	703.28	1745.2	291.04	297.17	1378.57	1225.22	1583.71	1059.11	616.37	743.43
TMEM245	341.51	242.88	277.2	334.46	358.54	384.34	242.88	78.34	1059.11	1487.87	1662.49	607.87	1008.9	796.86	981.29	967.76	1304.15	1059.11	351.14	1467.37	764.36	884.29	1175.27	1561.89	2537.92	866.07	1127.35	995.0	518.15	1216.75	1008.9	1639.59	1216.75	438.59	981.29	1111.82	1551.09	693.58	1286.18	1259.69	921.88	1059.11	555.41	120.94	132.44	149.12	223.41	81.14	156.59	152.28	123.5	185.11	132.44
TMEM43	1883.54	860.08	2104.58	921.88	2075.59	775.05	470.14	327.56	2335.28	1819.35	2739.08	1733.13	1721.16	1467.37	1721.16	1427.22	1697.45	2701.35	2061.24	2591.27	2032.85	2417.67	1857.6	1950.0	3349.13	2119.22	1936.53	1806.78	2148.82	2591.27	3212.66	2004.85	2537.92	1167.14	2417.67	2627.46	2319.15	1023.0	2796.65	2351.53	2367.9	2682.69	567.1	368.65	808.0	878.17	450.94	403.5	587.13	503.95	591.22	255.0	540.19
TMEM56	80.01	13.52	50.98	67.12	72.01	127.0	121.79	84.04	275.28	185.11	271.48	215.77	169.07	339.14	123.5	237.86	358.54	215.77	115.97	339.14	198.47	127.89	218.79	417.77	454.09	97.36	236.21	307.69	109.66	94.01	111.99	236.21	289.02	190.34	281.09	595.34	264.03	273.37	158.79	204.07	214.27	77.25	62.12	35.5	88.88	35.76	44.25	85.22	16.75	98.73	92.05	20.56	7.57
