	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	GTEX.13QIC.2326.SM.5LU5N	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZYWO.1026.SM.5E45U	GTEX.13FTX.0526.SM.5IFGS	GTEX.XOTO.2126.SM.4B64U	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.11GSP.1826.SM.5N9DQ	GTEX.QV44.1126.SM.4R1KO	GTEX.R53T.1126.SM.48FD4	GTEX.13FLV.1126.SM.5J2NO	GTEX.YEC3.2526.SM.4YCDN	GTEX.OXRN.1726.SM.3NM9B	GTEX.OXRK.1326.SM.3NB1A	GTEX.OIZG.1026.SM.3LK5X	GTEX.X4XY.1726.SM.46MVO	GTEX.OIZI.1426.SM.3NB1T	GTEX.1399S.1326.SM.5P9GH
TMEM106B	921.88	723.08	1081.39	1037.29	1199.98	1059.11	412.0	271.48	307.69	470.14	301.33	336.79	262.2	447.82	616.37	412.0	173.85	379.04	197.09	733.19	435.55	208.38	497.0	206.94	511.0	314.17	341.51	733.19	316.37
TMEM182	132.44	156.59	156.59	130.6	130.6	191.67	23.25	48.18	21.16	48.52	9.93	21.78	18.56	36.27	50.27	15.56	43.94	34.02	22.59	52.08	56.28	17.77	35.76	23.25	45.21	15.45	30.78	56.68	20.41
TMEM209	529.06	353.59	497.0	460.44	438.59	532.74	180.02	177.53	108.9	154.42	98.04	107.38	75.11	121.79	223.41	108.14	57.08	102.25	42.71	121.79	128.79	35.0	154.42	60.39	145.02	69.52	85.22	190.34	97.36
TRIM4	981.29	1135.2	909.17	1037.29	1697.45	514.56	316.37	281.09	346.29	406.31	316.37	246.28	346.29	329.84	543.96	400.71	212.78	460.44	166.73	412.0	595.34	223.41	409.15	281.09	651.58	303.44	215.77	563.18	299.25
TRIP11	665.29	563.18	651.58	441.64	665.29	616.37	175.07	220.32	136.19	218.79	159.9	127.89	148.09	204.07	441.64	305.55	115.16	295.11	74.58	381.68	275.28	69.03	334.46	102.25	387.02	178.77	98.73	417.77	253.23
TRMT10A	206.94	229.72	204.07	242.88	265.87	277.2	124.37	56.68	60.39	73.03	70.01	106.63	38.95	121.79	262.2	151.22	29.27	107.38	53.57	130.6	105.15	42.11	191.67	68.07	178.77	77.25	119.26	161.02	76.71
TRMT61B	532.74	511.0	336.79	403.5	718.08	341.51	260.38	334.46	231.32	339.14	212.78	246.28	161.02	232.94	214.27	149.12	121.79	211.31	139.07	283.05	273.37	116.78	275.28	150.17	343.89	115.16	119.26	387.02	142.01
TTC33	327.56	457.25	381.68	412.0	954.43	373.81	41.81	92.7	114.36	143.01	88.88	100.13	78.89	146.03	143.01	127.89	60.82	111.21	62.56	134.3	153.34	68.55	153.34	98.04	175.07	66.18	75.11	138.1	72.01
UBA3	1540.37	1487.87	1051.79	1191.69	2163.77	1159.07	1378.57	769.69	842.36	928.3	909.17	791.35	802.41	967.76	954.43	947.83	507.46	890.44	463.65	1096.5	866.07	441.64	1175.27	579.04	1088.92	651.58	334.46	1167.14	723.08
UBXN2B	620.67	536.45	507.46	307.69	775.05	536.45	95.34	122.64	137.14	265.87	151.22	157.68	113.56	173.85	283.05	193.01	111.99	133.36	106.63	221.86	228.13	88.88	211.31	96.01	236.21	121.79	120.94	269.6	109.66
URI1	1950.0	2335.28	1883.54	1991.0	3257.52	1417.35	1044.52	2148.82	941.27	1359.57	921.88	1104.13	825.0	723.08	1088.92	813.63	463.65	688.78	368.65	1051.79	890.44	599.49	1225.22	392.44	1225.22	438.59	381.68	1295.13	563.18
USP28	555.41	444.72	438.59	441.64	587.13	397.93	229.72	236.21	226.54	314.17	269.6	193.01	234.57	275.28	366.09	293.07	106.63	289.02	103.69	305.55	318.57	146.03	269.6	113.56	316.37	242.88	85.22	267.73	153.34
UTP14C	384.34	500.46	567.1	497.0	660.68	323.03	102.25	141.02	142.01	134.3	92.05	113.56	88.88	137.14	223.41	170.25	48.52	116.78	40.36	164.42	228.13	37.05	178.77	78.34	226.54	109.66	69.52	231.32	98.73
VCPIP1	211.31	182.55	209.84	246.28	470.14	231.32	73.03	84.63	80.57	92.7	82.29	76.17	64.8	88.88	111.99	84.63	45.85	79.45	34.75	98.04	108.9	46.18	103.69	61.68	127.89	67.59	67.59	134.3	51.35
VIPAS39	432.53	490.14	480.04	555.41	785.88	490.14	220.32	262.2	387.02	417.77	414.87	460.44	417.77	297.17	412.0	353.59	191.67	379.04	146.03	336.79	356.05	137.14	381.68	320.8	412.0	246.28	318.57	503.95	312.0
VPS35	1896.65	2271.4	2047.0	2240.11	3564.78	1857.6	2032.85	1096.5	1104.13	1233.75	1104.13	808.0	909.17	1369.04	1286.18	1216.75	660.68	1135.2	718.08	1417.35	1388.16	808.0	1225.22	713.11	1331.57	1088.92	497.0	1378.57	1119.56
VTA1	1199.98	928.3	860.08	1397.83	1388.16	1143.1	1313.23	791.35	1008.9	1159.07	1143.1	780.44	909.17	872.1	1066.48	974.5	361.04	941.27	379.04	1096.5	967.76	314.17	1001.93	503.95	1167.14	583.07	414.87	1104.13	642.59
WBP4	389.72	368.65	341.51	429.54	525.39	283.05	187.71	363.56	198.47	358.54	189.02	198.47	159.9	208.38	232.94	334.46	191.67	275.28	108.14	275.28	229.72	150.17	307.69	127.0	343.89	172.65	108.9	289.02	202.66
WDR89	435.55	420.68	312.0	303.44	500.46	297.17	132.44	239.52	94.67	114.36	91.41	87.03	87.03	106.63	193.01	104.42	41.52	103.69	46.5	172.65	144.01	35.76	120.94	72.52	217.27	72.52	71.0	144.01	83.45
WDR92	204.07	248.0	260.38	279.14	242.88	191.67	127.89	165.57	151.22	154.42	118.43	110.43	100.13	122.64	130.6	154.42	33.54	103.69	55.89	136.19	156.59	42.11	131.51	70.01	164.42	124.37	62.12	141.02	108.14
YME1L1	2555.58	1991.0	2193.99	1923.14	4298.64	2193.99	1359.57	1286.18	1225.22	1519.15	1216.75	1159.07	988.12	1407.55	1594.73	1498.22	791.35	1572.76	688.78	1697.45	1447.15	808.0	1529.73	753.83	1540.37	1096.5	860.08	1639.59	1135.2
ZBTB14	409.15	301.33	559.28	409.15	441.64	368.65	114.36	201.25	115.97	157.68	118.43	85.82	107.38	175.07	226.54	204.07	50.27	144.01	44.57	158.79	244.57	69.52	199.85	72.52	159.9	140.04	54.33	237.86	98.04
ZBTB33	723.08	713.11	612.11	493.56	595.34	866.07	397.93	327.56	161.02	267.73	199.85	106.63	166.73	242.88	275.28	232.94	124.37	202.66	148.09	307.69	299.25	172.65	325.29	195.72	318.57	204.07	143.01	353.59	153.34
ZBTB6	221.86	256.78	231.32	223.41	612.11	195.72	94.01	119.26	78.89	114.36	82.87	67.12	68.55	102.25	115.16	118.43	44.25	95.34	40.07	111.99	105.89	22.43	130.6	81.71	127.0	72.52	71.0	157.68	79.45
ZNF146	2434.5	2047.0	1769.57	1407.55	3564.78	2193.99	507.46	884.29	693.58	1242.34	514.56	587.13	493.56	583.07	836.53	764.36	403.5	507.46	460.44	679.29	669.92	332.14	728.11	470.14	981.29	412.0	432.53	1096.5	441.64
ZNF225	84.04	215.77	189.02	173.85	231.32	105.15	23.25	40.64	27.44	36.01	28.65	22.43	26.28	29.7	50.63	50.27	17.38	35.76	15.8	46.5	71.5	7.22	53.19	19.82	67.59	24.99	22.1	69.03	23.76
ZNF45	269.6	432.53	435.55	353.59	368.65	271.48	72.52	162.14	93.35	96.01	74.58	60.39	89.51	127.89	153.34	170.25	40.07	113.56	39.79	125.24	144.01	42.11	154.42	28.86	161.02	121.79	43.63	204.07	109.66
ZNF490	59.97	89.51	96.01	76.17	109.66	51.35	15.0	11.55	19.97	14.89	17.9	19.53	20.71	17.64	44.25	24.99	6.78	31.0	11.38	46.5	55.89	6.31	35.5	3.92	50.98	14.67	9.41	31.67	17.77
ZW10	476.71	460.44	438.59	514.56	728.11	483.38	275.28	289.02	214.27	244.57	244.57	211.31	223.41	264.03	316.37	301.33	167.9	271.48	163.28	307.69	291.04	134.3	363.56	135.24	339.14	237.86	121.79	356.05	258.57
