	TCGA.W5.AA31.11A.11R.A41I.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.DD.A1EB.01A.11R.A131.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.BC.A10Z.01A.11R.A131.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.WJ.A86L.01A.12R.A39D.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.CC.A3MB.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.REY6.1226.SM.48FDR
MFAP4	480.04	0.0	49.91	414.87	656.11	2.07	314.17	26.67	30.34	193.01	103.69	10.47	13.03	486.75	5.15	271.48	115.16	87.03	15.34	27.25	17.9	16.51	7.11	13.32	703.28	316.37	500.46	3372.43	3742.05	1721.16	2935.74	3280.18	314.17	67377.47	395.18	7695.57	842.36	1388.16	3039.3	1350.18	1051.79	802.41	896.64	2434.5	5255.91	555.41	480.04	825.0	3372.43	2895.31	5791.62	555.41	2816.11	1709.26	525.39	5954.47	2303.12	1605.83	4210.15	6426.31	2451.44	81.14
NTF3	77.25	0.0	5.92	8.19	2.76	0.0	13.12	17.64	4.62	37.05	1.08	2.07	2.73	37.59	0.88	7.06	11.21	5.73	11.73	1.48	11.55	2.84	2.56	15.56	53.57	70.51	52.82	221.86	89.51	607.87	435.55	503.95	165.57	371.22	95.34	532.74	129.69	414.87	208.38	178.77	73.54	98.73	100.13	273.37	277.2	57.08	126.12	142.01	314.17	205.5	194.36	353.59	74.58	336.79	366.09	229.72	275.28	187.71	397.93	271.48	389.72	41.22
OLFML3	339.14	21.78	127.89	134.3	187.71	18.29	94.67	18.56	46.84	77.25	40.36	16.39	30.12	144.01	115.16	114.36	120.1	61.68	13.12	49.56	83.45	44.25	18.84	27.05	457.25	320.8	281.09	1059.11	974.5	339.14	1096.5	1950.0	217.27	3589.58	115.16	2047.0	536.45	1605.83	813.63	329.84	314.17	389.72	341.51	928.3	941.27	379.04	688.78	450.94	1350.18	1037.29	1769.57	381.68	660.68	599.49	575.03	1819.35	629.35	1340.84	620.67	723.08	738.29	24.46
PAMR1	106.63	13.12	47.5	19.97	21.01	15.91	20.11	9.41	15.56	27.44	17.38	10.71	18.7	59.13	26.67	25.72	52.45	30.56	9.41	22.43	62.12	16.15	11.04	12.18	139.07	142.01	105.89	423.61	325.29	127.89	264.03	301.33	96.01	733.19	68.07	607.87	186.4	371.22	273.37	97.36	195.72	156.59	208.38	169.07	291.04	191.67	241.19	105.89	525.39	193.01	540.19	229.72	231.32	363.56	236.21	503.95	348.71	723.08	182.55	251.48	312.0	38.12
PDZRN3	24.63	0.0	9.41	15.91	15.11	1.07	11.04	5.06	7.75	8.38	2.97	0.66	3.32	29.7	1.33	17.9	6.11	7.63	3.44	4.54	14.89	3.0	1.1	4.35	21.94	19.97	18.29	116.78	21.32	25.91	56.68	185.11	17.64	607.87	6.21	110.43	24.63	38.95	122.64	28.86	13.42	59.97	11.64	70.51	153.34	23.59	37.59	49.56	63.45	67.12	164.42	7.82	39.22	83.45	23.59	69.03	146.03	115.97	36.79	105.89	39.22	10.24
PDZRN4	7.11	0.0	0.35	1.66	0.69	0.0	2.56	0.0	0.35	2.92	1.08	0.0	0.33	3.23	0.0	1.1	0.88	0.58	1.28	0.33	1.07	0.0	0.3	0.0	3.2	3.44	5.92	17.0	13.32	9.7	31.9	110.43	6.36	52.82	5.59	8.65	3.86	47.17	35.25	6.46	8.0	8.25	2.76	10.31	32.13	1.71	15.8	8.0	22.43	12.36	40.07	6.16	9.41	17.51	12.18	42.71	12.45	25.91	15.22	14.56	32.82	0.49
PHACTR3	8.99	0.44	0.49	1.19	0.47	2.81	1.28	0.0	0.49	2.86	0.0	0.0	0.46	3.53	0.39	0.89	0.0	0.0	1.5	0.0	0.47	1.0	0.44	0.54	9.85	6.01	6.62	23.25	18.97	12.18	22.43	39.5	5.63	52.45	10.63	39.79	9.48	35.76	44.57	14.24	7.94	6.94	11.73	9.41	11.73	4.24	22.43	9.06	24.11	35.0	41.22	11.04	27.05	22.26	19.82	29.06	15.8	41.22	21.16	44.25	18.97	2.27
PRAM1	40.07	5.63	15.68	47.5	9.85	5.36	28.86	10.88	3.2	45.21	5.15	9.85	3.53	23.42	10.16	11.13	27.84	11.47	8.51	30.56	21.94	8.51	8.25	8.06	65.72	34.75	44.89	88.26	136.19	82.29	102.97	100.13	84.63	170.25	43.32	201.25	78.34	169.07	32.82	111.21	28.24	49.56	60.39	170.25	80.57	43.63	37.85	48.52	221.86	72.52	228.13	85.22	39.79	92.05	67.59	122.64	107.38	121.79	33.54	110.43	79.45	26.86
PTH1R	660.68	9.06	62.56	33.54	35.76	7.75	102.25	6.31	40.36	23.76	11.91	10.24	13.42	195.72	11.64	37.85	232.94	88.26	15.68	42.71	109.66	42.41	12.55	34.26	457.25	486.75	743.43	1407.55	3124.78	1617.0	713.11	1794.29	1359.57	3847.29	660.68	4388.98	703.28	3982.99	1104.13	2047.0	267.73	1781.89	1286.18	2224.63	1111.82	228.13	651.58	633.73	2739.08	854.13	2701.35	1044.52	638.15	647.07	890.44	1183.45	995.0	2090.03	688.78	2193.99	1143.1	599.49
RNF150	7.4	0.0	1.46	3.14	1.79	1.23	2.61	1.0	1.03	3.79	0.58	0.52	0.57	5.15	1.13	5.77	2.18	1.53	0.91	0.57	1.39	0.8	1.3	0.0	4.24	3.5	6.67	17.9	15.0	7.94	12.55	54.72	2.53	102.97	3.53	37.05	15.68	16.03	23.76	3.14	1.85	7.11	14.89	31.67	33.06	2.76	6.84	5.06	21.32	12.55	29.91	5.92	15.22	8.85	18.7	23.25	16.75	31.67	22.1	29.27	7.88	0.91
RSPO3	70.51	0.0	0.96	16.15	10.24	0.0	8.99	0.0	2.18	6.57	2.89	0.46	0.52	24.63	0.0	9.2	14.24	7.22	0.84	1.68	0.52	1.35	0.0	0.0	24.28	54.33	65.26	232.94	366.09	85.22	91.41	583.07	37.05	595.34	33.3	279.14	154.42	420.68	105.89	55.1	72.52	140.04	47.17	281.09	153.34	74.06	138.1	45.85	371.22	265.87	246.28	201.25	221.86	221.86	94.67	339.14	387.02	599.49	131.51	591.22	76.17	3.14
SCARA5	39.5	0.0	0.39	13.32	6.57	0.0	10.31	1.11	0.0	3.96	0.0	0.0	2.84	19.68	0.0	11.82	6.46	1.22	0.34	0.0	0.74	0.0	0.34	0.0	26.47	21.94	3.03	106.63	61.68	29.27	11.73	60.39	27.05	120.1	14.89	51.35	36.01	241.19	14.35	52.82	7.75	22.92	39.22	187.71	63.0	37.59	105.89	16.75	63.89	57.89	91.41	45.53	34.26	59.97	21.32	307.69	120.94	36.27	47.5	262.2	63.89	2.25
SFRP1	37.59	0.44	14.03	2.89	8.71	0.42	2.41	0.47	1.71	5.36	1.66	0.0	0.46	6.16	1.0	3.59	11.13	4.43	1.48	1.97	11.82	13.32	0.8	1.0	21.47	30.12	23.08	105.15	209.84	47.17	109.66	435.55	26.28	353.59	10.79	323.03	88.26	314.17	118.43	78.89	29.91	32.82	14.89	61.25	150.17	41.81	88.26	26.1	297.17	94.01	189.02	44.57	119.26	48.52	40.36	271.48	157.68	173.85	83.45	71.5	108.9	14.45
SLC39A5	6250.56	110.43	1.93	555.41	202.66	2104.58	1199.98	287.01	31.9	1806.78	1242.34	2434.5	2434.5	3794.3	607.87	27.84	4.98	301.33	540.19	55.49	629.35	1769.57	255.0	2777.33	6381.92	6337.83	3018.3	14561.8	16843.62	18689.27	13968.57	17317.18	36610.26	9876.98	13776.25	40904.3	25708.25	26067.14	14163.58	37639.55	14262.1	14065.74	6792.79	28923.41	25354.3	15075.35	11745.96	11584.24	27745.15	13306.94	27363.16	34396.12	9606.86	21468.49	10733.74	16157.44	16496.96	17078.76	9279.58	27553.49	24153.43	1745.2
ST6GAL2	28.24	0.0	1.43	3.11	1.36	0.48	7.63	0.54	2.68	3.0	0.97	0.0	1.75	4.7	0.0	3.06	9.27	3.79	0.0	0.53	0.54	0.0	0.51	0.0	23.08	9.63	21.94	89.51	98.04	17.25	143.01	103.69	11.13	256.78	11.38	84.04	10.63	265.87	167.9	28.65	21.78	31.9	25.17	41.81	36.53	10.31	74.58	35.5	107.38	49.91	140.04	7.34	35.5	52.82	10.08	149.12	105.89	139.07	14.14	91.41	46.5	5.28
SVEP1	49.91	0.59	16.51	35.5	47.5	3.11	27.44	3.92	2.41	16.03	12.0	2.73	1.04	47.84	3.76	37.32	22.75	8.38	1.71	4.24	7.75	3.08	2.51	1.69	59.55	41.81	41.22	159.9	100.13	26.86	156.59	267.73	8.06	1857.6	8.78	170.25	35.5	77.25	108.9	20.56	54.72	28.45	54.72	74.06	115.97	22.59	62.56	81.71	90.14	99.43	211.31	33.54	65.26	75.11	68.55	191.67	91.41	114.36	100.13	96.01	102.25	8.19
TCF21	24.28	0.56	12.27	8.71	11.3	1.3	14.24	1.04	5.5	4.5	12.36	3.14	4.35	23.25	4.5	17.77	8.45	7.17	6.94	4.78	6.11	1.83	2.14	2.68	21.01	11.47	22.75	76.17	65.26	38.12	34.26	103.69	26.86	136.19	15.91	124.37	43.32	111.21	55.1	33.3	34.26	20.41	25.17	44.89	90.14	57.89	41.81	15.8	114.36	103.69	98.04	28.45	59.55	57.89	20.56	90.14	82.87	64.34	41.22	120.94	70.01	3.0
TNN	21.94	0.39	7.75	2.84	4.13	3.96	6.73	3.44	0.84	6.06	2.36	1.35	0.4	10.24	1.81	1.6	6.46	16.63	0.37	1.53	4.54	0.32	2.46	3.11	10.39	9.34	9.63	25.54	14.56	6.41	27.05	41.22	8.85	112.77	15.22	68.55	20.41	31.9	19.53	21.47	9.78	18.84	15.22	39.5	57.49	15.34	37.32	6.46	58.3	36.27	57.08	25.35	10.24	11.38	17.13	68.07	29.7	33.06	18.84	34.51	34.51	1.81
VIPR1	395.18	4.54	140.04	11.64	3.99	9.41	11.73	17.38	22.75	21.63	89.51	5.06	14.56	190.34	10.24	8.78	142.01	13.42	26.86	2.56	94.01	37.85	24.99	10.39	329.84	182.55	267.73	1268.46	1295.13	785.88	591.22	967.76	285.03	3325.99	218.79	2645.74	595.34	1561.89	669.92	688.78	363.56	896.64	318.57	1487.87	665.29	231.32	836.53	224.97	1066.48	1051.79	1467.37	848.22	361.04	785.88	1023.0	1242.34	1119.56	1304.15	536.45	1561.89	860.08	42.71
WDR66	22.92	6.73	16.39	3.86	4.54	5.23	1.81	18.56	18.97	10.39	12.18	8.58	1.31	11.21	2.94	11.82	9.85	7.94	10.0	3.59	7.22	1.83	3.82	7.28	32.59	20.11	26.28	78.89	49.21	36.01	84.04	159.9	3.96	224.97	19.97	157.68	23.59	24.63	33.3	37.85	11.91	30.12	19.82	53.19	24.11	40.36	18.29	22.92	66.65	28.86	93.35	41.52	71.5	13.42	89.51	29.27	148.09	57.89	22.26	85.82	49.21	19.68
