	TCGA.DM.A28G.01A.11R.A16W.07	GTEX.13111.0726.SM.5DUVE	GTEX.Y9LG.1526.SM.4WWDR	GTEX.YB5E.1626.SM.5IFIQ	GTEX.11LCK.2026.SM.5A5MA	GTEX.1399S.1926.SM.5J2M5	GTEX.1211K.1726.SM.5FQUJ	GTEX.139T6.1326.SM.5IFFO	GTEX.XBEW.1926.SM.4SOJO	GTEX.13O21.2426.SM.5MR4A	GTEX.13FTW.1826.SM.5IJEN	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZPIC.2226.SM.57WDX	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.11I78.1226.SM.5A5K6	GTEX.14DAR.1526.SM.5RQIX	GTEX.YF7O.1726.SM.5IFJ9	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.12C56.0626.SM.5EGGC	GTEX.ZT9W.1826.SM.51MQX	TCGA.KM.8438.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8405.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8430.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5083.01A.02R.1420.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.145LU.1326.SM.5LU9N	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.13112.1426.SM.5EGH8	TCGA.R5.A7O7.01A.11R.A33Y.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CG.4466.01A.01R.1157.13	TCGA.HU.A4H2.01A.11R.A251.31	TCGA.BR.8483.01A.31R.2402.13	GTEX.VJYA.1026.SM.4KL21	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
DLGAP5	53.95	148.09	154.42	108.9	157.68	95.34	81.71	101.54	135.24	293.07	162.14	110.43	234.57	167.9	100.13	143.01	130.6	161.02	229.72	277.2	170.25	54.72	6.26	13.03	5.68	4.1	16.03	13.22	9.56	35.76	12.83	14.56	6.21	4.43	2.94	28.86	19.11	31.0	15.0	3.63	10.39	14.45	10.63	36.79	21.78	31.9	3.0	5.5	1.66	0.0	0.0	1.3	2.01	10.55	4.86	0.82	693.58	134.3	426.57	409.15	91.41	25.35	7.51	25.72	17.51
DNA2	111.99	48.52	52.08	43.32	70.51	57.49	45.21	35.0	40.36	63.45	39.79	38.95	52.82	54.33	23.93	58.3	62.56	51.35	38.67	50.98	41.22	39.5	4.21	9.48	5.36	5.5	5.41	6.89	6.78	10.31	4.94	4.06	4.17	50.27	9.93	15.0	38.4	35.25	18.03	5.19	30.34	28.24	19.25	66.18	34.02	56.28	27.84	4.31	21.63	23.08	34.75	42.11	30.34	29.7	41.81	18.43	97.36	142.01	206.94	146.03	108.14	35.76	30.34	39.79	18.43
DNMT1	1111.82	995.0	967.76	638.15	796.86	819.3	540.19	780.44	860.08	511.0	791.35	595.34	567.1	830.75	656.11	909.17	412.0	825.0	693.58	866.07	1127.35	591.22	429.54	277.2	387.02	387.02	343.89	414.87	327.56	414.87	392.44	327.56	403.5	273.37	336.79	373.81	392.44	500.46	273.37	373.81	356.05	403.5	463.65	525.39	241.19	1030.12	234.57	149.12	283.05	149.12	229.72	218.79	166.73	476.71	145.02	291.04	2047.0	1794.29	2240.11	1008.9	1583.71	688.78	785.88	713.11	665.29
DQX1	93.35	1369.04	1340.84	1594.73	1508.65	1277.29	1697.45	1277.29	1447.15	1870.53	1233.75	2047.0	1304.15	1662.49	1216.75	1233.75	1322.37	1096.5	1127.35	1096.5	1183.45	947.83	0.47	0.0	2.41	0.43	0.42	0.0	0.91	0.42	0.51	0.0	0.0	0.42	0.0	1.81	4.58	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77	3.72	0.0	0.0	0.0	0.0	4.39	3.96	36.01	3.82	0.26	60.39	813.63	170.25	368.65	22.92	154.42	0.82	0.92	0.96
DTL	44.57	156.59	128.79	58.71	115.16	81.71	43.02	63.89	54.72	123.5	65.26	56.28	60.39	120.1	83.45	92.7	108.14	172.65	133.36	96.01	80.57	46.84	23.93	4.78	7.0	8.45	15.8	14.03	7.75	17.51	14.56	22.59	9.63	6.36	18.16	29.7	42.71	62.56	23.25	13.03	23.76	16.15	43.94	64.34	75.11	34.51	9.41	9.27	37.85	0.83	4.74	4.62	4.43	20.56	1.23	3.35	143.01	84.63	323.03	231.32	110.43	44.25	78.89	100.83	22.1
E2F7	10.0	17.77	30.56	18.84	21.78	18.16	15.22	9.93	11.04	24.63	21.94	18.03	21.94	27.64	16.03	17.51	17.64	17.13	23.93	31.45	24.46	9.34	0.91	1.45	0.47	2.43	13.52	1.43	1.75	5.59	2.86	2.92	0.45	6.01	2.1	7.94	4.5	4.78	2.14	4.06	1.6	0.91	9.56	7.94	4.24	6.46	1.31	2.51	1.3	0.13	0.08	2.03	3.53	0.51	0.04	0.0	50.63	48.87	137.14	32.59	34.26	11.47	4.5	8.06	4.78
EDEM3	336.79	417.77	473.41	633.73	543.96	450.94	583.07	563.18	376.41	769.69	698.41	473.41	780.44	532.74	669.92	497.0	620.67	679.29	511.0	684.02	559.28	555.41	113.56	114.36	87.65	132.44	132.44	258.57	81.71	159.9	190.34	198.47	189.02	215.77	98.04	279.14	124.37	201.25	153.34	102.25	164.42	133.36	221.86	392.44	587.13	389.72	325.29	118.43	336.79	228.13	299.25	463.65	392.44	293.07	629.35	353.59	743.43	723.08	961.07	1733.13	674.59	688.78	260.38	334.46	265.87
EHF	166.73	2956.17	2935.74	4210.15	3303.0	4010.71	2976.74	3742.05	2075.59	3639.7	3794.3	2956.17	3564.78	3395.89	3716.2	4543.8	3303.0	3665.02	2895.31	4181.07	2777.33	2434.5	6.52	24.63	44.57	109.66	8.92	48.52	2.97	204.07	22.92	9.85	49.56	28.24	27.25	51.71	1.46	23.76	3.32	4.39	7.34	25.54	23.59	15.0	29.91	61.68	9.27	9.06	77.79	6.31	20.56	16.88	35.76	16.39	22.92	7.75	376.41	2163.77	3325.99	423.61	967.76	1175.27	44.89	208.38	63.0
EIF2AK2	223.41	154.42	136.19	169.07	138.1	201.25	134.3	189.02	183.82	144.01	182.55	137.14	195.72	155.5	202.66	146.03	158.79	181.28	124.37	234.57	139.07	124.37	96.01	189.02	60.82	176.29	70.01	126.12	68.55	170.25	89.51	120.94	152.28	120.1	61.25	142.01	77.79	201.25	131.51	101.54	113.56	129.69	115.16	117.6	124.37	126.12	87.03	50.63	115.97	138.1	118.43	94.01	102.25	124.37	67.59	90.14	183.82	295.11	466.88	414.87	703.28	246.28	137.14	224.97	81.71
EME1	71.0	50.98	103.69	43.63	68.55	69.52	29.48	57.08	50.98	99.43	58.3	50.98	61.68	102.97	73.54	52.08	51.71	54.72	64.34	92.7	85.82	32.59	3.69	9.85	5.77	12.0	8.99	6.78	2.68	11.04	8.25	5.45	4.98	10.24	5.96	12.64	40.07	14.56	38.95	9.27	23.42	18.84	51.35	27.25	39.5	41.22	5.54	3.79	6.57	4.9	9.93	8.13	10.0	23.25	4.03	11.91	204.07	118.43	400.71	149.12	197.09	18.7	12.0	13.72	7.94
ERCC6L	15.8	14.89	26.67	17.38	33.3	19.82	13.32	12.74	16.75	34.75	24.28	18.29	29.91	34.51	26.47	22.1	11.21	32.13	36.53	41.81	27.05	6.26	0.92	0.99	1.43	2.05	6.01	3.82	2.2	5.63	2.39	2.94	3.11	0.82	2.53	8.85	5.06	5.96	3.44	1.83	2.01	2.73	3.38	9.41	4.1	5.87	1.5	0.68	1.39	0.24	0.15	1.46	0.2	0.96	0.0	1.81	99.43	39.22	87.65	90.14	39.79	12.27	4.24	10.71	6.67
F11R	718.08	2573.36	2303.12	2739.08	2178.83	2997.45	2451.44	2875.3	1561.89	2627.46	2855.44	2451.44	2720.15	2178.83	2895.31	2520.38	2664.15	2468.49	2434.5	2335.28	2434.5	3303.0	536.45	825.0	457.25	669.92	435.55	406.31	514.56	521.76	486.75	447.82	669.92	860.08	995.0	902.89	928.3	1143.1	947.83	819.3	718.08	775.05	1023.0	429.54	1794.29	988.12	1268.46	1088.92	1561.89	518.15	1127.35	426.57	995.0	571.05	1487.87	723.08	1295.13	3235.01	4066.71	1388.16	1697.45	1991.0	954.43	1286.18	1551.09
FAM136A	1111.82	1096.5	1081.39	1159.07	1037.29	981.29	1088.92	1119.56	988.12	988.12	941.27	1081.39	1268.46	1242.34	988.12	1044.52	1111.82	1199.98	872.1	947.83	1015.93	995.0	320.8	579.04	343.89	417.77	212.78	265.87	267.73	323.03	163.28	329.84	361.04	536.45	258.57	432.53	559.28	775.05	723.08	616.37	884.29	708.18	688.78	559.28	438.59	813.63	733.19	463.65	674.59	417.77	417.77	703.28	723.08	1208.34	603.67	698.41	1081.39	1313.23	1685.71	1572.76	1594.73	909.17	1369.04	684.02	629.35
FAM83B	35.25	251.48	285.03	305.55	275.28	258.57	281.09	295.11	323.03	356.05	273.37	320.8	309.83	358.54	441.64	253.23	346.29	323.03	283.05	314.17	289.02	253.23	78.89	42.41	31.45	52.45	28.24	40.36	64.34	186.4	19.25	45.53	102.97	0.39	1.62	52.08	0.48	12.64	0.4	0.88	0.0	0.43	1.39	0.0	0.0	1.0	1.03	1.0	1.73	3.32	0.72	1.55	3.06	1.51	0.56	4.82	19.11	220.32	121.79	53.57	76.71	74.58	6.11	10.08	16.88
FAM83D	103.69	186.4	118.43	78.89	120.94	94.01	51.35	68.55	138.1	169.07	147.06	106.63	155.5	121.79	85.82	112.77	77.79	152.28	703.28	170.25	115.97	90.14	8.0	10.08	8.92	4.46	36.01	16.03	9.56	19.97	10.88	14.03	58.71	6.41	26.1	55.1	16.51	40.64	20.86	19.39	9.93	29.91	21.47	363.56	90.77	231.32	38.4	28.24	31.45	10.24	12.0	12.55	40.93	33.06	74.58	51.35	607.87	98.73	1081.39	878.17	450.94	153.34	29.06	43.63	80.01
FANCI	253.23	273.37	312.0	208.38	221.86	199.85	105.89	191.67	151.22	249.73	217.27	180.02	224.97	293.07	229.72	265.87	191.67	231.32	271.48	299.25	285.03	116.78	36.53	23.42	31.0	49.56	110.43	36.79	41.52	99.43	56.28	67.59	68.07	34.26	45.85	102.97	54.33	152.28	100.83	39.22	74.06	57.49	94.67	132.44	58.71	59.97	33.54	18.84	28.45	13.22	16.15	24.81	50.27	21.32	8.92	23.42	423.61	435.55	813.63	575.03	287.01	127.89	68.07	128.79	46.18
FBXO45	201.25	131.51	127.0	123.5	115.97	108.14	86.43	122.64	100.13	100.13	102.97	111.99	155.5	114.36	126.12	144.01	108.14	187.71	115.97	134.3	108.9	100.13	54.33	65.26	30.12	55.89	49.21	65.26	43.94	70.51	55.49	68.55	67.59	71.5	66.18	85.82	35.0	58.71	42.41	39.5	55.89	59.13	81.71	129.69	129.69	130.6	66.18	39.5	61.25	67.12	65.26	49.21	53.95	47.5	95.34	53.19	285.03	185.11	218.79	166.73	135.24	89.51	105.89	78.34	105.15
FBXO5	122.64	85.22	131.51	81.14	95.34	75.11	71.5	76.71	82.29	137.14	121.79	58.71	132.44	89.51	101.54	113.56	102.25	126.12	119.26	134.3	102.25	39.5	26.86	18.29	12.27	43.63	17.25	39.22	15.22	42.41	22.26	41.52	55.49	26.1	18.84	52.08	23.59	47.5	34.51	17.25	23.59	33.78	22.59	32.13	17.13	73.54	28.86	13.03	30.34	19.25	16.88	32.36	57.89	31.0	30.34	47.84	353.59	211.31	334.46	212.78	224.97	84.63	41.81	63.45	43.94
GEN1	61.25	149.12	287.01	186.4	156.59	190.34	309.83	201.25	215.77	137.14	166.73	234.57	228.13	269.6	145.02	171.45	204.07	155.5	112.77	221.86	208.38	134.3	14.35	17.38	8.51	24.81	12.0	20.86	21.32	45.21	17.13	31.67	31.9	15.22	4.62	55.1	13.62	30.56	20.56	11.82	21.63	24.81	29.48	57.49	53.57	53.19	48.87	19.53	75.11	84.63	145.02	117.6	92.7	56.68	30.78	79.45	130.6	128.79	253.23	217.27	142.01	67.12	23.08	49.56	23.25
GINS1	73.54	153.34	127.0	87.65	132.44	92.05	52.82	73.03	106.63	153.34	100.13	85.82	124.37	127.89	96.68	137.14	96.68	147.06	153.34	151.22	150.17	72.52	19.82	11.3	16.15	17.64	40.93	18.16	12.83	40.93	20.56	15.68	15.22	80.57	26.28	55.49	30.12	86.43	64.34	57.49	43.94	34.26	50.98	49.21	37.59	35.76	13.83	12.27	22.1	1.99	7.06	3.92	15.0	11.73	11.47	9.06	125.24	101.54	457.25	144.01	417.77	47.5	26.28	29.91	25.17
GMEB1	121.79	71.0	122.64	111.21	107.38	114.36	76.71	146.03	92.05	105.15	151.22	93.35	112.77	85.22	138.1	120.1	109.66	117.6	131.51	115.16	126.12	116.78	76.17	70.01	50.63	90.77	55.1	84.04	79.45	102.25	63.0	68.07	86.43	62.12	82.87	91.41	39.5	42.71	75.11	61.25	44.89	55.89	55.89	28.65	60.39	99.43	60.82	46.84	50.98	32.13	55.89	48.18	42.71	48.87	63.45	46.18	176.29	129.69	145.02	129.69	63.0	110.43	89.51	120.94	68.55
GPR19	19.25	14.45	14.24	5.77	9.48	7.34	8.32	7.4	9.06	3.72	8.0	2.07	7.69	7.34	4.28	13.72	3.32	7.46	3.29	3.79	21.78	3.79	1.35	0.49	1.89	0.41	1.2	1.91	0.88	4.03	0.0	2.43	2.23	1.2	2.1	1.33	5.54	5.15	1.71	2.27	0.4	5.87	1.45	11.64	9.78	8.06	0.0	2.43	1.23	3.35	0.29	1.27	0.0	6.21	2.14	3.96	56.68	18.43	72.52	18.97	32.59	7.63	2.71	14.24	0.46
GTF2B	629.35	791.35	723.08	688.78	603.67	703.28	642.59	796.86	521.76	718.08	813.63	616.37	819.3	551.56	759.08	698.41	656.11	679.29	995.0	728.11	842.36	884.29	320.8	389.72	285.03	563.18	232.94	473.41	334.46	460.44	343.89	400.71	543.96	392.44	607.87	511.0	607.87	204.07	389.72	540.19	529.06	480.04	454.09	371.22	612.11	490.14	447.82	381.68	454.09	532.74	400.71	392.44	490.14	503.95	547.75	447.82	941.27	679.29	753.83	708.18	332.14	674.59	450.94	941.27	551.56
HIATL1	802.41	738.29	647.07	708.18	583.07	688.78	551.56	620.67	432.53	525.39	718.08	718.08	599.49	514.56	647.07	780.44	629.35	579.04	624.99	884.29	684.02	473.41	473.41	607.87	248.0	638.15	320.8	559.28	490.14	381.68	547.75	507.46	647.07	493.56	579.04	775.05	291.04	559.28	400.71	312.0	397.93	412.0	511.0	249.73	208.38	336.79	130.6	99.43	166.73	118.43	164.42	145.02	154.42	81.71	208.38	204.07	511.0	559.28	802.41	718.08	612.11	669.92	265.87	620.67	329.84
HMX3	2.71	7.69	17.13	7.57	6.57	1.71	7.82	9.34	11.82	13.83	18.56	3.72	12.64	15.11	1.75	5.23	4.7	30.34	13.12	1.73	15.0	4.74	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	2.56	78.89	0.0	0.0	0.0	0.0	0.0
HSPA14	460.44	769.69	665.29	620.67	713.11	651.58	647.07	656.11	575.03	497.0	651.58	703.28	567.1	660.68	629.35	669.92	612.11	708.18	612.11	607.87	679.29	583.07	232.94	157.68	208.38	229.72	102.25	214.27	237.86	228.13	170.25	191.67	215.77	444.72	187.71	262.2	141.02	301.33	190.34	236.21	209.84	185.11	211.31	486.75	275.28	543.96	178.77	71.0	193.01	175.07	131.51	234.57	190.34	191.67	158.79	173.85	791.35	688.78	1008.9	1191.69	854.13	341.51	343.89	343.89	299.25
IL10RB	473.41	1923.14	1561.89	1832.01	1388.16	2335.28	1844.76	1769.57	1208.34	1870.53	2384.37	1540.37	2178.83	1551.09	2193.99	1628.26	2148.82	1388.16	1674.06	1685.71	1639.59	2209.26	457.25	417.77	466.88	796.86	234.57	353.59	514.56	441.64	256.78	371.22	738.29	341.51	860.08	323.03	450.94	684.02	483.38	563.18	503.95	409.15	429.54	295.11	525.39	450.94	660.68	532.74	567.1	616.37	426.57	334.46	551.56	457.25	470.14	466.88	698.41	947.83	808.0	1119.56	748.61	1529.73	289.02	447.82	406.31
IQGAP3	84.63	159.9	232.94	141.02	226.54	165.57	111.99	120.94	180.02	314.17	201.25	147.06	189.02	242.88	158.79	209.84	189.02	208.38	209.84	287.01	241.19	78.89	2.27	7.82	3.82	12.74	9.34	7.17	2.23	12.18	10.55	7.88	5.41	2.46	38.95	23.25	28.45	115.16	21.94	12.83	18.56	26.47	39.5	43.32	46.84	70.51	6.67	1.11	13.22	1.19	3.0	0.26	2.36	8.58	2.71	3.72	688.78	173.85	743.43	1378.57	607.87	72.01	12.36	54.72	13.93
IRF2	591.22	647.07	536.45	665.29	571.05	693.58	518.15	718.08	483.38	753.83	802.41	532.74	764.36	511.0	878.17	629.35	775.05	743.43	684.02	802.41	718.08	607.87	473.41	555.41	409.15	511.0	470.14	607.87	444.72	547.75	503.95	525.39	848.22	305.55	490.14	414.87	490.14	529.06	493.56	353.59	387.02	540.19	466.88	525.39	423.61	514.56	237.86	389.72	571.05	209.84	555.41	395.18	884.29	454.09	503.95	595.34	693.58	1044.52	674.59	728.11	633.73	1008.9	309.83	708.18	397.93
KIF11	66.65	151.22	195.72	124.37	144.01	113.56	70.51	108.9	128.79	262.2	177.53	124.37	231.32	162.14	126.12	148.09	156.59	193.01	221.86	291.04	170.25	75.64	11.04	12.36	5.11	8.78	17.64	19.53	7.69	33.78	15.0	13.42	22.59	17.0	3.69	33.78	37.32	43.94	24.28	8.45	15.34	16.03	21.78	43.32	27.84	35.5	7.11	4.35	10.0	11.73	5.11	7.63	11.82	8.92	3.35	5.06	329.84	162.14	256.78	441.64	183.82	65.26	20.56	51.35	15.8
KIF14	13.42	21.32	30.78	19.53	26.86	14.45	13.03	17.0	14.45	35.25	26.28	18.7	25.72	25.35	17.64	27.25	21.32	17.25	25.72	49.56	20.71	10.31	0.91	2.41	0.95	0.83	3.59	1.91	0.88	4.82	1.43	1.95	2.23	0.82	0.42	4.43	5.02	5.96	2.56	0.46	2.01	3.17	1.93	21.94	17.13	9.2	1.39	1.1	1.89	2.29	2.53	4.17	2.14	1.87	3.26	3.56	68.07	38.95	148.09	121.79	77.25	5.63	1.81	6.84	3.06
KIF18A	22.92	34.51	49.56	30.56	32.82	30.34	25.72	37.05	41.52	76.17	48.52	53.19	52.82	45.53	31.9	39.5	46.18	40.36	67.12	71.5	49.91	19.39	2.25	2.89	2.36	1.64	2.01	12.64	2.18	12.74	5.23	7.75	3.53	2.41	0.0	7.94	12.45	11.82	6.84	4.06	3.99	7.63	6.73	11.13	9.34	11.38	0.66	1.43	1.16	3.32	1.66	0.0	0.48	3.44	0.92	1.16	115.16	46.84	142.01	145.02	80.01	16.51	15.56	20.71	9.78
KIF20A	51.71	119.26	182.55	124.37	156.59	89.51	73.54	118.43	142.01	289.02	190.34	116.78	232.94	157.68	102.97	100.13	108.9	141.02	182.55	258.57	121.79	47.5	8.51	21.16	9.85	7.75	26.67	25.54	13.03	31.9	28.04	39.22	29.7	9.2	17.13	56.28	48.18	60.82	33.54	11.73	19.53	40.64	52.45	55.49	66.65	97.36	6.73	3.76	6.31	3.26	2.97	0.0	2.58	4.78	0.8	7.51	241.19	70.51	198.47	229.72	157.68	34.75	17.0	55.49	25.91
KIF20B	90.14	57.89	102.25	74.06	81.14	45.21	64.34	69.03	63.0	130.6	93.35	56.28	110.43	75.64	51.71	62.12	102.25	79.45	82.87	176.29	107.38	30.34	31.22	8.06	6.94	14.78	13.03	25.54	15.8	39.5	15.0	19.11	33.54	30.78	1.64	32.59	27.25	45.21	32.82	5.36	13.03	20.41	15.11	61.25	33.06	36.53	11.21	2.71	11.13	16.15	13.32	17.64	5.54	13.22	7.0	11.38	185.11	155.5	162.14	285.03	125.24	62.56	19.97	35.0	13.83
KIF23	143.01	209.84	239.52	148.09	205.5	201.25	153.34	145.02	153.34	309.83	264.03	185.11	255.0	229.72	164.42	193.01	163.28	212.78	232.94	301.33	224.97	135.24	24.63	33.3	15.45	27.44	71.5	18.43	22.26	71.0	31.45	58.71	17.64	22.59	6.89	84.63	58.71	41.52	29.06	11.13	22.1	24.46	38.12	57.08	40.07	48.52	4.03	1.11	6.21	2.61	11.91	1.43	31.22	5.5	5.59	8.32	607.87	334.46	656.11	269.6	239.52	75.11	17.38	47.5	22.59
KIF2C	111.21	220.32	239.52	134.3	209.84	126.12	111.99	133.36	194.36	323.03	234.57	187.71	287.01	253.23	170.25	176.29	191.67	241.19	275.28	381.68	211.31	81.71	13.83	19.68	9.41	9.34	41.81	21.78	18.7	26.47	28.04	28.04	24.81	20.41	37.05	39.22	38.4	27.25	32.82	12.64	25.91	20.71	29.7	26.47	49.91	64.34	9.41	2.81	6.36	2.63	1.83	22.1	10.96	8.51	1.2	3.56	638.15	163.28	511.0	476.71	197.09	63.0	33.06	28.45	30.34
KIF4A	35.76	141.02	162.14	94.01	143.01	86.43	69.52	87.65	111.21	244.57	167.9	115.16	187.71	141.02	94.67	147.06	117.6	153.34	180.02	253.23	127.89	55.1	7.11	12.45	6.11	6.06	43.32	16.51	8.25	25.91	19.82	17.38	10.55	3.59	11.64	24.99	15.0	25.72	16.51	4.06	11.91	15.68	16.75	30.56	24.11	32.59	3.03	2.23	2.16	0.0	3.44	0.82	6.46	2.03	2.51	5.96	285.03	107.38	262.2	279.14	146.03	28.24	9.63	20.11	11.38
KIFC1	67.12	373.81	514.56	285.03	414.87	283.05	231.32	206.94	314.17	616.37	429.54	281.09	486.75	392.44	318.57	316.37	363.56	438.59	525.39	555.41	426.57	158.79	12.0	10.96	10.71	16.63	36.27	22.59	10.39	47.17	32.59	20.26	16.27	6.36	23.25	43.63	67.12	80.57	35.25	16.63	29.06	36.01	41.52	120.94	161.02	65.72	14.14	6.57	10.16	3.29	4.66	9.41	4.94	10.39	8.32	16.88	316.37	124.37	366.09	525.39	457.25	94.01	32.59	49.21	39.79
KLF5	1073.91	7485.11	7857.29	7911.95	5995.9	7180.15	8305.36	8305.36	5403.7	10512.82	7537.18	8479.89	9673.69	7485.11	8479.89	8134.41	9540.5	8022.41	8538.88	7749.1	6207.38	7911.95	55.89	122.64	21.01	173.85	23.76	164.42	5.63	119.26	114.36	78.34	87.65	112.77	147.06	90.77	94.67	343.89	98.04	55.1	164.42	84.63	209.84	34.02	3.66	68.07	1.85	11.3	38.67	20.26	12.09	24.63	11.64	76.17	8.99	93.35	1819.35	6792.79	6745.86	1870.53	2417.67	2271.4	23.42	518.15	35.25
LIN9	85.82	55.89	75.11	50.63	38.4	37.85	45.21	49.21	48.18	69.52	65.72	48.18	59.55	57.89	50.27	60.39	78.89	65.26	52.08	88.88	69.03	39.22	20.26	17.51	9.27	23.25	15.8	32.13	19.25	40.64	21.01	22.92	41.22	38.4	4.54	27.05	17.25	48.52	37.85	9.85	19.68	14.67	16.63	70.01	51.35	35.76	19.25	4.82	15.91	5.92	19.39	9.78	48.52	7.28	18.16	22.43	109.66	108.9	232.94	164.42	115.16	54.33	29.48	41.22	36.01
LMNB2	633.73	733.19	660.68	547.75	723.08	567.1	332.14	412.0	571.05	638.15	728.11	426.57	651.58	651.58	447.82	674.59	525.39	808.0	723.08	674.59	559.28	444.72	384.34	264.03	332.14	264.03	629.35	198.47	423.61	325.29	249.73	246.28	251.48	180.02	158.79	289.02	291.04	332.14	275.28	285.03	309.83	318.57	366.09	111.21	111.21	301.33	70.51	83.45	107.38	66.65	91.41	98.73	44.25	105.15	92.05	32.36	825.0	384.34	981.29	703.28	866.07	334.46	175.07	258.57	209.84
LRR1	291.04	543.96	518.15	473.41	417.77	389.72	329.84	348.71	332.14	426.57	392.44	470.14	529.06	547.75	447.82	470.14	379.04	444.72	529.06	490.14	429.54	612.11	101.54	108.14	169.07	143.01	78.34	102.25	142.01	162.14	122.64	209.84	182.55	125.24	145.02	149.12	108.14	157.68	67.59	159.9	150.17	145.02	214.27	134.3	80.01	180.02	108.14	79.45	64.34	87.65	81.71	150.17	98.04	131.51	87.03	99.43	738.29	244.57	432.53	356.05	150.17	180.02	156.59	139.07	171.45
MAD2L1	423.61	500.46	563.18	323.03	353.59	297.17	217.27	305.55	305.55	647.07	518.15	318.57	551.56	438.59	339.14	432.53	432.53	454.09	669.92	723.08	460.44	246.28	120.94	61.25	64.34	82.29	133.36	105.15	74.58	185.11	102.25	121.79	142.01	59.13	132.44	189.02	66.18	249.73	116.78	94.67	74.58	112.77	190.34	248.0	53.95	100.13	41.52	28.65	53.95	21.78	17.77	7.69	21.47	17.51	22.75	37.32	728.11	361.04	1350.18	642.59	432.53	127.89	64.8	72.01	120.94
MCM4	543.96	791.35	854.13	718.08	669.92	595.34	429.54	599.49	583.07	713.11	733.19	738.29	629.35	748.61	595.34	738.29	688.78	961.07	753.83	620.67	813.63	423.61	221.86	480.04	204.07	381.68	361.04	318.57	363.56	438.59	145.02	406.31	343.89	267.73	175.07	307.69	211.31	381.68	612.11	237.86	241.19	169.07	368.65	115.16	293.07	595.34	163.28	134.3	158.79	46.84	68.55	34.51	48.18	68.55	32.36	153.34	1268.46	954.43	2335.28	1023.0	1242.34	547.75	674.59	532.74	194.36
MELK	52.82	237.86	265.87	182.55	244.57	165.57	92.7	165.57	176.29	299.25	237.86	189.02	255.0	277.2	181.28	244.57	198.47	279.14	307.69	320.8	239.52	156.59	8.92	23.08	9.41	21.94	19.97	20.71	11.3	25.54	27.64	20.86	15.45	8.0	23.42	52.08	46.18	109.66	40.64	18.97	49.91	28.86	63.45	75.64	22.75	76.71	8.71	3.47	5.41	0.0	6.73	1.01	3.03	7.63	3.0	5.5	463.65	264.03	2104.58	825.0	231.32	62.12	22.59	34.02	24.99
MIS18BP1	320.8	249.73	312.0	336.79	256.78	246.28	316.37	373.81	316.37	403.5	281.09	206.94	299.25	256.78	279.14	220.32	341.51	281.09	241.19	457.25	417.77	197.09	109.66	48.18	65.26	102.25	94.67	150.17	90.14	228.13	100.13	199.85	132.44	76.71	26.47	197.09	39.79	68.55	78.34	52.08	71.0	80.01	63.89	105.89	47.17	137.14	43.94	16.27	31.0	15.8	68.07	40.93	33.54	95.34	21.78	52.45	387.02	371.22	651.58	283.05	187.71	150.17	82.29	258.57	161.02
