	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.C4.A0F6.01A.11R.A10U.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.DK.A1AD.01A.11R.A13Y.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.ZF.AA51.01A.21R.A39I.07	TCGA.GU.A42R.01A.11R.A23N.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.LT.A8JT.01A.11R.A36F.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.DK.A6B6.01A.11R.A30C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.1497J.0826.SM.5NQAJ	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.11P81.0126.SM.5HL5Y	GTEX.1211K.0726.SM.5FQUW
ITGAV	232.94	224.97	283.05	679.29	323.03	242.88	381.68	567.1	583.07	507.46	583.07	202.66	417.77	854.13	426.57	389.72	141.02	525.39	738.29	226.54	775.05	633.73	265.87	262.2	1963.57	947.83	1745.2	1225.22	1936.53	2163.77	2796.65	1250.98	1508.65	1870.53	1733.13	2004.85	1286.18	1594.73	1721.16	1977.24	1304.15	1923.14	1639.59	1977.24	2004.85	2133.97	1096.5	1529.73	1662.49	2796.65	2255.7	1806.78	1143.1	1605.83	1191.69	1183.45	1175.27	1104.13	1250.98	1183.45	1331.57	1225.22	1447.15	1286.18	1225.22	412.0	1540.37	753.83	836.53	607.87
KATNAL1	10.24	5.36	6.36	27.64	10.16	13.12	2.92	16.15	5.54	9.93	9.06	3.72	8.65	17.25	18.84	16.39	12.36	4.24	3.32	3.26	23.59	10.31	5.02	8.38	104.42	53.95	95.34	54.33	87.03	136.19	185.11	55.49	98.73	104.42	126.12	108.9	117.6	128.79	125.24	124.37	106.63	130.6	90.77	108.9	144.01	126.12	84.04	104.42	99.43	125.24	148.09	127.89	62.12	100.83	88.88	80.01	84.04	90.14	81.71	84.04	90.77	80.57	104.42	87.65	67.59	56.68	60.82	59.97	61.25	52.45
KCNIP3	6.41	18.56	6.94	42.71	12.45	20.56	12.45	3.82	53.57	15.8	16.27	11.91	10.31	15.22	28.45	13.42	14.03	28.04	20.86	0.37	15.34	7.17	6.06	31.67	291.04	231.32	183.82	265.87	133.36	379.04	194.36	147.06	255.0	351.14	450.94	267.73	183.82	447.82	301.33	486.75	189.02	343.89	507.46	376.41	466.88	264.03	209.84	414.87	264.03	265.87	153.34	208.38	414.87	234.57	226.54	511.0	371.22	441.64	287.01	199.85	346.29	414.87	334.46	246.28	295.11	13.62	444.72	693.58	796.86	769.69
KIRREL	46.5	48.87	26.47	113.56	30.12	36.53	16.03	117.6	32.59	92.7	57.49	54.33	32.59	102.97	64.8	111.99	83.45	16.27	34.51	17.77	131.51	104.42	21.78	29.48	748.61	186.4	511.0	246.28	281.09	334.46	287.01	368.65	470.14	860.08	775.05	708.18	334.46	579.04	583.07	633.73	323.03	466.88	616.37	567.1	909.17	872.1	228.13	718.08	473.41	1127.35	669.92	860.08	503.95	743.43	454.09	470.14	441.64	642.59	381.68	400.71	480.04	571.05	808.0	599.49	500.46	123.5	318.57	395.18	255.0	228.13
KLHL5	81.14	77.25	18.84	96.68	48.52	76.17	131.51	116.78	119.26	130.6	111.21	67.12	50.98	318.57	204.07	108.9	178.77	94.01	49.56	65.26	151.22	146.03	92.7	100.83	579.04	361.04	511.0	409.15	642.59	579.04	656.11	473.41	575.03	559.28	607.87	753.83	507.46	571.05	500.46	571.05	497.0	642.59	620.67	629.35	543.96	599.49	466.88	473.41	525.39	674.59	629.35	620.67	376.41	603.67	591.22	371.22	470.14	441.64	483.38	521.76	529.06	412.0	587.13	403.5	476.71	518.15	500.46	236.21	223.41	232.94
LRRC27	98.73	164.42	85.82	332.14	176.29	46.18	131.51	98.73	249.73	236.21	125.24	136.19	82.87	144.01	175.07	248.0	119.26	158.79	185.11	119.26	201.25	206.94	90.14	175.07	297.17	251.48	293.07	275.28	334.46	195.72	373.81	249.73	231.32	279.14	334.46	249.73	217.27	299.25	295.11	275.28	195.72	275.28	348.71	314.17	289.02	260.38	305.55	279.14	307.69	248.0	246.28	301.33	279.14	358.54	269.6	332.14	297.17	327.56	277.2	314.17	271.48	281.09	264.03	327.56	283.05	102.25	713.11	341.51	395.18	341.51
LRRC6	130.6	82.87	39.5	19.68	181.28	5.23	84.63	28.04	10.39	84.63	141.02	48.52	4.39	113.56	108.9	93.35	21.16	32.13	85.82	58.3	113.56	94.67	21.63	19.97	299.25	255.0	320.8	314.17	226.54	775.05	708.18	318.57	297.17	191.67	343.89	273.37	368.65	341.51	323.03	336.79	287.01	423.61	329.84	265.87	239.52	307.69	363.56	295.11	224.97	248.0	314.17	316.37	217.27	297.17	301.33	198.47	264.03	165.57	307.69	246.28	351.14	307.69	262.2	201.25	291.04	13.83	368.65	307.69	318.57	154.42
LRRC73	13.22	5.63	3.17	7.88	4.86	10.47	2.56	7.51	9.56	33.3	3.96	22.26	18.97	13.93	12.64	28.24	12.18	1.51	3.59	6.06	9.63	1.99	8.25	24.99	59.55	49.56	66.65	73.03	21.78	71.0	38.12	62.12	67.59	44.57	50.98	40.93	61.25	53.57	54.72	65.26	43.94	63.45	54.72	67.12	67.12	47.84	37.59	58.71	69.03	42.41	35.25	39.5	90.14	37.05	49.91	80.01	87.03	88.88	88.88	57.89	56.68	83.45	59.55	59.13	59.13	24.81	19.97	17.38	12.45	15.68
LRRK2	5.11	4.31	0.32	10.55	1.66	6.26	1.31	4.82	1.75	8.78	11.47	1.87	2.68	18.84	8.92	22.75	7.17	0.62	5.54	1.64	18.43	12.18	6.94	4.06	346.29	157.68	253.23	154.42	96.68	202.66	743.43	246.28	211.31	144.01	301.33	249.73	318.57	366.09	237.86	361.04	262.2	463.65	318.57	269.6	208.38	260.38	320.8	318.57	242.88	242.88	356.05	366.09	224.97	366.09	305.55	194.36	336.79	214.27	206.94	234.57	423.61	251.48	325.29	199.85	249.73	71.5	191.67	115.97	73.54	28.45
MAP1LC3B	638.15	669.92	738.29	1119.56	764.36	595.34	819.3	708.18	1059.11	703.28	679.29	1259.69	713.11	511.0	981.29	764.36	780.44	1340.84	872.1	633.73	848.22	1111.82	743.43	674.59	1259.69	1685.71	1487.87	1832.01	1769.57	1417.35	1662.49	1605.83	1447.15	1519.15	1583.71	1427.22	1378.57	1583.71	1561.89	1572.76	1561.89	1447.15	1216.75	1447.15	1519.15	1427.22	1594.73	1407.55	1477.58	1551.09	1709.26	1417.35	1268.46	1417.35	1508.65	1208.34	1304.15	1111.82	1286.18	1208.34	1286.18	1359.57	1397.83	909.17	1268.46	1259.69	1870.53	1233.75	1096.5	1540.37
MITF	5.77	56.68	55.89	41.81	3.96	11.73	39.79	30.34	44.25	35.0	30.12	12.83	10.0	40.64	63.89	32.59	36.01	6.94	43.94	9.06	99.43	15.45	3.38	11.91	559.28	339.14	547.75	376.41	373.81	1044.52	346.29	373.81	674.59	543.96	536.45	674.59	460.44	753.83	607.87	674.59	429.54	791.35	629.35	693.58	651.58	624.99	429.54	819.3	620.67	486.75	669.92	595.34	536.45	500.46	395.18	571.05	559.28	684.02	438.59	490.14	543.96	503.95	599.49	511.0	511.0	121.79	122.64	186.4	193.01	91.41
NECAB1	0.97	0.36	0.59	12.93	6.46	1.16	3.82	3.76	1.73	9.13	15.0	1.23	1.99	4.94	7.0	8.13	5.11	1.81	1.33	4.82	34.75	6.67	1.68	1.75	57.08	60.39	88.88	87.65	150.17	53.95	237.86	62.56	85.22	92.05	90.77	91.41	56.68	69.03	65.26	81.71	89.51	66.65	66.65	100.83	110.43	131.51	55.49	86.43	61.25	81.71	108.9	83.45	94.01	69.03	66.65	49.56	38.12	66.65	50.98	38.4	55.1	51.71	36.01	39.22	63.45	17.77	81.71	38.67	52.08	50.98
NPAS3	0.0	0.35	0.0	1.71	0.0	2.56	0.34	0.71	8.13	2.92	1.45	0.93	1.0	1.07	5.06	12.45	1.38	0.0	0.67	7.28	5.28	0.8	11.13	3.44	26.28	6.78	23.76	29.48	31.45	20.41	3.72	19.68	38.12	33.3	40.07	44.89	11.13	28.24	24.46	25.91	14.56	18.7	37.32	24.63	37.85	34.51	12.27	27.44	22.26	31.67	31.9	36.27	26.67	25.91	14.24	21.63	22.59	27.84	13.52	17.64	23.42	18.56	14.14	23.76	19.39	1.28	60.82	37.85	46.18	36.01
NXNL2	1.62	2.03	0.0	33.54	20.71	3.44	16.75	21.01	1.06	25.72	2.56	13.93	39.22	6.73	1.31	126.12	38.67	2.73	2.66	9.63	12.64	31.22	12.93	8.38	102.97	155.5	194.36	131.51	316.37	72.52	102.25	151.22	100.83	152.28	102.97	152.28	153.34	57.08	135.24	151.22	193.01	143.01	181.28	126.12	89.51	71.5	138.1	80.57	56.68	93.35	111.99	173.85	79.45	178.77	135.24	74.58	105.89	71.0	182.55	88.26	279.14	89.51	52.82	115.16	108.9	1.35	11.47	22.92	8.13	8.99
PAPSS2	77.25	32.36	27.05	89.51	20.26	48.52	33.06	77.79	18.56	54.72	36.01	50.27	27.84	121.79	48.52	87.65	74.58	12.93	26.28	21.01	152.28	98.73	32.82	26.86	733.19	389.72	738.29	414.87	206.94	723.08	723.08	500.46	693.58	454.09	500.46	583.07	738.29	607.87	860.08	651.58	551.56	684.02	688.78	633.73	620.67	764.36	412.0	698.41	633.73	764.36	854.13	769.69	571.05	633.73	490.14	733.19	583.07	708.18	674.59	595.34	629.35	688.78	819.3	543.96	802.41	351.14	3847.29	406.31	305.55	872.1
PCDP1	5.02	0.67	0.0	2.05	0.0	0.87	6.94	0.0	1.38	0.0	1.45	0.92	1.66	32.82	5.06	8.06	1.71	4.43	8.06	3.2	3.96	8.58	0.0	2.01	368.65	197.09	248.0	295.11	107.38	329.84	283.05	159.9	215.77	229.72	356.05	241.19	218.79	260.38	253.23	301.33	208.38	224.97	327.56	307.69	334.46	305.55	289.02	231.32	236.21	271.48	197.09	334.46	291.04	201.25	178.77	231.32	251.48	253.23	201.25	172.65	215.77	289.02	228.13	137.14	201.25	61.25	172.65	148.09	94.01	118.43
PDGFD	91.41	33.78	54.33	75.64	17.25	11.13	32.36	32.13	58.3	149.12	33.78	48.18	31.22	67.12	64.34	60.82	40.93	35.25	36.79	10.63	159.9	454.09	15.56	33.3	183.82	197.09	221.86	226.54	232.94	80.01	329.84	108.14	234.57	297.17	275.28	392.44	156.59	211.31	209.84	271.48	202.66	165.57	206.94	211.31	267.73	260.38	137.14	204.07	244.57	466.88	269.6	293.07	201.25	244.57	172.65	182.55	234.57	194.36	180.02	187.71	183.82	204.07	154.42	180.02	178.77	242.88	387.02	551.56	191.67	102.25
PNMA2	12.27	1.01	0.88	12.55	0.35	2.86	1.93	8.85	7.46	3.66	7.88	2.43	1.99	3.86	7.0	7.4	3.76	2.1	2.29	0.34	13.83	2.78	1.01	1.17	76.17	36.79	169.07	64.8	54.33	66.18	1037.29	86.43	84.63	108.9	147.06	105.89	102.97	82.87	125.24	135.24	82.29	82.87	110.43	75.64	127.0	141.02	37.85	71.5	88.26	239.52	190.34	136.19	80.57	138.1	87.65	61.68	50.27	69.03	81.14	85.22	55.89	91.41	118.43	54.33	96.01	2.58	27.25	29.48	29.48	17.25
RAB41	0.0	2.29	1.99	1.69	2.89	1.69	1.27	0.0	3.38	1.46	2.86	2.41	0.66	0.0	2.86	2.58	4.74	1.48	5.82	1.28	1.66	0.0	3.92	2.86	4.24	4.94	6.21	4.58	7.88	5.28	11.13	5.19	8.38	6.94	7.94	9.13	6.16	10.16	6.21	5.59	5.41	6.89	3.41	11.21	3.23	8.85	7.46	5.02	3.35	6.31	6.94	4.7	3.89	5.19	5.23	6.67	4.58	7.88	2.56	7.46	2.66	4.7	3.69	6.36	3.56	1.87	5.59	8.65	10.31	6.46
RAI2	27.44	12.64	10.16	66.18	3.99	8.92	142.01	30.78	90.77	65.26	58.71	12.64	269.6	65.72	194.36	99.43	52.08	21.63	24.28	4.9	149.12	90.77	90.77	7.28	507.46	241.19	483.38	371.22	197.09	248.0	616.37	275.28	346.29	381.68	409.15	483.38	343.89	343.89	420.68	417.77	273.37	395.18	423.61	414.87	432.53	423.61	285.03	384.34	397.93	518.15	441.64	412.0	450.94	480.04	281.09	441.64	358.54	521.76	297.17	285.03	271.48	450.94	432.53	346.29	387.02	363.56	346.29	563.18	438.59	395.18
RGS9	2.25	2.34	2.32	7.51	2.94	7.11	9.48	12.93	2.07	15.68	8.65	0.64	7.22	14.35	2.89	19.82	11.21	3.89	4.58	2.27	7.94	15.34	5.63	6.89	78.34	52.08	110.43	92.7	825.0	125.24	55.1	62.12	45.85	98.04	105.89	102.25	87.03	58.3	98.73	74.06	65.26	71.0	88.88	61.25	84.04	88.88	53.57	87.65	57.49	125.24	59.13	68.07	76.71	84.04	84.04	66.18	58.71	76.17	81.71	50.98	69.03	90.77	55.49	48.18	72.52	175.07	21.94	23.76	42.71	39.22
RUSC2	64.8	12.64	13.83	156.59	37.59	25.35	56.68	105.15	57.49	50.27	64.8	31.0	30.34	96.68	53.19	81.14	107.38	18.56	27.25	11.04	126.12	78.89	29.48	41.22	486.75	183.82	547.75	239.52	287.01	511.0	309.83	275.28	293.07	334.46	361.04	373.81	237.86	387.02	412.0	361.04	234.57	356.05	417.77	334.46	490.14	466.88	283.05	438.59	277.2	567.1	249.73	444.72	353.59	500.46	329.84	503.95	412.0	483.38	379.04	329.84	460.44	438.59	368.65	426.57	353.59	253.23	318.57	373.81	269.6	423.61
SBDS	928.3	836.53	1313.23	1477.58	890.44	1378.57	896.64	1427.22	808.0	1870.53	1030.12	1561.89	884.29	988.12	1191.69	1159.07	967.76	733.19	995.0	819.3	1417.35	1447.15	872.1	941.27	2451.44	2758.13	2664.15	3103.19	4181.07	2555.58	3060.45	2271.4	2739.08	2485.67	2335.28	2591.27	2796.65	2573.36	2855.44	2875.3	2468.49	2591.27	2520.38	2400.97	2627.46	2468.49	2367.9	2224.63	2520.38	3018.3	3124.78	2555.58	2335.28	2240.11	2451.44	2119.22	2367.9	2018.8	2148.82	2468.49	2209.26	2271.4	2287.2	2163.77	2400.97	2485.67	2976.74	2417.67	1896.65	3146.52
SIRPA	97.36	115.97	232.94	121.79	85.22	170.25	28.86	111.99	25.35	108.14	91.41	379.04	61.25	343.89	80.57	348.71	208.38	40.64	52.45	72.52	193.01	108.14	65.72	98.73	1143.1	376.41	1059.11	540.19	1001.93	1313.23	1991.0	688.78	759.08	872.1	872.1	1167.14	599.49	521.76	551.56	854.13	503.95	902.89	723.08	791.35	723.08	954.43	679.29	743.43	633.73	1023.0	981.29	796.86	808.0	1268.46	540.19	684.02	1008.9	583.07	591.22	780.44	928.3	728.11	866.07	967.76	703.28	1104.13	159.9	237.86	255.0	182.55
SKAP2	325.29	232.94	332.14	299.25	316.37	226.54	373.81	476.71	232.94	400.71	536.45	307.69	180.02	275.28	358.54	343.89	318.57	400.71	242.88	470.14	723.08	327.56	603.67	237.86	748.61	638.15	708.18	638.15	1331.57	708.18	1199.98	651.58	753.83	624.99	656.11	825.0	860.08	769.69	848.22	896.64	848.22	1030.12	796.86	872.1	813.63	748.61	813.63	638.15	718.08	872.1	1001.93	802.41	454.09	759.08	647.07	559.28	571.05	540.19	603.67	547.75	624.99	575.03	759.08	620.67	583.07	149.12	106.63	169.07	171.45	114.36
SLC46A3	157.68	72.01	7.0	536.45	15.45	34.26	32.59	46.18	24.81	60.82	37.05	175.07	27.44	111.99	255.0	182.55	105.89	127.89	40.64	18.7	93.35	236.21	40.93	69.52	373.81	273.37	450.94	457.25	117.6	884.29	713.11	507.46	309.83	323.03	353.59	503.95	387.02	441.64	466.88	417.77	540.19	540.19	414.87	483.38	387.02	392.44	532.74	409.15	450.94	432.53	543.96	638.15	389.72	514.56	599.49	503.95	351.14	334.46	507.46	518.15	348.71	368.65	361.04	414.87	540.19	307.69	316.37	379.04	244.57	246.28
SNX10	76.71	14.35	5.28	435.55	42.41	236.21	56.28	242.88	29.27	32.36	103.69	9.85	13.72	224.97	191.67	105.89	78.34	85.22	115.97	80.57	132.44	208.38	189.02	90.77	684.02	743.43	718.08	780.44	915.51	463.65	2335.28	785.88	884.29	902.89	954.43	819.3	713.11	775.05	921.88	769.69	921.88	860.08	819.3	1030.12	743.43	775.05	607.87	665.29	884.29	974.5	896.64	708.18	616.37	743.43	769.69	529.06	532.74	679.29	521.76	723.08	656.11	563.18	1044.52	490.14	656.11	1519.15	18.43	43.02	43.02	25.91
STARD3NL	332.14	397.93	571.05	525.39	275.28	80.57	363.56	532.74	363.56	450.94	318.57	441.64	36.53	457.25	665.29	389.72	395.18	395.18	480.04	312.0	665.29	638.15	540.19	384.34	941.27	1350.18	1051.79	1233.75	1388.16	902.89	1208.34	961.07	775.05	872.1	842.36	854.13	954.43	830.75	941.27	928.3	1286.18	909.17	813.63	934.76	884.29	909.17	1295.13	718.08	896.64	988.12	1159.07	909.17	796.86	896.64	890.44	698.41	780.44	718.08	775.05	813.63	791.35	854.13	830.75	698.41	884.29	387.02	796.86	679.29	842.36	1008.9
STX2	17.64	28.86	16.51	44.57	30.56	21.16	15.11	43.94	10.08	28.04	34.02	23.93	15.34	90.77	53.95	36.53	44.25	10.55	13.83	7.51	62.56	36.27	18.97	16.51	251.48	155.5	208.38	206.94	155.5	248.0	229.72	166.73	189.02	218.79	229.72	220.32	217.27	195.72	177.53	212.78	185.11	224.97	224.97	212.78	208.38	256.78	202.66	187.71	169.07	256.78	231.32	204.07	138.1	251.48	152.28	131.51	143.01	164.42	151.22	172.65	143.01	170.25	211.31	154.42	186.4	139.07	336.79	181.28	126.12	148.09
SULT1C4	12.64	5.59	5.45	15.22	1.0	0.59	2.86	10.55	10.55	19.53	10.39	10.0	4.94	12.55	13.03	9.93	10.16	3.29	11.04	0.99	25.91	21.01	4.66	2.89	417.77	236.21	753.83	426.57	497.0	353.59	1685.71	400.71	363.56	239.52	346.29	791.35	500.46	363.56	490.14	480.04	438.59	500.46	373.81	423.61	435.55	447.82	312.0	379.04	486.75	529.06	791.35	473.41	305.55	638.15	371.22	190.34	289.02	366.09	412.0	480.04	265.87	529.06	796.86	299.25	397.93	111.21	232.94	273.37	162.14	55.89
SYT11	28.65	12.0	22.43	51.35	3.32	36.27	6.46	45.53	19.53	42.41	51.71	24.28	23.42	65.72	48.87	46.5	46.84	8.71	24.46	15.11	82.29	49.91	25.17	19.25	277.2	67.12	223.41	153.34	53.95	178.77	83.45	96.68	126.12	137.14	141.02	256.78	212.78	209.84	183.82	152.28	138.1	187.71	165.57	211.31	182.55	157.68	142.01	143.01	167.9	320.8	234.57	262.2	112.77	202.66	133.36	163.28	152.28	164.42	112.77	112.77	116.78	151.22	241.19	166.73	177.53	76.71	87.65	133.36	70.51	45.53
TFPI	231.32	954.43	166.73	181.28	902.89	159.9	796.86	356.05	85.22	206.94	122.64	109.66	373.81	336.79	205.5	251.48	165.57	137.14	713.11	51.71	435.55	698.41	68.55	105.15	1359.57	1457.23	1561.89	1259.69	221.86	2075.59	2816.11	1388.16	1044.52	1030.12	1259.69	1407.55	2400.97	1322.37	1225.22	860.08	1340.84	1819.35	1143.1	1397.83	1175.27	1159.07	1769.57	1313.23	1008.9	1757.34	1721.16	1819.35	921.88	1447.15	1519.15	819.3	1350.18	884.29	1191.69	1233.75	1529.73	1199.98	2075.59	1023.0	1447.15	3039.3	785.88	486.75	629.35	575.03
TLL1	2.56	0.0	0.0	6.16	0.35	0.88	0.97	4.1	1.73	5.5	3.59	1.85	0.68	24.99	7.0	4.1	8.13	0.0	1.66	0.35	14.14	5.92	2.34	0.89	36.27	19.11	32.13	20.41	8.06	25.54	23.93	30.34	33.78	18.7	29.06	53.57	41.81	52.08	21.16	32.13	27.64	45.53	35.5	38.4	34.75	30.12	25.54	40.36	31.9	52.08	38.4	29.7	16.15	37.05	21.63	28.45	29.27	29.27	31.67	21.47	36.01	20.56	23.93	30.78	29.48	12.83	24.63	22.59	22.26	8.99
TMEM8B	126.12	251.48	189.02	339.14	141.02	143.01	264.03	173.85	293.07	108.9	153.34	117.6	327.56	135.24	115.16	161.02	154.42	137.14	139.07	116.78	361.04	256.78	198.47	125.24	497.0	242.88	332.14	289.02	221.86	376.41	139.07	316.37	417.77	435.55	429.54	358.54	271.48	406.31	463.65	376.41	273.37	397.93	486.75	540.19	470.14	444.72	353.59	514.56	429.54	299.25	271.48	368.65	473.41	395.18	403.5	466.88	473.41	497.0	447.82	341.51	447.82	518.15	447.82	480.04	361.04	122.64	947.83	738.29	669.92	764.36
TNFSF12	271.48	144.01	125.24	466.88	358.54	348.71	503.95	150.17	108.9	587.13	426.57	348.71	217.27	928.3	95.34	483.38	567.1	68.55	392.44	122.64	547.75	486.75	204.07	287.01	1277.29	1143.1	1127.35	1225.22	728.11	1104.13	1594.73	947.83	921.88	759.08	947.83	909.17	1066.48	860.08	967.76	819.3	1073.91	753.83	995.0	813.63	947.83	902.89	1191.69	988.12	1015.93	1066.48	748.61	1119.56	1183.45	1378.57	947.83	1135.2	1159.07	1127.35	967.76	1167.14	842.36	1259.69	1159.07	1487.87	1225.22	813.63	718.08	1119.56	819.3	624.99
TSPAN4	229.72	142.01	78.89	665.29	104.42	305.55	153.34	579.04	98.73	295.11	246.28	490.14	314.17	684.02	137.14	583.07	872.1	42.11	215.77	140.04	878.17	536.45	136.19	438.59	1991.0	1350.18	1794.29	2133.97	591.22	825.0	2835.7	1199.98	854.13	1551.09	1295.13	1467.37	1721.16	1088.92	1417.35	1066.48	1313.23	1037.29	1313.23	1059.11	1322.37	1242.34	1477.58	1407.55	1259.69	2451.44	1340.84	1467.37	1977.24	2417.67	1529.73	1498.22	1572.76	1561.89	1639.59	1540.37	1529.73	1781.89	1950.0	2119.22	1857.6	1519.15	2119.22	2417.67	2609.3	3395.89
UTS2B	1.27	0.67	0.0	0.0	0.97	1.69	0.65	0.35	1.03	0.0	2.14	1.22	0.0	1.75	0.96	4.03	1.36	3.53	0.34	0.0	0.67	1.19	1.66	0.58	9.48	7.4	5.5	6.52	11.55	2.66	2.34	6.36	9.2	10.16	8.85	7.75	6.16	8.78	7.28	3.59	14.03	13.62	5.28	5.23	3.63	3.82	3.14	5.02	5.19	5.11	11.13	2.34	7.0	3.32	5.59	1.95	6.46	3.53	9.48	2.73	6.01	4.35	16.88	5.54	3.56	1.14	12.18	2.94	5.96	6.41
WASL	454.09	723.08	1242.34	603.67	775.05	493.56	555.41	842.36	796.86	842.36	480.04	500.46	450.94	651.58	587.13	281.09	551.56	579.04	1015.93	543.96	934.76	733.19	669.92	423.61	1051.79	802.41	1088.92	848.22	1757.34	866.07	775.05	1111.82	1350.18	1066.48	1216.75	1159.07	1066.48	1250.98	1259.69	1369.04	1242.34	1561.89	1304.15	1208.34	1378.57	1127.35	1015.93	1143.1	1208.34	995.0	1277.29	1066.48	974.5	1051.79	1088.92	896.64	1008.9	961.07	1051.79	1066.48	1143.1	830.75	981.29	941.27	1030.12	318.57	660.68	579.04	514.56	563.18
WSCD1	3.82	2.01	0.0	8.51	6.78	3.72	14.45	3.79	3.76	0.39	3.63	3.96	4.94	6.67	6.06	12.18	11.13	8.0	4.9	8.92	10.88	19.82	2.01	2.32	204.07	64.34	126.12	124.37	43.32	218.79	429.54	71.5	80.01	70.51	81.14	101.54	80.57	198.47	92.7	149.12	68.55	95.34	229.72	145.02	149.12	109.66	110.43	163.28	138.1	75.11	73.03	108.9	123.5	108.9	73.54	287.01	277.2	164.42	102.97	77.79	91.41	92.05	144.01	87.65	123.5	30.34	47.5	36.79	45.53	42.11
ZCCHC14	127.89	134.3	116.78	289.02	66.65	73.03	68.55	112.77	211.31	80.57	125.24	101.54	74.58	67.12	132.44	175.07	120.1	154.42	95.34	63.89	175.07	102.97	92.7	116.78	332.14	121.79	281.09	138.1	150.17	217.27	115.16	279.14	356.05	264.03	353.59	303.44	242.88	356.05	264.03	363.56	214.27	441.64	376.41	327.56	356.05	305.55	256.78	387.02	283.05	231.32	251.48	343.89	264.03	314.17	239.52	249.73	329.84	361.04	314.17	295.11	318.57	279.14	312.0	373.81	301.33	111.21	507.46	336.79	441.64	339.14
