	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	GTEX.X15G.1626.SM.3NMB3	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.Y5V5.1626.SM.4VDSG	GTEX.11DYG.1326.SM.5N9DO	GTEX.X585.1226.SM.46MW7	GTEX.146FH.1726.SM.5QGQ2	GTEX.P4QS.0626.SM.3NMD1	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.97.8552.01A.11R.2403.07	GTEX.X5EB.0426.SM.46MVY	GTEX.X3Y1.0626.SM.3P5YS	GTEX.ZE7O.0826.SM.57WCP	TCGA.98.A53H.01A.12R.A262.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
RHBDL1	51.71	51.71	36.01	34.02	17.0	19.39	16.51	32.13	151.22	206.94	38.67	52.08	17.25	5.06	0.0	381.68	51.71	52.08	81.71	57.08	1.95	8.71	18.56	7.17	4.43	2.32	2.29
RP1-102H19.8	28.65	28.65	15.68	1.87	3.41	6.84	0.13	4.62	7.82	35.25	8.06	6.84	6.26	4.13	0.0	22.59	14.89	19.39	30.56	28.24	3.99	0.44	4.58	3.82	1.89	0.33	0.22
RP11-817J15.3	17.51	17.51	38.12	14.89	0.79	0.0	16.51	32.82	271.48	186.4	8.38	109.66	3.47	0.0	0.0	12.74	9.2	0.0	0.0	8.71	0.59	0.0	4.1	10.47	3.82	0.0	0.18
SCGB2A1	2004.85	2004.85	343.89	193.01	1.31	0.0	1.22	33.78	2075.59	825.0	10.08	154.42	69.03	41.81	0.0	305.55	878.17	1135.2	2502.97	384.34	7.28	0.0	37.59	15.8	0.0	18.29	1.43
SHC2	323.03	323.03	961.07	47.84	185.11	116.78	68.07	180.02	669.92	1369.04	127.89	587.13	84.63	12.64	0.0	389.72	1175.27	221.86	503.95	693.58	29.06	15.34	14.03	114.36	59.13	41.22	35.5
SLC27A1	438.59	438.59	1151.06	171.45	215.77	180.02	186.4	279.14	540.19	612.11	297.17	438.59	178.77	59.55	223.41	497.0	1313.23	791.35	1340.84	441.64	50.27	63.89	130.6	194.36	115.16	96.68	61.68
SLC44A4	237.86	237.86	426.57	73.54	23.93	0.0	3.86	169.07	6337.83	2997.45	108.14	2090.03	98.04	5.54	0.0	3515.68	21919.61	10225.32	18819.27	3060.45	16.27	0.0	10.39	29.48	4.43	14.78	9.78
SLC45A3	52.08	52.08	110.43	28.45	20.86	21.16	32.59	93.35	253.23	551.56	85.22	118.43	35.5	16.75	0.0	131.51	214.27	209.84	738.29	208.38	18.16	21.78	37.05	33.06	24.99	18.7	13.62
SNX14	1183.45	1183.45	1721.16	579.04	571.05	633.73	583.07	703.28	1111.82	1378.57	620.67	1119.56	848.22	1096.5	1417.35	1583.71	1561.89	1721.16	2468.49	1175.27	738.29	316.37	400.71	616.37	995.0	684.02	796.86
SPDEF	693.58	693.58	3190.46	45.85	1.35	0.0	0.74	132.44	7911.95	1991.0	12.74	429.54	121.79	4.06	0.0	336.79	1340.84	265.87	3372.43	381.68	1.06	0.0	16.63	24.81	3.53	21.16	4.46
SYCP3	11.47	11.47	15.0	11.3	4.31	4.46	7.28	33.06	79.45	109.66	6.84	32.82	11.73	0.78	0.0	44.25	19.97	7.46	17.13	2.07	0.0	1.53	3.72	1.38	0.24	0.48	6.01
TAL1	122.64	122.64	72.01	9.63	37.85	49.56	17.64	36.01	53.57	226.54	27.44	83.45	11.3	6.62	0.0	38.67	249.73	77.25	205.5	78.89	5.41	33.3	14.56	11.04	6.57	11.38	15.68
TDRD10	67.59	67.59	87.03	0.0	38.4	27.64	25.35	41.52	98.73	318.57	65.72	146.03	12.27	1.81	0.0	214.27	229.72	215.77	1583.71	76.17	3.76	14.14	33.3	4.9	1.73	7.57	9.56
TDRP	197.09	197.09	256.78	9.78	66.65	102.97	65.26	61.68	108.9	713.11	64.34	155.5	106.63	23.25	0.0	387.02	2104.58	638.15	2335.28	208.38	13.32	10.63	92.05	28.04	37.32	12.74	12.36
TESC	186.4	186.4	587.13	7.88	34.26	15.0	42.71	204.07	583.07	921.88	102.97	629.35	62.12	31.45	0.0	785.88	995.0	121.79	3124.78	356.05	39.22	33.3	41.81	57.08	53.19	79.45	21.94
TMEM211	1.08	1.08	5.28	0.0	0.0	0.0	0.0	0.0	435.55	96.68	0.0	11.13	3.08	2.92	0.0	0.0	16.75	27.64	7.22	33.06	1.64	0.0	5.23	4.54	0.21	3.47	0.0
TMEM63A	860.08	860.08	1417.35	177.53	665.29	486.75	493.56	941.27	3018.3	3419.52	830.75	2133.97	299.25	100.13	473.41	2303.12	1242.34	1259.69	1628.26	1127.35	90.77	126.12	316.37	327.56	175.07	205.5	120.94
TMEM74B	32.82	32.82	60.39	17.38	100.83	42.11	16.03	102.25	176.29	483.38	28.24	99.43	18.97	10.31	0.0	123.5	417.77	204.07	872.1	135.24	1.19	15.45	8.85	11.04	5.77	10.08	7.69
TOX3	94.67	94.67	44.25	35.0	2.39	0.0	0.44	39.22	603.67	303.44	46.18	88.88	25.54	1.46	0.0	223.41	88.88	57.49	518.15	84.04	3.92	0.22	1.87	8.19	0.06	5.28	0.57
TSPAN8	100.13	100.13	65.72	14.24	43.02	4.58	15.8	37.59	38697.77	2018.8	69.03	470.14	171.45	32.13	0.0	860.08	1183.45	2758.13	4358.66	1963.57	21.63	2.66	17.51	59.55	5.59	32.82	13.42
TSPEAR	1.6	1.6	2.16	0.0	2.14	1.25	0.78	0.55	4.28	28.45	3.89	3.35	8.99	0.0	0.0	11.82	32.13	12.0	48.87	4.54	0.21	3.47	4.78	0.89	0.31	0.99	0.0
TTC21A	105.89	105.89	312.0	13.72	105.15	98.04	100.83	78.34	202.66	454.09	123.5	158.79	28.24	37.32	0.0	708.18	796.86	536.45	1477.58	693.58	7.51	23.25	19.97	32.36	19.39	30.56	5.77
TTC6	241.19	241.19	348.71	281.09	1.2	0.27	0.61	30.12	99.43	116.78	34.51	62.56	21.94	10.55	0.0	44.57	165.57	108.9	392.44	38.4	0.0	0.0	0.49	4.5	0.52	2.43	0.78
UPF3A	921.88	921.88	1051.79	327.56	860.08	651.58	693.58	890.44	1896.65	1551.09	764.36	1030.12	830.75	454.09	0.0	802.41	1388.16	1437.15	1350.18	921.88	379.04	599.49	361.04	466.88	420.68	400.71	587.13
URAD	52.45	52.45	3.29	0.0	0.51	0.0	0.64	0.0	0.0	6.01	0.0	0.0	0.0	0.0	0.0	0.0	3.41	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WDR6	1651.0	1651.0	2451.44	808.0	2351.53	1268.46	1127.35	1508.65	1950.0	3614.55	1870.53	2682.69	1143.1	316.37	0.0	2664.15	3168.41	2835.7	3515.68	1923.14	224.97	392.44	791.35	934.76	733.19	460.44	277.2
WDR78	50.27	50.27	124.37	8.0	9.93	3.56	3.86	7.22	27.25	46.18	16.75	17.64	8.51	9.34	0.0	392.44	450.94	559.28	708.18	500.46	21.78	2.2	12.09	15.8	3.38	10.96	3.08
WDR86	132.44	132.44	769.69	73.03	21.94	22.43	29.7	64.34	171.45	571.05	59.55	212.78	3.06	1.87	0.0	595.34	158.79	191.67	384.34	122.64	0.0	1.73	10.71	5.11	7.82	1.22	2.66
YAE1D1	397.93	397.93	633.73	209.84	470.14	457.25	351.14	271.48	733.19	679.29	518.15	473.41	429.54	785.88	0.0	555.41	438.59	497.0	738.29	343.89	559.28	373.81	231.32	444.72	339.14	353.59	460.44
Z98049.1	1.22	1.22	0.67	0.38	1.17	0.46	0.0	0.39	6.06	7.88	0.77	2.76	0.0	0.0	0.0	1.46	3.14	1.39	0.04	1.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF334	42.11	42.11	400.71	90.77	17.13	31.45	14.35	19.82	231.32	299.25	113.56	159.9	21.63	2.46	0.0	108.9	157.68	269.6	389.72	88.26	0.0	2.36	6.31	15.8	7.46	9.56	0.16
ZNF638	1757.34	1757.34	2875.3	1143.1	1233.75	1508.65	1295.13	1359.57	2004.85	2485.67	1467.37	1594.73	1427.22	679.29	0.0	1594.73	1477.58	2645.74	1991.0	1697.45	583.07	785.88	941.27	909.17	642.59	802.41	872.1
ZNF653	109.66	109.66	147.06	97.36	139.07	105.15	161.02	99.43	166.73	291.04	141.02	234.57	175.07	74.58	0.0	226.54	336.79	295.11	325.29	231.32	84.04	143.01	49.21	145.02	89.51	107.38	163.28
ZNF75D	139.07	139.07	232.94	80.01	102.97	113.56	99.43	109.66	223.41	231.32	118.43	215.77	75.11	66.65	0.0	277.2	351.14	368.65	353.59	186.4	31.22	35.76	29.27	47.5	36.27	39.22	43.32
