	TCGA.E9.A1N4.01A.11R.A14M.07	TCGA.AO.A1KO.01A.31R.A13Q.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A0AZ.11A.22R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	TCGA.KM.8639.01A.11R.2403.07	TCGA.CZ.4862.01A.01R.1305.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.B1.7332.01A.11R.A32Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.BQ.5883.01A.11R.1592.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.GL.7966.11A.01R.2204.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.W5X1.0426.SM.3GILB	GTEX.OIZI.0726.SM.2XCEI
ZNF45	244.57	255.0	320.8	332.14	432.53	435.55	171.45	223.41	60.82	126.12	180.02	231.32	102.25	100.83	46.18	72.52	133.36	111.99	136.19	173.85	66.65	46.5	92.05	68.55	151.22	124.37	37.85	58.71	104.42	102.97	153.34	209.84	46.84	155.5	81.14	189.02	116.78	143.01	125.24	55.1	104.42	142.01	57.89	146.03	49.91	199.85	18.84	74.58	320.8	241.19
ZNF451	395.18	490.14	603.67	529.06	587.13	493.56	295.11	361.04	125.24	289.02	242.88	287.01	178.77	156.59	86.43	108.9	220.32	136.19	285.03	229.72	134.3	71.0	154.42	113.56	128.79	232.94	121.79	77.25	149.12	206.94	214.27	232.94	37.59	143.01	78.34	239.52	139.07	164.42	460.44	105.89	191.67	190.34	67.59	239.52	80.57	287.01	60.39	69.03	547.75	587.13
ZNF493	198.47	262.2	376.41	339.14	423.61	361.04	180.02	215.77	43.32	173.85	136.19	116.78	80.01	86.43	33.3	34.51	74.06	45.21	71.5	92.7	33.54	19.11	70.01	69.03	69.52	67.59	25.17	16.03	103.69	53.57	73.54	137.14	13.83	56.28	10.08	120.94	35.76	113.56	251.48	35.76	38.4	96.01	14.67	80.57	23.76	127.0	8.71	5.32	703.28	432.53
ZNF548	151.22	336.79	381.68	423.61	493.56	387.02	157.68	211.31	80.01	148.09	139.07	194.36	167.9	231.32	47.5	69.03	146.03	87.65	155.5	186.4	70.51	45.21	127.89	91.41	123.5	119.26	42.41	66.18	106.63	132.44	153.34	158.79	54.33	84.04	113.56	209.84	224.97	119.26	153.34	73.03	93.35	115.97	75.11	137.14	39.79	197.09	53.19	45.21	371.22	329.84
ZNF551	78.89	187.71	115.97	147.06	226.54	158.79	43.63	105.15	38.67	45.85	60.39	76.17	52.82	63.89	12.36	24.81	34.26	20.26	92.05	93.35	21.16	10.24	26.1	35.0	26.47	36.79	19.82	26.28	27.84	37.05	59.13	71.0	19.97	32.59	34.02	69.03	43.32	60.82	50.98	20.26	46.5	45.21	27.25	49.56	6.78	69.52	12.09	19.97	183.82	105.89
ZNF566	143.01	167.9	175.07	146.03	262.2	163.28	82.29	125.24	76.17	99.43	125.24	118.43	96.01	110.43	39.5	42.11	44.25	61.68	76.71	139.07	65.26	43.63	76.71	119.26	49.21	39.22	36.01	56.68	101.54	63.0	124.37	109.66	28.65	80.01	52.08	99.43	80.57	85.22	147.06	47.5	95.34	81.14	40.64	72.01	68.55	105.15	15.34	51.35	137.14	132.44
ZNF568	159.9	197.09	255.0	299.25	346.29	312.0	145.02	193.01	79.45	70.51	176.29	180.02	108.14	74.58	40.64	19.25	53.57	69.03	95.34	111.21	34.75	36.53	71.5	93.35	83.45	75.11	48.52	39.22	54.72	77.25	171.45	162.14	40.36	77.25	59.55	111.99	57.08	137.14	128.79	52.82	71.5	103.69	39.5	103.69	32.36	175.07	10.39	11.55	236.21	231.32
ZNF569	105.89	89.51	111.99	111.21	127.0	191.67	77.79	102.97	41.22	84.04	69.03	91.41	49.56	58.71	14.35	33.54	43.63	29.06	48.87	64.8	36.53	21.32	33.78	50.27	38.95	53.19	21.47	16.63	53.19	50.63	84.63	92.05	7.75	38.4	18.97	53.19	59.13	68.07	106.63	24.28	31.67	69.52	16.15	67.12	27.44	78.34	8.32	20.41	133.36	140.04
ZNF586	202.66	303.44	208.38	301.33	307.69	305.55	72.52	156.59	64.8	137.14	67.12	99.43	119.26	173.85	50.63	15.0	83.45	94.01	74.58	114.36	74.06	80.57	150.17	82.29	54.72	65.72	86.43	46.5	94.01	87.03	75.11	150.17	94.01	73.03	72.52	116.78	107.38	128.79	199.85	77.79	82.29	171.45	92.05	108.14	45.21	155.5	24.46	47.84	217.27	187.71
ZNF606	185.11	199.85	264.03	285.03	397.93	327.56	193.01	195.72	90.77	198.47	143.01	110.43	170.25	175.07	39.79	57.49	132.44	108.14	137.14	143.01	103.69	39.5	104.42	105.15	65.72	71.5	52.82	36.53	82.29	85.22	142.01	133.36	27.44	94.67	36.01	176.29	103.69	127.0	251.48	64.34	76.71	167.9	40.36	127.89	65.72	176.29	29.27	8.85	309.83	346.29
ZNF607	85.82	127.0	125.24	118.43	231.32	199.85	88.88	80.57	58.71	75.11	94.01	64.34	74.58	63.89	24.63	37.59	64.8	40.07	74.58	90.77	36.53	17.64	52.82	66.65	42.41	45.21	22.43	29.06	59.13	48.52	75.11	77.79	14.45	42.41	32.13	102.97	71.5	70.51	87.65	39.79	44.57	77.79	23.25	69.03	33.06	80.01	2.03	4.82	154.42	124.37
ZNF639	583.07	928.3	791.35	669.92	902.89	656.11	320.8	599.49	551.56	435.55	503.95	599.49	490.14	414.87	307.69	400.71	514.56	444.72	341.51	684.02	358.54	305.55	444.72	414.87	406.31	503.95	400.71	248.0	316.37	463.65	450.94	490.14	161.02	361.04	204.07	595.34	406.31	376.41	599.49	420.68	616.37	285.03	208.38	497.0	303.44	490.14	139.07	267.73	743.43	1216.75
ZNF708	201.25	202.66	212.78	228.13	218.79	264.03	61.25	167.9	51.35	121.79	109.66	90.77	108.14	46.84	25.35	19.53	70.51	34.26	120.1	100.13	36.27	18.16	55.1	28.86	28.45	85.82	23.25	11.73	112.77	52.08	78.34	72.52	3.35	29.27	10.63	103.69	28.65	46.18	267.73	23.25	61.68	68.07	8.45	77.79	20.56	121.79	7.34	12.27	241.19	251.48
ZNF776	224.97	454.09	381.68	454.09	514.56	536.45	198.47	275.28	135.24	189.02	218.79	208.38	193.01	159.9	62.56	72.52	212.78	120.94	136.19	265.87	114.36	62.12	121.79	76.71	90.77	137.14	74.58	65.72	145.02	119.26	175.07	187.71	60.82	128.79	85.22	215.77	76.71	173.85	236.21	92.05	122.64	120.1	92.05	147.06	43.32	236.21	35.0	37.85	454.09	392.44
ZNF780B	185.11	221.86	221.86	269.6	361.04	297.17	92.7	165.57	67.12	91.41	144.01	135.24	97.36	117.6	23.08	59.55	67.59	74.06	91.41	133.36	63.45	30.12	62.56	53.95	70.51	90.14	37.32	25.35	73.54	64.34	118.43	140.04	29.48	64.8	49.56	144.01	65.26	103.69	299.25	45.53	62.56	120.1	40.64	96.68	43.94	147.06	38.4	37.32	457.25	351.14
ZNF791	253.23	406.31	486.75	480.04	595.34	379.04	120.94	309.83	111.21	197.09	234.57	242.88	197.09	137.14	53.95	101.54	211.31	144.01	176.29	221.86	110.43	70.01	146.03	159.9	157.68	194.36	68.07	44.57	186.4	176.29	190.34	244.57	18.29	80.01	47.5	220.32	53.95	165.57	295.11	79.45	118.43	155.5	48.52	224.97	47.5	228.13	28.65	37.59	454.09	429.54
ZNF829	55.49	96.68	81.14	98.04	134.3	154.42	20.71	33.78	14.89	27.84	35.25	31.45	21.47	24.46	4.9	9.85	19.82	16.15	21.78	28.45	16.88	2.46	11.13	20.26	22.1	13.22	11.04	3.63	17.0	14.03	28.04	38.95	1.85	7.06	2.2	29.27	8.92	30.12	30.34	7.94	12.55	28.24	2.03	27.44	4.46	39.5	1.27	8.32	49.56	112.77
ZXDA	74.58	88.88	120.1	81.14	140.04	109.66	51.71	131.51	29.7	47.84	77.79	69.03	40.64	63.45	23.42	34.75	67.12	37.05	38.95	60.82	46.84	33.3	45.53	44.25	18.03	37.32	31.67	34.02	51.35	31.45	79.45	64.8	27.25	43.02	41.22	65.26	44.57	34.51	52.82	41.22	35.25	33.3	23.25	47.5	25.91	56.68	14.35	17.77	82.87	92.05
