	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OW6.1826.SM.5N9F9	GTEX.T5JC.1526.SM.4DM68	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	TCGA.B8.4621.01A.01R.1503.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.Y8.A894.01A.11R.A36F.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.DW.7834.01A.11R.2139.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.MH.A55W.01A.11R.A26U.07	TCGA.2Z.A9JS.01A.21R.A42S.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.DW.7836.01A.11R.2139.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.DZ.6132.11A.01R.1965.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.1211K.0726.SM.5FQUW
C17orf97	26.67	182.55	239.52	32.82	81.71	218.79	221.86	52.08	102.25	84.04	187.71	346.29	220.32	318.57	193.01	303.44	166.73	299.25	102.97	708.18	157.68	133.36	432.53	454.09	684.02	153.34	181.28	166.73	309.83	215.77	339.14	327.56	167.9	237.86	279.14	253.23	229.72	150.17	215.77	237.86	395.18	229.72	312.0	183.82	279.14	343.89	166.73	218.79	314.17	154.42	220.32	409.15	896.64	796.86	1051.79	1191.69	638.15	500.46	2351.53	1001.93	878.17	791.35	878.17	854.13	1030.12	825.0	813.63	1233.75	1378.57	476.71	1104.13	819.3	287.01	318.57	172.65	260.38	241.19	241.19	305.55	353.59	339.14	387.02	258.57	194.36	189.02	285.03	309.83	181.28	0.0	0.0	157.68	265.87	444.72
C5orf28	223.41	348.71	152.28	178.77	293.07	199.85	132.44	384.34	120.1	156.59	242.88	202.66	301.33	189.02	260.38	325.29	185.11	165.57	163.28	127.0	279.14	166.73	275.28	265.87	486.75	236.21	244.57	189.02	279.14	215.77	239.52	332.14	229.72	236.21	208.38	170.25	231.32	255.0	242.88	237.86	256.78	232.94	260.38	229.72	348.71	224.97	329.84	255.0	221.86	260.38	287.01	260.38	353.59	1225.22	536.45	587.13	718.08	769.69	759.08	679.29	529.06	525.39	406.31	346.29	305.55	674.59	988.12	409.15	638.15	291.04	343.89	802.41	253.23	249.73	221.86	199.85	175.07	205.5	186.4	190.34	190.34	287.01	157.68	194.36	242.88	231.32	162.14	198.47	0.0	0.43	406.31	743.43	915.51
C5orf49	10.16	2.51	6.94	7.0	2.94	1.11	1.71	7.11	6.26	28.24	127.0	121.79	96.68	157.68	98.04	166.73	660.68	177.53	81.71	454.09	133.36	108.14	94.01	198.47	185.11	224.97	170.25	120.94	84.04	123.5	127.0	116.78	193.01	75.64	123.5	84.63	94.67	169.07	86.43	105.89	99.43	111.21	90.14	100.13	125.24	86.43	138.1	128.79	140.04	112.77	121.79	112.77	444.72	260.38	171.45	514.56	269.6	127.0	441.64	221.86	185.11	444.72	295.11	234.57	190.34	249.73	249.73	271.48	389.72	217.27	366.09	208.38	127.89	85.22	133.36	165.57	99.43	127.89	110.43	85.22	149.12	111.21	99.43	105.89	117.6	127.0	133.36	147.06	0.0	0.0	119.26	61.25	20.11
CCDC113	34.26	61.68	43.63	33.78	121.79	34.75	13.32	79.45	17.0	23.93	65.72	55.89	25.72	45.21	65.26	37.32	17.25	120.94	10.96	94.01	15.91	6.21	44.57	139.07	144.01	84.04	18.84	43.32	41.52	46.18	53.95	47.84	49.56	52.82	46.18	32.36	44.25	33.06	47.84	45.21	80.01	57.49	41.52	40.64	32.59	46.5	44.25	65.26	47.17	57.08	36.53	50.63	153.34	202.66	140.04	226.54	85.82	132.44	379.04	142.01	420.68	93.35	242.88	279.14	194.36	237.86	107.38	181.28	140.04	194.36	191.67	189.02	39.79	45.21	53.57	32.36	48.87	47.84	39.5	42.71	27.64	90.14	23.08	29.91	44.25	62.56	34.51	33.54	0.0	0.0	45.85	49.91	53.57
CCDC135	2.39	0.62	1.27	1.48	2.92	0.0	0.35	0.31	0.79	0.35	35.0	27.05	12.74	24.46	29.91	20.26	14.45	58.71	31.22	13.83	3.66	0.22	68.07	83.45	221.86	44.57	11.3	22.92	17.13	22.26	31.9	21.63	17.77	41.22	18.29	12.83	13.62	7.94	13.03	38.4	34.26	29.7	21.78	17.9	24.28	25.91	20.26	38.67	31.9	23.59	21.63	29.7	507.46	202.66	198.47	417.77	128.79	206.94	412.0	155.5	514.56	164.42	423.61	389.72	371.22	543.96	84.04	473.41	229.72	262.2	358.54	334.46	24.28	26.1	28.04	20.11	14.56	21.47	29.91	46.18	16.15	57.49	16.15	26.86	28.24	26.86	20.71	30.78	0.0	0.0	13.93	0.0	3.41
CCDC40	37.32	60.39	24.28	32.59	31.9	87.03	27.64	65.72	17.51	48.18	132.44	119.26	43.63	102.97	128.79	67.59	26.47	148.09	108.9	34.75	20.86	55.49	175.07	197.09	320.8	145.02	51.71	43.94	65.26	127.89	80.57	94.67	98.04	90.77	74.06	59.55	75.11	61.25	92.7	92.05	91.41	82.87	98.04	84.63	74.06	101.54	50.63	153.34	83.45	80.57	55.89	120.1	603.67	358.54	397.93	769.69	571.05	543.96	785.88	406.31	480.04	260.38	511.0	395.18	444.72	486.75	708.18	420.68	406.31	162.14	426.57	417.77	78.89	65.72	82.87	63.0	81.71	83.45	152.28	105.89	78.34	180.02	62.56	71.0	158.79	119.26	88.26	66.65	0.0	0.33	156.59	176.29	177.53
CCDC74B	24.99	18.97	69.52	10.08	52.82	11.38	18.43	10.24	3.63	70.01	101.54	96.68	36.27	64.34	82.87	77.79	70.51	30.78	63.0	24.99	161.02	36.53	32.59	161.02	249.73	480.04	43.94	33.06	70.01	65.72	49.91	20.56	49.91	45.53	28.65	31.9	58.71	37.05	49.91	63.45	40.07	55.1	46.5	48.52	109.66	63.89	44.57	30.56	57.08	58.3	38.67	44.57	325.29	162.14	525.39	450.94	329.84	234.57	220.32	616.37	224.97	212.78	253.23	299.25	1081.39	426.57	384.34	490.14	211.31	417.77	514.56	249.73	67.59	49.21	57.49	27.64	77.79	88.88	77.25	81.71	32.36	117.6	55.89	29.27	81.14	47.84	67.12	31.45	0.0	0.0	158.79	156.59	142.01
CCDC88A	59.55	38.95	60.82	47.84	39.22	51.35	61.25	46.84	43.63	51.71	120.94	68.07	37.05	109.66	82.87	57.08	36.01	47.5	55.49	62.56	67.59	61.25	71.5	85.22	228.13	299.25	74.58	90.77	199.85	148.09	111.99	148.09	100.13	116.78	100.13	90.77	105.89	97.36	128.79	118.43	88.26	110.43	117.6	111.21	78.89	88.26	142.01	156.59	119.26	147.06	127.89	161.02	170.25	131.51	169.07	93.35	130.6	303.44	202.66	130.6	275.28	176.29	136.19	164.42	281.09	138.1	169.07	173.85	121.79	106.63	128.79	134.3	72.52	80.01	167.9	90.77	63.45	76.17	98.73	74.58	80.01	157.68	90.77	90.77	83.45	121.79	68.07	103.69	0.0	0.58	129.69	136.19	100.13
CCL28	37.59	123.5	2.29	1.91	95.34	12.83	10.31	195.72	172.65	8.85	107.38	92.05	60.39	49.21	131.51	80.01	25.72	28.04	31.9	159.9	62.12	57.49	22.1	212.78	708.18	283.05	42.71	46.18	88.26	64.34	55.49	47.84	64.8	73.54	52.82	41.81	82.87	51.71	43.94	68.55	52.82	66.18	71.5	84.04	155.5	57.89	72.52	59.97	50.98	90.77	98.04	86.43	218.79	4152.18	616.37	536.45	941.27	1561.89	1051.79	825.0	909.17	759.08	417.77	287.01	389.72	1073.91	1561.89	651.58	1268.46	423.61	674.59	1498.22	95.34	46.5	67.59	23.25	60.82	66.65	56.68	63.0	35.25	201.25	33.54	37.32	65.72	82.87	37.05	44.89	0.0	0.36	665.29	698.41	819.3
CDH2	20.41	3.76	0.67	18.97	5.5	2.58	10.88	1.22	3.96	35.0	476.71	258.57	295.11	595.34	258.57	244.57	381.68	1662.49	356.05	277.2	151.22	271.48	1044.52	708.18	483.38	1313.23	532.74	417.77	279.14	303.44	361.04	575.03	651.58	444.72	420.68	463.65	376.41	500.46	738.29	435.55	480.04	289.02	356.05	591.22	547.75	490.14	665.29	591.22	629.35	429.54	603.67	486.75	684.02	995.0	995.0	1199.98	1498.22	1407.55	1127.35	2319.15	1651.0	1051.79	1295.13	1088.92	866.07	1225.22	1407.55	954.43	1331.57	1199.98	941.27	1437.15	231.32	291.04	571.05	536.45	299.25	476.71	181.28	371.22	575.03	529.06	575.03	785.88	356.05	575.03	486.75	563.18	0.0	0.27	5.36	7.34	7.11
CDH6	34.51	21.01	11.47	13.62	38.12	74.06	21.63	9.27	77.25	19.53	830.75	231.32	228.13	1388.16	318.57	356.05	194.36	1427.22	2148.82	24.63	60.82	620.67	896.64	775.05	2271.4	6381.92	684.02	361.04	228.13	417.77	629.35	1427.22	848.22	483.38	327.56	457.25	343.89	518.15	1437.15	669.92	665.29	275.28	438.59	1044.52	500.46	463.65	1191.69	2956.17	679.29	819.3	1073.91	723.08	1378.57	5995.9	2163.77	6983.79	3540.14	2193.99	7081.29	2664.15	2835.7	1250.98	8421.31	5711.87	698.41	2591.27	1909.85	3168.41	2875.3	2739.08	1378.57	1159.07	242.88	305.55	1088.92	748.61	249.73	438.59	316.37	444.72	607.87	1991.0	547.75	808.0	616.37	1378.57	363.56	500.46	0.0	0.4	70.01	66.65	26.67
CHRNB1	289.02	198.47	392.44	334.46	198.47	136.19	215.77	133.36	186.4	123.5	301.33	327.56	190.34	267.73	224.97	248.0	231.32	166.73	204.07	688.78	152.28	189.02	113.56	454.09	884.29	497.0	214.27	228.13	251.48	228.13	206.94	232.94	244.57	226.54	199.85	208.38	303.44	197.09	248.0	255.0	226.54	212.78	224.97	236.21	226.54	211.31	193.01	283.05	241.19	242.88	191.67	267.73	915.51	660.68	974.5	748.61	587.13	728.11	1540.37	264.03	723.08	483.38	642.59	866.07	1199.98	961.07	890.44	825.0	728.11	753.83	708.18	693.58	332.14	224.97	314.17	249.73	241.19	212.78	289.02	262.2	260.38	293.07	183.82	191.67	265.87	253.23	182.55	271.48	0.0	0.35	295.11	521.76	466.88
CHST10	68.55	116.78	58.3	15.56	21.63	32.13	34.75	42.71	25.35	32.82	158.79	180.02	57.89	119.26	127.0	107.38	46.84	66.65	108.9	48.18	87.65	70.51	119.26	189.02	159.9	297.17	68.07	105.15	166.73	158.79	143.01	130.6	108.9	105.89	138.1	126.12	142.01	84.63	130.6	143.01	162.14	136.19	163.28	121.79	82.29	127.0	99.43	141.02	118.43	204.07	171.45	149.12	131.51	212.78	312.0	249.73	251.48	256.78	199.85	318.57	334.46	165.57	218.79	163.28	291.04	301.33	223.41	146.03	249.73	220.32	262.2	303.44	108.9	147.06	171.45	100.13	113.56	147.06	144.01	181.28	98.73	185.11	89.51	117.6	146.03	116.78	143.01	121.79	0.0	0.26	137.14	214.27	150.17
CHST9	1.36	0.93	5.36	8.78	14.03	8.99	15.8	10.88	5.87	1.35	62.56	62.56	34.51	39.22	79.45	62.56	21.47	8.65	12.0	102.25	2.18	28.86	19.53	130.6	44.89	18.03	29.91	49.21	35.76	38.12	66.18	88.26	50.63	44.57	60.82	33.78	58.3	27.44	55.1	73.03	72.52	52.82	35.5	47.17	64.8	34.75	76.17	42.11	40.64	68.07	105.15	46.84	101.54	131.51	128.79	93.35	447.82	287.01	123.5	426.57	351.14	363.56	157.68	182.55	183.82	256.78	511.0	136.19	363.56	244.57	244.57	334.46	63.45	41.52	48.18	19.82	61.25	94.01	39.5	29.48	35.5	100.13	26.28	24.63	43.32	52.45	28.24	34.75	0.0	0.0	1.27	0.42	1.3
CIAPIN1	1059.11	532.74	928.3	723.08	830.75	1066.48	872.1	1051.79	1295.13	1277.29	928.3	988.12	1259.69	1008.9	1066.48	1277.29	878.17	1540.37	796.86	1023.0	651.58	713.11	1819.35	1295.13	1977.24	988.12	1088.92	808.0	954.43	1001.93	1015.93	1015.93	995.0	981.29	1059.11	890.44	961.07	1167.14	954.43	909.17	1066.48	896.64	974.5	1073.91	1051.79	915.51	967.76	1037.29	1051.79	954.43	928.3	961.07	2287.2	1572.76	1950.0	2004.85	1286.18	1417.35	2720.15	1519.15	2573.36	2178.83	1977.24	2075.59	2451.44	2796.65	1127.35	2178.83	2335.28	2047.0	2627.46	1819.35	1199.98	954.43	872.1	1015.93	866.07	830.75	988.12	961.07	860.08	1030.12	909.17	1001.93	988.12	941.27	872.1	961.07	0.0	0.42	713.11	679.29	769.69
CNTN4	36.79	9.63	7.63	2.61	26.47	63.45	14.56	0.62	46.18	43.32	116.78	100.13	69.52	90.14	105.15	108.14	98.73	152.28	151.22	127.89	84.63	100.13	105.89	108.9	133.36	12.83	118.43	90.77	67.12	55.1	78.89	132.44	131.51	120.94	111.21	108.14	123.5	102.97	120.94	141.02	111.99	116.78	97.36	114.36	75.11	119.26	124.37	78.34	89.51	112.77	204.07	102.25	212.78	490.14	204.07	289.02	463.65	400.71	218.79	463.65	473.41	303.44	271.48	241.19	105.89	110.43	624.99	137.14	718.08	511.0	316.37	454.09	74.06	88.26	95.34	113.56	90.14	139.07	60.39	88.26	124.37	143.01	102.97	114.36	100.13	77.79	87.65	90.14	0.0	0.28	293.07	629.35	503.95
CORO1C	397.93	258.57	301.33	466.88	842.36	435.55	392.44	616.37	381.68	473.41	796.86	454.09	532.74	909.17	718.08	571.05	476.71	909.17	567.1	248.0	289.02	318.57	981.29	961.07	3060.45	1457.23	775.05	656.11	733.19	616.37	808.0	1104.13	995.0	764.36	703.28	651.58	693.58	796.86	866.07	633.73	684.02	591.22	854.13	915.51	708.18	633.73	1216.75	1081.39	665.29	967.76	1051.79	896.64	1594.73	1594.73	1605.83	1806.78	1119.56	2032.85	1583.71	1259.69	1617.0	1819.35	2004.85	1950.0	1467.37	1111.82	896.64	1674.06	1127.35	1977.24	1159.07	878.17	529.06	543.96	934.76	616.37	525.39	688.78	633.73	616.37	764.36	1059.11	728.11	780.44	688.78	1437.15	703.28	836.53	2047.0	4736.79	373.81	457.25	258.57
CPD	206.94	323.03	140.04	159.9	239.52	285.03	511.0	368.65	417.77	264.03	536.45	444.72	249.73	607.87	444.72	332.14	223.41	1151.06	529.06	123.5	343.89	426.57	748.61	1015.93	1487.87	890.44	414.87	620.67	723.08	563.18	764.36	638.15	518.15	728.11	571.05	595.34	764.36	417.77	785.88	713.11	825.0	753.83	679.29	551.56	389.72	679.29	785.88	808.0	656.11	713.11	679.29	679.29	1143.1	1322.37	808.0	1044.52	1242.34	1572.76	1104.13	981.29	1594.73	511.0	1359.57	1088.92	743.43	583.07	896.64	909.17	866.07	974.5	698.41	656.11	329.84	466.88	521.76	470.14	500.46	620.67	540.19	536.45	490.14	567.1	483.38	551.56	447.82	624.99	435.55	559.28	2032.85	738.29	551.56	379.04	493.56
CREB5	27.44	4.06	2.58	7.4	42.71	63.89	8.51	0.93	7.88	16.39	132.44	84.04	61.25	166.73	241.19	115.97	130.6	61.68	921.88	31.67	33.78	172.65	137.14	101.54	728.11	339.14	114.36	21.94	71.5	91.41	142.01	226.54	142.01	42.11	75.11	62.56	50.98	126.12	47.5	90.77	66.65	77.79	108.9	166.73	74.06	58.71	171.45	208.38	128.79	166.73	169.07	114.36	660.68	642.59	884.29	995.0	1191.69	1044.52	511.0	669.92	693.58	928.3	780.44	981.29	1225.22	1208.34	872.1	679.29	638.15	854.13	1059.11	656.11	123.5	105.15	134.3	89.51	53.57	65.26	153.34	75.11	102.25	249.73	90.14	68.07	134.3	218.79	105.89	62.56	0.0	0.53	64.34	15.91	42.11
CRMP1	38.12	32.36	40.93	41.52	31.45	92.7	26.86	4.24	68.55	42.41	228.13	126.12	51.35	118.43	191.67	68.55	81.14	241.19	102.97	49.21	101.54	114.36	301.33	314.17	420.68	205.5	102.25	138.1	144.01	234.57	122.64	104.42	181.28	178.77	110.43	105.89	167.9	93.35	182.55	189.02	94.01	148.09	177.53	144.01	194.36	152.28	87.03	172.65	112.77	126.12	108.9	229.72	423.61	237.86	457.25	1104.13	575.03	2047.0	420.68	1745.2	525.39	384.34	327.56	1467.37	208.38	872.1	1498.22	325.29	780.44	2835.7	454.09	1001.93	45.85	94.67	158.79	93.35	108.14	150.17	151.22	113.56	113.56	173.85	98.04	155.5	172.65	170.25	164.42	171.45	0.0	0.59	119.26	127.89	82.87
CRTAP	1572.76	1651.0	1233.75	941.27	1427.22	1936.53	1844.76	915.51	1561.89	2271.4	3325.99	2895.31	3665.02	3690.52	3124.78	3794.3	2835.7	3639.7	2240.11	3018.3	1991.0	2468.49	2664.15	3847.29	7032.37	3325.99	3820.7	3235.01	3349.13	3419.52	4123.49	3820.7	3168.41	3103.19	2956.17	3168.41	2976.74	3901.01	3820.7	3491.39	3690.52	3039.3	2875.3	3794.3	3982.99	3235.01	5479.15	4123.49	3665.02	4210.15	4419.52	3820.7	3847.29	6426.31	3665.02	3515.68	3847.29	4869.99	4095.0	4769.75	4769.75	3928.15	4802.93	6516.03	4836.35	3768.09	3768.09	4298.64	5183.54	5292.48	4481.23	4181.07	2417.67	2855.44	4358.66	3395.89	2537.92	3212.66	2682.69	3168.41	2701.35	4010.71	3982.99	3124.78	3257.52	3589.58	4010.71	3820.7	0.0	0.74	3212.66	3955.48	2255.7
DCTN2	3325.99	3467.27	3235.01	1457.23	3280.18	2075.59	2664.15	3168.41	3257.52	5112.16	4298.64	3928.15	3847.29	4268.94	4481.23	5791.62	4066.71	4575.41	4066.71	4010.71	2303.12	3467.27	4095.0	5006.93	6935.54	3419.52	3928.15	3303.0	4239.45	3190.46	3467.27	4210.15	4268.94	2400.97	4239.45	3325.99	3060.45	3820.7	3235.01	3515.68	2956.17	3491.39	3212.66	4066.71	4388.98	3639.7	4450.27	5006.93	3235.01	4328.55	4388.98	3794.3	6561.36	7180.15	9740.98	6294.04	4639.29	8840.04	11827.67	5006.93	4769.75	3168.41	7280.4	5913.33	9606.86	4903.87	4543.8	6887.62	4607.24	7537.18	4704.07	4836.35	3955.48	3742.05	4704.07	4450.27	4038.61	3716.2	4152.18	3212.66	4512.4	6037.61	3820.7	3742.05	3955.48	4704.07	3901.01	3540.14	0.0	1.25	4972.34	3515.68	3540.14
DENND3	149.12	59.55	144.01	234.57	148.09	68.55	139.07	139.07	150.17	56.68	271.48	154.42	119.26	173.85	289.02	162.14	72.52	173.85	212.78	54.33	149.12	291.04	206.94	253.23	607.87	325.29	137.14	166.73	162.14	277.2	186.4	176.29	209.84	202.66	202.66	157.68	208.38	182.55	165.57	126.12	169.07	191.67	264.03	198.47	195.72	138.1	152.28	242.88	201.25	318.57	162.14	236.21	1119.56	507.46	791.35	483.38	961.07	796.86	698.41	830.75	647.07	616.37	497.0	718.08	591.22	638.15	1037.29	1277.29	575.03	785.88	412.0	819.3	197.09	177.53	269.6	147.06	178.77	165.57	447.82	223.41	149.12	441.64	141.02	164.42	273.37	297.17	194.36	182.55	0.0	0.82	808.0	638.15	525.39
DNAJC22	9.48	7.4	6.62	0.77	6.94	3.99	3.76	4.78	20.71	4.39	323.03	256.78	346.29	373.81	231.32	279.14	336.79	525.39	234.57	226.54	733.19	202.66	1159.07	312.0	346.29	1111.82	540.19	267.73	173.85	206.94	204.07	353.59	441.64	447.82	341.51	291.04	327.56	409.15	529.06	400.71	283.05	190.34	341.51	363.56	579.04	309.83	271.48	309.83	318.57	201.25	297.17	381.68	684.02	339.14	660.68	651.58	441.64	616.37	403.5	1487.87	579.04	336.79	1066.48	559.28	698.41	842.36	511.0	713.11	395.18	1175.27	480.04	473.41	287.01	291.04	358.54	406.31	223.41	403.5	181.28	253.23	476.71	279.14	473.41	423.61	351.14	318.57	409.15	381.68	49.91	112.77	172.65	114.36	187.71
DOC2A	28.86	10.0	5.45	7.46	12.09	7.34	231.32	4.24	14.67	5.11	12.55	22.26	1.93	6.57	11.64	12.27	39.22	59.55	193.01	5.02	33.54	4.66	17.25	4.62	343.89	97.36	10.08	5.63	14.56	6.84	1.51	2.05	4.82	14.78	4.28	2.36	2.58	5.28	4.86	10.0	8.71	2.61	7.69	10.71	24.28	6.57	1.77	3.0	4.74	7.46	2.51	8.25	3794.3	190.34	733.19	312.0	486.75	244.57	1651.0	170.25	190.34	125.24	435.55	884.29	1151.06	743.43	435.55	1104.13	151.22	1268.46	633.73	1331.57	16.75	6.36	9.34	2.41	5.82	6.46	26.28	9.56	4.66	29.06	2.94	8.0	22.26	0.84	3.0	3.79	0.0	0.52	5.36	8.99	3.32
DOCK11	44.89	8.78	6.11	17.77	17.9	18.56	23.76	8.13	61.68	49.56	172.65	62.56	32.13	110.43	78.34	95.34	57.89	218.79	58.3	30.56	30.12	22.59	218.79	329.84	1030.12	444.72	75.11	55.89	51.35	84.63	145.02	204.07	137.14	81.14	100.13	72.01	140.04	78.89	102.97	105.89	94.01	111.21	78.89	117.6	115.97	60.82	273.37	251.48	125.24	173.85	205.5	139.07	358.54	312.0	275.28	249.73	429.54	392.44	312.0	384.34	384.34	289.02	212.78	1295.13	723.08	511.0	356.05	251.48	167.9	1051.79	329.84	571.05	59.55	43.63	241.19	90.77	45.53	77.79	81.14	53.57	91.41	209.84	88.26	49.21	92.05	201.25	58.3	90.77	0.0	0.45	132.44	332.14	204.07
DRC1	2.71	1.55	0.33	2.2	0.38	5.02	3.38	0.31	0.4	0.0	5.63	4.7	3.2	4.86	6.21	2.63	5.32	5.92	3.69	2.34	2.78	0.0	2.61	34.26	24.28	4.39	4.82	7.51	2.05	0.0	5.96	4.94	3.72	6.21	2.58	4.03	10.39	1.27	0.78	3.44	1.89	1.62	2.71	10.55	2.39	2.73	7.69	6.31	3.38	5.54	4.66	2.76	28.86	15.8	24.81	104.42	22.92	31.9	96.68	46.5	17.38	27.05	38.4	2.97	120.94	25.35	34.02	26.28	15.68	5.77	46.5	4.24	4.28	3.53	5.59	1.89	0.79	4.98	3.26	3.56	4.39	19.68	3.96	2.29	2.18	2.97	2.81	0.4	0.0	0.0	9.7	0.0	6.62
DYNC2LI1	607.87	575.03	647.07	334.46	441.64	665.29	353.59	551.56	599.49	275.28	1143.1	1119.56	1191.69	988.12	1259.69	1199.98	1359.57	981.29	551.56	1487.87	1175.27	688.78	599.49	1359.57	2777.33	1639.59	532.74	743.43	808.0	802.41	928.3	854.13	884.29	902.89	961.07	872.1	1008.9	866.07	947.83	974.5	1008.9	665.29	764.36	1119.56	1119.56	813.63	1037.29	1073.91	890.44	954.43	1143.1	909.17	4869.99	3235.01	3982.99	3103.19	4210.15	3280.18	3690.52	3820.7	3103.19	3665.02	3982.99	2319.15	4512.4	4328.55	3564.78	2935.74	3820.7	1819.35	5441.3	4450.27	1369.04	934.76	830.75	872.1	785.88	890.44	854.13	813.63	753.83	1135.2	679.29	954.43	974.5	599.49	616.37	780.44	291.04	2104.58	1001.93	733.19	708.18
DZANK1	81.14	45.21	30.56	130.6	129.69	66.18	24.11	97.36	36.53	40.64	70.01	63.89	51.35	45.21	72.01	50.63	58.71	56.28	69.52	71.0	88.26	27.44	58.71	43.32	155.5	113.56	44.57	51.71	53.19	71.0	49.56	59.13	49.56	77.79	69.03	38.95	61.68	52.82	69.03	61.25	51.71	63.45	60.39	80.01	89.51	64.34	56.28	55.89	60.82	51.71	53.95	63.45	135.24	208.38	173.85	285.03	98.73	190.34	248.0	198.47	295.11	69.52	283.05	139.07	232.94	231.32	99.43	183.82	112.77	127.89	142.01	182.55	70.51	59.13	63.45	52.82	49.56	54.72	55.89	55.89	59.97	80.57	46.84	70.01	59.55	56.28	43.94	62.56	0.0	0.22	135.24	140.04	105.89
EFCAB12	2.05	3.72	1.28	2.58	3.66	2.56	1.04	2.1	11.64	0.36	34.02	25.35	19.68	40.07	28.45	25.72	30.12	75.64	30.78	19.53	37.05	0.93	34.26	54.33	77.25	34.02	36.01	22.26	17.38	46.5	21.78	29.48	32.36	35.76	22.26	29.06	29.06	28.45	30.34	31.67	22.75	25.72	26.28	37.59	48.87	32.82	23.76	31.0	30.34	19.53	22.59	29.06	145.02	161.02	117.6	248.0	98.73	136.19	108.9	215.77	150.17	55.89	93.35	141.02	121.79	132.44	122.64	151.22	121.79	75.11	161.02	130.6	40.93	22.75	37.05	30.56	26.86	37.32	32.59	25.91	39.5	66.65	28.24	55.49	43.02	27.25	19.39	24.81	0.0	0.01	33.54	105.15	40.36
