	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.5665.11A.01R.1653.07	TCGA.A6.2684.11A.01R.A32Z.07	TCGA.AA.3516.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13OVG.1426.SM.5K7VP	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.OIZH.1426.SM.3NB1O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.WHWD.1226.SM.4OOS1	GTEX.R55D.1826.SM.48FEF	GTEX.13FTW.1826.SM.5IJEN	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.YEC3.2026.SM.4WWFL	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.ZTSS.1126.SM.5985O	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.QEL4.1926.SM.4R1JI	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.139T6.0826.SM.5J1O2	GTEX.13111.1126.SM.5GCMZ	GTEX.13FTW.1926.SM.5K7Y4	GTEX.WH7G.1026.SM.4LVML	GTEX.12WSJ.0726.SM.5GCN6	GTEX.1122O.1626.SM.5N9CX	GTEX.YEC3.1926.SM.4WWF5	GTEX.W5WG.1526.SM.4LMIG	GTEX.RM2N.0626.SM.48FD6	GTEX.ZDYS.0926.SM.4WWCS	GTEX.ZZPU.1826.SM.5E43L	GTEX.OIZI.1326.SM.3NB1B	GTEX.ZVT2.1226.SM.5GU5H	GTEX.11EQ9.0826.SM.5986Y	GTEX.11P82.0626.SM.5PNYK	GTEX.11DXX.1026.SM.5H11E
ERLIN1	339.14	400.71	543.96	423.61	665.29	954.43	860.08	612.11	775.05	703.28	738.29	848.22	708.18	674.59	921.88	1119.56	1104.13	1044.52	713.11	842.36	902.89	540.19	603.67	967.76	796.86	629.35	860.08	1088.92	718.08	616.37	791.35	1111.82	791.35	563.18	830.75	974.5	967.76	624.99	808.0	656.11	954.43	583.07	808.0	947.83	669.92	842.36	872.1	954.43	819.3	884.29	1096.5	1183.45	890.44	884.29	934.76	825.0	866.07	660.68	896.64	836.53	733.19	579.04	748.61	1208.34	854.13	819.3	890.44	665.29	808.0	854.13	521.76	753.83	796.86	684.02	607.87	941.27	830.75	884.29	733.19	830.75	1051.79	866.07	607.87	92.7	195.72	198.47	197.09	194.36	236.21	190.34	234.57	173.85	183.82	186.4	212.78	194.36	206.94	189.02	221.86	246.28
EYA2	11.91	201.25	323.03	212.78	297.17	262.2	1151.06	808.0	470.14	1096.5	409.15	518.15	796.86	656.11	420.68	559.28	1066.48	802.41	660.68	507.46	346.29	116.78	555.41	559.28	244.57	98.73	967.76	1388.16	866.07	226.54	941.27	620.67	1216.75	400.71	1208.34	1457.23	575.03	679.29	579.04	414.87	1259.69	316.37	529.06	320.8	444.72	1369.04	555.41	1286.18	688.78	536.45	1498.22	769.69	1183.45	808.0	470.14	486.75	183.82	327.56	466.88	723.08	309.83	218.79	1250.98	1709.26	1407.55	397.93	718.08	444.72	728.11	454.09	45.85	1685.71	156.59	215.77	206.94	1001.93	368.65	412.0	279.14	638.15	1008.9	866.07	728.11	90.14	43.32	212.78	117.6	80.57	37.85	26.1	78.34	128.79	136.19	34.02	80.57	100.83	71.5	96.68	134.3	341.51
FAAH2	49.91	80.57	137.14	65.26	265.87	198.47	246.28	228.13	204.07	239.52	215.77	172.65	220.32	260.38	206.94	149.12	201.25	218.79	246.28	127.0	220.32	148.09	293.07	201.25	167.9	86.43	215.77	193.01	214.27	44.57	208.38	271.48	204.07	215.77	199.85	137.14	271.48	181.28	312.0	162.14	258.57	117.6	220.32	283.05	185.11	275.28	187.71	190.34	295.11	260.38	314.17	301.33	339.14	279.14	316.37	285.03	220.32	89.51	246.28	208.38	242.88	102.97	157.68	226.54	193.01	299.25	269.6	197.09	356.05	221.86	25.54	281.09	130.6	158.79	143.01	265.87	256.78	189.02	115.97	138.1	234.57	208.38	275.28	3.59	24.99	18.29	29.06	14.24	24.81	13.52	10.55	12.0	10.63	11.73	11.91	22.59	21.01	28.86	30.78	8.45
FBXL14	123.5	205.5	356.05	220.32	389.72	543.96	447.82	267.73	397.93	368.65	363.56	463.65	376.41	447.82	389.72	476.71	486.75	575.03	363.56	371.22	460.44	275.28	232.94	403.5	384.34	323.03	454.09	555.41	457.25	271.48	395.18	503.95	400.71	283.05	473.41	463.65	409.15	343.89	414.87	376.41	441.64	301.33	432.53	426.57	457.25	409.15	444.72	567.1	412.0	466.88	483.38	693.58	543.96	497.0	392.44	441.64	466.88	318.57	529.06	429.54	406.31	253.23	457.25	669.92	480.04	426.57	500.46	470.14	470.14	507.46	246.28	441.64	395.18	283.05	332.14	414.87	447.82	463.65	432.53	432.53	529.06	466.88	285.03	138.1	131.51	166.73	127.0	165.57	231.32	189.02	255.0	149.12	147.06	140.04	175.07	130.6	156.59	180.02	163.28	151.22
GMDS	5112.16	1250.98	1794.29	967.76	5517.27	4704.07	5403.7	6935.54	5403.7	4543.8	4575.41	4066.71	5076.84	6745.86	5594.3	7382.04	6037.61	4671.57	7589.61	2777.33	5555.65	2537.92	3716.2	5147.73	2682.69	2224.63	5954.47	5831.91	6652.97	1322.37	3515.68	6207.38	6471.02	4972.34	9279.58	4639.29	5913.33	3665.02	4210.15	2997.45	4298.64	2915.45	3589.58	7180.15	3168.41	6745.86	3257.52	5594.3	4937.99	6079.61	6207.38	4937.99	7433.4	5517.27	5403.7	4802.93	3467.27	2875.3	5633.22	4903.87	4671.57	2720.15	6652.97	7642.41	6471.02	4869.99	5711.87	3901.01	5076.84	3928.15	1331.57	8421.31	2835.7	2855.44	2875.3	5672.41	4836.35	5751.61	3103.19	3794.3	5872.48	3467.27	6294.04	51.35	144.01	176.29	229.72	170.25	318.57	191.67	327.56	466.88	239.52	447.82	158.79	180.02	143.01	164.42	246.28	173.85
GOT1	660.68	1487.87	1832.01	1066.48	2701.35	2609.3	3018.3	3280.18	3235.01	2537.92	2193.99	2758.13	3124.78	2591.27	2935.74	3589.58	3716.2	2796.65	3325.99	1950.0	2875.3	2032.85	2701.35	3146.52	2224.63	1857.6	2997.45	3349.13	3639.7	764.36	2875.3	3146.52	2720.15	2682.69	3491.39	3081.75	2935.74	2178.83	2209.26	2148.82	2627.46	2148.82	2061.24	2956.17	2163.77	3081.75	1963.57	2664.15	2682.69	3235.01	3168.41	2915.45	2915.45	2915.45	2609.3	2520.38	2468.49	2163.77	2875.3	2796.65	2287.2	1832.01	3168.41	2701.35	3060.45	2537.92	3146.52	2240.11	2739.08	2609.3	2148.82	3614.55	1936.53	1909.85	2384.37	3349.13	2720.15	3325.99	2004.85	2434.5	2645.74	2240.11	3168.41	954.43	1151.06	921.88	954.43	921.88	1250.98	1059.11	1051.79	1794.29	1051.79	1216.75	1059.11	1199.98	921.88	1073.91	1081.39	1051.79
GPRC5D	16.51	24.99	37.05	21.32	80.57	96.68	95.34	96.68	96.01	120.94	68.07	46.18	36.01	100.83	67.12	113.56	44.89	36.53	75.64	69.52	60.82	64.34	49.91	70.51	139.07	24.28	54.72	52.08	110.43	37.32	41.52	128.79	92.7	40.64	193.01	53.95	73.03	42.41	79.45	54.72	77.79	28.86	110.43	105.15	74.06	19.11	71.0	128.79	27.44	78.34	58.71	69.03	42.41	125.24	153.34	59.13	39.22	67.59	94.01	134.3	38.95	40.07	95.34	80.01	77.79	75.11	40.64	67.12	40.07	54.72	20.26	78.34	74.58	39.5	57.49	53.57	150.17	68.07	36.27	103.69	59.13	89.51	107.38	1.27	2.56	6.31	7.94	6.52	7.88	6.62	9.85	0.0	2.63	4.1	4.31	6.36	3.11	6.84	10.63	6.16
GRID2IP	3.69	4.7	5.63	5.54	12.09	7.88	12.93	5.36	8.51	8.99	12.18	11.64	9.48	7.63	13.12	5.19	10.71	14.78	5.59	7.51	9.06	9.7	10.47	7.75	6.84	2.39	7.94	9.13	14.14	2.34	8.78	13.83	15.91	10.71	7.17	7.28	15.8	6.41	9.63	5.87	8.99	5.36	14.03	17.25	4.58	8.06	6.36	13.42	12.0	10.88	7.06	7.28	13.42	11.73	9.34	9.56	4.78	8.19	8.51	5.32	5.45	4.62	10.71	9.78	9.48	12.18	4.86	9.78	12.09	8.06	2.36	8.58	7.57	6.06	8.78	9.34	12.64	14.45	8.92	7.69	6.67	13.32	7.17	0.0	0.64	0.0	1.11	1.06	0.0	0.0	0.0	0.67	1.53	1.07	0.0	2.43	0.0	0.0	0.66	0.0
GRSF1	1295.13	1447.15	1437.15	1135.2	1977.24	1733.13	1819.35	2591.27	1870.53	2032.85	1551.09	1685.71	1991.0	1883.54	2209.26	2287.2	1844.76	2047.0	2485.67	1561.89	1769.57	1369.04	1594.73	1819.35	1487.87	1304.15	1806.78	2287.2	1896.65	1322.37	1447.15	2047.0	2224.63	1857.6	2119.22	2319.15	2178.83	1605.83	1457.23	1745.2	1909.85	1457.23	1561.89	1977.24	1909.85	2335.28	1605.83	2075.59	2400.97	2240.11	2148.82	1806.78	1832.01	1794.29	2468.49	1685.71	1721.16	1674.06	2061.24	1757.34	1674.06	1529.73	2004.85	1963.57	1857.6	1806.78	2032.85	1674.06	1991.0	1529.73	1457.23	2417.67	1757.34	1685.71	1617.0	1936.53	1781.89	2255.7	1572.76	1583.71	1561.89	1697.45	1870.53	1159.07	1295.13	1159.07	1350.18	1322.37	1388.16	1277.29	1322.37	1242.34	1268.46	1304.15	1639.59	1397.83	1508.65	1295.13	1191.69	1397.83
GUSB	1498.22	1397.83	1427.22	1277.29	1896.65	2178.83	2163.77	1936.53	1977.24	2004.85	1806.78	1857.6	2271.4	1896.65	1685.71	1936.53	1769.57	1832.01	1936.53	1417.35	1909.85	1199.98	1936.53	2271.4	1519.15	1340.84	2163.77	2018.8	2193.99	1277.29	1883.54	2119.22	1781.89	1870.53	1923.14	1697.45	1819.35	1709.26	2193.99	1617.0	2032.85	1208.34	1806.78	1781.89	1561.89	1991.0	1651.0	2209.26	1832.01	2047.0	2555.58	1709.26	1806.78	2061.24	2133.97	1806.78	2018.8	1519.15	1709.26	1651.0	1950.0	1313.23	1923.14	1857.6	1709.26	1697.45	1950.0	1883.54	2400.97	2004.85	1111.82	2032.85	1519.15	1487.87	1498.22	2287.2	1896.65	1883.54	1757.34	1572.76	2193.99	1963.57	1977.24	441.64	612.11	493.56	571.05	423.61	612.11	547.75	559.28	638.15	698.41	713.11	473.41	363.56	555.41	723.08	624.99	476.71
HADH	642.59	2915.45	3820.7	1757.34	4543.8	4152.18	4152.18	6840.04	5872.48	5112.16	3928.15	4419.52	5672.41	4639.29	5076.84	4543.8	4152.18	4388.98	4388.98	2645.74	4123.49	2367.9	3349.13	3665.02	2875.3	2240.11	3820.7	5255.91	5672.41	1832.01	4181.07	5441.3	5517.27	3716.2	4836.35	4328.55	6516.03	3395.89	3540.14	3280.18	3589.58	3060.45	3589.58	4152.18	3768.09	5711.87	3124.78	5995.9	4239.45	3901.01	5555.65	4769.75	5329.3	4239.45	4152.18	3742.05	3847.29	4181.07	5791.62	3589.58	4575.41	2816.11	3419.52	5292.48	4575.41	4419.52	4481.23	4152.18	4903.87	3768.09	2573.36	6337.83	2664.15	3190.46	2835.7	5594.3	4038.61	6652.97	3168.41	4066.71	5403.7	3955.48	4123.49	1697.45	1628.26	1447.15	1857.6	2240.11	2591.27	3280.18	2997.45	2018.8	2835.7	1674.06	1991.0	2004.85	2271.4	2875.3	1467.37	1259.69
HID1	1001.93	356.05	414.87	483.38	878.17	947.83	1286.18	660.68	1277.29	1127.35	921.88	896.64	775.05	974.5	656.11	1051.79	1151.06	1250.98	1044.52	728.11	1119.56	947.83	1023.0	1639.59	775.05	409.15	995.0	1183.45	1617.0	872.1	1030.12	1119.56	1651.0	902.89	1059.11	575.03	743.43	1167.14	1388.16	540.19	860.08	529.06	974.5	1313.23	753.83	1059.11	708.18	902.89	703.28	1088.92	1388.16	1208.34	860.08	934.76	1369.04	1350.18	665.29	688.78	1073.91	1250.98	928.3	466.88	1023.0	860.08	1277.29	836.53	1143.1	995.0	1233.75	988.12	412.0	1313.23	559.28	532.74	591.22	1498.22	1225.22	842.36	723.08	961.07	954.43	1175.27	896.64	175.07	493.56	518.15	376.41	444.72	480.04	253.23	303.44	607.87	733.19	301.33	314.17	483.38	171.45	241.19	480.04	136.19
HRSP12	457.25	555.41	490.14	457.25	583.07	854.13	941.27	947.83	785.88	753.83	679.29	830.75	1208.34	753.83	884.29	718.08	708.18	896.64	647.07	438.59	954.43	283.05	603.67	748.61	563.18	395.18	684.02	909.17	995.0	351.14	669.92	1051.79	808.0	660.68	1066.48	808.0	1023.0	738.29	463.65	713.11	669.92	612.11	457.25	723.08	954.43	890.44	647.07	753.83	1143.1	743.43	1015.93	796.86	693.58	624.99	830.75	723.08	743.43	567.1	753.83	454.09	579.04	518.15	460.44	759.08	708.18	679.29	947.83	384.34	785.88	629.35	563.18	934.76	616.37	571.05	435.55	718.08	679.29	934.76	417.77	555.41	708.18	583.07	583.07	204.07	332.14	343.89	332.14	351.14	381.68	253.23	309.83	285.03	376.41	181.28	323.03	271.48	267.73	262.2	348.71	346.29
ICA1	954.43	490.14	547.75	432.53	1066.48	1175.27	1096.5	860.08	954.43	890.44	688.78	941.27	759.08	1277.29	890.44	947.83	974.5	1437.15	1175.27	866.07	981.29	583.07	848.22	1407.55	934.76	521.76	1151.06	836.53	1037.29	1088.92	1044.52	1407.55	1059.11	791.35	1477.58	974.5	1015.93	679.29	1457.23	728.11	1159.07	563.18	1111.82	1073.91	647.07	1023.0	1175.27	1304.15	1378.57	1617.0	1199.98	954.43	981.29	1388.16	974.5	1066.48	1037.29	669.92	947.83	890.44	743.43	733.19	1111.82	1119.56	854.13	1015.93	1191.69	791.35	1551.09	974.5	473.41	1277.29	603.67	684.02	836.53	1135.2	1340.84	988.12	848.22	633.73	1199.98	1250.98	1119.56	108.14	218.79	131.51	514.56	301.33	150.17	348.71	236.21	267.73	258.57	229.72	125.24	111.99	148.09	119.26	103.69	121.79
IMMT	753.83	1674.06	1963.57	1295.13	2047.0	1896.65	2004.85	2148.82	2193.99	1883.54	2119.22	1977.24	2417.67	2271.4	2047.0	2468.49	2224.63	2367.9	2119.22	1697.45	2061.24	2061.24	1857.6	2319.15	1745.2	1628.26	2255.7	2417.67	2384.37	1322.37	2061.24	2502.97	2104.58	1936.53	2384.37	2367.9	2240.11	1769.57	1844.76	1977.24	1883.54	1857.6	1757.34	2061.24	1844.76	2367.9	1832.01	2104.58	2163.77	2400.97	2148.82	2004.85	2061.24	2047.0	2224.63	1950.0	2047.0	1844.76	2384.37	2090.03	1977.24	1991.0	2451.44	2032.85	2240.11	1991.0	2335.28	1844.76	1769.57	2148.82	1617.0	2384.37	1685.71	1870.53	1844.76	2133.97	1950.0	2468.49	1757.34	1909.85	2047.0	1909.85	2400.97	1322.37	1417.35	1191.69	1508.65	1844.76	1561.89	1508.65	1519.15	1651.0	1628.26	1628.26	2004.85	2018.8	1709.26	1378.57	1447.15	1583.71
KIAA0391	255.0	348.71	384.34	242.88	575.03	511.0	591.22	748.61	713.11	620.67	551.56	503.95	607.87	511.0	743.43	813.63	723.08	651.58	698.41	507.46	525.39	450.94	348.71	563.18	521.76	371.22	665.29	669.92	743.43	371.22	575.03	698.41	651.58	532.74	728.11	679.29	753.83	463.65	466.88	454.09	559.28	603.67	638.15	555.41	476.71	684.02	417.77	698.41	612.11	595.34	591.22	743.43	595.34	748.61	633.73	603.67	490.14	525.39	669.92	583.07	563.18	450.94	684.02	651.58	540.19	591.22	656.11	389.72	607.87	500.46	412.0	785.88	507.46	483.38	476.71	624.99	651.58	775.05	426.57	483.38	599.49	567.1	591.22	177.53	267.73	232.94	269.6	255.0	332.14	262.2	279.14	264.03	309.83	314.17	301.33	305.55	249.73	180.02	307.69	277.2
KRTCAP3	341.51	447.82	1857.6	316.37	4512.4	3515.68	4736.79	5183.54	4671.57	4010.71	3467.27	4239.45	4388.98	4210.15	3039.3	4671.57	4639.29	4869.99	4639.29	2485.67	3901.01	2976.74	3639.7	4123.49	2209.26	1477.58	4836.35	4152.18	5555.65	500.46	3874.05	4010.71	4123.49	4419.52	4543.8	4066.71	3955.48	3039.3	4388.98	3257.52	3982.99	2417.67	3103.19	4268.94	3146.52	5076.84	3349.13	3901.01	4210.15	4328.55	4937.99	4671.57	4450.27	4239.45	3955.48	4038.61	3515.68	2609.3	4152.18	4450.27	3742.05	2163.77	4298.64	4388.98	4181.07	4010.71	4704.07	3515.68	4512.4	3716.2	629.35	5006.93	2976.74	2609.3	2835.7	4419.52	3564.78	4836.35	2997.45	2895.31	4298.64	3515.68	4937.99	0.0	67.59	36.79	50.27	37.32	40.07	45.53	41.22	73.03	46.5	36.27	57.89	59.97	45.21	33.78	63.45	25.17
MAP3K9	18.97	28.65	22.1	21.16	59.55	63.0	45.53	57.49	64.34	65.26	45.21	59.97	44.89	57.08	74.06	67.12	65.26	85.82	68.07	45.53	66.18	49.91	44.57	63.0	50.63	30.34	56.68	73.54	67.12	10.63	50.98	68.07	67.59	46.5	88.88	52.82	71.0	54.72	66.18	48.52	51.35	26.67	52.45	75.11	49.56	71.0	51.71	57.08	59.55	57.08	53.19	89.51	68.07	76.17	76.17	71.0	55.49	39.5	67.12	75.11	66.65	31.0	72.01	68.07	65.72	70.51	78.34	57.08	57.49	67.59	31.45	70.01	53.57	38.95	65.72	60.82	62.12	51.71	42.71	59.97	57.89	64.8	55.49	4.94	22.92	17.0	26.47	22.26	37.59	29.7	24.46	31.9	18.97	30.34	29.06	40.64	17.64	20.11	18.97	26.86
MDH2	3060.45	4639.29	6164.49	4481.23	7485.11	6607.01	8134.41	9740.98	6887.62	7485.11	9215.48	6792.79	8247.98	6887.62	5711.87	8305.36	10585.95	8022.41	9344.14	4869.99	6983.79	5441.3	5112.16	7331.05	5555.65	5751.61	7642.41	8022.41	9945.68	3257.52	7749.1	6935.54	7280.4	6935.54	8901.53	7803.01	7331.05	5995.9	5403.7	5403.7	6840.04	6471.02	6840.04	7589.61	4836.35	8538.88	6207.38	8247.98	6164.49	7911.95	7911.95	6840.04	7032.37	7130.55	5791.62	5791.62	6037.61	6164.49	7911.95	5872.48	6337.83	5872.48	7803.01	8538.88	7331.05	5751.61	7642.41	5913.33	6935.54	5913.33	6079.61	9344.14	5366.37	5329.3	5751.61	8022.41	7589.61	6983.79	5633.22	5711.87	8363.13	5112.16	7749.1	4010.71	3325.99	4123.49	4010.71	1909.85	4481.23	3589.58	4038.61	4268.94	3928.15	4268.94	4210.15	3716.2	3614.55	3982.99	4298.64	3982.99
MIPEP	301.33	463.65	429.54	249.73	860.08	540.19	753.83	753.83	651.58	718.08	753.83	547.75	733.19	723.08	651.58	743.43	642.59	769.69	934.76	417.77	514.56	529.06	285.03	669.92	616.37	305.55	802.41	624.99	612.11	299.25	651.58	738.29	733.19	866.07	718.08	567.1	775.05	423.61	447.82	444.72	454.09	583.07	575.03	808.0	435.55	947.83	521.76	599.49	624.99	476.71	698.41	633.73	543.96	764.36	579.04	532.74	447.82	450.94	748.61	540.19	521.76	420.68	674.59	693.58	669.92	684.02	708.18	536.45	642.59	432.53	438.59	1030.12	353.59	603.67	540.19	753.83	642.59	878.17	587.13	348.71	567.1	454.09	830.75	291.04	291.04	353.59	334.46	346.29	503.95	314.17	361.04	363.56	312.0	258.57	420.68	248.0	389.72	336.79	429.54	348.71
MRPL12	1259.69	2163.77	3589.58	1628.26	4869.99	2935.74	4298.64	7230.1	4903.87	4869.99	3982.99	3742.05	4869.99	3982.99	3639.7	5006.93	4575.41	3847.29	5403.7	2976.74	3589.58	3589.58	4512.4	4152.18	2209.26	2178.83	4181.07	4736.79	5791.62	1457.23	3742.05	3928.15	4736.79	5403.7	3820.7	4152.18	4769.75	3874.05	3564.78	3081.75	3614.55	3820.7	2758.13	4388.98	3168.41	5479.15	2502.97	3589.58	3928.15	3982.99	4639.29	3874.05	4298.64	4095.0	3280.18	2976.74	3081.75	3349.13	4298.64	4268.94	3039.3	2400.97	5076.84	4268.94	4481.23	3081.75	4210.15	3257.52	3820.7	3515.68	2609.3	5831.91	2915.45	2835.7	2855.44	4543.8	3395.89	7537.18	2875.3	2915.45	4123.49	3190.46	4836.35	915.51	830.75	769.69	915.51	896.64	1216.75	769.69	1191.69	1135.2	988.12	819.3	1023.0	872.1	819.3	854.13	1151.06	1191.69
MRPL15	579.04	1096.5	1378.57	941.27	2193.99	1175.27	2061.24	2061.24	1757.34	1857.6	1923.14	1781.89	2303.12	1794.29	2224.63	2303.12	2018.8	2148.82	2209.26	1350.18	1896.65	1378.57	1331.57	1883.54	1594.73	1208.34	2004.85	2148.82	2303.12	934.76	1909.85	2133.97	2255.7	2090.03	2047.0	1487.87	1870.53	1697.45	1250.98	1674.06	1529.73	1697.45	1397.83	1963.57	1508.65	2240.11	1685.71	2209.26	2271.4	2193.99	2061.24	1605.83	1721.16	1794.29	1991.0	854.13	1709.26	1685.71	1819.35	1781.89	1457.23	1427.22	2061.24	2061.24	1794.29	1685.71	1936.53	1427.22	1896.65	1594.73	1295.13	2664.15	1447.15	1617.0	1417.35	2032.85	1127.35	2855.44	1769.57	1378.57	1477.58	1540.37	1923.14	813.63	723.08	728.11	872.1	890.44	1059.11	503.95	915.51	1023.0	884.29	860.08	1167.14	1259.69	974.5	759.08	988.12	1073.91
MRPL46	363.56	575.03	674.59	518.15	954.43	780.44	878.17	1104.13	842.36	780.44	842.36	866.07	974.5	769.69	866.07	1096.5	1023.0	775.05	1167.14	769.69	813.63	759.08	563.18	748.61	802.41	775.05	848.22	954.43	1104.13	571.05	808.0	878.17	890.44	1059.11	961.07	753.83	796.86	802.41	651.58	866.07	660.68	934.76	890.44	878.17	819.3	1111.82	785.88	878.17	791.35	836.53	854.13	759.08	947.83	785.88	854.13	599.49	764.36	954.43	825.0	780.44	764.36	836.53	848.22	1023.0	878.17	723.08	890.44	830.75	748.61	665.29	947.83	1233.75	769.69	830.75	660.68	974.5	693.58	1313.23	764.36	909.17	825.0	651.58	791.35	466.88	438.59	473.41	518.15	591.22	607.87	493.56	503.95	599.49	559.28	587.13	579.04	651.58	460.44	518.15	642.59	647.07
MRPS12	521.76	679.29	1340.84	575.03	1651.0	1073.91	1551.09	2701.35	1594.73	1806.78	1487.87	1313.23	1745.2	1388.16	1250.98	1950.0	1819.35	1487.87	1950.0	1277.29	1259.69	1286.18	1135.2	1427.22	1135.2	825.0	1467.37	1745.2	2148.82	909.17	1369.04	1477.58	1936.53	1806.78	1651.0	1417.35	1457.23	1286.18	1340.84	1216.75	1151.06	1233.75	1104.13	1617.0	1208.34	1883.54	1008.9	1208.34	1427.22	1594.73	1594.73	1350.18	1709.26	1359.57	1417.35	1104.13	1233.75	1167.14	1427.22	1572.76	1208.34	941.27	1733.13	1757.34	1733.13	1151.06	1437.15	1407.55	1331.57	1233.75	1175.27	2287.2	1088.92	988.12	1127.35	1909.85	1242.34	2417.67	1051.79	1088.92	1540.37	1159.07	1674.06	348.71	543.96	373.81	480.04	607.87	684.02	529.06	656.11	665.29	521.76	603.67	543.96	595.34	521.76	529.06	543.96	633.73
MRPS33	813.63	1794.29	2468.49	1437.15	3060.45	3190.46	3325.99	5112.16	3124.78	3467.27	2209.26	3039.3	3589.58	2835.7	4066.71	3515.68	3060.45	2682.69	3349.13	2591.27	3280.18	2075.59	2400.97	3212.66	2468.49	1651.0	3794.3	3847.29	3690.52	1030.12	3039.3	4010.71	3928.15	2682.69	2855.44	3212.66	3372.43	2468.49	1794.29	2997.45	2997.45	2303.12	2178.83	3280.18	2682.69	2956.17	2591.27	3060.45	3874.05	3146.52	3280.18	3212.66	2816.11	3190.46	3395.89	2400.97	2758.13	2997.45	3325.99	2627.46	2502.97	2163.77	2682.69	3212.66	3168.41	2976.74	2816.11	2209.26	2915.45	2400.97	2018.8	3982.99	2796.65	2434.5	2520.38	3039.3	2758.13	5112.16	2047.0	2664.15	2835.7	2537.92	3395.89	921.88	961.07	1216.75	1151.06	1111.82	1199.98	902.89	1104.13	1208.34	1119.56	1159.07	1037.29	1233.75	819.3	934.76	1208.34	1175.27
