	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13S86.0826.SM.5SI6J	GTEX.11ONC.1526.SM.5GU6S	GTEX.ZZPT.1426.SM.5N9C5	GTEX.R45C.1226.SM.48FEE	GTEX.XK95.1026.SM.4GIDV	GTEX.WVLH.1426.SM.4MVNX	GTEX.139TU.1226.SM.5J2NL	GTEX.Y5V6.1026.SM.4VBS2	GTEX.UPK5.1226.SM.4IHL8	GTEX.QDVN.1026.SM.48TZA	GTEX.11DZ1.2026.SM.5A5KG	GTEX.RN64.1026.SM.48FDX	GTEX.ZPCL.1426.SM.57WEC	GTEX.U3ZH.1026.SM.4DXUZ	GTEX.S33H.0826.SM.4AD5Y	TCGA.CV.7261.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7424.11A.01R.2081.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.6935.11A.01R.1915.07	GTEX.12WSM.1826.SM.5BC64	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.8462.11A.01R.2343.13	GTEX.11NUK.2426.SM.5BC4U
FAM27E3	39.5	15.56	29.7	23.08	22.75	45.21	37.05	68.07	110.43	122.64	244.57	136.19	137.14	143.01	54.33	143.01	30.78	152.28	80.01	67.12	42.71	112.77	20.41	11.21	13.52	10.24	7.0	5.96	12.09	5.5	6.78	1.16	7.22	0.82	19.82	9.06
FKSG63	2.71	3.66	10.47	17.38	8.65	19.68	13.32	34.02	7.94	49.56	42.41	31.0	6.36	25.91	8.58	37.85	24.99	59.97	29.7	17.13	32.59	80.57	0.0	0.0	4.82	0.0	7.11	0.0	0.88	0.0	0.8	0.0	0.0	0.39	3.26	9.56
FLOT1	2573.36	2555.58	3491.39	2796.65	2104.58	2627.46	2047.0	2796.65	1769.57	4388.98	3103.19	3874.05	2537.92	2915.45	2287.2	2758.13	2163.77	4210.15	1508.65	2061.24	2133.97	2835.7	1322.37	1757.34	1697.45	2075.59	1447.15	1909.85	1508.65	2178.83	1397.83	1674.06	1594.73	1519.15	1721.16	1397.83
FZD9	5.23	29.48	9.63	22.75	4.98	16.63	8.51	19.82	15.68	31.22	11.64	18.84	12.27	10.79	3.14	15.56	11.82	7.0	14.56	16.15	4.31	12.27	15.34	10.63	7.88	7.0	2.12	9.7	14.89	16.63	7.57	9.2	6.73	4.62	6.78	0.0
GPR45	0.0	1.69	0.77	1.13	1.75	4.24	0.35	4.21	2.05	0.68	0.0	0.77	2.36	4.17	1.89	7.17	0.79	7.34	4.5	2.07	7.4	8.45	0.46	0.96	0.92	1.36	2.2	0.95	0.0	0.18	1.2	0.82	0.21	0.0	0.79	0.0
GRM6	4.94	0.91	10.0	1.58	1.35	0.43	0.59	7.46	0.36	0.93	14.24	2.18	1.51	8.51	0.69	2.01	1.08	7.22	6.26	1.6	2.32	3.17	0.0	0.0	0.0	0.52	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.8	0.04
GSDMD	486.75	579.04	1304.15	819.3	642.59	1467.37	624.99	1104.13	728.11	3443.31	2271.4	1225.22	1369.04	1457.23	796.86	1819.35	647.07	2287.2	547.75	860.08	909.17	1001.93	525.39	941.27	921.88	954.43	679.29	860.08	518.15	529.06	555.41	633.73	575.03	490.14	587.13	743.43
ILKAP	283.05	684.02	703.28	921.88	571.05	934.76	620.67	733.19	688.78	1369.04	1044.52	733.19	733.19	909.17	703.28	1001.93	620.67	1051.79	713.11	947.83	624.99	738.29	426.57	353.59	525.39	551.56	423.61	353.59	450.94	314.17	366.09	400.71	329.84	417.77	555.41	307.69
IRF3	1322.37	1806.78	1594.73	2627.46	1208.34	2018.8	1208.34	1950.0	1769.57	3690.52	3168.41	2047.0	1977.24	2720.15	1561.89	2645.74	1388.16	3847.29	1583.71	1923.14	1781.89	2178.83	1111.82	961.07	693.58	1340.84	974.5	1119.56	599.49	381.68	830.75	723.08	665.29	665.29	896.64	743.43
KAT2A	432.53	723.08	1457.23	1685.71	1044.52	1199.98	1233.75	1617.0	1295.13	3443.31	2573.36	2047.0	1331.57	1674.06	921.88	2032.85	1015.93	3124.78	1073.91	1870.53	1225.22	1304.15	387.02	325.29	197.09	579.04	353.59	395.18	239.52	198.47	403.5	249.73	277.2	291.04	603.67	236.21
