	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.144GN.0426.SM.5O9AP	GTEX.QXCU.0626.SM.2TC69	GTEX.11NSD.0326.SM.5A5LS	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.RVPV.1726.SM.5SI8C	GTEX.117YX.1326.SM.5H125	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.11TT1.1626.SM.5EQL7	GTEX.145LU.0526.SM.5O9AT	GTEX.ZY6K.0326.SM.5SIBB	GTEX.PLZ6.0426.SM.5IFK2	GTEX.Q2AG.1026.SM.33HBW	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.PLZ5.0726.SM.2I5F9	GTEX.11LCK.0426.SM.5A5M8	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ
NME1-NME2	1.07	6561.36	8421.31	24153.43	4419.52	19082.0	23656.34	5147.73	5872.48	5633.22	3395.89	11035.54	13123.73	18431.96	11112.3	3039.3	5751.61	11584.24	8658.09	5872.48	10585.95	5872.48	6887.62	9673.69	7589.61	18431.96	3124.78	19754.96	17317.18	4239.45	16611.71	20593.91	5711.87	13681.08	5517.27	8598.28
PARK7	0.96	5672.41	6121.9	10512.82	3928.15	8778.97	12329.98	2417.67	4972.34	3716.2	3564.78	7911.95	7485.11	9540.5	6792.79	3901.01	6164.49	8191.0	4903.87	5479.15	6207.38	4512.4	5041.77	6516.03	4512.4	8658.09	2935.74	9279.58	13872.08	3039.3	9215.48	8840.04	5555.65	6840.04	4802.93	5791.62
PCK2	0.0	733.19	890.44	2701.35	1111.82	1286.18	1277.29	325.29	1001.93	503.95	218.79	988.12	1242.34	1242.34	974.5	185.11	954.43	1519.15	587.13	890.44	1250.98	638.15	620.67	684.02	738.29	1781.89	356.05	1331.57	1183.45	395.18	1572.76	1977.24	703.28	1407.55	981.29	559.28
PDXK	271.48	2796.65	3103.19	4481.23	2451.44	5366.37	4512.4	1977.24	3768.09	2335.28	2104.58	3190.46	3794.3	5441.3	3690.52	866.07	2104.58	4038.61	2520.38	4607.24	2573.36	2255.7	2351.53	1651.0	2193.99	5711.87	1023.0	5219.6	3768.09	2520.38	3039.3	4937.99	1674.06	4239.45	1896.65	2720.15
PFN1	0.78	10808.41	12853.63	25005.23	7589.61	32767.0	29327.18	8778.97	18950.18	12244.81	9876.98	18560.17	18560.17	23492.92	14765.09	10154.69	14262.1	21919.61	13215.02	13968.57	19618.49	12076.21	13123.73	15715.58	9876.98	28525.2	9344.14	26986.43	25354.3	10014.87	18052.61	26800.01	10368.08	21617.82	10225.32	13215.02
PIGO	0.29	559.28	629.35	743.43	616.37	723.08	743.43	289.02	629.35	167.9	108.9	595.34	624.99	688.78	555.41	343.89	417.77	872.1	312.0	483.38	583.07	305.55	397.93	563.18	480.04	775.05	255.0	624.99	713.11	201.25	813.63	723.08	447.82	674.59	607.87	500.46
PKM	2319.15	11267.44	10225.32	14561.8	7180.15	21026.65	27938.14	8538.88	9088.59	11345.82	6983.79	11664.82	11112.3	22850.48	9945.68	9088.59	7382.04	18950.18	6887.62	9409.14	13306.94	12764.83	7331.05	7032.37	7382.04	16383.0	6607.01	21320.18	10512.82	9344.14	15392.14	22380.2	9606.86	10808.41	7537.18	11345.82
POLDIP2	0.53	1572.76	1583.71	1909.85	1304.15	1832.01	1832.01	1023.0	1183.45	698.41	612.11	1447.15	1617.0	1909.85	1340.84	567.1	1208.34	1963.57	915.51	753.83	1350.18	785.88	1242.34	1427.22	1167.14	1674.06	733.19	1781.89	1685.71	551.56	1844.76	2335.28	1051.79	1487.87	1104.13	1286.18
POLR2G	0.56	1437.15	1806.78	2400.97	1259.69	3039.3	2701.35	902.89	2004.85	708.18	780.44	2537.92	2075.59	2004.85	2032.85	1359.57	1498.22	2240.11	1015.93	1304.15	2061.24	1096.5	1857.6	1551.09	1950.0	2224.63	1096.5	2777.33	3614.55	1044.52	3124.78	3060.45	1806.78	2287.2	1639.59	995.0
POP4	0.44	1685.71	1594.73	1857.6	1088.92	2701.35	2573.36	1208.34	1733.13	423.61	521.76	2178.83	2468.49	2061.24	1417.35	684.02	1923.14	1709.26	995.0	961.07	1977.24	775.05	1685.71	1870.53	1417.35	1857.6	921.88	2061.24	2451.44	384.34	2417.67	2004.85	1572.76	1806.78	1427.22	1225.22
PPIB	0.68	9344.14	8778.97	20593.91	7433.4	16611.71	24660.96	11112.3	8778.97	6294.04	6164.49	16496.96	13681.08	18819.27	11112.3	4937.99	8421.31	17197.56	12244.81	8963.45	14867.79	9088.59	8078.22	8840.04	9279.58	19618.49	6840.04	20310.37	27938.14	5292.48	23986.58	30572.63	7032.37	15499.21	7180.15	11584.24
PPP1R14B	0.35	921.88	748.61	3564.78	718.08	2935.74	2451.44	555.41	1059.11	1127.35	1023.0	1457.23	1447.15	2875.3	928.3	412.0	813.63	1819.35	785.88	915.51	1870.53	1088.92	656.11	961.07	587.13	2555.58	571.05	2956.17	1639.59	915.51	1662.49	4328.55	825.0	1745.2	698.41	1437.15
PRAF2	0.83	346.29	450.94	1572.76	441.64	1008.9	1551.09	314.17	397.93	902.89	743.43	854.13	713.11	1127.35	633.73	463.65	381.68	1001.93	791.35	348.71	902.89	607.87	397.93	450.94	318.57	1135.2	591.22	607.87	1225.22	343.89	921.88	1883.54	507.46	878.17	497.0	599.49
PRELID1	6207.38	2609.3	1883.54	4869.99	1498.22	2875.3	3716.2	2935.74	2796.65	1628.26	1651.0	2816.11	3303.0	3847.29	1991.0	1250.98	2148.82	2720.15	2193.99	1857.6	3467.27	1572.76	1909.85	2400.97	2255.7	3540.14	1757.34	3395.89	2520.38	1388.16	2627.46	4388.98	2104.58	2468.49	2133.97	2777.33
PSMB3	0.89	3847.29	2573.36	7966.99	2090.03	5183.54	6207.38	4328.55	2739.08	2701.35	2240.11	4066.71	5292.48	6294.04	3280.18	1745.2	2193.99	4869.99	4152.18	2573.36	5594.3	2777.33	2609.3	2835.7	2303.12	4903.87	2335.28	5479.15	4512.4	1651.0	5147.73	8305.36	2701.35	3039.3	2163.77	3515.68
PYCRL	0.0	158.79	127.89	366.09	142.01	258.57	237.86	68.55	151.22	31.0	20.71	226.54	195.72	206.94	120.94	92.7	135.24	150.17	53.95	79.45	217.27	53.57	77.79	148.09	82.87	170.25	85.22	197.09	142.01	30.12	223.41	493.56	118.43	172.65	114.36	150.17
RBFA	0.4	277.2	343.89	665.29	307.69	693.58	555.41	187.71	403.5	209.84	92.05	444.72	397.93	723.08	341.51	293.07	346.29	432.53	262.2	312.0	392.44	220.32	242.88	318.57	343.89	555.41	162.14	624.99	599.49	181.28	400.71	738.29	318.57	470.14	303.44	309.83
RER1	0.69	3124.78	3168.41	5791.62	1977.24	4066.71	4972.34	1313.23	3039.3	1572.76	1447.15	3212.66	3564.78	4802.93	3372.43	1561.89	2875.3	4639.29	1923.14	2271.4	3349.13	1832.01	2739.08	2796.65	2997.45	4152.18	1709.26	4836.35	5555.65	1191.69	4543.8	5872.48	3103.19	4181.07	2240.11	2178.83
RFT1	0.0	281.09	368.65	591.22	361.04	403.5	583.07	224.97	336.79	142.01	181.28	511.0	493.56	555.41	287.01	339.14	336.79	460.44	271.48	237.86	511.0	181.28	260.38	332.14	297.17	503.95	224.97	406.31	460.44	158.79	507.46	693.58	346.29	532.74	339.14	320.8
RHBDD3	0.64	295.11	246.28	579.04	193.01	647.07	503.95	224.97	289.02	164.42	197.09	490.14	466.88	403.5	295.11	95.34	234.57	348.71	164.42	248.0	420.68	201.25	269.6	232.94	228.13	540.19	139.07	595.34	397.93	119.26	603.67	1059.11	260.38	353.59	305.55	234.57
SAE1	0.71	1350.18	1769.57	2209.26	1477.58	2451.44	2148.82	780.44	1417.35	941.27	651.58	1617.0	1733.13	2193.99	1437.15	780.44	1628.26	3257.52	934.76	995.0	1519.15	1104.13	1551.09	1233.75	1030.12	1977.24	460.44	2075.59	1757.34	872.1	1662.49	1508.65	1340.84	1923.14	1242.34	1757.34
SDHC	0.72	2739.08	3716.2	2997.45	2758.13	4543.8	4671.57	1950.0	2417.67	1199.98	769.69	2796.65	3372.43	4512.4	3257.52	1721.16	2502.97	5006.93	2287.2	2319.15	3103.19	2163.77	2468.49	2018.8	1617.0	3928.15	1331.57	3955.48	4607.24	1487.87	4481.23	3901.01	2682.69	3794.3	1936.53	2777.33
SEC13	0.85	2178.83	1806.78	4239.45	2004.85	3742.05	3928.15	2537.92	1909.85	1519.15	1369.04	2400.97	3372.43	4388.98	1923.14	1081.39	2193.99	3491.39	2485.67	1685.71	2609.3	1896.65	1991.0	1572.76	1594.73	3124.78	1397.83	3874.05	3060.45	1313.23	3235.01	4268.94	1359.57	3168.41	1745.2	2468.49
SEC24C	136.19	1477.58	1268.46	1540.37	1359.57	1561.89	1870.53	1073.91	1340.84	813.63	796.86	1447.15	1322.37	1313.23	1037.29	688.78	1081.39	1407.55	703.28	1159.07	1508.65	1216.75	1225.22	1104.13	1437.15	1313.23	947.83	2075.59	954.43	1066.48	1388.16	1909.85	1322.37	1331.57	1208.34	1427.22
SEC61B	0.67	5292.48	3280.18	8538.88	2777.33	5954.47	6983.79	5711.87	4328.55	3614.55	2935.74	6652.97	6079.61	6652.97	3257.52	2163.77	3955.48	5441.3	6294.04	4181.07	7911.95	4010.71	3349.13	3467.27	3372.43	5751.61	3146.52	5995.9	8421.31	2367.9	6561.36	9344.14	2627.46	4736.79	2935.74	5555.65
SFTPA2	123.5	6014443.23	4495342.72	2310861.52	4023444.33	1970321.01	1070607.81	4051429.61	4402829.88	978355.0	1733.13	3806410.22	2171106.91	3940643.03	4851500.88	2796.65	5163792.94	2729110.67	4079609.54	5308966.95	3313672.43	1679964.3	2786455.11	5163792.94	3968052.37	2459612.16	759.08	2493947.08	2617937.91	165904.25	2343119.96	419990.32	2511293.86	1668359.93	3406832.48	4051429.61
SH3BGRL3	0.72	6337.83	6935.54	7749.1	3060.45	13776.25	13586.57	3982.99	8191.0	3168.41	3874.05	8778.97	9151.82	11584.24	10659.59	5479.15	5517.27	10084.54	6935.54	5329.3	7433.4	3515.68	6983.79	6121.9	3372.43	13968.57	2796.65	11345.82	10585.95	2591.27	9344.14	11035.54	6381.92	9606.86	3325.99	5366.37
SLC22A18AS	0.28	4.43	32.59	19.39	23.59	113.56	52.45	1.35	46.84	2.92	3.99	38.67	81.14	44.25	82.29	18.29	6.78	88.88	3.47	6.16	12.64	8.85	26.86	11.47	8.92	63.45	4.31	195.72	70.01	2.14	62.56	92.05	5.15	42.11	21.78	0.72
SLC52A2	0.54	748.61	624.99	1819.35	842.36	1059.11	1467.37	669.92	775.05	366.09	244.57	896.64	934.76	1781.89	665.29	248.0	813.63	1096.5	595.34	444.72	1191.69	503.95	638.15	836.53	595.34	1175.27	381.68	1447.15	819.3	185.11	1081.39	2163.77	603.67	878.17	688.78	909.17
SNF8	796.86	1733.13	2209.26	3419.52	1427.22	2976.74	2895.31	1733.13	2367.9	1242.34	890.44	2434.5	2555.58	2835.7	1757.34	1397.83	1950.0	2758.13	1242.34	1388.16	2468.49	1259.69	2032.85	2417.67	1870.53	3039.3	1498.22	3467.27	2758.13	723.08	2537.92	3235.01	1857.6	2287.2	1757.34	1844.76
SNRPC	0.45	2032.85	2178.83	3443.31	2119.22	3982.99	3467.27	1857.6	2485.67	1208.34	532.74	3665.02	2956.17	2855.44	2163.77	1277.29	2555.58	2915.45	1519.15	1794.29	3212.66	1519.15	2224.63	2627.46	2367.9	2645.74	954.43	3124.78	4181.07	674.59	3491.39	3212.66	2061.24	2915.45	1697.45	1963.57
SNRPD3	0.8	2178.83	2224.63	3395.89	2119.22	2935.74	4388.98	1250.98	2777.33	1277.29	854.13	2468.49	3280.18	3372.43	2178.83	1369.04	2090.03	3491.39	1605.83	2032.85	1857.6	1447.15	2209.26	1757.34	2163.77	3212.66	1331.57	2555.58	3303.0	612.11	3190.46	3690.52	1794.29	2855.44	1561.89	2777.33
SNRPF	0.54	872.1	543.96	1806.78	384.34	1295.13	1295.13	1104.13	813.63	287.01	295.11	791.35	1037.29	1183.45	651.58	325.29	713.11	1119.56	642.59	457.25	854.13	403.5	620.67	791.35	438.59	1008.9	343.89	1073.91	1127.35	220.32	866.07	1529.73	607.87	961.07	379.04	866.07
SORD	0.35	155.5	155.5	320.8	137.14	642.59	1159.07	65.26	258.57	89.51	49.56	309.83	299.25	532.74	117.6	120.94	93.35	447.82	101.54	269.6	253.23	187.71	138.1	178.77	87.65	366.09	63.89	269.6	249.73	50.98	305.55	476.71	202.66	281.09	133.36	287.01
SPRYD4	0.11	185.11	285.03	220.32	167.9	373.81	297.17	109.66	177.53	52.08	56.28	251.48	343.89	281.09	293.07	64.8	161.02	281.09	123.5	149.12	204.07	66.65	133.36	145.02	130.6	237.86	117.6	295.11	299.25	82.87	283.05	293.07	190.34	265.87	183.82	202.66
SPSB2	0.16	241.19	808.0	825.0	518.15	796.86	525.39	183.82	860.08	229.72	229.72	769.69	480.04	555.41	981.29	61.68	486.75	447.82	277.2	595.34	406.31	307.69	262.2	780.44	476.71	954.43	164.42	674.59	753.83	119.26	575.03	493.56	483.38	1073.91	454.09	376.41
SRD5A3	0.42	571.05	759.08	1832.01	470.14	974.5	1572.76	283.05	941.27	301.33	141.02	775.05	743.43	1397.83	896.64	148.09	733.19	1936.53	264.03	432.53	848.22	214.27	327.56	612.11	532.74	1143.1	88.26	1540.37	1540.37	153.34	1628.26	2240.11	547.75	1832.01	305.55	450.94
SSR4	1.14	5329.3	10368.08	17317.18	4903.87	12502.12	23009.42	6294.04	8247.98	3794.3	2209.26	18560.17	10512.82	18052.61	14065.74	4298.64	5872.48	14561.8	11504.21	7966.99	10084.54	6164.49	6164.49	6079.61	11664.82	13399.51	7382.04	15392.14	27363.16	4181.07	22072.07	18689.27	4704.07	13872.08	3614.55	6471.02
STAB1	0.95	438.59	1088.92	1977.24	536.45	3820.7	2303.12	759.08	1331.57	332.14	629.35	1216.75	1757.34	1639.59	2997.45	503.95	738.29	1844.76	743.43	693.58	941.27	373.81	1159.07	1167.14	1250.98	2573.36	660.68	4937.99	3901.01	603.67	2997.45	2434.5	1313.23	1572.76	1175.27	743.43
STEAP3	156.59	444.72	320.8	1277.29	212.78	921.88	1709.26	753.83	473.41	180.02	77.25	497.0	836.53	1225.22	591.22	84.63	305.55	497.0	476.71	529.06	629.35	429.54	241.19	567.1	305.55	603.67	92.05	1437.15	579.04	172.65	961.07	1709.26	406.31	688.78	397.93	473.41
STOML2	0.73	1605.83	1605.83	4181.07	1268.46	2224.63	3103.19	1295.13	1540.37	567.1	379.04	1572.76	2835.7	3190.46	1583.71	620.67	1487.87	2119.22	1088.92	941.27	1963.57	769.69	1350.18	1844.76	1733.13	2468.49	890.44	2816.11	2240.11	412.0	2520.38	4388.98	1407.55	2193.99	1250.98	1781.89
TACO1	0.0	346.29	356.05	387.02	325.29	480.04	490.14	256.78	392.44	129.69	135.24	409.15	447.82	457.25	358.54	199.85	363.56	470.14	202.66	214.27	387.02	171.45	314.17	329.84	351.14	447.82	182.55	497.0	441.64	115.16	463.65	476.71	356.05	406.31	376.41	325.29
TBC1D2	0.39	1051.79	1883.54	2367.9	2417.67	2777.33	1819.35	1175.27	2104.58	1794.29	571.05	1769.57	2032.85	3124.78	1259.69	511.0	1561.89	3515.68	656.11	1519.15	967.76	896.64	2271.4	1286.18	947.83	4543.8	318.57	4736.79	1340.84	785.88	1304.15	2224.63	642.59	2591.27	1561.89	1605.83
TIMM13	0.48	1044.52	1250.98	2720.15	1008.9	2701.35	2090.03	796.86	1457.23	1008.9	616.37	1498.22	1844.76	2573.36	1605.83	251.48	1183.45	1950.0	890.44	1135.2	1594.73	915.51	1037.29	1417.35	1498.22	2018.8	525.39	2451.44	2573.36	532.74	1909.85	3690.52	954.43	1583.71	1023.0	1350.18
TIMM8B	0.35	921.88	921.88	1991.0	599.49	2061.24	1844.76	435.55	1225.22	529.06	389.72	1159.07	1950.0	1977.24	909.17	420.68	1044.52	1639.59	532.74	674.59	1151.06	412.0	808.0	954.43	1015.93	2032.85	409.15	1991.0	2319.15	307.69	2018.8	2148.82	1008.9	1594.73	708.18	1088.92
TKT	0.82	8134.41	10225.32	12943.04	5555.65	15824.9	14262.1	4298.64	8134.41	4937.99	2303.12	6887.62	13492.72	16496.96	11909.94	3039.3	5711.87	13872.08	6516.03	10959.3	7642.41	5633.22	5995.9	8134.41	8538.88	16960.78	2018.8	16157.44	9409.14	4869.99	9025.81	21919.61	5076.84	11112.3	4210.15	11909.94
TMA16	0.08	353.59	320.8	454.09	208.38	395.18	395.18	122.64	423.61	149.12	119.26	348.71	540.19	417.77	336.79	241.19	376.41	426.57	244.57	258.57	329.84	187.71	303.44	177.53	295.11	514.56	264.03	356.05	403.5	205.5	361.04	363.56	334.46	454.09	348.71	241.19
TMED3	0.33	1605.83	2018.8	2485.67	1159.07	4010.71	3564.78	1151.06	1519.15	1250.98	457.25	2271.4	2434.5	3235.01	1697.45	460.44	1378.57	2240.11	1397.83	1819.35	2417.67	1340.84	1199.98	1277.29	1397.83	2335.28	708.18	3589.58	2976.74	728.11	2855.44	2976.74	1143.1	2047.0	1167.14	1037.29
TMEM177	0.0	96.01	103.69	176.29	64.34	175.07	171.45	41.22	113.56	39.79	46.5	152.28	194.36	142.01	111.21	41.81	110.43	141.02	55.1	84.63	117.6	64.8	59.97	81.71	78.34	158.79	47.17	157.68	169.07	45.21	158.79	201.25	133.36	114.36	111.21	149.12
TMEM208	0.48	1369.04	1369.04	2645.74	1369.04	2133.97	2816.11	1044.52	1388.16	718.08	514.56	1936.53	2075.59	2976.74	1594.73	473.41	1427.22	1781.89	1340.84	1191.69	2075.59	878.17	1340.84	1639.59	1340.84	1977.24	836.53	2004.85	1857.6	368.65	2935.74	3060.45	1242.34	1794.29	1088.92	1674.06
TMEM241	157.68	246.28	229.72	438.59	232.94	332.14	285.03	206.94	248.0	126.12	73.03	275.28	297.17	376.41	134.3	102.97	206.94	376.41	239.52	325.29	269.6	348.71	118.43	221.86	60.39	353.59	88.26	289.02	271.48	241.19	381.68	381.68	152.28	318.57	137.14	256.78
TPD52L2	872.1	1662.49	1806.78	2555.58	1628.26	2193.99	2417.67	1733.13	1662.49	1225.22	796.86	2417.67	1844.76	2468.49	1936.53	1477.58	1832.01	2434.5	1369.04	1378.57	2351.53	1159.07	1437.15	1583.71	1721.16	2163.77	878.17	3039.3	2485.67	1051.79	2417.67	3564.78	1561.89	1769.57	1583.71	2119.22
TRUB2	0.0	346.29	460.44	563.18	397.93	669.92	624.99	224.97	417.77	171.45	108.14	450.94	612.11	616.37	403.5	191.67	441.64	525.39	241.19	256.78	397.93	217.27	312.0	366.09	444.72	497.0	209.84	587.13	511.0	151.22	540.19	684.02	426.57	429.54	435.55	353.59
TSSC1	0.22	332.14	441.64	620.67	348.71	651.58	679.29	169.07	373.81	199.85	108.14	571.05	473.41	679.29	305.55	395.18	384.34	563.18	173.85	447.82	518.15	277.2	314.17	348.71	226.54	571.05	214.27	463.65	571.05	198.47	463.65	559.28	320.8	507.46	339.14	325.29
TTC39A	0.0	813.63	967.76	921.88	579.04	854.13	1216.75	441.64	967.76	239.52	57.89	718.08	1295.13	1572.76	902.89	41.22	1044.52	1051.79	571.05	1096.5	698.41	368.65	579.04	878.17	878.17	1417.35	76.71	1225.22	571.05	212.78	954.43	1119.56	551.56	1119.56	684.02	669.92
TXNL4A	0.62	1277.29	1066.48	3212.66	703.28	2018.8	2627.46	961.07	1477.58	1008.9	909.17	2434.5	2367.9	2384.37	1119.56	738.29	1447.15	2133.97	1540.37	1119.56	1909.85	854.13	1540.37	1359.57	954.43	3467.27	1015.93	2701.35	2148.82	656.11	1950.0	2835.7	1216.75	2163.77	1242.34	1340.84
VAC14	665.29	896.64	780.44	1073.91	780.44	1208.34	1191.69	583.07	981.29	432.53	507.46	954.43	1051.79	1081.39	915.51	395.18	884.29	1151.06	571.05	1015.93	890.44	540.19	669.92	854.13	583.07	1037.29	444.72	1295.13	909.17	454.09	1073.91	1111.82	703.28	1037.29	808.0	656.11
VPS25	0.0	1159.07	1674.06	1437.15	1225.22	1857.6	1794.29	1066.48	1225.22	518.15	521.76	1733.13	1605.83	1745.2	1487.87	629.35	1378.57	1617.0	961.07	995.0	1477.58	854.13	1208.34	1508.65	1350.18	1388.16	543.96	1572.76	2004.85	603.67	1909.85	1685.71	1250.98	1487.87	1225.22	941.27
ZDHHC16	0.3	688.78	1295.13	1447.15	1295.13	1397.83	1447.15	146.03	1662.49	1044.52	358.54	1286.18	1143.1	1605.83	902.89	379.04	1322.37	1697.45	791.35	1037.29	1037.29	872.1	921.88	848.22	1037.29	1295.13	470.14	1498.22	1617.0	656.11	1225.22	1477.58	1437.15	1151.06	1073.91	988.12
