	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.L5.A4OM.11A.11R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.Y111.1826.SM.4SOIR	GTEX.P4QT.0626.SM.3NMCP	GTEX.XQ8I.1526.SM.4BOOH	GTEX.RNOR.1326.SM.48FDE	GTEX.13YAN.2026.SM.5Q5EY	GTEX.13FHO.1826.SM.5K7Y6	GTEX.ZYY3.1626.SM.5EGJF	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7242.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.CV.6935.11A.01R.1915.07	TCGA.BP.4988.01A.01R.1334.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CCDC50	195.72	460.44	389.72	327.56	460.44	309.83	441.64	346.29	420.68	346.29	291.04	351.14	400.71	366.09	718.08	305.55	723.08	536.45	429.54	884.29	518.15	848.22	708.18	289.02	447.82	299.25	242.88	361.04	215.77	438.59	291.04	267.73	669.92	212.78	108.9	144.01	334.46	125.24	223.41	115.97
CCDC66	95.34	348.71	176.29	141.02	185.11	145.02	332.14	137.14	197.09	218.79	144.01	182.55	171.45	283.05	293.07	147.06	476.71	198.47	198.47	376.41	624.99	575.03	642.59	143.01	66.18	74.06	86.43	65.72	64.8	97.36	92.7	58.3	323.03	30.78	46.84	63.0	74.58	42.11	44.25	36.01
CCDC82	76.17	753.83	438.59	269.6	351.14	209.84	571.05	224.97	332.14	336.79	223.41	361.04	624.99	454.09	698.41	187.71	599.49	507.46	246.28	854.13	1030.12	1001.93	1023.0	150.17	162.14	193.01	155.5	152.28	84.04	198.47	163.28	119.26	1313.23	98.73	162.14	118.43	115.97	157.68	127.89	90.14
CCDC9	301.33	532.74	536.45	457.25	426.57	426.57	674.59	460.44	728.11	454.09	249.73	470.14	454.09	500.46	426.57	348.71	579.04	444.72	507.46	563.18	684.02	612.11	543.96	406.31	450.94	414.87	432.53	106.63	400.71	441.64	323.03	412.0	575.03	158.79	423.61	291.04	323.03	320.8	279.14	193.01
CCNT2	149.12	665.29	454.09	297.17	316.37	269.6	420.68	236.21	395.18	376.41	307.69	291.04	373.81	323.03	543.96	297.17	438.59	420.68	429.54	616.37	651.58	723.08	607.87	273.37	127.89	154.42	218.79	133.36	131.51	193.01	152.28	142.01	688.78	76.71	115.97	109.66	129.69	114.36	98.04	63.0
CLASRP	693.58	3325.99	1651.0	1477.58	1806.78	1143.1	2148.82	1617.0	1977.24	1781.89	1191.69	2047.0	1369.04	1950.0	2520.38	1397.83	2855.44	1857.6	1909.85	2875.3	4450.27	2537.92	3146.52	848.22	454.09	665.29	536.45	269.6	346.29	583.07	563.18	373.81	4704.07	84.63	376.41	339.14	476.71	305.55	253.23	271.48
CLCN6	92.7	336.79	224.97	176.29	232.94	98.04	256.78	173.85	224.97	180.02	138.1	191.67	159.9	229.72	327.56	128.79	400.71	234.57	189.02	435.55	497.0	389.72	470.14	82.87	60.39	57.49	76.17	16.75	32.59	60.82	54.72	41.22	521.76	19.39	50.63	69.52	62.12	63.45	48.18	33.78
CLK4	206.94	1183.45	403.5	323.03	358.54	228.13	483.38	297.17	406.31	438.59	348.71	242.88	307.69	387.02	656.11	387.02	921.88	583.07	543.96	921.88	1225.22	1059.11	967.76	215.77	120.1	162.14	171.45	156.59	61.68	186.4	187.71	152.28	1651.0	56.28	99.43	45.85	108.9	82.87	96.68	84.63
CREBZF	201.25	1467.37	842.36	624.99	780.44	414.87	954.43	493.56	698.41	693.58	521.76	583.07	909.17	753.83	1081.39	532.74	1427.22	764.36	674.59	1175.27	1794.29	1467.37	1304.15	346.29	183.82	229.72	248.0	146.03	144.01	255.0	214.27	165.57	1191.69	45.21	118.43	100.83	218.79	100.83	110.43	87.03
CRYZL1	253.23	836.53	543.96	497.0	555.41	555.41	414.87	339.14	529.06	392.44	529.06	500.46	603.67	607.87	599.49	441.64	1111.82	490.14	551.56	1304.15	1359.57	1331.57	1151.06	426.57	339.14	327.56	318.57	450.94	248.0	343.89	395.18	277.2	825.0	285.03	316.37	209.84	217.27	336.79	205.5	273.37
