	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WZTO.1726.SM.4PQYV	GTEX.VUSG.1026.SM.4KKZN	GTEX.11GSP.1726.SM.5A5LI	GTEX.11EI6.0826.SM.5985V	GTEX.117YW.0526.SM.5H11C	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.FY.A3WA.01A.11R.A22L.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.14753.0926.SM.5Q5BI	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.13FTW.0626.SM.5IFEX
PPP1R8	220.32	334.46	325.29	262.2	281.09	246.28	638.15	665.29	599.49	785.88	470.14	753.83	559.28	629.35	514.56	708.18	435.55	353.59	775.05	723.08	647.07	647.07	679.29	738.29	669.92	660.68	748.61	878.17	688.78	555.41	409.15	802.41	785.88	620.67	392.44	708.18	780.44	493.56	775.05	599.49	595.34	497.0	723.08	791.35	743.43	470.14	796.86	769.69	603.67	674.59	669.92	775.05	620.67	543.96	688.78	669.92	775.05
PSMA5	961.07	848.22	1030.12	921.88	884.29	915.51	1191.69	1519.15	1359.57	1674.06	1167.14	1883.54	1378.57	1857.6	1199.98	1388.16	1127.35	884.29	1794.29	1216.75	1407.55	1572.76	2303.12	1781.89	2627.46	1685.71	2119.22	2240.11	1088.92	1508.65	1340.84	2018.8	2287.2	1313.23	1119.56	1857.6	2004.85	1304.15	1685.71	2148.82	2739.08	1088.92	1685.71	1583.71	2193.99	1388.16	2090.03	1896.65	2451.44	2133.97	2520.38	2119.22	1529.73	1331.57	1457.23	1477.58	2451.44
PSMA6	1467.37	1159.07	1769.57	1745.2	1540.37	1721.16	2032.85	2319.15	1662.49	2148.82	2255.7	2935.74	1794.29	2976.74	1883.54	2104.58	1950.0	1685.71	3018.3	2224.63	2178.83	2367.9	3124.78	2609.3	3443.31	2555.58	2997.45	3168.41	1674.06	2032.85	1977.24	2434.5	3690.52	2255.7	1844.76	3018.3	3168.41	1936.53	2720.15	3325.99	3190.46	1674.06	2451.44	2537.92	3257.52	1977.24	3018.3	2835.7	3212.66	2627.46	3443.31	2855.44	2335.28	2319.15	2061.24	1936.53	3665.02
PSMB1	3639.7	3146.52	3280.18	3928.15	3491.39	3039.3	3874.05	5112.16	3690.52	4639.29	4704.07	6250.56	4210.15	5791.62	3847.29	4181.07	3982.99	3768.09	6207.38	4210.15	4239.45	4639.29	5872.48	4736.79	6792.79	4903.87	5711.87	6607.01	3212.66	4419.52	4450.27	4639.29	6840.04	4704.07	3847.29	5872.48	6652.97	4575.41	5292.48	6250.56	7130.55	4152.18	5041.77	5403.7	6337.83	4328.55	6037.61	5872.48	7695.57	5711.87	6337.83	5555.65	4639.29	4903.87	4481.23	4481.23	7642.41
PSMC1	1199.98	1143.1	1572.76	1508.65	872.1	802.41	1551.09	1781.89	1662.49	1909.85	1806.78	2502.97	1697.45	2384.37	1628.26	1769.57	1832.01	1447.15	2573.36	2032.85	1721.16	2004.85	2271.4	2209.26	2835.7	2061.24	2255.7	2777.33	1594.73	1721.16	1674.06	2075.59	2555.58	1923.14	1407.55	2451.44	2520.38	1781.89	2255.7	2271.4	2537.92	1605.83	2240.11	2417.67	2351.53	1757.34	2591.27	2319.15	2520.38	2090.03	2335.28	2434.5	1991.0	1794.29	1806.78	1857.6	2935.74
PSMC2	878.17	753.83	854.13	995.0	764.36	1151.06	1250.98	1397.83	1437.15	1427.22	1322.37	1857.6	1242.34	1733.13	1359.57	1175.27	1487.87	1088.92	1769.57	1259.69	1191.69	1295.13	1781.89	1605.83	2240.11	1572.76	1794.29	2090.03	1008.9	1023.0	1407.55	1519.15	2004.85	1242.34	1233.75	1685.71	1896.65	1417.35	1651.0	1806.78	2193.99	1208.34	1508.65	1572.76	1781.89	1322.37	1950.0	1709.26	1781.89	1639.59	1757.34	1883.54	1467.37	1183.45	1313.23	1359.57	2193.99
PTRH2	191.67	189.02	287.01	236.21	214.27	209.84	206.94	271.48	185.11	289.02	327.56	463.65	231.32	366.09	231.32	264.03	279.14	183.82	403.5	262.2	244.57	303.44	438.59	379.04	470.14	327.56	363.56	551.56	273.37	363.56	239.52	351.14	591.22	239.52	275.28	406.31	543.96	232.94	400.71	435.55	536.45	242.88	356.05	426.57	435.55	237.86	587.13	307.69	486.75	392.44	514.56	457.25	299.25	271.48	297.17	255.0	525.39
RER1	1733.13	1896.65	2075.59	1950.0	1832.01	1540.37	2816.11	3018.3	2417.67	3124.78	2664.15	3419.52	2664.15	3081.75	2193.99	3060.45	2287.2	2468.49	3564.78	2485.67	2451.44	3124.78	3303.0	3103.19	3928.15	2976.74	2915.45	3325.99	2835.7	2915.45	2796.65	3081.75	3146.52	3303.0	2367.9	3212.66	3325.99	2417.67	3235.01	3349.13	3690.52	2591.27	3515.68	2591.27	3018.3	2627.46	3716.2	2816.11	3589.58	3395.89	3349.13	3039.3	2777.33	3190.46	3103.19	3235.01	3349.13
RRAGA	1183.45	1259.69	1225.22	1340.84	884.29	934.76	1561.89	1685.71	1781.89	1977.24	1844.76	2555.58	1572.76	2178.83	1757.34	1529.73	1407.55	1268.46	2367.9	1832.01	1457.23	2178.83	2240.11	2090.03	2485.67	2224.63	2351.53	2537.92	1427.22	1551.09	1397.83	2148.82	2434.5	1605.83	1359.57	2133.97	2627.46	1519.15	2224.63	2537.92	2133.97	1498.22	2004.85	2384.37	2573.36	1685.71	2451.44	2075.59	2384.37	2255.7	2627.46	2271.4	1794.29	1551.09	1709.26	1617.0	2367.9
SDHAF2	769.69	674.59	780.44	780.44	571.05	476.71	934.76	1151.06	825.0	1175.27	934.76	961.07	947.83	1183.45	825.0	1023.0	633.73	1044.52	1175.27	909.17	1295.13	1001.93	1519.15	961.07	1250.98	1199.98	1359.57	1259.69	954.43	1143.1	567.1	1151.06	1350.18	1498.22	743.43	1417.35	1551.09	1066.48	1295.13	1674.06	1304.15	775.05	1250.98	1350.18	1508.65	842.36	1437.15	1008.9	1709.26	1250.98	1594.73	1331.57	1151.06	1331.57	1030.12	1183.45	1407.55
SDHC	1295.13	1340.84	1331.57	1331.57	1350.18	1233.75	2573.36	2451.44	2400.97	2956.17	1923.14	3280.18	2319.15	3146.52	1950.0	2682.69	2032.85	1427.22	3716.2	2148.82	2303.12	2682.69	3395.89	3103.19	4358.66	2777.33	3794.3	3614.55	1819.35	2468.49	2816.11	2935.74	3235.01	2645.74	1896.65	2835.7	3491.39	2104.58	3103.19	3820.7	3768.09	1950.0	2835.7	3124.78	3742.05	2224.63	3395.89	3349.13	3303.0	3639.7	3901.01	3614.55	2417.67	2609.3	2032.85	2502.97	4268.94
SF3B4	764.36	540.19	860.08	764.36	435.55	426.57	759.08	1066.48	1216.75	1119.56	1008.9	1295.13	872.1	1167.14	1030.12	909.17	890.44	967.76	1286.18	995.0	808.0	1191.69	1191.69	1208.34	1437.15	1359.57	1340.84	1508.65	947.83	890.44	884.29	1369.04	1733.13	1030.12	738.29	1427.22	1583.71	1008.9	1295.13	1551.09	1313.23	947.83	1427.22	1322.37	1498.22	1015.93	1498.22	1143.1	1437.15	1350.18	1594.73	1340.84	1081.39	890.44	1175.27	1088.92	1561.89
SNAPC5	587.13	599.49	547.75	409.15	555.41	450.94	723.08	764.36	848.22	1127.35	616.37	1066.48	698.41	743.43	764.36	1242.34	563.18	536.45	854.13	830.75	1030.12	921.88	981.29	848.22	866.07	796.86	921.88	1151.06	995.0	620.67	551.56	967.76	1159.07	878.17	503.95	995.0	1143.1	642.59	890.44	860.08	1167.14	718.08	974.5	909.17	884.29	791.35	890.44	780.44	981.29	941.27	1008.9	1051.79	934.76	1066.48	866.07	909.17	1044.52
SSBP1	1487.87	1331.57	1397.83	1583.71	1191.69	1208.34	2163.77	2133.97	1950.0	2701.35	2193.99	3589.58	1936.53	3039.3	2193.99	2240.11	2335.28	1617.0	3716.2	2591.27	2351.53	2351.53	3060.45	2303.12	3716.2	2956.17	3349.13	3847.29	1806.78	2018.8	2417.67	2434.5	3372.43	2555.58	1950.0	3395.89	3639.7	2148.82	3081.75	3665.02	3395.89	2417.67	2976.74	3060.45	3395.89	2367.9	3325.99	2701.35	3794.3	3589.58	3372.43	3060.45	2627.46	2335.28	2224.63	2520.38	3982.99
STOML2	848.22	995.0	1437.15	1001.93	503.95	450.94	1447.15	1794.29	1583.71	1769.57	1286.18	1857.6	1651.0	1936.53	1359.57	1745.2	1457.23	1359.57	1883.54	1651.0	1617.0	1909.85	1745.2	2004.85	2367.9	1896.65	2075.59	2335.28	1639.59	1844.76	1304.15	1844.76	2417.67	1857.6	1295.13	1844.76	2090.03	1685.71	1923.14	2018.8	2224.63	1594.73	1963.57	1844.76	2303.12	1674.06	1923.14	1896.65	2209.26	1832.01	2384.37	2090.03	1832.01	1540.37	2047.0	1685.71	2384.37
TACO1	232.94	228.13	169.07	164.42	162.14	131.51	265.87	320.8	236.21	376.41	128.79	412.0	246.28	348.71	199.85	277.2	198.47	228.13	403.5	273.37	343.89	387.02	373.81	376.41	432.53	373.81	414.87	521.76	343.89	224.97	189.02	395.18	423.61	289.02	169.07	379.04	403.5	236.21	348.71	417.77	397.93	255.0	348.71	387.02	476.71	267.73	346.29	323.03	441.64	400.71	454.09	473.41	343.89	343.89	348.71	303.44	414.87
TG	75.64	162.14	307.69	59.13	31.22	13.12	945028.61	1123834.93	598087.73	2068278.89	1012856.65	2247670.86	894051.48	2126426.15	1273174.62	2375828.71	2111737.85	569761.05	1611529.43	1308968.45	1622738.51	1739208.14	1634025.56	1838374.44	1997825.68	1984025.69	1997825.68	1290947.48	1984025.69	2986448.72	1472666.19	2025714.3	1318073.06	2425749.94	459592.86	1402917.72	1929772.37	1048575.0	1727194.55	2636147.11	2263304.65	1229805.58	1775752.63	2111737.85	1108362.75	1691649.38	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	2263304.65	1535204.12	2672946.37	1864037.21	1634025.56	1026995.62
TIMM10	674.59	688.78	457.25	665.29	642.59	353.59	796.86	1208.34	941.27	802.41	684.02	1397.83	651.58	860.08	633.73	1104.13	633.73	642.59	1477.58	599.49	915.51	1183.45	995.0	836.53	1295.13	961.07	1378.57	1769.57	1088.92	679.29	669.92	961.07	1963.57	1242.34	457.25	1417.35	1350.18	808.0	974.5	1135.2	1923.14	1066.48	1359.57	915.51	1594.73	947.83	1388.16	703.28	1467.37	1697.45	1322.37	1259.69	961.07	836.53	1313.23	890.44	1594.73
TRMT10C	129.69	132.44	156.59	137.14	120.1	154.42	173.85	236.21	239.52	334.46	253.23	420.68	186.4	353.59	262.2	205.5	221.86	205.5	409.15	299.25	228.13	301.33	373.81	303.44	373.81	368.65	392.44	432.53	234.57	312.0	208.38	353.59	454.09	241.19	214.27	376.41	532.74	223.41	363.56	417.77	384.34	218.79	351.14	368.65	447.82	220.32	529.06	376.41	361.04	339.14	423.61	447.82	277.2	258.57	327.56	217.27	486.75
TSG101	1175.27	1044.52	1111.82	1151.06	961.07	941.27	1857.6	1844.76	1745.2	2032.85	1794.29	2240.11	1733.13	1977.24	1697.45	1883.54	1977.24	1651.0	2287.2	1832.01	1819.35	1977.24	1819.35	1857.6	2240.11	1896.65	2335.28	2720.15	1628.26	1950.0	1697.45	1857.6	2209.26	1977.24	1733.13	2178.83	2047.0	1857.6	2061.24	1936.53	2224.63	1628.26	1844.76	2271.4	2303.12	1832.01	2193.99	1794.29	2018.8	2104.58	2104.58	2032.85	2004.85	1757.34	1721.16	1909.85	2209.26
TTC1	909.17	674.59	854.13	890.44	480.04	334.46	769.69	802.41	656.11	1216.75	543.96	1066.48	759.08	1073.91	819.3	1037.29	563.18	819.3	1051.79	909.17	884.29	902.89	1268.46	1015.93	1208.34	1015.93	1199.98	1096.5	1044.52	802.41	620.67	1127.35	1175.27	1051.79	684.02	1015.93	1111.82	825.0	1001.93	1208.34	1369.04	902.89	947.83	1001.93	1259.69	902.89	1216.75	1037.29	1359.57	1225.22	1242.34	1030.12	1037.29	819.3	1001.93	981.29	1175.27
UBE2L3	1001.93	1066.48	1143.1	1015.93	988.12	884.29	1268.46	753.83	723.08	1733.13	1088.92	1857.6	1151.06	1685.71	1167.14	1340.84	1096.5	915.51	1781.89	1183.45	1216.75	1304.15	1977.24	1427.22	2104.58	1572.76	1639.59	1832.01	1159.07	1127.35	1183.45	1721.16	1991.0	1508.65	1096.5	1467.37	1950.0	1216.75	1583.71	2119.22	2061.24	967.76	1508.65	1529.73	2148.82	1111.82	1628.26	1508.65	2287.2	1594.73	1857.6	1883.54	1225.22	1331.57	1477.58	1508.65	2004.85
VPS25	616.37	728.11	620.67	647.07	583.07	559.28	1119.56	1340.84	1259.69	1397.83	665.29	1417.35	1135.2	1407.55	974.5	1104.13	802.41	1044.52	1583.71	1059.11	1304.15	1467.37	1651.0	1477.58	1540.37	1540.37	1628.26	1628.26	1286.18	1023.0	1015.93	1437.15	1697.45	1572.76	723.08	1651.0	1540.37	1199.98	1268.46	1487.87	1594.73	1199.98	1529.73	1388.16	1745.2	1111.82	1447.15	1295.13	1662.49	1594.73	1745.2	1331.57	1295.13	1242.34	1208.34	1331.57	1709.26
XRCC4	79.45	71.0	58.71	61.25	68.55	84.04	96.68	92.05	84.04	151.22	62.12	133.36	70.01	118.43	98.04	157.68	46.18	86.43	154.42	101.54	120.94	123.5	153.34	92.7	137.14	134.3	139.07	126.12	78.89	100.83	88.26	83.45	100.83	111.21	82.29	109.66	128.79	85.22	93.35	111.99	133.36	78.34	112.77	128.79	111.99	111.21	138.1	82.87	118.43	81.14	108.14	102.25	117.6	80.57	104.42	100.83	158.79
ZNF200	49.56	44.25	71.5	65.26	57.08	110.43	78.89	112.77	52.45	109.66	80.01	111.99	71.5	108.14	44.89	82.87	72.01	49.21	116.78	131.51	96.68	99.43	111.21	115.16	102.97	98.04	122.64	122.64	108.14	90.77	71.5	99.43	130.6	55.89	87.65	108.14	116.78	75.11	135.24	94.01	109.66	92.7	100.83	128.79	108.9	82.29	135.24	111.21	99.43	117.6	108.14	120.94	90.77	84.04	125.24	80.57	115.97
ZNF416	14.67	24.63	43.94	31.67	24.99	20.71	47.17	55.49	21.47	96.68	57.49	85.22	59.97	70.51	32.82	75.64	66.65	35.76	75.64	101.54	69.03	100.13	76.17	97.36	72.01	81.71	88.26	94.01	96.68	61.68	43.02	96.68	88.26	60.82	49.91	86.43	102.25	51.35	92.05	84.63	77.79	53.19	92.05	115.97	94.67	46.18	109.66	111.99	76.17	84.63	97.36	88.88	53.19	87.03	85.82	50.98	78.34
ZSWIM1	111.21	112.77	138.1	108.14	77.25	75.11	117.6	140.04	68.07	135.24	66.18	164.42	117.6	159.9	85.22	103.69	111.21	84.63	158.79	138.1	120.94	147.06	150.17	187.71	142.01	171.45	167.9	165.57	119.26	76.71	101.54	208.38	189.02	92.7	126.12	158.79	161.02	100.13	161.02	171.45	178.77	146.03	170.25	171.45	166.73	99.43	152.28	164.42	115.16	156.59	194.36	175.07	119.26	102.25	157.68	92.05	135.24
