	TCGA.AK.3447.01A.01R.1766.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.WHSB.0326.SM.5FQSD	GTEX.14ABY.1126.SM.5Q5F8	GTEX.145MH.0626.SM.5NQAK	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.13NZ9.0926.SM.5KM12	GTEX.13FTZ.0526.SM.5IJCW	GTEX.U412.0826.SM.3DB9K	GTEX.QXCU.0626.SM.2TC69	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.OOBJ.0526.SM.48TDK	GTEX.Y111.1026.SM.4TT22	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.12WSE.0826.SM.5S2VL	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.1477Z.0626.SM.5NQB7	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.WK11.0526.SM.3NB3O	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.139UW.0226.SM.5K7WU	GTEX.YJ8O.1826.SM.5HL82	GTEX.XQ8I.1126.SM.4BOO2	GTEX.146FH.1226.SM.5NQB6	GTEX.13OVL.0626.SM.5KM13	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.ZVT3.0926.SM.5GICK	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ	GTEX.YFC4.2826.SM.5P9FR	GTEX.1313W.2826.SM.5P9G1
SPRN	7.51	32.36	17.38	69.03	31.9	0.0	0.39	16.75	26.47	48.18	22.26	22.92	96.01	37.05	50.63	0.71	44.57	35.25	49.91	60.82	7.88	3.32	39.5	21.16	34.26	49.21	5.19	4.66	16.75	52.08	41.81	17.51	7.75	21.01	18.97	36.53	13.12	15.34	46.84	15.11	36.53	4.28	13.62	23.08	68.55	21.78	36.27	12.36	32.59	27.64	27.25	50.27	28.65	29.7	33.06	9.06	13.72	9.78	7.75	18.29	73.54	68.55
SRRM5	0.42	0.32	3.47	4.7	1.73	0.0	0.37	3.03	4.28	24.11	3.66	12.36	12.45	7.57	6.67	2.56	6.11	11.3	7.57	17.9	9.2	4.94	5.36	4.43	14.35	26.1	3.72	4.1	4.35	22.43	17.64	1.66	2.51	4.28	4.58	14.56	2.78	1.87	19.82	6.89	4.13	2.34	3.96	9.85	22.75	3.69	18.97	1.11	6.31	8.99	17.9	11.21	1.71	7.94	7.57	2.46	3.41	1.43	2.92	4.74	16.39	10.88
TRMT10B	47.84	36.79	34.02	39.22	36.27	0.0	0.48	152.28	198.47	283.05	106.63	194.36	303.44	201.25	320.8	56.28	164.42	231.32	169.07	260.38	189.02	51.71	125.24	164.42	156.59	265.87	65.26	88.88	220.32	368.65	237.86	16.51	115.97	120.94	155.5	249.73	81.14	110.43	376.41	149.12	165.57	89.51	96.01	199.85	271.48	137.14	283.05	84.63	291.04	128.79	217.27	260.38	186.4	186.4	120.1	105.89	124.37	67.12	63.0	111.21	339.14	400.71
VILL	15.34	10.55	13.62	7.57	5.96	0.0	0.44	307.69	145.02	2104.58	201.25	236.21	775.05	480.04	392.44	18.84	120.94	262.2	435.55	842.36	149.12	22.59	307.69	108.14	387.02	559.28	45.53	66.18	406.31	854.13	555.41	20.86	43.32	171.45	212.78	447.82	59.55	153.34	1870.53	178.77	163.28	33.54	42.71	186.4	813.63	105.15	567.1	38.95	713.11	248.0	567.1	389.72	249.73	373.81	118.43	58.71	55.89	66.18	64.8	78.34	1359.57	1417.35
ZNF211	35.0	11.91	31.22	21.78	35.76	0.0	0.48	135.24	224.97	521.76	122.64	244.57	514.56	368.65	392.44	98.04	155.5	287.01	358.54	400.71	221.86	52.45	117.6	96.01	239.52	429.54	69.03	115.97	236.21	518.15	414.87	67.59	85.22	198.47	159.9	348.71	56.28	143.01	642.59	115.16	248.0	29.27	178.77	211.31	575.03	120.94	363.56	92.05	473.41	138.1	289.02	332.14	185.11	161.02	103.69	92.05	110.43	114.36	45.21	77.79	1044.52	642.59
ZNF260	56.28	30.34	59.13	26.67	44.89	53.95	73.54	48.52	144.01	149.12	63.89	123.5	155.5	287.01	102.97	19.39	63.45	181.28	158.79	198.47	150.17	124.37	47.5	83.45	84.63	147.06	131.51	57.08	110.43	277.2	137.14	22.1	63.89	108.14	80.57	125.24	36.79	122.64	172.65	59.13	99.43	39.22	126.12	153.34	253.23	64.8	167.9	110.43	140.04	31.45	157.68	108.9	119.26	68.55	87.65	49.91	55.1	56.28	106.63	65.26	353.59	299.25
ZNF543	14.56	4.7	9.27	6.26	8.65	0.0	0.1	24.99	45.21	65.72	29.91	43.94	57.89	48.87	87.65	30.78	43.94	81.14	69.03	103.69	28.86	40.93	28.45	28.65	52.08	86.43	39.79	41.52	77.79	94.67	53.95	21.32	21.47	52.45	40.07	63.89	22.43	27.05	84.63	35.0	58.71	26.28	65.26	37.85	106.63	22.59	78.89	43.32	65.72	9.78	47.5	45.85	51.71	25.54	33.78	48.18	34.75	38.67	19.97	30.78	51.71	46.5
ZNF653	30.12	83.45	112.77	92.05	146.03	0.0	0.12	120.94	147.06	281.09	293.07	163.28	164.42	146.03	343.89	82.87	163.28	75.64	297.17	195.72	59.13	58.71	212.78	113.56	202.66	209.84	84.04	166.73	175.07	237.86	226.54	126.12	76.71	132.44	143.01	283.05	61.68	108.9	325.29	136.19	234.57	110.43	133.36	97.36	193.01	185.11	287.01	115.16	218.79	104.42	154.42	239.52	108.9	241.19	81.71	142.01	76.17	107.38	102.25	142.01	108.9	251.48
ZNF77	38.4	16.75	22.75	34.75	18.84	0.0	0.31	48.18	58.71	74.58	78.89	50.63	74.58	63.89	68.55	35.25	49.91	83.45	149.12	105.15	55.89	30.56	61.25	51.35	43.63	114.36	39.5	66.65	94.67	105.89	71.5	35.5	35.0	56.68	50.63	55.89	60.39	53.19	85.22	59.55	180.02	84.04	82.29	58.71	159.9	61.25	94.67	60.39	92.7	49.56	45.85	34.51	52.82	68.07	46.84	31.9	56.68	43.63	29.91	32.82	92.7	109.66
ZNF775	172.65	55.1	37.32	36.27	28.86	0.0	0.22	159.9	438.59	656.11	178.77	325.29	669.92	414.87	432.53	62.12	253.23	295.11	503.95	642.59	194.36	108.9	191.67	348.71	470.14	587.13	111.99	123.5	384.34	599.49	463.65	119.26	108.9	283.05	242.88	447.82	118.43	244.57	902.89	146.03	214.27	73.54	191.67	400.71	599.49	144.01	497.0	146.03	599.49	177.53	379.04	579.04	514.56	182.55	336.79	153.34	190.34	151.22	85.22	102.97	1467.37	2148.82
ZSCAN30	43.32	29.48	70.51	38.12	19.68	0.0	0.59	150.17	150.17	327.56	150.17	277.2	279.14	384.34	246.28	23.93	248.0	376.41	244.57	320.8	92.05	67.59	155.5	173.85	231.32	316.37	120.1	131.51	305.55	543.96	293.07	29.48	119.26	201.25	185.11	265.87	57.89	189.02	387.02	132.44	167.9	64.8	152.28	177.53	348.71	131.51	262.2	81.71	341.51	164.42	201.25	309.83	223.41	221.86	178.77	127.89	68.55	68.55	55.1	106.63	500.46	348.71
