	GTEX.145MF.1526.SM.5LU95	GTEX.13O61.1226.SM.5KM21	GTEX.OIZG.0926.SM.3LK5Y	TCGA.VQ.AA6B.01A.11R.A414.31	TCGA.HU.A4GN.01A.11R.A251.31	TCGA.HU.A4GP.01A.11R.A251.31	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.VQ.AA6G.01A.11R.A414.31	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.D7.6820.01A.11R.1884.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.BR.7716.11A.01R.2055.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.WHWD.1426.SM.4OORU	GTEX.Y8E4.1526.SM.4WWDI	GTEX.12WSG.2026.SM.5FQUU	GTEX.13QJ3.2726.SM.5SI6L
SPAG8	139.07	52.08	128.79	8.92	5.73	14.45	25.54	51.35	14.89	15.8	11.21	6.21	7.75	26.1	9.27	14.03	7.88	8.65	1.87	26.28	127.89	36.01	65.26	9.48	64.34	51.71	70.01	91.41	50.63	115.97
SRP14	9808.75	10585.95	8598.28	5517.27	6164.49	8247.98	7642.41	8247.98	7280.4	5751.61	7331.05	4123.49	7537.18	8658.09	6935.54	5517.27	6294.04	7857.29	7966.99	8963.45	14361.31	9409.14	9740.98	6079.61	13215.02	13872.08	10959.3	12160.22	9673.69	16611.71
STARD6	5.87	3.11	3.79	0.72	1.27	0.0	0.0	0.97	0.71	0.0	0.0	0.0	0.0	1.19	0.0	0.0	0.0	0.0	0.68	0.0	5.68	0.0	0.0	0.0	0.0	0.0	0.0	1.48	3.17	2.32
STK32B	180.02	44.89	94.01	8.65	11.55	12.27	5.59	115.97	34.51	39.22	71.0	88.88	14.35	67.59	24.81	7.22	77.79	40.64	19.97	70.51	76.17	95.34	114.36	194.36	141.02	95.34	75.64	67.59	136.19	88.26
STX8	1733.13	1662.49	1883.54	612.11	981.29	403.5	836.53	1417.35	1044.52	713.11	1030.12	909.17	435.55	1806.78	1104.13	599.49	497.0	890.44	679.29	1651.0	1757.34	1605.83	1733.13	1674.06	2777.33	2609.3	1277.29	2956.17	1286.18	3060.45
TMEM218	497.0	490.14	633.73	366.09	312.0	244.57	429.54	473.41	447.82	269.6	426.57	279.14	155.5	476.71	470.14	251.48	251.48	454.09	346.29	371.22	473.41	438.59	536.45	490.14	318.57	660.68	503.95	633.73	435.55	412.0
TMEM80	785.88	1427.22	1508.65	536.45	241.19	256.78	536.45	728.11	470.14	493.56	414.87	603.67	387.02	674.59	438.59	497.0	423.61	1001.93	532.74	603.67	934.76	638.15	947.83	612.11	603.67	802.41	902.89	599.49	981.29	764.36
TMEM91	473.41	713.11	327.56	81.71	21.01	47.5	26.1	193.01	76.71	46.5	43.02	33.06	28.65	228.13	78.34	74.06	63.45	57.08	46.18	178.77	312.0	109.66	264.03	65.72	150.17	215.77	305.55	540.19	221.86	713.11
TMPRSS9	13.03	8.25	21.63	4.66	0.88	3.23	1.58	5.28	3.82	5.41	3.41	3.41	1.33	14.45	3.53	1.35	8.25	0.72	4.74	7.88	32.59	0.0	19.97	2.07	0.0	3.5	8.85	20.56	18.43	29.27
TNXB	32315.87	1923.14	6207.38	87.65	152.28	214.27	76.17	723.08	551.56	94.67	273.37	55.89	104.42	703.28	255.0	52.45	33.3	224.97	100.83	2434.5	7966.99	1044.52	4388.98	334.46	536.45	395.18	2224.63	14561.8	2468.49	36357.37
TPRG1L	1322.37	1135.2	1583.71	660.68	759.08	1023.0	595.34	890.44	1295.13	1037.29	981.29	476.71	1044.52	836.53	764.36	934.76	647.07	1340.84	1225.22	1378.57	1304.15	1250.98	1340.84	1277.29	878.17	921.88	1044.52	1651.0	1594.73	1508.65
TTLL1	256.78	89.51	182.55	45.21	29.48	27.84	32.13	87.03	92.05	40.07	72.01	82.87	34.75	77.25	70.01	64.8	51.71	98.04	40.07	83.45	141.02	123.5	157.68	130.6	83.45	145.02	127.0	202.66	132.44	206.94
TTYH1	232.94	75.64	205.5	5.87	13.72	11.64	32.59	29.06	10.16	10.79	9.2	4.94	6.11	41.52	9.34	10.96	13.12	66.18	21.32	56.28	201.25	24.46	127.0	8.85	51.71	34.75	77.25	162.14	63.89	1242.34
VAMP1	813.63	603.67	819.3	135.24	50.98	66.65	88.88	514.56	162.14	68.07	153.34	82.29	108.14	140.04	37.85	101.54	104.42	105.89	125.24	205.5	320.8	163.28	281.09	100.13	224.97	336.79	457.25	412.0	376.41	693.58
VAT1	4038.61	2032.85	4704.07	599.49	563.18	559.28	728.11	1159.07	1295.13	866.07	1073.91	1936.53	748.61	2520.38	1832.01	547.75	988.12	1044.52	1096.5	1757.34	2682.69	1617.0	3443.31	1191.69	1628.26	1417.35	2591.27	4937.99	2627.46	9344.14
YPEL4	208.38	61.25	142.01	4.17	7.46	4.74	3.0	19.82	11.47	8.0	11.13	6.73	4.1	45.21	11.82	5.02	0.83	11.21	2.16	33.3	70.01	21.16	68.55	14.56	18.84	23.25	42.71	88.88	38.67	307.69
ZNF329	107.38	114.36	190.34	13.22	12.18	56.68	56.28	112.77	82.29	76.71	55.89	78.34	10.88	139.07	120.1	38.4	84.63	138.1	105.15	92.05	177.53	123.5	133.36	111.99	61.25	115.16	98.73	255.0	107.38	205.5
ZNF467	244.57	327.56	679.29	55.89	62.56	100.83	104.42	256.78	145.02	157.68	199.85	95.34	68.55	323.03	583.07	43.63	60.39	358.54	141.02	285.03	303.44	341.51	511.0	339.14	466.88	435.55	417.77	447.82	353.59	316.37
ZNF569	77.79	67.59	90.14	16.03	3.96	5.96	4.78	75.64	25.17	13.83	15.11	58.71	6.46	47.17	53.57	9.93	12.0	14.24	29.06	38.12	100.83	43.63	74.06	53.57	29.27	71.0	90.14	82.29	64.34	129.69
ZNF655	785.88	1096.5	928.3	83.45	258.57	312.0	79.45	1143.1	525.39	351.14	825.0	759.08	99.43	507.46	161.02	228.13	75.11	96.68	176.29	848.22	1175.27	1023.0	921.88	941.27	802.41	1135.2	988.12	819.3	1857.6	525.39
ZNF790	87.03	73.03	156.59	105.15	28.24	38.4	9.27	78.34	173.85	80.57	41.52	124.37	7.46	78.89	72.01	15.56	62.56	118.43	58.71	66.65	115.97	48.52	92.05	66.18	94.67	63.45	53.95	92.7	121.79	140.04
