	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.A2.A3XX.01A.21R.A239.07	TCGA.OL.A5D7.01A.11R.A27Q.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.EW.A424.01A.11R.A24H.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.AC.A6IW.01A.12R.A33J.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A3Y0.01A.11R.A239.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.BH.A42T.01A.11R.A24H.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.E9.A3QA.01A.61R.A22K.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.W5X1.2326.SM.3GIL6	GTEX.T2IS.1526.SM.32QPR	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.A6.5656.01A.21R.1839.07	TCGA.N9.A4Q7.01A.11R.A28V.07
STRN3	102.97	275.28	156.59	61.68	450.94	409.15	152.28	289.02	669.92	108.9	493.56	73.03	426.57	764.36	194.36	381.68	244.57	373.81	486.75	127.0	275.28	125.24	339.14	511.0	145.02	172.65	373.81	138.1	68.07	265.87	271.48	368.65	403.5	633.73	291.04	728.11	426.57	656.11	1313.23	447.82	466.88	149.12	1225.22	392.44	836.53	152.28	50.98
SYNJ2BP	171.45	220.32	98.73	74.58	285.03	323.03	112.77	293.07	283.05	148.09	490.14	135.24	368.65	500.46	109.66	351.14	303.44	262.2	336.79	135.24	189.02	78.34	255.0	392.44	94.01	143.01	366.09	85.22	91.41	149.12	177.53	384.34	332.14	463.65	275.28	339.14	743.43	297.17	713.11	211.31	226.54	417.77	400.71	334.46	567.1	112.77	212.78
TMED8	50.27	102.25	63.89	44.57	277.2	156.59	74.06	162.14	72.52	90.77	248.0	57.49	163.28	183.82	89.51	189.02	143.01	129.69	281.09	65.26	108.14	85.82	141.02	220.32	88.88	110.43	155.5	92.05	39.22	125.24	97.36	187.71	195.72	244.57	124.37	165.57	361.04	281.09	500.46	162.14	143.01	52.82	275.28	144.01	239.52	55.1	49.56
TOR1AIP1	224.97	775.05	698.41	197.09	728.11	878.17	665.29	890.44	457.25	426.57	1950.0	361.04	1073.91	1135.2	674.59	1216.75	1044.52	684.02	1340.84	563.18	967.76	368.65	934.76	1167.14	279.14	629.35	1030.12	514.56	287.01	1066.48	703.28	1674.06	1119.56	2119.22	713.11	1044.52	1844.76	1350.18	3614.55	1340.84	842.36	1096.5	1651.0	1417.35	1340.84	325.29	236.21
TOX4	363.56	836.53	612.11	497.0	1104.13	830.75	460.44	1037.29	842.36	327.56	1369.04	688.78	1151.06	1487.87	620.67	974.5	1081.39	1081.39	1151.06	540.19	633.73	620.67	1081.39	1159.07	473.41	470.14	872.1	633.73	743.43	620.67	819.3	1066.48	1277.29	1191.69	928.3	961.07	1378.57	947.83	1183.45	1225.22	836.53	460.44	1388.16	693.58	1277.29	363.56	426.57
TRIP11	94.01	164.42	138.1	61.25	249.73	295.11	89.51	518.15	112.77	163.28	529.06	118.43	260.38	273.37	154.42	283.05	275.28	358.54	353.59	99.43	190.34	112.77	265.87	387.02	108.14	126.12	368.65	206.94	90.14	248.0	190.34	291.04	258.57	532.74	267.73	463.65	651.58	698.41	665.29	718.08	176.29	190.34	395.18	211.31	616.37	68.07	47.17
UBR7	197.09	444.72	323.03	218.79	656.11	532.74	293.07	587.13	503.95	236.21	947.83	193.01	669.92	547.75	244.57	559.28	651.58	476.71	679.29	273.37	281.09	356.05	620.67	665.29	237.86	329.84	460.44	409.15	281.09	460.44	412.0	665.29	728.11	660.68	454.09	480.04	738.29	825.0	808.0	718.08	511.0	406.31	1175.27	738.29	607.87	146.03	131.51
WDR20	163.28	343.89	226.54	181.28	466.88	387.02	239.52	392.44	265.87	255.0	540.19	195.72	490.14	289.02	201.25	392.44	376.41	303.44	493.56	198.47	205.5	202.66	432.53	420.68	214.27	215.77	267.73	220.32	215.77	343.89	329.84	373.81	483.38	435.55	392.44	624.99	642.59	583.07	718.08	490.14	249.73	395.18	412.0	426.57	507.46	150.17	101.54
ZNF268	80.57	111.99	114.36	94.67	314.17	211.31	89.51	283.05	209.84	79.45	312.0	77.79	126.12	205.5	88.88	232.94	165.57	253.23	150.17	24.28	139.07	71.0	301.33	293.07	66.18	201.25	180.02	149.12	59.13	126.12	180.02	329.84	371.22	366.09	287.01	334.46	543.96	262.2	470.14	392.44	212.78	265.87	246.28	194.36	473.41	85.82	105.89
ZNF277	256.78	325.29	209.84	244.57	356.05	460.44	249.73	314.17	400.71	231.32	320.8	283.05	389.72	256.78	389.72	450.94	346.29	476.71	1030.12	100.13	389.72	226.54	480.04	559.28	297.17	403.5	529.06	283.05	119.26	366.09	275.28	748.61	518.15	674.59	389.72	688.78	603.67	620.67	1225.22	693.58	547.75	679.29	1001.93	785.88	753.83	351.14	583.07
ZNF410	490.14	921.88	723.08	521.76	1225.22	866.07	748.61	1023.0	684.02	579.04	1397.83	738.29	1135.2	947.83	543.96	1023.0	1199.98	921.88	1159.07	555.41	748.61	674.59	1250.98	1135.2	620.67	753.83	748.61	872.1	583.07	848.22	813.63	1191.69	1350.18	1427.22	995.0	1159.07	1350.18	1001.93	1594.73	866.07	1216.75	1594.73	1369.04	1388.16	1008.9	373.81	420.68
ZNF484	19.53	38.67	7.11	14.24	55.89	50.98	21.47	23.93	25.35	12.45	79.45	15.0	68.55	124.37	26.1	62.56	35.76	38.4	40.64	8.19	44.89	12.09	51.35	77.79	24.81	34.75	41.81	29.06	12.0	32.36	66.18	73.03	93.35	100.13	50.98	93.35	102.97	82.29	241.19	72.52	83.45	36.01	158.79	31.9	130.6	19.53	9.7
ZNF770	54.33	96.68	73.54	54.33	314.17	376.41	75.11	332.14	103.69	103.69	435.55	90.77	181.28	212.78	156.59	215.77	123.5	223.41	163.28	92.7	137.14	109.66	281.09	379.04	151.22	99.43	291.04	137.14	49.21	155.5	260.38	473.41	429.54	620.67	211.31	473.41	651.58	890.44	1151.06	567.1	271.48	105.89	521.76	206.94	708.18	78.89	35.76
