	TCGA.A8.A07B.01A.11R.A00Z.07	GTEX.11GSP.1826.SM.5N9DQ	GTEX.11GSP.1726.SM.5A5LI	GTEX.139TU.1326.SM.5LZXW	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.CW.6087.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5470.11A.01R.1503.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.99.AA5R.01A.11R.A39D.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.55.7728.01A.11R.2187.07	TCGA.CG.5718.01A.11R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6454.11A.01R.1802.13	GTEX.13OW6.2526.SM.5IJEC	GTEX.XUZC.0726.SM.4BOPH	GTEX.13S7M.1826.SM.5RQK6	GTEX.ZYY3.1726.SM.5EGH3
SEC11A	5672.41	1304.15	2075.59	1662.49	3257.52	3395.89	3820.7	3794.3	2976.74	2609.3	3395.89	3614.55	3742.05	4210.15	3349.13	4181.07	3395.89	3515.68	4639.29	3540.14	3303.0	3982.99	3257.52	2855.44	2739.08	2720.15	2303.12	2997.45	0.91	2193.99	1551.09	2209.26	1936.53	1447.15	1991.0	2271.4	2090.03
SEC22C	1015.93	297.17	808.0	743.43	718.08	718.08	1081.39	1001.93	915.51	753.83	743.43	1199.98	872.1	947.83	909.17	947.83	915.51	769.69	988.12	808.0	738.29	780.44	848.22	785.88	698.41	684.02	616.37	819.3	138.1	438.59	291.04	555.41	665.29	529.06	529.06	435.55	341.51
SERINC4	48.87	2.2	17.13	25.35	15.34	24.46	35.5	51.71	29.48	2.71	17.77	22.75	20.86	16.51	21.32	43.02	12.74	16.88	49.21	29.48	10.96	41.22	44.57	19.25	12.64	20.41	19.68	8.32	0.05	3.96	2.2	10.63	7.22	3.26	3.86	10.47	4.94
SMAD2	1498.22	454.09	633.73	555.41	1135.2	995.0	1151.06	1340.84	1268.46	1208.34	1697.45	1617.0	1088.92	1498.22	1295.13	1437.15	1304.15	1259.69	1662.49	1378.57	921.88	1487.87	1008.9	1044.52	1096.5	1088.92	1225.22	808.0	81.14	454.09	629.35	1073.91	921.88	1051.79	567.1	915.51	974.5
SMARCA2	2664.15	718.08	1529.73	1008.9	2384.37	1674.06	3665.02	2163.77	2915.45	1662.49	2163.77	3212.66	2018.8	2502.97	2400.97	3018.3	1991.0	2758.13	2627.46	2956.17	2271.4	2451.44	2075.59	1844.76	1674.06	2075.59	2384.37	1268.46	231.32	656.11	299.25	1540.37	1008.9	518.15	713.11	842.36	329.84
SMIM19	3039.3	540.19	1242.34	1151.06	1427.22	2287.2	3060.45	1977.24	2367.9	1572.76	1447.15	2777.33	1583.71	2047.0	1950.0	2520.38	1628.26	2240.11	2400.97	1561.89	1605.83	1936.53	1977.24	1685.71	1991.0	1508.65	1662.49	1066.48	0.51	947.83	480.04	759.08	728.11	1037.29	1359.57	624.99	500.46
SNX4	769.69	154.42	303.44	260.38	642.59	1001.93	866.07	1143.1	708.18	791.35	967.76	1059.11	974.5	981.29	842.36	1127.35	1135.2	723.08	909.17	808.0	748.61	1008.9	616.37	785.88	1111.82	775.05	674.59	486.75	0.35	336.79	307.69	493.56	454.09	497.0	353.59	511.0	303.44
STAU2	5255.91	258.57	406.31	253.23	591.22	595.34	642.59	928.3	633.73	723.08	866.07	802.41	728.11	902.89	785.88	890.44	848.22	764.36	902.89	872.1	563.18	896.64	500.46	583.07	624.99	612.11	607.87	476.71	0.56	265.87	466.88	441.64	426.57	358.54	301.33	429.54	316.37
STRAP	3982.99	1733.13	1794.29	2104.58	2240.11	2319.15	2645.74	2555.58	1721.16	2075.59	2758.13	2367.9	2555.58	2451.44	2417.67	2555.58	2537.92	2537.92	2351.53	2367.9	2287.2	2956.17	1923.14	2271.4	2178.83	2119.22	2367.9	1225.22	351.14	941.27	1066.48	1359.57	1268.46	1225.22	1277.29	1651.0	1313.23
SYPL1	4066.71	2367.9	1437.15	1407.55	2816.11	2976.74	4388.98	4575.41	2997.45	2758.13	3235.01	3874.05	3901.01	4388.98	3716.2	3955.48	3303.0	3443.31	4543.8	3794.3	3060.45	4181.07	3039.3	2627.46	2835.7	3039.3	2468.49	1617.0	0.88	713.11	1457.23	1936.53	1769.57	1417.35	1427.22	1417.35	1923.14
TAF7	1991.0	884.29	1143.1	954.43	2335.28	2119.22	1639.59	2319.15	2451.44	1175.27	1733.13	2555.58	1781.89	2255.7	2075.59	2271.4	1721.16	2400.97	2351.53	2537.92	1883.54	2997.45	1199.98	1709.26	1407.55	1628.26	2104.58	1605.83	0.64	909.17	438.59	1037.29	1304.15	819.3	624.99	974.5	1259.69
TFAP2B	1662.49	32.13	0.0	0.0	312.0	503.95	802.41	1111.82	1286.18	633.73	934.76	854.13	444.72	358.54	633.73	435.55	563.18	358.54	314.17	353.59	525.39	249.73	432.53	559.28	454.09	748.61	376.41	0.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TIGD6	153.34	51.35	57.08	64.34	115.97	112.77	111.21	155.5	114.36	114.36	92.7	141.02	124.37	114.36	137.14	139.07	128.79	139.07	136.19	127.89	148.09	132.44	78.34	111.99	100.13	121.79	93.35	67.12	0.07	88.88	80.57	77.79	71.0	48.87	115.16	52.82	64.34
TIMM23	2777.33	1183.45	708.18	884.29	1781.89	1519.15	1529.73	2148.82	1073.91	1832.01	1369.04	1295.13	1745.2	1781.89	1359.57	1628.26	1437.15	1769.57	1457.23	1437.15	1685.71	1963.57	1427.22	1369.04	1447.15	1350.18	1304.15	995.0	0.38	1295.13	1119.56	1119.56	1066.48	830.75	1001.93	928.3	825.0
TMCO1	3982.99	780.44	674.59	642.59	3212.66	2835.7	4038.61	4512.4	2351.53	2915.45	3515.68	3039.3	3349.13	3564.78	2758.13	3690.52	2645.74	3146.52	3874.05	3419.52	3060.45	3794.3	2915.45	2816.11	2758.13	2502.97	2520.38	1883.54	647.07	1073.91	2468.49	1721.16	2018.8	1685.71	1437.15	1519.15	2367.9
TMEM167A	1583.71	665.29	591.22	507.46	890.44	967.76	1143.1	878.17	981.29	934.76	902.89	1378.57	1457.23	1628.26	1135.2	1340.84	1183.45	1397.83	1350.18	1216.75	1066.48	1508.65	769.69	708.18	902.89	825.0	854.13	909.17	0.56	718.08	403.5	547.75	733.19	934.76	483.38	679.29	928.3
TRUB1	511.0	102.97	78.34	61.68	289.02	361.04	476.71	473.41	381.68	341.51	457.25	599.49	392.44	490.14	450.94	536.45	447.82	373.81	500.46	414.87	305.55	543.96	236.21	318.57	361.04	351.14	279.14	153.34	93.35	84.63	256.78	232.94	112.77	148.09	195.72	82.87	81.14
TTC1	1721.16	536.45	890.44	1015.93	1242.34	1119.56	1295.13	1745.2	1059.11	1066.48	1322.37	1183.45	1407.55	1551.09	1191.69	1369.04	1378.57	1551.09	1628.26	1304.15	1447.15	1519.15	1023.0	1143.1	1135.2	1008.9	1023.0	954.43	0.18	825.0	426.57	848.22	1015.93	591.22	723.08	603.67	392.44
TTLL1	295.11	58.71	147.06	145.02	177.53	157.68	358.54	237.86	260.38	197.09	208.38	314.17	190.34	285.03	249.73	241.19	189.02	256.78	244.57	253.23	220.32	176.29	256.78	191.67	171.45	208.38	185.11	159.9	0.0	117.6	94.01	166.73	140.04	63.89	64.8	85.22	57.89
TXNDC9	954.43	273.37	241.19	229.72	698.41	559.28	647.07	866.07	551.56	624.99	651.58	665.29	723.08	1066.48	674.59	733.19	624.99	728.11	884.29	764.36	603.67	1066.48	463.65	483.38	507.46	463.65	518.15	409.15	0.0	289.02	379.04	387.02	438.59	334.46	379.04	287.01	214.27
TXNL1	2367.9	1051.79	825.0	909.17	1397.83	1447.15	2255.7	1674.06	1540.37	1159.07	1477.58	1896.65	1832.01	1896.65	1519.15	1594.73	1662.49	1909.85	1844.76	1397.83	1781.89	1639.59	1151.06	1259.69	1313.23	1359.57	1216.75	1023.0	0.64	1030.12	660.68	1183.45	1286.18	1286.18	1167.14	988.12	1081.39
UBR7	934.76	231.32	297.17	273.37	420.68	371.22	547.75	595.34	551.56	483.38	466.88	559.28	579.04	708.18	529.06	647.07	571.05	450.94	638.15	529.06	463.65	490.14	470.14	432.53	361.04	423.61	389.72	332.14	0.57	242.88	221.86	371.22	346.29	295.11	293.07	248.0	132.44
UHMK1	866.07	215.77	228.13	161.02	493.56	579.04	532.74	616.37	583.07	447.82	1111.82	1059.11	759.08	896.64	688.78	1059.11	915.51	633.73	854.13	759.08	503.95	813.63	463.65	624.99	603.67	571.05	603.67	351.14	351.14	297.17	237.86	285.03	239.52	244.57	208.38	220.32	373.81
UMOD	0.0	0.0	3.53	0.0	602247.76	443937.41	3178687.03	1318073.06	789181.81	1070607.81	565825.41	1299926.74	585779.24	301123.38	434801.29	431797.89	327241.36	422911.59	228208.61	636586.81	502929.67	267651.2	282912.21	381149.17	345900.08	641014.63	391864.76	0.0	0.0	0.0	2.56	6.84	7.57	2.66	3.14	2.46	0.0
VBP1	1628.26	395.18	438.59	406.31	802.41	860.08	1233.75	819.3	941.27	693.58	1001.93	1340.84	1135.2	1250.98	1037.29	995.0	947.83	1096.5	1088.92	1051.79	808.0	1143.1	748.61	791.35	728.11	808.0	769.69	679.29	0.59	332.14	318.57	429.54	476.71	381.68	366.09	373.81	381.68
VTCN1	2701.35	0.0	0.0	4.62	555.41	202.66	2777.33	3395.89	1519.15	1950.0	1529.73	525.39	638.15	1191.69	1059.11	1081.39	769.69	255.0	444.72	759.08	642.59	633.73	748.61	819.3	759.08	226.54	262.2	95.34	0.0	61.68	144.01	38.4	4.43	1.87	5.87	14.89	66.65
WDR25	384.34	117.6	165.57	202.66	248.0	209.84	251.48	260.38	236.21	175.07	183.82	220.32	228.13	218.79	221.86	236.21	234.57	173.85	234.57	218.79	273.37	237.86	202.66	215.77	236.21	232.94	218.79	229.72	0.35	190.34	186.4	181.28	232.94	96.68	138.1	163.28	197.09
WDR41	1322.37	397.93	476.71	297.17	511.0	511.0	599.49	642.59	599.49	518.15	791.35	624.99	521.76	753.83	540.19	791.35	629.35	486.75	684.02	603.67	575.03	780.44	441.64	473.41	389.72	353.59	529.06	409.15	0.58	258.57	151.22	392.44	457.25	291.04	183.82	329.84	543.96
WDR61	2367.9	743.43	890.44	866.07	1359.57	1427.22	2287.2	1794.29	1639.59	1331.57	1427.22	1709.26	1477.58	1662.49	1457.23	1572.76	1487.87	1498.22	1674.06	1417.35	1378.57	1457.23	1427.22	1331.57	1199.98	1286.18	1151.06	1001.93	571.05	791.35	483.38	647.07	669.92	607.87	830.75	463.65	848.22
WDR89	435.55	46.5	59.13	72.01	191.67	198.47	256.78	202.66	248.0	214.27	228.13	309.83	301.33	309.83	275.28	297.17	297.17	283.05	297.17	258.57	242.88	329.84	117.6	183.82	232.94	211.31	133.36	121.79	0.0	94.67	97.36	82.29	82.29	70.01	74.58	64.34	53.19
ZC2HC1A	1175.27	102.25	215.77	80.01	289.02	287.01	301.33	239.52	190.34	224.97	291.04	351.14	166.73	228.13	231.32	447.82	318.57	381.68	217.27	373.81	177.53	389.72	226.54	197.09	145.02	182.55	217.27	149.12	0.16	111.99	170.25	75.64	102.97	53.19	38.95	76.71	81.14
ZHX1	830.75	417.77	403.5	275.28	368.65	460.44	493.56	536.45	723.08	307.69	555.41	1037.29	551.56	624.99	518.15	698.41	624.99	480.04	642.59	503.95	363.56	688.78	389.72	403.5	503.95	438.59	420.68	303.44	3874.05	151.22	291.04	271.48	232.94	246.28	327.56	297.17	269.6
ZNF136	295.11	61.68	153.34	96.01	149.12	130.6	171.45	129.69	182.55	143.01	220.32	289.02	165.57	201.25	224.97	204.07	193.01	204.07	199.85	193.01	129.69	217.27	131.51	180.02	125.24	153.34	140.04	129.69	0.32	94.01	45.85	108.9	76.71	84.04	55.49	115.97	82.29
ZNF181	665.29	59.55	212.78	190.34	187.71	242.88	221.86	215.77	500.46	273.37	173.85	384.34	343.89	339.14	327.56	269.6	420.68	273.37	397.93	212.78	256.78	336.79	131.51	307.69	327.56	206.94	314.17	125.24	0.0	81.71	88.88	142.01	116.78	70.01	142.01	37.32	41.81
ZNF415	830.75	68.07	170.25	150.17	161.02	224.97	348.71	113.56	381.68	107.38	223.41	633.73	198.47	289.02	242.88	293.07	264.03	273.37	283.05	260.38	236.21	234.57	198.47	217.27	131.51	170.25	128.79	89.51	0.45	103.69	24.46	112.77	80.01	63.89	201.25	93.35	36.27
ZNF561	1208.34	406.31	206.94	156.59	379.04	432.53	332.14	353.59	1127.35	363.56	521.76	738.29	470.14	708.18	642.59	493.56	595.34	412.0	796.86	583.07	305.55	536.45	353.59	417.77	412.0	423.61	409.15	246.28	0.0	281.09	156.59	361.04	403.5	236.21	293.07	217.27	289.02
ZNF568	312.0	24.81	100.83	73.54	122.64	159.9	155.5	111.21	144.01	111.99	191.67	291.04	152.28	143.01	163.28	173.85	155.5	165.57	142.01	154.42	117.6	148.09	136.19	158.79	122.64	124.37	105.89	98.73	0.45	57.89	36.01	83.45	55.89	35.25	67.12	52.08	17.64
ZNF569	197.09	18.43	67.59	32.13	67.59	84.63	85.82	53.19	81.71	60.82	70.51	136.19	93.35	92.7	97.36	104.42	126.12	96.01	98.73	72.52	82.29	120.1	49.21	86.43	66.18	71.5	43.63	45.21	0.31	24.81	37.85	43.02	31.9	21.16	43.32	17.13	9.13
ZNF626	603.67	19.11	115.16	71.5	165.57	170.25	356.05	212.78	208.38	134.3	289.02	412.0	212.78	253.23	217.27	307.69	264.03	191.67	281.09	244.57	153.34	318.57	129.69	164.42	151.22	166.73	135.24	111.21	108.9	38.95	23.76	78.34	69.03	116.78	30.56	87.65	34.51
ZNF664	3665.02	414.87	713.11	575.03	1487.87	1594.73	1331.57	1651.0	1883.54	1096.5	2133.97	2739.08	1883.54	2075.59	1936.53	2335.28	2335.28	2032.85	2104.58	1844.76	1662.49	2032.85	1313.23	1583.71	1487.87	1883.54	1745.2	878.17	0.74	684.02	1427.22	1304.15	854.13	896.64	698.41	1001.93	825.0
