	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.R53T.0326.SM.48FEC	TCGA.44.A4SS.01A.11R.A24X.07	TCGA.38.4626.01A.01R.1206.07	TCGA.69.8453.01A.12R.2326.07	TCGA.55.8619.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.55.8513.01A.11R.2403.07	TCGA.55.8505.01A.11R.2403.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	TCGA.77.8007.11A.01R.2187.07
PIK3C2B	94.67	156.59	115.16	181.28	190.34	100.13	60.82	82.87	95.34	279.14	38.95	49.91	167.9	37.32	58.3	87.65	88.88	31.22	46.18	113.56	115.16	37.85	81.14	438.59	237.86	363.56	536.45	353.59	432.53	486.75	111.99	214.27	417.77	182.55	208.38
PITPNM1	412.0	567.1	190.34	507.46	497.0	271.48	161.02	64.34	182.55	170.25	134.3	117.6	327.56	164.42	75.64	92.05	256.78	119.26	140.04	102.97	115.16	135.24	136.19	753.83	460.44	547.75	961.07	480.04	1030.12	1350.18	232.94	583.07	791.35	567.1	371.22
PLEC	698.41	1151.06	1286.18	698.41	902.89	808.0	1540.37	579.04	713.11	329.84	220.32	791.35	836.53	363.56	194.36	291.04	909.17	267.73	262.2	543.96	540.19	529.06	414.87	3146.52	954.43	2163.77	1950.0	1096.5	1304.15	2133.97	381.68	575.03	4543.8	802.41	595.34
PPP2R2A	381.68	444.72	277.2	320.8	902.89	267.73	166.73	291.04	232.94	186.4	466.88	158.79	363.56	202.66	688.78	269.6	325.29	346.29	269.6	387.02	314.17	262.2	299.25	1044.52	825.0	575.03	775.05	698.41	791.35	1051.79	802.41	1143.1	1051.79	753.83	854.13
PPP4R1	463.65	567.1	373.81	368.65	470.14	351.14	426.57	336.79	363.56	363.56	406.31	295.11	444.72	182.55	305.55	215.77	314.17	123.5	181.28	289.02	239.52	176.29	264.03	1819.35	1467.37	1135.2	1135.2	1175.27	1023.0	1806.78	961.07	769.69	1277.29	934.76	1159.07
PRDM6	1.87	24.28	6.41	3.26	4.17	1.14	0.0	1.33	0.68	1.48	15.56	0.6	6.62	0.0	7.34	0.0	0.0	1.91	0.67	0.42	2.32	1.06	0.41	39.5	36.01	67.12	69.03	52.82	54.72	67.12	24.28	115.97	40.36	29.48	64.8
PRR13	11424.74	7130.55	4038.61	5006.93	7537.18	4607.24	5147.73	4671.57	4671.57	3928.15	5913.33	5594.3	5403.7	4181.07	4152.18	3515.68	11345.82	3847.29	4268.94	3212.66	4769.75	2468.49	3874.05	12943.04	5831.91	8598.28	6337.83	6792.79	6792.79	8479.89	6745.86	5954.47	6935.54	7280.4	6840.04
PTPN12	753.83	708.18	518.15	392.44	660.68	414.87	267.73	480.04	301.33	231.32	514.56	267.73	785.88	105.15	239.52	172.65	287.01	177.53	189.02	232.94	384.34	120.94	277.2	1268.46	1277.29	1259.69	1015.93	1268.46	1030.12	1794.29	1151.06	780.44	2193.99	633.73	1059.11
PXN	1233.75	1407.55	674.59	620.67	738.29	511.0	616.37	693.58	423.61	748.61	775.05	376.41	1051.79	529.06	301.33	518.15	473.41	299.25	387.02	395.18	470.14	679.29	303.44	2104.58	1844.76	2240.11	1794.29	1697.45	2133.97	2104.58	1388.16	1073.91	4769.75	1519.15	1594.73
QSOX1	1745.2	3124.78	633.73	500.46	1088.92	490.14	185.11	150.17	463.65	158.79	232.94	136.19	1216.75	1369.04	165.57	231.32	2335.28	438.59	275.28	366.09	866.07	486.75	368.65	5594.3	5555.65	6426.31	9344.14	5219.6	6935.54	6381.92	4972.34	2303.12	7331.05	23656.34	5517.27
RASEF	59.55	38.4	51.35	2.61	9.85	53.95	38.12	21.94	35.5	46.5	1.95	50.98	10.08	8.13	2.1	4.17	53.57	0.62	0.52	21.01	12.0	3.72	2.73	258.57	190.34	185.11	291.04	98.04	229.72	169.07	117.6	76.17	33.54	101.54	71.0
RASSF9	3.63	46.5	6.62	8.99	59.13	4.66	1.36	5.59	0.84	2.78	2.68	8.32	16.51	3.06	5.06	90.77	33.54	25.72	13.52	9.78	10.0	16.63	13.62	171.45	70.51	73.03	60.39	56.28	120.94	204.07	67.12	57.49	17.64	29.48	87.65
RHOBTB2	187.71	551.56	78.34	138.1	189.02	75.64	44.57	127.0	76.17	58.71	50.27	19.25	129.69	58.3	28.86	51.35	108.9	37.32	25.72	110.43	57.08	24.81	130.6	281.09	2468.49	981.29	1250.98	1769.57	1561.89	466.88	848.22	1963.57	629.35	3665.02	1417.35
RRAS	1909.85	3257.52	1051.79	1745.2	2701.35	1030.12	775.05	1183.45	1081.39	769.69	1081.39	764.36	2303.12	571.05	555.41	334.46	703.28	466.88	848.22	890.44	651.58	325.29	450.94	2777.33	1832.01	3190.46	3742.05	2935.74	2997.45	1936.53	3235.01	2004.85	4937.99	2384.37	3419.52
SDCBP2	59.13	63.0	514.56	53.57	28.24	224.97	819.3	66.18	525.39	258.57	163.28	116.78	198.47	281.09	18.84	90.14	1583.71	35.0	77.25	161.02	117.6	167.9	52.45	4095.0	281.09	1832.01	1286.18	265.87	1991.0	2835.7	101.54	205.5	785.88	214.27	314.17
SEMA7A	72.52	189.02	106.63	42.41	24.81	83.45	11.64	21.32	112.77	19.53	23.25	10.08	115.16	21.16	22.26	13.52	34.51	7.94	22.1	30.56	24.28	42.71	13.22	490.14	152.28	371.22	356.05	158.79	441.64	733.19	93.35	140.04	400.71	97.36	163.28
SEPN1	620.67	1233.75	518.15	603.67	638.15	669.92	358.54	346.29	363.56	483.38	336.79	529.06	915.51	327.56	162.14	202.66	532.74	190.34	285.03	234.57	395.18	133.36	361.04	1286.18	1498.22	1447.15	1508.65	1313.23	1143.1	1369.04	967.76	2193.99	2090.03	3467.27	1151.06
SERINC3	1417.35	1397.83	796.86	1183.45	624.99	915.51	769.69	738.29	647.07	813.63	1001.93	587.13	961.07	902.89	1066.48	974.5	819.3	1233.75	1001.93	1167.14	1572.76	698.41	1794.29	1745.2	1662.49	1340.84	1617.0	1304.15	1369.04	1388.16	1359.57	921.88	2417.67	981.29	1359.57
SFTA2	49.56	14.45	0.0	6.11	3.56	0.85	0.0	0.0	2.34	0.0	0.0	8.71	14.14	10.63	0.0	10.96	77.79	0.0	27.44	16.39	0.0	0.0	30.12	3168.41	7966.99	7749.1	6840.04	8963.45	7331.05	4769.75	17927.91	2796.65	66.18	51417.5	13586.57
SLC1A5	1268.46	1487.87	376.41	215.77	620.67	1066.48	115.97	79.45	395.18	279.14	156.59	1088.92	759.08	132.44	62.12	30.12	249.73	61.25	47.5	94.67	217.27	36.79	76.17	1572.76	2555.58	3235.01	2047.0	1259.69	1896.65	3395.89	1721.16	1519.15	1896.65	1519.15	1487.87
SLC4A11	134.3	26.86	10.31	7.69	22.59	4.31	2.39	2.03	3.41	1.64	6.06	6.78	26.28	4.35	1.01	0.0	49.56	2.16	1.1	2.94	2.27	0.89	3.92	258.57	45.85	325.29	136.19	98.73	217.27	145.02	13.83	69.52	120.1	127.0	19.39
SLMAP	476.71	381.68	239.52	248.0	412.0	249.73	236.21	301.33	211.31	264.03	241.19	215.77	336.79	87.65	255.0	232.94	148.09	171.45	176.29	159.9	220.32	180.02	199.85	872.1	466.88	525.39	547.75	400.71	595.34	713.11	457.25	285.03	785.88	231.32	397.93
SMARCC1	403.5	283.05	244.57	339.14	361.04	450.94	309.83	351.14	255.0	320.8	435.55	368.65	327.56	145.02	409.15	124.37	166.73	167.9	163.28	253.23	273.37	162.14	249.73	743.43	483.38	555.41	432.53	363.56	563.18	563.18	376.41	480.04	373.81	376.41	363.56
SPRYD3	1250.98	1088.92	915.51	563.18	599.49	738.29	603.67	435.55	559.28	583.07	583.07	555.41	775.05	384.34	559.28	183.82	371.22	303.44	429.54	457.25	435.55	214.27	450.94	1259.69	836.53	1135.2	915.51	629.35	1127.35	1073.91	748.61	1015.93	532.74	1561.89	638.15
SPSB2	674.59	406.31	141.02	301.33	400.71	285.03	241.19	127.0	212.78	334.46	162.14	289.02	267.73	59.55	183.82	126.12	239.52	52.82	195.72	123.5	73.03	95.34	55.1	1008.9	295.11	551.56	476.71	327.56	435.55	934.76	483.38	264.03	131.51	169.07	387.02
SRPX2	25.17	113.56	157.68	85.22	120.94	91.41	11.21	23.08	75.64	14.67	14.03	49.91	129.69	37.32	29.06	5.02	54.33	10.31	14.45	11.21	47.17	6.21	14.56	842.36	265.87	185.11	150.17	281.09	158.79	514.56	87.65	603.67	182.55	651.58	232.94
TGFBR2	1066.48	1437.15	529.06	503.95	480.04	400.71	389.72	429.54	373.81	234.57	483.38	116.78	1111.82	277.2	473.41	316.37	497.0	366.09	346.29	525.39	878.17	242.88	642.59	961.07	2400.97	2004.85	2018.8	1977.24	2018.8	890.44	2384.37	1467.37	2193.99	463.65	2451.44
TINAGL1	5791.62	2537.92	287.01	332.14	84.04	221.86	158.79	267.73	351.14	147.06	211.31	189.02	629.35	392.44	148.09	237.86	638.15	177.53	191.67	587.13	441.64	162.14	466.88	4268.94	1183.45	3395.89	1963.57	1216.75	1733.13	1977.24	633.73	563.18	3794.3	400.71	974.5
TLR6	51.35	59.97	11.91	11.55	30.78	8.25	20.71	10.39	3.89	13.32	4.03	7.82	31.22	1.91	31.0	1.68	20.71	2.81	23.59	8.51	8.85	23.42	7.4	116.78	45.53	42.41	58.71	75.11	68.55	64.34	67.59	129.69	31.67	35.5	67.12
TM4SF1	1378.57	2018.8	1977.24	1051.79	5183.54	2976.74	928.3	329.84	2627.46	1651.0	463.65	1216.75	2573.36	346.29	902.89	591.22	1487.87	231.32	381.68	748.61	802.41	169.07	674.59	9474.59	5479.15	13968.57	6337.83	4802.93	5995.9	9945.68	5751.61	3639.7	9876.98	1857.6	8305.36
TMBIM1	3325.99	4038.61	2935.74	3690.52	2720.15	4937.99	2875.3	3303.0	3491.39	5995.9	3928.15	1844.76	3847.29	2319.15	1757.34	1540.37	1806.78	1769.57	2816.11	2319.15	2303.12	1151.06	2163.77	7433.4	5041.77	7695.57	8247.98	4671.57	5594.3	6652.97	4869.99	3690.52	14262.1	3564.78	4937.99
TMEM165	1167.14	1008.9	785.88	514.56	1498.22	599.49	450.94	323.03	525.39	366.09	165.57	406.31	1037.29	112.77	320.8	105.89	599.49	148.09	241.19	251.48	224.97	186.4	187.71	2573.36	2555.58	2224.63	2319.15	1936.53	2417.67	2178.83	3146.52	1467.37	3928.15	2384.37	3060.45
TMEM184B	616.37	753.83	476.71	356.05	503.95	397.93	293.07	571.05	303.44	320.8	336.79	373.81	555.41	172.65	208.38	111.21	255.0	108.14	181.28	186.4	177.53	87.03	178.77	915.51	1191.69	1167.14	1286.18	974.5	1008.9	1350.18	651.58	981.29	2119.22	802.41	764.36
TMEM87B	153.34	187.71	131.51	102.97	140.04	121.79	52.82	91.41	100.13	73.54	68.07	68.07	190.34	55.1	70.01	32.13	77.25	43.94	54.72	75.11	77.25	50.63	67.12	540.19	343.89	409.15	607.87	320.8	447.82	420.68	281.09	343.89	287.01	141.02	277.2
TNFRSF10A	108.14	82.29	117.6	119.26	153.34	29.48	113.56	70.01	49.21	37.85	48.18	57.49	149.12	35.76	139.07	38.67	56.28	35.5	63.0	76.71	81.14	60.82	255.0	318.57	223.41	221.86	229.72	159.9	186.4	199.85	109.66	353.59	165.57	95.34	172.65
TNFRSF10B	1268.46	733.19	616.37	769.69	1721.16	320.8	371.22	947.83	351.14	575.03	1073.91	193.01	514.56	603.67	878.17	334.46	1008.9	884.29	733.19	529.06	429.54	909.17	551.56	1950.0	1397.83	1233.75	1167.14	1008.9	1096.5	1870.53	624.99	1286.18	1199.98	1697.45	1119.56
TPM3	5672.41	6745.86	4704.07	5594.3	6652.97	6652.97	3419.52	6207.38	4239.45	2335.28	4972.34	4450.27	6607.01	2047.0	2119.22	2240.11	4095.0	2193.99	2178.83	3190.46	4543.8	1407.55	3168.41	10014.87	10733.74	9540.5	8191.0	6250.56	7180.15	7280.4	10808.41	8658.09	15499.21	5954.47	8658.09
TRIM47	2287.2	1936.53	738.29	728.11	426.57	842.36	170.25	813.63	429.54	587.13	119.26	1508.65	1286.18	463.65	42.11	129.69	1628.26	85.82	87.03	447.82	403.5	473.41	332.14	2739.08	1135.2	1508.65	1135.2	1350.18	1350.18	1437.15	764.36	1794.29	1268.46	1111.82	1127.35
TRIM62	70.01	73.54	44.25	37.05	46.5	53.95	41.81	35.5	47.17	54.33	13.93	39.79	44.89	17.13	22.75	15.11	62.56	12.45	26.86	35.76	31.45	14.56	27.44	96.68	101.54	101.54	131.51	90.77	83.45	94.67	48.52	54.33	96.01	68.55	89.51
TUBA4A	1417.35	1167.14	2075.59	3280.18	3690.52	3235.01	1605.83	974.5	2384.37	981.29	759.08	2758.13	2061.24	884.29	1304.15	764.36	3639.7	896.64	1388.16	3443.31	947.83	293.07	1936.53	4704.07	1350.18	2537.92	2451.44	1191.69	1651.0	5147.73	1757.34	1540.37	2835.7	3190.46	1745.2
TUBB3	1295.13	438.59	57.08	84.04	59.97	44.89	10.47	4.78	28.65	9.85	9.93	13.12	138.1	8.85	4.7	2.61	44.89	1.23	9.93	4.39	2.23	1.28	2.58	3467.27	884.29	669.92	555.41	518.15	217.27	2104.58	140.04	1721.16	58.71	466.88	698.41
TXNDC9	497.0	426.57	389.72	521.76	743.43	563.18	312.0	363.56	486.75	273.37	307.69	457.25	591.22	140.04	316.37	281.09	435.55	215.77	269.6	400.71	303.44	209.84	389.72	708.18	624.99	483.38	438.59	514.56	476.71	878.17	974.5	748.61	206.94	536.45	934.76
UBAP2L	1359.57	1359.57	1417.35	1369.04	1936.53	2148.82	1037.29	2701.35	1457.23	1628.26	2434.5	1685.71	1331.57	525.39	1208.34	559.28	1551.09	343.89	587.13	808.0	703.28	785.88	1066.48	2997.45	2537.92	2163.77	2335.28	2032.85	2451.44	2075.59	1331.57	1359.57	3690.52	1697.45	1605.83
UNC13D	379.04	486.75	199.85	88.26	79.45	102.97	69.03	49.21	85.22	38.95	55.1	87.65	454.09	65.72	277.2	126.12	92.05	108.9	248.0	63.89	102.97	1127.35	61.68	1081.39	660.68	1127.35	1233.75	1081.39	819.3	1127.35	463.65	620.67	1015.93	2400.97	1001.93
VASP	1313.23	1857.6	1397.83	934.76	1883.54	1540.37	703.28	974.5	1037.29	616.37	909.17	1208.34	1857.6	567.1	529.06	336.79	1175.27	289.02	612.11	825.0	591.22	325.29	665.29	2976.74	2335.28	3928.15	3060.45	2209.26	2018.8	3280.18	1832.01	3146.52	3794.3	3690.52	2335.28
VDR	69.03	119.26	71.0	39.22	14.56	78.34	49.56	39.22	19.82	5.32	6.52	6.52	94.01	8.19	18.16	6.11	46.84	9.34	7.11	16.51	2.78	4.21	8.65	457.25	511.0	291.04	312.0	273.37	307.69	221.86	190.34	921.88	309.83	961.07	293.07
VILL	128.79	112.77	41.52	37.05	7.17	29.7	18.43	27.84	50.27	23.59	39.22	15.56	78.34	21.47	17.38	15.11	12.64	4.13	34.02	23.76	43.94	34.51	16.88	1119.56	260.38	2997.45	1427.22	206.94	1991.0	684.02	147.06	607.87	78.89	1594.73	279.14
WFDC10B	1.48	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71	0.0	0.0	0.0	0.0	0.0	0.0	21.94	13.72	16.63	5.23	26.67	47.5	23.08	14.45	9.2	2.71	145.02	18.43
WFDC3	125.24	52.82	9.2	6.78	27.84	3.69	5.41	0.0	7.22	12.64	29.27	3.5	9.78	18.7	0.0	4.06	34.51	6.78	16.75	8.45	28.24	8.45	9.78	764.36	231.32	199.85	303.44	329.84	164.42	312.0	13.22	69.03	25.35	571.05	176.29
ZDHHC18	277.2	432.53	309.83	186.4	480.04	363.56	323.03	358.54	161.02	438.59	312.0	432.53	379.04	281.09	476.71	361.04	162.14	429.54	366.09	351.14	267.73	902.89	281.09	1242.34	497.0	480.04	579.04	450.94	490.14	988.12	441.64	269.6	703.28	358.54	435.55
ZNF532	166.73	334.46	98.73	91.41	108.14	113.56	37.85	28.86	47.5	78.34	34.02	58.3	165.57	10.55	11.91	16.51	34.02	15.68	22.26	13.52	37.59	17.77	15.68	480.04	435.55	332.14	426.57	373.81	414.87	665.29	173.85	291.04	332.14	277.2	297.17
