	TCGA.FJ.A871.01A.11R.A352.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.38.4625.01A.01R.1206.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.WH7G.0526.SM.3NMBI	GTEX.OIZI.0726.SM.2XCEI	GTEX.OHPM.2626.SM.33HC5	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.YF7O.0726.SM.4W213	GTEX.XUJ4.0726.SM.4BOOP	GTEX.T6MO.0226.SM.32QOL	GTEX.12WSJ.0326.SM.5GCMT	GTEX.117YX.1226.SM.5H11S	GTEX.T8EM.0226.SM.3DB7C	TCGA.N9.A4Q7.01A.11R.A28V.07
NAB1	205.5	189.02	205.5	0.0	723.08	603.67	1008.9	825.0	460.44	351.14	417.77	656.11	728.11	490.14	616.37	417.77	444.72	591.22	493.56	665.29	642.59	164.42
NCKAP1	376.41	457.25	318.57	902.89	2287.2	1709.26	2591.27	4038.61	1322.37	1313.23	1457.23	1487.87	1721.16	1073.91	1277.29	1437.15	1340.84	2255.7	1242.34	1594.73	1733.13	346.29
NDFIP1	497.0	518.15	1008.9	0.0	3103.19	3372.43	4066.71	3349.13	2627.46	2875.3	3665.02	3146.52	3349.13	2104.58	2485.67	2777.33	2895.31	3614.55	2255.7	2895.31	3901.01	470.14
NECAB1	44.89	12.27	9.78	0.0	182.55	176.29	155.5	269.6	41.52	50.63	101.54	165.57	256.78	36.53	69.03	154.42	70.01	187.71	31.22	220.32	110.43	2.81
NEK4	85.82	64.8	91.41	0.0	403.5	309.83	447.82	454.09	299.25	244.57	312.0	356.05	473.41	241.19	251.48	314.17	248.0	301.33	232.94	339.14	417.77	54.33
NFXL1	59.55	55.89	42.41	0.0	312.0	283.05	264.03	368.65	159.9	194.36	249.73	249.73	397.93	237.86	242.88	307.69	171.45	295.11	236.21	281.09	255.0	148.09
NOC3L	189.02	74.58	64.8	0.0	376.41	295.11	414.87	242.88	214.27	241.19	289.02	316.37	341.51	265.87	301.33	234.57	229.72	329.84	202.66	312.0	353.59	150.17
ORC2	158.79	116.78	72.52	248.0	483.38	327.56	356.05	366.09	287.01	450.94	356.05	409.15	490.14	366.09	348.71	320.8	248.0	447.82	329.84	358.54	336.79	212.78
PAPOLA	1044.52	842.36	718.08	0.0	2351.53	1745.2	2133.97	2287.2	1551.09	1369.04	1605.83	1883.54	2018.8	1628.26	1639.59	1721.16	1594.73	1781.89	1561.89	1769.57	2004.85	1175.27
PARD6G	301.33	511.0	54.72	0.0	684.02	775.05	529.06	651.58	480.04	395.18	547.75	511.0	679.29	353.59	406.31	591.22	438.59	521.76	339.14	483.38	356.05	165.57
