	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A50L.01A.11R.A260.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.IG.A51D.01A.11R.A36D.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.IG.A3Y9.01A.12R.A24K.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.SNMC.0526.SM.4DM69	GTEX.ZTSS.0626.SM.59867	GTEX.V1D1.1026.SM.4JBHE	GTEX.11P7K.1326.SM.5BC5G	GTEX.NFK9.1126.SM.3LK78	GTEX.131XE.1426.SM.5HL7V	GTEX.Y3IK.1126.SM.51MSV	GTEX.1399R.0826.SM.5IJEL	GTEX.14BMU.0926.SM.5S2QB	GTEX.VJYA.0726.SM.4KL1T	GTEX.RN64.1026.SM.48FDX	GTEX.14AS3.0626.SM.5QGQD	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
SIGLEC7	8.0	12.09	194.36	50.98	38.4	142.01	47.17	11.91	42.41	55.1	27.84	69.52	57.89	82.29	18.29	51.35	65.26	82.87	63.0	22.75	10.24	1.58	7.0	7.46	0.0	13.62	8.06	4.94	22.43	5.06	1.46	3.06	13.52	13.22
SIGLEC9	4.46	9.48	201.25	46.84	38.95	103.69	37.85	13.03	31.22	65.72	16.39	55.1	26.47	80.01	10.63	33.54	29.06	69.52	67.12	6.73	11.73	6.26	5.02	2.27	3.89	4.98	3.03	6.06	28.45	7.34	2.68	2.92	14.67	18.56
TIMP1	2645.74	3690.52	23986.58	22692.63	3146.52	56265.94	5672.41	6792.79	35609.13	19482.97	3742.05	9344.14	14971.21	13586.57	2224.63	7433.4	13399.51	4419.52	5292.48	1733.13	3018.3	599.49	878.17	500.46	1030.12	1397.83	1991.0	1427.22	4268.94	1135.2	1059.11	836.53	1529.73	848.22
TLR8	0.01	4.28	66.18	12.18	10.55	23.93	15.8	1.66	8.13	13.52	8.45	11.55	15.34	13.52	10.55	14.89	11.91	17.25	12.83	3.38	11.38	1.5	1.35	3.0	1.31	2.92	1.57	2.14	18.03	1.62	0.0	1.95	4.39	8.65
TNFRSF12A	759.08	303.44	1268.46	2573.36	117.6	1651.0	299.25	1199.98	1208.34	1397.83	1286.18	3280.18	2701.35	3081.75	59.97	1225.22	2047.0	1551.09	1757.34	256.78	470.14	239.52	148.09	123.5	163.28	260.38	155.5	239.52	2935.74	748.61	201.25	336.79	1378.57	392.44
TNFRSF1B	37.59	176.29	603.67	191.67	195.72	327.56	262.2	63.45	193.01	262.2	201.25	343.89	312.0	183.82	123.5	392.44	305.55	205.5	441.64	121.79	167.9	65.26	72.52	71.0	118.43	122.64	71.0	153.34	312.0	82.87	36.79	60.39	68.55	147.06
TRIM15	124.37	50.98	6.26	3.38	5.68	6.89	34.02	14.67	76.71	0.0	8.0	15.34	49.21	14.14	0.0	52.45	59.55	7.51	15.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	15.91	1.06	0.0	0.0	1.81	0.0
TWIST2	85.82	1467.37	146.03	98.73	65.72	279.14	107.38	41.81	105.15	100.13	60.82	110.43	171.45	215.77	46.5	65.72	98.73	201.25	341.51	48.52	47.84	24.63	23.76	8.38	31.22	10.96	52.45	59.13	165.57	9.06	27.25	36.27	69.03	78.34
TYROBP	460.44	1088.92	5292.48	2090.03	1617.0	5006.93	1806.78	1208.34	3395.89	4152.18	1044.52	4066.71	3847.29	4066.71	1233.75	1977.24	2271.4	3443.31	2090.03	698.41	669.92	218.79	281.09	187.71	283.05	647.07	426.57	575.03	967.76	423.61	90.77	167.9	669.92	1037.29
VASP	1447.15	909.17	1313.23	1457.23	1015.93	2193.99	1977.24	1216.75	1745.2	2255.7	1529.73	1617.0	1427.22	2004.85	703.28	3018.3	3955.48	2915.45	1832.01	1159.07	1407.55	836.53	1008.9	607.87	1051.79	890.44	738.29	974.5	1936.53	848.22	961.07	791.35	1088.92	1037.29
VCAN	126.12	195.72	2224.63	1015.93	80.01	1857.6	185.11	106.63	591.22	152.28	176.29	543.96	214.27	915.51	22.92	47.17	1594.73	511.0	293.07	18.03	100.83	25.17	38.12	19.39	50.98	21.16	33.3	52.08	185.11	59.97	51.71	41.52	31.67	49.91
