	GTEX.145MN.0326.SM.5QGQI	GTEX.R55G.0826.SM.2TC5U	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A2MX.11C.11R.A23N.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.11ZTS.1126.SM.5LU9X	GTEX.14E6C.2626.SM.5RQJP	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.148VJ.0726.SM.5LU8J	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.14753.0926.SM.5Q5BI	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.139YR.1226.SM.5IFEU	GTEX.XUW1.1026.SM.4BONY	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.RWSA.0826.SM.2XCBF	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13QJC.0826.SM.5RQKC	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13PVQ.0726.SM.5L3GI	GTEX.11UD2.0626.SM.5GU6L	GTEX.13W46.0926.SM.5LU3T	GTEX.ZYT6.0426.SM.5GID3	GTEX.XBEW.0126.SM.4AT66	GTEX.13VXU.0826.SM.5KLZ2	GTEX.13O3P.0726.SM.5J2OM	GTEX.Z9EW.0226.SM.5CVM7	GTEX.V1D1.0926.SM.4JBHQ
PRKAR2A	397.93	599.49	289.02	202.66	191.67	218.79	204.07	503.95	417.77	287.01	414.87	309.83	332.14	438.59	325.29	226.54	289.02	307.69	423.61	161.02	214.27	258.57	217.27	279.14	483.38	229.72	397.93	316.37	283.05	239.52	301.33	318.57	460.44	361.04	384.34	220.32	314.17	406.31	432.53	435.55	384.34	432.53	234.57	223.41	237.86	450.94	414.87	229.72	291.04	403.5	226.54	237.86	460.44	325.29	279.14	205.5	395.18	387.02	265.87	301.33	368.65	339.14	289.02	371.22	332.14	281.09	529.06	376.41	320.8	371.22	226.54	358.54	291.04	341.51	417.77	281.09	220.32	287.01	295.11	180.02	169.07	223.41	309.83	256.78	414.87	215.77	412.0	205.5
PSAP	42641.37	81244.48	14163.58	9673.69	11345.82	12076.21	12589.08	19482.97	23656.34	16157.44	15285.81	19892.37	17317.18	21320.18	23820.89	12244.81	18178.19	15499.21	23169.48	19754.96	10154.69	9876.98	5633.22	15607.02	17681.08	12244.81	22380.2	16843.62	11424.74	17317.18	16843.62	16383.0	16960.78	23986.58	20170.07	5995.9	23820.89	20170.07	18431.96	16727.26	18052.61	21468.49	24660.96	18178.19	14262.1	19482.97	25354.3	9344.14	14065.74	19482.97	12502.12	11827.67	27174.14	11664.82	13399.51	14262.1	18689.27	19482.97	12853.63	11112.3	15499.21	15075.35	13306.94	18560.17	16269.83	17437.64	20737.16	17437.64	14163.58	20737.16	9606.86	19892.37	14163.58	18950.18	18950.18	10585.95	15180.22	18950.18	13492.72	10959.3	9945.68	7537.18	17804.06	11189.6	25708.25	10296.45	18560.17	11584.24
PTGR1	4937.99	2739.08	866.07	967.76	830.75	1167.14	738.29	1359.57	1088.92	1104.13	486.75	748.61	571.05	1242.34	1037.29	490.14	1111.82	1111.82	1397.83	536.45	575.03	684.02	348.71	878.17	1819.35	723.08	1295.13	1286.18	656.11	941.27	1104.13	1051.79	1286.18	1313.23	1378.57	358.54	961.07	1151.06	1135.2	1259.69	1304.15	1081.39	954.43	748.61	902.89	995.0	1605.83	373.81	703.28	1295.13	813.63	624.99	1844.76	802.41	718.08	808.0	941.27	974.5	830.75	384.34	1350.18	1159.07	587.13	967.76	1059.11	624.99	995.0	872.1	947.83	1081.39	599.49	1594.73	277.2	967.76	1159.07	665.29	928.3	934.76	1242.34	507.46	426.57	563.18	836.53	1199.98	981.29	769.69	1250.98	693.58
PTPLAD1	3081.75	1896.65	1191.69	896.64	902.89	1331.57	974.5	2018.8	1806.78	1457.23	1388.16	1674.06	1529.73	1572.76	1369.04	967.76	1369.04	1540.37	1487.87	1268.46	733.19	674.59	629.35	988.12	2271.4	872.1	1286.18	1427.22	1304.15	1023.0	902.89	1066.48	1883.54	1685.71	1457.23	583.07	1467.37	1628.26	1561.89	1594.73	1268.46	1781.89	934.76	842.36	1216.75	1685.71	1350.18	796.86	1259.69	1721.16	1051.79	1304.15	1651.0	1388.16	1225.22	872.1	1594.73	1832.01	1286.18	890.44	1709.26	1857.6	1119.56	1313.23	1467.37	1175.27	1857.6	2502.97	2209.26	1639.59	759.08	1519.15	981.29	1417.35	1437.15	854.13	1277.29	1051.79	1340.84	660.68	988.12	785.88	1159.07	1096.5	1685.71	981.29	1950.0	860.08
RAB2A	3515.68	2796.65	1832.01	1977.24	1437.15	2004.85	2133.97	2502.97	3419.52	2163.77	2835.7	2520.38	2664.15	2895.31	2997.45	2004.85	2485.67	2178.83	3235.01	2047.0	1304.15	1757.34	1844.76	2468.49	3212.66	1977.24	2855.44	2400.97	2224.63	2133.97	2061.24	1991.0	2935.74	2224.63	2682.69	1407.55	2796.65	2400.97	2935.74	2720.15	2335.28	2701.35	1936.53	1923.14	2148.82	2664.15	2485.67	1936.53	2287.2	2895.31	1697.45	2451.44	3081.75	1977.24	2271.4	2119.22	2758.13	2209.26	2133.97	1819.35	2645.74	2796.65	1950.0	2209.26	2720.15	2537.92	2855.44	2591.27	2645.74	2956.17	1909.85	2835.7	1963.57	2555.58	2520.38	1561.89	1923.14	2400.97	2367.9	1709.26	1583.71	1651.0	2193.99	1806.78	3103.19	2104.58	2682.69	1551.09
RAB7A	6207.38	7433.4	4181.07	4869.99	3639.7	5366.37	5112.16	4903.87	4903.87	5112.16	4671.57	5441.3	5403.7	5633.22	5403.7	4038.61	5594.3	4607.24	4639.29	4268.94	2816.11	2997.45	3589.58	3955.48	5112.16	3768.09	5872.48	4704.07	4575.41	3874.05	4769.75	4328.55	5076.84	4736.79	5403.7	2875.3	5292.48	5366.37	5711.87	5403.7	5006.93	6250.56	3716.2	3982.99	4298.64	5255.91	4181.07	3303.0	4419.52	5441.3	3515.68	4239.45	6561.36	4450.27	4639.29	3794.3	5711.87	4869.99	5112.16	4066.71	4836.35	4972.34	3901.01	5112.16	5255.91	4268.94	5076.84	4152.18	4268.94	6516.03	3443.31	5441.3	4704.07	5076.84	4903.87	3665.02	3955.48	4419.52	4066.71	4575.41	3443.31	3168.41	4358.66	3955.48	4671.57	3235.01	5517.27	3614.55
RBBP4	3103.19	3955.48	2520.38	1242.34	1806.78	1397.83	1529.73	2591.27	2835.7	2061.24	2133.97	2485.67	2367.9	2520.38	2609.3	1781.89	2816.11	2255.7	2319.15	1697.45	1369.04	1233.75	1674.06	1781.89	2835.7	2004.85	2502.97	2502.97	1963.57	1487.87	1781.89	2163.77	2796.65	2417.67	2163.77	1417.35	2061.24	2468.49	2451.44	2335.28	2351.53	2520.38	1437.15	1447.15	1662.49	2664.15	2018.8	1369.04	2075.59	2417.67	1896.65	1832.01	3190.46	1781.89	1870.53	1674.06	2335.28	2816.11	2502.97	1685.71	1909.85	2537.92	1857.6	2400.97	2417.67	2335.28	2935.74	2255.7	1369.04	2573.36	1350.18	2591.27	1844.76	2555.58	2351.53	1794.29	1794.29	1936.53	1662.49	1331.57	1651.0	1378.57	1721.16	1540.37	2255.7	1340.84	2895.31	1540.37
SELT	3901.01	4671.57	2335.28	1870.53	1745.2	2163.77	2255.7	2855.44	2739.08	2573.36	2520.38	2682.69	2627.46	2796.65	3212.66	1963.57	2351.53	2178.83	2935.74	2240.11	1551.09	1151.06	1417.35	2240.11	2351.53	2367.9	2555.58	2502.97	2090.03	1896.65	1896.65	2075.59	2758.13	2935.74	2720.15	1286.18	2502.97	2351.53	2520.38	2537.92	2209.26	3081.75	2193.99	2287.2	1857.6	2335.28	2400.97	1417.35	2319.15	2895.31	1844.76	2193.99	2997.45	2319.15	2224.63	1605.83	2591.27	2627.46	2240.11	1617.0	2935.74	2956.17	1857.6	2224.63	2451.44	2224.63	2739.08	2502.97	2555.58	2796.65	1286.18	2956.17	1950.0	2400.97	2351.53	1806.78	1909.85	2148.82	2384.37	1857.6	1781.89	1662.49	2193.99	1870.53	3018.3	1709.26	2609.3	1447.15
SLC44A1	896.64	1388.16	638.15	480.04	454.09	642.59	616.37	1295.13	1044.52	1143.1	1015.93	1051.79	1286.18	1073.91	928.3	679.29	1175.27	1295.13	1304.15	607.87	412.0	543.96	389.72	406.31	1295.13	718.08	1199.98	511.0	1015.93	629.35	1023.0	1208.34	1498.22	1051.79	819.3	356.05	693.58	733.19	1295.13	791.35	995.0	796.86	780.44	642.59	1151.06	1088.92	884.29	633.73	1059.11	981.29	423.61	532.74	1183.45	878.17	791.35	473.41	780.44	748.61	813.63	825.0	743.43	559.28	651.58	1199.98	1183.45	536.45	1059.11	1008.9	583.07	1721.16	392.44	1059.11	642.59	884.29	633.73	848.22	595.34	941.27	1216.75	392.44	361.04	511.0	693.58	603.67	981.29	688.78	1216.75	429.54
SNX12	1457.23	1407.55	796.86	713.11	633.73	813.63	733.19	1051.79	1044.52	1008.9	1037.29	884.29	967.76	1030.12	1088.92	743.43	961.07	1104.13	1119.56	854.13	651.58	723.08	540.19	866.07	1051.79	728.11	928.3	988.12	890.44	995.0	878.17	819.3	954.43	1037.29	1030.12	454.09	1081.39	1199.98	954.43	808.0	981.29	1015.93	981.29	1051.79	802.41	1167.14	1059.11	674.59	860.08	1037.29	796.86	738.29	1111.82	866.07	974.5	825.0	941.27	1127.35	884.29	748.61	1015.93	974.5	780.44	825.0	995.0	825.0	988.12	915.51	890.44	1001.93	890.44	995.0	688.78	954.43	915.51	674.59	915.51	769.69	1008.9	688.78	536.45	679.29	909.17	785.88	1015.93	633.73	878.17	669.92
SUCLG2	2758.13	4066.71	954.43	836.53	529.06	780.44	660.68	1023.0	1572.76	775.05	1225.22	995.0	1030.12	1167.14	1350.18	708.18	1001.93	872.1	1369.04	866.07	642.59	665.29	387.02	1008.9	1498.22	603.67	995.0	1066.48	860.08	1023.0	1111.82	785.88	967.76	860.08	941.27	525.39	1242.34	1008.9	896.64	1183.45	1051.79	1030.12	802.41	934.76	1135.2	1073.91	1250.98	703.28	775.05	1111.82	684.02	915.51	1268.46	665.29	902.89	860.08	878.17	808.0	848.22	638.15	1259.69	1104.13	836.53	854.13	1015.93	988.12	1073.91	1073.91	1015.93	1175.27	780.44	1001.93	612.11	1135.2	1225.22	559.28	836.53	995.0	1001.93	514.56	406.31	575.03	813.63	759.08	1191.69	656.11	884.29	591.22
TG	39.5	60.82	1085552.95	932018.1	894051.48	906531.99	881742.8	1364554.84	2068278.89	1163466.92	1452391.55	2247670.86	2126426.15	1327240.99	1751305.3	1273174.62	1273174.62	1503610.06	2375828.71	2111737.85	569761.05	437825.58	419990.32	1611529.43	1204496.53	1204496.53	1611529.43	1299926.74	1308968.45	1622738.51	1493223.86	1739208.14	1634025.56	1838374.44	1997825.68	190574.09	1535204.12	1984025.69	1336472.68	1273174.62	1997825.68	1290947.48	1984025.69	2986448.72	1472666.19	2025714.3	2425749.94	459592.86	1402917.72	1929772.37	906531.99	1299926.74	828417.36	971597.0	1943195.01	1048575.0	1727194.55	1355129.16	1336472.68	757033.75	2636147.11	2263304.65	1229805.58	1775752.63	2111737.85	1691649.38	1668359.93	1800541.22	3178687.03	3886391.01	789181.81	1645391.11	1055868.42	1622738.51	2263304.65	253213.41	1282030.25	1535204.12	2672946.37	783730.52	589853.66	107948.72	1864037.21	778316.89	1634025.56	237899.7	1402917.72	197294.7
TM9SF1	1963.57	1896.65	1467.37	1143.1	1427.22	1304.15	1268.46	2163.77	1781.89	1457.23	1594.73	1697.45	1594.73	1844.76	1950.0	1250.98	1721.16	1191.69	1709.26	1191.69	860.08	780.44	842.36	1233.75	1977.24	1304.15	1685.71	1674.06	1233.75	1127.35	1277.29	1529.73	1769.57	1806.78	1936.53	748.61	1583.71	1697.45	1697.45	1529.73	1583.71	1950.0	1447.15	1304.15	1096.5	1806.78	1572.76	825.0	1561.89	1977.24	1268.46	1313.23	2133.97	1340.84	1487.87	988.12	1697.45	1909.85	1322.37	1111.82	1721.16	1832.01	1268.46	1709.26	1697.45	1369.04	1806.78	2004.85	1551.09	1617.0	890.44	2047.0	1216.75	1529.73	1651.0	1059.11	1417.35	1529.73	1304.15	1167.14	1059.11	981.29	1437.15	1216.75	1909.85	1073.91	1896.65	1159.07
TM9SF2	4066.71	3742.05	1709.26	1388.16	1883.54	1594.73	1697.45	2976.74	3103.19	2335.28	2816.11	2777.33	2875.3	2796.65	2777.33	1936.53	2701.35	2287.2	3303.0	1936.53	1331.57	1340.84	1250.98	2047.0	4038.61	1963.57	2645.74	2976.74	2271.4	1977.24	2319.15	2119.22	3614.55	2816.11	2701.35	1183.45	2645.74	2645.74	2758.13	2573.36	2537.92	2875.3	1977.24	1977.24	2032.85	2855.44	2627.46	1457.23	2417.67	2777.33	1806.78	2224.63	3467.27	2119.22	2255.7	1662.49	2591.27	2627.46	2209.26	1605.83	2997.45	3257.52	1883.54	2384.37	2855.44	2163.77	3467.27	3665.02	2796.65	2915.45	1233.75	3060.45	1936.53	2701.35	2400.97	1674.06	2573.36	2148.82	2119.22	1447.15	1216.75	1407.55	2061.24	1857.6	3146.52	1561.89	3018.3	1605.83
TMCO1	4543.8	2976.74	2609.3	1733.13	2178.83	2047.0	2555.58	3190.46	3257.52	2520.38	2335.28	2796.65	2537.92	2855.44	3768.09	2178.83	2895.31	2384.37	3716.2	1977.24	1407.55	1286.18	1498.22	2627.46	4328.55	2434.5	2976.74	2701.35	2209.26	2271.4	1950.0	2090.03	3349.13	2956.17	2682.69	1295.13	2739.08	2645.74	2627.46	2855.44	2739.08	3280.18	2417.67	2645.74	1923.14	3018.3	3349.13	1350.18	2627.46	3372.43	1794.29	2178.83	3614.55	2287.2	2224.63	1757.34	2796.65	2935.74	2434.5	1709.26	3589.58	3589.58	2178.83	2537.92	2796.65	2255.7	2956.17	3146.52	2701.35	2915.45	1487.87	3124.78	1617.0	2835.7	2451.44	1662.49	2335.28	2520.38	2816.11	1794.29	1745.2	1662.49	2351.53	1991.0	3325.99	1628.26	2816.11	1769.57
TMEM127	1832.01	1359.57	567.1	525.39	547.75	591.22	521.76	890.44	819.3	708.18	733.19	909.17	764.36	954.43	872.1	503.95	791.35	848.22	684.02	607.87	532.74	559.28	497.0	579.04	890.44	559.28	791.35	884.29	525.39	587.13	674.59	860.08	796.86	866.07	878.17	420.68	802.41	813.63	733.19	764.36	718.08	995.0	723.08	490.14	612.11	842.36	748.61	438.59	703.28	808.0	571.05	591.22	1008.9	728.11	708.18	595.34	785.88	866.07	819.3	490.14	607.87	796.86	620.67	764.36	780.44	674.59	947.83	915.51	638.15	890.44	486.75	995.0	642.59	665.29	854.13	599.49	718.08	698.41	684.02	583.07	624.99	674.59	616.37	599.49	791.35	525.39	830.75	575.03
TRAM1	5913.33	10084.54	2664.15	1498.22	1427.22	1757.34	1794.29	4123.49	4450.27	2609.3	3982.99	2875.3	3039.3	3716.2	2664.15	2271.4	2758.13	2163.77	3515.68	1977.24	1051.79	1662.49	2104.58	2537.92	6699.25	3168.41	3491.39	3303.0	2895.31	2240.11	2271.4	2061.24	5403.7	3168.41	2976.74	1340.84	3124.78	2835.7	3168.41	3060.45	2609.3	3212.66	2032.85	2018.8	2468.49	4066.71	2591.27	1628.26	2701.35	3515.68	1417.35	2384.37	4802.93	2875.3	1857.6	1909.85	3190.46	3847.29	2417.67	2303.12	3716.2	3982.99	2090.03	2997.45	3564.78	2209.26	4239.45	6471.02	3690.52	2875.3	1167.14	3372.43	2104.58	3060.45	2915.45	1662.49	2645.74	2061.24	2835.7	1883.54	1685.71	1844.76	2119.22	1857.6	3716.2	2240.11	3820.7	1896.65
VDAC2	6516.03	4836.35	3146.52	2739.08	2682.69	3257.52	3039.3	2956.17	3768.09	3928.15	3589.58	3955.48	3235.01	3280.18	3928.15	2664.15	3540.14	2816.11	3982.99	3349.13	2502.97	2384.37	1794.29	3564.78	4704.07	3146.52	3716.2	2997.45	4010.71	3039.3	3235.01	3039.3	4095.0	3540.14	3794.3	1819.35	3395.89	3235.01	3372.43	4268.94	3419.52	3820.7	3124.78	3395.89	2664.15	3280.18	3212.66	2287.2	3419.52	3955.48	2384.37	2271.4	3589.58	2739.08	3349.13	2739.08	3039.3	2777.33	2915.45	2956.17	3716.2	3443.31	2240.11	3039.3	3955.48	2915.45	3515.68	4095.0	3768.09	3515.68	2319.15	4388.98	2468.49	3372.43	3768.09	2895.31	2976.74	3018.3	3716.2	2090.03	2104.58	2520.38	2739.08	2400.97	3419.52	2287.2	3794.3	2485.67
YWHAQ	8658.09	8247.98	3235.01	2178.83	1991.0	2645.74	3212.66	4328.55	4639.29	3589.58	4152.18	4512.4	4152.18	4607.24	4095.0	2816.11	3742.05	3847.29	4481.23	2627.46	2047.0	2855.44	2351.53	3820.7	6207.38	2816.11	4769.75	4328.55	3639.7	3564.78	3589.58	3395.89	4802.93	4298.64	4123.49	2384.37	4481.23	3820.7	4639.29	4298.64	4066.71	4181.07	2777.33	3742.05	3982.99	4095.0	4298.64	2664.15	4038.61	4481.23	2627.46	3081.75	4802.93	3280.18	4095.0	3018.3	3742.05	4181.07	3690.52	3257.52	4972.34	4038.61	3372.43	3419.52	4210.15	3280.18	4736.79	4481.23	4450.27	4358.66	3325.99	4671.57	3491.39	3639.7	3665.02	2777.33	3690.52	3419.52	4123.49	2875.3	2335.28	2682.69	3124.78	3103.19	4388.98	2895.31	4450.27	2537.92
ZMPSTE24	1594.73	928.3	438.59	441.64	353.59	426.57	463.65	819.3	764.36	511.0	599.49	616.37	638.15	674.59	656.11	473.41	532.74	579.04	775.05	264.03	316.37	395.18	429.54	476.71	934.76	486.75	575.03	607.87	466.88	463.65	514.56	444.72	884.29	486.75	607.87	336.79	642.59	583.07	620.67	642.59	571.05	759.08	457.25	320.8	423.61	607.87	547.75	341.51	532.74	642.59	371.22	587.13	813.63	599.49	595.34	420.68	567.1	693.58	579.04	420.68	733.19	764.36	444.72	507.46	532.74	490.14	656.11	703.28	595.34	583.07	426.57	612.11	470.14	493.56	571.05	441.64	507.46	583.07	483.38	450.94	409.15	532.74	507.46	435.55	718.08	463.65	669.92	429.54
