	TCGA.E7.A541.01A.11R.A26T.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.W5X1.2326.SM.3GIL6	GTEX.132AR.0826.SM.5EGK6	GTEX.YJ8O.2226.SM.5IFHW	GTEX.146FH.0826.SM.5SI8T	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.ZH.A8Y6.01A.11R.A41I.07	GTEX.12WSG.0826.SM.5EQ5A	TCGA.B4.5836.01A.11R.1672.07	TCGA.B0.5812.01A.11R.1672.07	TCGA.B2.5639.01A.01R.1541.07	TCGA.B4.5843.01A.11R.1672.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.CZ.5463.01A.01R.1503.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.AK.3456.01A.02R.1325.07	TCGA.B8.5546.01A.01R.1541.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.CJ.5686.01A.11R.1672.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B4.5834.01A.11R.1672.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.CW.5580.01A.01R.1672.07	TCGA.B0.5701.01A.11R.1541.07	TCGA.B0.5711.01A.11R.1672.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.CJ.5680.11A.01R.1541.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.A57E.01A.11R.A26U.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.F9.A8NY.01A.11R.A36F.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.5P.A9K6.01A.11R.A42S.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.BQ.5888.11A.01R.1592.07	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.CD.5801.01A.11R.1602.13	TCGA.B7.5818.01A.11R.1602.13	GTEX.1399T.0126.SM.5KM15
PEX19	1059.11	1639.59	1572.76	2573.36	2609.3	2224.63	3303.0	2335.28	2224.63	4836.35	4328.55	2032.85	1832.01	1259.69	1721.16	1407.55	1378.57	1208.34	2032.85	1295.13	1583.71	1605.83	1685.71	1745.2	1417.35	1340.84	1540.37	1540.37	1617.0	1605.83	1551.09	1427.22	1437.15	1498.22	1268.46	674.59	1183.45	1088.92	521.76	688.78	796.86	1081.39	1242.34	941.27	753.83	848.22	860.08	753.83	693.58	1001.93	684.02	543.96	1199.98	830.75	514.56	1216.75	928.3	974.5	1119.56	1073.91	753.83	1159.07	1216.75	612.11	1685.71	1073.91	1059.11	1340.84	395.18	647.07	1295.13	1175.27	1540.37	579.04	1191.69	1331.57	1051.79	624.99	490.14	607.87	1199.98	607.87	1151.06	1225.22	791.35	988.12	981.29	638.15	791.35	1015.93	1167.14	947.83	571.05	974.5	1015.93	1340.84	896.64	1350.18	1369.04	1175.27	1208.34	941.27	1030.12	830.75	1199.98	748.61	1883.54	842.36	1233.75	1359.57	1832.01	1199.98	684.02	518.15	567.1	612.11	1369.04
PHAX	293.07	1059.11	1745.2	1340.84	1437.15	1437.15	854.13	1199.98	1030.12	1023.0	764.36	1397.83	1135.2	532.74	1111.82	842.36	1331.57	890.44	808.0	718.08	1340.84	941.27	665.29	723.08	679.29	878.17	1259.69	612.11	1088.92	921.88	928.3	1135.2	1350.18	1119.56	915.51	366.09	743.43	246.28	241.19	612.11	406.31	277.2	426.57	414.87	432.53	329.84	607.87	299.25	928.3	503.95	161.02	361.04	379.04	323.03	285.03	466.88	260.38	551.56	470.14	341.51	283.05	387.02	536.45	595.34	830.75	500.46	379.04	791.35	381.68	285.03	629.35	429.54	384.34	212.78	490.14	571.05	403.5	295.11	432.53	540.19	591.22	397.93	132.44	500.46	327.56	332.14	470.14	332.14	264.03	551.56	555.41	417.77	301.33	305.55	447.82	470.14	540.19	738.29	607.87	432.53	473.41	423.61	151.22	457.25	332.14	351.14	511.0	336.79	441.64	693.58	389.72	612.11	406.31	387.02	159.9	293.07	473.41
PJA2	255.0	2591.27	1844.76	1721.16	2835.7	5594.3	921.88	2777.33	2193.99	1322.37	1096.5	2816.11	2573.36	1127.35	1233.75	1769.57	2591.27	1242.34	1674.06	1199.98	2701.35	2434.5	1662.49	1295.13	2047.0	1250.98	2271.4	1519.15	2004.85	872.1	2018.8	1540.37	2537.92	1322.37	1397.83	397.93	1023.0	665.29	389.72	896.64	316.37	532.74	688.78	713.11	607.87	567.1	638.15	414.87	1369.04	796.86	532.74	480.04	796.86	529.06	511.0	808.0	486.75	1304.15	497.0	607.87	532.74	1104.13	679.29	842.36	1277.29	830.75	587.13	1037.29	780.44	339.14	1044.52	769.69	848.22	371.22	808.0	775.05	738.29	316.37	1066.48	1044.52	738.29	819.3	366.09	591.22	397.93	444.72	738.29	285.03	412.0	651.58	775.05	525.39	356.05	540.19	1159.07	995.0	624.99	1407.55	947.83	616.37	703.28	447.82	379.04	329.84	480.04	579.04	988.12	518.15	878.17	547.75	559.28	703.28	314.17	325.29	275.28	334.46	1551.09
POLK	65.26	559.28	314.17	414.87	473.41	866.07	232.94	595.34	476.71	271.48	199.85	703.28	669.92	341.51	409.15	412.0	363.56	312.0	406.31	307.69	698.41	547.75	397.93	314.17	409.15	368.65	376.41	229.72	314.17	223.41	483.38	454.09	447.82	353.59	366.09	115.16	194.36	141.02	119.26	231.32	52.45	102.97	126.12	117.6	166.73	154.42	122.64	59.13	260.38	147.06	170.25	149.12	102.25	120.1	90.14	146.03	52.82	334.46	120.94	120.94	145.02	94.67	116.78	167.9	318.57	206.94	81.71	228.13	186.4	73.54	248.0	49.21	269.6	113.56	199.85	169.07	123.5	127.0	195.72	201.25	167.9	122.64	16.63	113.56	80.01	88.26	118.43	47.5	76.17	124.37	182.55	105.89	91.41	77.79	136.19	195.72	144.01	356.05	242.88	147.06	145.02	100.13	34.51	59.55	55.1	131.51	229.72	72.52	167.9	121.79	175.07	88.26	94.67	70.51	49.21	57.89	395.18
RAB18	934.76	3081.75	4358.66	2816.11	2720.15	4543.8	2537.92	2502.97	2664.15	3325.99	2895.31	2335.28	3742.05	2119.22	2335.28	2319.15	2104.58	2609.3	2004.85	2997.45	2520.38	3467.27	2335.28	1909.85	2090.03	2468.49	2351.53	2855.44	1963.57	1697.45	2384.37	2209.26	1963.57	2915.45	2148.82	669.92	1977.24	1225.22	1388.16	1551.09	830.75	1417.35	1427.22	1167.14	928.3	1369.04	1151.06	941.27	1806.78	1639.59	656.11	915.51	1313.23	1572.76	764.36	2032.85	915.51	1769.57	1225.22	988.12	941.27	1304.15	1225.22	2047.0	2956.17	1498.22	1313.23	1819.35	1313.23	890.44	1909.85	1242.34	1437.15	896.64	1498.22	1709.26	1143.1	836.53	1832.01	1963.57	1529.73	1870.53	802.41	1304.15	878.17	1225.22	1313.23	656.11	1277.29	1457.23	1427.22	1259.69	941.27	1216.75	1295.13	1477.58	1268.46	2520.38	1745.2	1498.22	1295.13	1119.56	698.41	961.07	947.83	1073.91	1794.29	1233.75	1721.16	1304.15	1844.76	1950.0	1001.93	878.17	1088.92	674.59	1721.16
RAD17	171.45	629.35	743.43	624.99	470.14	738.29	403.5	500.46	441.64	493.56	476.71	624.99	532.74	384.34	460.44	473.41	435.55	466.88	624.99	470.14	796.86	842.36	483.38	339.14	426.57	429.54	438.59	511.0	400.71	283.05	563.18	595.34	567.1	417.77	480.04	287.01	447.82	356.05	325.29	409.15	325.29	295.11	341.51	314.17	277.2	312.0	348.71	327.56	603.67	348.71	318.57	249.73	285.03	316.37	205.5	361.04	246.28	656.11	351.14	341.51	299.25	318.57	361.04	490.14	612.11	379.04	316.37	412.0	476.71	273.37	406.31	366.09	379.04	336.79	379.04	334.46	303.44	336.79	466.88	406.31	323.03	384.34	125.24	368.65	256.78	351.14	316.37	279.14	214.27	318.57	361.04	295.11	299.25	277.2	297.17	305.55	376.41	450.94	336.79	312.0	356.05	339.14	173.85	314.17	249.73	291.04	397.93	275.28	400.71	195.72	165.57	177.53	241.19	189.02	165.57	341.51	423.61
RARS2	229.72	1030.12	802.41	961.07	738.29	1427.22	703.28	1167.14	848.22	1369.04	830.75	1119.56	674.59	599.49	660.68	759.08	785.88	529.06	825.0	713.11	718.08	1059.11	642.59	420.68	684.02	379.04	723.08	947.83	674.59	241.19	836.53	559.28	842.36	503.95	656.11	403.5	599.49	503.95	591.22	536.45	583.07	473.41	878.17	392.44	412.0	438.59	470.14	457.25	376.41	629.35	435.55	463.65	547.75	555.41	353.59	624.99	473.41	620.67	460.44	420.68	420.68	409.15	400.71	698.41	775.05	536.45	450.94	567.1	303.44	444.72	555.41	466.88	607.87	454.09	480.04	693.58	454.09	412.0	703.28	703.28	536.45	651.58	265.87	555.41	450.94	497.0	486.75	514.56	236.21	500.46	518.15	511.0	172.65	575.03	395.18	470.14	514.56	543.96	536.45	587.13	476.71	532.74	253.23	514.56	444.72	435.55	575.03	441.64	500.46	414.87	366.09	371.22	454.09	403.5	403.5	389.72	540.19
RHOT1	336.79	830.75	842.36	884.29	791.35	2240.11	503.95	830.75	1037.29	764.36	669.92	1199.98	1037.29	571.05	493.56	540.19	603.67	397.93	599.49	555.41	669.92	1008.9	490.14	262.2	540.19	470.14	476.71	521.76	571.05	836.53	612.11	536.45	532.74	423.61	460.44	336.79	316.37	500.46	353.59	507.46	285.03	435.55	285.03	348.71	366.09	387.02	356.05	351.14	567.1	389.72	420.68	651.58	409.15	379.04	551.56	412.0	297.17	387.02	366.09	480.04	358.54	226.54	813.63	361.04	616.37	480.04	457.25	571.05	417.77	289.02	429.54	371.22	540.19	336.79	599.49	476.71	476.71	189.02	384.34	363.56	376.41	384.34	141.02	329.84	269.6	389.72	356.05	366.09	283.05	417.77	343.89	412.0	212.78	236.21	323.03	575.03	323.03	371.22	476.71	423.61	616.37	500.46	217.27	316.37	339.14	363.56	599.49	429.54	351.14	341.51	514.56	423.61	182.55	226.54	249.73	332.14	616.37
RNF14	262.2	1487.87	1407.55	1417.35	1745.2	2384.37	967.76	1963.57	1662.49	3564.78	1023.0	1183.45	1183.45	1242.34	1628.26	1277.29	1286.18	2119.22	1304.15	2119.22	1991.0	2255.7	2075.59	1674.06	1388.16	1883.54	1529.73	1540.37	1277.29	1651.0	1794.29	2271.4	1594.73	3589.58	1127.35	457.25	1096.5	748.61	579.04	1143.1	579.04	1183.45	647.07	738.29	444.72	860.08	995.0	563.18	1073.91	878.17	473.41	1369.04	651.58	728.11	532.74	1001.93	620.67	1963.57	890.44	703.28	493.56	1175.27	934.76	1909.85	2627.46	836.53	1001.93	1208.34	647.07	483.38	1572.76	1286.18	981.29	483.38	1001.93	753.83	703.28	490.14	981.29	1088.92	915.51	866.07	954.43	967.76	529.06	921.88	954.43	373.81	688.78	896.64	1322.37	698.41	738.29	684.02	620.67	995.0	684.02	2133.97	1081.39	753.83	961.07	733.19	532.74	529.06	708.18	466.88	1242.34	738.29	1008.9	616.37	497.0	616.37	281.09	262.2	275.28	438.59	909.17
RNGTT	62.56	217.27	202.66	167.9	197.09	423.61	156.59	251.48	291.04	158.79	209.84	224.97	265.87	158.79	138.1	170.25	186.4	123.5	204.07	186.4	208.38	209.84	199.85	133.36	146.03	176.29	158.79	180.02	190.34	63.0	177.53	202.66	178.77	201.25	175.07	84.63	100.83	136.19	68.55	91.41	79.45	167.9	85.22	108.9	98.04	132.44	100.83	122.64	108.14	124.37	46.18	105.89	149.12	126.12	70.01	141.02	105.15	123.5	127.89	161.02	100.83	94.01	155.5	127.89	215.77	120.94	158.79	186.4	59.55	91.41	189.02	106.63	167.9	80.57	153.34	176.29	137.14	71.0	103.69	158.79	127.89	126.12	52.45	108.9	86.43	101.54	102.25	77.79	80.01	136.19	82.87	103.69	47.84	119.26	111.21	182.55	131.51	161.02	162.14	89.51	142.01	115.97	75.64	115.16	90.77	101.54	126.12	166.73	122.64	127.0	115.16	152.28	108.14	122.64	82.29	76.17	120.94
SCAMP1	283.05	1208.34	775.05	830.75	981.29	1923.14	291.04	988.12	854.13	460.44	571.05	1008.9	1551.09	417.77	684.02	928.3	866.07	438.59	866.07	450.94	1277.29	1407.55	808.0	607.87	1037.29	1295.13	1268.46	656.11	785.88	299.25	651.58	1135.2	819.3	1059.11	728.11	211.31	466.88	351.14	172.65	376.41	170.25	265.87	323.03	376.41	320.8	279.14	232.94	239.52	854.13	358.54	346.29	301.33	318.57	332.14	246.28	373.81	201.25	738.29	392.44	291.04	339.14	397.93	493.56	460.44	647.07	476.71	316.37	441.64	579.04	217.27	551.56	379.04	441.64	285.03	379.04	346.29	438.59	197.09	902.89	616.37	314.17	376.41	111.21	239.52	249.73	244.57	314.17	255.0	277.2	309.83	376.41	249.73	231.32	332.14	417.77	403.5	373.81	902.89	343.89	341.51	297.17	242.88	181.28	237.86	291.04	336.79	490.14	253.23	429.54	185.11	191.67	295.11	191.67	198.47	172.65	199.85	616.37
SEC24B	150.17	764.36	620.67	599.49	629.35	1088.92	237.86	454.09	638.15	547.75	368.65	743.43	698.41	493.56	435.55	466.88	476.71	412.0	525.39	269.6	743.43	543.96	480.04	435.55	466.88	395.18	575.03	460.44	511.0	389.72	551.56	400.71	551.56	529.06	486.75	178.77	246.28	204.07	189.02	139.07	151.22	224.97	152.28	231.32	234.57	348.71	212.78	157.68	281.09	242.88	197.09	115.97	241.19	211.31	143.01	356.05	153.34	529.06	194.36	212.78	199.85	183.82	279.14	368.65	423.61	368.65	265.87	387.02	171.45	158.79	429.54	204.07	409.15	178.77	363.56	325.29	291.04	126.12	211.31	366.09	299.25	303.44	88.26	214.27	161.02	198.47	217.27	133.36	241.19	256.78	341.51	221.86	176.29	146.03	211.31	346.29	215.77	438.59	303.44	293.07	299.25	199.85	119.26	148.09	212.78	215.77	366.09	181.28	307.69	346.29	332.14	234.57	161.02	214.27	158.79	205.5	395.18
SERINC1	1059.11	8421.31	4607.24	6250.56	7433.4	11909.94	3325.99	7803.01	5995.9	8363.13	4268.94	7433.4	6037.61	4210.15	5995.9	5791.62	6561.36	4704.07	4671.57	5594.3	7485.11	5555.65	5147.73	4607.24	5403.7	5831.91	5292.48	3955.48	6652.97	1819.35	6516.03	4671.57	6561.36	3303.0	4607.24	1733.13	2777.33	2758.13	2367.9	2255.7	1498.22	2609.3	2555.58	2875.3	2004.85	2796.65	2502.97	2104.58	2271.4	3168.41	1467.37	3768.09	2720.15	2240.11	2555.58	3280.18	2193.99	3372.43	2915.45	2104.58	2417.67	3257.52	3039.3	3928.15	5006.93	3349.13	2537.92	3491.39	1167.14	1674.06	3955.48	2485.67	3039.3	1427.22	2796.65	2777.33	3325.99	1857.6	2573.36	3443.31	3419.52	2645.74	1936.53	2573.36	2163.77	2367.9	2701.35	1721.16	1909.85	3146.52	3467.27	2075.59	954.43	2701.35	2287.2	3589.58	2976.74	5112.16	3443.31	2485.67	3372.43	2739.08	1806.78	1896.65	2163.77	2018.8	3467.27	2240.11	3190.46	2193.99	1757.34	1745.2	878.17	1015.93	1167.14	842.36	4066.71
SGTB	13.93	134.3	87.65	125.24	131.51	181.28	71.5	249.73	194.36	67.12	125.24	152.28	120.94	57.08	57.89	120.1	138.1	69.03	129.69	64.34	144.01	176.29	108.9	473.41	94.67	156.59	104.42	93.35	98.73	105.89	121.79	137.14	148.09	127.0	120.1	27.44	64.34	70.01	23.25	63.45	33.06	27.25	120.1	49.21	34.75	53.19	45.21	22.43	142.01	53.19	73.54	37.05	56.28	63.45	39.22	53.57	28.04	143.01	52.82	54.33	52.08	40.07	50.63	54.72	142.01	63.45	44.89	80.01	64.34	27.84	110.43	42.41	47.84	37.32	55.49	68.55	65.26	29.27	103.69	82.87	47.17	54.72	27.05	31.9	25.17	43.32	50.63	25.72	46.84	60.82	92.7	43.02	29.48	35.5	92.7	64.8	52.08	167.9	31.22	20.71	53.19	44.57	9.7	24.11	29.91	28.65	119.26	34.75	57.89	48.87	57.49	54.33	20.26	33.78	27.25	24.28	63.45
STXBP4	15.68	126.12	96.01	122.64	69.03	165.57	60.39	54.72	148.09	42.41	72.01	94.67	190.34	66.18	167.9	154.42	90.14	106.63	107.38	124.37	141.02	220.32	121.79	94.67	70.01	145.02	102.97	78.89	87.03	161.02	114.36	96.68	127.89	130.6	116.78	39.5	80.01	86.43	39.5	70.01	46.18	54.72	74.06	67.59	90.77	65.72	44.89	35.5	103.69	45.21	76.17	87.03	34.51	110.43	62.56	50.27	25.54	112.77	47.84	111.21	46.84	27.84	60.82	67.59	156.59	94.67	100.13	135.24	72.01	45.21	80.01	68.55	138.1	45.53	66.65	84.04	60.82	45.21	57.49	82.29	93.35	47.84	21.01	41.52	35.5	39.22	79.45	43.94	51.71	84.63	66.65	66.65	52.45	37.85	71.0	79.45	59.97	92.05	57.49	33.78	56.28	34.51	25.17	73.54	18.84	48.52	67.59	41.52	82.87	36.01	47.17	25.35	27.84	9.2	29.91	29.48	130.6
SYNJ1	111.21	299.25	202.66	249.73	208.38	693.58	137.14	229.72	301.33	198.47	204.07	381.68	198.47	206.94	332.14	191.67	275.28	159.9	258.57	201.25	208.38	228.13	305.55	563.18	180.02	379.04	124.37	139.07	224.97	170.25	159.9	176.29	260.38	198.47	199.85	150.17	90.77	109.66	103.69	58.71	46.18	69.52	141.02	176.29	170.25	138.1	106.63	77.25	241.19	118.43	154.42	129.69	128.79	204.07	102.25	131.51	74.06	105.89	133.36	166.73	131.51	81.14	127.0	110.43	178.77	122.64	166.73	161.02	170.25	52.08	164.42	97.36	177.53	98.73	112.77	88.88	142.01	84.04	140.04	134.3	151.22	128.79	45.53	62.56	138.1	75.64	86.43	44.57	124.37	118.43	241.19	61.68	65.72	65.72	118.43	119.26	142.01	248.0	96.68	77.79	153.34	107.38	90.14	77.79	61.68	147.06	206.94	129.69	159.9	167.9	87.03	177.53	84.63	64.8	82.87	68.55	182.55
TAPT1	211.31	764.36	1769.57	764.36	684.02	2004.85	171.45	571.05	579.04	780.44	358.54	769.69	571.05	591.22	607.87	599.49	764.36	551.56	688.78	878.17	708.18	769.69	536.45	490.14	460.44	441.64	669.92	511.0	656.11	120.94	612.11	490.14	753.83	444.72	563.18	287.01	299.25	249.73	241.19	236.21	187.71	285.03	155.5	346.29	332.14	450.94	271.48	226.54	181.28	412.0	486.75	121.79	246.28	264.03	279.14	234.57	152.28	353.59	264.03	301.33	353.59	251.48	336.79	303.44	395.18	318.57	237.86	346.29	195.72	239.52	470.14	218.79	435.55	343.89	346.29	265.87	289.02	435.55	291.04	438.59	339.14	305.55	217.27	376.41	236.21	239.52	277.2	279.14	201.25	253.23	412.0	287.01	353.59	341.51	384.34	316.37	305.55	674.59	299.25	473.41	368.65	305.55	208.38	175.07	211.31	281.09	457.25	224.97	414.87	392.44	273.37	277.2	103.69	152.28	175.07	218.79	571.05
TRIM23	35.0	218.79	460.44	457.25	325.29	780.44	147.06	214.27	309.83	181.28	145.02	325.29	379.04	158.79	154.42	291.04	236.21	199.85	214.27	295.11	454.09	327.56	255.0	251.48	154.42	547.75	209.84	134.3	258.57	145.02	248.0	271.48	232.94	220.32	197.09	82.29	105.15	116.78	37.05	202.66	48.18	102.97	78.34	98.04	87.03	118.43	85.82	56.28	204.07	102.97	87.65	115.97	115.97	107.38	81.14	99.43	64.34	173.85	115.97	82.29	96.68	103.69	139.07	135.24	358.54	102.97	135.24	139.07	183.82	75.64	191.67	82.29	156.59	70.51	148.09	135.24	128.79	47.5	175.07	176.29	142.01	159.9	37.32	92.05	62.56	81.71	71.5	59.55	120.1	144.01	145.02	80.57	87.03	92.05	187.71	136.19	114.36	406.31	190.34	103.69	152.28	80.57	46.18	45.21	100.83	101.54	249.73	92.05	95.34	152.28	159.9	115.97	29.7	32.36	28.65	30.78	176.29
TRUB1	166.73	400.71	473.41	376.41	460.44	486.75	161.02	463.65	258.57	153.34	293.07	412.0	490.14	215.77	514.56	277.2	316.37	356.05	406.31	1605.83	493.56	476.71	595.34	500.46	314.17	620.67	366.09	497.0	287.01	543.96	361.04	444.72	314.17	381.68	309.83	147.06	457.25	417.77	120.94	381.68	120.94	327.56	236.21	206.94	206.94	248.0	154.42	173.85	361.04	309.83	156.59	269.6	277.2	480.04	147.06	379.04	178.77	409.15	341.51	299.25	198.47	215.77	353.59	358.54	423.61	332.14	379.04	368.65	246.28	148.09	514.56	320.8	366.09	131.51	277.2	497.0	305.55	153.34	251.48	262.2	251.48	211.31	151.22	221.86	156.59	224.97	293.07	128.79	258.57	291.04	363.56	309.83	197.09	301.33	301.33	358.54	226.54	1088.92	571.05	271.48	287.01	197.09	141.02	190.34	256.78	221.86	444.72	256.78	239.52	167.9	175.07	251.48	148.09	157.68	204.07	123.5	264.03
TTC33	211.31	376.41	381.68	412.0	381.68	954.43	167.9	358.54	358.54	318.57	253.23	234.57	373.81	295.11	379.04	366.09	397.93	327.56	275.28	197.09	595.34	579.04	299.25	279.14	307.69	299.25	334.46	197.09	363.56	212.78	343.89	239.52	379.04	293.07	336.79	108.9	120.94	88.88	94.67	186.4	45.53	83.45	120.94	115.97	169.07	176.29	118.43	69.03	305.55	144.01	141.02	78.34	144.01	104.42	57.49	138.1	73.03	217.27	111.21	100.13	96.68	103.69	167.9	202.66	234.57	175.07	152.28	223.41	157.68	85.82	190.34	111.99	178.77	115.97	132.44	146.03	108.9	84.63	191.67	275.28	170.25	180.02	45.85	86.43	93.35	110.43	88.88	65.26	105.89	158.79	152.28	98.73	89.51	100.83	113.56	189.02	120.94	249.73	185.11	81.14	172.65	105.15	76.71	63.0	51.35	122.64	204.07	129.69	204.07	242.88	180.02	217.27	96.01	87.03	212.78	92.7	281.09
TTC37	217.27	974.5	1088.92	1457.23	981.29	1639.59	551.56	1183.45	884.29	796.86	457.25	1457.23	1331.57	941.27	679.29	842.36	616.37	642.59	802.41	688.78	1477.58	896.64	723.08	603.67	769.69	872.1	1111.82	633.73	669.92	529.06	1015.93	1044.52	884.29	599.49	764.36	384.34	454.09	466.88	279.14	693.58	201.25	341.51	397.93	381.68	629.35	438.59	497.0	264.03	796.86	521.76	583.07	463.65	303.44	351.14	279.14	403.5	175.07	785.88	403.5	483.38	457.25	248.0	473.41	392.44	896.64	703.28	551.56	743.43	518.15	332.14	708.18	323.03	703.28	316.37	559.28	511.0	309.83	511.0	536.45	583.07	587.13	334.46	49.56	395.18	281.09	327.56	332.14	218.79	265.87	507.46	599.49	466.88	361.04	248.0	332.14	525.39	457.25	1008.9	624.99	438.59	470.14	379.04	55.89	217.27	218.79	420.68	438.59	244.57	521.76	351.14	551.56	325.29	314.17	107.38	206.94	400.71	521.76
WDR47	66.65	323.03	323.03	336.79	339.14	470.14	156.59	366.09	293.07	244.57	190.34	289.02	277.2	150.17	255.0	229.72	209.84	181.28	223.41	120.94	264.03	303.44	260.38	145.02	181.28	123.5	241.19	158.79	218.79	124.37	297.17	232.94	226.54	167.9	241.19	112.77	211.31	156.59	67.12	119.26	108.9	152.28	140.04	153.34	108.14	169.07	117.6	108.14	157.68	218.79	108.14	43.32	117.6	149.12	77.79	112.77	107.38	85.82	187.71	131.51	141.02	115.97	220.32	134.3	295.11	232.94	175.07	214.27	107.38	83.45	183.82	109.66	172.65	85.82	137.14	149.12	137.14	70.51	75.64	127.89	143.01	96.01	70.01	96.01	102.25	95.34	125.24	67.59	136.19	146.03	165.57	115.97	92.05	111.21	99.43	167.9	148.09	248.0	187.71	74.58	190.34	102.97	73.54	99.43	89.51	120.94	173.85	125.24	191.67	241.19	224.97	395.18	52.82	55.89	62.12	74.06	149.12
