	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5706.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4782.01A.02R.1420.07	TCGA.A3.3323.01A.02R.1325.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.BP.4342.01A.01R.1289.07	TCGA.B0.4815.01A.01R.1503.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.BP.4353.01A.02R.1289.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.BP.4326.01A.01R.1289.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CW.5580.01A.01R.1672.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.BP.4998.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.BP.4345.01A.01R.1289.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.97.A4M2.01A.12R.A24X.07	TCGA.85.A4PA.01A.11R.A24Z.07
POLG2	289.02	88.26	149.12	193.01	273.37	175.07	164.42	72.52	110.43	684.02	186.4	283.05	98.73	105.89	384.34	83.45	140.04	277.2	429.54	397.93	279.14	228.13	397.93	173.85	269.6	121.79	167.9	511.0	156.59	211.31	94.67	291.04	189.02	183.82	145.02	16.75	185.11	343.89	181.28	309.83	218.79	301.33	264.03	139.07	72.52	157.68	242.88	102.25	136.19	69.52	356.05	463.65	612.11
PYGO2	473.41	379.04	454.09	395.18	525.39	371.22	503.95	323.03	316.37	460.44	525.39	454.09	275.28	371.22	366.09	291.04	231.32	395.18	633.73	426.57	532.74	429.54	348.71	353.59	260.38	387.02	334.46	507.46	275.28	373.81	409.15	503.95	447.82	379.04	366.09	267.73	358.54	518.15	435.55	486.75	400.71	441.64	470.14	426.57	287.01	397.93	395.18	384.34	563.18	307.69	563.18	860.08	941.27
RAD9A	412.0	193.01	267.73	169.07	343.89	223.41	148.09	124.37	163.28	866.07	318.57	366.09	129.69	148.09	514.56	66.65	161.02	368.65	595.34	438.59	343.89	262.2	642.59	291.04	150.17	100.83	102.97	718.08	169.07	470.14	139.07	358.54	353.59	221.86	159.9	60.82	267.73	329.84	316.37	361.04	429.54	253.23	299.25	226.54	136.19	193.01	198.47	118.43	387.02	156.59	669.92	587.13	921.88
RBM19	432.53	232.94	283.05	346.29	400.71	325.29	229.72	248.0	361.04	1059.11	285.03	332.14	109.66	299.25	395.18	101.54	175.07	381.68	450.94	277.2	356.05	258.57	493.56	214.27	309.83	262.2	283.05	460.44	353.59	301.33	223.41	251.48	368.65	312.0	271.48	39.5	195.72	279.14	285.03	387.02	444.72	356.05	231.32	262.2	208.38	260.38	358.54	202.66	297.17	249.73	507.46	559.28	813.63
RHOT2	1313.23	825.0	974.5	1143.1	1088.92	1242.34	665.29	603.67	1088.92	2935.74	1225.22	1477.58	202.66	981.29	1407.55	336.79	348.71	1697.45	1844.76	1388.16	1407.55	1135.2	1909.85	769.69	540.19	567.1	684.02	2875.3	791.35	1331.57	796.86	1250.98	1135.2	723.08	1073.91	1044.52	713.11	1378.57	896.64	1498.22	1923.14	1259.69	1883.54	974.5	642.59	536.45	854.13	808.0	1191.69	656.11	2935.74	3280.18	4836.35
RHPN1	381.68	73.54	102.25	147.06	275.28	209.84	55.49	90.14	88.88	483.38	384.34	232.94	40.07	145.02	120.94	21.63	57.89	231.32	441.64	379.04	242.88	115.16	348.71	67.12	61.25	90.14	47.5	629.35	108.14	269.6	181.28	154.42	221.86	163.28	161.02	126.12	55.89	241.19	87.65	281.09	297.17	211.31	414.87	175.07	123.5	56.68	93.35	89.51	217.27	112.77	429.54	1508.65	432.53
RNF207	269.6	43.32	159.9	131.51	223.41	180.02	61.68	17.9	95.34	454.09	211.31	323.03	10.47	58.3	242.88	7.69	33.54	262.2	454.09	127.0	327.56	211.31	265.87	56.28	60.39	44.89	37.32	660.68	57.08	183.82	52.82	161.02	172.65	109.66	80.57	8.99	29.7	182.55	66.65	244.57	165.57	173.85	341.51	95.34	38.4	14.89	111.21	52.82	61.68	31.67	356.05	450.94	303.44
RNF44	890.44	356.05	723.08	785.88	1259.69	890.44	480.04	674.59	753.83	1721.16	620.67	1167.14	299.25	497.0	791.35	220.32	283.05	785.88	1225.22	624.99	825.0	503.95	759.08	293.07	476.71	514.56	603.67	1295.13	660.68	1001.93	500.46	769.69	1059.11	967.76	669.92	112.77	514.56	988.12	559.28	1135.2	796.86	902.89	759.08	599.49	532.74	429.54	785.88	563.18	748.61	825.0	1277.29	1096.5	2573.36
RP11-276H1.3	2.2	1.11	1.53	3.06	0.8	2.71	0.0	0.4	0.37	6.06	2.89	0.84	1.04	0.72	1.85	0.37	0.38	1.16	3.06	1.48	2.68	0.39	0.0	1.06	0.0	0.39	0.0	8.85	0.39	2.05	1.53	1.43	3.14	1.5	0.38	0.0	0.36	1.46	0.38	2.14	0.91	2.61	0.0	3.08	0.41	0.38	1.19	1.53	1.06	1.1	1.27	0.97	3.23
SEC31B	201.25	13.03	82.87	85.82	103.69	88.26	27.25	6.36	25.35	599.49	73.54	217.27	8.32	34.26	204.07	13.03	30.12	109.66	343.89	176.29	153.34	30.34	212.78	28.45	72.52	18.43	23.59	450.94	59.55	101.54	36.79	166.73	127.89	38.95	29.06	17.51	35.25	137.14	44.25	195.72	177.53	136.19	55.89	77.25	50.27	9.93	166.73	18.56	72.01	22.26	417.77	426.57	769.69
SFI1	476.71	87.65	318.57	285.03	651.58	248.0	215.77	97.36	127.0	2075.59	346.29	698.41	60.39	208.38	463.65	40.93	142.01	909.17	642.59	457.25	507.46	285.03	540.19	105.15	197.09	131.51	146.03	1216.75	215.77	400.71	157.68	473.41	366.09	273.37	217.27	60.82	175.07	490.14	209.84	412.0	441.64	287.01	389.72	309.83	165.57	90.14	358.54	95.34	262.2	153.34	947.83	848.22	2451.44
SFSWAP	620.67	285.03	447.82	486.75	872.1	432.53	358.54	346.29	521.76	1313.23	420.68	583.07	153.34	387.02	616.37	166.73	256.78	607.87	743.43	473.41	595.34	460.44	1233.75	376.41	599.49	409.15	450.94	728.11	379.04	463.65	447.82	607.87	651.58	486.75	343.89	71.5	351.14	521.76	438.59	607.87	669.92	674.59	361.04	366.09	395.18	417.77	698.41	260.38	674.59	400.71	718.08	656.11	890.44
SH2B1	780.44	379.04	536.45	547.75	638.15	651.58	460.44	417.77	665.29	1594.73	583.07	981.29	112.77	497.0	718.08	191.67	220.32	830.75	921.88	591.22	909.17	486.75	775.05	373.81	332.14	195.72	587.13	1427.22	435.55	591.22	423.61	713.11	669.92	660.68	476.71	466.88	366.09	633.73	490.14	836.53	1066.48	647.07	1051.79	529.06	669.92	698.41	543.96	490.14	872.1	403.5	1350.18	1268.46	1870.53
SLC25A22	220.32	215.77	343.89	226.54	178.77	195.72	191.67	138.1	151.22	244.57	371.22	295.11	128.79	202.66	169.07	69.52	78.89	237.86	392.44	256.78	249.73	195.72	135.24	409.15	99.43	190.34	163.28	228.13	133.36	244.57	221.86	231.32	182.55	186.4	242.88	31.0	171.45	271.48	234.57	228.13	190.34	186.4	507.46	204.07	111.99	106.63	111.99	181.28	279.14	126.12	420.68	647.07	525.39
SPIN2A	13.22	6.84	14.45	11.73	15.45	7.57	12.74	6.94	1.91	28.45	6.36	22.26	1.64	4.78	17.77	9.63	5.32	13.83	14.56	6.06	13.03	6.41	24.99	5.06	5.63	4.39	28.04	37.85	7.34	8.0	3.56	15.22	14.24	3.5	9.06	1.23	2.58	20.41	8.06	14.89	22.59	11.47	3.26	16.15	0.88	3.08	13.72	6.31	5.41	1.91	21.94	18.16	33.78
STK11IP	466.88	133.36	208.38	283.05	379.04	303.44	265.87	244.57	204.07	921.88	186.4	387.02	60.39	172.65	332.14	122.64	103.69	497.0	507.46	426.57	320.8	205.5	309.83	129.69	195.72	177.53	332.14	660.68	193.01	358.54	150.17	307.69	320.8	281.09	205.5	59.13	232.94	285.03	180.02	426.57	426.57	291.04	575.03	255.0	164.42	127.89	353.59	120.94	277.2	249.73	775.05	769.69	1119.56
STX16-NPEPL1	65.26	5.63	40.64	33.78	101.54	84.63	11.3	5.59	14.67	363.56	57.49	111.21	8.92	10.24	115.16	3.56	13.32	63.0	127.0	83.45	76.71	35.0	121.79	14.56	41.22	12.74	12.74	414.87	21.63	40.07	26.28	92.05	132.44	37.85	23.93	0.0	22.92	95.34	31.22	111.99	74.58	90.77	49.91	67.12	27.44	2.48	22.26	5.36	71.5	13.52	400.71	329.84	361.04
SUV420H2	208.38	110.43	150.17	103.69	297.17	106.63	110.43	50.27	131.51	463.65	155.5	232.94	29.91	59.55	121.79	43.94	47.84	237.86	348.71	283.05	171.45	122.64	256.78	112.77	61.25	72.52	72.01	376.41	65.26	255.0	92.7	142.01	212.78	97.36	73.54	21.47	70.01	127.89	120.1	158.79	185.11	133.36	249.73	123.5	66.65	63.0	178.77	74.06	127.0	62.56	426.57	368.65	423.61
TAF1C	660.68	256.78	457.25	521.76	591.22	642.59	289.02	262.2	483.38	3039.3	567.1	819.3	115.97	420.68	860.08	102.25	307.69	1023.0	842.36	555.41	674.59	293.07	1104.13	403.5	473.41	205.5	353.59	1896.65	371.22	660.68	329.84	540.19	587.13	435.55	376.41	40.93	332.14	1001.93	435.55	866.07	1051.79	723.08	738.29	529.06	341.51	253.23	769.69	251.48	514.56	368.65	1369.04	1651.0	2075.59
TAS2R5	40.64	6.52	10.63	12.55	20.71	37.85	5.92	12.55	3.79	105.89	13.83	21.01	18.16	7.69	43.32	5.96	11.3	32.82	67.59	39.79	28.24	18.43	28.65	15.45	27.64	5.19	5.19	112.77	13.52	36.79	16.03	14.89	34.26	8.85	2.71	0.0	18.43	43.94	18.7	41.52	29.06	30.34	19.68	25.72	10.88	4.62	27.84	5.54	18.7	6.01	31.45	34.26	31.22
TELO2	503.95	490.14	514.56	450.94	547.75	559.28	248.0	327.56	384.34	1331.57	571.05	679.29	109.66	346.29	525.39	177.53	155.5	684.02	915.51	684.02	616.37	384.34	642.59	423.61	258.57	264.03	353.59	1175.27	253.23	412.0	414.87	532.74	540.19	312.0	356.05	142.01	224.97	583.07	423.61	647.07	1001.93	579.04	733.19	543.96	291.04	295.11	389.72	267.73	563.18	323.03	1088.92	1286.18	2193.99
TGFBI	160252.91	189257.69	134755.94	343510.77	158046.64	419990.32	205673.01	338781.54	186652.11	106462.55	267651.2	121448.75	201440.3	14262.1	93325.55	145432.49	242898.5	4937.99	6516.03	248002.34	2255.7	419990.32	52863.07	301123.38	114103.8	246289.25	411347.03	13306.94	114103.8	134755.94	174152.51	113315.62	154794.07	186652.11	275175.93	414.87	14663.09	148488.36	114103.8	51417.5	258533.99	152662.96	236256.4	124000.67	190574.09	186652.11	391864.76	294926.33	120609.84	174152.51	4328.55	3235.01	1044.52
TMEM259	2875.3	1437.15	1709.26	1870.53	2664.15	2061.24	1639.59	1259.69	1950.0	5954.47	3103.19	2384.37	1023.0	1572.76	1883.54	961.07	1037.29	2895.31	3794.3	2777.33	2739.08	1991.0	2400.97	2573.36	1685.71	1233.75	1844.76	4239.45	1519.15	3325.99	1819.35	1936.53	2119.22	2417.67	1639.59	1923.14	1467.37	2555.58	1870.53	2537.92	3467.27	2104.58	3395.89	1923.14	1733.13	1350.18	1674.06	1508.65	2555.58	1628.26	5751.61	5147.73	8022.41
TMEM79	131.51	102.97	87.65	85.82	120.94	115.97	114.36	64.34	102.97	181.28	108.14	73.54	43.02	60.39	127.0	65.72	52.82	120.94	128.79	159.9	111.99	100.83	124.37	153.34	68.07	59.55	93.35	137.14	57.49	113.56	72.52	120.94	85.22	88.26	92.7	7.82	69.03	95.34	90.14	143.01	98.04	141.02	150.17	69.52	68.07	68.55	148.09	53.19	88.26	57.89	125.24	190.34	182.55
TMUB2	967.76	669.92	830.75	825.0	698.41	866.07	988.12	708.18	830.75	1096.5	974.5	934.76	571.05	669.92	872.1	759.08	547.75	884.29	954.43	866.07	1135.2	764.36	941.27	651.58	703.28	665.29	941.27	947.83	684.02	974.5	753.83	921.88	842.36	974.5	748.61	224.97	836.53	981.29	819.3	915.51	941.27	830.75	651.58	703.28	503.95	836.53	660.68	612.11	884.29	780.44	1167.14	1088.92	974.5
TRIM41	587.13	314.17	366.09	444.72	511.0	555.41	253.23	420.68	447.82	934.76	486.75	603.67	138.1	353.59	429.54	234.57	206.94	423.61	547.75	409.15	587.13	376.41	412.0	271.48	273.37	309.83	444.72	723.08	356.05	403.5	397.93	490.14	417.77	384.34	486.75	127.89	193.01	660.68	267.73	624.99	480.04	748.61	483.38	384.34	348.71	204.07	518.15	384.34	412.0	400.71	514.56	642.59	693.58
TRIM65	285.03	155.5	215.77	246.28	297.17	191.67	191.67	172.65	253.23	275.28	287.01	244.57	106.63	202.66	242.88	144.01	125.24	277.2	271.48	226.54	206.94	269.6	273.37	447.82	212.78	177.53	198.47	318.57	163.28	198.47	145.02	358.54	224.97	157.68	165.57	26.28	153.34	323.03	301.33	244.57	173.85	246.28	361.04	255.0	107.38	177.53	220.32	130.6	223.41	148.09	426.57	529.06	334.46
TRMT2A	764.36	525.39	1119.56	698.41	872.1	616.37	493.56	480.04	412.0	1832.01	769.69	1030.12	166.73	376.41	896.64	336.79	384.34	1159.07	1467.37	860.08	1081.39	718.08	915.51	551.56	529.06	265.87	353.59	1617.0	420.68	674.59	612.11	902.89	830.75	684.02	583.07	409.15	633.73	1037.29	620.67	890.44	1119.56	612.11	1216.75	647.07	836.53	603.67	878.17	400.71	909.17	414.87	1651.0	1745.2	2400.97
TRMT44	176.29	85.22	152.28	154.42	131.51	146.03	111.99	102.25	127.89	194.36	78.34	117.6	65.72	122.64	191.67	63.45	126.12	150.17	173.85	151.22	125.24	124.37	232.94	106.63	151.22	102.97	126.12	202.66	143.01	135.24	150.17	124.37	138.1	122.64	74.58	47.84	131.51	134.3	173.85	171.45	149.12	129.69	139.07	135.24	78.34	151.22	244.57	118.43	167.9	94.01	217.27	234.57	186.4
TUBGCP6	647.07	120.94	348.71	379.04	679.29	351.14	323.03	142.01	205.5	1991.0	500.46	728.11	68.55	229.72	688.78	60.39	110.43	884.29	743.43	403.5	612.11	336.79	866.07	211.31	264.03	186.4	171.45	1233.75	303.44	660.68	258.57	486.75	503.95	423.61	281.09	147.06	256.78	583.07	273.37	669.92	718.08	403.5	647.07	400.71	224.97	201.25	547.75	163.28	358.54	217.27	1359.57	1340.84	1991.0
TUT1	312.0	246.28	318.57	343.89	218.79	283.05	289.02	182.55	191.67	490.14	493.56	346.29	130.6	318.57	339.14	127.0	134.3	373.81	387.02	260.38	403.5	281.09	441.64	275.28	251.48	215.77	295.11	435.55	239.52	341.51	236.21	312.0	260.38	239.52	248.0	84.63	281.09	341.51	289.02	301.33	343.89	327.56	244.57	273.37	209.84	277.2	287.01	248.0	336.79	195.72	450.94	674.59	688.78
UPK3BL	392.44	138.1	444.72	629.35	450.94	1216.75	137.14	320.8	170.25	3874.05	480.04	497.0	78.34	87.65	1066.48	251.48	228.13	830.75	1143.1	748.61	1313.23	325.29	1268.46	620.67	429.54	297.17	165.57	2609.3	309.83	595.34	273.37	105.89	1529.73	246.28	320.8	14.67	178.77	1359.57	612.11	878.17	1498.22	1051.79	698.41	432.53	93.35	96.01	1936.53	139.07	384.34	155.5	1794.29	1674.06	3955.48
ZMIZ2	2119.22	733.19	1340.84	1001.93	1857.6	1359.57	540.19	842.36	624.99	4671.57	1508.65	1685.71	460.44	728.11	1359.57	193.01	297.17	1467.37	2178.83	967.76	1594.73	1088.92	1662.49	848.22	703.28	607.87	616.37	4358.66	981.29	1191.69	723.08	1388.16	1519.15	1259.69	1127.35	169.07	718.08	1447.15	1104.13	2335.28	2163.77	1167.14	1250.98	947.83	1001.93	775.05	1259.69	819.3	1250.98	693.58	2485.67	2591.27	3665.02
ZNF212	279.14	141.02	164.42	189.02	275.28	182.55	153.34	178.77	163.28	162.14	172.65	148.09	73.54	119.26	133.36	98.73	120.1	183.82	221.86	156.59	189.02	152.28	182.55	197.09	109.66	135.24	121.79	164.42	116.78	98.04	129.69	175.07	202.66	120.94	117.6	26.1	111.99	172.65	161.02	220.32	190.34	175.07	134.3	159.9	190.34	152.28	175.07	148.09	199.85	143.01	215.77	256.78	264.03
ZNF276	320.8	164.42	392.44	432.53	329.84	307.69	307.69	94.01	253.23	1407.55	251.48	563.18	108.14	220.32	409.15	63.45	127.0	507.46	703.28	381.68	503.95	242.88	579.04	212.78	316.37	185.11	199.85	1111.82	156.59	454.09	204.07	389.72	246.28	283.05	244.57	55.1	175.07	460.44	258.57	718.08	660.68	536.45	264.03	287.01	231.32	190.34	307.69	123.5	297.17	133.36	1051.79	1023.0	1674.06
ZNF335	275.28	124.37	217.27	198.47	358.54	176.29	166.73	102.97	146.03	368.65	221.86	251.48	78.89	134.3	253.23	49.21	57.89	293.07	397.93	287.01	224.97	169.07	316.37	212.78	134.3	147.06	161.02	295.11	150.17	214.27	151.22	224.97	242.88	185.11	218.79	19.82	159.9	262.2	148.09	248.0	265.87	214.27	260.38	169.07	96.01	118.43	232.94	86.43	231.32	134.3	381.68	395.18	669.92
ZNF500	142.01	69.03	105.89	173.85	133.36	147.06	140.04	94.01	171.45	194.36	109.66	146.03	36.79	162.14	237.86	53.95	89.51	190.34	204.07	118.43	182.55	125.24	301.33	106.63	169.07	103.69	182.55	242.88	104.42	118.43	83.45	201.25	110.43	147.06	118.43	24.11	128.79	162.14	140.04	167.9	116.78	164.42	182.55	114.36	85.82	75.64	142.01	87.65	145.02	112.77	214.27	269.6	208.38
ZNF692	1037.29	299.25	500.46	447.82	1059.11	392.44	206.94	95.34	205.5	2451.44	660.68	674.59	147.06	176.29	934.76	158.79	198.47	1135.2	1794.29	967.76	728.11	497.0	1111.82	248.0	314.17	123.5	150.17	1781.89	265.87	860.08	218.79	567.1	808.0	312.0	316.37	83.45	246.28	651.58	381.68	836.53	1331.57	713.11	988.12	447.82	379.04	309.83	1369.04	187.71	612.11	154.42	1561.89	1991.0	1883.54
ZNF746	214.27	151.22	169.07	205.5	246.28	190.34	142.01	185.11	180.02	297.17	127.0	170.25	115.97	183.82	195.72	87.65	112.77	205.5	271.48	185.11	158.79	159.9	167.9	182.55	177.53	140.04	116.78	242.88	141.02	156.59	186.4	186.4	215.77	127.0	135.24	35.0	153.34	246.28	218.79	236.21	204.07	204.07	281.09	234.57	127.89	140.04	191.67	164.42	214.27	141.02	291.04	299.25	320.8
